itm_horse_meat|Carne de Cavalo
itm_khand_cav_helm_c|Elmo Decorado de Khand
itm_khand_helm_mask|Máscara de Khand
itm_khand_light|Saiote de Khand
itm_khand_light_lam|Armadura Leve de Soldado de Khand
itm_khand_foot_lam|Armadura Pesada de Soldado Khand
itm_khand_med_lam|Armadura de Placas de Khand
itm_khand_heavy_lam|Armadura de Placas Pesada de Khand
itm_khand_mail|Malha de Khand
itm_khand_noble_lam|Armadura Nobre de Khand
itm_khand_axe_great|Machado Grande de Khand
itm_khand_axe_winged|Machado Rápido de Khand
itm_khand_halberd|Alabarda de Khand
itm_khand_trident|Tridente de Khand
itm_khand_voulge|Glaive de Khand
itm_khand_mace1|Maça de Khand
itm_khand_mace2|Maça de Khand
itm_khand_throwing_axe|Machados de Arremesso de Khand
itm_khand_rammace|Maça de Aríete de Khand
itm_khand_pitsword|Espada de Lutador do Fosso
itm_khand_tulwar|Sabre Curvo de Khand
itm_khand_2h_tulwar|Khand Grande Sabre curvo
itm_khand_lance|Lança Pesada de Khand
itm_easterling_round_horseman|Escudo Redondo Oriental
itm_variag_gladiator_shield|Escudo de Fosso Oriental
itm_easterling_hawk_shield|Escudo Falcão Oriental
itm_rhun_bull1_shield|Escudo de Rhun
itm_rhun_bull2_shield|Escudo de Rhun
itm_rhun_bull3_shield|Escudo de Rhun
itm_rhun_shield|Escudo Gota de Rhun
itm_rhun_armor_a|Vestimenta de Batalha Leve de Rhun
itm_rhun_armor_b|Vestimenta de Batalha Leve de Rhun
itm_rhun_armor_d|Vestimenta de Batalha Leve de Rhun
itm_rhun_armor_g|Vestimenta de Batalha Pesada de Rhun
itm_rhun_armor_h|Vestimenta de Batalha Pesada de Rhun
itm_rhun_armor_j|Vestimenta de Batalha Média de Rhun
itm_rhun_armor_m|Vestimenta de Batalha Média de Rhun
itm_rhun_armor_n|Vestimenta de Batalha Média de Rhun
itm_rhun_armor_o|Vestimenta de Batalha Média de Rhun
itm_rhun_armor_p|Armadura Nobre de Rhun
itm_rhun_armor_k|Armadura Nobre de Rhun
itm_rhun_helm_chieftain|Elmo de Chefe de Rhun
itm_rhun_helm_pot|Elmo de Pote Rhun
itm_rhun_helm_barbed|Elmo Farpado de Rhun
itm_rhun_helm_round|Elmo Redondo de Rhun
itm_rhun_helm_horde|Elmo de Horda de Rhun
itm_rhun_helm_leather|Elmo de Couro de Rhun
itm_rhun_warpick|PIco de Guerra Rhun
itm_rhun_greataxe|Machado Grande de Rhun
itm_rhun_battleaxe|Machado de Batalha de Rhun
itm_rhun_falchion|Cimitarra Selvagem
itm_rhun_glaive|Glaive de Rhun
itm_rhun_greatfalchion|Cimitarra Grande Selvagem
itm_rhun_greatsword|Espada Grande Selvagem
itm_rhun_shortsword|Espada Curta Selvagem
itm_rhun_sword|Espada Selvagem
itm_rhun_mangler|Mutilador Rhun
itm_dale_light_a|Jaqueta de Milícia de Valle
itm_dale_light_b|Armadura de Placas Leve dos Homens do Norte
itm_dale_med_a|Armadura de Placas Pesada dos Homens do Norte
itm_dale_med_b|Armadura de Couro de Valle
itm_dale_med_c|Couro Sobre Malha de Valle
itm_dale_med_d|Armadura de Placas de Valle
itm_dale_heavy_a|Armadura de Placas sobre Malha de Valle
itm_dale_heavy_b|Casaco Chapeado de Valle
itm_dale_heavy_c|Malha de Rhovanion
itm_north_leather|Colete de Couro dos Homens do Norte
itm_dale_helmet_a|Elmo de Infantaria Leve de Valle
itm_dale_helmet_b|Elmo de Arqueiro Leve de Valle
itm_dale_helmet_c|Elmo de Infantaria de Valle
itm_dale_helmet_d|Elmo de Arqueiro de Valle
itm_dale_helmet_e|Elmo de Bard
itm_dale_helmet_f|Elmo de Bard
itm_dale_sword|Espada Curta de Valle
itm_dale_sword_long|Espada Longa de Valle
itm_dale_sword_broad|Espada de Infantaria de Valle
itm_dale_pike|Lança de Valle
itm_dale_billhook|Podão de Valle
itm_dale_shield_a|Escudo Torre de Valle
itm_dale_shield_b|Escudo Torre de Valle
itm_dale_shield_c|Escudo Redondo de Valle
itm_umb_armor_a|Vestes de Couro de Corsário
itm_umb_armor_b|Armadura de Couro de Corsário
itm_umb_armor_c|Escamas Leves de Corsário
itm_umb_armor_d|Escamas de Corsário
itm_umb_armor_e|Malha de Corsário
itm_umb_armor_f|Armadura Nobre de Corsário
itm_umb_helm_a|Elmo de Casco de Corsário
itm_umb_helm_b|Elmo Alto Corsário
itm_umb_helm_c|Elmo de Milícia Corsária
itm_umb_helm_d|Elmo de Cavaleiro Corsário
itm_umb_helm_reward|Karma Numenoreano Antigo
itm_corsair_trident|Tridente da Fúria do Mar
itm_corsair_boots|Botas de Corsário
itm_umb_shield_a|Escudo de Corsário
itm_umb_shield_b|Broquel de Corsário
itm_umb_shield_c|Broquel de Corsário
itm_umb_shield_d|Broquel de Corsário
itm_umbar_spear|Lança Curta Umbar
itm_umbar_cutlass|Cutelo de Umbar
itm_kraken|Cutello de Kraken
itm_umbar_rapier|Espada de Embarque Umbar
itm_corsair_harpoon|Arpão de Corsário
itm_corsair_sword|Espadim de Corsário
itm_corsair_throwing_dagger|Adagas Curvas de Arremesso
itm_umbar_pike|Tridente de Corsário
itm_woodman_tunic|Túnica de Homens da Floresta
itm_woodman_scout|Capa de Batedor da Floresta
itm_woodman_padded|Armadura Acolchoada de Homens da Floresta
itm_beorn_tunic|Túnica Beorning
itm_beorn_padded|Armadura Acolchoada Beorning
itm_beorn_heavy|Armadura Pesada Beorning
itm_beorn_berserk|Conjunto de Berserker Beorning
itm_beorn_chief|Túnica de Chefe Beorning
itm_beorn_helmet|Touca de Crânio de Urso
itm_beorn_shield|Escudo dos Homens do Norte
itm_beorn_axe|Machado Beorning
itm_beorn_staff|Bastão de Homens da Floresta
itm_beorn_battle_axe|Machado de Guerra Beorning
itm_dwarf_shield_a|Escudo Angular de Anão
itm_dwarf_shield_b|Escudo Torre de Anão
itm_dwarf_shield_c|Escudo de Luta de Anão
itm_dwarf_shield_d|Escudo Redondo de Anão
itm_north_round_shield|Escudo Redondo dos Homens do Norte
itm_woodmen_heavy|Armadura da Floresta das Trevas
itm_dwarf_sword_a|Espada de Anão
itm_dwarf_sword_b|Espada Curta Beorning
itm_dwarf_sword_c|Espada de Anão
itm_dwarf_sword_d|Espada de Anão
itm_dwarf_battle_axe|Machado de Batalha de Anão
itm_dwarf_great_axe|Machado Grande de Anão
itm_dwarf_great_mattock|Picareta Grande de Anão
itm_dwarf_great_pick|Picareta Grande de Anão
itm_dwarf_throwing_axe_reward|Machados de Arremesso de Erebor
itm_dwarf_mattock|Picareta de Anão
itm_dwarf_hand_axe|Machado Curto de Anão
itm_dwarf_throwing_axe|Machados de Arremesso de Anão
itm_dwarf_spear|Lança de Anão
itm_dwarf_spear_b|Pique de Anão
itm_dwarf_spear_c|Machado Longo de Anão
itm_dwarf_helm_coif|Touca de Anão
itm_dwarf_nasal_b|Elmo Nasal de Anão
itm_north_skullcap|Touca de Crânio Nortenha
itm_dwarf_helm_kettle|Elmo de Caldeira de Anão
itm_dwarf_helm_fris|Elmo Frísio de Anão
itm_north_leather_skullcap|Touca de Crânio Leve Nortenho
itm_dwarf_hood|Capuz de Anão
itm_dwarf_nasal|Elmo Nasal de Anão
itm_north_nasal_helm|Elmo Nasal Nortenho
itm_dwarf_helm_p|Elmo do Rei Anão
itm_dwarf_miner|Elmo Leve de Anão
itm_north_chieftain|Elmo de Chefe Nortenho
itm_dwarf_helm_round|Elmo Redondo de Anão
itm_dwarf_helm_sallet|Elmo Leve de Anão
itm_dwarf_armor_d|Casaco de Escamas das Colinas de Ferro
itm_dwarf_armor_a|Sobretudo de Malha de Erebor
itm_leather_dwarf_armor|Casaco Acolchoado de Erebor
itm_dwarf_armor_b|Túnica sobre Malha de Erebor
itm_leather_dwarf_armor_b|Colete Acolchoado de Anão
itm_dwarf_armor_c|Escamas de Malha de Erebor
itm_dwarf_vest|Túnica de Anão
itm_dwarf_vest_b|Malha das Colinas de Ferro
itm_dwarf_pad_boots|Botas Acolchoadas de Anão
itm_dwarf_chain_boots|Calças de Malha de Anão
itm_dwarf_scale_boots|Botas de Escamas de Anão
itm_good_mace|Maça
itm_mordor_banner|Estandarte de Mordor
itm_isengard_banner|Estandarte de Isengard
itm_woodelf_banner|Estandarte da Floresta das Trevas
itm_lorien_banner|Estandarte de Lothlorien
itm_imladris_banner|Estandarte de Valfenda
itm_gondor_lance_banner|Lança com Estandarte de Gondor
itm_amroth_lance_banner|Lança com Estandarte de Dol Amroth
itm_rohan_lance_banner_sun|Lança com Estandarte do Sol de Rohan
itm_rohan_lance_banner_horse|Lança com Estandarte do Cavalo de Rohan
itm_fur_gloves_reward|Luvas de Caçador
itm_ent_water|Estranha Tigela de Água
itm_map|Mapas da Terra Média
itm_athelas_reward|Folhas secas do rei.
itm_phial_reward|Luz de Galadriel
itm_scroll_reward|Na Queda de Gondolin
itm_hammer_reward|Martelo de Ferreiro
itm_khand_knife_reward|Faca de Sacrifício de Khand
itm_angmar_whip_reward|Chicote de Mestre
itm_horn_gondor_reward|Chifre de Gondor
itm_harad_totem_reward|Totem de Harad
itm_elven_amulet_reward|Amuleto Élfico
itm_torque_reward|Torque Maligno
itm_orc_brew|Bebida Orc
itm_rohan_saddle|Sela
itm_mearas_reward|Garanhão Meara
itm_shield_of_tuor|Escudo de Tuor
itm_riv_armor_reward|Armadura Decorada de Valfenda
itm_westernesse1h_reward|Espada do Túmulo
itm_westernesse2h_reward|Espada de Ponente
itm_mirkwood_sword_reward|Espada Relíquia da Floresta Verde
itm_nazgul_sword|Espada Corrompida
itm_cooking_cauldron|Caldeirão para Cozinhar
itm_eorl_cavalry_sword|Espada de Eorl
itm_garlic_reward|Alho
itm_silmarillion_reward|Silmarillion
itm_herbarium_reward|Herbário da Terra Média
itm_book_of_moria|Livro de Mazarbul
itm_ring_a_reward|Tulcarisil
itm_ring_b_reward|Finwarisil
itm_dale_bow_reward|Arco de Bard
itm_tome_of_knowledge|Livro de Conhecimento Arcano
itm_orc_idol_reward|Ídolo do Primeiro Orc
itm_crebain_reward|Corvo
itm_miruvor_reward|Frasco de Miruvor
itm_wheeled_cage|Jaula Gigante sobre Rodas
itm_orc_throwing_axes_reward|Machados de Arremesso de Gundabad
itm_corsair_throwing_dagger_reward|Adagas de Arremesso Envenenadas
itm_dwarf_shield_reward|Escudo de Kheled-zaram
itm_dwarf_great_axe_reward|Machado Afiado de Anão
itm_isen_uruk_heavy_reward|Armadura de General Uruk-Hai
itm_lorien_bow_reward|Arco Noldorin
itm_elven_cloak|Capa Élfica
itm_dale_sword_reward|Espada Real de Valle
itm_dale_armor_reward|Malha Nobre de Valle
itm_leather_gloves_reward|Luvas de Arqueiro
itm_beorn_shield_reward|Escudo Beorning
itm_beorn_axe_reward|Porrete Urso
itm_drums_of_the_deep|Tambores das Profundezas
itm_khamul_helm|Elmo de Khamul
itm_black_arrows_reward|Flechas Negras
itm_leather_boots_reward|Botas de Caçador
itm_rohan_armor_th|Armadura Real de Rohan
itm_wilderness_cowl|Capuz de Caçador
itm_prisoner_coll_chain|Correntes de Prisioneiro
itm_witchking_helmet|Máscara do Feiticeiro
itm_feet_chains|Correntes de Pés
itm_feet_chains_dwarf|Correntes de Pés
itm_spider|Aranha
itm_bear|Urso
itm_wolf|Lobo
itm_werewolf|Lobisomem
itm_thrush_reward|Tordo
itm_gauntlets_reward|Luvas de Aço
itm_gondor_custom|Gondor personalizado
itm_stones_siege|Pedras de Cerco
itm_beorn_axe_no_attack|Machado Beorning
itm_tabard_b_wb|Tabardo
itm_nobleman_outfit_b_new_wb|Traje de Nobre
itm_peasant_man_a_wb|Traje de Camponês
itm_leather_jerkin_wb|Colete de Couro
itm_white_tunic_c_wb|Túnica de pele
itm_white_tunic_a_wb|Túnica Branca
itm_red_tunic_wb|Túnica vermelha
itm_fur_coat_wb|Casaco de Valle
itm_fur_hat_a_new_wb|Chapéu de Pele
itm_noel_hat_a_wb|Chapéu de Pele
itm_peasant_dress_b_new_wb|Vestido Azul
itm_sarranid_lady_dress_wb|Vestido Azul
itm_sar_robe_b_wb|Manto
itm_black_dress_wb|Vestido negro
itm_blackwhite_dress_wb|Vestido de dama
itm_white_tunic_b_wb|Túnica simples
itm_blue_tunic_wb|Túnica Azul
itm_black_tunic_wb|Túnica Escura
itm_green_tunic_wb|Túnica verde
itm_green_dress_wb|Vestido verde
itm_gondor_fine_outfit_dress_wb|Roupas finas 
itm_rohan_fine_outfit_dale_dress_wb|Roupas finas 
itm_robe_generic_dress_wb|Manto
itm_wimple_a_wb|Véu 
itm_wimple_with_veil_wb|Véu 
itm_fine_hat_wb|Chapéu fino
itm_rohan_tunic_a_wb|Túnica Rohan
itm_rohan_tunic_b_wb|Túnica Rohan
itm_denethor_robe|Roupas finas 
itm_civilian_hammer|Martelo
itm_civilian_woodaxe_1h|Machado
itm_civilian_woodaxe_2h|Machado Pesado
itm_civilian_war_mattock|Enxada
itm_civilian_great_mattock|Enxada
itm_civilian_adz|Enxada
itm_civilian_pickaxe|Enxada
itm_civilian_shovel|Pá
itm_civilian_carry_wood_heap|Lenha
itm_civilian_carry_wood|Madeira
itm_civilian_carry_amphora|Ânfora
itm_civilian_carry_sack|Saco
itm_civilian_carry_basket|Cesta
itm_civilian_carry_honey|Mel
itm_civilian_carry_oil|Óleo
itm_civilian_carry_wood2|Madeira
itm_work_basket|Cesta
itm_work_basket_2|Cesta
itm_spider_mount|Aranha
; itm_marker_night_troop|Trait: Night Troop
; itm_marker_berserker|Trait: Berserker
