qstr_Received_{reg0}_dama|Recebeu {reg0} de dano.
qstr___Archers_forming_{s|  Arqueiros formando {s1}.
qstr___Not_enough_archers|  Não há arqueiros suficientes para formar {s1}, em vez disso, mantenha-se firme.
qstr___Infantry_formation|  Formação de infantaria desmontada.
qstr___Cavalry_formation_|  Formação de cavalaria desmontada.
qstr___Archer_formation_d|  Formação de arqueiros desmontada.
qstr_Division_{reg1}_{s2}|Divisão {reg1} {s2} formando {s1}.
qstr_Not_enough_troops_in|Tropas insuficientes na divisão {reg1} {s2} para formar {s1}.
qstr_Division_{reg1}_{s2}_|Divisão {reg1} {s2} é uma divisão {s3} e não pode formar {s1}.
qstr_{s1}:_infantry_forma|{s1}: formação de infantaria desmontada.
qstr_{s1}:_archer_formati|{s1}: formação de arqueiros desmontada.
qstr_{s1}:_skirmisher_for|{s1}: formação de escaramuçadores desmontada.
qstr_{s1}:_cavalry_format|{s1}: formação de cavalaria desmontada.
qstr_{s1}:_formation_disa|{s1}: formação desmontada.
qstr_Cavalry_formation_di|Formação de cavalaria desmontada.
qstr_The_placement_of_{s1|Localização da divisão {s1} {reg0} memorizada.
qstr_The_placement_of_{s1}|Localização da divisão {s1} {reg0} deixada como padrão.
qstr_Your_party_s_tactica|A habilidade tática do seu grupo limita a distância que você pode posicionar suas tropas!
qstr_...and_attack_enemy_|...e atacar a divisão inimiga {s1}!
qstr_{s2}:_returning_afte|{s2}: retornando após destruir a divisão inimiga {s1}.
qstr_infantry|infantaria
qstr_archer|arqueiro
qstr_cavalry|cavalaria
qstr_polearm|haste
qstr_skirmisher|escaramuçador
qstr_mounted_archer|arqueiro montado
qstr_support|suporte
qstr_bodyguard|guarda-costas
qstr_undetermined_type_of|tipo indeterminado de
qstr_{s1}_has_fled_the_ba|{s1} fugiu da batalha!
qstr_Your_side_is_at_{reg|Seu lado está com {reg1}% de coesão ({reg3}% de eventos recentes), o inimigo com {reg2}%!
qstr_Morale_of_your_troop|A moral de suas tropas caiu!
qstr_Morale_of_your_enemi|A moral dos inimigos caiu!
qstr_Your_enemies_flee_in|Seus inimigos fogem aterrorizados!
qstr_Many_of_your_enemies|Muitos inimigos estão fugindo da batalha.
qstr_Some_of_your_enemies|Uma parte dos inimigos estão fugindo da batalha.
qstr_A_few_of_your_enemie|Um pequeno número de inimigos estão fugindo da batalha.
qstr_Your_troops_flee_in_|Suas tropas fogem aterrorizadas!
qstr_Many_of_your_troops_|Muitos membros de suas tropas estão fugindo da batalha.
qstr_Some_of_your_troops_|Alguns membros de suas tropas estão fugindo da batalha.
qstr_A_few_of_your_troops|Um pequeno número de suas tropas estão fugindo da batalha.
qstr_Gained_permanent_+1_to_P|Ganhou +1 permanente em Exploração.
qstr_Gained_permanent_+1_to_S|Ganhou +1 permanente para Detecção.
qstr_{s11}_recovered_from|{s11} recuperou-se de um ferimento grave.
qstr_Volunteers|Voluntários
qstr_Reserves|Reservas
qstr_have_taken_measure_o|avaliou a força atual da sua facção e ficou mais ousada.
qstr_loses_Faction_Streng|perde Força de Facção pois as linhas de suprimento foram cortadas.
qstr_loses_Faction_Strengt|perde a Força da Facção devido à destruição de seu acampamento.
qstr_gains_Faction_Streng|ganha Força de Facção conforme a notícia de sua vitória se espalha.
qstr_Raiders|Bandidos
qstr_have_won_the_sea_bat|venceram a batalha naval, desmoralizando suas tropas. O inimigo pode tirar vantagem dessa derrota e atacar com mais frequência.
qstr_loses_Faction_Strength|perde Força de Facção devido ao ataque destrutivo.
qstr_loses_Faction_Strength_|perde Força de Facção devido ao seu sucesso no mar.
qstr_You_spent_{reg67}_of|Você gastou {reg67} de sua influência com {s1}, restando {reg66}.
qstr_{s2}_{reg3?was:is_ar|{s2} {reg3?está em:está em volta de{s5}.
qstr_Army_of_{s6}|Exército de {s6}
qstr_Host_of_{s6}|Hoste of {s6}
qstr_The_host_of_Isengard|A hoste de Isengard arrasou {s2}!
; qstr_The_battlefield_is_a|The battlefield is a dark forest.
; qstr_The_battlefield_is_f|The battlefield is forested.
; qstr_The_battlefield_is_a_|The battlefield is a treacherous marshland.
; qstr_A_golden_mist_from_L|A golden mist from Lórien covers the battlefield.
; qstr_Dark_clouds_from_Mor|Dark clouds from Mordor cover the battlefield.
; qstr_A_thunderstorm_from_|A thunderstorm from the Misty Mountains rages over the battlefield.
; qstr_A_poisonous_fog_from|A poisonous fog from Dol Guldur lingers on the battlefield.
; qstr_The_defenses_consist|The defenses consist of dark tunnels and underground halls.
; qstr_The_defenses_lie_in_|The defenses lie in the shadow of tall trees, blocking out the sunlight.
; qstr_The_defenses_lie_in_t|The defenses lie in the shadow of steep cliffs, blocking out the sunlight.
; qstr_The_fortress_is_shro|The fortress is shrouded in darkness.
qstr_{s1}_{s0}|{s1}, {s0}
qstr_{s1}_and_{s0}|{s1} e {s0}
qstr_No_Troops_Left.|Não restam mais tropas.
qstr_avoid_melee|evitar combate corpo a corpo
qstr_stand_and_fight|ficar e lutar
qstr_Everyone|Todos
qstr_Shield___{reg31}_|Escudo (-{reg31})
qstr_Power_Draw___{reg31}|Potência de Tensionamento (-{reg31})
qstr_Riding___{reg31}_|Montaria (-{reg31})
qstr_Horse_Archery___{reg|Arquearia a cavalo (-{reg31})
qstr_Athletics___{reg31}_|Atletismo (-{reg31})
qstr_No_Skill_Penalty_Ass|Nenhuma Penalidade de Habilidade Atribuída
qstr_Inventory|Inventário
qstr_Show_stats|Mostrar estatísticas
qstr_Show_item_details__|Mostrar detalhes do item
qstr_Troop_detail|Detalhe da tropa
qstr_{s1}Level:_{reg1}^|{s1}Nível: {reg1}^
qstr_{s1}Hit_Points:_{reg|{s1}Pontos de Vida: {reg1}
qstr_{s1}Atributes:_^___S|{s1}Atributos: ^   Força:^
qstr_{s1}___Agility:|{s1}   Agilidade:
qstr_{s1}Main_skills:_^|{s1}Principais habilidades: ^
qstr_{s1}___Power_Strike:|{s1}   Potência de Golpe:^
qstr_{s1}___Athletics:^|{s1}   Atletismo:^
qstr_{s1}___Riding:^|{s1}   Montaria:^
qstr_{s1}___Power_Throw:^|{s1}   Potência de Arremesso:^
qstr_{s1}___Power_Draw:^^|{s1}   Potência de Tensionamento:^^
qstr_{s1}Weapons:^|{s1}Armas:^
qstr_{s1}___One_Handed:^|{s1}   Uma Mão:^
qstr_{s1}___Two_Handed:^|{s1}   Duas Mãos:^
qstr_{s1}___Polearms:^|{s1}   Hastes:^
qstr_{s1}___Archery:^|{s1}   Arquearia:^
qstr_{s1}___Crossbow:^|{s1}   Bestas:^
qstr_{s1}___Throwing:^|{s1}   Arremesso:^
qstr_{s1}___Slings:|{s1}   Estilingues:
qstr__Click_on_the_troop_|(Clique na tropa para girá-la)^^Clique no equipamento ^(Elmo, armadura, luvas e botas)^ para mostrá-los.
qstr_ready_bows_and_missi|preparar arcos e projéteis
qstr_ready_side_arms|preparar armas secundárias
qstr_ready_two_hander|preparar duas-mãos
qstr_ready_polearms|preparar armas de haste
qstr_shields_up|levantar escudos
qstr_doff_shields|descartar escudos
qstr_Distance___{reg70}__|Distância - {reg70} - {s11} Grupo - {s12} Tropa
; qstr_A_golden_mist_from_L|A golden mist from Lórien covers the battlefield.
qstr_A_golden_mist_from_Lr|Uma névoa dourada vinda de Lórien cobre o campo de batalha. A bruxa está perto, causando um frio em sua espinha e na de seus soldados.
; qstr_Dark_clouds_from_Mor|Dark clouds from Mordor cover the battlefield.
qstr_Dark_clouds_from_Mord|Nuvens negras vindas de Mordor cobrem o campo de batalha. A presença do Lorde das Trevas fortalece você e seus homens.
; qstr_A_thunderstorm_from_|A thunderstorm from the Misty Mountains rages over the battlefield.
qstr_A_thunderstorm_from_t|Uma tempestade vinda das Montanhas Nebulosas assola o campo de batalha. Os arqueiros enfrentam dificuldades com esse clima.
; qstr_A_poisonous_fog_from|A poisonous fog from Dol Guldur lingers on the battlefield.
qstr_A_poisonous_fog_from_|Uma névoa venenosa vinda de Dol Guldur invade o campo de batalha. Você não sente nenhuma mudança, mas você pode ouvir seus inimigos sofrendo e sente o cheiro do medo deles.
qstr_You_shapeshift_into_|Você se transforma em um urso!
qstr_You_got_{reg1}_exper|Você ganhou {reg1} de experiência na forma de urso.
qstr_Your_ability_to_chan|Sua habilidade de mudar de pele se manifestou, de agora em diante você pode andar por lugares selvagens tanto como homem quanto como urso.
qstr_You_change_back_to_h|Você volta à forma humana...
qstr_Refill_Ammunition|Recarregar Munição
qstr_Take_a_closer_look..|Deem uma olhada mais de perto...
qstr_Look_around...|Olhem ao redor...
qstr_Amon_Hen_the_Hill_of|Amon Hen, a Colina da Visão, oferece uma vista privilegiada das terras ao redor. No entanto, se você buscou o antigo trono elevado na esperança de obter orientações sobre seu próprio caminho, agora percebe que a decisão cabe a você.
qstr_As_the_lights_begin_|Conforme as luzes começam a piscar e dançar, você os vê: rostos sombrios e malignos, e rostos nobres e tristes. Muitos rostos orgulhosos e belos, e ervas daninhas em seus cabelos prateados. Mas todos imundos, todos apodrecidos, todos mortos.
; qstr_This_must_be_the_spi|This must be the spider nest. Without hesitation, you light a torch and burn down the webs. This will eliminate the spider thread in Mirkwood.
; qstr_You_have_explored_th|You have explored the caves and experienced the beauty of Aglarond, one of the marvels of the northern world. You feel that you have gained a better understanding of all the wonders that are hidden underground.
qstr_You_see_the_Pelennor|Você vê Pelennor se estendendo à sua frente. Atrás dele, vagamente, as ruínas de Osgiliath, outrora a capital de Gondor, da qual Minas Tirith era apenas uma fortaleza. E então, pairando à beira da vista, as bordas irregulares das Montanhas de Mordor, e além delas, novamente uma escuridão ainda mais profunda. Os Homens da Cidade Branca sempre habitaram à vista daquela sombra.
qstr_You_happen_upon_an_O|Você se depara com uma antiga casa de hóspedes. Ao inspecionar o edifício de pedra desgastado pelo tempo, você nota um grupo de meninos brincando entre os pilares, as únicas crianças que você viu em Minas Tirith. Um deles o cumprimenta e você acena de volta. Seu coração se alegra e você esquece, por um breve momento, a tristeza da guerra.
qstr_As_you_look_from_the|Ao olhar da proa alta da ilha para onde o Anduin, o Grande Rio, se divide em dois braços, você entende por que Cair Andros significa "Navio de Longa Espuma".
qstr_You_look_through_Hen|Você olha através de Henneth Annun, a Janela do Pôr do Sol. A bela vista restaura sua fé no Oeste e nos Poderes além.
qstr_This_place_was_once_|Este lugar já foi um refúgio élfico, mas hoje apenas ruínas contam sobre sua herança. Poucos ainda conhecem seu verdadeiro significado.
qstr_Tirith_Aear_the_Sea_|Tirith Aear, a Torre do Mar - Seu sino lento guia os marinheiros há muitos séculos.
qstr_You_kneel_to_pay_you|Você se ajoelha para prestar homenagem aos governantes caídos deste belo reino. Ao seu lado, uma escudeira de Rohan ergue a voz em cântico. Ne sceal hearpan sweg wigend weccean; ne winfaet gylden guma sceal healdan! Seu coração dói ao ouvir suas palavras.
qstr_You_wonder_about_the|Você se pergunta sobre as duas fileiras de túmulos em frente aos portões, mas, como um mero {s24}, você não entende seu significado.
; qstr_The_Toy_market_of_Da|The Toy market of Dale, A wonder of the North, bustling with sellers, workshops and craftsmen. Beautiful are the toys sold and crafted here, horns, pipes and drums. A buyer with a good eye can make great deals here.
qstr_With_trepidation_you|Com trepidação, você olha para dentro da bacia prateada. A água lhe mostra visões de horror; sangue, terror e tristeza. Você recua... mas então, as visões desaparecem e você vê, em vez disso, um céu noturno claro, com o que parece ser um barco prateado flutuando na imensidão. Uma sensação de calma o invade. A esperança não se foi completamente.
qstr_The_Lady_s_garden_li|O jardim da Senhora repousa pacificamente sob a luz brilhante do dia. Você não sente nada fora do comum...
; qstr_Bees_big_as_a_thumb_|Bees big as a thumb swarm all around you, gathering nectar from the flowering meadows. They make the wonderful honey prized by Beorn's folk for their cakes.
qstr_A_flock_of_ravens_ci|Um bando de corvos circula ao seu redor. Você não entende o que eles dizem, as notícias que trazem de terras distantes. Mesmo assim, você se sente confortado, sabendo que esses animais sábios são velhos amigos do Rei sob a Montanha.
; qstr_A_fierce_fight_happe|A fierce fight happened here. Curiously, among the withered remains of both dwarves and goblins, you see bodies of orcs that were slain not long ago. ^^You should take a closer look at the ruined tomb.
qstr_Alkarondas_Castle_of|Alkarondas, Castelo do Mar. Nomeado em homenagem à famosa capitânia de Ar-Pharazôn, este grande navio negro é o orgulho da frota corsária — e o terror das costas de Gondor.
qstr_The_Mmakil_greatest_|Os Mûmakil, as maiores feras desta era! Terríveis na guerra, carregando torres e arqueiros para a batalha. Suas trombas soando como trombetas de guerra farão os Homens de Gondor tremerem de medo.
; qstr_The_famous_Variag_fi|The famous Variag fighting pits. Here, young warriors and war slaves fight for the right to join the ranks of the Variag warrior caste. Only the strongest survive and become the elite of their people. The others are left lying in the mud.
; qstr_If_you_were_more_ski|If you were more skilled, you might be able to learn a thing or two from watching the fights.
; qstr_Watching_the_fights_|Watching the fights, you were able to pick up a few tricks.
; qstr_Gained_weapon_profic|Gained weapon proficiencies.
qstr_A_new_Power_is_risin|Um novo Poder está surgindo. Contra ele, as antigas alianças e políticas não resistirão. Sua vitória está próxima; e haverá rica recompensa para aqueles que o ajudaram.
qstr_As_you_explore_the_c|À medida que você explora as cavernas sob o Anel de Isengard, onde milhares de orcs trabalham para abastecer os crescentes exércitos da Mão Branca, você ganha confiança na ascensão de um novo poder e no fim do velho mundo.
qstr_The_Ring_of_Isengard|O Anel de Isengard está inundado, suas paredes rochosas estão em ruínas. Levará algum tempo até que toda a imundície de Saruman seja levada embora e o Isen possa voltar a ser puro. Quem sabe, talvez este lugar volte a ser um jardim repleto de pomares, árvores e água limpa.
; qstr_You_have_found_the_s|You have found the secret passage into Mordor, the pass of Cirith Ungol. Beyond those stairs, you sense a dark will ling in wait. You realize that you should not pursue this path any further if you value your own life.
; qstr_A_great_man_was_tort|A great man was tortured here, his remains still held in place by cruel chains and cold will. You do not know who he was, yet you understand that such terrible fate awaits all who dare to oppose the Dark Lord.
; qstr_You_endure_the_horro|You endure the horrors of the Dead City and explore its innermost circles. The Silent Watchers recognise your boldness and don't oppose you.
; qstr__You_gained_1_Charis|(You gained 1 Charisma.)
qstr_You_endure_the_horror|Você suporta os horrores dos rituais indizíveis neste lugar sagrado. O povo cruel de Rhun reconhece a força que você demonstrou e alguns dos mais poderosos decidem se juntar ao seu grupo.
; qstr_Your_hackles_rise_as|Your hackles rise as you look around you, and you begin to feel a strange sense of danger. Raising your weapon high, you snarl your defiance at the unseen foe in this place. This may have been a place of wonder once... but now, with the true power you have gained, you realize you have nothing to fear from the forgotten past of a broken world.
qstr_Looking_around_you_d|Olhando ao redor, você não entende o significado deste lugar.
qstr_Looking_around_you_f|Olhando ao redor, você sente que não conhece esse povo bem o suficiente para entender o significado deste lugar.
; qstr_Looking_around_you_fe|Looking around, you feel that you are not esteemed enough to learn the significance of this place.
; qstr_Visit_the_victory_ce|Visit the victory celebrations and speak to {s5}.
qstr_Your_mount_stumbles!|Sua montaria tropeça! Parece que está mancando.
qstr_Bitten_by_your_own_w|Mordido pela sua própria montaria warg!
qstr_You_weigh_too_much_f|Você pesa muito para um pônei!
qstr_Your_mount_rears_ref|Sua montaria empina, recusando-se a obedecer seus comandos!
; qstr_{s5}_has_been_overco|{s5} has been overcome by fear and rage and is now uncontrollable.
; qstr_{s5}_is_running_amok|{s5} is running amok, hurting friend and foe alike!
qstr_Cannot_Change_Camera|Não é possível alterar o modo da câmera enquanto estiver em primeira pessoa.
qstr_Switch_Back_to_3rd_P|Volte para a visão em terceira pessoa para alternar entre câmeras.
qstr_Fixed_Custom_Camera|Câmera Personalizada Fixa
qstr_Press_Ctrl_+_Left_/_|Pressione Ctrl + Seta para a esquerda / Ctrl + Seta para a direita para alternar os ombros
qstr_Press_Ctrl_+_Down_to|Pressione Ctrl + Baixo para Centralizar
qstr_Press_Ctrl_and_+/__t|Pressione Ctrl e +/- para aumentar/diminuir o zoom
qstr_Press_Ctrl_and_Up/Do|Pressione Ctrl e as teclas de seta para cima/baixo para inclinar para cima/baixo
qstr_Fixed_Camera___Right|Câmera Fixa - Ombro Direito
qstr_Fixed_Camera___Left_|Câmera Fixa - Ombro Esquerdo
qstr_Fixed_Camera___Cente|Câmera Fixa - Centro
qstr_The_Nazgul_retreats!|Os Nazgûl recuam!
qstr_Shield_is_too_big_to|O escudo é grande demais para ser usado com um arco.
; qstr_Shield_reduces_accur|Shield reduces accuracy by {reg11} percent.
qstr_{s7}_waves_at_you.|{s7} acena para você.
qstr_You_are_unable_to_en|Você é incapaz de suportar os horrores da Cidade Morta.
qstr_You_are_unable_to_end|Você é incapaz de suportar os horrores do templo.
; qstr_You_are_unable_to_op|You are unable to oppose the power of this holy place.
qstr_Halt!_You_are_not_al|Parem! Vocês não têm permissão para entrar aqui!
qstr_Halt!_You_are_not_all|Parem! Vocês não têm permissão para entrar aqui sem a permissão da Senhora!
; qstr_While_visiting_towns|While visiting towns, settlements and camps, you can talk to people walking around. This will help you gain their trust and offer valuable information about the local culture. If you ask, they will also show you the way to the most important people around.
qstr_Cannot_leave_now.|Não posso sair agora.
; qstr_The_traitor_should_b|The traitor should be around somewhere. You should look around important places. If you have a good relation to them, you may also ask the local populace for suspicious strangers.
; qstr_The_traitor_flees._C|The traitor flees. Catch him!
qstr_You_have_found_the_l|Você encontrou o ferreiro local.
qstr_You_have_found_the_lo|Você encontrou a autoridade local.
qstr_You_have_found_the_loc|Você encontrou o armazém local.
qstr_You_have_found_the_c|Você encontrou o capitão da guarnição.
qstr__cancelled_the_{reg1|(cancelados os {reg10} pontos de experiência ganhos ao matar prisioneiros)
qstr_Forming_ranks.|Formando fileiras.
qstr_{reg2?You:Your_mount|{reg2?Você:Sua montaria} recebeu {reg1} de dano extra!
qstr_{reg2?You_strike:You|{reg2?Você ataca:Seu cavalo ataca}, causando {reg1} de dano adicional!
qstr_Division_Placement|Colocação de Divisão
qstr_Complex_Formations|Formações Complexas
qstr_Formations_turned_OF|Formações DESLIGADAS no menu de opções
qstr_Division_{reg1}_{s2}_g|A divisão {reg1} {s2} vai para sua posição memorizada...
qstr_Division_{reg1}_{s2}_f|Divisão {reg1} {s2} forma linha (memorizada).
qstr_Division_{reg1}_{s2}_fo|A divisão {reg1} {s2} forma {reg0} linhas (memorizada).
qstr_A_Nazgul_on_a_winged|Um Nazgul em um corcel alado circula sobre o campo de batalha!
qstr_Your_bear_form_has_{|Sua forma de urso tem {reg2}/{reg1} pontos de vida!
; qstr_Underground_battle:_|Underground battle: Prepare to fight in the dark.
; qstr_Steep_mountain_sides|Steep mountain sides block out the sunlight.
; qstr_Big_trees_block_out_|Big trees block out the sunlight.
; qstr_The_place_is_covered|The place is covered in darkness as if it was night.
; qstr_It_is_night._You_fee|It is night. You feel how your strength grows and your eyesight becomes sharper in the  darkness.
; qstr_It_is_night._As_a_tr|It is night. As a trained Uruk, you fight at night or day and don't heed light or darkness.
; qstr_It_is_night._In_the_|It is night. In the darkness, you have to move and fight more carefully.
; qstr_Rough_terrain:_Heavy|Rough terrain: Heavy troops are at a disadvantage.
qstr_A_golden_mist_from_Lr|Uma névoa dourada vinda de Lórien cobre o campo de batalha. A bruxa está perto, causando um frio em sua espinha e na de seus soldados.
qstr_A_golden_mist_from_Lri|Uma névoa dourada vinda de Lórien cobre o campo de batalha. A bruxa está perto, causando um frio em sua espinha e na de seus soldados.
qstr_Dark_clouds_from_Mord|Nuvens negras vindas de Mordor cobrem o campo de batalha. A presença do Lorde das Trevas fortalece você e seus homens.
qstr_Dark_clouds_from_Mordo|Nuvens negras vindas de Mordor cobrem o campo de batalha. A presença do Lorde das Trevas fortalece você e seus homens.
qstr_A_thunderstorm_from_t|Uma tempestade vinda das Montanhas Nebulosas assola o campo de batalha. Os arqueiros enfrentam dificuldades com esse clima.
qstr_A_thunderstorm_from_th|Uma tempestade vinda das Montanhas Nebulosas assola o campo de batalha. Os arqueiros enfrentam dificuldades com esse clima.
qstr_A_poisonous_fog_from_|Uma névoa venenosa vinda de Dol Guldur invade o campo de batalha. Você não sente nenhuma mudança, mas você pode ouvir seus inimigos sofrendo e sente o cheiro do medo deles.
qstr_A_poisonous_fog_from_D|Uma névoa venenosa vinda de Dol Guldur invade o campo de batalha. Você não sente nenhuma mudança, mas você pode ouvir seus inimigos sofrendo e sente o cheiro do medo deles.
qstr_Some_of_your_human_t|Algumas de suas tropas humanas não se assustam com a escuridão. (Tropas noturnas não são afetadas por penalidades noturnas)
qstr_You_are_filled_with_|Você se enfurece ao pôr seus olhos no inimigo (Berserk ativo).
qstr_Your_mount_is_scared|Sua montaria está assustada com o {s5}!
qstr_Your_mount_is_scared_|Sua montaria está assustada com o {s5}, mas você pode dominá-la!
qstr_You_yell_for_your_ho|Você grita pelo seu cavalo.
qstr_You_do_not_need_to_r|Você não precisa reunir suas tropas ainda.
qstr_You_rally_{reg10}_tr|Você reúne {reg10} tropas!
qstr_{s5}_rallies_{reg65?|{s5} reagrupa {reg65?suas:suas} tropas!
qstr_You_have_killed_{reg|Você matou {reg1} inimigos nesta batalha!
qstr_Your_bravery_inspire|Sua bravura inspira suas tropas!
qstr_Your_mount_has_falle|Sua montaria caiu no chão abaixo de você!
qstr_Receive_{reg22}_dama|Recebe {reg22} de dano.
qstr_You_have_been_knocke|Você foi nocauteado por {s22}.
qstr_{s21}_has_been_knock|{s21} foi derrubado de sua montaria quando ela caiu.
qstr_{s21}_{reg24?killed:|{s21} {reg24? morto: nocauteado} por {s22}.
qstr_A_bear_has_been_summ|Um urso foi convocado para a batalha!
qstr_Received_{reg66}_dam|Recebeu {reg66} de dano.
qstr_In_The_Last_Days_of_|Em Os Últimos Dias da Terceira Era, suas tropas se posicionarão e resistirão no início de cada batalha, em vez de atacar às cegas. Para ordenar suas tropas em formação, pressione 'J' para Fileiras, 'K' para Muralha de Escudos, 'L' para Cunha e ';' para Quadrado. Para desfazer a formação, pressione 'U'. Se suas tropas estiverem fugindo, você pode pressionar 'V' para reuni-las. Você tem apenas um número limitado de reagrupamentos por batalha, e a quantidade depende da sua liderança e carisma.
qstr_You_can_also_order_y|Você também pode ordenar que suas tropas alternem entre os tipos de armas que você deseja que elas usem.^^ Pressione O para alternar entre os tipos de Ordem de Armas. Pressione P para alternar entre os tipos de Ordem de Escudos.
qstr_The_Last_Days_of_the|Os Últimos Dias da Terceira Era implementaram uma Câmera Personalizada para contornar a limitação atual da câmera em relação a raças mais baixas (por exemplo, Orcs e Anões).^^Veja as Páginas de Informações para saber como controlar os diferentes modos de câmera.
qstr_Battlefield_is_too_s|O campo de batalha é muito pequeno para formações complexas de IA.
qstr_You_have_a_clear_per|Você tem uma percepção clara de grande perigo iminente, vindo de todos os lados!
qstr_New_ent_reached_batt|Novos ent chegaram à cena da batalha...
qstr_You_receive_word_tha|Você recebe a notícia de que as aldeias de Beorning foram atacadas. Os Beornings perdem força da facção.
qstr_You_receive_word_that|Você recebe a notícia de que os Líderes dos Caçadores do Anel foram vistos viajando em direção a Mordor, carregando um baú. Mordor ganha força na facção.
qstr_Enemy_reinforcements|Os reforços inimigos chegaram
qstr_Yarrrr!!|Yarrrr!!
qstr_Get_all_of_them!|Peguem todos eles!
qstr_Kill_them_all!|Matem todos!
qstr_Toss_them_overboard!|Jogue-os ao mar!
qstr_It_is_a_good_day_to_|Este é um bom dia para morrer!
qstr_All_hands_on_deck!_T|Todas as mãos no convés! Joguem-os de volta!
qstr_Ally_reinforcements_|Reforços aliados chegaram
qstr_Forward_men!|Avante, homens!
qstr_Leave_none_of_these_|Não deixem nenhuma dessas imundícies de pé!
qstr_End_them_all!|Acabem com todos eles!
qstr_Drive_them_back!|Expulse-os!
qstr_Protect_the_City!|Protejam a cidade!
qstr_Forward!_Board_them!|Em frente! Abordem-nos!
; qstr_The_Last_Days_of_the_|The Last Days of the Third Age has an Advanced Siege AI, vastly different from Native. All attackers and defenders will be distributed to the left and right flanks and the center. Players command some of their own troops. Troops from your party will also join when they're near to the player. Use them wisely to help out where needed most. // In order to win a siege attack, you must conquer all three defender reinforcement points. You can only take a reinforcement point if the defenders have already rallied there.
qstr_on_the_left_flank|no flanco esquerdo
qstr_on_the_right_flank|no flanco direito
qstr_through_the_center|pelo centro
qstr_Attackers_charge_{s2|Os atacantes atacam {s2}
qstr_Attackers_charge_{s1|Os atacantes atacam {s1}
; qstr_You_must_break_the_f|You must break the first line of defense before you can capture a reinforcement point.
; qstr_Capture_this_area_wi|Capture this area with your troops to stop defender reinforcements from here!
; qstr_Not_enough_allies_ne|Not enough allies nearby to capture this reinforcement point!
qstr_Defender_reinforcemen|Ponto de reforço do defensor tomado!
; qstr_{reg5}_{reg4?troops:|{reg5} {reg4?troops:troop} rallied to your side.
; qstr_{reg5}_{reg4?troops:t|{reg5} {reg4?troops:troop} rallied to your side due to your Charisma.
; qstr_{reg5}_{reg4?troops:tr|{reg5} {reg4?troops:troop} stopped following you (too far away).
; qstr_{reg5}_{reg4?troops:tro|{reg5} {reg4?troops:troop} are currently following you.
qstr_Last_attacker_wave._|Última onda de ataque. Quer recuar?
qstr_Attackers_almost_def|Atacantes quase derrotados. Você quer recuar?
qstr_The_remaining_attack|Os atacantes restantes se dispersam!
qstr_The_remaining_defend|Os defensores restantes escapam do cerco!
qstr_Reached_Gauntlet_wav|Alcançou a onda Exposta {reg1}!
qstr_Ballista:_out_of_amm|Balista: sem munição!
qstr_Ballista:_turn_CURSO|Balista: gire o CURSOR, mire em LSHIFT, atire no ESPAÇO, atire em T, saia em F
qstr_Ballista:_out_of_ammo|Balista: sem munição
qstr_The_ladders_on_Deepi|As escadas na Parede Profunda! Cuidado!
qstr_THREE.._TWO..._ONE..|TRÊS.. DOIS... UM.... LUTEM!
qstr_You_have_come_upon_t|Você chegou às ruínas de Amon Hen, a Colina da Visão, uma torre de vigia gondoriana no topo da qual repousa o Assento da Visão. Você sente que deveria procurar o assento alto e talvez obter um vislumbre de visão distante que possa aconselhá-lo em seu curso futuro.
qstr_You_have_come_upon_th|Você chegou aos Pântanos Mortos, local da batalha de Dagorlad durante a Guerra da Última Aliança. Na escuridão da noite, você vê luzes como chamas enevoadas tremulando lentamente acima de velas invisíveis. Estranhamente impelido, você as segue em direção ao labirinto de poças e riachos.
qstr_You_have_come_upon_the|Você chegou aos Pântanos Mortos, local da batalha de Dagorlad durante a Guerra da Última Aliança. Os pântanos engoliram o que antes era uma planície gramada, e agora o único verde é a espuma de ervas daninhas lívidas nas superfícies escuras e gordurosas das águas sombrias. Na luz cinzenta do dia, você não vê nada que chame sua atenção.
qstr_You_have_entered_the|Você entrou na Floresta das Trevas do Sul, outrora conhecida como Floresta Verde, a Grande. A floresta parece doente e decadente. O lugar está infestado de aranhas. Deve haver um ninho por aqui em algum lugar...
; qstr_You_enter_the_Glitte|You enter the Glittering Caves. However, in the encompassing darkness, you cannot see its marvels.
qstr_You_have_found_the_D|Você encontrou o Armazém dos Anões, onde as Lanças Lendárias podem estar. Relate o que encontrar para {s3}
qstr_Leave_the_Warehouse?|Sair do Armazém?
qstr_Leave_the_place_in_s|Deixar o local em silêncio?
qstr_Leave_scene?|Sair de cena?
qstr_Trace_back_your_step|Retornar pelo mesmo caminho e voltar para o campo aberto agora?
qstr_There_is_no_way_out!|Não tem escapatória! Se render aos orcs?
qstr_Stealth_mini_game_tu|Tutorial do minijogo Stealth: Há dois níveis de alarme. O nível 1 é acionado quando os guardas veem um cadáver ou avistam você. O nível 2 é acionado quando os guardas avistam você quando o nível 1 já está ativo. O nível 2 é perigoso porque os guardas continuarão chegando. Você pode evitar ser avistado mantendo-se escondido. Para se não ser visto, basta se esconder atrás de várias coberturas.
qstr_You_are_now_hidden.|Agora você está escondido.
qstr_You_move_out_of_hidi|Você sai do esconderijo.
qstr_The_guards_have_spot|Os guardas avistaram um cadáver!
qstr_Alarm_Level_is_now_a|O nível de alarme agora é 1!
