str_yes|Sim.
str_npc13_backstory_a|Eu? Sou um grão de terra das areias do sul, soprado para o norte pelos ventos frios e escuros da noite. Sou Lykyada, um Senhor Serpente de Haradwaith. Senhor da Serpente Dourada, ruína da Tribo da Serpente Negra, agora aliado para servir à vontade do Senhor do Escuro.
str_npc14_backstory_a|Eu sou Fuldimir, filho do reino meridional de Umbar, ao sul de Harondor e da Baía de Belfalas, pois ambos são o lar do meu coração e do meu povo. Somos os senhores do mar e das velas, corsários para alguns, parentes da Baía de Belfalas, pois suas águas nós domamos.
str_npc15_backstory_a|Eu sou Bolzog, o Talentoso, Consertador de Ossos, Fechador de Cortes e Xamã da Cura. Se você for à guerra pelo Olho, sem dúvida terá um ou outro de seus amiguinhos cortados por silvicultores de rosto pálido ou amantes de cavalos. Agora, -nar-nar-nar! - Orcs são fáceis de substituir, Ó Grande Líder, mas você pode substituir um Warg? Um Gigante? Um Troll das Cavernas? Shi-shi! Não! Você precisa de mim, o Grande Bolzog!
str_npc16_backstory_a|Pois bem, é o estrangeiro quem deve se declarar primeiro. No entanto, eu sou Varfang, do povo Balchoth... Posso dizer que você ainda não ouviu as canções ou contos da minha terra que mencionam o nome Balchoth, pois o próprio nome testaria sua coragem e encheria seu coração de tristeza.
str_npc17_backstory_a|Me chamam Dímborn e eu trabalho na floresta. É legal lá. Eu gosto da floresta. Muitas árvores na floresta. Eu gosto de árvores. Trabalhei na floresta a vida toda, porque sou forte e porque gosto de árvores.
str_npc1_backstory_b|Você deve saber que eu sou um Guardião  Ithilien de descendência e bravura Dúnedain. Sei muito sobre rastreamento e exploração, e minha habilidade com arco e espada é conhecida pelos orcs. Eu também posso treinar qualquer alma disposta a lutar contra a Sombra que se aproxima.
str_npc2_backstory_b|Eu fui treinado como um vigia de Minas Tirith, para manter ordem na Cidade Branca e servir meu senhor Regente.
str_npc3_backstory_b|Eu sou um Cavaleiro do Vau Oeste - eles partiram sem mim em uma longa patrulha para o Vau Isen. Sei que a conduta deles será digna da bandeira verde, mas temo que muitos não voltem.
str_npc4_backstory_b|Nasci em uma família nobre e tenho sirvo a Senhora Éowyn como uma dama de honra desde que somos pequenas. Nossos pais eram sábios o suficiente para nos permitir treinar ao lado de nossos irmãos em questões de combate, para nos tornarmos escudeiras de Rohan.
str_npc5_backstory_b|Senhor Elrond me enviou como um emissário ao Senhor Celeborn, para ajudar e dar conselhos conforme necessário na Guerra nesta parte de Rhovanion.
str_npc6_backstory_b|Eu gosto de percorrer os caminhos escondidos da nossa bela floresta. Às vezes, ando silenciosamente por entre as árvores e observo os hábitos dos muitos animais da floresta. O canto de um pássaro raro, o ninhode um javali são tão belospara mim quanto o choque de armas e as grandes muralhas são para os Edain.
str_npc7_backstory_b|Ajudei a melhorar as defesas de Erebor e treinei alguns anões mais jovens, sob a direção do meu venerado pai Dwalin, como é nosso costume.
str_npc8_backstory_b|Tratei minha Marca do Rei para constipação, um mal-estar comum que afeta homens em guerra. Uma leve infusão de absinto acalma tanto o intestino quanto a mente.
str_npc9_backstory_b|Então eu disse a mim mesmo: "Gulm, você quer acabar como carniça?" e respondi: "Não". ^Na batalha seguinte, recuei fingindo estar ferido. Então, sem ninguém olhando, caí sobre o meu sargento! Cortei-o quase ao meio, gharr! Depois, cortei a snaga do seu ajudante com maestria^^...Acontece que aquele maldito rastejante sobreviveu de alguma forma e começou a falar sobre tudo isso. Da próxima vez, vou me certificar de que a cabeça dele seja arrancada, gharr...
str_npc10_backstory_b|Eu sou um Montador de Lobos de Isengard e também um rastreador.
str_npc11_backstory_b|Argh! É só porque meu nariz estava com meleca. E de que adianta desgastar meu nariz em pedras, afinal? Não! Foram aqueles Uruks imundos! Aqueles malditos ladrões de pêssegos! Só perdi o faro porque cedi a eles. Eles estragaram o faro lá atrás, roubando tudo que encontravam e pisando forte por todo lado antes que eu pudesse chegar lá.
str_npc12_backstory_b|E esses Nazgûl me dão arrepios. E eles esfolam seus corpos só pelo olhar, te deixam congelados no escuro do outro lado. Mas Ele gosta deles; são os favoritos dele hoje em dia, então não adianta reclamar. Eu lhes digo, não há caça na cidade. Eu gostaria de tentar em algum lugar onde não haja nenhum deles.
str_npc13_backstory_b|Ultimamente, vi a palavra do Senhor do Escuro se espalhar entre meus semelhantes, e em seus corações e mentes a vontade dele se insinuou. A maioria foi atraída para a sua escuridão, e no lugar da coragem cresceu uma sede insaciável de matança, de modo que, quando seus ouvidos ouviram seu chamado, poucas marionetes estavam tão dispostas a responder.
str_npc14_backstory_b|Há muitas mudanças em um homem que cavalga o tumulto dos ventos e mares das águas de Belfalas, e aqueles que ainda lutam contra sua vontade são apenas crianças. Pois homens corajosos são aqueles que enfrentam sua tempestade e cavalgam sua tempestade. Eu vi sua maré mais escura e ainda assim permaneço seu mestre.
str_npc15_backstory_b|Muitas luas atrás, quando eu era apenas um bebê, meu Avô conduziu a tribo até as minas, onde os anões haviam morrido recentemente. Um Espectro de Fogo havia passado por lá, e era confortável e quente. Nós prosperamos, mas de vez em quando algum aventureiro cruel, ou herói anão, vinha nos matar e mutilar em nossos túneis pacíficos. Minhas mãos aprenderam a fechar o ferimento de uma espada ou machado, e minha mente aprendeu a ver o contorno de ossos e tendões sob qualquer pele. Hoje em dia, consigo preparar uma poção ou fazer uma pausa com a mesma habilidade.
str_npc16_backstory_b|Os Balchoth eram uma raça feroz de homens da minha terra natal, massacrados por esses ocidentais, com exceção de alguns poucos homens. Perseguidos como bestas de carga para servir de alimento para suas lâminas. O sangue derramado por essas lâminas é o mesmo sangue que corre dentro de mim, pois dentro de mim sua casa continua.
str_npc17_backstory_b|Você pode fazer muitas coisas com as árvores, sabia? É o que eu faço. Trabalho com árvores e faço coisas com elas. Às vezes, arbustos também. Mas eu gosto mais de árvores.
str_npc1_backstory_c|No entanto, temo que estejamos em desvantagem numérica aqui em Ithilien e que não duraremos muito sem reforços ou ações mais ousadas do nosso Regente. Eu poderia muito bem ajudar onde minhas ações seriam mais relevantes, se o meu Capitão Faramir me der permissão.
str_npc2_backstory_c|Por mais importante que seja meu dever aqui, estou bastante ansioso para ver combates de verdade e... elfos, árvores falantes e olifantes! Você parece bem viajado, comandante, e não estou dizendo isso como uma crítica à sua aparência, nem de longe. Eu aprendo rápido e sei cozinhar... bem, bom o suficiente para soldados, pelo menos. Não me engano, você está procurando voluntários?
str_npc3_backstory_c|Então, aqui estou eu, desgraçado e amargurado. Meus éored devem estar a quilômetros de distância agora, e eu não teria a mínima chance de alcançá-los, não com todos os orcs e selvagens vagando pelas planícies. Por acaso você precisa de um bom cavaleiro rohirrim?
str_npc4_backstory_c|Você deve saber que mulheres, por mais habilidosas que sejam, não têm permissão para cavalgar com os éoredas. No entanto, não creio que esperar perto da lareira pelo retorno dos guerreiros seja o meu destino. Não ficarei parada até que toda a chance de grandes feitos se esgote nesta Guerra, e agradeceria sua ajuda, guerreiro.
str_npc5_backstory_c|No entanto, se os inimigos de Lothlórien estiverem em fuga, eu poderia considerar me juntar a você por um tempo, {playername}. Sinto que nossos destinos nesta Guerra estão interligados.
str_npc6_backstory_c|Você não entenderia isso, eu acho, já que está preparado para a guerra. Mas você deve ter viajado muito e por muito tempo – já viu as outras grandes florestas? Pode me levar até lá?
str_npc7_backstory_c|Há uma calmaria na luta que não convém a um guerreiro anão com a minha ancestralidade e temperamento. Imagino que você veja muito mais ação em suas viagens e que sua causa seja amigável com os anões? Sei que um anão guerreiro aumentará muito suas chances de sobrevivência.
str_npc8_backstory_c|Ouvi dizer que há muita luta em outros lugares e que nossas terras estão, felizmente, poupadas por enquanto. Pelos arranhões em sua armadura, você deve ter estado em perigo muitas vezes. Talvez minhas humildes habilidades pudessem ser melhor aproveitadas com sua companhia, para o bem de todos.
str_npc9_backstory_c|Sou um Uruk-hai guerreiro e um berserker! O que há para saber sobre matar homens, eu sei. Eu estava a serviço da Mão Branca, mas agora a Mão provavelmente me jogaria nas fogueiras.^^Eu iria com você e caçaria homens no sul, enquanto os snagas de Isengard rangem os dentes.
str_npc10_backstory_c|Talvez você possa ser meu próximo mestre.
str_npc11_backstory_c|Tudo bem, tudo bem! Meu nariz não serve para muita coisa. Acho que meus olhos são melhores que meu nariz. Ai! Mas meu nariz só não serve porque não sabe o cheiro de nada. Ele nem sabe o que está procurando, eu te digo. Ar! Só preciso ir embora e começar a farejar.
str_npc12_backstory_c|Ah, se eu tiver a chance, vou dar uma escapadinha e me instalar em algum lugar sozinho com alguns rapazes de confiança, algum lugar onde haja bons saques acessíveis, e sem chefões. Gostaria de tentar um lugar onde não haja nenhum deles, como nos velhos tempos.
str_npc13_backstory_c|Segui meus parentes para o norte e atendi ao seu chamado sombrio, para cumprir o dever que tenho para com meu povo. Mas neles vejo sua escuridão habitar e busco fazer minha parte nesta guerra em outro lugar, até que as areias do meu tempo não caiam mais. Mesmo agora, sinto-as começar a escorrer onde antes havia uma cascata.
str_npc14_backstory_c|Mas ainda vem a maré mais sombria, uma maré negra de sombras, que se erguerá sobre estas terras como nenhum olho mortal jamais viu. Esta é a maré que busco dominar, mas não tenho uma tripulação forte o suficiente para enfrentar esta tempestade.
str_npc15_backstory_c|Depois de muitos invernos, saí dos túneis e procurei nas Florestas Sombrias um bom lugar para morar e praticar minhas artes. Eu estava indo bem, até que uns desgraçados enormes e feios com tatuagens brancas – eca! Brancos! Como a cara de um elfo! – uns desgraçados enormes, eles eram. Eles incendiaram meu cantinho na Floresta, e eu tive que me esconder nas cavernas de novo... Aqui dentro... Diga, você tem alguma coisa para comer? Talvez um belo cavalo?
str_npc16_backstory_c|Isso foi há muitas vidas humanas, em uma época diferente, mas o tempo de luto e contos acabou. Chegou a hora da retribuição do meu povo, e eu gravarei a vingança do meu povo na face destas terras ocidentais. Pela minha mão, seus lares serão devastados e definharão até que seu clã não exista mais!
str_npc17_backstory_c|Se você for à floresta, talvez eu vá junto e lhe conte sobre as árvores de lá? Tem muitas árvores bem interessantes lá, sabia?
str_npc1_backstory_later|Tenho liderado grupos de reconhecimento para o sul, até Emyn Arnen. Há muita atividade inimiga e muitos orcs caíram em nossa emboscada. Infelizmente, são apenas algumas cabeças de orc rolando pelas ravinas; vimos uma miríade de criaturas imundas em marcha. Temo pelos meus Ithilien e pelo destino de Gondor.
str_npc2_backstory_later|Tivemos algumas visitas ultimamente, e ainda faltam poucas. Acho que isso não é um bom presságio.
str_npc3_backstory_later|Ainda não tenho notícias do meu éored e estou ansioso para caçar alguns orcs.
str_npc4_backstory_later|Mais cavaleiros retornam com os corpos quebrados, e tento ajudar no que posso. Mas ainda me sinto preso numa gaiola.
str_npc5_backstory_later|Já reconsiderou? O tempo para os Eldar está se esgotando.
str_npc6_backstory_later|Estou observando um ninho de aranhas gigantes há alguns dias. Criaturas feias, parecem à primeira vista, mas mantêm os intrusos afastados. Você veio me pedir para viajar com você?
str_npc7_backstory_later|Construir muralhas defensivas é digno de qualquer anão. Mas eu também preciso usar meu machado. Logo. Deixe-me ir com você.
str_npc8_backstory_later|Fiz novamente um chamado para o nosso Rei, desta vez para vomitar. Espero que a sua determinação em enfrentar o inimigo não esteja relacionada à sua condição. Você também sofre de constipação e vômito?
str_npc9_backstory_later|O que você acha que eu faço? Gulm está sentado aqui, esperando que algum snaga o mande pro escuro. Leve-me com você — eu lhe servirei bem.
str_npc10_backstory_later|Já reconsiderou? Eu vou servir bem.
str_npc11_backstory_later|Argh! Foi você! Eu senti seu cheiro, eu sabia que você estava vindo. Diga isso aos chefes, sim? Eles acham que, já que fui expulso dos rastreadores, é seguro me desrespeitar, bem, eles estão enganados, vou enfiar uma flecha na barriga deles primeiro. E de quem foi a culpa? Não minha!
str_npc12_backstory_later|Tenho minhas ordens. Qualquer invasor encontrado pelos meus rapazes aqui em cima deve ser despido; dentes, unhas, cabelo e tudo. Mas eu tenho meus observadores. Sabemos que há coisas estranhas acontecendo: com os chefões indo para a guerra e tudo mais. Coisas importantes acontecendo lá no oeste, dizem eles. Ficar aqui sentado sem fazer nada vale mais do que a minha barriga.
str_npc13_backstory_later|Meu papel aqui é favorável à causa sombria, e mais uma vez os nortistas temem o sul. Vejo grandes vitórias pela frente e rios de sangue deixados em nosso rastro. Mas a cada vitória, vejo meus semelhantes corrompidos, seus corações torcidos pela sua vontade maligna. A visão disso me leva ao desespero.
str_npc14_backstory_later|Você voltou, estranho, talvez seja um presságio. Eu estava lendo as águas e as vi escurecer. O mar muda os olhos de um homem e o ensina a usar os olhos para ouvir a linguagem dela.
str_npc15_backstory_later|Muitos foram os grandes que imploraram para serem curados pelas minhas poções. Os amantes de cavalos e os elfos de rosto pálido são muitos, porém, e eu tive que abandonar minha cabana mais uma vez, e estou... bem, Grande Senhor, não tenho tanta sorte quanto quando lutamos juntos, e você era grato pelas minhas habilidades...
str_npc16_backstory_later|Por muito tempo a história do meu povo narra estas terras. Não sei o que suas histórias traiçoeiras dizem dos dias em que meu povo entrou nesta terra, mas tristes e sombrias serão suas histórias quando meu povo voltar. Como uma tempestade de cascos, espadas e flechas, nós os traremos a ruína como os Balchoth antes de nós.
str_npc17_backstory_later|Eu vi um pinheiro muito velho outro dia. Pinheiros podem ficar muito velhos. Você tem que respeitar árvores velhas. Mas também vi alguns que não respeitam árvores de jeito nenhum. Você respeita árvores, não é?
str_npc1_backstory_response_1|Se você puder me dar uma licença, preciso muito de um guerreiro experiente e de um rastreador.
str_npc2_backstory_response_1|Você está certo, estou procurando voluntários.
str_npc3_backstory_response_1|Se você consegue viver sem cerveja, eu daria boas-vindas a um bom cavaleiro.
str_npc4_backstory_response_1|Eu agradeceria a ajuda de uma escudeira de Rohan, se ela fosse oferecida.
str_npc5_backstory_response_1|Talvez seja presunçoso da minha parte perguntar, mas minha companhia poderia usar suas habilidades nas próximas batalhas.
str_npc6_backstory_response_1|Viajamos pelo mundo, mas para defender tudo o que é justo, lutamos contra o inimigo.
str_npc7_backstory_response_1|De fato, um guerreiro anão seria bem-vindo em minha companhia.
str_npc8_backstory_response_1|Podemos usar um curandeiro e um herbalista.
str_npc9_backstory_response_1|Acho que poderíamos dar um bom uso a um berserker.
str_npc10_backstory_response_1|Você fará isso.
str_npc11_backstory_response_1|Que tal sair correndo comigo?
str_npc12_backstory_response_1|Que tal ir embora comigo?
str_npc13_backstory_response_1|Que tal me seguir?
str_npc14_backstory_response_1|Que tal se juntar a mim?
str_npc15_backstory_response_1|Aha... Uma curandeira, hein? E você é boa nisso, você diz? Alguém como você me faria bem.
str_npc16_backstory_response_1|O que você está fazendo aqui?
str_npc17_backstory_response_1|Bem, sempre se pode aprender mais sobre árvores. Ficaremos felizes em ter você conosco.
str_npc1_backstory_response_2|Lamento ouvir isso. Que sua fé sustente sua bravura.
str_npc2_backstory_response_2|Não, desculpe. Estou procurando guerreiros experientes.
str_npc3_backstory_response_2|Não, desculpe. Estou procurando alguém mais confiável.
str_npc4_backstory_response_2|Sinto muito, minha senhora, não há nada que eu possa fazer.
str_npc5_backstory_response_2|Voltarei quando Lothlórien estiver em menos perigo.
str_npc6_backstory_response_2|Não, desculpe. Não podemos aceitar parasitas.
str_npc7_backstory_response_2|Não, desculpe. Nós nos damos bem sozinhos.
str_npc8_backstory_response_2|Não, desculpe. Só visitamos curandeiros quando precisamos deles.
str_npc9_backstory_response_2|Bah. Eu não confio em traidores.
str_npc10_backstory_response_2|Eu não preciso de você, escravo.
str_npc11_backstory_response_2|Não quero ouvir você se escondendo.
str_npc12_backstory_response_2|Os chefões sabem mais. É melhor você seguir ordens.
str_npc13_backstory_response_2|Esse é o seu destino: sofrer.
str_npc14_backstory_response_2|Já estou farto disto.
str_npc15_backstory_response_2|Bah! Preciso de lutadores, não de sorrateiros.
str_npc16_backstory_response_2|Já estou farto disto.
str_npc17_backstory_response_2|Não, me desculpe. Estamos indo para uma guerra, não para uma jornada botânica.
str_npc1_signup|Tenho certeza de que o Capitão Faramir entenderia que há outros que podem manter o Inimigo sob controle com ainda mais valor e coragem.
str_npc2_signup|Ah, que dia feliz! Eu ficaria feliz em me juntar à sua companhia.
str_npc3_signup|Confie em mim, comandante, toda a cerveja que preciso é a doce bebida da vitória. Se você puder me liderar contra o inimigo, eles logo sentirão a ponta afiada de uma lança Rohirrim!
str_npc4_signup|É oferecido com prazer, e você pode me receber em sua companhia, comandante.
str_npc5_signup|Entendo. Admito que já ouvi falar de você e de suas façanhas.
str_npc6_signup|Não gosto de violência e armas de guerra, mas sei como me defender rapidamente.
str_npc7_signup|Sou habilidoso com machados, tanto de empunhar quanto de arremessar. Também posso manter suas contas baixas se você me deixar falar com os mercadores. E tenho um olho para encontrar os melhores itens de saque de inimigos caídos no campo de batalha.
str_npc8_signup|Sério? Pois bem, só preciso reunir minhas ervas e receitas.
str_npc9_signup|Um Uruk guerreiro vale mais do que todos os seus snagas. Um Uruk guerreiro nunca foge da batalha.
str_npc10_signup|Sério? Seria bom você me alistar.
str_npc11_signup|Siga sua turma, Ai? Ar! Ouvi falar de tudo isso que está acontecendo no oeste, com invasões e tudo, e centenas de nossos rapazes mortos. Vou dar uma olhada com vocês mesmo assim, e ver o que estão aprontando.
str_npc12_signup|Siga sua ralé, hein? Posso ter tido um pouco de sorte finalmente. Eu dou um bom ronco, eu acho, e meu chicote está vigilante. Ele já provou sua cota da pele de orc dos meus rapazes.
str_npc13_signup|Posso segui-lo, se me permitir. Minhas pernas conduzem bem um cavalo entre elas, e minhas mãos conhecem bem a sensação das lâminas da lua crescente. Meus dedos podem lançar flechas como a provação das estrelas sobre o nosso inimigo, seja a cavalo ou a pé, embora a forma como eu luto esteja sob o seu comando.
str_npc14_signup|Talvez, saiba que não sou ladrão nem salteador. Não roubarei, nem tomarei aquilo que outras vidas possam achar necessário.
str_npc15_signup|Heh-heh. Você tem razão! Simmm! Você é sábio, Grande Capitão.
str_npc16_signup|Aguardo ordens, com cada segundo que passa escurecendo meu coração. Não aguento mais esperar pelos planos de senhores e capitães distantes, tão invisíveis que sua existência é mais acreditada em lendas do que em carne e osso. Senhores cujas ordens sussurradas são trazidas e gritadas por homens inferiores. Aguardo, e comigo, a vingança do meu povo também aguarda.
str_npc17_signup|Muito bom! Eu conheço muitas árvores. Em breve você também conhecerá muitas árvores. Assim como eu. Porque eu conheço muitas árvores.
str_npc1_signup_2|Levaria um momento para falar com meu capitão e reunir minhas coisas.
str_npc2_signup_2|Preciso falar com meu sargento primeiro e depois vamos embora. Há batalhas gloriosas para serem travadas e todos os tipos de criaturas estranhas para ver!
str_npc3_signup_2|Estou esperando alguém me levar, então só preciso selar meu cavalo e estamos prontos para cavalgar.
str_npc4_signup_2|Já cacei muitas vezes com arcos e lanças de arremesso. Caçarei orcs sob seu comando. E tenho alguma habilidade em cura que certamente será necessária.
str_npc5_signup_2|Talvez, juntando-me à sua companhia e atacando com força onde não sou esperado, o Inimigo fique desequilibrado. Eu irei.
str_npc6_signup_2|Talvez eu possa te ensinar a se mover mais rápido e fazer menos barulho. Vamos lá.
str_npc7_signup_2|Se você conseguir manter as pessoas grandes na linha, especialmente os elfos furtivos, terei prazer em me juntar a você.
str_npc8_signup_2|Devo avisá-lo, porém, que sou praticamente inútil em batalha. Mas tenho certeza de que você é capaz de manter uma mulher da minha idade em segurança.
str_npc9_signup_2|Mas você precisa decidir rápido, os guardas aqui estão ficando desconfiados.
str_npc10_signup_2|Você não vai se arrepender de me contratar.
str_npc11_signup_2|Tem muita coisa por aí para o meu nariz cheirar também, e minha faca provar. Eles não sabem muita coisa agora, mas aprendem rápido, sim. O que você acha?
str_npc12_signup_2|Vou mostrar ás suas lesmas onde há um chicote, há vontade, e dar a eles toda a chicotada que suas peles suportarem. Se seus rapazes aguentarem bem, isso deve colocá-los num bom trote. O que você diz?
str_npc13_signup_2|Saiba, porém, que minha lealdade estará sempre com meus parentes. Lutei até aqui e perdi muito por eles. Não lhes darei as costas, pois o destino deles será o meu.
str_npc14_signup_2|É uma sorte que aqueles que não estão mais neste mundo não sintam necessidade dos tesouros deste mundo, e eu tenho a sorte de ser hábil em maneiras de ajudar a aliviar as necessidades mundanas dos donos desses tesouros.
str_npc15_signup_2|Oh, este é um grande momento para Bolzog, o Talentoso, e para você, Grande Senhor! Conquistaremos juntos, você, indestrutível com meu toque de cura, e eu, o Grande Sábio Orc, que o apoiarei!
str_npc16_signup_2|Receio não poder esperar mais. Pretendo me juntar ao próximo grupo a deixar o acampamento, com a aprovação do meu Chefe ou não. Receio que a guerra já tenha acabado muito antes de eu partir para me juntar a ela.
str_npc17_signup_2|Vou pegar algumas das minhas ferramentas e podemos ir. Tem um carvalho ali na estrada que preciso te mostrar!
str_npc1_signup_response_1|Eu gostaria de ter um guardião habilidoso, fique à vontade para entrar.
str_npc2_signup_response_1|Muito bem. Um pouco de alegria seria bom nestes tempos sombrios.
str_npc3_signup_response_1|Muito bem. Preparem-se, partiremos em breve.
str_npc4_signup_response_1|Impressionante. Estamos prontos para partir, quando a senhora quiser.
str_npc5_signup_response_1|Será uma honra ter a companhia de um senhor elfo.
str_npc6_signup_response_1|Muito bem. Espero que você não fuja do primeiro orc que virmos.
str_npc7_signup_response_1|Muito bem, Mestre Anão, você é bem-vindo para se juntar a nós.
str_npc8_signup_response_1|Você estará seguro conosco, eu prometo. Partiremos em breve.
str_npc9_signup_response_1|Muito bem. Faça o que eu mando e eu te alimentarei bem.
str_npc10_signup_response_1|Muito bem. Vamos lá.
str_npc11_signup_response_1|Muito bem. Vamos lá.
str_npc12_signup_response_1|Acho que poderíamos fazer bom uso de você.
str_npc13_signup_response_1|Acho que poderíamos fazer bom uso de você.
str_npc14_signup_response_1|Muito bem. Vamos lá.
str_npc15_signup_response_1|Hummm. Admiro sua... confiança. Prepare seu equipamento.
str_npc16_signup_response_1|Que tal me seguir?
str_npc17_signup_response_1|Ótimo! Espero que você não fique falando de árvores o tempo todo.
str_npc1_signup_response_2|Não preciso da sua companhia no momento, boa sorte para você.
str_npc2_signup_response_2|Desculpe, mudei de ideia.
str_npc3_signup_response_2|Desculpe, mudei de ideia. Talvez na próxima vez.
str_npc4_signup_response_2|Peço desculpas, minha senhora, talvez em outra ocasião.
str_npc5_signup_response_2|Pensando bem, talvez precisemos ajudar Lothlórien nós mesmos.
str_npc6_signup_response_2|Desculpe, não consigo imaginar você em um campo de batalha.
str_npc7_signup_response_2|Desculpe, eu gosto de elfos.
str_npc8_signup_response_2|Desculpe, todo mundo luta na minha companhia.
str_npc9_signup_response_2|Mudei de ideia. Quem estiver procurando por você pode vir atrás de mim em seguida.
str_npc10_signup_response_2|Mudei de ideia.
str_npc11_signup_response_2|Eu não preciso de você, escrava.
str_npc12_signup_response_2|Mudei de ideia. 
str_npc13_signup_response_2|Mudei de ideia.
str_npc14_signup_response_2|Mudei de ideia.
str_npc15_signup_response_2|Na verdade, acho que vou procurar um verdadeiro curandeiro e não um fanfarrão.
str_npc16_signup_response_2|Eu já ouvi o bastante
str_npc17_signup_response_2|Por outro lado, acho que mudei de ideia. Você é meio maluco, né?
str_npc1_payment|Eu me juntaria a vocês, mas meu Capitão Faramir sentiria falta da minha presença aqui. [custa {reg14} Influência com {s14}]
str_npc2_payment|Receio que o guarda Sargento não me deixaria ir. [custa {reg14} Influência com {s14}]
str_npc3_payment|Hum, parece que acumulei uma conta e tanto nesta bela taverna, então preciso liquidar minha conta antes de poder ir embora. [custa {reg14} Influência com {s14}]
str_npc4_payment|Eu me juntaria a você, mas quem cuidará dos feridos se a cidade for atacada? [custa {reg14} Influência com {s14}]
str_npc5_payment|Devemos partir em breve. O valor da minha vinda será diminuído se o Inimigo sentir minha presença antes de atacarmos. Mas Lothlórien também precisa de mim aqui. [custa {reg14} Influência com {s14}]
str_npc6_payment|Eu me juntaria a você, mas meu dever é aqui. [custa {reg14} Influência com {s14}]
str_npc7_payment|Eu me juntaria a você, mas temo que meu honrado pai Dwalin não entenderá por que deixei a cidade em um momento de necessidade. [custa {reg14} Influência com {s14}]
str_npc8_payment|Não posso abandonar meus deveres aqui, meu Rei ainda precisa de mim. Estou muito preocupado com a saúde dele. [custa {reg14} Influência com {s14}]
str_npc9_payment|Quero ir com você, mas os guardas do portão não me deixam.^Confie em mim, eu tentei. [custa {reg14} Influência com {s14}]
str_npc10_payment|Eu me juntaria a você, mas meu dever é aqui. [custa {reg14} Influência com {s14}]
str_npc11_payment|Só preciso de alguém para fazer o Chefe. Podemos esperar até ele fechar os olhos para cortar, mas acho que alguém bem alto pode forçar os olhos dele a fecharem. Ai! [custa {reg14} de Influência com {s14}]
str_npc12_payment|Ei! Ei! Vou precisar lembrar os meninos para ficarem com a boca sarnenta fechada, senão os chefões vão pegar meu número e me dar um show. [custa {reg14} Influência com {s14}]
str_npc13_payment|Infelizmente, os Chefes aqui não me permitirão sair. Você consegue convencê-los do contrário? [custa {reg14} Influência com {s14}]
str_npc14_payment|O capitão do Haven precisará de muita persuasão para me deixar ir. Convença-o e navegaremos em meio a esta tempestade. [custa {reg14} Influência com {s14}]
str_npc15_payment|Ah, sim. Nobre Guerreiro-Senhor! Há um pequeno obstáculo! Uma grande injustiça me aconteceu, pois o mestre desta caverna não gostou da minha oferta de cura e roubou todo o meu equipamento! Que descaramento! Roubar do Grande Bolzog! Mestre, não consigo recuperar meu equipamento inestimável das suas garras imundas! [custa {reg14} de Influência com {s14}]
str_npc16_payment|Não te seguirei, seguirei meu próprio caminho; mas o teu caminho pode acompanhar o meu por um tempo. Porém, antes de viajar por estas terras, devo primeiro prestar homenagem àqueles que morreram tentando antes de nós. Mostra-lhes o teu tributo e poderemos partir. Nunca devemos esquecer os nossos antepassados. Eles não nos esqueceram. [custa {reg14} Influência com {s14}]
str_npc17_payment|Gosto de árvores, mas meu velho tio precisa de mim aqui. [custa {reg14} Influência com {s14}]
str_npc1_payment_response|Não se preocupe, eu vou combinar sua saída com ele. [custa {reg14}/{reg15} Influência]
str_npc2_payment_response|Não se preocupe, falarei com seu sargento. [custa {reg14}/{reg15} de influência]
str_npc3_payment_response|É melhor que valha a pena. Vou me acertar com o barman. [custa {reg14}/{reg15} de Influência]
str_npc4_payment_response|É uma causa nobre, mas tenho certeza de que um substituto pode ser encontrado. [custa {reg14}/{reg15} Influência]
str_npc5_payment_response|Confie em mim, você será mais útil comigo. [custa {reg14}/{reg15} Influência]
str_npc6_payment_response|De agora em diante, seu dever é comigo. [custa {reg14}/{reg15} Influência]
str_npc7_payment_response|Mestre Dwalin entenderá que um anão capaz de lutar não deve ser mantido longe de nossos inimigos por muito tempo. [custa {reg14}/{reg15} Influência]
str_npc8_payment_response|O bem-estar do Rei é importante, mas você salvará mais vidas comigo. [custa {reg14}/{reg15} Influência]
str_npc9_payment_response|Ah, mas o guarda não ousará impedi-lo, se você estiver comigo. [custa {reg14}/{reg15} Influência]
str_npc10_payment_response|De agora em diante, seu dever é comigo. [custa {reg14}/{reg15} Influência]
str_npc11_payment_response|Não se preocupe com seu chefe, agora você me serve. [custa {reg14}/{reg15} Influência]
str_npc12_payment_response|Seus rapazes receberão novas ordens, eu me preocuparei com os altos escalões. [custa {reg14}/{reg15} Influência]
str_npc13_payment_response|Eles verão o contrário, pois agora sou seu Chefe. [custa {reg14}/{reg15} Influência]
str_npc14_payment_response|Você não precisa se preocupar com o velho Capitão do Porto. [custa {reg14}/{reg15} Influência]
str_npc15_payment_response|Não tem preço, não é? Vou pegar seu equipamento. [custa {reg14}/{reg15} de Influência]
str_npc16_payment_response|Eu honro os ancestrais, os seus e os meus. [custa {reg14}/{reg15} Influência]
str_npc17_payment_response|Seu tio ficará bem. Você está comigo agora. [custa {reg14}/{reg15} de Influência]
str_npc1_morality_speech|Capitão, não consigo entender como você pode {s21} e abandonar nossos homens. O Capitão Faramir jamais teria perdido de vista a compaixão por seus Guardiões e os feito sofrer sem necessidade.
