
str_yes|Tak.
str_npc7_signup_response_2|Wybacz, ale lubię Elfy.
str_npc8_signup_response_2|Wybacz, każdy walczy w mojej kompanii.
str_npc9_signup_response_2|Zmieniłem zdanie. Ktokolwiek szuka ciebie, może następnie przyjść po mnie.
str_npc10_signup_response_2|Zmieniłem zdanie.
str_npc11_signup_response_2|Nie potrzebuję cie, niewolniku.
str_npc12_signup_response_2|Zmieniłem zdanie.
str_npc13_signup_response_2|Zmieniłem zdanie.
str_npc14_signup_response_2|Zmieniłem zdanie.
str_npc15_signup_response_2|Właściwie, to myślę, że będę szukał prawdziwego uzdrowiciela, a nie bufona.
str_npc16_signup_response_2|Mam tego dość.
str_npc17_signup_response_2|Z drugiej strony myślę, że zmieniłem zdanie. Jesteś trochę szalony, nieprawdaż?
str_npc1_payment|Dołączę do ciebie, ale mój kapitan Faramir będzie tęsknił za moją obecnością tutaj. [koszty {reg14} Wpływ z {s14}]
; str_npc2_payment|The guard Sergeant would not let me go, I'm afraid. [costs {reg14} Influence with {s14}]
; str_npc3_payment|Ahem, it seems that I have ran up quite a tab in the fine tavern here, so I'll need to settle my account before I can leave. [costs {reg14} Influence with {s14}]
; str_npc4_payment|I would join you, but who will care for the wounded if the city is attacked? [costs {reg14} Influence with {s14}]
; str_npc5_payment|We should be off soon. The value of my coming will be diminished if the Enemy senses my presence before we have struck. But Lothlórien also needs me here. [costs {reg14} Influence with {s14}]
; str_npc6_payment|I would join you, but my duty is here. [costs {reg14} Influence with {s14}]
; str_npc7_payment|I would join you, but I'm afraid my honorable father Dwalin will not understand why I left the town in a time of need. [costs {reg14} Influence with {s14}]
; str_npc8_payment|I cannot abandon my duties here, my King still needs me. I'm too concerned for his health. [costs {reg14} Influence with {s14}]
; str_npc9_payment|I want to leave with you, but the guards at the gate won't let me.^Trust me, I've tried. [costs {reg14} Influence with {s14}]
; str_npc10_payment|I would join you, but my duty is here. [costs {reg14} Influence with {s14}]
; str_npc11_payment|I just need someone to do in the Boss. We could wait till he closes his eyes to lop off, but I reckon someone really high up can force his eyes shut. Ai! [costs {reg14} Influence with {s14}]
; str_npc12_payment|Hai! Yoi! I'll need to remind the boys to keep their mangy gobs shut or the High Ups will get my number and 'ave it out for me, they will. [costs {reg14} Influence with {s14}]
; str_npc13_payment|Alas the Chieftains here will not to allow my leave. Are you able to convince them otherwise? [costs {reg14} Influence with {s14}]
; str_npc14_payment|The captain of the Haven will require much persuasion for my leave. Convince him and we shall set sail through this storm. [costs {reg14} Influence with {s14}]
; str_npc15_payment|Ah, yes. Noble Warrior-Lord! One small impediment is there! A great injustice befell me, that the master of this cave did not like my offer of healing, and has stolen all my gear! The cheek! To steal from the Great Bolzog! Master, I can't recover my priceless equipment from his filthy claws! [costs {reg14} Influence with {s14}]
; str_npc16_payment|I will not follow you, I will go my own path; but your path may go along with mine for a while. Though, before I travel these lands I must first pay tribute to those who died trying before us. Show them your tribute and we may make our leave. We must never forget our ancestors. They have not forgotten us. [costs {reg14} Influence with {s14}]
; str_npc17_payment|I like trees, but my old uncle needs me here. [costs {reg14} Influence with {s14}]
; str_npc1_payment_response|Don't worry, I'll arrange your leave with him. [costs {reg14}/{reg15} Influence]
; str_npc2_payment_response|Don't worry, I'll talk with your Sergeant. [costs {reg14}/{reg15} Influence]
; str_npc3_payment_response|This better be worth it. I'll settle with the barkeep. [costs {reg14}/{reg15} Influence]
; str_npc4_payment_response|It's a noble cause, but I'm sure a replacement can be found. [costs {reg14}/{reg15} Influence]
; str_npc5_payment_response|Trust me, you will be more useful with me. [costs {reg14}/{reg15} Influence]
; str_npc6_payment_response|From now on, your duty is with me. [costs {reg14}/{reg15} Influence]
; str_npc7_payment_response|Master Dwalin will understand that a battle-worthy dwarf should not be kept from our enemies for too long. [costs {reg14}/{reg15} Influence]
; str_npc8_payment_response|The King's well-being is important, but you will save more lives with me. [costs {reg14}/{reg15} Influence]
; str_npc9_payment_response|Oh, but the guard won't dare stop you, if you are with me. [costs {reg14}/{reg15} Influence]
; str_npc10_payment_response|From now on, your duty is with me. [costs {reg14}/{reg15} Influence]
; str_npc11_payment_response|Never mind your Boss, you serve me now. [costs {reg14}/{reg15} Influence]
; str_npc12_payment_response|Your boys will get new orders, I'll worry about the High Ups. [costs {reg14}/{reg15} Influence]
; str_npc13_payment_response|They will see otherwise, for I'm your Chieftain now. [costs {reg14}/{reg15} Influence]
; str_npc14_payment_response|You don't need to worry about the old Harbor-master. [costs {reg14}/{reg15} Influence]
; str_npc15_payment_response|Priceless, is it? I'll get your gear. [costs {reg14}/{reg15} Influence]
; str_npc16_payment_response|I honor the ancestors, yours and mine. [costs {reg14}/{reg15} Influence]
; str_npc17_payment_response|Your uncle will be fine. You are with me now. [costs {reg14}/{reg15} Influence]
str_npc1_morality_speech|Dowódco, nie pojmuję jak możesz {s21} i porzucać naszych ludzi! Kapitan Faramir nigdy nie utraciłby swego politowania dla swoich Rangersów i pozwolił im cierpieć bez potrzeby.
str_npc2_morality_speech|Mam nadzieję, że nie masz nic przeciwko wysłuchaniu mej opinii, lecz trochę trudno mi godzić się na to, że {s21} . Być może powinienem starać się być twardszym wojownikiem, ale jeśli tylko mógłbyś... bardziej przejmować losem swoich, spokój zagościłby w mym sercu,
str_npc3_morality_speech|Dowódco, me dumni Eorlingowie nigdy nie {s21} . Nadze konie nie męczą się tak łatwo, dlatego jeśli tylko się przegrupujemy, nie ma takiej sytuacji, w której szybki kontratak nie przyniósłby nam zwycięstwa. Zastanów się następnym razem zanim pomyślisz o takim głupstwie.
str_npc4_morality_speech|Nie ma co sobie zaprzątać głowy tym, co mówią żołnierze. Czasem {s21} to najlepsze rozwiązanie. W ten sposób uniknęliśmy wiele przelanej krwi i połamanych kości. Nasze ostrza przydadzą się bardziej jeślim żyw, aniżeli naszym truchłom w piachu. 
str_npc5_morality_speech|Przemyśl lepiej swe decyzje, dowódco. {s21} czyni nas równie niehonorowym co naszych wrogów i odbiera zaufanie, którym darzą cię sprzymierzeńcy.
str_npc7_morality_speech|Nie byłem zadowolony, że postanowiłeś {s21}. Polec w walce to zaszczyt dla każdego dobrze myślącego krasnoluda, ale walka u boku tchórza jest hańbą. Co powiedzą moi kuzyni, jeśli się o tym dowiedzą? 
str_npc8_morality_speech|Dowódco, muszę się sprzeciwić. {s21} jest drażniące dla mężczyzn i zbędne. Robię co mogę, aby złagodzić ich cierpienie, ale proszę, nie popełnij więcej tak kosztownego błędu.
str_npc9_morality_speech|Walczący Uruk-hai nie {s21}. Jeśli Pan ma mało odwagi, może znaleźć się bez nich pewnej nocy. Gulm przemówił.
; str_npc15_morality_speech|You may think that Bolzog the Great can cure all, {playername}, but even I have my limits! If you continue to {s21} even my talent will struggle! You must give me some support! I cannot resurrect the dead, whether they starve or are hacked to pieces!
str_npc1_2ary_morality_speech|Kapitan, zostałem wychowany jako Dúnadan, zarówno w hołdzie, jak i honorze. Wolałabym, żebyśmy tego nie robili {s21}.
str_npc4_2ary_morality_speech|Proszę o wybaczenie, dowódco. Kobiety z mojej stacji zaakceptują śmierć, ale nie zhańbioną. {s21} przynosi wstyd mojego domowi i przodkom.
; str_npc15_2ary_morality_speech|Hi-hi-hi! You are cunning, Oh Lord! You take the gold, and nod, and say 'yes master' but all the time you planned this! Hi-Hi! Only, we must be careful, that The Big One does not see you deceiving him...
str_npc1_personalityclash_speech|Wspominałam że Nienawidzę { s11 }?
str_npc2_personalityclash_speech|Wspominałam że Nienawidzę { s11 }?
str_npc3_personalityclash_speech|Dowódco, jak to się stało że skończyliśmy z {s11} w oddziale?\nJest on dosyć zwinny, wydaje mi się, ale zbyt często gada o zasadzkach - w przeciwieństwie do ostrożnej natury jego ludu
str_npc4_personalityclash_speech|Wspominałam że Nienawidzę { s11 }?
str_npc5_personalityclash_speech|Wspominałam że Nienawidzę { s11 }?
str_npc6_personalityclash_speech|{playername} Widziałem tylko {s11} chodząc bezczelnie na gnieździe młodych ptaków. Jego niezdarność zniszczyło młode życie niewinnych stworzeń.
str_npc7_personalityclash_speech|\nPan {s11} dobrze radzi sobie w walce , ale zastanawiam się, czy on oślepia wroga przez blask we włosach ? Albo upadnają pod wrazeniem jego sławy i zarozumiałej postawy ?
str_npc8_personalityclash_speech|Dowódco , muszę złożyć skargę { s11 }. On nadal prześladowywuje mnie o co mu pewną napar o nazwie " zielona wróżka " . ?
str_npc9_personalityclash_speech|Wspominałam że Nienawidzę { s11 }?
str_npc10_personalityclash_speech|Wspominałam że Nienawidzę { s11 }?
str_npc11_personalityclash_speech|Wspominałam że Nienawidzę { s11 }?
str_npc12_personalityclash_speech|Wspominałam że Nienawidzę { s11 }?
str_npc13_personalityclash_speech|Wspominałam że Nienawidzę { s11 }?
str_npc14_personalityclash_speech|Wspominałam że Nienawidzę { s11 }?
str_npc15_personalityclash_speech|Wspominałam że Nienawidzę { s11 }?
str_npc16_personalityclash_speech|Wspominałam że Nienawidzę { s11 }?
str_npc17_personalityclash_speech|Wspominałam że Nienawidzę { s11 }?
str_npc1_personalityclash_speech_b|Nie nawidze {s11}.
str_npc2_personalityclash_speech_b|Nie nawidze {s11}.
str_npc3_personalityclash_speech_b|\nNie mam wojny z ludźmi Gondoru , ale chcemy to zrobić lepiej z bardziej odważnymi jeźdźcami mniej niechętnie naziemnych Huggers , jeśli złapiesz o co mi chodzi .
str_npc4_personalityclash_speech_b|Nie nawidze {s11}.
str_npc5_personalityclash_speech_b|Nie nawidze {s11}.
str_npc6_personalityclash_speech_b|\nJego krasnoludzkie sposoby mogą służyć mu dobrze pod ziemią, choć to nic dziwnego , że nie spadły brzydkie wałki . Może powinien mieć.
str_npc7_personalityclash_speech_b|\nChcielibyśmy zrobić lepiej z krasnoludzkiego bohatera , kogoś takiego jak Durin Nieśmiertelnie starych, i niech Prynce Elfy wokół swoich lasów.
str_npc8_personalityclash_speech_b|Wykonana jest z piołunu nasączone alkoholem i najwyraźniej faworyzowana  przez bardów i włóczęgów widząc rzeczy , których nie ma . Wątpię że zgodzisz się żeby twoi żołnierze ganiali za wiatrem na polu bitwy, mimo że może to być zabawne do oglądania.
str_npc9_personalityclash_speech_b|Nie nawidze {s11}.
str_npc10_personalityclash_speech_b|Nie nawidze {s11}.
str_npc11_personalityclash_speech_b|Nie nawidze {s11}.
str_npc12_personalityclash_speech_b|Nie nawidze {s11}.
str_npc13_personalityclash_speech_b|Nie nawidze {s11}.
str_npc14_personalityclash_speech_b|Nie nawidze {s11}.
str_npc15_personalityclash_speech_b|Nie nawidze {s11}.
str_npc16_personalityclash_speech_b|Nie nawidze {s11}.
str_npc17_personalityclash_speech_b|Nie nawidze {s11}.
str_npc1_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc2_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc3_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc4_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc5_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc6_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc7_personalityclash2_speech|Ładny mały świstek, eh kapitanie? Żeby tylko być nieco zrujnowany przez zachowanie tej elfki {s11}. 
str_npc8_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc9_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc10_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc11_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc12_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc13_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc14_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc15_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc16_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc17_personalityclash2_speech|Wspominałam że Nienawidzę { s11 }?
str_npc1_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc2_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc3_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc4_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc5_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc6_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc7_personalityclash2_speech_b|Widziałem, jak się chowa z tyłu, ledwie wypuszczając strzałę lub dwie w kierunku wroga. Mówię, pozwól jej odejść, aby mogła zająć się ptakami i pszczołami, abyśmy my mogli kontynuować krwawe dzieło zabijania wroga.
str_npc8_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc9_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc10_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc11_personalityclash2_speech_b|Nienawidzę {s11}.
str_npc12_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc13_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc14_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc15_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc16_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc17_personalityclash2_speech_b|Nie nawidze {s11}.
str_npc1_personalitymatch_speech|Czy zauważyłeś łaskę {s11} w ostatniej bitwie? Sposób, w jaki porusza się wokół wroga tuż przed uderzeniem ostatecznym ciosem? To tak, jak z dawnych czasów, kiedy elfie dziewice prezentowały się tak samo dobrze na polu bitwy, jak na swoich pięknych leśnych kortach.
str_npc2_personalitymatch_speech|Przepraszam, dowódco. Po prostu pomagałem {s11} w drobnych naprawach broni po tym ostatnim skrawku, a on nawet obiecał nauczyć mnie, jak poprawić moje uderzenia.
str_npc3_personalitymatch_speech|Czyż nie ma żadnej osłony Rohanu, która mogłaby zobaczyć ten widok? To prawda, że nasze kobiety są lepsze z powodu ogniska domowego, ale po zobaczeniu {s11} uderzenia wroga w tej ostatniej bitwie, zaczynam mieć wątpliwości.
str_npc4_personalitymatch_speech|Bitwa o wielkich czynach, dowódco, moje gratulacje z powodu zwycięstwa. Widziałem jak {s11} szybko i pewnie zaopiekował się rannymi i chorymi, nawet gdy ostatni z wrogów dostał to, na co zasłużył.
str_npc5_personalitymatch_speech|Czy wspominałem że lubię [s11]?
str_npc6_personalitymatch_speech|{playername}, tak samo jak nienawidzę bitew, nie mogę nie zauważyć, że mój Pan {s11} jedzie w pełnej okazałości i dźwiga brzydkie stworzenia jak jastrząb.
str_npc7_personalitymatch_speech|Krwawo i Zwycięsko, tak jak lubię. 
str_npc8_personalitymatch_speech|Kolejne zwycięstwo, dowódco, podziwiam twoją umiejętność oszczędzania życia naszych ludzi. Wojownik taki jak {s11} wydaje się bardzo użyteczny w twoich planach bitewnych.
str_npc9_personalitymatch_speech|Czy wspominałem że lubię {s11}?
str_npc10_personalitymatch_speech|Czy wspominałem że lubię {s11}?
str_npc11_personalitymatch_speech|Czy wspominałem że lubię {s11}?
str_npc12_personalitymatch_speech|Czy wspominałem że lubię {s11}?
str_npc13_personalitymatch_speech|Czy wspominałem że lubię {s11}?
str_npc14_personalitymatch_speech|Czy wspominałem że lubię {s11}?
str_npc15_personalitymatch_speech|Czy wspominałem że lubię {s11}?
str_npc16_personalitymatch_speech|Czy wspominałem że lubię {s11}?
str_npc17_personalitymatch_speech|Umm, szefie. Wydaje mi się, że {s11} dałby sobie radę w lesie. Umie rozróżnić jesion od wierzby. 
str_npc1_personalitymatch_speech_b|Uważam, że towarzystwo {s11} bardzo przyjemne, a jej rodzime wioślarstwo to rzadkie spojrzenie na to, co pozostało z umiejętności Sindarina na świecie. Wiesz, że mój ojciec nazwał mnie imieniem legendarnego kapitana Sindarin Elf służącego królowi Thingolowi z Doriath i zawsze czuję szczególną więź z uczciwym wyścigiem.
str_npc2_personalitymatch_speech_b|Moi starzy w domu zawsze opowiadali mi historie o Strażnikach z Ithilien i teraz widzę, że wszystkie są prawdziwe. Jeśli wszyscy są jak {s11}, czuję, że Gondor jest bezpieczniejszy.
str_npc3_personalitymatch_speech_b|Dowódco, osobista przysługa, chciałem zapytać, czy możesz nakazać {s11}, aby w następnej bitwie pozostała bardziej na tyłach? Nie mogłem znieść widoku jej krzywdy.
str_npc4_personalitymatch_speech_b|Zachowywanie życia to najszlachetniejszy czyn i czuję pokrewieństwo z taką życzliwą duszą, nawet jeśli nasze światy są daleko od siebie.
str_npc5_personalitymatch_speech_b|Lubię {s11}.
str_npc6_personalitymatch_speech_b|Zastanawiam się jak bardzo jest on stary. Może tuzin wieków starszy ode mnie? Nie ważne, i tak byś nie zrozumiał
str_npc7_personalitymatch_speech_b|{s11} i jej Dale-kinowie, nawet jeśli nie do końca zgodni ze standardami wojowników krasnoludów, okazali się niezłomnymi sojusznikami w tej wojnie. Dobry wybór dla przyjaciela i towarzysza wśród ludzi, jeśli mogę tak powiedzieć.
str_npc8_personalitymatch_speech_b|Mieszkańcy Dale mają głęboki szacunek dla odpornego, samotnego górskiego krasnoludzkiego ludu, jako przyjaciół i opiekunów, pomimo naszej różnej rasy i obyczajów.
str_npc9_personalitymatch_speech_b|Lubię {s11}.
str_npc10_personalitymatch_speech_b|Lubię {s11}.
str_npc11_personalitymatch_speech_b|Lubię {s11}.
str_npc12_personalitymatch_speech_b|Lubię {s11}.
str_npc13_personalitymatch_speech_b|Lubię {s11}.
str_npc14_personalitymatch_speech_b|Lubię {s11}.
str_npc15_personalitymatch_speech_b|Lubię {s11}.
str_npc16_personalitymatch_speech_b|Lubię {s11}.
str_npc17_personalitymatch_speech_b|Moi ludzie dogadują się z Leśnymi Elfami. Oni lubią drzewa. Ja lubię drzewa. Wszyscy lubimy drzewa
str_npc1_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc2_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc3_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc4_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc5_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc6_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc7_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc8_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc9_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc10_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc11_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc12_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc13_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc14_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc15_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc16_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc17_retirement_speech|Jestem już trochę zmęczony życiem wojownika , będę na emeryturze.
str_npc1_rehire_speech|Dobrze cię znowu widzieć, Kapitanie. Powinienem raz jeszcze do ciebie dołączyć?
str_npc2_rehire_speech|Szczęśliwy dzień! Dowódco, czy mogę do ciebię spowrotem dołączyć?
str_npc3_rehire_speech|Ho! Powinniśmy znów razem jechać ?
str_npc4_rehire_speech|Witaj ponowie, Możemy kontynuować tam gdzie skończyliśmy ostatnim razem?
str_npc5_rehire_speech|Dobrze Cię widzieć, {playername}, Pozwól nam podróżować razem.
str_npc6_rehire_speech|Miło Cię widzieć, {playername}. Pójdźmy jeszcze raz tą samą drogą.
str_npc7_rehire_speech|Mój topór jest gotowy, {playername}. Powinienem znów do ciebie dołączyć?
str_npc8_rehire_speech|Miło Cię widzieć. Dołączyć do Ciebie raz jeszcze ?
str_npc9_rehire_speech|Gulm jest gotowy by zabić ponownie dla ciebie. Ruszamy?
str_npc10_rehire_speech|Mogę ci znowu służyć?
str_npc11_rehire_speech|Mogę ci znowu służyć?
str_npc12_rehire_speech|Mogę ci znowu służyć?
str_npc13_rehire_speech|Mogę ci znowu służyć?
str_npc14_rehire_speech|Mogę ci znowu służyć?
str_npc15_rehire_speech|Can I serve you once again?
str_npc16_rehire_speech|Mogę ci znowu służyć?
str_npc17_rehire_speech|Hej. Czas znowu ruszać? Drzewa nie ruszają się wiele. Ale ja lubię się poruszać. Lubię też drzewa.
str_npc1_home_intro|Kapitanie zbliżamy się do Osgiliath, powinniśmy rozejrzeć się za zarówno druhami jak i za wrogami.
str_npc2_home_intro|Bądź czujny, dowódco. To musi być Minas Morgul. Czujesz, jakby coś nas obserwowało?
str_npc3_home_intro|Słowo rady, dowódco. Teraz zbliżamy się do Entwood, a konie stają się niespokojne. Niektórzy nazywają też las Fangorn.
str_npc4_home_intro|Zatrzymajmy się tu na chwilę, dowódco. Przed nami, pomiędzy Anduiną i  rzeką Limight, znajdują się Pola Celebrant, gdzie Eorl Młody pojechał na pomoc naszym sprzymierzeńcom z Gondoru.
str_npc5_home_intro|Daro! To Angrenost i czarna wieża Orthanca. Wiele się zmieniło od czasu, gdy je ostatnio widziałem, a żadna na lepsze.
str_npc6_home_intro|Wybacz, {playername}. Ścieżki tutaj stały się bardziej poplątane i część z nich prowadzi do ślepych zaułków. Musieliśmy dotrzeć do Dol Guldur.
str_npc7_home_intro|Oy, kapitanie! To musi być stara droga do wschodniej bramy Khazad-dûm, albo Morii, jak wolisz. W oddali widać błyszczące jezioro Kheled-zâram, a przez chmury trzy wierzchołki znane z łaski tej części Gór Mglistych.
str_npc8_home_intro|Och, ciekawy widok! Słyszałem opowieści o miejscu gdzie, Ludzie Lasu żyją w harmonii ze zwierzętami i roślinami. Jeśli dobrze pamiętam, nazywają się Beorningami.
str_npc9_home_intro|Cholera! To musi byc "hornburg", panie.
str_npc10_home_intro|Hej, spójrz!
str_npc11_home_intro|Hej, spójrz!
str_npc12_home_intro|Hej, spójrz!
str_npc13_home_intro|Hej, spójrz!
str_npc14_home_intro|Hej, spójrz!
str_npc15_home_intro|Hej, spójrz!
str_npc16_home_intro|Hej, spójrz!
str_npc17_home_intro|Oooooo, rosną tutaj Mallorny! Nie powinni ich ścinać, one są po prostu zbyt piękne!
str_npc1_home_description|Kiedyś było to piękne miasto, stolica Gondoru, pełna ludzi i śmiechu. Teraz stoi opuszczone i zrujnowane, a stara Anduina płynie powoli przez miasto duchów.
str_npc2_home_description|Wiele lat temu nazywało się Minas Ithil. Opowiada się o tym, jak światło księżyca wypełniało jego dziedzińce srebrnym światłem, a jego mury lśniły bielą. Strażnicy Gondoru patrolowali posterunki i obserwując Ephel Dúath.
str_npc3_home_description|Jest gęsty od pni i gałęzi i wszelkiego rodzaju drzew i nie chciałbym się tam wybierać, ponieważ dziwaczne stworzenia wędrują po lesie, nie wszystkie z nich są nieszkodliwe.
; str_npc4_home_description|'Where now the horse and the rider? where is the horn that was blowing?^Where is the helm and the hauberk and the bright hair flowing?...^They have passed like rain on the mountain, like a wind in the meadow;^The days have gone down in the West behind the hills into shadow...'
str_npc5_home_description|Raz zbudowane przez Królestwo Południowe, obecnie domem dla tego, którego nazywaliśmy Białym Czarodziejem, bez wątpienia knującego, jak zwiększyć jego moc kosztem innych.
str_npc6_home_description|Nigdy nie posunąłem się tak daleko, ale podsłuchałem, jak nasi harcerze z Greenwood mówią, że może tu być Nazgul. Czuję złą obecność, ale nie mogę jej nazwać. Jest on jednak potężny, więc bądźmy przygotowani.
str_npc7_home_description|Sądząc po spustoszeniu i wielu ścieżkach orków, obawiam się losu odważnego Balina i jego wyprawy. Wydaje się, że Moria spadła do cienia i powinniśmy stąpać ostrożnie.
str_npc8_home_description|Czasami podróżujący kupiec przybywa do Dale i oferuje najlepszy miód jakiego kiedykolwiek próbowałem. Z jakiegoś szalonego powodu mówi, że "został zrobiony przez niedźwiedzie" i wybucha śmiechem.
str_npc9_home_description|Jego przeklęte ściany są zbyt wysokie i zbyt twarde, by młot mógł się złamać. Sądzę, że gdybyśmy kiedykolwiek wygnali ludzi z ich steków Edoras, uciekną tutaj i skulą się za murami.
str_npc10_home_description|Czy znasz to miasto?
str_npc11_home_description|Czy znasz to miasto?
str_npc12_home_description|Czy znasz to miasto?
str_npc13_home_description|Czy znasz to miasto?
str_npc14_home_description|Czy znasz to miasto?
str_npc15_home_description|Czy znasz to miasto?
str_npc16_home_description|Czy znasz to miasto?
str_npc17_home_description|Nie wiedziałem, że były tu też takie piękne drzewa. Ciekawe, czy pracuje tu jakiś drwal.
str_npc1_home_description_2|Jeśli Gondor jest skazany na porażkę, Zachodnie Osgiliath wpadnie najpierw w hordę Oka. Mam tylko nadzieję, że kapitan Faramir będzie dowodził tego dnia i powstrzyma falę. Gdybyśmy mogli oszczędzić ludzi, by wzmocnić obronę tutaj, byłbym bardzo wdzięczny, kapitanie.
str_npc2_home_description_2|Mówi się, że jest teraz pełen okropnych orków, strasznych duchów i jeszcze gorzej. Modlę się za ten dzień, kiedy Gondor odzyska to i oczyści go ze wszystkich rzeczy.
str_npc3_home_description_2|Jeśli musimy przekroczyć Entwood, zróbmy to z pośpiechem i podstępem. Nie wiem, kto może słuchać naszych kopyt i nie mam ochoty się tego dowiedzieć.
str_npc4_home_description_2|Dobrze byśmy pamiętali wielkie czyny przeszłości i ofiary, które zostały dokonane. Sojusz między Rohanem i Gondorem uratuje nasze narody od zagłady po raz kolejny.
str_npc5_home_description_2|Niech to będzie przypomnienie, że nawet największa, nawet jedna z Istarich, może ulec zepsuciu i upadkowi. Ci, którzy pożądają władzy, mogą zostać pokonani przez moc, więc nie zwlekajmy dłużej.
str_npc6_home_description_2|Wyczuwam zle armie za tymi scianmi przygotujcie sie do wymarszu...Do Lothlorien, Dale, do zielonej ojczyzny? Tego powiedziec nie moge, ale prosze zrobcie wszystko co w waszych silach by Ich zatrzymac.
; str_npc7_home_description_2|If the fortunes of war ever provide us with a large army, we should risk the entrance to the Mines and retrieve their mighty riches.
str_npc8_home_description_2|Czuję zapach wielu słodkich kwiatów i widzę pszczoły zbierające nektar. Jeśli nie masz nic przeciwko, zbiorę trochę ziół na własny użytek, zajmie to tylko chwilę.
str_npc9_home_description_2|Nie ma sensu włóczyć się tutaj, jeśli nie poprowadzi nas wielka horda Uruk-hai. Chyba że chcesz robić miny przy punktach widokowych na ścianie.
str_npc10_home_description_2|Minas Morgul, gdzie Nazgule piją cały dzień, har-har!
str_npc11_home_description_2|Czy Orthank nie wygląda jak wielkie... coś?
str_npc12_home_description_2|Czy Orthank nie wygląda jak wielkie... coś?
str_npc13_home_description_2|Minas Morgul, gdzie Nazgule piją cały dzień, har-har!
str_npc14_home_description_2|Minas Morgul, gdzie Nazgule piją cały dzień, har-har!
str_npc15_home_description_2|Minas Morgul, gdzie Nazgule piją cały dzień, har-har!
str_npc16_home_description_2|Minas Morgul, gdzie Nazgule piją cały dzień, har-har!
str_npc17_home_description_2|Mógłbym wyrzeźbić ci ładną fajkę. Chciałbyś jedną?
str_npc1_home_recap|Urodziłem się i wychowałem w Ithilien, należę do długiej linii wojowników którzy sięgają korzeniami czasów południowego Dúnedaina.
str_npc2_home_recap|Urodziłem się w Minas Tirith, w prostej, ale dumnej rodzinie.
str_npc3_home_recap|Jestem jednym z Eorlingów, albo Rohirrimem, jak nazywają nas obcy.
str_npc4_home_recap|Nie wydaje mi się to zabawne, że masz tak słabą pamięć.
str_npc5_home_recap|Zaspokoję twoją ciekawość, ale nie ociągajmy się.
str_npc6_home_recap|Urodziłem się i wychowałem w Mrocznej Puszczy, jestem leśnym elfem. Nasze umiejętności stolarskie są znane wszystkim.
