menu_start_game_1|^^^^^^^^^^Dlaczego chcesz walczyć?
mno_ruin_menu_0|Explore the place.
mno_ruin_leave|Wyjdz...
menu_death|Powinieneś być martwy. Chociaż wojna wciąż trwa, ty nie jesteś już jej częścią.
menu_animal_ambush|Ty i twoi kompani oddzieliliście się od reszty drużyny, kiedy nagle...
menu_animal_ambush_success|{s2} {reg0?fall:falls} przed wami jak zboże skoszone sierpem! Wkrótce wszyscy atakujący leżeli na ziemi - ranni, lub martwi. {s3}
menu_animal_ambush_fail|Zwierzęta zaatakowały ciebie {reg0?,: i twojego kompana {reg2?s,:,}} ale na szczęście udało ci się je odgonić. Miejmy nadzieję że nie zaatakują cie ponownie.
menu_build_your_scene|Tutaj możesz zbudować własną scenę walki, używając jednego ze slotów zamieszczonych poniżej i trybu edycji (musisz najpierw zmienić tryb edycji na Włączony w menu opcji w panelu startowym M&B).
mno_scene1|Pole Bitwy 5 (plik scn battlefield5.sco)
mno_scene2|Pole Bitwy 6 (plik scn battlefield6.sco)
mno_scene3|Pole Bitwy 7 (plik scn battlefield7.sco)
mno_scene4|Pole Bitwy 8 (plik scn battlefield8.sco)
mno_scene5|Pole Bitwy 9 (plik scn battlefield9.sco)
mno_back_3dot|Wróć...
mno_back|Wróć.
mno_next|Następnie...
