itm_horse_meat|Konina
itm_rohirrim_short_axe|Rohański Krótki Topór
itm_rohirrim_long_hafted_axe|Rohański Długi Topór z Brodą
itm_rohan_2h_sword|Rohański Miecz Wojny
itm_mirkwood_light_scale|Lekka Zbroja Łuskowa Leśnych Elfów
itm_mirkwood_armor_a|Lekka Skórznia
itm_mirkwood_armor_b|Lekka Zbroja Łuskowa
itm_mirkwood_armor_c|Zbroja Łuskowa z Kolczugą
itm_mirkwood_armor_d|Lekka Przeszywanica z Surkotem
itm_mirkwood_armor_e|Lekka Kolczuga z Surkotem
itm_mirkwood_armor_f|Królewska Zbroja Leśnych Elfów
itm_mirkwood_great_spear|Długa Włócznia z Mrocznej Puszczy
itm_mirkwood_war_spear|Bitewna Włócznia z Mrocznej Puszczy
itm_mirkwood_short_spear|Włócznia z Mrocznej Puszczy
itm_mirkwood_knife|Biały Nóż z Mrocznej Puszczy
itm_mirkwood_sword|Miecz z Mrocznej Puszczy
itm_mirkwood_spear_shield_a|Tarcza Włócznika z Mrocznej Puszczy
itm_mirkwood_spear_shield_b|Wojenna Tarcza z Mrocznej Puszczy
itm_mirkwood_spear_shield_c|Tarcza Zbrojnego z Mrocznej Puszczy
itm_mirkwood_helm_a|Hełm Łucznika z Mrocznej Puszczy
itm_mirkwood_helm_b|Hełm z Mrocznej Puszczy
itm_mirkwood_helm_c|Królewski Hełm Włócznika z Mrocznej Puszczy
itm_mirkwood_helm_d|Królewski Hełm Łucznika z Mrocznej Puszczy
itm_mirkwood_boots|Buty z Mrocznej Puszczy
itm_mirkwood_leather_greaves|Skórzane Nagolenniki z Mrocznej Puszczy
itm_harad_tunic|Haradzka Szata
itm_harad_padded|Przeszywanica z Harondoru
itm_harad_hauberk|Kolczuga z Harondoru
itm_harad_lamellar|Pancerz Harasjala
itm_harad_heavy|Zbroja Zbrojnego Haradrimów
itm_harad_skirmisher|Haradzkie Okrycie
itm_harad_archer|Haradzka Zbroja Łucznika
itm_black_snake_armor|Pancerz Maranka
itm_harad_champion|Szaty z Dalekiego Haradu
itm_panther_guard|Skóra Pantery
itm_harad_scale|Haradzka Zbroja Łuskowa
itm_harad_tiger_scale|Zbroja Gwardii Tygrysa
itm_harad_lion_scale|Zbroja Gwardii Lwa
itm_harad_dragon_helm|Heóm Kiloka
itm_harad_cav_helm_a|Hełm Jeźdźca z Harondoru
itm_harad_cav_helm_b|Hełm Jeźdźca z Harondoru
itm_black_snake_helm|Hełm Maranka
itm_harad_finhelm|Haradzki Wspaniały Hełm
itm_harad_heavy_inf_helm|Haradzki Wspaniały Hełm
itm_harad_wavy_helm|Haradzki Wspaniały Hełm
itm_harad_eaglehelm|Hełm Gwardii Orła
itm_lion_helm|Hełm Gwardii Lwa
itm_harad_pantherhelm|Czapa Gwardii Pantery
itm_harad_khopesh|Haradzki Chopesz
itm_black_snake_sword|Haradzi Bułat
itm_harad_heavy_sword|Haradzki Ciężki Miecz
itm_horandor_a|Haradzki Sejmitar
itm_skirmisher_sword|Haradzki Miecz Harcownika
itm_harad_sabre|Haradzka Szabla
itm_harad_mace|Buława z Dalekiego Haradu
itm_far_harad_2h_mace|Wielka Buława z Dalekiego Haradu
itm_harad_dagger|Haradzki Nóź
itm_harad_short_spear|Haradzka Krótka Włócznia
itm_harad_long_spear|Haradzka Włócznia
itm_eagle_guard_spear|Włócznia Harasjala
itm_harad_long_shield_a|Haradzka lamparcia Tarcza
itm_harad_long_shield_b|Haradzka Tarcza z Brązu
itm_harad_long_shield_c|Haradzka Tarcza Słołca
itm_harad_long_shield_d|Haradzka Tarcza Węża
itm_harad_long_shield_e|Haradzka Tarcza Węża
itm_harad_shield_a|Tarcza z Harondoru
itm_harad_shield_b|Puklerz z Harondor
itm_harad_shield_c|Puklerz z Harondor
itm_harad_tribal_a|Tarcza z Dalekiego Haradu
itm_harad_tribal_b|Tarcza z Dalekiego Haradu
itm_harad_yellow_shield|Haradzka Tarcza
itm_desert_boots|Pustynne Buty
itm_harad_leather_greaves|Haradzkie Nagolenniki
itm_harad_scale_greaves|Haradzkie Buty
itm_harad_lamellar_greaves|Haradzkie Buty
itm_khand_helmet_a1|Hełm z Osłoną z Khandu
itm_khand_helmet_a2|Hełm z Khandu
itm_khand_helmet_a3|Hełm z Kefiją z Khandu
itm_khand_helmet_b1|Zdobiony Hełm z Khandu
itm_khand_helmet_b2|Hełm z Maską z Khandu
itm_khand_helmet_b3|Hełm z Kefiją z Khandu
itm_khand_helmet_b4|Hełm z Osłoną z Khandu
itm_khand_helmet_c3|Hełm Piechoty z Khandu
itm_khand_helmet_c4|Hełm Piechoty z Khandu
itm_khand_helmet_d1|Hełm z Maską z Khandu
itm_khand_helmet_d2|Hełm z Osłoną z Khandu
itm_khand_helmet_d3|Hełm z Maską z Khandu
itm_khand_helmet_e1|Hełm z Kefiją z Khandu
itm_khand_helmet_e2|Hełm z Osłoną z Khandu
itm_khand_helmet_e3|Hełm z Khandu
itm_khand_helmet_e4|Hełm z Kefiją z Khandu
itm_khand_helmet_f1|Hełm z Kefiją z Khandu
itm_khand_helmet_mask1|Maska z Khandu
itm_khand_helmet_mask2|Maska z Khandu
itm_khand_light|Kilt z Khandu
itm_khand_foot_lam_a|Zbroja z Khandu
itm_khand_foot_lam_b|Zbroja z Khandu
itm_khand_foot_lam_c|Zbroja z Khandu
itm_khand_heavy_lam|Ciężka Zbroja lemelkowa z Khandu
itm_khand_light_lam|Lekka lamelka z Khandu
itm_khand_med_lam_b|Zbroja lamelkowa z Khandu
itm_khand_med_lam_c|Zbroja lamelkowa z Khandu
itm_khand_med_lam_d|Zbroja lamelkowa z Khandu
itm_khand_noble_lam|Szlachecka Zbroja z Khandu
itm_variag_greaves|Nagolenniki Variagów
itm_khand_axe_great|Wielki Topór z Khandu
itm_khand_axe_winged|Topór z Khandu
itm_khand_halberd|Halabarda z Khandu
itm_khand_trident|Trójząb z Khandu
itm_khand_voulge|Glewia z Khandu
itm_khand_mace1|Buława z Khandu
itm_khand_mace2|Buława z Khandu
itm_khand_mace_spiked|Buława z Kolcem z Khandu
itm_khand_rammace|Miażdżyczerep z Khandu
itm_khand_pitsword|Miecz Gladiatora z Khandu
itm_khand_tulwar|Talwar z Khandu
itm_khand_2h_tulwar|Talwar z Khandu
itm_khand_lance|Lanca z Khandu
itm_easterling_round_horseman|Okrągła Tarcza Easterlingów
itm_variag_gladiator_shield|Tarcza Gladiatora Variagów
itm_easterling_hawk_shield|Tarcza Jastrzębia Easterlingów
itm_rhun_bull1_shield|Tarcza z Rhunu
itm_rhun_bull2_shield|Tarcza z Rhunu
itm_rhun_bull3_shield|Tarcza z Rhunu
itm_furry_boots|Futrzane Buty
itm_rhun_armor_a|Lekki Pancerz z Rhunu
itm_rhun_armor_b|Lekki Pancerz z Rhunu
itm_rhun_armor_d|Lekki Pancerz z Rhunu
itm_rhun_armor_g|Ciężki Pancerz z Rhunu
itm_rhun_armor_h|Ciężki Pancerz z Rhunu
itm_rhun_armor_j|Pancerz z Rhunu
itm_rhun_armor_m|Pancerz z Rhunu
itm_rhun_armor_n|Pancerz z Rhunu
itm_rhun_armor_o|Pancerz z Rhunu
itm_rhun_armor_p|Szlachecka Zbroja z Rhunu
itm_rhun_armor_k|Szlachecka Zbroja z Rhunu
itm_rhun_helm_a|Hełm Stożkowy z Rhunu
itm_rhun_helm_b|Hełm Stożkowy z Osłoną z Rhunu
itm_rhun_helm_c|Hełm Ordy Rhunu
itm_rhun_helm_e|Rogaty Hełm Ordy Rhunu
itm_rhun_helm_g|Rogaty Hełm z Rhunu
itm_rhun_helm_h|Rogaty Hełm z Rhunu
itm_rhun_helm_i|Okrągły Hełm z Rhunu
itm_rhun_helm_j|Okrągły Hełm z Maską z Rhunu
itm_rhun_helm_k|Skórzany Hełm z Rhunu
itm_rhun_helm_l|Skórzany Hełm z Rhunu
itm_rhun_helm_m|Skórzany Hełm z Rhunu
itm_rhun_helm_n|Hełm Wodza Rhunu
itm_rhun_helm_o|Hełm Wodza Rhunu
itm_rhun_greataxe|Wielki Topór z Rhunu
itm_rhun_battleaxe|Bojowy Topór z Rhunu
itm_rhun_falchion|Tasak z Rhunu
itm_rhun_glaive|Glewia z Rhunu
itm_rhun_greatfalchion|Bułat z Rhutu
itm_rhun_greatsword|Wielki Miecz z Rhunu
itm_rhun_shortsword|Krótki Miecz z Rhunu
itm_rhun_sword|Miecz z Rhunu
itm_rhun_shield|Trójkątna Tarcza z Rhunu
itm_dale_armor_a|Kurtka z Dale
itm_dale_armor_b|Płaszcz z Dale
itm_dale_armor_c|Zbroja Łucznika z Dale
itm_dale_armor_d|Zbroja Łucznika z Dale
itm_dale_armor_e|Kolczuga z Dale
itm_dale_armor_f|Kolczuga z Dale
itm_dale_armor_g|Kolczuga z Dale
itm_dale_armor_h|Długa Kolczuga z Dale
itm_dale_armor_i|Długa Kolczuga z Dale
itm_dale_armor_j|Długa Kolczuga z Dale
itm_dale_armor_k|Szlachecka Zbroja z Dale
itm_dale_armor_l|Szlachecka Zbroja z Dale
itm_dale_helmet_a|Hełm z Nosalem z Osłoną Kolczą
itm_dale_helmet_b|Hełm z Nosalem z Osłoną Skórzaną
itm_dale_helmet_c|Okrągły Hełm z Osłoną Kolczą
itm_dale_helmet_d|Okrągły Hełm z Osłoną Skórzaną
itm_dale_helmet_e|Stożkowy Hełm z Osłoną Skórzaną
itm_dale_helmet_f|Stożkowy Hełm z Osłoną Kolczą
itm_dale_sword|Krótki Miecz z Dale
itm_dale_sword_long|Długi Miecz z Dale
itm_dale_sword_broad|Szeroki Miecz z Dale
itm_dale_pike|Włócznia z Dale
itm_dale_billhook|Glewia z Dale
itm_dale_shield_a|Tarcza z Dale
itm_dale_shield_b|Tarcza z Dale
itm_dale_shield_c|Tarcza z Dale
itm_dale_shield_d|Tarcza z Dale
itm_umb_armor_a|Skórzana Zbroja Korsarza
itm_umb_armor_a1|Ciężka Skórzana Zbroja Korsarza
itm_umb_armor_b|Zbroja Łupieżcy z Umbaru
itm_umb_armor_c|Przeszywanica Korsarza
itm_umb_armor_d|Ciężka Przeszywanica Korsarza
itm_umb_armor_e|Ciężka Przeszywanica Łupieżcy z Umbaru
itm_umb_armor_f|Kolczuga Korsarza
itm_umb_armor_g|Kolczuga Korsarza z Naramiennikami
itm_umb_armor_h|Cieężka Zbroja Łupieżcy z Umbaru
itm_umb_helm_a|Muszlowy Hełm Korsarza
itm_umb_helm_b|Muszlowy Hełm Korsarza
itm_umb_helm_c|Hełm Korsarza
itm_umb_helm_d|Hełm Korsarza
itm_umb_helm_e|Hełm Łupieżcy z Umbaru
itm_umb_helm_f|Hełm Łupieżcy z Umbaru
itm_umb_hood|Umbarski Kaptur
itm_corsair_boots|Buty Korsarza
itm_umb_shield_a|Puklerz Korsarza
itm_umb_shield_b|Puklerz Korsarza
itm_umb_shield_c|Puklerz Korsarza
itm_umb_shield_d|Puklerz Korsarza
itm_umb_shield_e|Puklerz Korsarza
itm_umbar_cutlass|Umbarski Kordelas
itm_kraken|Kordelas Krakena
itm_umbar_rapier|Umbarski Miecz
itm_corsair_harpoon|Harpun Korsarza
itm_corsair_sword|Eket Korsarza
itm_corsair_throwing_dagger|Sztylety do Rzucania z Umbaru
itm_umbar_pike|Umbarska Pika
itm_woodman_tunic|Okrycie Leśnika
itm_woodman_scout|Poła Zwiadowcy z Lasu
itm_woodman_padded|Zbroja Leśnika
itm_beorn_tunic|Ubiór Beorninga
itm_beorn_padded|Lekka Zbroja Beorninga
itm_beorn_heavy|Ciężka Zbroja Beorninga
itm_beorn_berserk|Ekwipunek Berserkera Beorningów
itm_beorn_chief|Tunika Wodza Beorningów
itm_beorn_helmet|Hełm z Północy
itm_beorn_shield|Tarcza z Północy
itm_beorn_axe|Topór Beorningów
itm_beorn_staff|Kostur Leśnika
itm_beorn_battle_axe|Bojowy Topór Beorningów
itm_dwarf_shield_a|Krasnoludzka Tarcza
itm_dwarf_shield_b|Krasnoludzka Tarcza
itm_dwarf_shield_c|Krasnoludzka Tarcza
itm_dwarf_shield_d|Krasnoludzka Tarcza
itm_dwarf_shield_f|Krasnoludzka Tarcza
itm_dwarf_shield_g|Krasnoludzka Tarcza
itm_dwarf_shield_i|Krasnoludzka Tarcza
itm_dwarf_shield_j|Krasnoludzka Tarcza
itm_dwarf_shield_k|Krasnoludzka Tarcza
itm_dwarf_shield_l|Krasnoludzka Tarcza
itm_dwarf_sword_a|Krasnoludzki Miecz
itm_dwarf_sword_b|Krasnoludzki Miecz
itm_dwarf_sword_c|Krasnoludzki Miecz
itm_dwarf_sword_d|Krasnoludzki Miecz
itm_dwarf_adz|Krasnoludzki Adz
itm_dwarf_great_axe|Krasnoludzki Wielki Topór
itm_dwarf_great_mattock|Krasnoludzki Wielki Kilof
itm_dwarf_great_pick|Krasnoludzki Wielki Nadziak
itm_dwarf_war_pick|Krasnoludzki Bitewny Oskard
itm_dwarf_mattock|Krasnoludzki Kilof
itm_dwarf_hand_axe|Krasnoludzki Krótki Topór
itm_dwarf_throwing_axe|Krasnoludzki Topór do Rzucania
itm_dwarf_spear|Krasnoludzka Włcznia
itm_dwarf_spear_b|Krasnoludzka Pika
itm_dwarf_spear_c|Krasnoludzka Pika
itm_dwarf_helm_a|Krasnoludzki Czepiec
itm_dwarf_helm_b|Krasnoludzki Czepiec z Maską
itm_dwarf_helm_c|Krasnoludzki Hełm z Maską
itm_dwarf_helm_h|Krasnoludzki Hełm
itm_dwarf_helm_i|Krasnoludzki Stożkowy Hełm
itm_dwarf_helm_j|Krasnoludzki Hełm z Maską
itm_dwarf_helm_l|Krasnoludzki Kaptur
itm_dwarf_helm_m|Krasnoludzka Hełm z Maską
itm_dwarf_helm_o|Krasnoludzki Hełm z Nosalem
itm_dwarf_helm_p|Krasnoludzki Hełm Króla
itm_dwarf_helm_q|Krasnoludzki Górniczy Hełm
itm_dwarf_helm_r|Krasnoludzka Górnicza Czapa
itm_dwarf_helm_u|Krasnoludzka Okrągła Maska
itm_dwarf_helm_v|Krasnoludzka Łebka
itm_dwarf_helm_x|Krasnoludzka Łebka z Maską
itm_dwarf_armor_a|Krasnoludzka Kolczuga z Tuniką
itm_leather_dwarf_armor|Krasnoludzka Kryta Zbroja
itm_dwarf_vest|Krasnoludzka Zbroja Łucznika
itm_dwarf_armor_b|Krasnoludzka Przeszywanica
itm_dwarf_armor_c|Krasnoludzka Karacena
itm_leather_dwarf_armor_b|Krasnoludzka Tunika
itm_dwarf_vest_b|Tunika z Żelaznych Wzgórz
itm_dwarf_pad_boots|Krasnoludzkie Skórzane Buty
itm_dwarf_chain_boots|Krasnoludzkie Kolcze Nogawice
itm_dwarf_scale_boots|Krasnoludzkie Łuskowe Nogawice
itm_good_mace|Buława
itm_far_harad_shield_paint|Wiklinowa Tarcza
itm_nazgulrobe|Całun Nazgula
itm_whiterobe|Biała Szata
itm_mordor_banner|Sztandar Mordoru
itm_isengard_banner|Sztandar Isengardu
itm_woodelf_banner|Sztandar Mrocznej Puszczy
itm_lorien_banner|Sztandar Lothlorien
itm_imladris_banner|Sztandar Imladris
itm_gondor_lance_banner|Lanca z Chorągwią Gondoru
itm_amroth_lance_banner|Lanca z Chorągwią Dol Amroth
itm_rohan_lance_banner_sun|Lanca z Chorągwią Rohanu
itm_rohan_lance_banner_horse|Lanca z Chorągwią Rohanu
itm_ent_body|Konar Enta
itm_ent_head_helm|Korona Enta
itm_ent_head_helm2|Korona Enta
itm_ent_head_helm3|Korona Enta
itm_ent_feet_boots|Korona Enta
itm_ent_hands|Gałęzie Enta
itm_galadriel|Szata Galadrieli
itm_ent_water|Dziwna Misa z Wodą
itm_map|Mapy Śródziemia
itm_athelas_reward|Ziele Athelas
itm_phial_reward|Światło Galadrieli
itm_scroll_reward|O Zagładzie Gondolinu
itm_hammer_reward|Młot Kowala
itm_khand_knife_reward|Ofiarny Nóż Khandu
itm_angmar_whip_reward|Batog Pana
itm_horn_gondor_reward|Róg Gondoru
itm_harad_totem_reward|Haradzki Totem
itm_elven_amulet_reward|Elficki Amulet
itm_torque_reward|Złowieszczy Torques
itm_orc_brew|Orkowy Browar
itm_rohan_saddle|Siodło Thengla
itm_mearas_reward|Mearas
itm_sword_of_arathorn|Miecz Arathorna
itm_riv_armor_reward|Inkrustowana Zbroja z Rivendell
itm_westernesse1h_reward|Miecz Numenoru
itm_westernesse2h_reward|Miecz Wielkiego Węża
itm_mirkwood_sword_reward|Miecz - Relikt Wielkiego Zielonego Lasu
itm_nazgul_sword|Ostrze Nazgula
itm_cooking_cauldron|Kocioł
itm_eorl_cavalry_sword|Miecz Eorla
itm_garlic_reward|Czosnek
itm_silmarillion_reward|Silmarillion
itm_herbarium_reward|Zielnik Śródziemia
itm_book_of_moria|Księga Mazarbul
itm_ring_a_reward|Tulcarisil
itm_ring_b_reward|Finwarisil
itm_dale_bow_reward|Łuk Barda
itm_explosive_reward|Isengardzka Mina
itm_corsair_trident|Trójząb Morskiego Gniewu
itm_crebain_reward|Krebain
itm_miruvor_reward|Manierka z Miruvorem
itm_wheeled_cage|Wielka Ruchoma Klatka
itm_orc_throwing_axes_reward|Gundabadzkie Latające Topory
itm_corsair_throwing_dagger_reward|Zatrute Sztylety do Rzucania
itm_dwarf_shield_reward|Krasnoludzka Tarcza Mithril
itm_dwarf_great_axe_reward|Krasnoludzki Ostry Topór
itm_isen_uruk_heavy_reward|Zbroja Generała Uruk-hai
itm_lorien_bow_reward|Noldorski Łuk
itm_lorien_sword_reward|Miecz Galadrimów
itm_dale_sword_reward|Miecz Strażników
itm_dale_armor_reward|Szlachecka Zbroja z Esgaroth
itm_leather_gloves_reward|Rękawice Łowcy
itm_beorn_shield_reward|Tarcza Ludzi Lasu
itm_beorn_axe_reward|Niedźwiedzi Topór
itm_moria_arrow_reward|Zatrute Strzały z Morii
itm_khamul_helm|Hełm Khamula
itm_gandstaff|Kostur Czarodzieja
itm_sarustaff|Kostur Czarodzieja
itm_rohan_armor_th|Królewska Zbroja Rohanu
itm_denethor_robe|Szaty Namiestnika
itm_prisoner_coll_chain|Łańcuchy Więzienne
itm_witchking_helmet|Złowieszcza Korona Czarnoksięstwa
itm_lorien_royal_armor|Królewska Zbroja z Lorien
itm_feet_chains|Łańcuchy na Stopy
itm_feet_chains_dwarf|Łańcuchy na Stopy
itm_spider|Pająk
itm_bear|Niedźwiedź
itm_wolf|Wilk
itm_defiled_armor_gondor|Zbezczeszczony Surkot Dowódcy Gondoru 
itm_defiled_armor_rohan|Zbezczeszczony Rohański Haubert
itm_defiled_armor_dale|Zbezczeszczona Szlachecka Zbroja z Dale
