qstr_Received_{reg0}_dama|Otrzymano {reg0} obrażeń.
qstr_Dark_clouds_from_Mord|Ciemne chmury z Mordoru pokryły pole bitwy. Obecność Mrocznego Lorda wzmacnia siły twoje i twoich żołnierzy.
qstr_A_thunderstorm_from_|Burza z Gór Mglistych dotarła nad pole walki. Twoi żołnierze są spowolnieni, a przesądni ludzie są przerażeni.
qstr_A_thunderstorm_from_t|Burza z Gór Mglistych dotarła nad pole walki. Łucznicy nie radzą sobie najlepiej w taką pogodę.
qstr_A_poisonous_fog_from|Trująca mgła z Dol Guldur spowija pole bitwy. Ty i twoi ludzie czujecie się słabo. Wśród twojej kompanii szerzy się strach.
qstr_A_poisonous_fog_from_|Trująca mgła z Dol Guldur spowija pole bitwy. Nie robi ona na tobie wrażenia, ale wyczuwasz cierpienie i strach swego przeciwnika.
; qstr_{s2}_attacked|{s2} attacked
qstr_You_shapeshift_into_|Zmieniasz się w niedźwiedzia!
qstr_You_got_{reg1}_exper|Zdobyłeś {reg1} doświadczenia w formie niedźwiedzia.
qstr_Your_ability_to_chan|Twoja umiejętność zmieniania formy się ujawniła, od teraz możesz przemierzać swe ścieżki zarówno jako człowiek jak i niedźwiedź.
qstr_You_change_back_to_h|Powracasz do ludzkiej postaci... 
; qstr_Refill_Ammunition|Refill Ammunition
qstr_Your_mount_stumbles!|Twój wierzchowiec okulał!
qstr_Bitten_by_your_own_w|Ugryzion{y/a} przez własnego warga!
qstr_You_weigh_too_much_f|Masz zbyt dużą masę na kuca!
qstr_Your_mount_rears_ref|Twój wierzchowiec siada, nie słucha twoich poleceń!
qstr_Cannot_Change_Camera|Nie można zmienić trybu kamery będąc w pierwszej osobie.
qstr_Switch_Back_to_3rd_P|Przełącz z powrotem do widoku z 3 osoby na kamerę obiegową.
qstr_Fixed_Custom_Camera|Poprawiona Kamera Użytkownika
qstr_Press_Ctrl_+_Left_/_|Naciśnij Ctrl + Lewo / Ctrl + klawisze strzałek w prawo, aby zmienić ramiona
qstr_Press_Ctrl_+_Down_to|Naciśnij Ctrl + Strzałka w dół, by wycentrować.
qstr_Press_Ctrl_and_+/__t|Naciśnij Ctrl i +/-, aby powiększyć/pomniejszyć.
qstr_Press_Ctrl_and_Up/Do|Naciśnij klawisz Ctrl i klawisze strzałek w górę/w dół, aby przechylić w górę/w dół.
qstr_Fixed_Camera___Right|Poprawiona kamera - prawe ramię
qstr_Fixed_Camera___Left_|Poprawiona kamera - lewę ramię
qstr_Fixed_Camera___Cente|Kamera naprawiona - wycentrowano
qstr_Shield_is_too_big_to|Tarcza jest zbyt duża do używania wraz z łukiem.
; qstr_{s7}_waves_at_you.|{s7} waves at you.
; qstr_You_happen_upon_an_O|You happen upon an Old Guesthouse. As you inspect the weathered stone building, you notice a group of boys playing among the pillars, the only children you have seen in Minas Tirith.  One of them greets you and you wave back. Your heart is gladdened and you forget, for a brief moment, the sorrow of war.
qstr_You_look_through_Hen|Spoglądasz przez Henneth Annun, Okno Zachodzącego Słońca. Piękny widok odnawia twoją wiarę w Zachód i moce kryjące się za nim.
; qstr_As_you_follow_the_st|As you follow the straight stairs, cut into the rock of the mountain, and then a second set of stairs, winding as it clings to the cliff-face, you realize that you should not pursue this path any further if you value your own life.
; qstr_You_are_unable_to_en|You are unable to endure the horrors of the Dead City.
; qstr_You_endure_the_horro|You endure the horrors of the Dead City and explore its innermost circles. The Silent Watchers recognise your boldness and don't oppose you. (You gained 1 Charisma.)
; qstr_You_are_unable_to_end|You are unable to endure the horrors of the temple.
; qstr_You_endure_the_horror|You endure the horrors of the unspeakable rituals in this sacred place. The cruel people of Rhun recognise the strength you have shown and some of their mightiest decide to join your party.
; qstr_You_find_yourself_in|You find yourself in a deep cavern. Your hackles rise as you look around you, and you begin to feel a strange sense of danger. This is no place for one such as you. Snarling, you make your retreat. When the Shadow has covered the world above, perhaps then, you may return here without fear...
; qstr_You_find_yourself_in_|You find yourself in a deep cavern. Your hackles rise as you look around you, and you begin to feel a strange sense of danger. Raising your weapon high, you snarl your defiance at the unseen foe in this place. This may have been a place of wonder once... but now, with the true power you have gained, you realize you have nothing to fear from the forgotten past of a broken world.
; qstr_With_trepidation_you|With trepidation, you look within the silver basin. The water shows you visions of horror; blood and terror and grief. You recoil... but then, the visions vanish and you see instead a clear night sky, with what seems to be a silver boat floating across the expanse. A sense of calm washes over you. Hope is not wholly gone.
; qstr_The_Lady_s_garden_li|The Lady's garden lies peacefully in the bright daylight. You sense nothing out of the ordinary...
; qstr_You_kneel_to_pay_you|You kneel to pay your respects to the fallen rulers of this fair realm. Beside you, a shield-maiden of Rohan raises her voice in song. Ne sceal hearpan sweg wigend weccean; ne winfaet gylden guma sceal healdan! Your heart aches to hear her words.
; qstr_You_wonder_about_the|You wonder about the two rows of burial mounds in front of the gates, yet as a mere {s24}, you do not understand their significance.
; qstr_Halt!_You_are_not_al|Halt! You are not allowed to enter here!
; qstr_Halt!_You_are_not_all|Halt! You are not allowed to enter here without the Lady's leave!
qstr_While_visiting_towns|Odwiedzając miasta, osady i obozy, możesz porozmawiać z ludźmi, którzy chodzą po okolicy. Członkowie różnych frakcji mają różne rzeczy do powiedzenia - niektórzy pozwolą ci na własne myśli, inni podzielą się plotkami. Obydwaj mogą jedynie lepiej zrozumieć kulturę i frakcję danej osoby, albo mogą znaleźć wskazówki, jak znaleźć tajne miejsca lub porady i wskazówki dotyczące podróżowania przez Pustkowie i walki w Wojnie o Pierścień.
qstr_Cannot_leave_now.|Nie można teraz opuścić lokacji.
qstr_You_have_found_the_l|Znalazłeś lokalnego kowala.
qstr_You_have_found_the_lo|Znalazłeś lokalny autorytet.
qstr_You_have_found_the_loc|Znalazłeś lokalny magazyn.
qstr_You_have_found_the_c|Znalazłeś kapitana garnizonu.
qstr__cancelled_the_{reg1|(Anulowano {reg10} punktów doświadczenia za zabijanie więźniów)
qstr_Forming_ranks.|Formować szeregi!
qstr_{reg2?You:Your_mount|{reg2? You: Twój wierzchowiec} otrzymał {reg1} dodatkowe obrażenia!
qstr_{reg2?You_strike:You|{reg2? Uderzasz: Twój koń szarżuje} za {reg1} dodatkowe obrażenia!
qstr_Division_Placement|Wydział Unieszkodliwianie
qstr_Complex_Formations|Złożone formacje
qstr_Formations_turned_OF|Formacje wyłączone w menu opcji
qstr_Division_{reg1}_{s2}_g|Podział {reg1} {s2} przechodzi do zapamiętanej pozycji ...
qstr_Division_{reg1}_{s2}_f|Podział {reg1} {s2} tworzy linię (zapamiętaną).
qstr_Division_{reg1}_{s2}_fo|Podział {reg1} {s2} tworzy linie {reg0} (zapamiętane).
qstr_Delivered_{reg60}_da|Zadajesz {reg60} obrażeń.
qstr_DEBUG__Health_Regen_|DEBUG (Health Regen): {s1} odzyskuje {reg0}% zdrowia. = + {reg1}% STR
qstr_Your_bear_form_has_{|Twoja niedźwiedzia forma ma {reg2}/{reg1} HP!
qstr_Three_Nazgul_are_cir|Trzy Nazgul krążą po niebie nad polem bitwy!
qstr_Two_Nazgul_are_circl|Dwa Nazgul krążą po niebie nad polem bitwy!
qstr_A_Nazgul_is_circling|Nagul krąży nad polem bitwy!
qstr_Some_of_your_human_t|Niektóre z twoich ludzkich żołnierzy nie są przestraszone przez ciemność. (Nocne oddziały nie podlegają karom nocnym)
qstr_You_are_filled_with_|Jesteś wypełniony po prostu wściekłością, gdy patrzysz na wroga (aktywny Berserk).
qstr_Your_mount_is_scared|Twój wierzchowiec jest przestraszony przez {s5}!
qstr_Your_mount_is_scared_|Twój koń boi się {s5}, ale trening może zniweczyć strach!
qstr_Nazgul_sweep!|Nadlatuje Nazgul!
qstr_You_and_your_horse_p|Ty i twój koń panikujecie, wrzask Nazgula jest nie do zniesienia!
qstr_Your_horse_panics_th|Twój koń panikuje, wrzask Nazgula jest nie do zniesienia!
qstr_You_cower_in_terror_|Czołgasz się przerażon{y/a}, wrzask Nazgula jest nie do zniesienia!
qstr_knocked_unconscious|Zostałeś oguszony/a
qstr_Nazgul_diving_attack|Nazgul przypuszcza atak na {s11}!
qstr_{s11}_is_{s10}_in_th|{s11} {s10} w wyniku ataku Nazgula!
qstr_Received_{reg66}_dam|Otrzymano {reg66} obrażeń.
qstr_You_yell_for_your_ho|Krzyczysz na swego konia.
qstr_You_do_not_need_to_r|Nie musisz jeszcze zmobilizować swoich żołnierzy.
qstr_You_rally_{reg10}_tr|Zebrałeś {reg10} żołnierzy!
qstr_{s5}_rallies_{reg65?|{s5} zagrzewa do walki {reg65?her:his} żołnierzy!
qstr_You_have_killed_{reg|Zabiłeś w walce {reg1} wrogów!
qstr_Your_bravery_inspire|Odwagą inspirujesz swoje wojska!
qstr_Your_mount_has_falle|Twój wierzchowiec spadł na ziemię pod tobą!
qstr_Receive_{reg22}_dama|Otrzymaj obrażenia {reg22}.
qstr_You_have_been_knocke|Zostałeś nieprzytomny przez {s22}.
qstr_{s21}_has_been_knock|{s21} został strącony z wierzchowca {reg23?her:his}, gdy ten spadł.
qstr_{s21}_{reg24?killed:|{s21} {reg24? zabity:pozbawiony przytomności} przez {s22}.
qstr_A_bear_has_been_summ|Niedźwiedź został wezwany do bitwy!
qstr_In_The_Last_Days_of_|W grze The Last Days of the Third Age twoje oddziały będą się ustawiać i utrzymywać na początku każdej bitwy, zamiast szarżować na oślep. Aby ustawić oddziały w formację, naciśnij 'J' dla rang, 'K' dla tarczy-ściany, 'L' dla klina, ';' dla kwadratu. Aby cofnąć formację, wciśnij 'U'. Jeśli twoje oddziały uciekają, możesz nacisnąć 'V', aby je zmobilizować. W każdej bitwie możesz wykonać ograniczoną liczbę szarż, a ich ilość zależy od twojego przywództwa i charyzmy.
qstr_You_can_also_order_y|Możesz również rozkazać swoim żołnierzom, aby cyklicznie wybierali rodzaj broni, której chcesz użyć^^ Naciśnij O, aby przełączać się pomiędzy rodzajami rozkazów broni. Naciśnij P, aby przełączać się między rodzajami rozkazu tarczy.
qstr_The_Last_Days_of_the|W Last Days of the Third Age zaimplementowano niestandardową kamerę, aby ominąć obecne ograniczenia kamery w odniesieniu do krótszych ras (np. orków i krasnoludów).^^ Zobacz strony z informacjami, aby dowiedzieć się, jak kontrolować różne tryby kamery.
qstr_Battlefield_is_too_s|Pole bitwy jest za małe dla skomplikowanych formacji AI.
qstr_You_have_a_clear_per|Jasno domyślasz się wielkiego niebezpieczeństwa, wszędzie wokół Ciebie! 
qstr_New_ent_reached_batt|Na pole bitwy przybył nowy Ent...
qstr_You_receive_word_tha|Otrzymałeś wiadomość, że wioski Beorningów zostały zaatakowane. Frakcja Beorningów traci siły.
qstr_You_receive_word_that|Otrzymałeś wiadomość że Przywódcy Łowcy Pierścienie byli widziani jak zmierzali w stronę Mordoru. Frakcja Mordoru zyskuje siłę.
qstr_Enemy_reinforcements|Przybyły posiłki przeciwnika
qstr_Yarrrr!!|Yarrrr !!
qstr_Get_all_of_them!|Zdobądź je wszystkie!
qstr_Kill_them_all!|Zabić ich wszystkich!
qstr_Toss_them_overboard!|Wyrzuć je za burtę!
qstr_It_is_a_good_day_to_|To dobry dzień na śmierć!
qstr_All_hands_on_deck!_T|Wszystkie ręce na pokładzie! Odrzuć je!
qstr_Ally_reinforcements_|Przybyli sojusznicy
qstr_Forward_men!|Naprzód, mężczyźni!
qstr_Leave_none_of_these_|Nie zostawiaj żadnego z tych brudów stojących!
qstr_End_them_all!|Zakończ je wszystkie!
qstr_Drive_them_back!|Odeprzyj ich!
qstr_Protect_the_City!|Chroń miasto!
qstr_Forward!_Board_them!|Naprzód! Prowadź ich!
qstr_The_Last_Days_of_the_|The Last Days of the Third Age posiada zaawansowaną oblężniczą AI , znacznie różniącą się od rdzennej. Wszyscy atakujący i obrońcy będą rozmieszczeni na lewej i prawej flance oraz w centrum. Atakujący gracze dowodzą niektórymi z własnych oddziałów.
qstr_on_the_left_flank|na lewej flance
qstr_on_the_right_flank|na prawej flance
qstr_through_the_center|Poprzez Środek
qstr_Attackers_charge_{s2|Atakujący szarżują {s2}
qstr_Attackers_charge_{s1|Atakujący szarżują {s1}
qstr_{s1}_rallied_to_your|{s1} dzięki twojej charyzmie przeszedł na twoją stronę.
qstr_Last_attacker_wave._|Ostatnia fala atakujących. Chcesz się wycofać?
qstr_Attackers_almost_def|Atakujący prawie pokonani. Chcesz się wycofać?
qstr_The_remaining_attack|Pozostali atakujący rozpraszają się!
qstr_The_remaining_defend|Pozostali obrońcy uciekają z oblężenia!
qstr_Reached_Gauntlet_wav|Osiągnięto {reg1} fal Próby!
qstr_Ballista:_out_of_amm|Balista: skończyły się pociski!
qstr_Ballista:_turn_CURSO|Balista: obróć KURSOR, cel LSHIFT, strzał SPACJA, podpal T, wyjście F
qstr_Ballista:_out_of_ammo|Balista: skończyły się pociski
qstr_The_ladders_on_Deepi|Drabiny! Uważać!
qstr_THREE.._TWO..._ONE..|TRZY.. DWA... JEDEN.... WALKA!
qstr_You_have_come_upon_t|Doszliście do ruin Amon Hen, Wzgórza Wzroku, gondorskiej wieży strażniczej, na której spoczywa Siedziba Widzenia ^ ^ Czujecie, że to miejsce było niegdyś wspaniałe, ale dawno zostało zapomniane
qstr_You_have_come_upon_th|Trafiłeś na Martwe Bagna, miejsce bitwy o Dagorlad w czasie Wojny Ostatniego Przymierza^^ Bagna pochłonęły to, co kiedyś było trawiastą równiną, a teraz jedyną zielenią są szumy żywych chwastów na ciemnych, tłustych powierzchniach ponurych wód^^ Martwe trawy i gnijące trzciny wyłaniają się z mgły niczym poszarpane cienie dawno zapomnianych lat, a ciała ludzi, elfów i orków unoszą się w mętnej toni^^ Powietrze jest zimne i wilgotne, a ty nie możesz powstrzymać się od dreszczy, gdy widzisz świece migoczące w oczach elfa, który leży tuż pod powierzchnią wody.
qstr_You_have_entered_the|Wkroczyłeś do lasu w południowej Mrocznej Puszczy, znanym niegdyś jako Wielki Zielony Las^^ W pobliżu znajduje się twierdza Dol Guldur, która rzuca na las mroczny cień. Tutejsze lasy wydają się chore i pełne zgnilizny. Starożytne dęby są opanowane przez zgniliznę i grzyby, a wielkie splątane pajęczyny ciągną się od pnia do pnia^^ Powietrze jest wiecznie nieruchome, ciemne i duszne, i masz wrażenie, że powoli się dusisz.
qstr_You_have_found_the_D|Znalazłeś Magazyn Krasnoludów, w którym mogłyby być Legendarne Włócznie. Zgłoś to co znajdziesz {s3}
qstr_Leave_the_Warehouse?|Opuść magazyn?
qstr_Leave_the_place_in_s|Opuścić scenę?
qstr_Leave_scene?|Opuścić scenę?
qstr_Trace_back_your_step|Prześledzić twoje kroki, a następnie wrócić?
qstr_There_is_no_way_out!|Nie ma wyjścia! Poddać się orkom?
qstr_Stealth_mini_game_tu|Tutorial mini-gry: Są dwa poziomy alarmowe. Poziom 1 gdy straż znajduje ciało bądź ciebie odkrywa. Poziom 2 gdy straż odkrywa cię przy już aktywowanym poziomie 1. Poziom drugi jest niebezpieczny gdyż straż nie przestanie przybywać. Możesz uniknąć zauważenia poprzez pozostanie w ukryciu. By to zrobić przemieść się po prostu za jakąś osłonę.
qstr_You_are_now_hidden.|Jesteś teraz ukryt{y/a}.
qstr_You_move_out_of_hidi|Opuszczasz kryjówkę.
qstr_The_guards_have_spot|Straż odkryła ciało!
qstr_Alarm_Level_is_now_a|Poziom Alarmu 1!
qstr_You_have_been_too_sl|Byliście zbyt powolni: alarm się rozprzestrzenił, a czarnoksiężnik uciekł, zanim zdążyliście się zbliżyć.
qstr_Alarm_Level_is_now_at|Poziom Alarmu 0!
qstr_The_guards_have_spott|Straż cię odkryła!
qstr_Alarm_Level_is_now_at_|Poziom Alarmu 2!
qstr_Enemy_reinforcements_|Przybyły posiłki wroga.
qstr_Venture_deeper_into_|Zapuść się głębiej w las i znajdź dalszą drogę.
qstr_The_sorcerer_has_fle|Czarownik uciekł!
qstr_Report_this_ill_news|Bezzwłocznie przekaż Pani złe wieści.
qstr_The_sorcerer_is_flee|Czarownik ucieka! Zabij go!
qstr_The_sorcerer_has_joi|Czarownik dołączył do walki! Zabij go!
qstr_The_sorcerer_is_dead|Czarownik nie żyje!
qstr_The_battle_is_won!|Bitwa wygrana!
qstr_A_band_of_tribal_orc|Pojawiła się grupa plemiennych orków!
qstr_Gaaaar!!_We_wants_th|Gaaaar !! Chcemy tego ludzkiego mięsa!
qstr_{s31}_scouts_have_ap|{s31} Zwiadowcy pojawili się!
qstr_Those_are_ours!_We_h|To są nasze! Śledziliśmy ich od ich wyjazdu! Nikt nie stoi nam na drodze!
qstr_Trolls_appeared!|Pojawiły się trolle!
qstr_Gaaaar!!|Gaaaar !!
qstr_{s31}_scouts_have_app|{s31} pojawili się zwiadowcy, by pomóc uchodźcom!
qstr_Hurry_men!_Help_the_|Pospieszcie się, ludzie! Pomóżcie uchodźcom! Zabijcie wszystkie szumowiny i nie pozwólcie im uciec!
qstr_Cannot_leave|Nie mogę wyjść
qstr_Longbeard_Kinsman|Pobratymiec Długobrodego
qstr_Ori_Longbeard|Ori Długobrody
qstr_We_shall_make_our_st|Przetrwamy to. ZA BALINA!
qstr_Noooo!_You_orcs_will|Nieeee! Orkowie, zapłacicie za to!
qstr_Arghhh!!_Nooo!!|Arghhh!! Nieee!!
qstr_I_will_take_down_as_|Zanim padnę, zabiorę ze sobą tylu ilu zdołam!
qstr_Raaa!!|Raaa!!
qstr_Kill_the_dwarves!|Zabić krasnoludy!
qstr_Finish_them!|Wykończcie ich!
qstr_We_will_feast_on_you|Będziemy ucztować w waszym mięsie!
qstr_Dwarf_meat!|Krasnoludzkie mięso.
qstr_Eru_Iluvatar_has_dec|Eru Iluvatar zdecydował o losie oddziału Balina i nie można tego zmienić.
qstr_They_are_coming....!|Nadchodzą!
qstr_Who...dares...enter.|Kto...ma czelność... wchodzić...
qstr_You_are_not_welcome_|Nie jesteś tu mile widziany!
qstr_Finally_I_found_you!|Wreszcie Cię znalazłem! Wynośmy się stąd!
qstr_You...are....ours...|Należysz...do nas...
qstr_Look_at_my_over_the_|Spójrz na mnie, {playername}! Jestem taki wspaniały z daleka!
qstr_You_wish_old_man_my_|Jak chcesz, stary, ale mój widok jest znacznie lepszy!
qstr_You_should_really_se|Naprawdę powinieneś zobaczyć zdjęcia Namiestnika Denetora na Facebooku, jest niesamowity!
qstr_Press_Space_to_conti|Naciśnij 'spację' by kontynuować...
qstr_{s24}__{reg13}____{r|{s24} ({reg13}) - {reg20} do następnego awansu^
qstr_Influence:^_{reg11}_|Wpływy:^ {reg11} (z {s16})^
qstr_Resource_Points:^_{r|Punkty zasobów:^ {reg12} (w {s16})^
qstr_{s11}_{s24}__{reg13}|{s11} {s24} ({reg13}) - {reg21} do następnego awansu^
qstr_{s13}_{reg11}__with_|{s13} {reg11} (z {s16})^
qstr_{s15}_{reg12}__in_{s|{s15} {reg12} (w {s16})
qstr_Four_years_after_bri|Cztery lata po próbie ponownego zasiedlenia niegdyś Krasnoludzkiego miasta Khazad-dûm przez grupę Krasnoludów z Ereboru, Balin zginął przeszyty orkową strzałą, gdy zaglądał do Zwierciadlanego Jeziora, a jego ludzie zostali natychmiastowo zaatakowani przez wielu orków nadchodzących ze strony rzeki Silverlode. Po wycofaniu się stopniowo z pod Wschodniej Bramy i Pierwszej Komnaty, potem  mostu Khazad-dûm i Drugiej Komnaty, pozostali długobrodzi byli zepchnięci aż do Dwudziestej-Pierwszej Sali. Po nieudanej próbie ucieczki przez Drzwi Durina i śmierci Óina, komnata Mazarbul była ostatnią linią obrony Kolonii po stracie poprzedniej sali na zewnątrz komnaty. Barykadując bramę, Ori i kilku ocalałych zorganizowali ostatni punkt obrony.
qstr_You_chase_an_orc_sco|Ścigacie oddział orków przez las...
qstr_^No_food:___{reg7}|^Brak jedzenia:  -{reg7}
qstr_Current_party_morale|Aktualne: {reg5}.^Na morale oddziału wpływają obecnie:^^Podstawowe morale:  +50^Rozmiar oddziału: {s2}{reg1}^Przywództwo: {s3}{reg2}^Różnorodność jedzenia: {s4}{reg3}{s5}{s6}^Ostatnie wydarzenia: {s7}{reg4}
qstr_Defending|Broni się
qstr_Gathering_army|Zbiera armię
qstr_Besieging_{s11}|Oblega {s11}
qstr_Raiding_{s11}|Najeżdża wieś {s11}
qstr_Attacking_enemies_ar|Atakuje wrogów zbliżających się pod {s11}
qstr_No_one|Nikt
qstr_{s9}{s10}^Current_st|{s9}{s10}^Obecny stan: {s11}^Marszałek: {s12}^Od ostatniej ofensywy: {reg1} godzin^Najwięcej uczestników ofensywy: {reg2}^^
qstr_Selected_faction_is:|Wybrana frakcja: {s10}^^{s9}
qstr_You_are_in_perfect_h|Jesteś w pełnym zdrowiu.
qstr_You_are_suffering_fr|Cierpisz od {s1}.
qstr_You_are_suffering_fro|Cierpisz od {s1} i {s2}.
qstr_You_are_suffering_from|Cierpisz od {s1}, {s2}, i {s3}.
qstr_You_are_suffering_from_|Cierpisz od {s1}, {s2}, {s3} i {s4}.
; qstr_Troop_upkeep__paid_e|Troop upkeep (paid every four days):^
; qstr_{s12}^^__{s4}:_{reg8|{s12}^^  {s4}: {reg8}/{reg5} Resource Points ^Party: {reg4}^Reserves: {reg7}
qstr_No_upkeep_costs|Brak kosztów utrzymania
qstr_Orc_hiring_bonus:_+2|Orkowy bonus najmu +2/3 za każdego orka^
qstr_Current_party_size_l|Aktualny limit oddziału: {reg5}.^Na wielkość oddziału wpływają obecnie:^^Podstawowa wielkość:  +10^Przywództwo: {s2}{reg1}^Charyzma: {s3}{reg2}^Reputacja: {s4}{reg3}^RAZEM:  {reg5}
qstr_{s2}^_________{s4}:_|{s2}^         {s4}: {reg1} ({s23})
qstr__________Faction_str|         Raport siły frakcji:^{s2}
qstr_{s1}^^Factions_are_n|{s1}^^Frakcje są zwykle oblegane, gdy posiadasz poniżej {reg1} siły
qstr_Savagery|Dzikość
qstr_{s2}^^{s5}^{s6}|{s2}^^{s5}^{s6}
qstr_Traits_gained:^{s2}|Zyskane umiejętności:^{s2}
qstr_^^You_are_{s17}.|^^Jesteś {s17}.
qstr_Assassins_in_the_cam|Zabójcy w obozie, broń się!
qstr_Ally_party_size:_{re|Rozmiar sojuszniczego oddziału: {reg1}
qstr_Enemy_party_size:_{r|Rozmiar wrogiego oddziału: {reg1}
qstr_Party_count:_{reg0}|Wielkość drużyny: {reg0}
qstr_Party_position__{reg|Pozycja drużyny ({reg2},{reg3}).
qstr_Party_size_increased|Wielkość drużyny zwiększona z {reg0} to {reg1}!
qstr_Faction_strengths_re|Raport siły frakcji:^{s2}
qstr_Attacking_enemy_part|Atakuje wrogi oddział {s11}
qstr_Unknown_{reg3}_|Nieznany({reg3})
qstr_ON|WŁ
qstr_OFF__cheat_|Wyłączony (oszustwo)
qstr_OFF|WYŁ
qstr_All_messages|Wszystkie wiadomości 
qstr_{reg0}__will_most_li|{reg0} (zapewne spowoduje crash save'a)
qstr_{reg0}__could_possib|{reg0} (jest szansa że spowoduje crash save'a)
qstr_Normal|Normalny
qstr_Defender_only|Tylko obrońcy
qstr_Halved|Zmiejszony o połowe
qstr_Battles_only|Tylko walki
qstr_Doubled|Podwojone
qstr_Tripled|Potrójne
qstr_Quadrupled|Poczwórne
qstr_You_drank_the_Ent_Wa|Napił{e/a}ś się Wody Entów...
qstr_You_used_the_Orc_Bre|Użyłeś naparu orków
qstr_You_and_your_compani|Ty i Twoi towarzysze wypijacie łyk Miruvoru. Czujesz się odświeżony i wzmocniony.
qstr_You_give_a_few_leave|Dajesz kilka liści Athelasu swoim uzdrowicielom.
qstr_Not_enough_party_spa|Za mało miejsca w drużynie.
qstr_elites|Elitarni
qstr_regulars|Regularni
qstr_recruits|rekruci
qstr_wild|dzikie
qstr_goblins|gobliny
qstr_lordless|bezpański
qstr_orc_stragglers|orkowi maruderzy
qstr_You_camp_and_beat_th|Rozbijasz obóz i uderzasz w Bębny Głębin. Potężny dźwięk przyciąga grupę {s1} {s2}.
qstr_You_camp_and_beat_the|Rozbijasz obóz i uderzasz w Bębny Głębin. Potężny dźwięk przyciąga grupę {s1}. {s2}.
qstr_You_camp_and_beat_the_|Rozbijasz obóz i uderzasz w Bębny Głębin. Słaby dźwięk przyciąga grupę {s1}. {s2}.
qstr_You_camp_and_try_to_|Rozbijasz obóz i uderzyć w Bębny Głębin, ale nikt nie odpowiada na twoje żałosne wołanie.
qstr_^^^A_great_victory!^|^^^Znakomite zwycięstwo!^^^Teraz rozumiem o co chodziło z tymi Fangoriańskimi mitami...
qstr_^^^Defeated...^^^Sca|Pokonani...^^ Rozproszeni w lesie Fangorn... Samotni...
qstr_Troll_caged_in_wheel|Trol zamknięty w klatce.
qstr_A_second_troll_is_ca|Drugi trol zamknięty w klatce.
qstr_Here_you_are.|Tu jesteś.
qstr_Player_was_moved_to_|Gracz przeniósł się do {s10}.
qstr_neutral_whereabouts|nautralnego miejsca
qstr_any|ktokolwiek
qstr_woman|kobieta
qstr_gondor|gondorczyk
qstr_rohan|rohańczyk
qstr_dunlander|dunlandczyk
qstr_urukhai|uruk-hai
qstr_haradrim|haradrim
qstr_dwarf|krasnolud
qstr_troll|trol
qstr_dunedain|dunedain
qstr_lothlorien|elf z Lothlorien
qstr_rivendell|elf z Rivendell
qstr_mirkwood|elf z Mrocznej Puszczy
qstr_evil_man|zły człowiek
qstr_{reg11}0___{reg11}9|{reg11}0 - {reg11}9
qstr_Regular_troops_only|Tylko regularne oddziały
qstr_Heroes_only|Tylko Bohaterowie
qstr_Regulars_and_Heroes|Regularni oraz Bohaterowie
qstr_HP_lost_from_poisoni|Utracono Punkty Życia w wyniku działania trucizny.
qstr__{s17}.|, {s17}.
qstr_A_group_of_{s1}_is_{|Zmierza ku tobie {s1}^^
qstr_You_are_attacking_a_|Napotkał{eś/aś} jakąś grupę. Po chwili okazuje się, że to {s1}^^
qstr_The_battle_against_t|Bitwa z {s1} trwa.
qstr_There_are_{reg39}_al|W bitwie biorą udział {reg39} sojuszniczych dowódców. Możesz dowodzić nimi i ich oddziałami za {reg40}/{reg41} wpływów.
qstr_There_are_{reg39}_all|There are {reg39} allied commanders in this battle. You don't have enough influence to assume command.
qstr_Having_a_small_party|Posiadanie małej imprezy ma swoje zalety ... Ty i twoi żołnierze ukrywacie się przed wrogiem przez kilka godzin, aby mieć pewność, że nie zobaczycie.
qstr_Your_ability_to_mast|Twoja umiejętność panowania nad otoczeniem pozwoliła ci znaleźć bezpieczne miejsce do ukrycia się. (Twoja umiejętność w Wildcraft pozwala ci ukrywać się z oddziałami {reg1}).
qstr_{reg4}_will_be_lost.|{reg4} zostanie utracone.
qstr_{s13}_asked_you_to_r|{s13} poprosił, byś zgłosił{/a} się do niego z co najmiej {reg13} żołnierzami.
qstr_{s13}_ordered_you_to|{s13} rozkazał, byś przyłączył{/a} się do szturmu przeciw: {s14}.
qstr_You_were_victorious!|Zwycięstwo!^^
qstr_The_battle_was_lost.|Bitwa przegrana. Twoje oddziały zostały zmiażdżone.
qstr_Your_companions_carr|Towarzysze wynoszą cię z pola walki.
qstr_You_have_defeated_th|Wróg został pokonany.
qstr_You_have_retreated_f|Ratujesz się ucieczką z pola walki.
qstr_^^Ally_Casualties:{s|^^Straty Sojuszników:{s0}
qstr_You_and_{s3}_celebra|Ty i {s3} świętujesz swoje zwycięstwo przeciwko {s4}.
qstr_News_of_your_victory|Wiadomość o twym zwycięstwie nad {s4} dotarła do {s3}.
qstr_{s3}_witnesses_your_|{s3} był świadkiem twej bitwy z {s4}.
qstr_Even_though_there_we|Mimo że nie było żadnych sprzymierzeńców, którzy mogliby być świadkami twojego zwycięstwa, lecz twoje wojska świętują twoje zwycięstwo.
qstr_{s1}_of_{s3}_managed|{s1} ({s3}) zdołał uciec.
qstr_Prisoners_rescued_so|Dotychczas uratowani więźniowie: {reg1}
