menu_start_game_1|^^^^^^^^^^Waar vecht je voor?
menu_player_added_to_war_council|^^^^^Een boodschapper is geariveerd en verteld je dat nu als {s24} gevraagd bent door {s2} om jje bij de oorlogsraad aan te sluiten. Je kan nu strategieen die de oorlog beinvloeden sugesteren.
mno_player_added_to_war_council_close|Sluiten
menu_player_added_to_siege_reports|^^^^^Een boodschapper is geariveerd en verteld je dat nu als {s24} Boodschappen krijgt als {s2} een belegering voert of als {s2} belegerd wordt.
mno_player_added_to_siege_reports_close|Sluiten
menu_player_added_to_allow_follow|^^^^^Een boodschapper is geariveerd en verteld je dat nu als {s24} Je {s2} mag commanderen voor een totaal van {reg55} maximale volgers.
mno_player_added_to_allow_follow_close|Sluiten
menu_center_besieged_event|^^^^^Een boodschapper is geariveerd en verteld dat {s1} is belegerd door {s2} en {s3}
mno_center_besieged_event_close|Sluiten
menu_guardian_party_spawned|^^^^^Verkenners rapporteren dat {s6} een groote leger in de buurt van {s7} hebben gezien, in een laatste poging om hun hoofdstad te verdedigen.
mno_intro_next|Vervolgen...
mno_start_defend_caravan|Verdedig de Karavaan!
mno_start_raid_caravan|Plunder de Karavaan!
mno_start_ambush_orcs|Overval de Orcs!
mno_start_kill_scouts|Houd de verkenners tegen die jouw aankomst gaan melden!
mno_go_your_way|Laat ze alleen
mno_defend_villagers|Verdedig de Dorpelingen!
mno_raid_villagers|Plunder het Dorp!
mno_go_away|Verlaat en hergroep voor nu.
menu_scout_camp_quest|Je ziet een verkenners kamp dichtbij. Je beriedt je mannen voor en valt aan.
mno_attack_scout_camp|Val de Verkenners Kamp Aan!
menu_sea_battle_quest|Je ontmoet een vijandelijke vloot, De schepen komen dichterbij en de matrosen gooien de planken neer...
mno_sb_defend_the_town|Ga aan boord! Sloop hun vloot!
mno_sb_attack_the_town|Ze proberen ons te onderscheppen! Verdedig de vloot!
menu_camp_field_ai|^^^^^Klik op een optie om het uit of aan te doen.^^^Het uitzetten van een of meerdere opties zal de Prestatie verbeteren (FPS)
mno_lord_field_ai|Heren Hebben Verbeterde Slagveld AI: {s7}
mno_horse_archer_field_ai|Paard Booschutters hebben verbeterde Slagveld AI: {s7}
mno_vs_orcs_field_ai|Boogschutters hebben een betere mikpunt tegen orks (richt niet boven orks hoofd): {s7}
mno_battlefield_animals|Geen-Warg / Paard Kameraden Spawnen in strijd: {s7}
mno_slow_when_wounded|Agenten worden traag wanneer verwondt: {s7}
mno_battle_encounter_effects|Speciale Factie gebaseerde effecten of het slagveld (bijv. Stormen en misten): {s7}
menu_hungry_orc|Geen
menu_leaving_elf|Geen
mno_defend_refugees|Houd een oog open voor plunderaars...
mno_attack_refugees|Val de vluchtelingen karavan aan...
mno_leave_refugees|Laat hun voor nu...
mno_evil_war_tut_continue|Vervolgen...
menu_alternate_training_fight|Je zal {reg5} aanvallen. Ben je voorbereid?
mno_training_continue|Begin training...
menu_alternate_training_conclusion|{s5}
mno_alternate_training_retry|Probeer opnieuw...
mno_alternate_training_finish|Verlaat de arena...
menu_custom_battle_choose_faction1|^^^^^^^^^^Kies een kant en voordeel:
mno_good_equal|Goede factie
mno_bad_equal|Kwade factie
mno_replay_prev|Herspeel vorige setup
menu_custom_battle_choose_faction2|^^^^^^^^^^Kies goede factie
mno_cb_gondor|Gondor
mno_cb_gondor1|Rohan
mno_cb_gondor2|Lothlorien
mno_cb_gondor3|Rivendell
mno_cb_gondor4|Demsterwold
mno_cb_gondor5|Dwergen
mno_cb_gondor6|Dale
mno_cb_gondor7|Beornings
menu_custom_battle_choose_faction3|^^^^^^^^^^Kies voor de slechte factie
mno_cb_mordor|Mordor
mno_cb_mordor1|Isengard
mno_cb_mordor2|Dunland
mno_cb_mordor3|Haradrim
mno_cb_mordor4|Oosterlingen
mno_cb_mordor5|Moria
mno_cb_mordor6|Gundabad
mno_cb_mordor7|Rhun
mno_cb_mordor8|Piraten
mno_rescue_mission|Ga stiekem in het hol van de tovenaar onder dekking van de nacht.
mno_next_rescue_scene_door|Verder doorgaan!
mno_pick_troops1|Kies metgezellen voor de missie, {reg0} geselecteerd
; menu_pick_troops|Whom would you take with you into the stealth mission?    ^Only your most nimble troops and companions will be able to join you.    ^As the party member with the highest wildcraft skill, {reg65?{s1} advises:you decide} that you can take up to {reg11} troops with you.    ^^Currently you have picked {reg0} companions.
mno_go_forward|Beëindig het kiezen van metgezellen en ga verder.
menu_burial_mound|Je nadert de begravings plek van {s1}en {s2}. Verslagen in de strijd met {s28}. Het ligt vol met wapens van verslagen vijanden.
mno_pay_respects|Knielen en geef je respect.
mno_swear_oath|Zweer een eed van wraak!
mno_despoil|Ontheilig de plek
mno_leave_mound|Verlaat de heuvel.
menu_burial_mound_respects|Je knielt en geeft je respect aan {s1}, In stilte geef je een gebed voor een snelle reis naar het hiernamaals. Er is hier niets meer te doen.
menu_burial_mound_oath|Je zweert luid een eed van wraak voor de dood van {s4}. Je zou onophoudelijk zoeken naar de krachten van de {s3} en ze vernietigen. Je woorden raken heel ver en kunnen waarschijnlijk gehoord woorden nabij de zee.
menu_funeral_pyre_oath|Je zweert luid een eed van wraak voor de dood van {s4}. Je zou onophoudelijk zoeken naar de krachten van de {s3} en ze vernietigen. Je woorden raken heel ver en kunnen waarschijnlijk gehoord woorden nabij de zee.
mno_leave_pyre_oath|Verlaat de brandstapel.
menu_burial_mound_despoil|Je breekt het monument van {s1} af met je eigen handen, en je verontreinigt de stenen met vloeken, smerige gezangen en onuitspreekbare daden. Je metgezellen vallen terug in angst voor de dood, maar ze lijken steeds meer respect te hebben voor je boosheid.
menu_funeral_pyre|Je nadert de verbrande achterblijvselen van de begravings vuur van {s3} en {s2}. Verslagen door {s28}. Hier was het lichaam cermonieeel verbrand door zijn personlijke bodyguards. Niks van waarde is overgebleven.
mno_leave_pyre|Verlaat de brandstapel.
menu_town_ruins|Wanneer je nadert, zie je dat {s1} is {s2}
mno_ruin_menu_0|Verken de plaats.
mno_ruin_leave|Ga weg...
menu_premutiny|Geen
menu_death|Je bent gedood, Hoewel de oorlog nog steeds woedt, zal je er niet langer een deel van uitmaken.
menu_animal_ambush|U en uw gezelschap zijn gescheiden van de rest van uw partij, wanneer plotseling...
menu_animal_ambush_success|De {s2} {reg0?fall:falls} Valt voor je als een tarwe aan ene zeis! Al snel liggen al uw aanvallers op de vloer, dood of gewond. {s3}
menu_animal_ambush_fail|De dieren bijten en verscheuren je{reg0?,: and your companion{reg2?s,:,}} maar gelukkig slaag je erin om hen af te weren. Hopelijk vallen ze je niet meer aan.
; menu_isengard_flooding|^^^^^@You are surrounded by dead foes and triumphant allies, including the Ents; they roar, and boom, and trumpet, until stones crack and fall all around the Tower of Orthanc. They are like a howling gale, breaking pillars, hurling avalanches of boulders down the shafts, tossing up huge slabs of stone into the air like leaves... It is like nothing you have ever seen.^^ Bregalad -- or Quickbeam, as you know him -- comes striding by, and pauses only to say, '{playername}! Ware! Keep away from the Tower -- we shall soon break the dam and bring the Isen into this valley, for a little while. You will find it very hard to stay standing here, I think!' Quickly, you take his advice and hasten away from Orthanc.^^ At about midnight, Isengard begins to fill up with black creeping streams and pools. You cannot help but shiver as you see smoke and steam rising in great pillars, and a great coil of vapour rising and snaking around the Tower, until it resembles a tall peak of cloud, fiery underneath and moonlit above. The wrath of the Ents is slow, but possesses an irresistible force...
; mno_isengard_continue|Continue
menu_build_your_scene|U kunt uw eigen battlescene hier te bouwen, met behulp van een van de sleuven hieronder en game Edit mode (je nodig hebt om edit mode Schakel eerst in M & B lauching scherm Opties). Vervolgens kunt u indienen scènes u geconstrueerd (namelijk SCO bestanden van TLD / SceneObj map) naar het dev team van TLD, en als uw scène is goed, het kan in latere releases als een van willekeurige slagvelden! ^^ Probeer aan te geven welke regio op de kaart u wilt dat uw scene te verschijnen ^ Paar tips:. vermijd diep water, steile bergen en andere onbegaanbare plaatsen, tenzij je ervaren scene-maker en weten hoe AI troepen bar van het lopen, waar je ze niet wilt, en maken AI maas in andere plaatsen. ^ (Inzendingen # 0-1 zijn voor aanvallers, # 4 voor verdedigers, niet aanraken # 5-8
mno_scene1|Vlakte Groot (file scn custom 1.sco)
mno_scene2|Vlakte Medium (file scn custom 2.sco)
mno_scene3|Vlakte Klein (file scn custom 3.sco)
mno_scene4|Steppe Groot (file scn custom 4.sco)
mno_scene5|Steppe Medium (file scn custom 5.sco)
mno_scene6|Steppe Klein (file scn custom 6.sco)
mno_scene7|Bos Groot (file scn custom 7.sco)
mno_scene8|Bos Medium (file scn custom 8.sco)
mno_scene9|Bos Klein (file scn custom 9.sco)
mno_back_3dot|Terug...
mno_back|Ga terug.
mno_next|Volgende...
