trp_unarmed_troop|Ongewapende Troep
trp_harad_skirmisher_pl|Harad Jagers
trp_harad_archer|Harad Schutter
trp_harad_archer_pl|Harad Schutters
trp_harad_eagle_guard|Arend Beschermer
trp_harad_eagle_guard_pl|Arend Beschermers
trp_harondor_scout|Harondor Verkenner
trp_harondor_scout_pl|Harondor Verkenners
trp_harondor_rider|Harondor Ruiter
trp_harondor_rider_pl|Harondor Ruiters
trp_harondor_light_cavalry|Harondor Lichte Cavalerie
trp_harondor_light_cavalry_pl|Harondor Lichte Cavalerie
trp_fang_heavy_cavalry|Gouden Slang Ridder
trp_fang_heavy_cavalry_pl|Gouden Slang Ridders
trp_harad_horse_archer|Harondor Schermutselaar
trp_harad_horse_archer_pl|Harondor Shermutselaren
trp_black_snake_horse_archer|Harondor Ruiter met Boog
trp_black_snake_horse_archer_pl|Harondor Ruiters met Boog
trp_gold_serpent_horse_archer|Zwarte Slang Ruiter met Boog
trp_gold_serpent_horse_archer_pl|Zwarte Slang Ruiter met Boog
trp_far_harad_tribesman|Far Harad Stamlid
trp_far_harad_tribesman_pl|Far Harad Stamleden
trp_far_harad_champion|Far Harad Kampioen
trp_far_harad_champion_pl|Far Harad Kampioenen
trp_far_harad_panther_guard|Panter Beschermer
trp_far_harad_panther_guard_pl|Panter Beschermers
trp_dunnish_wildman|Donkerse Wilde Man
trp_dunnish_wildman_pl|Donkerse Wilde Mannen
trp_dunnish_warrior|Donkerse Krijger
trp_dunnish_warrior_pl|Donkerse Krijgers
trp_dunnish_pikeman|Donkerse Piekenier
trp_dunnish_pikeman_pl|Donkerse Piekeniers
trp_dunnish_veteran_pikeman|Donkerse Ervaren Piekenier
trp_dunnish_veteran_pikeman_pl|Donkerse Ervaren Piekeniers
trp_dunnish_raven_rider|Donkerse Crebain Ruiter
trp_dunnish_raven_rider_pl|Donkerse Crebain Ruiters
trp_dunnish_vet_warrior|Donkerse Ervaren Krijger
trp_dunnish_vet_warrior_pl|Donkerse Ervaren Krijgers
trp_dunnish_wolf_warrior|Donkerse Wolf Krijger
trp_dunnish_wolf_warrior_pl|Donkerse wolf Krijger
trp_dunnish_wolf_guard|Donkerse Wolf Beschermer
trp_dunnish_wolf_guard_pl|Donkerse Wolf Beschermers
trp_dunnish_chieftan|Donkerse Raad Ruiter
trp_dunnish_chieftan_pl|Donkerse Raaf Ruiters
; trp_easterling_youth|Variag Bondsman
; trp_easterling_youth_pl|Variag Bondsmen
; trp_easterling_warrior|Warrior of Khand
; trp_easterling_warrior_pl|Warriors of Khand
; trp_easterling_axeman|Variag Axeman
; trp_easterling_axeman_pl|Variag Axemen
; trp_easterling_veteran_axeman|Variag Veteran Axeman
; trp_easterling_veteran_axeman_pl|Variag Veteran Axemen
; trp_easterling_axe_master|Variag Axe Master
; trp_easterling_axe_master_pl|Variag Axe Masters
; trp_easterling_rider|Variag Pony Rider
; trp_easterling_rider_pl|Variag Pony Riders
; trp_easterling_horseman|Variag Horseman
; trp_easterling_horseman_pl|Variag Horsemen
; trp_easterling_veteran_horseman|Variag Heavy Horseman
; trp_easterling_veteran_horseman_pl|Variag Heavy Horsemen
; trp_easterling_horsemaster|Variag Kataphrakt
; trp_easterling_horsemaster_pl|Variag Kataphrakts
; trp_easterling_lance_kataphract|Variag Lance Kataphrakt
; trp_easterling_lance_kataphract_pl|Variag Lance Kataphrakts
; trp_khand_glaive_whirler|Khand Blade Whirler
; trp_khand_glaive_whirler_pl|Khand Blade Whirlers
; trp_variag_veteran_glaive_whirler|Khand Veteran Blade Whirler
; trp_variag_veteran_glaive_whirler_pl|Khand Veteran Blade Whirlers
; trp_khand_glaive_master|Khand Halberd Master
; trp_khand_glaive_master_pl|Khand Halberd Masters
; trp_variag_pitfighter|Variag Pitfighter
; trp_variag_pitfighter_pl|Variag Pitfighters
; trp_variag_gladiator|Variag Berserker
; trp_variag_gladiator_pl|Variag Berserkers
; trp_easterling_skirmisher|Variag Skirmisher
; trp_easterling_skirmisher_pl|Variag Skirmishers
; trp_easterling_veteran_skirmisher|Variag Veteran Skirmisher
; trp_easterling_veteran_skirmisher_pl|Variag Veteran Skirmishers
; trp_easterling_elite_skirmisher|Variag Heavy Skirmisher
; trp_easterling_elite_skirmisher_pl|Variag Heavy Skirmishers
; trp_i1_corsair_youth|Umbar Sailor
; trp_i1_corsair_youth_pl|Umbar Sailors
; trp_i2_corsair_warrior|Umbar Warrior
; trp_i2_corsair_warrior_pl|Umbar Warriors
; trp_i3_corsair_spearman|Spearman of Umbar
; trp_i3_corsair_spearman_pl|Spearmen of Umbar
; trp_i4_corsair_raider|Corsair Raider
; trp_i4_corsair_raider_pl|Corsair Raiders
; trp_i5_corsair_night_raider|Corsair Night Raider
; trp_i5_corsair_night_raider_pl|Corsair Night Raiders
; trp_a2_corsair_marine|Umbar Marine
; trp_a2_corsair_marine_pl|Umbar Marines
; trp_a3_corsair_marksman|Marksman of Umbar
; trp_a3_corsair_marksman_pl|Marksmen of Umbar
; trp_a4_corsair_veteran_marksman|Veteran Marksman of Umbar
; trp_a4_corsair_veteran_marksman_pl|Veteran Marksmen of Umbar
; trp_a5_corsair_master_marksman|Corsair Master Marksman
; trp_a5_corsair_master_marksman_pl|Corsair Master Marksmen
; trp_i3_corsair_swordsman|Swordsman of Umbar
; trp_i3_corsair_swordsman_pl|Swordsmen of Umbar
; trp_i4_corsair_veteran_swordsman|Veteran Swordsman of Umbar
; trp_i4_corsair_veteran_swordsman_pl|Veteran Swordsmen of Umbar
; trp_i5_corsair_master_swordsman|Corsair Swordmaster
; trp_i5_corsair_master_swordsman_pl|Corsair Swordmasters
; trp_a4_corsair_assassin|Corsair Assassin
; trp_a4_corsair_assassin_pl|Corsair Assassins
; trp_a5_corsair_master_assassin|Corsair Assassin
; trp_a5_corsair_master_assassin_pl|Corsair Assassins
; trp_i4_corsair_veteran_spearman|Veteran Spearman of Umbar
; trp_i4_corsair_veteran_spearman_pl|Veteran Spearmen of Umbar
; trp_i5_corsair_master_spearman|Spearmaster of Umbar
; trp_i5_corsair_master_spearman_pl|Spearmasters of Umbar
; trp_i5_corsair_master_pikeman|Pikemaster of Umbar
; trp_i5_corsair_master_pikeman_pl|Pikemasters of Umbar
; trp_orc_snaga_of_isengard|Orc Snaga of Isengard
; trp_orc_snaga_of_isengard_pl|Orc Snagas of Isengard
; trp_orc_of_isengard|Orc of Isengard
; trp_orc_of_isengard_pl|Orcs of Isengard
; trp_large_orc_of_isengard|Large Orc of Isengard
; trp_large_orc_of_isengard_pl|Large Orcs of Isengard
; trp_fell_orc_of_isengard|Fell Orc of Isengard
; trp_fell_orc_of_isengard_pl|Fell Orcs of Isengard
; trp_large_orc_despoiler|Large Orc Despoiler
; trp_large_orc_despoiler_pl|Large Orc Despoilers
; trp_fell_orc_despoiler|Fell Orc Despoiler
; trp_fell_orc_despoiler_pl|Fell Orc Despoilers
; trp_wolf_rider_of_isengard|Wolf Rider of Isengard
; trp_wolf_rider_of_isengard_pl|Wolf Riders of Isengard
; trp_warg_rider_of_isengard|Warg Rider of Isengard
; trp_warg_rider_of_isengard_pl|Warg Riders of Isengard
; trp_white_hand_rider|White Hand Rider
; trp_white_hand_rider_pl|White Hand Riders
trp_warg_ghost_1b|Warg
; trp_warg_ghost_1b_pl|Wargs
trp_warg_ghost_1c|Warg
; trp_warg_ghost_1c_pl|Wargs
trp_warg_ghost_1d|Warg
; trp_warg_ghost_1d_pl|Wargs
trp_warg_ghost_a1b|Warg
; trp_warg_ghost_a1b_pl|Wargs
trp_warg_ghost_a1c|Gepantserde Warg
; trp_warg_ghost_a1c_pl|Armored Wargs
trp_warg_ghost_a2b|Gepantserde Warg
; trp_warg_ghost_a2b_pl|Armored Wargs
trp_warg_ghost_a2c|Gepantserde Warg
; trp_warg_ghost_a2c_pl|Armored Wargs
trp_warg_ghost_a3a|Gepantserde Warg
; trp_warg_ghost_a3a_pl|Armored Wargs
trp_warg_ghost_h|Grote Warg
; trp_warg_ghost_h_pl|Huge Wargs
; trp_uruk_hai_tracker|Uruk Hai Tracker
; trp_uruk_hai_tracker_pl|Uruk Hai Trackers
; trp_large_uruk_hai_tracker|Large Uruk Hai Tracker
; trp_large_uruk_hai_tracker_pl|Large Uruk Hai Trackers
; trp_fighting_uruk_hai_tracker|Fighting Uruk Hai Tracker
; trp_fighting_uruk_hai_tracker_pl|Fighting Uruk Hai Trackers
; trp_fighting_uruk_hai_berserker|Fighting Uruk Hai Berserker
; trp_fighting_uruk_hai_berserker_pl|Fighting Uruk Hai Berserkers
; trp_uruk_snaga_of_isengard|Uruk Hai Newborn
; trp_uruk_snaga_of_isengard_pl|Uruk Hai Newborns
; trp_uruk_hai_of_isengard|Uruk Hai of Isengard
; trp_uruk_hai_of_isengard_pl|Uruk Hai of Isengard
; trp_large_uruk_hai_of_isengard|Large Uruk Hai of Isengard
; trp_large_uruk_hai_of_isengard_pl|Large Uruk Hai of Isengard
; trp_fighting_uruk_hai_warrior|Fighting Uruk Hai Warrior
; trp_fighting_uruk_hai_warrior_pl|Fighting Uruk Hai Warriors
; trp_fighting_uruk_hai_champion|Fighting Uruk Hai Champion
; trp_fighting_uruk_hai_champion_pl|Fighting Uruk Hai Champions
; trp_uruk_hai_pikeman|Uruk Hai Pikeman
; trp_uruk_hai_pikeman_pl|Uruk Hai Pikemen
; trp_fighting_uruk_hai_pikeman|Fighting Uruk Hai Pikeman
; trp_fighting_uruk_hai_pikeman_pl|Fighting Uruk Hai Pikemen
; trp_urukhai_standard_bearer|Uruk Hai Standard Bearer
; trp_urukhai_standard_bearer_pl|Uruk Hai Standard Bearers
; trp_uruk_snaga_of_mordor|Uruk Snaga of Mordor
; trp_uruk_snaga_of_mordor_pl|Uruk Snagas of Mordor
; trp_uruk_of_mordor|Uruk of Mordor
; trp_uruk_of_mordor_pl|Uruks of Mordor
; trp_large_uruk_of_mordor|Large Uruk of Mordor
; trp_large_uruk_of_mordor_pl|Large Uruks of Mordor
; trp_fell_uruk_of_mordor|Fell Uruk of Mordor
; trp_fell_uruk_of_mordor_pl|Fell Uruks of Mordor
; trp_uruk_slayer_of_mordor|Uruk Slayer of Mordor
; trp_uruk_slayer_of_mordor_pl|Uruk Slayers of Mordor
; trp_fell_uruk_slayer_of_mordor|Fell Uruk Slayer of Mordor
; trp_fell_uruk_slayer_of_mordor_pl|Fell Uruk Slayers of Mordor
; trp_black_uruk_of_barad_dur|Black Uruk of Barad Dur
; trp_black_uruk_of_barad_dur_pl|Black Uruks of Barad Dur
; trp_uruk_mordor_standard_bearer|Mordor Standard Bearer
; trp_uruk_mordor_standard_bearer_pl|Mordor Standard Bearers
; trp_troll_of_moria|Cave Troll
; trp_troll_of_moria_pl|Cave Trolls
; trp_armoured_troll|Armored Troll
; trp_armoured_troll_pl|Armored Trolls
; trp_olog_hai|Olog Hai of Mordor
; trp_olog_hai_pl|Olog Hai of Mordor
; trp_ent|Ent
; trp_ent_pl|Ents
; trp_orc_snaga_of_guldur|Orc Snaga of Guldur
; trp_orc_snaga_of_guldur_pl|Orc Snagas of Guldur
; trp_orc_of_guldur|Orc Tracker of Guldur
; trp_orc_of_guldur_pl|Orc Trackers of Guldur
; trp_orc_snaga_of_mordor|Orc Snaga of Mordor
; trp_orc_snaga_of_mordor_pl|Orc Snagas of Mordor
; trp_orc_of_mordor|Orc of Mordor
; trp_orc_of_mordor_pl|Orcs of Mordor
; trp_large_orc_of_mordor|Large Orc of Mordor
; trp_large_orc_of_mordor_pl|Large Orcs of Mordor
; trp_fell_orc_of_mordor|Fell Orc of Mordor
; trp_fell_orc_of_mordor_pl|Fell Orcs of Mordor
; trp_warg_rider_of_gorgoroth|Warg Rider of Gorgoroth
; trp_warg_rider_of_gorgoroth_pl|Warg Riders of Gorgoroth
; trp_great_warg_rider_of_mordor|Great Warg Rider of Udun
; trp_great_warg_rider_of_mordor_pl|Great Warg Riders of Udun
; trp_morgul_orc|Morgul Orc
; trp_morgul_orc_pl|Morgul Orcs
; trp_fell_morgul_orc|Fell Morgul Orc
; trp_fell_morgul_orc_pl|Fell Morgul Orcs
; trp_orc_tracker_of_mordor|Large Orc Tracker of Guldur
; trp_orc_tracker_of_mordor_pl|Large Orc Tracker of Guldur
; trp_fell_orc_tracker_of_mordor|Fell Orc Tracker of Guldur
; trp_fell_orc_tracker_of_mordor_pl|Fell Orc Trackers of Guldur
; trp_orc_archer_of_mordor|Orc Archer of Mordor
; trp_orc_archer_of_mordor_pl|Orc Archers of Mordor
; trp_large_orc_archer_of_mordor|Large Orc Archer of Mordor
; trp_large_orc_archer_of_mordor_pl|Large Orc Archers of Mordor
; trp_fell_orc_archer_of_mordor|Fell Orc Archer of Mordor
; trp_fell_orc_archer_of_mordor_pl|Fell Orc Archers of Mordor
; trp_c3_wolf_rider_of_moria|Wolf Rider of Moria
; trp_c3_wolf_rider_of_moria_pl|Wolf Riders of Moria
; trp_c4_warg_rider_of_moria|Warg Rider of Moria
; trp_c4_warg_rider_of_moria_pl|Warg Riders of Moria
; trp_c5_bolg_clan_rider|Bolg Clan Rider
; trp_c5_bolg_clan_rider_pl|Bolg Clan Riders
; trp_i1_snaga_of_moria|Snaga of Moria
; trp_i1_snaga_of_moria_pl|Snagas of Moria
; trp_i2_goblin_of_moria|Goblin of Moria
; trp_i2_goblin_of_moria_pl|Goblins of Moria
; trp_i3_large_goblin_of_moria|Large Goblin of Moria
; trp_i3_large_goblin_of_moria_pl|Large Goblins of Moria
; trp_i4_fell_goblin_of_moria|Fell Goblin of Moria
; trp_i4_fell_goblin_of_moria_pl|Fell Goblins of Moria
; trp_a2_archer_snaga_of_moria|Goblin Archer of Moria
; trp_a2_archer_snaga_of_moria_pl|Goblin Archers of Moria
; trp_a3_large_goblin_archer_of_moria|Large Goblin Archer of Moria
; trp_a3_large_goblin_archer_of_moria_pl|Large Goblin Archers of Moria
; trp_i5_deep_dweller_of_moria2|Deep-Dweller of Moria
; trp_i5_deep_dweller_of_moria2_pl|Deep-Dwellers of Moria
; trp_i1_goblin_gundabad|Gundabad Goblin
; trp_i1_goblin_gundabad_pl|Gundabad Goblins
; trp_i2_orc_gundabad|Gundabad Orc
; trp_i2_orc_gundabad_pl|Gundabad Orcs
; trp_i3_orc_fighter_gundabad|Gundabad Orc Fighter
; trp_i3_orc_fighter_gundabad_pl|Gundabad Orc Fighters
; trp_i4_fell_orc_warrior_gundabad|Gundabad Orc Warrior
; trp_i4_fell_orc_warrior_gundabad_pl|Gundabad Orc Warriors
; trp_i4_orc_beserker_gundabad|Gundabad Orc Berserker
; trp_i4_orc_beserker_gundabad_pl|Gundabad Orc Berserkers
; trp_ca4_warg_skirmisher_gundabad|Gundabad Skirmisher
; trp_ca4_warg_skirmisher_gundabad_pl|Gundabad Skirmishers
; trp_ca5_goblin_north_clan_skirmisher|Goblin North Clan Skirmisher
; trp_ca5_goblin_north_clan_skirmisher_pl|Goblin North Clan Skirmishers
; trp_c3_goblin_rider_gundabad|Gundabad Goblin Rider
; trp_c3_goblin_rider_gundabad_pl|Gundabad Goblin Riders
; trp_c4_warg_rider_gundabad|Gundabad Warg Rider
; trp_c4_warg_rider_gundabad_pl|Gundabad Warg Riders
; trp_c5_goblin_north_clan_rider|Goblin North Clan Rider
; trp_c5_goblin_north_clan_rider_pl|Goblin North Clan Riders
; trp_mountain_goblin|Mountain Goblin
; trp_mountain_goblin_pl|Mountain Goblins
; trp_tribal_orc|Tribal Orc
trp_tribal_orc_pl|Stammen Orks
; trp_tribal_orc_warrior|Tribal Orc Warrior
; trp_tribal_orc_warrior_pl|Tribal Orc Warriors
; trp_i5_orc_chieftain_of_moria2|Orc Chieftain of Moria
; trp_i5_orc_chieftain_of_moria2_pl|Orc Chieftains of Moria
; trp_black_numenorean_renegade|Black Numenorean Renegade
; trp_black_numenorean_renegade_pl|Black Numenorean Renegades
; trp_black_numenorean_warrior|Black Numenorean Warrior
; trp_black_numenorean_warrior_pl|Black Numenorean Warriors
; trp_black_numenorean_veteran_warrior|Black Numenorean Veteran Warrior
; trp_black_numenorean_veteran_warrior_pl|Black Numenorean Veteran Warriors
; trp_black_numenorean_champion|Black Numenorean Champion
; trp_black_numenorean_champion_pl|Black Numenorean Champions
; trp_black_numenorean_assassin|Black Numenorean Assassin
; trp_black_numenorean_assassin_pl|Black Numenorean Assassins
; trp_black_numenorean_veteran_horseman|Black Numenorean Horseman
; trp_black_numenorean_veteran_horseman_pl|Black Numenorean Horsemen
; trp_black_numenorean_horsemaster|Black Numenorean Horsemaster
; trp_black_numenorean_horsemaster_pl|Black Numenorean Horsemasters
; trp_noldorin_commander|Noldorin Commander
; trp_noldorin_commander_pl|Noldorin Commanders
; trp_elf_captain_of_lothlorien|Elf Captain of Lothlorien
; trp_elf_captain_of_lothlorien_pl|Elf Captains of Lothlorien
; trp_lothlorien_lieutenant|Lothlorien Lieutenant
; trp_lothlorien_lieutenant_pl|Lothlorien Lieutenants
; trp_elf_captain_of_mirkwood|Elf Captain of Greenwood
; trp_elf_captain_of_mirkwood_pl|Elf Captains of Greenwood
; trp_mirkwood_lieutenant|Greenwood Lieutenant
; trp_mirkwood_lieutenant_pl|Greenwood Lieutenants
; trp_elf_captain_of_rivendell|Elf Captain of Rivendell
; trp_elf_captain_of_rivendell_pl|Elf Captains of Rivendell
; trp_rivendell_lieutenant|Rivendell Lieutenant
; trp_rivendell_lieutenant_pl|Rivendell Lieutenants
; trp_lieutenant_of_rohan|Lieutenant of Rohan
; trp_lieutenant_of_rohan_pl|Lieutenants of Rohan
; trp_captain_of_rohan|Captain of Rohan
; trp_captain_of_rohan_pl|Captains of Rohan
; trp_high_captain_of_rohan|High Captain of Rohan
; trp_high_captain_of_rohan_pl|High Captains of Rohan
; trp_lieutenant_of_isengard|Lieutenant of Isengard
; trp_lieutenant_of_isengard_pl|Lieutenants of Isengard
; trp_captain_of_isengard|Captain of Isengard
; trp_captain_of_isengard_pl|Captains of Isengard
; trp_high_captain_of_isengard|High Captain of Isengard
; trp_high_captain_of_isengard_pl|High Captains of Isengard
; trp_lieutenant_of_mordor|Lieutenant of Mordor
; trp_lieutenant_of_mordor_pl|Lieutenants of Mordor
; trp_captain_of_mordor|Captain of Mordor
; trp_captain_of_mordor_pl|Captains of Mordor
; trp_high_captain_of_mordor|High Captain of Mordor
; trp_high_captain_of_mordor_pl|High Captains of Mordor
; trp_easterling_chieftain|Variag Chieftain
; trp_easterling_chieftain_pl|Variag Chieftains
; trp_easterling_lieutenant|Variag War Priest
; trp_easterling_lieutenant_pl|Variag War Priests
; trp_harad_chieftain|Harad Chieftain
; trp_harad_chieftain_pl|Harad Chieftains
; trp_harad_lieutenant|Harad Lieutenant
; trp_harad_lieutenant_pl|Harad Lieutenants
; trp_black_numenorean_captain|Black Numenorean Captain
; trp_black_numenorean_captain_pl|Black Numenorean Captains
; trp_black_numenorean_lieutenant|Black Numenorean Lieutenant
; trp_black_numenorean_lieutenant_pl|Black Numenorean Lieutenants
; trp_dunnish_night_wolf|Dunnish Night Wolf
; trp_dunnish_night_wolf_pl|Dunnish Night Wolfs
; trp_dunnish_lieutenant|Dunnish Hetman
; trp_dunnish_lieutenant_pl|Dunnish Hetmen
; trp_goblin_chieftain|Goblin Chieftain
; trp_goblin_chieftain_pl|Goblin Chieftains
trp_captain_of_gondor|Kapitein van Gondor
; trp_captain_of_gondor_pl|Captains of Gondor
trp_nobleman|Edelman
trp_nobleman_pl|Edelmannen
; trp_gondor_agent|Gondor Agent
; trp_gondor_agent_pl|Gondor Agents
; trp_rohan_agent|Rohan Agent
; trp_rohan_agent_pl|Rohan Agents
; trp_mordor_agent|Mordor Agent
; trp_mordor_agent_pl|Mordor Agents
; trp_isengard_agent|Isengard Agent
; trp_isengard_agent_pl|Isengard Agents
; trp_looter|Looter
; trp_looter_pl|Looters
trp_bandit|Bandiet
trp_bandit_pl|Bandieten
trp_brigand|Rover
trp_brigand_pl|Rovers
trp_mountain_bandit|Berg Bandiet
trp_mountain_bandit_pl|Berg Bandieten
trp_forest_bandit|Bos Bandiet
trp_forest_bandit_pl|Bos Bandieten
; trp_sea_raider|Sea Raider
; trp_sea_raider_pl|Sea Raiders
; trp_steppe_bandit|Steppe Bandit
; trp_steppe_bandit_pl|Steppe Bandits
; trp_manhunter|Manhunter
trp_manhunter_pl|\nManhunters
; trp_kidnapped_girl|Kidnapped Girl
; trp_kidnapped_girl_pl|Kidnapped Girls
trp_refugee|Vluchteling
trp_refugee_pl|Vluchtelingen
; trp_peasant_woman|Peasant Woman
; trp_peasant_woman_pl|Peasant Women
; trp_caravan_master|Caravan Master
; trp_caravan_master_pl|Caravan Masters
; trp_caravan_guard|Caravan Guard
; trp_caravan_guard_pl|Caravan Guards
trp_messenger_man|Boodschapper
trp_messenger_man_pl|Boodschappers
trp_messenger_elf|Boodschapper
trp_messenger_elf_pl|Boodschappers
trp_messenger_dwarf|Boodschapper
trp_messenger_dwarf_pl|Boodschappers
trp_messenger_orc|Boodschapper
trp_messenger_orc_pl|Boodschappers
trp_messenger_evil_man|Boodschapper
trp_messenger_evil_man_pl|Boodschappers
trp_town_walker_1|stedeling
trp_town_walker_1_pl|Burger
trp_town_walker_2|Stadsvrouw
trp_town_walker_2_pl|Stadsvrouwen
; trp_village_walker_1|Villager
; trp_village_walker_1_pl|Villagers
; trp_village_walker_2|Villager
; trp_village_walker_2_pl|Villagers
trp_spy_walker_1|stedeling
trp_spy_walker_1_pl|Burger
trp_spy_walker_2|Stadsvrouw
trp_spy_walker_2_pl|Stadsvrouwen
trp_walker_man_gondor_black|stedeling
trp_walker_man_gondor_white|stedeling
trp_walker_man_gondor_blue|stedeling
trp_walker_man_gondor_green|stedeling
; trp_walker_man_rohan_t|Rohan Townsman
; trp_walker_man_rohan_d|Rohan Townsman
; trp_walker_woman_rohan_t|Rohan Maiden
; trp_walker_woman_rohan_d|Rohan Maiden
; trp_walker_woman_gondor_b|Gondor Woman
; trp_walker_woman_gondor_bw|Gondor Woman
; trp_walker_woman_gondor_w|Gondor Noble
; trp_ramun_the_slave_trader|Ramun the slave trader
; trp_guide|Quick Jimmy
; trp_galeas|Galeas
trp_farmer_from_bandit_village|Boer
trp_farmer_from_bandit_village_pl|Boeren
trp_trainer_1|Trainer
trp_trainer_2|Trainer
trp_trainer_3|Trainer
trp_trainer_4|Trainer
trp_trainer_gondor|Trainer
trp_trainer_rohan|Trainer
trp_trainer_dale|Trainer
trp_trainer_elf|Trainer
trp_trainer_beorn|Trainer
trp_trainer_dwarf|Trainer
trp_trainer_mordor|Trainer
trp_trainer_isengard|Trainer
trp_trainer_khand|Trainer
trp_trainer_rhun|Trainer
trp_trainer_harad|Trainer
trp_trainer_umbar|Trainer
; trp_ransom_broker_1|Ransom Broker
; trp_ransom_broker_2|Ransom Broker
; trp_ransom_broker_3|Ransom Broker
; trp_ransom_broker_4|Ransom Broker
; trp_ransom_broker_5|Ransom Broker
; trp_ransom_broker_6|Ransom Broker
; trp_ransom_broker_7|Ransom Broker
; trp_ransom_broker_8|Ransom Broker
; trp_ransom_broker_9|Ransom Broker
; trp_ransom_broker_10|Ransom Broker
trp_tavern_traveler_1|Reiziger
trp_tavern_traveler_2|Reiziger
trp_tavern_traveler_3|Reiziger
trp_tavern_traveler_4|Reiziger
trp_tavern_traveler_5|Reiziger
trp_tavern_traveler_6|Reiziger
trp_tavern_traveler_7|Reiziger
trp_tavern_traveler_8|Reiziger
trp_tavern_traveler_9|Reiziger
trp_tavern_traveler_10|Reiziger
; trp_tavern_minstrel_1|Minstrel
; trp_npc1|Mablung
; trp_npc2|Cirdil
; trp_npc3|Ulfas
; trp_npc4|Galmyne
; trp_npc5|Glorfindel
; trp_npc6|Luevanna
; trp_npc7|Kili Goldfinger
; trp_npc8|Faniul
; trp_npc9|Gulm
; trp_npc10|Durgash
; trp_npc11|Ufthak
; trp_npc12|Gorbag
; trp_npc13|Lykyada
; trp_npc14|Fuldimir
; trp_npc15|Bolzog
; trp_npc16|Varfang
; trp_npc17|Dimborn
; trp_gondor_lord|Steward Denethor
; trp_gondor_lord_pl|Steward
; trp_rohan_lord|King Theoden
trp_rohan_lord_pl|Koning
; trp_isengard_lord|Saruman
trp_isengard_lord_pl|Meester
; trp_mordor_lord|Mouth of Sauron
; trp_mordor_lord_pl|Satrap
; trp_harad_lord|Chief Ul-Ulcari
; trp_harad_lord_pl|Chief
; trp_rhun_lord|Jarl Helcaroth
; trp_rhun_lord_pl|Jarl
; trp_khand_lord|Shibh Krukmahur
; trp_khand_lord_pl|Shibh
; trp_umbar_lord|Admiral Tulmir
trp_umbar_lord_pl|Admiraal
; trp_lorien_lord|Lady Galadriel
; trp_lorien_lord_pl|Lady
; trp_imladris_lord|Lord Elrond
; trp_imladris_lord_pl|Lord
; trp_woodelf_lord|King Thranduil
trp_woodelf_lord_pl|Koning
; trp_moria_lord|Master Bolg the Lesser
trp_moria_lord_pl|Meester
; trp_guldur_lord|Master Fuinur
trp_guldur_lord_pl|Meester
; trp_gundabad_lord|Master Burza Krual
trp_gundabad_lord_pl|Meester
; trp_dale_lord|King Brand
trp_dale_lord_pl|Koning
; trp_dwarf_lord|King Dain II Ironfoot
trp_dwarf_lord_pl|Koning
; trp_dunland_lord|Chief Daeglaf the Black
; trp_dunland_lord_pl|Chief
; trp_beorn_lord|Chief Grimbeorn the Old
; trp_beorn_lord_pl|Chief
; trp_lorien_marshall|Celeborn
; trp_pippin_notmet|halfling
; trp_merry_notmet|halfling
; trp_pippin|Pippin
; trp_merry|Merry
; trp_knight_1_1|Angbor the Fearless
; trp_knight_1_2|Húrin of the Keys
; trp_knight_1_3|Prince Imrahil
; trp_knight_1_4|Orthalion
; trp_knight_1_5|Duinhir
; trp_knight_1_6|Hirluin the Fair
; trp_knight_1_7|Faramir
; trp_knight_1_8|Forlong the Fat
; trp_knight_1_9|Grimbold
; trp_knight_1_10|Erkenbrand
; trp_knight_1_11|Elfhelm
; trp_knight_1_12|Hama
; trp_knight_1_13|Gamling
; trp_knight_1_14|Éomer
; trp_knight_1_15|Ugluk
; trp_knight_1_16|Mauhur
; trp_knight_1_17|Mog the Seven-fingered
; trp_knight_1_18|Hushnak Longshanks
; trp_knight_1_19|Gridash the Tree-biter
; trp_knight_1_20|Gronk the Man-eater
; trp_knight_2_1|Captain Mortakh
; trp_knight_2_2|Berúthiel
; trp_knight_2_3|Skang
; trp_knight_2_4|Pharakhâd The Bastard
; trp_knight_2_5|Grishnakh
; trp_knight_2_51|Gothmog
; trp_knight_2_51_pl|Lieutenant
; trp_knight_2_6|Chieftain Karna the Lion
; trp_knight_2_7|Chieftain Na’man
; trp_knight_2_8|Chieftain Haarith
; trp_knight_2_11|Kusulak
; trp_knight_2_12|Ulwarth the Balchoth
; trp_knight_2_13|Brodda
; trp_knight_2_16|Torask
; trp_knight_2_17|Lurmsakun
; trp_knight_3_1|Captain Morbir
; trp_knight_3_2|Captain Angamaitë
; trp_knight_3_3|Captain Sangahyando
; trp_knight_3_6|Haldir
; trp_knight_3_7|Orophin
; trp_knight_3_11|Elladan
; trp_knight_3_12|Elrohir
; trp_knight_3_13|Halbarad
; trp_knight_3_16|Miriel
; trp_knight_3_17|Gladvaethor
; trp_knight_4_1|Whip Snog
; trp_knight_4_2|Whip Snotgor
; trp_knight_4_6|General Tuskim
; trp_knight_4_7|General Mugslag
; trp_knight_4_11|Beranhelm
; trp_knight_4_12|Beranor Blackfur
; trp_knight_4_16|Whip Brolgukhsh
; trp_knight_4_17|Whip Grumrunt
; trp_knight_4_18|Whip Grimsob
; trp_knight_5_1|Lord Halward
; trp_knight_5_2|Lord Bard
; trp_knight_5_3|Lord Esgarain
; trp_knight_5_6|Fulgni Longbeard
; trp_knight_5_7|Thorin Stonehelm
