itm_horse_meat|Lóhús
itm_harad_lion_scale|Oroszlán őrségi páncélzat
itm_harad_dragon_helm|Kilokai sisak
itm_harad_cav_helm_a|Harondori lovassági sisak
itm_harad_cav_helm_b|Harondori lovassági sisak
itm_black_snake_helm|Marankai sisak
itm_harad_finhelm|Haradi nagy sisak
itm_harad_heavy_inf_helm|Haradi nagy sisak
itm_harad_wavy_helm|Haradi nagy sisak
itm_harad_eaglehelm|Sas őrségi sisak
itm_lion_helm|Oroszlán őrségi sisak
itm_harad_pantherhelm|Párduc őrségi sapka
itm_harad_khopesh|Haradi sarlókard
itm_black_snake_sword|Haradi nehéz falchion
itm_harad_heavy_sword|Haradi nehéz kard
itm_horandor_a|Haradi szablya
itm_skirmisher_sword|Haradi csatározó kard
itm_harad_sabre|Haradi szablya
itm_harad_mace|Messze-haradi buzogány
itm_far_harad_2h_mace|Messze-haradi kétkezes buzogány
itm_harad_dagger|Haradi kés
itm_harad_short_spear|Haradi rövid lándzsa
itm_harad_long_spear|Haradi lándzsa
itm_eagle_guard_spear|Harasjalai lándzsa
itm_harad_long_shield_a|Haradi Leopárd pajzs
itm_harad_long_shield_b|Haradi bronzpajzs
itm_harad_long_shield_c|Haradi napos pajzs
itm_harad_long_shield_d|Haradi kígyós pajzs
itm_harad_long_shield_e|Haradi kígyós pajzs
itm_harad_shield_a|Harondori pajzs
itm_harad_shield_b|Harondori tányérpajzs
itm_harad_shield_c|Harondori tányérpajzs
itm_harad_tribal_a|Messze-haradi pajzs
itm_harad_tribal_b|Messze-haradi pajzs
itm_harad_yellow_shield|Haradi pajzs
itm_desert_boots|Sivatagi csizmák
itm_harad_leather_greaves|Haradi lábszárvédő
itm_harad_scale_greaves|Haradi csizmák
itm_harad_lamellar_greaves|Haradi csizmák
itm_khand_helmet_a1|Khandi rostélyos sisak
itm_khand_helmet_a2|Khandi sisak
itm_khand_helmet_a3|Khandi láncfátyolos sisak
itm_khand_helmet_b1|Khandi díszes sisak
itm_khand_helmet_b2|Khandi maszkos sisak
itm_khand_helmet_b3|Khandi láncfátyolos sisak
itm_khand_helmet_b4|Khandi rostélyos sisak
itm_khand_helmet_c3|Khandi gyalogsági sisak
itm_khand_helmet_c4|Khandi gyalogsági sisak
itm_khand_helmet_d1|Khandi maszkos sisak
itm_khand_helmet_d2|Khandi rostélyos sisak
itm_khand_helmet_d3|Khandi maszkos sisak
itm_khand_helmet_e1|Khandi láncfátyolos sisak
itm_khand_helmet_e2|Khandi rostélyos sisak
itm_khand_helmet_e3|Khandi sisak
itm_khand_helmet_e4|Khandi láncfátyolos sisak
itm_khand_helmet_f1|Khandi láncfátyolos sisak
itm_khand_helmet_mask1|Khandi maszk
itm_khand_helmet_mask2|Khandi maszk
itm_khand_light|Khandi kilt
itm_khand_foot_lam_a|Khandi páncélzat
itm_khand_foot_lam_b|Khandi páncélzat
itm_khand_foot_lam_c|Khandi páncélzat
itm_khand_heavy_lam|Khandi nehéz lemezpáncél
itm_khand_light_lam|Khandi könnyű lemezpáncél
itm_khand_med_lam_b|Khandi középnehéz lemezpáncél
itm_khand_med_lam_c|Khandi középnehéz lemezpáncél
itm_khand_med_lam_d|Khandi középnehéz lemezpáncél
itm_khand_noble_lam|Khandi nemes páncélzat
itm_variag_greaves|Variag lábszárvédő
itm_khand_axe_great|Khandi nagy balta
itm_khand_axe_winged|Khandi szárnyas balta
itm_khand_halberd|Khandi alabárd
itm_khand_trident|Khandi háromágú szigony
itm_khand_voulge|Khandi vágólándzsa
itm_khand_mace1|Khandi buzogány
itm_khand_mace2|Khandi buzogány
itm_khand_mace_spiked|Khandi szöges buzogány
itm_khand_rammace|Khandi kosfejű buzogány
itm_khand_pitsword|Gödörharcos kard
itm_khand_tulwar|Khandi szablya
itm_khand_2h_tulwar|Khandi szablya
itm_khand_lance|Khandi kopja
itm_easterling_round_horseman|Keletlakó kerek pajzs
itm_variag_gladiator_shield|Variag gladiátorpajzs
itm_easterling_hawk_shield|Keletlakó sólyompajzs
itm_rhun_bull1_shield|Rhûni pajzs
itm_rhun_bull2_shield|Rhûni pajzs
itm_rhun_bull3_shield|Rhûni pajzs
itm_furry_boots|Szőrmés csizmák
itm_rhun_armor_a|Rhûni könnyű csataviselet
itm_rhun_armor_b|Rhûni könnyű csataviselet
itm_rhun_armor_d|Rhûni könnyű csataviselet
itm_rhun_armor_g|Rhûn nehéz csataviselet
itm_rhun_armor_h|Rhûn nehéz csataviselet
itm_rhun_armor_j|Rhûni középnehéz csataviselet
itm_rhun_armor_m|Rhûni középnehéz csataviselet
itm_rhun_armor_n|Rhûni középnehéz csataviselet
itm_rhun_armor_o|Rhûni középnehéz csataviselet
itm_rhun_armor_p|Rhûni nemesi páncélzat
itm_rhun_armor_k|Rhûni nemesi páncélzat
itm_rhun_helm_a|Rhûni fogazott sisak
itm_rhun_helm_b|Rhûni fogazott rostélyos sisak
itm_rhun_helm_c|Rhûni hordasisak
itm_rhun_helm_e|Rhûni tülkös hordasisak
itm_rhun_helm_g|Rhûni tülkös üstsisak
itm_rhun_helm_h|Rhûni tülkös üstsisak
itm_rhun_helm_i|Rhûni tányérsisak
itm_rhun_helm_j|Rhûni maszkos tányérsisak
itm_rhun_helm_k|Rhûni bőrsisak
itm_rhun_helm_l|Rhûni bőrsisak
itm_rhun_helm_m|Rhûni bőrsisak
itm_rhun_helm_n|Rhûni törzsfőnöki sisak
itm_rhun_helm_o|Rhûni törzsfőnöki sisak
itm_rhun_greataxe|Rhûni nagy balta
itm_rhun_battleaxe|Rhûni csatabalta
itm_rhun_falchion|Rhûni falchion
itm_rhun_glaive|Rhûni tőrlándzsa
itm_rhun_greatfalchion|Rhûni nagy falchion
itm_rhun_greatsword|Rhûni nagy kard
itm_rhun_shortsword|Rhûni rövidkard
itm_rhun_sword|Rhûni kard
itm_rhun_shield|Rhûni levélpajzs
itm_dale_armor_a|Suhatagi zubbony
itm_dale_armor_b|Suhatagi köpenyes zubbony
itm_dale_armor_c|Suhatagi íjászzubbony
itm_dale_armor_d|Suhatagi íjászzubbony
itm_dale_armor_e|Suhatagi láncingre vett kabát
itm_dale_armor_f|Suhatagi láncingre vett kabát
itm_dale_armor_g|Suhatagi láncingre vett kabát
itm_dale_armor_h|Suhatagi köpenyes hosszú láncing
itm_dale_armor_i|Suhatagi köpenyes hosszú láncing
itm_dale_armor_j|Suhatagi köpenyes hosszú láncing
itm_dale_armor_k|Suhatagi nemesi páncélzat
itm_dale_armor_l|Suhatagi nemes torokvédő
itm_dale_helmet_a|Suhatagi könnyű gyalogági sisak
itm_dale_helmet_b|Suhatagi könnyű íjászsisak
itm_dale_helmet_c|Suhatagi gyalogsági sisak
itm_dale_helmet_d|Suhatagi íjászsisak
itm_dale_helmet_e|Suhatagi nehéz gyalogsági sisak
itm_dale_helmet_f|Suhatagi nehéz íjászsisak
itm_dale_sword|Suhatagi rövidkard
itm_dale_sword_long|Suhatagi hosszúkard
itm_dale_sword_broad|Suhatagi széleskard
itm_dale_pike|Suhatagi lándzsa 
itm_dale_billhook|Suhatagi kampóbárd
itm_dale_shield_a|Suhatagi pajzs
itm_dale_shield_b|Suhatagi pajzs
itm_dale_shield_c|Suhatagi pajzs
itm_dale_shield_d|Suhatagi pajzs
itm_umb_armor_a|Kalóz bőrpáncélzat
itm_umb_armor_a1|Kalóz nehéz bőrpáncélzat
itm_umb_armor_b|Kalóz rablópáncélzat
itm_umb_armor_c|Kalóz párnázott páncélzat
itm_umb_armor_d|Kalóz nehéz párnázott páncélzat
itm_umb_armor_e|Kalóz párnázott rablópáncélzat
itm_umb_armor_f|Kalóz láncvért
itm_umb_armor_g|Kalóz vállvédős láncvért
itm_umb_armor_h|Kalóz nehéz rablópáncélzat
itm_umb_helm_a|Kalóz ráksisak
itm_umb_helm_b|Kalóz ráksisak
itm_umb_helm_c|Kalóz nemzetőr sisak
itm_umb_helm_d|Kalóz nemzetőr sisak
itm_umb_helm_e|Kalóz rabló sisak
itm_umb_helm_f|Kalóz rabló sisak
itm_umb_hood|Umbari csuklya
itm_corsair_boots|Kalóz csizmák
itm_umb_shield_a|Kalóz tányérpajzs
itm_umb_shield_b|Kalóz tányérpajzs
itm_umb_shield_c|Kalóz tányérpajzs
itm_umb_shield_d|Kalóz tányérpajzs
itm_umb_shield_e|Kalóz tányérpajzs
itm_umbar_cutlass|Umbari tengerészkard
itm_kraken|Kraken tengerészkard
itm_umbar_rapier|Umbari kard
itm_corsair_harpoon|Kalóz szigony
itm_corsair_sword|Kalóz eket
itm_corsair_throwing_dagger|Umbarmódi dobótőrök
itm_umbar_pike|Umbari pika
itm_woodman_tunic|Erdőlakó tunika
itm_woodman_scout|Erdőlakó felderítő köpeny
itm_woodman_padded|Erdőlakó párnázott páncélzat
itm_beorn_tunic|Beornfi tunika
itm_beorn_padded|Beornfi párnázott páncélzat
itm_beorn_heavy|Beornfi nehéz páncélzat
itm_beorn_berserk|Beornfi Medveharcos felszerelés
itm_beorn_chief|Beornfi törzsfőnöki tunika
itm_beorn_helmet|Északi koponyasisak
itm_beorn_shield|Északi pajzs
itm_beorn_axe|Beornfi balta
itm_beorn_staff|Erdőlakó bot
itm_beorn_battle_axe|Beornfi csatabalta
itm_dwarf_shield_a|Törp pajzs
itm_dwarf_shield_b|Törp pajzs
itm_dwarf_shield_c|Törp pajzs
itm_dwarf_shield_d|Törp pajzs
itm_dwarf_shield_f|Törp pajzs
itm_dwarf_shield_g|Törp pajzs
itm_dwarf_shield_i|Törp pajzs
itm_dwarf_shield_j|Törp pajzs
itm_dwarf_shield_k|Törp pajzs
itm_dwarf_shield_l|Törp pajzs
itm_dwarf_sword_a|Törp kard
itm_dwarf_sword_b|Törp kard
itm_dwarf_sword_c|Törp kard
itm_dwarf_sword_d|Törp kard
itm_dwarf_adz|Törp munkabalta
itm_dwarf_great_axe|Törp nagy balta
itm_dwarf_great_mattock|Törp nagy baltacsákány
itm_dwarf_great_pick|Törp nagy csákány
itm_dwarf_war_pick|Törpe csatabalta
itm_dwarf_mattock|Törp baltacsákány
itm_dwarf_hand_axe|Törp rövid balta
itm_dwarf_throwing_axe|Törp dobófejsze
itm_dwarf_spear|Törp lándzsa
itm_dwarf_spear_b|Törp pika
itm_dwarf_spear_c|Törp pika
itm_dwarf_helm_a|Törp sapka
itm_dwarf_helm_b|Törp maszkos sapka
itm_dwarf_helm_c|Törp maszkos sisak
itm_dwarf_helm_h|Törp sisak
itm_dwarf_helm_i|Törp fríz-forma sisak
itm_dwarf_helm_j|Törp fríz-forma maszk
itm_dwarf_helm_l|Törp csuklya
itm_dwarf_helm_m|Törp vasarc
itm_dwarf_helm_o|Törp orrsisak
itm_dwarf_helm_p|Törp királysisak
itm_dwarf_helm_q|Törp bányászsisak
itm_dwarf_helm_r|Törp bányászsapka
itm_dwarf_helm_u|Törp körmaszk
itm_dwarf_helm_v|Törp láncos tarkósisak
itm_dwarf_helm_x|Törp maszkos tarkósisak
itm_dwarf_armor_a|Törpmódi páncélingre vett tunika
itm_leather_dwarf_armor|Törpmódi páncélingre vett párnázott mellény
itm_dwarf_vest|Törpmódi íjászpáncélzat
itm_dwarf_armor_b|Törpmódi tunikára vett párnázott mellény
itm_dwarf_armor_c|Törpmódi pikkelypáncélra vett láncing
itm_leather_dwarf_armor_b|Törpmódi tunika
itm_dwarf_vest_b|Vasdomboki tunika
itm_dwarf_pad_boots|Törpmódi párnázott csizmák
itm_dwarf_chain_boots|Törpmódi láncos lábvért
itm_dwarf_scale_boots|Törpmódi pikkelyes csizmák
itm_good_mace|Buzogány
itm_far_harad_shield_paint|Gonosz pajzs
itm_nazgulrobe|Nazgûl köpeny
itm_whiterobe|Fehér köpeny
itm_mordor_banner|Mordori lobogó
itm_isengard_banner|Vasudvardi lobogó
itm_woodelf_banner|Bakacsinerdei lobogó
itm_lorien_banner|Lothlórieni lobogó
itm_imladris_banner|Imladrisi lobogó
itm_gondor_lance_banner|Gondori lobogós kopja
itm_amroth_lance_banner|Dol Amrothi lobogós kopja
itm_rohan_lance_banner_sun|Rohani lobogós kopja
itm_rohan_lance_banner_horse|Rohani ló lobogós kopja
itm_ent_body|Ent test
itm_ent_head_helm|Ent fej
itm_ent_head_helm2|Ent fej
itm_ent_head_helm3|Ent fej
itm_ent_feet_boots|Ent lábfej
itm_ent_hands|Ent kezek
itm_galadriel|Galadriel egyberuha
itm_ent_water|Furcsa edényi víz
itm_map|Középfölde térképei
itm_athelas_reward|Athelas növény
itm_phial_reward|Galadriel fénye
itm_scroll_reward|Gondolin bukásán
itm_hammer_reward|Kovács kalapácsa
itm_khand_knife_reward|Khandi áldozókés
itm_angmar_whip_reward|Mester ostora
itm_horn_gondor_reward|Gondor kürtje
itm_harad_totem_reward|Haradi totem
itm_elven_amulet_reward|Tünde amulett
itm_torque_reward|Gonosz medál
itm_orc_brew|Ork főzet
itm_rohan_saddle|Thengel nyerge
itm_mearas_reward|Mearh paripa
itm_sword_of_arathorn|Arathorn kardja
itm_riv_armor_reward|Völgyzugolyi díszes páncélzat
itm_westernesse1h_reward|Nyugathon kardja
itm_westernesse2h_reward|A Nagy Kígyó kardja
itm_mirkwood_sword_reward|Zöldlombi relikvia kard
itm_nazgul_sword|Nazgûl kard
itm_cooking_cauldron|Főzőüst 
itm_eorl_cavalry_sword|Eorl kardja
itm_garlic_reward|Fokhagyma
itm_silmarillion_reward|Szilmarilok
itm_herbarium_reward|Középfölde növénygyűjteménye
itm_book_of_moria|Mazarbul könyve
itm_ring_a_reward|Tulcarisil
itm_ring_b_reward|Finwarisil
itm_dale_bow_reward|Bard íja
itm_explosive_reward|Vasudvardi bánya
itm_corsair_trident|A Tenger Haragjának háromágú szigonya
itm_crebain_reward|Vasudvardi crebain
itm_miruvor_reward|Palacknyi miruvor
itm_wheeled_cage|Óriási kerekes ketrec
itm_orc_throwing_axes_reward|Gundabadi Repülő Fejszék
itm_corsair_throwing_dagger_reward|Mérgezett dobótörők
itm_dwarf_shield_reward|Törpmódi mithrilpajzs
itm_dwarf_great_axe_reward|Törp éles balta
itm_isen_uruk_heavy_reward|Uruk-hai tábornoki páncélzat
itm_lorien_bow_reward|Ñoldori íj
itm_lorien_sword_reward|Galadhrim kard
itm_dale_sword_reward|Határőr kard
itm_dale_armor_reward|Esgarothi nemesi fejkötő
itm_leather_gloves_reward|Vadászkesztyűk
itm_beorn_shield_reward|Beornfi pajzs
itm_beorn_axe_reward|Medve balta
itm_moria_arrow_reward|Móriai mérgezett nyílvesszők
itm_khamul_helm|Khamûl sisakja
itm_gandstaff|Mágus botja
itm_sarustaff|Mágus botja
itm_rohan_armor_th|Rohani nemesi páncélzat
itm_denethor_robe|Helytartó köpenye
itm_prisoner_coll_chain|Rabszolga láncai
itm_witchking_helmet|Gonosz sisak
itm_lorien_royal_armor|Lórieni királyi páncélzat
itm_feet_chains|Láb bilincsek
itm_feet_chains_dwarf|Láb bilincsek
itm_spider|Pók
itm_bear|Medve
itm_wolf|Farkas
itm_defiled_armor_gondor|Meggyalázott gondori parancsnoki köpönyeg
itm_defiled_armor_rohan|Meggyalázott rohani láncvért
itm_defiled_armor_dale|Meggyalázott suhatagi nemesi páncélzat
