menu_start_game_1|^^^^^^^^^^Miért küzdesz?
menu_legendary_place|^^^^A szóbeszédeket követve megtaláltad {s1} erdejét. Most már felfedezheted ezt a helyet és megnézheted magadnak, hogy a szóbeszédek igazak-e.
mno_explore|Fedezd fel a helyszínt.
menu_ring_hunter_lair|^^^^Követted a Gyűrű Vadászok nyomát a Bakacsinerdőn keresztül, és megérkeztél {s1}-hoz/höz. Látod ahogy készen állnak távozni egy ládával.
mno_attack_lair|Támadd meg őket azonnal
mno_leave_bandit_lair|Hagyd békén őket
menu_gondor_reinforcement_event|^^^^^Gondor őrtüzei kigyulladtak, Minas Tirith segítséget kér!^^A déli hűbérbirtokok urai északnak menetelnek hogy megvédjék a Fehér Várost az eljövendő sötétségtől.
mno_gondor_reinforcement_event_close|Bezár
menu_gondor_beacons|Felnézel {s1}re, Gondor egyik őrtűzére, amit arra szoktak használni hogy riadóztassák Gondor északi és déli részeit.
mno_gondor_beacons_close|Távozás...
menu_player_added_to_war_council|^^^^^Egy hírnök érkezett és azt mondta, hogy mostantól, mint {s24}, {s2} megkért rá hogy legyél a Hadi Tanácsának a tagja. Mostantól ajánlhatsz stratégiákat amik befolyásolhatják a háború menetét.
mno_player_added_to_war_council_close|Bezár
menu_player_added_to_siege_reports|^^^^^Egy hírnök érkezett és azt mondta, hogy mostantól, mint {s24}, mostantól jelentéseket kapsz ha valaha {s2} megostromol egy központot vagy amikor {s2} központjait megostromolják.
mno_player_added_to_siege_reports_close|Bezár
menu_player_added_to_allow_follow|^^^^^Egy hírnök érkezett és azt mondta, hogy mostantól, mint {s24}, megparancsolhatod {s2}nak/nek hogy kövessen, összesen {reg55} követő áráért.
mno_player_added_to_allow_follow_close|Bezár
menu_center_besieged_event|^^^^^Egy hírnök érkezett azt jelentve hogy {s1} ostrom alá lett véve a {s3}ból/ből érkező {s2} által.
mno_center_besieged_event_close|Bezár
menu_guardian_party_spawned|^^^^^Felderítők jelentik hogy {s6} összemustrált egy hatalmas sereget {s7} környékén, egy utolsó elkeseredett próbálkozásként hogy megvédhesse a fővárost.
mno_intro_next|Folytatás...
mno_start_defend_caravan|Védd meg a Karavánt!
mno_start_raid_caravan|Foszd ki a Karavánt!
mno_start_ambush_orcs|Üss rajta az Orkokon!
mno_start_kill_scouts|Állítsd meg a felderítőket, hogy ne tudják jelenteni az érkezésed!
mno_go_your_way|Békén hagyod őket.
mno_defend_villagers|Védd meg a Falusiakat!
mno_raid_villagers|Foszd ki a Falut!
mno_go_away|Távozz, és rendezd újra a soraid.
menu_scout_camp_quest|Meglátod a közelben lévő felderítők táborát. Felkészíted az embereidet a támadásra.
mno_attack_scout_camp|Támadd meg a Felderítők Táborát!
menu_sea_battle_quest|Találkozol az ellenfél flottájával. A hajóik a közelbe érnek és a tengerészek ledobálják a palánkokat...
mno_sb_defend_the_town|Átszállni a hajóikra! Pusztítsuk el a flottájukat!
mno_sb_attack_the_town|Megpróbálnak feltartóztatni minket! Megvédeni a flottát!
menu_camp_field_ai|^^^^^Kattints egy lehetőségre a bekapcsolásához.^^^Egy vagy több lehetőség kikapcsolása növelni fogja a teljesítményt (FPS)
mno_lord_field_ai|A haduraknak jobb csatatéri MI lesz:  {s7}
mno_horse_archer_field_ai|A lovasíjászoknak jobb csatatéri MI lesz:  {s7}
mno_vs_orcs_field_ai|Az íjászok jobban fognak célozni orkok ellen (nem fognak a fejük felé célozni):  {s7}
mno_battlefield_animals|Nem-varg / Ló-állati társak fognak leteremtődni a csatatérre:  {s7}
mno_slow_when_wounded|Az ügynökök lelassulnak ha megsérülnek:  {s7}
mno_battle_encounter_effects|Különleges népalapú effektek jelennek meg a csatatéren (pl. viharok, ködök):  {s7}
menu_hungry_orc|semmi
menu_leaving_elf|semmi
mno_defend_refugees|Tartsd nyitva a szemed a fosztogatók ellen...
mno_attack_refugees|Támadd meg a menekült konvojt...
mno_leave_refugees|Hagyd békén őket egyelőre...
mno_evil_war_tut_continue|Folytatás...
menu_alternate_training_fight|Te {reg5} ellenféllel fogsz szembenézni. Készen állsz?
mno_training_continue|Edzés elkezdése...
menu_alternate_training_conclusion|{s5}
mno_alternate_training_retry|Próbáld újra...
mno_alternate_training_finish|Hagyd el az arénát...
menu_custom_battle_choose_faction1|^^^^^^^^^^Válaszd ki az oldalad és küzdj rajta:
mno_good_equal|Jók oldala
mno_bad_equal|Gonoszak oldala
mno_replay_prev|Előző összeállítás újrajátszása
menu_custom_battle_choose_faction2|^^^^^^^^^^A jó oldal választása
mno_cb_gondor|Gondor
mno_cb_gondor1|Rohan
mno_cb_gondor2|Lothlórien
mno_cb_gondor3|Völgyzugoly
mno_cb_gondor4|Bakacsinerdő
mno_cb_gondor5|Törpök
mno_cb_gondor6|Suhatag
mno_cb_gondor7|Beornfiak
menu_custom_battle_choose_faction3|^^^^^^^^^^A gonosz oldal választása
mno_cb_mordor|Mordor
mno_cb_mordor1|Vasudvard
mno_cb_mordor2|Dúnfölde
mno_cb_mordor3|Haradrim
mno_cb_mordor4|Keletlakók
mno_cb_mordor5|Mória
mno_cb_mordor6|Gundabad
mno_cb_mordor7|Rhûn
mno_cb_mordor8|Kalózok
mno_rescue_mission|Osonj be a mágus fészkébe az éjszaka leple alatt.
mno_next_rescue_scene_door|Haladj tovább!
mno_pick_troops1|Válassz társat a küldetésre, {reg0} kiválasztva
; menu_pick_troops|Whom would you take with you into the stealth mission?    ^Only your most nimble troops and companions will be able to join you.    ^As the party member with the highest wildcraft skill, {reg65?{s1} advises:you decide} that you can take up to {reg11} troops with you.    ^^Currently you have picked {reg0} companions.
mno_go_forward|Társak kiválasztásának befejezése, és folytatás.
menu_burial_mound|Megközelíted {s2}i {s1} sírbuckáját. Csatában győzte le {s28} seregei.  Halmokban állnak rajta a legyőzött ellenfelei fogazott fegyverei.
mno_pay_respects|Térdelj le és tedd tiszteleted.
mno_swear_oath|Esküdj bosszút!
mno_despoil|Gyalázd meg a sírhelyet
mno_leave_mound|Hagyd el a sírdombot.
menu_burial_mound_respects|Letérdelsz és tiszteletedet teszed {s1} bajtársadnak, némán formálva az ima szavait amivel gyors utazást kívánsz neki a túlvilágra. Nincs más dolog amit itt tehetnél.
menu_burial_mound_oath|Hangosan bosszút esküszöl {s4} halála miatt.  Fáradhatatlanul fogod keresni {s3} hadait és elpusztítani őket.  Szavaidat messzire viszi a szél, és ki a megmondhatója annak, hogy nem hallották őket még a tengerentúlon is?
menu_funeral_pyre_oath|Hangosan bosszút esküszöl {s4} halála miatt.  Fáradhatatlanul fogod keresni {s3} hadait és elpusztítani őket.  Szavaidat messzire viszi a szél, és ki a megmondhatója annak, hogy nem hallották őket még a tengerentúlon is?
mno_leave_pyre_oath|Hagyd ott a halotti máglyát.
menu_burial_mound_despoil|Ledöntöd {s1} emlékművét a saját kezeiddel és bemocskolod magukat a köveket is az átkaiddal, sátáni kántálásaiddal és elmondhatatlan tetteiddel.  A követőid hátrébb húzódnak a holtaktól való félelmükben, de úgy látszik megújult tisztelettettel tekintenek rád látva a gonoszságodat.
menu_funeral_pyre|Megközelíted az elégetett maradványait a {s2}i {s3} halotti máglyájának. Csatában győzték le {s28} hadai.  Itt, a holteste szertartásos keretek közt lett elásva a személyes testőrei által. Semmi értékes nem maradt itt.
mno_leave_pyre|Hagyd ott a halotti máglyát.
menu_town_ruins|Amikor megközelíted, látod hogy {s1} már {s2}
mno_ruin_menu_0|Fedezd fel a helyszínt.
mno_ruin_leave|Távozás...
menu_premutiny|semmi
menu_death|Megöltek. Bár a háború továbbfolyik, te nem leszel többé részese.
menu_animal_ambush|Te és a társaid elszakadva találjátok magatokat a csapatotok többi tagjától, amikor hirtelen...
menu_animal_ambush_success|A {s2} {reg0?elhull:elhullanak} előtted mint búza a kasza előtt! Hamarosan az összes támadód a földön fetreng, sebesülten vagy holtan. {s3}
menu_animal_ambush_fail|Az állatok megharapnak és megtépnek{reg0?,: és a társadat{reg2?s,:,}} de szerencsére sikerül őket elkergetned. Remélhetőleg nem fognak újra rád támadni.
; menu_isengard_flooding|^^^^^@You are surrounded by dead foes and triumphant allies, including the Ents; they roar, and boom, and trumpet, until stones crack and fall all around the Tower of Orthanc. They are like a howling gale, breaking pillars, hurling avalanches of boulders down the shafts, tossing up huge slabs of stone into the air like leaves... It is like nothing you have ever seen.^^ Bregalad -- or Quickbeam, as you know him -- comes striding by, and pauses only to say, '{playername}! Ware! Keep away from the Tower -- we shall soon break the dam and bring the Isen into this valley, for a little while. You will find it very hard to stay standing here, I think!' Quickly, you take his advice and hasten away from Orthanc.^^ At about midnight, Isengard begins to fill up with black creeping streams and pools. You cannot help but shiver as you see smoke and steam rising in great pillars, and a great coil of vapour rising and snaking around the Tower, until it resembles a tall peak of cloud, fiery underneath and moonlit above. The wrath of the Ents is slow, but possesses an irresistible force...
; mno_isengard_continue|Continue
menu_build_your_scene|Itt tudod elkészíteni a saját csatajeleneteidet, az egyik alul biztosított férőhelyen és a játék Szerkesztő módjában  (először BE kell kapcsolnod a szerkesztő módot a M&B nyitólapján található Beállításokban).  Aztán beküldheted a jeleneteidet (név szerint, a .sco fájlt a TLD/SceneObj mappából) a TLD fejlesztő csapatának, és ha a jelenetedet jó, akkor egy későbbi kiadásban megjelenhet mint az egyik véletlenszerűen kiválasztott csatatér!^^ Próbáld meg pontosítani hogy a térkép melyik területén szeretnéd a jelenetedet megjeleníttetni.^ Néhány tanács: kerüld a mély vizet, a meredek hegyeket és már átjárhatatlan területeket,  kivéve ha te egy tapasztalt jelenet-készítő vagy és tudod hogy oldd meg, hogy az MI ne menjen olyan helyre, amelyre te nem akarod őket, és hogy ne akadjanak be.u.^ (Bejegyzések; #0-1 a támadóknak, #4 a védekezőknek, ne nyúlj a #5-8-hoz/höz
mno_scene1|Mező Nagy (file scn custom 1.sco)
mno_scene2|Mező Közepes (file scn custom 2.sco)
mno_scene3|Mező Kicsi (file scn custom 3.sco)
mno_scene4|Sztyeppe Nagy (file scn custom 4.sco)
mno_scene5|Sztyeppe Közepes (file scn custom 5.sco)
mno_scene6|Sztyeppe Kicsi (file scn custom 6.sco)
mno_scene7|Erdő Nagy (file scn custom 7.sco)
mno_scene8|Erdő Közepes (file scn custom 8.sco)
mno_scene9|Erdő Kicsi (file scn custom 9.sco)
mno_back_3dot|Vissza...
mno_back|Vissza.
mno_next|Következő...
