trp_unarmed_troop|Fegyvertelen katona
trp_c2_harondor_scout|Harondori felderítő
trp_c2_harondor_scout_pl|Harondori felderítők
trp_c3_harondor_rider|Harondori lovas
trp_c3_harondor_rider_pl|Harondori lovasság
trp_c4_harondor_light_cavalry|Harandori Könnyűlovasok
trp_c4_harondor_light_cavalry_pl|Harondori Könnyűlovasság
trp_c5_harondor_serpent_knight|Arany Kígyó lovag
trp_c5_harondor_serpent_knight_pl|Arany Kígyó lovagok
trp_ac3_harondor_skirmisher|Harondori portyázó
trp_ac3_harondor_skirmisher_pl|Harondori portyázók
trp_ac4_harondor_horse_archer|Harondori lovasíjász
trp_ac4_harondor_horse_archer_pl|Harondori lovasíjászok
trp_ac5_harondor_black_snake|Fekete Sikló lovasíjász
trp_ac5_harondor_black_snake_pl|Fekete Sikló lovasíjászok
trp_i2_far_harad_tribesman|Messze-haradi törzstag
trp_i2_far_harad_tribesman_pl|Messze-haradi törzstagok
trp_i4_far_harad_champion|Messze-haradi bajnok
trp_i4_far_harad_champion_pl|Messze-haradi bajnokok
trp_i5_far_harad_panther_guard|Párduc őr
trp_i5_far_harad_panther_guard_pl|Párduc őrség
trp_i1_dun_wildman|Dún vadember
trp_i1_dun_wildman_pl|Dún vademberek
trp_i2_dun_warrior|Dún harcos
trp_i2_dun_warrior_pl|Dún harcosok
trp_i3_dun_pikeman|Dún pikás
trp_i3_dun_pikeman_pl|Dún pikások
trp_i4_dun_vet_pikeman|Dún veterán pikás
trp_i4_dun_vet_pikeman_pl|Dún veterán pikások
trp_ac4_dun_crebain_rider|Dún Crebain lovas
trp_ac4_dun_crebain_rider_pl|Dún Crebain lovasság
trp_i3_dun_vet_warrior|Dún veterán harcos
trp_i3_dun_vet_warrior_pl|Dún veterán harcosok
trp_i4_dun_wolf_warrior|Dún Farkasharcos
trp_i4_dun_wolf_warrior_pl|Dún Farkasharcosok
trp_i5_dun_wolf_guard|Dún Farkasőr
trp_i5_dun_wolf_guard_pl|Dún Farkasőrség
trp_ac5_dun_raven_rider|Dún Éjholló Harcos
trp_ac5_dun_raven_rider_pl|Dún Éjholló Harcosok
trp_i1_khand_bondsman|Khand Jobbágy
trp_i1_khand_bondsman_pl|Khand Jobbágyak
trp_i2_khand_pit_dog|Khand Gödörkutya
trp_i2_khand_pit_dog_pl|Khand Gödörkutyák
trp_i3_khand_warrior|Khand Harcos
trp_i3_khand_warrior_pl|Khand Harcosok
trp_i4_khand_vet_warrior|Khand Veterán Harcos
trp_i4_khand_vet_warrior_pl|Khand Veterán Harcosok
trp_i5_khand_war_master|Variag Had Mester
trp_i5_khand_war_master_pl|Variag Hadmesterek
trp_c2_khand_pony_rider|Khand Pónis
trp_c2_khand_pony_rider_pl|Khand Pónisok
trp_c3_khand_horseman|Khand Lovas
trp_c3_khand_horseman_pl|Khand Lovasság
trp_c4_khand_heavy_horseman|Khand Nehézlovas
trp_c4_khand_heavy_horseman_pl|Khand Nehézlovasság
trp_c5_khand_kataphrakt|Variag Páncélos
trp_c5_khand_kataphrakt_pl|Variag Páncélosok
trp_c5_khand_lance_kataphrakt|Variag Kopjás
trp_c5_khand_lance_kataphrakt_pl|Variag Kopjások
trp_i4_khand_halberdier|Khand Kardános
trp_i4_khand_halberdier_pl|Khand Kardánosok
trp_i5_khand_halberd_master|Variag Mester Alabárdos
trp_i5_khand_halberd_master_pl|Variag Mester Alabárdosok
trp_i3_khand_pitfighter|Khand Gödör Harcos
trp_i3_khand_pitfighter_pl|Khand Gödör Harcosok
trp_i4_khand_pit_champion|Khand Gödörbajnok
trp_i4_khand_pit_champion_pl|Khand Gödörbajnokok
trp_i5_khand_pit_master|Variag Gödör Mestere
trp_i5_khand_pit_master_pl|Variag Gödör Mesterei
trp_ac3_khand_skirmisher|Khand portyázó
trp_ac3_khand_skirmisher_pl|Khand portyázók
trp_ac4_khand_vet_skirmisher|Khand Veterán portyázó
trp_ac4_khand_vet_skirmisher_pl|Khand veterán portyázók
trp_ac5_khand_heavy_skirmisher|Variag nehéz portyázó
trp_ac5_khand_heavy_skirmisher_pl|Variag nehéz portyázó
trp_i1_corsair_youth|Umbari tengerész
trp_i1_corsair_youth_pl|Umbari tengerészek
trp_i2_corsair_warrior|Umbari harcos
trp_i2_corsair_warrior_pl|Umbari harcosok
trp_i3_corsair_spearman|Umbari lándzsás
trp_i3_corsair_spearman_pl|Umbari lándzsások
trp_i4_corsair_raider|Kalóz rabló
trp_i4_corsair_raider_pl|Kalóz rablók
trp_i5_corsair_night_raider|Kalóz éjjeli rabló
trp_i5_corsair_night_raider_pl|Kalóz éjjeli rablók
trp_a2_corsair_marine|Umbari tengerész
trp_a2_corsair_marine_pl|Umbari tengerészek
trp_a3_corsair_marksman|Umbari lövész
trp_a3_corsair_marksman_pl|Umbari lövészek
trp_a4_corsair_veteran_marksman|Umbari veterán lövész
trp_a4_corsair_veteran_marksman_pl|Umbari veterán lövészek
trp_a5_corsair_master_marksman|Kalóz mesterlövész
trp_a5_corsair_master_marksman_pl|Kalóz mesterlövészek
trp_i3_corsair_swordsman|Umbari kardforgató
trp_i3_corsair_swordsman_pl|Umbari kardforgatók
trp_i4_corsair_veteran_swordsman|Umbari veterán kardforgató
trp_i4_corsair_veteran_swordsman_pl|Umbari veterán kardforgatók
trp_i5_corsair_master_swordsman|Kalóz kardforgató
trp_i5_corsair_master_swordsman_pl|Kalóz kardforgatók
trp_a4_corsair_assassin|Kalóz orgyilkos
trp_a4_corsair_assassin_pl|Kalóz orgyilkosok
trp_a5_corsair_master_assassin|Kalóz orgyilkos
trp_a5_corsair_master_assassin_pl|Kalóz orgyilkosok
trp_i4_corsair_veteran_spearman|Umbari veterán lándzsás
trp_i4_corsair_veteran_spearman_pl|Umbari veterán lándzsások
trp_i5_corsair_master_spearman|Umbari lándzsamester
trp_i5_corsair_master_spearman_pl|Umbari lándzsamesterek
trp_i5_corsair_master_pikeman|Umbari pikamester
trp_i5_corsair_master_pikeman_pl|Umbari pikamesterek
trp_i1_isen_orc_snaga|Vasudvardi ork snaga
trp_i1_isen_orc_snaga_pl|Vasudvardi ork snagák
trp_i2_isen_orc|Vasudvardi ork
trp_i2_isen_orc_pl|Vasudvardi orkok
trp_i3_isen_large_orc|Vasudvardi hatalmas ork
trp_i3_isen_large_orc_pl|Vasudvardi hatalmas orkok
trp_i4_isen_fell_orc|Vasudvardi irdatlan ork
trp_i4_isen_fell_orc_pl|Vasudvardi irdatlan orkok
trp_i3_isen_large_orc_despoiler|Hatalmas ork zsákmányszerző
trp_i3_isen_large_orc_despoiler_pl|Hatalmas ork zsákmányszerzők
trp_i4_isen_fell_orc_despoiler|Irdatlan ork zsákmányszerző
trp_i4_isen_fell_orc_despoiler_pl|Irdatlan ork zsákmányszerzők
trp_ac2_isen_wolf_rider|Vasudvardi farkaslovas
trp_ac2_isen_wolf_rider_pl|Vasudvardi farkaslovasság
trp_ac3_isen_warg_rider|Vasudvardi varglovas
trp_ac3_isen_warg_rider_pl|Vasudvardi varglovasság
trp_ac4_isen_white_hand_rider|A Fehér Kéz lovasa
trp_ac4_isen_white_hand_rider_pl|A Fehéz Kéz lovassága
trp_warg_ghost_1b|Varg
trp_warg_ghost_1b_pl|Vargok
trp_warg_ghost_1c|Varg
trp_warg_ghost_1c_pl|Vargok
trp_warg_ghost_1d|Varg
trp_warg_ghost_1d_pl|Vargok
trp_warg_ghost_a1b|Varg
trp_warg_ghost_a1b_pl|Vargok
trp_warg_ghost_a1c|Páncélozott varg
trp_warg_ghost_a1c_pl|Páncélozott vargok
trp_warg_ghost_a2b|Páncélozott varg
trp_warg_ghost_a2b_pl|Páncélozott vargok
trp_warg_ghost_a2c|Páncélozott varg
trp_warg_ghost_a2c_pl|Páncélozott vargok
trp_warg_ghost_a3a|Páncélozott varg
trp_warg_ghost_a3a_pl|Páncélozott vargok
trp_warg_ghost_h|Böszme varg
trp_warg_ghost_h_pl|Böszme varg
trp_a2_isen_uruk_tracker|Uruk-hai nyomkövető
trp_a2_isen_uruk_tracker_pl|Uruk-hai nyomkövetők
trp_a3_isen_large_uruk_tracker|Hatalmas uruk-hai nyomkövető
trp_a3_isen_large_uruk_tracker_pl|Hatalmas uruk-hai nyomkövetők
trp_a4_isen_fighting_uruk_tracker|Harcias uruk-hai nyomkövető
trp_a4_isen_fighting_uruk_tracker_pl|Harcias uruk-hai nyomkövetők
trp_i6_isen_uruk_berserker|Harcias uruk-hai berzerker
trp_i6_isen_uruk_berserker_pl|Harcias uruk-hai berzerkerek
trp_i1_isen_uruk_snaga|Uruk-hai újszülött
trp_i1_isen_uruk_snaga_pl|Uruk-hai újszülöttek
trp_i2_isen_uruk|Vasudvardi uruk-hai
trp_i2_isen_uruk_pl|Vasudvardi uruk-hai
trp_i3_isen_large_uruk|Vasudvardi hatalmas uruk-hai
trp_i3_isen_large_uruk_pl|Vasudvardi hatalmas uruk-hai
trp_i4_isen_fighting_uruk_warrior|Harcias uruk-hai harcos
trp_i4_isen_fighting_uruk_warrior_pl|Harcias uruk-hai harcosok
trp_i5_isen_fighting_uruk_champion|Harcias uruk-hai bajnok
trp_i5_isen_fighting_uruk_champion_pl|Harcias uruk-hai bajnokok
trp_i3_isen_uruk_pikeman|Uruk-hai pikás
trp_i3_isen_uruk_pikeman_pl|Uruk-hai pikások
trp_i4_isen_fighting_uruk_pikeman|Harcias uruk-hai pikás
trp_i4_isen_fighting_uruk_pikeman_pl|Harcias uruk-hai pikások
trp_i5_isen_uruk_standard_bearer|Uruk-hai zászlóvivő
trp_i5_isen_uruk_standard_bearer_pl|Uruk-hai zászlóvivők
trp_i1_mordor_uruk_snaga|Mordori uruk snaga
trp_i1_mordor_uruk_snaga_pl|Mordori uruk snagák
trp_i2_mordor_uruk|Mordori uruk
trp_i2_mordor_uruk_pl|Mordori urukok
trp_i3_mordor_large_uruk|Mordori hatalmas uruk
trp_i3_mordor_large_uruk_pl|Mordori hatalmas urukok
trp_i4_mordor_fell_uruk|Mordori irdatlan uruk
trp_i4_mordor_fell_uruk_pl|Mordori irdatlan urukok
trp_i3_mordor_uruk_slayer|Mordori uruk öldöklő
trp_i3_mordor_uruk_slayer_pl|Mordori uruk öldöklők
trp_i4_mordor_fell_uruk_slayer|Mordori irdatlan uruk öldöklő
trp_i4_mordor_fell_uruk_slayer_pl|Mordori irdatlan uruk öldöklők
trp_i5_mordor_black_uruk|Barad-dûri fekete uruk
trp_i5_mordor_black_uruk_pl|Barad-dûri fekete urukok
trp_i5_mordor_uruk_standard_bearer|Mordori zászlóvivő
trp_i5_mordor_uruk_standard_bearer_pl|Mordori zászlóvivők
trp_troll_of_moria|Barlangi troll
trp_troll_of_moria_pl|Barlangi trollok
trp_armoured_troll|Páncélozott troll
trp_armoured_troll_pl|Páncélozott trollok
trp_olog_hai|Mordori olog-hai
trp_olog_hai_pl|Mordori olog-haiok
trp_ent_old|Ent
trp_ent_old_pl|Entek
trp_i1_guldur_orc_snaga|Dol Gulduri Ork Snaga
trp_i1_guldur_orc_snaga_pl|Dol Gulduri Ork Snagák
trp_a2_guldur_orc_tracker|Dol Gulduri Ork Nyomkövető
trp_a2_guldur_orc_tracker_pl|Dol Gulduri Ork Nyomkövetők
trp_i1_mordor_orc_snaga|Mordori ork snaga
trp_i1_mordor_orc_snaga_pl|Mordori ork snagák
trp_i2_mordor_orc|Mordori ork
trp_i2_mordor_orc_pl|Mordori orkok
trp_i3_mordor_large_orc|Mordori hatalmas ork
trp_i3_mordor_large_orc_pl|Mordori hatalmas orkok
trp_i4_mordor_fell_orc|Mordori irdatlan ork
trp_i4_mordor_fell_orc_pl|Mordori irdatlan orkok
trp_c3_mordor_warg_rider|Gorgorthi varglovas
trp_c3_mordor_warg_rider_pl|Gorgorothi varglovasság
trp_c4_mordor_great_warg_rider|Udûni irdatlan varglovas
trp_c4_mordor_great_warg_rider_pl|Udûni irdatlan varglovasság
trp_i2_mordor_morgul_orc|Minas Morgul Orkja
trp_i2_mordor_morgul_orc_pl|Minas Morgul Orkjai
trp_i4_mordor_fell_morgul_orc|Minas Morgul Irdatlan Orkja
trp_i4_mordor_fell_morgul_orc_pl|Minas Morgul Irdatlan Orkjai
trp_a3_guldur_large_orc_tracker|Dol Gulduri Hatalmas Ork Nyomkövető
trp_a3_guldur_large_orc_tracker_pl|Dol Gulduri Hatalmas Ork Nyomkövetők
trp_a4_guldur_fell_orc_tracker|Dol Gulduri Irdatlan Ork Nyomkövető
trp_a4_guldur_fell_orc_tracker_pl|Dol Gulduri Irdatlan Ork Nyomkövetők
trp_a2_mordor_orc_archer|Mordori ork íjász
trp_a2_mordor_orc_archer_pl|Mordori ork íjászok
trp_a3_mordor_large_orc_archer|Mordori hatalmas ork íjász
trp_a3_mordor_large_orc_archer_pl|Mordori hatalmas ork íjászok
trp_a4_mordor_fell_orc_archer|Mordori irdatlan ork íjász
trp_a4_mordor_fell_orc_archer_pl|Mordori irdatlan ork íjászok
trp_c3_moria_wolf_rider|Móriai farkaslovas
trp_c3_moria_wolf_rider_pl|Móriai farkaslovasság
trp_c4_moria_warg_rider|Móriai varglovas
trp_c4_moria_warg_rider_pl|Móriai varglovasság
trp_c5_moria_clan_rider|A Bolg klán lovasa
trp_c5_moria_clan_rider_pl|A Bolg klán lovassága
trp_i1_moria_snaga|Móriai snaga
trp_i1_moria_snaga_pl|Móriai snagák
trp_i2_moria_goblin|Móriai kobold
trp_i2_moria_goblin_pl|Móriai koboldok
trp_i3_moria_large_goblin|Móriai hatalmas kobold
trp_i3_moria_large_goblin_pl|Móriai hatalmas koboldok
trp_i4_moria_fell_goblin|Móriai irdatlan kobold
trp_i4_moria_fell_goblin_pl|Móriai irdatlan koboldok
trp_a2_moria_goblin_archer|Móriai kobold íjász
trp_a2_moria_goblin_archer_pl|Móriai kobold íjászok
trp_a3_moria_large_goblin_archer|Móriai hatalmas kobold íjász
trp_a3_moria_large_goblin_archer_pl|Móriai hatalmas kobold íjászok
trp_a4_moria_fell_goblin_archer|Móriai irdatlan kobold íjász
trp_a4_moria_fell_goblin_archer_pl|Móriai irdatlan kobold íjászok
trp_i1_gunda_goblin|Gundabadi kobold
trp_i1_gunda_goblin_pl|Gundabadi koboldok
trp_i2_gunda_orc|Gundabadi ork
trp_i2_gunda_orc_pl|Gundabadi orkok
trp_i3_gunda_orc_fighter|Gundabadi ork harcos
trp_i3_gunda_orc_fighter_pl|Gundabadi ork harcosok
trp_i4_gunda_orc_warrior|Gundabadi ork harcos
trp_i4_gunda_orc_warrior_pl|Gundabadi ork harcosok
trp_i4_gunda_orc_berserker|Gundabadi ork berzerker
trp_i4_gunda_orc_berserker_pl|Gundabadi ork berzerkerek
trp_ca4_gunda_skirmisher|Gundabadi portyázó
trp_ca4_gunda_skirmisher_pl|Gundabadi portyázók
trp_ca5_gunda_clan_skirmisher|Észak klánbeli kobold portyázó
trp_ca5_gunda_clan_skirmisher_pl|Észak klánbeli kobold portyázók
trp_c3_gunda_goblin_rider|Gundabadi kobold lovas
trp_c3_gunda_goblin_rider_pl|Gundabadi kobold lovasság
trp_c4_gunda_warg_rider|Gundabadi varglovas
trp_c4_gunda_warg_rider_pl|Gundabadi varglovasság
trp_c5_gunda_clan_rider|Észak klánbeli kobold lovas
trp_c5_gunda_clan_rider_pl|Észak klánbeli kobold lovasság
trp_i5_gunda_orc_champion|Gundabadi Ork Bajnok
trp_i5_gunda_orc_champion_pl|Gundabadi Ork Bajnokok
trp_mountain_goblin2|Hegyi kobold
trp_mountain_goblin2_pl|Hegyi koboldok
trp_tribal_orc2|Törzsi ork
trp_tribal_orc2_pl|Törzsi orkok
trp_i5_gunda_orc_champion2|Gundabadi Ork Bajnok
trp_i5_gunda_orc_champion2_pl|Gundabadi Ork Bajnokok
trp_i2_mordor_num_renegade|Fekete númenori köpönyegforgató
trp_i2_mordor_num_renegade_pl|Fekete númenori köpönyegforgatók
trp_i3_mordor_num_warrior|Fekete númenori harcos
trp_i3_mordor_num_warrior_pl|Fekete númenori harcosok
trp_i4_mordor_num_vet_warrior|Fekete númenori veterán harcos
trp_i4_mordor_num_vet_warrior_pl|Fekete númenori veterán harcosok
trp_i5_mordor_num_champion|Fekete númenori bajnok
trp_i5_mordor_num_champion_pl|Fekete númenori bajnokok
trp_i5_mordor_num_assassin|Fekete númenori orgyilkos
trp_i5_mordor_num_assassin_pl|Fekete númenori orgyilkosok
trp_c4_mordor_num_horseman|Fekete númenori lovas
trp_c4_mordor_num_horseman_pl|Fekete númenori lovasság
trp_c5_mordor_num_knight|Fekete númenori lómester
trp_c5_mordor_num_knight_pl|Fekete númenori lómesterek
trp_noldorin_commander|Ñolda parancsnok
trp_noldorin_commander_pl|Ñolda parancsnokok
trp_elf_captain_of_lothlorien|Lothlórien tünde kapitánya
trp_elf_captain_of_lothlorien_pl|Lothlórien tünde kapitányai
trp_lothlorien_lieutenant|Lothlórieni hadnagy
trp_lothlorien_lieutenant_pl|Lothlórieni hadnagyok
trp_elf_captain_of_mirkwood|Zölderdő tünde kapitánya
trp_elf_captain_of_mirkwood_pl|Zölderdő tünde kapitányai
trp_mirkwood_lieutenant|Zölderdei hadnagy
trp_mirkwood_lieutenant_pl|Zölderdei hadnagyok
trp_elf_captain_of_rivendell|Völgyzugoly tünde kapitánya
trp_elf_captain_of_rivendell_pl|Völgyzugoly tünde kapitányai
trp_rivendell_lieutenant|Völgyzugolyi hadnagy
trp_rivendell_lieutenant_pl|Völgyzugolyi hadnagyok
trp_lieutenant_of_rohan|Rohan hadnagya
trp_lieutenant_of_rohan_pl|Rohan hadnagyai
trp_captain_of_rohan|Rohan kapitánya
trp_captain_of_rohan_pl|Rohan kapitányai
trp_high_captain_of_rohan|Rohan főkapitánya
trp_high_captain_of_rohan_pl|Rohan főkapitányai
trp_lieutenant_of_isengard|Vasudvard hadnagya
trp_lieutenant_of_isengard_pl|Vasudvard hadnagyai
trp_captain_of_isengard|Vasudvard kapitánya
trp_captain_of_isengard_pl|Vasudvard kapitányai
trp_high_captain_of_isengard|Vasudvard főkapitánya
trp_high_captain_of_isengard_pl|Vasudvard főkapitányai
trp_lieutenant_of_mordor|Mordor hadnagya
trp_lieutenant_of_mordor_pl|Mordor hadnagyai
trp_captain_of_mordor|Mordor kapitánya
trp_captain_of_mordor_pl|Mordor kapitányai
trp_high_captain_of_mordor|Mordor főkapitánya
trp_high_captain_of_mordor_pl|Mordor főkapitányai
trp_easterling_chieftain|Variag törzsfőnök
trp_easterling_chieftain_pl|Variag törzsfőnökök 
trp_easterling_lieutenant|Variag csatapap
trp_easterling_lieutenant_pl|Variag csatapapok
trp_harad_chieftain|Haradi törzsfőnök
trp_harad_chieftain_pl|Haradi törzsfőnökök
trp_harad_lieutenant|Haradi hadnagy
trp_harad_lieutenant_pl|Haradi hadnagyok
trp_black_numenorean_captain|Fekete númenori kapitány
trp_black_numenorean_captain_pl|Fekete númenori kapitányok
trp_black_numenorean_lieutenant|Fekete númenori hadnagy
trp_black_numenorean_lieutenant_pl|Fekete númenori hadnagyok
trp_a5_dun_night_wolf|Dún éjfarkas
trp_a5_dun_night_wolf_pl|Dún éjfarkasok
trp_dunnish_lieutenant|Dún hetman
trp_dunnish_lieutenant_pl|Dún hetmanok
trp_goblin_chieftain|Kobold törzsfőnök
trp_goblin_chieftain_pl|Kobold törzsfőnökök
trp_captain_of_gondor|Gondor kapitánya
trp_captain_of_gondor_pl|Gondor kapitányai
trp_nobleman|Nemes
trp_nobleman_pl|Nemesek
trp_gondor_agent|Gondori ügynök
trp_gondor_agent_pl|Gondori ügynökök
trp_rohan_agent|Rohani ügynök
trp_rohan_agent_pl|Rohani ügynökök
trp_mordor_agent|Mordori ügynök
trp_mordor_agent_pl|Mordori ügynökök
trp_isengard_agent|Vasudardi ügynök
trp_isengard_agent_pl|Vasudvardi ügynökök
trp_looter|Fosztogató
trp_looter_pl|Fosztogatók
trp_bandit|Bandita
trp_bandit_pl|Banditák
trp_brigand|Briganti
trp_brigand_pl|Brigantik
trp_mountain_bandit|Hegyi bandita
trp_mountain_bandit_pl|Hegyi banditák
trp_forest_bandit|Erdei bandita
trp_forest_bandit_pl|Erdei banditák
trp_sea_raider|Tengeri rabló
trp_sea_raider_pl|Tengeri rablók
trp_steppe_bandit|Sztyeppei bandita
trp_steppe_bandit_pl|Sztyeppei banditák
trp_manhunter|Embervadász
trp_manhunter_pl|Embervadászok
trp_kidnapped_girl|Elrabolt leány
trp_kidnapped_girl_pl|Elrabolt leányok
trp_refugee|Menekült
trp_refugee_pl|Menekültek
trp_peasant_woman|Zsellér nő
trp_peasant_woman_pl|Zsellér nők
trp_caravan_master|Karaván mester
trp_caravan_master_pl|Karaván mesterek
trp_caravan_guard|Karaván őrök
trp_caravan_guard_pl|Karaván őrség
trp_messenger_man|Hírnök
trp_messenger_man_pl|Hírnökök
trp_messenger_elf|Hírnök
trp_messenger_elf_pl|Hírnökök
trp_messenger_dwarf|Hírnök
trp_messenger_dwarf_pl|Hírnökök
trp_messenger_orc|Hírnök
trp_messenger_orc_pl|Hírnökök
trp_messenger_evil_man|Hírnök
trp_messenger_evil_man_pl|Hírnökök
trp_town_walker_1|Városi
trp_town_walker_1_pl|Városiak
trp_town_walker_2|Városi asszony
trp_town_walker_2_pl|Városi asszonyok
trp_village_walker_1|Falusi
trp_village_walker_1_pl|Falusiak
trp_village_walker_2|Falusi
trp_village_walker_2_pl|Falusiak
trp_spy_walker_1|Városi
trp_spy_walker_1_pl|Városiak
trp_spy_walker_2|Városi asszony
trp_spy_walker_2_pl|Városi asszonyok
trp_walker_man_gondor_black|Városi
trp_walker_man_gondor_white|Városi
trp_walker_man_gondor_blue|Városi
trp_walker_man_gondor_green|Városi
trp_walker_man_rohan_t|Rohani városi
trp_walker_man_rohan_d|Rohani városi
trp_walker_woman_rohan_t|Rohani hajadon
trp_walker_woman_rohan_d|Rohani hajadon
trp_walker_woman_gondor_b|Gondori asszony
trp_walker_woman_gondor_bw|Gondori asszony
trp_walker_woman_gondor_w|Gondori nemes
; trp_mirkwood_walker_1|Greenwood Elf
; trp_mirkwood_walker_2|Greenwood Elf
; trp_lorien_walker_1|Lothlorien Elf
; trp_lorien_walker_2|Lothlorien Elf
trp_dwarf_walker|Törp
; trp_beorn_walker|Peasant Man
trp_beorn_walker_fem|Zsellér nő
trp_trainer_4|Kiképző
trp_trainer_gondor|Kiképző
trp_trainer_rohan|Kiképző
trp_trainer_dale|Kiképző
trp_trainer_elf|Kiképző
trp_trainer_beorn|Kiképző
trp_trainer_dwarf|Kiképző
trp_trainer_mordor|Kiképző
trp_trainer_isengard|Kiképző
trp_trainer_khand|Kiképző
trp_trainer_rhun|Kiképző
trp_trainer_harad|Kiképző
trp_trainer_umbar|Kiképző
trp_ransom_broker_1|Váltságdíj alkusz
trp_ransom_broker_2|Váltságdíj alkusz
trp_ransom_broker_3|Váltságdíj alkusz
trp_ransom_broker_4|Váltságdíj alkusz
trp_ransom_broker_5|Váltságdíj alkusz
trp_ransom_broker_6|Váltságdíj alkusz
trp_ransom_broker_7|Váltságdíj alkusz
trp_ransom_broker_8|Váltságdíj alkusz
trp_ransom_broker_9|Váltságdíj alkusz
trp_ransom_broker_10|Váltságdíj alkusz
trp_tavern_traveler_1|Utazó
trp_tavern_traveler_2|Utazó
trp_tavern_traveler_3|Utazó
trp_tavern_traveler_4|Utazó
trp_tavern_traveler_5|Utazó
trp_tavern_traveler_6|Utazó
trp_tavern_traveler_7|Utazó
trp_tavern_traveler_8|Utazó
trp_tavern_traveler_9|Utazó
trp_tavern_traveler_10|Utazó
trp_tavern_minstrel_1|Vándorénekes
trp_npc1|Mablung
trp_npc2|Cirdil
trp_npc3|Ulfas
trp_npc4|Galmyne
trp_npc5|Glorfindel
trp_npc6|Luevanna
trp_npc7|Aranyujjú Kili
trp_npc8|Faniul
trp_npc9|Gulm
trp_npc10|Durgash
trp_npc11|Ufthak
trp_npc12|Gorbag
trp_npc13|Lykyada
trp_npc14|Fuldimir
trp_npc15|Bolzog
trp_npc16|Varfang
trp_npc17|Dimborn
trp_knight_6_2|Golasgil
trp_gondor_lord|Denethor helytartó
trp_gondor_lord_pl|helytartó
trp_rohan_lord|Théoden király
trp_rohan_lord_pl|király
trp_isengard_lord|Szarumán
trp_isengard_lord_pl|mester
trp_mordor_lord|Szaurun Szája
trp_mordor_lord_pl|zsarnok
trp_harad_lord|Ul-Ulcari törzsfő
trp_harad_lord_pl|törzsfő
trp_rhun_lord|Helcaroth jarl
trp_rhun_lord_pl|jarl
trp_khand_lord|Krukmahur shibh
trp_khand_lord_pl|shibh
trp_umbar_lord|Tulmir admirális
trp_umbar_lord_pl|admirális
trp_lorien_lord|Galadriel úrhölgy
trp_lorien_lord_pl|úrhölgy
trp_imladris_lord|Elrond úr
trp_imladris_lord_pl|úr
trp_woodelf_lord|Thranduil király
trp_woodelf_lord_pl|király
trp_moria_lord|Kisebb Bolg mester
trp_moria_lord_pl|mester
trp_guldur_lord|Fuinur mester
trp_guldur_lord_pl|mester
trp_gundabad_lord|Burza Krual mester
trp_gundabad_lord_pl|mester
trp_dale_lord|Brand király
trp_dale_lord_pl|király
trp_dwarf_lord|II. Vaslábú Dáin király
trp_dwarf_lord_pl|király
trp_dunland_lord|Fekete Daeglaf törzsfő
trp_dunland_lord_pl|törzsfő
trp_beorn_lord|Vén Grimbeorn törzsfő
trp_beorn_lord_pl|törzsfő
trp_lorien_marshall|Celeborn
trp_knight_1_1|Rettenthetetlen Angbor
trp_knight_1_2|Húrin a Kulcsok Őrizője
trp_knight_1_3|Imrahil herceg
trp_knight_1_4|Orthalion
trp_knight_1_5|Duinhir
trp_knight_1_6|Szép Hirluin
trp_knight_1_7|Faramir
trp_knight_1_8|Hájas Forlong
trp_knight_1_9|Grimbold
trp_knight_1_10|Erkenbrand
trp_knight_1_11|Elfhelm
trp_knight_1_12|Háma
trp_knight_1_13|Gamling
trp_knight_1_14|Éomer
trp_knight_1_15|Uglúk
trp_knight_1_16|Mauhúr
trp_knight_1_17|Hétujjú Móg
trp_knight_1_18|Hosszúlábú Hushnak
trp_knight_1_19|Fátrágó Gridash
trp_knight_1_20|Emberevő Gronk
trp_knight_2_1|Mortakh kapitány
trp_knight_2_2|Berúthiel
trp_knight_2_3|Skang
trp_knight_2_4|Fattyú Pharakhâd
trp_knight_2_5|Grishnákh
trp_knight_2_51|Gothmog
trp_knight_2_51_pl|hadnagy
trp_knight_2_6|Oroszlán Karna törzsfő
trp_knight_2_7|Na'man törzsfő
trp_knight_2_8|Haarith törzsfő
trp_knight_2_11|Kusulak
trp_knight_2_12|Balchoth Ulwarth
trp_knight_2_13|Brodda
trp_knight_2_16|Torask
trp_knight_2_17|Lurmsakun
trp_knight_3_1|Morbir kapitány
trp_knight_3_2|Angamaitë kapitány
trp_knight_3_3|Sangahyando kapitány
trp_knight_3_6|Haldír
trp_knight_3_7|Orophin
trp_knight_3_11|Elladan
trp_knight_3_12|Elrohír
trp_knight_3_13|Halbarad
trp_knight_3_16|Míriel
trp_knight_3_17|Gladvaethor
trp_knight_4_1|Snog korbács
trp_knight_4_2|Snotgor korbács
trp_knight_4_6|Tuskim tábornok
trp_knight_4_7|Mugslag tábornok
trp_knight_4_11|Ruel
trp_knight_4_12|Feketebundájú Beranor
trp_knight_4_16|Brolgukhsh korbács
trp_knight_4_17|Grumrunt korbács
trp_knight_4_18|Grimsob korbács
trp_knight_5_1|Halward úr
trp_knight_5_2|Bard úr
trp_knight_5_3|Esgarain úr
trp_knight_5_6|Hosszúszakállú Fulgni
trp_knight_5_7|Kősisakos Thorin
trp_knight_5_11|Fudreim törzsfő
trp_knight_5_12|Wulf törzsfő
trp_knight_6_1|Dervorin
trp_smith_mtirith|Berethor a Kovács
