
str_yes|Да.
str_surrender|сдаться врагу
str_flee_battle|сбежать с поля боя
str_pay_bandits|откупиться от обычных разбойников
str_fail_quest|провалить задание, за которое мы поручились словом чести
str_squander_money|промотать деньги, которые нам доверили
str_murder_merchant|впутаться в хладнокровное убийство
str_round_up_serfs|собирать крестьян от имени знатного воина
str_battle_fate_1|Мы потеряли друг друга в пылу боя
str_battle_fate_2|Меня ранили и бросили умирать
str_battle_fate_3|Враги оглушили меня
str_battle_fate_4|Меня взяли в плен и удерживали ради выкупа
str_battle_fate_5|Меня взяли в плен, но вскоре мне удалось бежать
str_npc_morale_report|Меня {s6} ваш выбор соратников, {s7} ваш стиль руководства и {s8} общее положение дел
str_happy|радует
str_content|удовлетворяет
str_concerned|заботит
str_not_happy|не радует
str_miserable|просто шокирует
str_morale_reg1| Боевой дух: {reg1}
str_bar_enthusiastic|                   Восторженный
str_bar_content|              Довольный
str_bar_weary|          Утомлённый
str_bar_disgruntled|     Раздражённый
str_bar_miserable|  Мрачный
str_here_plus_space|здесь 
str_npc1_intro|Приветствую, воин, и добро пожаловать в Хеннет-Аннун.
str_npc2_intro|Приветствую, гость! Могу я спросить, что привело вас сюда?
str_npc3_intro|Хо! Не шуми так, пожалуйста, путник.
str_npc4_intro|Добро пожаловать в Медусельд, воин!
str_npc5_intro|Приветствую, {playername}. Маэ гованнен!
str_npc6_intro|Оставь меня в покое, {незнакомец/незнакомка}. Я не хочу с тобой разговаривать.
str_npc7_intro|Кили, сын Двалина, к вашим услугам!
str_npc8_intro|Добро пожаловать в Дэйл, путник! Чем могу вам помочь?
str_npc9_intro|Тсс! Если ты будешь махать страже, я перережу тебе глотку и отдам варгам!
str_npc10_intro|Ты!
str_npc11_intro|Ар! Ты не местн{ый/ая}, так ведь? Пахнешь не по-нашему. Ежели ты только посмеешь брякнуть, что я боюсь Начальников, я тебе глаза выдавлю!
str_npc12_intro|Хо! Ты что это тут делаешь, прячешься, что ли?
str_npc13_intro|Стой там, где стоишь! Что привело тебя в шатёр вождя?
str_npc14_intro|У тебя походка, как у человека, чьи ноги совсем недолго ступали по палубе корабля, незнаком{ец/ка}.
str_npc15_intro|Да славится Око, воин!
str_npc16_intro|Нечасто случается такое, чтобы чужестран{ец/ка} разгуливал {/а} меж шатров восточных племён. Что привело тебя сюда? Говори, не медли.
str_npc17_intro|Привет. Нравятся ли им здешние леса?
str_npc1_intro_response_1|Приветствую, господин следопыт. Как поживают рейнджеры Юга?
str_npc2_intro_response_1|Мои дела - это дела Гондора, а кто ты?
str_npc3_intro_response_1|И тебе добрый день. Что-то не так?
str_npc4_intro_response_1|Приветствую, моя госпожа. С кем я имею честь говорить?
str_npc5_intro_response_1|Приветствую, эльфийский владыка! Большая честь - познакомиться с вами.
str_npc6_intro_response_1|Неужели лесные эльфы приветствуют своих гостей именно таким образом?
str_npc7_intro_response_1|{playername}, к вашим услугам. Как поживает народ Дурина?
str_npc8_intro_response_1|Приветствую. Я размышлял{/а}, есть ли тут добровольцы, желающие присоединиться к нам в наших странствиях.
str_npc9_intro_response_1|Придержи язык, урук, пока дело не дошло до мордобоя. Я не доносчи{к/ца}.
str_npc10_intro_response_1|Кто ты?
str_npc11_intro_response_1|Кто ты?
str_npc12_intro_response_1|Кто ты?
str_npc13_intro_response_1|Кто ты?
str_npc14_intro_response_1|Кто ты?
str_npc15_intro_response_1|Да славится Око, снага. Что ты можешь о себе рассказать?
str_npc16_intro_response_1|Кто ты?
str_npc17_intro_response_1|Темнолесье - величественный лес. Кто ты? Много ли ты знаешь о лесах?
str_npc1_intro_response_2|Неважно. Боюсь, пещеры - не самое удобное место для бесед.
str_npc2_intro_response_2|Неважно. У меня нет времени общаться со стражниками.
str_npc3_intro_response_2|Неважно. Я буду "шуметь" где-нибудь ещё.
str_npc4_intro_response_2|Прошу прощения, но у меня есть неотложные дела в другом месте.
str_npc5_intro_response_2|Прошу прощения, у меня есть важный разговор ещё кое с кем.
str_npc6_intro_response_2|Взаимно. Прощай.
str_npc7_intro_response_2|Неважно. Мне нужно подышать свежим воздухом.
str_npc8_intro_response_2|Неважно. Мы просто тут осматриваемся.
str_npc9_intro_response_2|Тогда я просто пойду своей дорогой, а иначе мои пальцы начнут тянуться к рукояти меча.
str_npc10_intro_response_2|[Проигнорировать и уйти]
str_npc11_intro_response_2|Не суй нос не в своё дело, тварь!
str_npc12_intro_response_2|Не суй нос не в своё дело, тварь!
str_npc13_intro_response_2|Не суй нос не в своё дело!
str_npc14_intro_response_2|Не суй нос не в своё дело!
str_npc15_intro_response_2|Хмф, спрячь свои коготки, снага.
str_npc16_intro_response_2|Не суй нос не в своё дело!
str_npc17_intro_response_2|Да, лес прекрасен, но мне срочно нужно уйти.
str_npc1_backstory_a|В трудные времена приш{ёл/ла} ты, {друг/воительница}. Итилиэн переполнен вражескими разведчиками и налётчиками. Видели и большие армии орков на марше. Мы, по мере возможностей, не даём этим тварям пересекать великую реку. Я сам водительствовал отрядом умелых рейнджеров, и мы одержали немало побед. Мой командир Фарамир отважен, и я не боюсь Тени, нависшей над нами.
str_npc2_backstory_a|О, очень любезно с вашей стороны осведомиться обо мне. Я недавно был назначен стражем приёмного зала Наместника. Почётная обязанность, могу я сказать, только вот скучноватая.
str_npc3_backstory_a|Ну, мой старый шлем сжимается с каждой минутой, и земля, кажется, шатается так, будто я еду на непослушном мече. Ох, не стоило мне пить столько эля прошлым вечером. Обычно я крепок супротив питья, но, наверно, тут мне подвернулось отвратительное орочье пойло.
str_npc4_backstory_a|Меня зовут Гальмюне, и я считаю своим долгом знать ваше имя, {playername}. Позвольте объяснить, почему.
str_npc5_backstory_a|Вы могли слышать сказания о моих свершениях в битвах прошлого, забытых смертными людьми. И если смотреть с высоты времён, эта Война - лишь ещё одна опасность для эльдаров. Но всё же это будет Последняя Война.
str_npc6_backstory_a|Простите мне мою самоуверенность, незнаком{ец/ка}, но у нас тут редко бывают гости, а те, что приходят, не выглядят заслуживающими доверия. Всего лишь неделю назад, явился этот гном и... А, неважно. Меня зовут Луэванна, я из лесных эльфов Темнолесья.
str_npc7_backstory_a|Очень вежливо с вашей стороны интересоваться этим, {playername}. Мы отбиваем нашествия истерлингов и гундабадских орков, но пока мы и наши дэйльские союзники не можем с ними справиться.
str_npc8_backstory_a|Уверена, вы можете найти неплохих добровольцев, если поговорите с начальником казарм. Что до меня, то я просто лекарь и травница, и мои навыки весьма скромны.
str_npc9_backstory_a|Молодцом! Меня называют Гулм. Я выпустил кишки своему командиру, и теперь его снаги охотятся за мной.^Жалкая тварь, сам напросился. Однажды мы устроили засаду на разъезд соломенноголовых, а он всё прохлопал: закричал "Отступаем!" - и сбежал. Только Гулм и ещё несколько парней стояли непоколебимо и отбили конную атаку. А потом поколотили дубинками желтоволосых людишек, в мясо, хе-хе-хе. Если бы не мы, настоящие бойцы, всем бы быть едой для червей.
str_npc10_backstory_a|Я Дургаш!
str_npc11_backstory_a|Не! Не следопыт, вот кто. Меня вышвырнули! Говорю вам, они безголовые просто, вот кто. Будь они прокляты! Сначала сказали, что я стреляю без приказа, потом что я медленно бегаю, а потом я приболел. Гарр! Если мне побыстрей не найдут какой-нибудь сброд, чтоб приткнуться, прямая мне дорога в Чёрные Ямы, если слухи верны. Я зуб даю, что кое с кого из этих Начальников я сдеру кожу прежде, чем они меня туда бросят!
str_npc12_backstory_a|Я тут командую отрядом парней. Я Горбаг, и лучше вам побыстрее зарубить на носу, что мы, уруки, тут самые начальники, понятно? Большие Начальники делают промахи, ага, даже Самые Большие могут делать ошибки, а бедным урукам вечно за ними поправлять, и никто спасибо не скажет. Они нам даже не говорят, что знают, так ведь, ага? Даже половины не говорят. Грр!
str_npc13_backstory_a|Я? Я песчинка, принесённая из южных пустынь на север ночными ветрами, холодными и тёмными. Я Ликьяда, Змеиный владыка Харадвайта. Владыка Золотого Змея, проклятье племени Чёрного Змея. Теперь я призван служить воле Тёмного Властелина.
str_npc14_backstory_a|Я Фулдимир, сын южной державы Умбар, что к югу от Харондора и побережья Бельфаласа. И эти земли - тоже родные моему сердцу и моему народу. Мы владыки моря и мореплавания, корсары для наших родичей с побережья Бельфаласа, потому что их воды мы покоряем. 
str_npc15_backstory_a|Я Болзог Одарённый, Костоправ, Зашиватель Ран и Исцеляющий Шаман. Если вы воююте за Око, то, несомненно, кто-нибудь из ваших маленьких дружков порежется немножко о мечи бледнолицых лесников или лошадников. Сейчас - нар!нар!нар! - мёртвых орков легко заменить живыми. О, Великий Вождь, но сможете ли вы заменить варга? Великана? Пещерного тролля? Ши-ши! Нет! Вам нужен я, Великий Болзог!
str_npc16_backstory_a|Ну, что ж, именно чужестранец должен назваться первым. Как бы то ни было, я Варфанг из народа балхотов... Могу сказать, что вы не слыхали ещё песен или сказаний моего народа, которые поминают имя балхотов, ибо само это имя пошатнёт вашу храбрость и наполнит ваше сердце горем.
str_npc17_backstory_a|Меня называют Димборн, я тружусь в лесах. Там хорошо. Я люблю леса. В лесах много деревьев. Я трудился в лесах всю мою жизнь, потому что я сильный и потому что я люблю деревья.
str_npc1_backstory_b|Вам следует знать, что я итилиэнский рейнджер, дунадан по происхождению и по своей отваге. Я много знаю о чтении следов и разведке, а орки на своей шкуре ощутили моё искусство владения луком и мечом. Я также могу сделать воина из любого, кто желает противостоять надвигающейся Тени.
str_npc2_backstory_b|Я был обучен как стражник Минас-Тирита, я должен блюсти порядок в Белом Городе и служить моему владыке - Наместнику.
str_npc3_backstory_b|Я - всадник Вестфолда. Они уехали без меня в долгий патруль к реке Изен. Я знаю, что их отвага будет достойна зеленого знамени, но я боюсь, что многие не вернутся.
str_npc4_backstory_b|Я родилась в знатной семье и была придворной девой госпожи Эовин с тех пор, как мы ещё были маленькими девочками. Наши отцы были достаточно мудры, чтобы позволить нам постигать искусство боя наравне с нашими братьями, чтобы мы стали роханскими девами щита.
str_npc5_backstory_b|Владыка Эльронд отправил меня послом к владыке Келеборну, чтобы я предоставил ему помощь и совет. Здесь, в этой части Рованиона, это нужно.
str_npc6_backstory_b|Я люблю ходить тайными тропами нашего прекрасного леса. Иногда я беззвучно продвигаюсь меж деревьев и наблюдаю за жизнью лесных животных. Песня редкой птицы, логово дикого вепря - для меня всё это так же прекрасно, как звон оружия и великие чертоги для аданов. 
str_npc7_backstory_b|Я помогаю в усилении эреборских укреплений, а также тренирую молодых гномов, под руководством моего досточимого отца Двалина. Таков наш обычай.
str_npc8_backstory_b|Я вылечила короля Бранда от запора, обычного недуга для людей, идущих на войну. Слабый отвар полыни - и сразу же и кишки, и ум приходят в норму.
str_npc9_backstory_b|И тогда я сказал себе: "Гулм, ты ведь не хочешь стать падалью?" И я ответил: "Нет".^Во время следующей битвы я отступил, прикинувшись раненым. Потом, пока никто не видел, я напал на своего командира! Почти разрубил его надвое, гарр! Потом хорошенько порезал его прихвостня-снагу...^^Но так вышло, что этот слизняк как-то выжил - и начал чесать языком обо всём этом. В следующий раз я уже постарался, чтобы он остался без башки, гарр...
str_npc10_backstory_b|Я волчий всадник Изенгарда и следопыт.
str_npc11_backstory_b|Ар! Всё из-за моего сопливого носа. И что хорошего, чтобы совсем испортить нос на холодных камнях? Не! Это всё дрянные уруки! Эти проклятые доносчики и воры! Я потерял след только потому, что дал им пройти и перебить запах! Они всё, что можно, стащили, а кругом всё позатоптали - и я ничего не смог сделать.
str_npc12_backstory_b|А эти назгулы нагоняют на меня страху. Они с тебя кожу сдирают одним взглядом и оставляют тебя в холоде и темноте на том свете. Но Ему они по нраву. Они у Него сейчас в любимцах ходят, так что без толку вякать. Говорю вам, служить в этом городе - не игрушки. Я бы не прочь повоевать где-нибудь в другом месте, где их нету.
str_npc13_backstory_b|Недавно я прослышал о слове Тёмного Властелина, которое расходится среди моих родичей. И в их сердцах и умах крепнет его воля. Многих утянуло в его тьму, и вместо их отваги выросла ненасытная жажда убивать. Так что когда их ушей достиг его призыв, они, как марионетки, послушались его.
str_npc14_backstory_b|Многое меняется в человеке, который отважится оседлать ветры и воды Бельфаласа, и тот, кто отважится сразиться с ними, будет не сильнее ребёнка. Отважны эти люди, кто встречает лицом к лицу бури Бельфаласа и мчится верхом на его штормах. Мне доводилось видеть самые страшные ненастья, и всё же я остался хозяином вод Бельфаласа.
str_npc15_backstory_b|Много лун назад, когда я был ещё детёнышем, мой дед повёл наше племя вниз, в копи. Тамошние гномы незадолго до того погибли. Огненный Дух прошёл здесь, и тут было тепло и привольно. Мы благоденствовали, но порой приходил какой-нибудь злой искатель приключений, гномий герой, который проникал в наши тихие коридоры, убивал и калечил гоблинов. Тогда мои руки выучились закрывать раны, нанесённые мечом или секирой, а мой ум выучился видеть очертания кости и сухожилия под любым покровом. И сейчас я могу сварить снадобье или вправить кость весьма умело.
str_npc16_backstory_b|Балхоты были жестокой породой людей, выходцами из моих родных земель. Почти всех их перебили эти проклятые люди Запада. Подобно зверям, нуждающимся в пище, клинки этих людей гнались за балхотами. И кровь, которую эти клинки проливали, есть та же кровь, что течёт в моих жилах, ибо через меня продолжается сей род.\n
str_npc17_backstory_b|Из деревьев можно сделать много всякого, понимаете. Это то, чем я занимаюсь. Я работаю с деревьями и делаю всякое из деревьев. Ну, иногда и с кустами тоже. Но деревья мне больше нравятся.
str_npc1_backstory_c|Однако, боюсь, мы безнадёжно проигрываем здесь, в Итилиэне, и без подкреплений или решительных действий нашего Наместника нам долго не продержаться. Но, если мой командир Фарамир позволит мне уйти, я могу оказать свою помощь и там, где от неё будет больше толку.
str_npc2_backstory_c|Хотя моя служба здесь очень важна, мне немного хочется увидеть настоящую битву и... эльфов, и говорящие деревья, и олифантов! По вам заметно, что вы много путешествовали, {господин/госпожа}, то есть я не хочу сказать, что вы неважно выглядите, ничуть... Короче говоря, я быстро учусь и уменю готовить. Ну, для солдата это неплохо. Я же не ошибаюсь? Вам ведь нужны добровольцы, да?
str_npc3_backstory_c|Что ж, вот я, опозоренный и озлобленный. Мой эоред сейчас далеко отсюда, и навряд ли мне удастся нагнать его или повстречать потом. Если, конечно, все орки и дикари не заполонят равнины... Вам, случаем, не нужен хороший роханский всадник?
str_npc4_backstory_c|Вам, наверно, известно, что женщины, даже обученные бою, не могут вступить в эоред. Однако я не думаю, что сидеть у домашнего очага и ждать возвращения мужчин с войны - моя судьба. Я не буду сидеть сложа руки, покуда в этой Войне можно совершать подвиги. И мне бы пригодилась ваша помощь, {господин/госпожа}.
str_npc5_backstory_c|Однако, поскольку враги Лотлориэна покуда отброшены, я думаю присоединиться к вам, {playername}. Я чувствую, что наши пути в этой Войне переплетены.
str_npc6_backstory_c|Думаю, вам этого не понять, вы же к войне готовитесь... Но вы, должно быть, много и далеко путешествовали - не доводилось ли вам видеть другие великие леса? Не могли бы вы взять меня с собой и привезти туда?
str_npc7_backstory_c|В войне сейчас наступило затишье, что плохо подходит гномьему воину с такими нравами и родословной, как у меня. Я так понимаю, вам придётся повстречать в ваших странствиях куда больше приключений, да ещё вы являетесь союзником гномов? Уверен, боец-гном значительно увеличит ваши шансы на выживание.
str_npc8_backstory_c|Я слышала, везде кругом полыхает война, но наши земли пока, к счастью, избавлены от этого. По царапинам на вашей броне я вижу, что вы много раз бывали в опасности. Может быть, мои скромные умения больше пригодятся в вашем отряде - и так будет лучше для всех нас?
str_npc9_backstory_c|Я бойцовый урук-хай, я берсерк! Всё, что нужно знать о том, как убивать людишек, я знаю. Я был в услужении у Белой Длани, но теперь Длань наверняка бросит меня в огненные ямы.^^Я пойду с вами и буду охотиться за людьми на юге, пока изенгардские снаги скрежещут зубами.
str_npc10_backstory_c|Наверно, вы можете стать моим новым хозяином.
str_npc11_backstory_c|Хорошо, хорошо! От моего носа мало толку. От глаз, наверно, пользы больше, чем от носа. Ай! Но мой нос только потому плох, что он уж и не знает, как что пахнет. Он даже не знает, что искать нужно, говорю вам. Ар! Мне просто нужно уйти отсюда и понюхать разные страны.
str_npc12_backstory_c|Э, да если б представился случай, я бы свалил отсюда и устроился бы где-нибудь с десятком верных парней под рукой. Где-нибудь, где есть что пограбить и где нет никаких больших начальников. Да, где их нет - там я бы это попробовал, как в старые добрые времена.
str_npc13_backstory_c|Я последовал за своими родичами на север, прислушиваясь к его тёмному зову, чтобы исполнить долг перед моим народом. Но я вижу, что его тьма укрепилась в моих собратьях, а потому я ищу другой путь. Путь, чтобы участвовать в этой войне, покуда сыплющийся песок моей жизни не иссякнет. Уже сейчас я чувствую лишь тонкую струйку песчинок вместо былого потока.
str_npc14_backstory_c|Но вот надвигается новый прилив, чёрный прилив тени. Он захлестнёт эти земли так, как никто из смертных доселе не видел. И я алчу овладеть этим приливом, но, увы, у меня нет крепкой команды, которая помогла бы мне оседлать бурю.
str_npc15_backstory_c|Прошло много зим, и я вышел из подземных ходов и стал рыскать по Тёмным Лесам в поисках подходящего места для жизни и учения. И всё было хорошо, пока не пришли какие-то здоровые ублюдки с белыми татуировками - ух! Белые! Как эльфийские рожи! Большие ублюдки, так и было. Они сожгли моё лесное укрытие, и мне снова пришлось прятаться в пещерах... Здесь... Скажите, у вас нет чего-нибудь поесть? Например, вкусненькой лошадки?
str_npc16_backstory_c|Много человеческих поколений сменилось с тех пор. Времена были другие... Но времена печали и легенд закончились. Теперь настал час моего народа, его возмездия. Да, я вырежу знак отмщения на лике западных земель. Своей рукой я буду опустошать их жилища, покуда их племена не исчезнут навек!
str_npc17_backstory_c|Если вы собираетесь в лес, то, наверно, я мог бы пойти с вами и рассказать о тамошних деревьях, как думаете? В тех краях много интересных деревьев, понимаете.
str_npc1_backstory_later|Я водил дозорные отряды на юг, на всем протяжении Эмин-Арнен. В тех краях Враг уже развил бурную деятельность, и много орков погибло в наших засадах. Увы, мы завалили овраги орочьими головами - и увидели орды мерзких созданий, выступившие в поход. Я опасаюсь за судьбу моего Итилиэна и всего Гондора.
str_npc2_backstory_later|У нас было несколько гостей недавно, а потом пришло ещё меньше. Полагаю, ничего хорошего это не предвещает.
str_npc3_backstory_later|От моего эореда нет никаких вестей. А что до меня, то я поднаторел в конных атаках на орков.
str_npc4_backstory_later|Всё больше всадников возвращается с ранами и увечьями, и я пытаюсь помогать им - там, где могу. Но я по-прежнему чувствую себя, как в клетке.
str_npc5_backstory_later|Вы передумали? Время эльдаров на исходе.
str_npc6_backstory_later|Пару дней я наблюдала за гнездом гигантских пауков. Поначалу они кажутся отвратительными существами, но всё же они не подпускают незваных гостей. Вы пришли, чтобы позвать меня с собой?
str_npc7_backstory_later|Строительство укреплений - достойное занятие для любого гнома. Но я бы хотел найти дело и для моей секиры. И поскорее. Давайте я пойду с вами.
str_npc8_backstory_later|Я нанесла ещё один визит нашему королю - на сей раз его рвало. Надеюсь, его решимость вступить в бой с врагом не повлияет на его режим. Режим надо сюблюдать. А вы не страдаете от запоров и рвоты?
str_npc9_backstory_later|Чем, по-вашему, я занимаюсь? Гулм просто сидит тут и ждёт, пока какой-нибудь подлый снага не пришьёт его в темноте. Возьмите меня с собой: я хорошо послужу вам.
str_npc10_backstory_later|Вы передумали? Я буду хорошо служить.
str_npc11_backstory_later|Ар! Это ты, я так и знал! Я тебя издалека учуял! Не расскажешь про это Начальникам, а? Они думают, что раз меня турнули из следопытов, то надо мной можно глумиться. Так вот, они ошибаются, мои стрелы ещё доберутся до их глоток. И кто будет в этом виноват? Не я!
str_npc12_backstory_later|У меня есть приказ. Всякого, кто тут ходит без разрешения, надо "раздеть": ну, выдрать зубы, ногти, волосы и всё такое. Но у меня есть свои осведомители. Мы пронюхали, что забавные вещи творятся: вот большие начальники свалили на войну, и всё такое. Большие дела катятся всё дальше на запад, так говорят. А сидеть здесь и ни хрена не делать - этого моё брюхо и заслуживает.
str_npc13_backstory_later|То, чем я тут занимаюсь, идёт на благо Тьме, да и пусть Юг лишний раз наведёт страх на северян. Я вижу впереди великие победы и позади нас - кровавые реки. Но я вижу, как с каждой победой мои родичи развращаются, их сердца подпадают под его злую волю. И вид этого приводит меня в отчаяние.
str_npc14_backstory_later|Вы вернулись, странни{к/ца}. Возможно, это знак. Я читал знамения на воде и видел, как она потемнела. Море меняет человеческий взор и учит при помощи глаз внимать языку вод.
str_npc15_backstory_later|Немало великих воинов молили меня, чтобы я излечил их своими зельями. Но кругом много лошадников и бледнолицых эльфов, и мне пришлось снова покидать своё укрытие, и... Ну, Великий Владыка, мне бы повезло, если бы мы сражались вместе и вы были бы мне благодарны за мои умения...
str_npc16_backstory_later|Долгая история моего народа повествует об этих землях. Я не знаю, что говорят их предательские истории о днях, когда мой народ ранее вступал в эти земли, но печальны и мрачны будут их истории, когда он войдет в них сейчас. Подобно буре копыт, мечей и стрел, мы принесем им гибель,  как сам Балхот до нас.
str_npc17_backstory_later|На днях я видел очень старую сосну. Сосны вообще могут жить очень долго. Вам следует уважать старые деревья. Хотя слыхал я, что некоторые не уважают деревья вовсе. Вы деревья уважаете, так ведь?
str_npc1_backstory_response_1|Если ты можешь уйти отсюда, то мне бы пригодился опытный воин и следопыт.
str_npc2_backstory_response_1|Ты прав, я ищу добровольцев.
str_npc3_backstory_response_1|Если ты сможешь обойтись без эля, то я буду только рад{/а} хорошему всаднику.
str_npc4_backstory_response_1|Я не откажусь от помощи роханской девы щита, буде таковая предложена.
str_npc5_backstory_response_1|Возможно, это прозвучит довольно нахально, но в моём отряде пригодились бы твои навыки. Особенно в свете грядущих битв.
str_npc6_backstory_response_1|Мы лишь странствуем по миру, но, чтобы защитить всё, что есть в нём прекрасного, нам приходится сражаться с врагом.
str_npc7_backstory_response_1|Разумеется, гномий воин нашему отряду не помешает.
str_npc8_backstory_response_1|Лекарь и травник нам бы пригодился.
str_npc9_backstory_response_1|Думаю, берсерк нам тоже будет полезен.
str_npc10_backstory_response_1|Да, я за тобой.
str_npc11_backstory_response_1|Как насчёт того, чтобы пойти со мной?
str_npc12_backstory_response_1|Не хочешь свалить отсюда вместе со мной?
str_npc13_backstory_response_1|Не хочешь ли последовать за мной?
str_npc14_backstory_response_1|Не хочешь ли присоединиться к моему отряду?
str_npc15_backstory_response_1|Ага... Лекарь, да? И хороший притом, говоришь? Мне бы пригодился кто-то вроде тебя.
str_npc16_backstory_response_1|И что ты здесь делаешь?
str_npc17_backstory_response_1|Ну, разузнать о деревьях никогда не поздно. Я был{/а} бы рад{/а} иметь тебя под рукой.
str_npc1_backstory_response_2|Это печально. Может быть, вера поддержит твою отвагу.
str_npc2_backstory_response_2|Нет, извини. Я ищу закалённых воинов.
str_npc3_backstory_response_2|Нет, извини. Мне нужен кто-нибудь понадёжнее.
str_npc4_backstory_response_2|Прошу прощения, сударыня, но мне нечем тебе помочь.
str_npc5_backstory_response_2|Я вернусь, когда Лотлориэн будет в меньшей опасности.
str_npc6_backstory_response_2|Нет, извини. Нам такие нахлебники не нужны.
str_npc7_backstory_response_2|Нет, извини. Мы и сами неплохо справляемся.
str_npc8_backstory_response_2|Нет, извини. Мы обращаемся к лекарям только тогда, когда они нам нужны.
str_npc9_backstory_response_2|Фу! Предатели мне не нужны.
str_npc10_backstory_response_2|Ты мне не нужен, раб.
str_npc11_backstory_response_2|Мне твои увиливания не нужны.
str_npc12_backstory_response_2|Большим Начальникам виднее, что к чему. А ты выполняй приказы.
str_npc13_backstory_response_2|Что ж твоя судьба - страдать.
str_npc14_backstory_response_2|С меня довольно.
str_npc15_backstory_response_2|Фу! Мне нужны воины, а не прячущиеся крысы!
str_npc16_backstory_response_2|С меня довольно.
str_npc17_backstory_response_2|Нет, извини. Мы на войну отправляемся, а не на познавательную прогулку по лесу.
str_npc1_signup|Уверен, господин Фарамир поймёт, что кроме меня есть и другие, кто смог бы дать отпор Врагу - и даже с большой доблестью и отвагой.
str_npc2_signup|О, удачный день! Буду рад присоединиться к вашему отряду.
str_npc3_signup|Поверьте, командир, вместо эля для меня - сладкий вкус победы. Если вы поведёте меня на врагов, они скоро почуют на себе остроту роханского копья!
str_npc4_signup|Она будет предложена с радостью, и вы можете принять меня в свой отряд, командир.
str_npc5_signup|Понятно. Признаюсь, я наслышан о вас и ваших деяниях.
str_npc6_signup|Мне не нравятся жестокость и оружие, но я знаю, как постоять за себя в этом хаосе.
str_npc7_signup|Я умело обращаюсь как с секирой, так и с метательным топориком. Я могу также снизить ваши издержки, если вы позволите мне поговорить с торговцами за вас. И у меня верный глаз на лучшую добычу, какую можно снять с поверженных врагов на поле боя.
str_npc8_signup|В самом деле? Ну, тогда мне только нужно забрать свои запасы трав и ворох рецептов.
str_npc9_signup|Бойцовый урук стоит больше, чем все ваши снаги. Бойцовый урук никогда не бежит с поля боя.
str_npc10_signup|Правда? Будет очень хорошо, если вы возьмёте меня на службу.
str_npc11_signup|Идти вместе с вашим сбродом, ага? Ар! Слыхал я про всякие дела на западе, про рейды и всё такое, и про то, что уже сотни наших парней полегли. Я бы пошёл и поглядел на это. Можно и с вами, плевать. Заодно погляжу, чего вы стоите.
str_npc12_signup|Пойти с вашим сбродом, что ли? Ну, кажись, дело может и выгореть. Переорать я любого сумею, ну, и кнут всегда под рукой держу. Мои парни не раз его на своей шкуре попробовали.
str_npc13_signup|Я последую за вами, если позволите. На коне я сижу как влитой, а мои руки хорошо знают сталь клинков, изогнутых подобно полумесяцу. Мои пальцы могут посылать стрелы во врагов подобно свету звёзд. Неважно - будь я конным или пешим. Впрочем, как мне сражаться, зависит от вашего приказа.
