qstr_Received_{reg0}_dama|Получено {reg0} урона.
qstr_Um..._by_enchanting_|Эм... притягивает железо?
qstr_Magnets_are_made_of_|Магниты делаются из металла, добываемого из земли. Они обладают магнетизмом, потому что металл всё ещё содержит внутри силу притяжения.
qstr_i_wont_a_bonerlrord_|йа хачу играть в эты мод на банерлорде! Сичас!!11!
qstr_Install_TLD_in_your_|Установите TLD в папку Modules Баннерлорда, добавьте строчку 'compatible with bannerlord = 1' в файл module.ini - и вы сможете сыграть в этот мод на Баннерлорде!
qstr_Bannerlord_runs_on_a|Баннерлорд запускается на другом движке. Мы не будем переносить TLD на Баннерлорд, как мы сделали это с Варбандом.
qstr_dis_mod_takes_2_long|этыт мод слишкам долга делают! ацтой!!11!
qstr_Well_there_s_a_lot_o|Ну, в моде много новой графики и предметов - полагаю, всё это требует времени.
qstr_It_has_been_recently|Мод уже вышел. Если вы потеряли ссылку, то можете скачать его на сайте lemonparty.org.
qstr_i_wont_decapitated_e|йа хачу шоб можна было отрубать бошки слонам в мультиплеире, прям щас!!11!
qstr_I_don_t_think_there_|Не думаю, что в TLD вообще будет мультиплеер, но слоны - было бы неплохо.
qstr_There_is_a_hidden_el|В TLD есть скрытый режим СМЕРТЕЛЬНАЯ СХВАТКА СЛОНОВ! Но чтобы его открыть, вы должны удалить все файлы сохранения, поиграть 100 игровых дней без сохранения, а затем войти в экран персонажа и нажать Alt+F4. Оно того стоит!
qstr_Y_NO_ChINESE??|У вас нет китайского языка??
qstr_Just_to_troll_you_tr|Только чтобы троллить тебя, тролль!
qstr_Thanks_to_our_volunt|Благодаря нашим добровольным переводчикам доступны переводы на традиционный и упрощенный китайский языки. Но вам нужно следовать нашему руководству по Steam Workshop, чтобы использовать их.
qstr_Wai_no_plate_armour_|Пачиму в моде нету лат???
qstr_What_is_plate_armour|Что такое латы? Никогда не слыхал о таком.
qstr_Wai_no_female_trolls|Пачиму в моде нету троллей-женщин? А? А? Сцуко!
qstr_WHEN_U_REALSE_MOD?!!|КАДА ВИ СДЕЛАТЕ МОД?!!?
qstr_But_we_did_release._|Но мы уже выпустили. Вы сейчас в него и играете. Зачем вы кричите?
qstr_YES!_ALSO_SOMETIMES_|ДА! ТАКЖЕ ИНОГДА БЫВАЕТ!
qstr_Wai_u_no_work_wiht_o|Пачиму ви ни работате с дургими мододелами шоб зделать крутейший мод по ВК?
qstr_Every_mod_team_works|Каждая команда разработчиков работает по своим стандартам, вы не можете заставить мододелов объединиться, если их взгляды различны.
qstr_Because_we_don_t_hav|Потому что у нас нет чувства юмора, а большинство других модов для нас просто смешны.
qstr_In_movies_trolls_are|В кине тролли толстые и жирные, пачиму тут худые?
qstr_We_interpreted_Tolki|Таково наше видение мира Толкина.
qstr_But_we_did_make_you_|Зато тебя мы сделали таким же тупым, как и в фильме. Хоть в чём-то сравнялись.
qstr_What_is_news?_Got_an|Что нового? Скриншоты выложите?
qstr_Well_just_look_aroun|Ну, просто оглянись кругом, зачем тебе скриншоты?
qstr_Say_cheese!|Скажи "сы-ы-ыр"!
qstr_Why_did_you_make_mod|Почему вы сделали установку мода такой сложной?
qstr_Well_if_you_are_here|Ну, если ты сейчас стоишь тут и разговариваешь со мной, значит ты успешно выполнил правило RTFM и всё установил.
qstr_You_just_got_windyfl|Зато ты потерял девственность мозга и научился думать!
qstr_Merry|Мерри
qstr_Pippin|Пиппин
qstr_the_Citadel|цитадель
qstr_Minas_Tirith|Минас-Тирит
qstr_Steward_Denethor|Наместник Денетор
qstr_the_Golden_Hall|золотой зал
qstr_Edoras|Эдорас
qstr_King_Theoden|Король Теоден
qstr_Merry_asked_you_to_d|Мерри просил тебя передать послание его кузену Пиппину в Минас-Тирит
qstr_Pippin_asked_you_to_|Пиппин попросил, чтобы ты передал сообщение своему двоюродному брату, Карусель, в Эдорасе.
qstr_Tell_him_I_ve_grown_|Скажи ему, что я вырос еще на дюйм!
qstr_Tell_Pip_he_smokes_t|Скажи Пипу, что он слишком много курит!
qstr_Tell_him_I_can_ride_|Скажи ему, что я уже могу сейчас ездить на взрослой лошади!
qstr_Ask_him_if_he_has_an|Спроси его, не осталось ли у него трубочной травы!
qstr_Tell_him_I_ll_be_the|Скажи ему, что я буду высоким, когда мы снова увидимся!
qstr_Ask_if_he_s_seen_Gan|Спросите, видел ли он Гэндальфа!
qstr_You_gained_250_exper|Вы получили 250 опыта.
qstr_Hrooom..._Hmmm...Who|Хррум... Хммм... Кто ты?
qstr_Hrooom..._Hmmm...Oh_|Хррум... Хммм... О, это снова ты, {playername}.
qstr_Treebeard_wants_you_|Древобород хочет, чтобы вы нашли и уничтожили орков, вырубающих деревья в Фангорне.
qstr_Something_wrong_not_e|Что-то не так, не хватает войск для разведывательного отряда
qstr_my_home_town|мой родной город
qstr_I_am_in_perfect_heal|Я в отличном состоянии. 
qstr_I_am_suffering_from_|Рана ({s1}) причиняет мне боль. 
qstr_I_am_suffering_from_{|Раны ({s1} и {s2}) причиняют мне боль. 
qstr_I_am_suffering_from_{s|Раны ({s1}, {s2} и {s3}) причиняют мне боль. 
qstr_I_am_suffering_from_{s1|Раны ({s1}, {s2}, {s3} и {s4}) причиняют мне боль. 
qstr_I_don_t_have_any_ser|У меня нет серьёзных ранений, спасибо вам.
qstr_Good_day_to_you.|Желаю вам доброго дня.
qstr_Ah_it_s_you_again._G|А, это снова ты. Прощай.
qstr_My_apologies_if_I_wa|Простите, если в тот раз я повёл себя грубо. Не могли бы вы снова рассказать свою историю?
qstr_I_was_reconsidering_|Я думал по поводу нашей последней встречи... Не могли бы вы снова рассказать свою историю?
qstr_Zigrphel_gained_{reg|Зигурфель получает {reg78} опыта.
qstr_Greetings_{s23}_{s24|Приветствую, {s23}, {s24}.
qstr_Greetings_{s23}.|Приветствую, {s23}.
qstr_So_you_are_{s23}._I_|Итак, вы {s23}. Я слышал, ты сражаешься за {s25}, наших друзей, потому, думаю, я могу считать тебя своим союзником.
qstr_I_need_volunteers_wi|Мне нужны добровольцы, готовые последовать за мной, несмотря на опасность.
qstr_I_need_some_soldiers|Мне нужны воины, чтобы восполнить потери.
qstr_Maybe_the_weaklings_|Может быть, слабаки юга надели доспехи на своих мягкокожих троллей. Не мы - наши тролли из Гундабада!
qstr_Do_I_look_like_a_smi|Разве я похож на кузнеца? Тьфу. Иди поговори с одним из них.
qstr_Excellent_job_{s23}!|Превосходная работа, {s23}! Хотелось бы, чтобы все наши командиры были столь же преданны, сколь и ты^
qstr_Nicely_done_{s23}.|Отлично сработано, {s23}.
qstr_Good_work_{s23}.|Хорошая работа, {s23}.
qstr_The_more_you_capture|Чем больше врагов ты захватишь в плен, тем лучше, {s23}.
qstr_Caught_a_few_straggl|Поймал{/а} несколько дезертиров, {s23}?
qstr_I_am_sorry_no_one_el|Простите, но пока никто не готов уйти.^Они будут служить державе {s22}, защищая этот город.
qstr_Tough_luck_but_we_do|К несчастью, у нас никого нет. Приходите позже.
qstr_There_are_brave_sold|Здесь есть храбрые бойцы, желающие рискнуть своей жизнью, но в эти тёмные времена я не могу позволить им бросить оборону города.^^^[не хватает очков снабжения]
qstr_We_have_some_spare_t|У нас есть немного добровольцев, но мы не желаем отдавать их таким, как вы.^^^[не хватает очков снабжения]
qstr_There_are_brave_soldi|Здесь есть храбрые бойцы, которые не прочь выйти на битву в поле.^^Думаю, я могу позволить нескольким из них уйти с вами.
qstr_There_are_spare_troo|Здесь есть добровольцы, которые не прочь пролить кровь.^^Я могу позволить нескольким из них уйти с вами.
qstr_Strenghten_defences_|Передать воинов в {s21}? Это всегда приветствуется. Учтите, что мы принимаем только бойцов из нашего народа.
qstr_Strenghten_defences_i|Передать воинов в {s21}? Ну, если они не калеки, то почему нет. Только удостоверьтесь, что передаёте бойцов из нашего народа, потому что от чужеземцев тут нет толку.
qstr_Please_return_them_i|Пожалуйста, верните их в целости и сохранности. Я лично знаю каждого из них, а здесь нам дорог каждый меч.
qstr_Don_t_let_them_all_d|Не допусти, чтоб они все подохли в одном месте. Ну, кроме трусов - таких ставь в передние ряды, вот так их и можно вышколить.
qstr_Thank_you_commander.|Спасибо, командир.^
qstr_^{s22}_is_grateful_t|^{s22} благодарен вам, {s23}, {s29}^
qstr_{s31}{reg28?Those:Th|{s31}{reg28?Эти храбрые воины помогут:Этот храбрый воин поможет} нам защитить {s21}.{s32}^^[получено {reg14} очков снабжения фракции {s14}]
qstr_{s31}{reg28?Those:Tha|{s31}{reg28?Эти хорошие воины помогут:Этот хороший воин поможет} нам удержать {s21}.{s32}^^[получено {reg14} очков снабжения фракции {s14}]
qstr_{s4}_^Oh_and_take_ba|{s4} ^А, и заберите обратно тех, кто не из нашего народа.
qstr_You_have_reinforced_|Вы усилили {s8} {reg55} солдатами.
qstr_I_don_t_need_them_an|Мне они всё равно не нужны, так что оставьте у себя.
qstr_It_is_my_duty_to_pro|Мой долг - защищать наш народ.
qstr_It_is_my_duty_to_prot|Мой долг - защищать наших союзников.
qstr_I_am_{s4}_{s15}_of_{|Я {s4}, {s15} из державы {s6}
qstr_I_am_{s4}_a_commande|Я {s4}, полководец державы {s6}
qstr_{s9}{reg5?_and_the_r|{s9}{reg5? и правитель поселений {s8}.:.
qstr__{s3}_gained_{reg78}|{s3} получает {reg78} очков опыта.
qstr_{playername}_our_sco|{playername}, наши разведчики принесли весть о вашем успехе. Да пребудете вы после этого дня в годах блаженства! С войсками {s7}, отброшенными назад вашей победой, великое наступление врага пошатнулось. Мы можем надеяться, что в их рядах и среди их капитанов не возникнет никаких разногласий. И еще мы можем надеяться, что теперь они испытывают здоровый страх перед вами! По крайней мере, вы помогли нам немного отдохнуть от усталости.
qstr_Well_{playername}_yo|Неплохо, {playername}, вы вернулись, и, похоже, у нас хорошие новости. Теперь я вижу, что вы созданы не только из хвастовства и горячего воздуха - ах, если бы я только мог своими глазами увидеть, как {s7} пал перед вами! Наши враги, без сомнения, теперь отчаянии. Как говорится, отрубить голову змею - и дело сделано. Что ж, теперь я должен вести своего господина к настоящей победе. {playername}. о вашем вкладе узнают все. Можете не беспокоится об этом.
qstr_Alas_that_I_could_no|Увы, что я не смог окончательно покончить с {s7} из {s8}, но если мы встретимся снова, пусть они остерегаются.
qstr__I_should_rather_mak|Я лучше сам доложу о своей победе над {s7} из {s8} - главная слава моя, и ты ее не забудешь!
qstr_Very_well_done_{play|Отлично сделано, {playername}! Ты захватил{/а} и соглядатая, и его нанимателя, как я и надеялся. Они теперь надёжно упрятаны и ждут допроса. Им будет что рассказать! В любом случае, я очень рад твоему успеху, {playername}, и даю тебе этот дар в знак моей признательности.
qstr_Beautiful_work_{play|Прекрасная работёнка, {playername}! Ты захватил{/а} и соглядатая, и его нанимателя, как я и приказал. Они теперь надёжно упрятаны и ждут допроса. Мой заплечных дел мастер будет очень занят этим вечером! В любом случае, я очень рад твоему успеху, {playername}, и даю тебе этот дар в знак моей признательности.
qstr_Foiling_the_enemy_s_|Срыв попыток врага атаковать обозы беженцев ослабили их решимость ({s1} потерял {reg19} сил фракции, из-за ваших побед над {reg18} рейдерами).
qstr_The_slaughter_and_lo|Резня и разграбление поезда с беженцами укрепили противника ({s1} набрал 50 фракций силы).
qstr_You_did_however_defe|Вы победили {reg18} рейдеров, ослабив решимость противника ({s1} потерял {reg19} сил фракции).
qstr_The_slaughter_and_loo|Уничтожения и разграбления обозов беженцев усилило противника ({s1} набрал {reg20} сил фракции).
qstr_Killing_the_refugees|Убийство беженцев из {s1} и порабощение оставшихся в живых, деморализовали их народ ({s1} потерял {reg19} сил фракции).
qstr_{reg20}_refugee_trai|{reg20} обозов беженцев сбежали и повысили боевой дух врага ({s1} получил {reg22}  сил фракции).
qstr_You_did_however_defea|Вы уничтожили {reg18} обозов беженцев, ослабив решимость врага ({s1} потерял {reg19} сил фракции).
qstr_My_lord_{s12}_is_saf|Мой Господь, {s12} является безопасным. Корсары потерпели поражение.
qstr_My_lord_Esgaroth_is_|Мой господин, Эсгарот в безопасности. Люди Руна потерпели поражение.
qstr_The_surroundings_of_|Окрестности {s12} горят. Грабеж был поистине великолепен!
qstr_The_surroundings_of_E|Окрестности Эсгарота горят. Грабеж был поистине великолепен!
qstr_This_is_welcome_news|Это действительно приятная новость, {playername}. Мы были плохо подготовлены к таким смелым действиям Корсаров. Но благодаря вам Черные паруса были отогнаны, по крайней мере на время, и мы можем надеяться, что по крайней мере сегодня нанесем им удар. Примите нашу благодарность.
qstr__Good_work_{playerna|Отличная работа, {playername}! Они проявили большую хитрость, чем полагали. Но эти Истерлинги, похоже, сражаются на лодках не так хорошо, как на лошадях! Возможно, нам тоже стоит подумать о создании собственного флота ... В любом случае, мы благодарим тебя, {playername}, от имени Эсгарота и всего народа Дейла.
qstr_Even_from_here_we_co|Даже отсюда мы могли видеть пламя и чувствовать запах отчаяния наших врагов на ветру! Вы прекрасно справились, {playername}. Пусть ужас теперь поразит сердца каждого мужчины, женщины и ребенка в Гондоре, ибо теперь они знают, что даже их самые могущественные крепости не находятся вне пределов нашей досягаемости!
qstr_Even_from_here_we_cou|Даже отсюда мы могли видеть пламя и чувствовать запах отчаяния наших врагов на ветру! Вы прекрасно справились, {playername}. Пусть ужас теперь поразит сердца всех мужчин, женщин и детей в Дейле, ибо теперь они знают, что даже их самые могущественные крепости находятся вне пределов нашей досягаемости!
qstr_My_lord_they_fell_up|Мой господин, они напали на нас с большими силами. Мы не смогли отразить атаку Корсаров.
qstr_My_lord_they_fell_upo|Мой господин, они напали на нас с большими силами. Мы не смогли отразить атаку Руна.
qstr_The_raid_on_{s12}_fa|Рейд на {s12} провалился, благодаря некомпетентности наших союзников!
qstr_This_raid_was_ill_fa|Этот рейд был неудачным с самого начала. Нам вообще не следовало садиться на эти шаткие плоты!
qstr_This_is_evil_news_yo|Это ужасные новости. Корсары становятся все смелее, и теперь весь Белфалас все больше скрывается под их тенью. Я не буду винить вас, {playername}, в вашей неудаче, но мы действительно получили тяжелый удар, очень тяжелый удар. Иди сейчас же. Надежда на спасение Гондора угасает, и мы должны бороться, чтобы сохранить то, что от него осталось.
qstr_This_is_evil_news_you|Это ужасные новости. Истерлинги становятся все смелее, и Эсгарот в огне. Я не буду винить вас, {playername}, в вашей неудаче, но мы действительно получили тяжелый удар, очень тяжелый удар. Иди сейчас же. Надежда на наше королевство угасает, и мы должны бороться, чтобы сохранить то, что от него осталось.
qstr_Pah!_It_seems_you_we|Тьфу! Похоже, вы не смогли найти свои морские ноги, {playername}. Теперь они сидят, эти люди Гондора, высоко в своих башнях, тщеславные, как короли, и смеются, когда горят Черные паруса! Может быть, пребывание на веслах галеры было бы подходящим наказанием для ваших солдат; жаль, что они находятся под вашим командованием, а не под моим. Глаз не будет доволен. А теперь оставь меня.
qstr_Have_you_nothing_bet|Неужели у вас нет ничего лучше, чем слабые оправдания для вашего провала, {playername}? Возможно, вы не так сильны, как мы думали. Служите нашему делу лучше в будущем, {playername}. Слабым пощады не будет!
qstr_{playername}_we_have|{playername}, у нас есть Изенгард на коленях. Они начали свой последний бой и теперь защищают Сарумана в его башне. Поезжай со мной и познакомься с ними!
qstr_Are_you_ready_to_mee|Готовы ли вы встретить последний бой Изенгарда?
qstr_I_am_ready_to_ride_w|Я готов выступить вместе с тобой против Изенгарда.
qstr_I_am_ready_to_ride_wi|Я готов ехать с вами и встретиться с ними. Давайте покончим с этим прямо сейчас.
qstr_I_am_not_ready_to_ri|Я еще не готова ехать с тобой. Мне нужно еще немного времени.
qstr_You_do_not_have_enou|У вас нет достаточного количества войск, чтобы помочь в этой битве. Поднимите хотя бы 30 человек и скорее присоединяйтесь ко мне!
qstr_Stay_close_we_will_t|Оставайтесь рядом, мы займем позицию рядом с врагом. Когда мы все соберемся, мы нанесем удар.
qstr_You_have_taken_too_l|Вы слишком долго ждали... Мы поедем прямо сейчас, с тобой или без тебя. Мы соберемся рядом с врагом и через 3 дня нанесем удар.
qstr_Make_haste_{playerna|Поторопись, {playername}. Мы не хотим, чтобы они выздоравливали.
qstr_Your_mission_is_comp|Задание выполнено, {s9} хочет, чтобы вы продолжали следовать за его армией в ожидании указаний.
qstr_{s13}_asked_you_to_g|{s13} нуждается в запасах для армии. Требуется {s4} - {reg3} порций. {s13} попросил вас доставить их ему.
qstr_Moreover_should_you_|Более того, если вы станете {s24}, вас примут в мой военный совет, где вы сможете принимать решения, которые повлияют на ход нашей военной кампании. На данный момент вы {s25}, так что просто следуйте за нами и оставайтесь рядом. Мы скоро выступаем.
qstr_For_the_moment_just_|А пока просто следуйте за нами и держитесь поближе. Мы скоро выступаем.
qstr_{s9}_asked_you_to_sc|{s9} попросил вас разведать {s13}, {s14} и {s15} и вернуться с отчётом.
qstr_You_have_been_most_h|Ты очень помог{/ла}, {playername}. Благодарю.
qstr_You_are_a_good_serva|Ты хороший слуга, {playername}. Продолжай в том же духе.
qstr_Superb_work_{playern|Превосходная работа, {playername}. Мне нравится твоё отношение к делу.
qstr_Your_efficiency_is_p|Твоя полезность радует меня, {playername}. Продолжай так же - и далеко пойдёшь.
qstr_It_was_an_honour_to_|Для меня было честью услужить вам.
qstr_Your_wish_is_my_comm|Ваше желание - приказ для меня.
qstr_Sauron_in_Mordor_the|Саурон в Мордоре, Корсары Умбара, варяги Кханда и племена Харада
qstr_Saruman_in_Isengard_|Саруман в Изенгарде и дикари Дунланда
qstr_Orcs_of_Moria_and_Do|Орки Мории и Дол Гулдура
qstr_Orcs_of_Gundabad_and|Орки Гундабада и Воины Руна
qstr_Men_of_Gondor|Люди Гондора
qstr_Riders_of_Rohan|Всадники Рохана
qstr_Elves_of_Imladris_an|Эльфы Имладриса и Лотлориэна
qstr_Men_of_Dale_Dwarves_|Люди долины, гномы Эребора, родственники Беорна и эльфы Мирквуда
qstr_Ah_{playername}_it_i|Ах, {playername}, как хорошо, что вы пришли. Война уже на пороге нашего дома, и нам нужны солдаты и капитаны, чтобы выполнить свои клятвы.Мы находимся в состоянии войны с {s11}, но мы должны собрать наши силы и ослабить врага, прежде чем мы сможем надеяться двинуться против их опорных пунктов и крепостей. Каждое поражение наших врагов приближает нас к победе и укрепляет нашу решимость, поэтому я верю, что вы будете сражаться с нашим врагом при любой возможности, будь то простой разведывательный отряд или военный отряд. Но не бросайтесь в бой в одиночку, вы должны сражаться вместе с нашими храбрыми капитанами и нашими союзниками.
qstr_About_time_you_showe|{playername}, ты появился как раз вовремя. Мы сейчас в состоянии войны, и я не потерплю неподчинения. Мы сражаемся против {s11}, но нам нужно собраться с силами и сразить врага на поле боя, прежде чем мы сможем выступить против их крепостей. Каждое поражение наших врагов будет укреплять наши военные силы и приближать их к полному уничтожению. Так что я верю, что вы будете сражаться с нашим врагом при любой возможности, будь то простой разведывательный отряд или целое войско. Кроме того, вы должны поддержать наших капитанов и наших союзников, если увидите, что они сражаются. Не подведи их, иначе я узнаю.
qstr_we_are_fighting_agai|мы сражаемся против держав {s13}
qstr_we_are_not_fighting_|мы ни с кем не сражаемся в данный момент.
qstr__{s14}_gained_{reg78|{s14} получает {reg78} очков опыта.
qstr_Oh?_Let_me_see_that.|А? Позволь мне глянуть... Так-так-так! Очень хорошо, что ты мне это прин{ёс/есла}, {playername}. Возьми мою печать как доказательство доставки, и пусть {s9} получит мою благодарность из твоих уст во время вашей следующей встречи.
qstr_Give_me_that!_Hrmph!|Давай сюда! Хрмф! Хорошо, что ты прин{ёс/есла} мне это, {playername}, ты полезный слуга. Пусть {s9} почаще даёт тебе работу, так и передай.
qstr_What?_Let_me_see_tha|Что? Дай гляну... Хм. Хорошо, что ты прин{ёс/есла} мне это, {playername}. Теперь убирайся.
qstr_Give_me_that!_Hrmph!_|А ну давай! Хрмф! Ты хорошо служишь своим хозяевам, {playername}, но все вы скоро будете мертвы. Хотя и не прямо сейчас, поэтому проваливай.
qstr_My_king|Мой король
qstr_Lord|Владыка
qstr_my_king|мой король
qstr_lord|господин
qstr_our|наш
qstr_your|твой
qstr_Moria_and_Gundabad|Мория и Гундабад
qstr_Moria|Мория
qstr_Gundabad|Гундабад
qstr_You_swear_an_oath_of|Вы даете клятву мести против {s3}. Теперь вы должны убить как можно больше солдат Мории и Гундабада в ближайшие дни. Вы прекрасно знаете, что ваши последователи были свидетелями этой клятвы, и вы не хотите, чтобы вас называли клятвопреступником. Теперь должна начаться оргия кровопускания!^.
qstr_The_search_for_the_L|Поиски потерянных копий привели вас в Дорвинион, осколок древнего северного королевства короля Бладортина. ПРОДОЛЖЕНИЕ СЛЕДУЕТ 
qstr__You_need_to_be_{s24|(Вы должны быть {s24} или выше).
qstr_You_are_not_worthy_o|Ты не достоин моих навыков. Сначала докажите себя и поднимитесь выше {s25}. {s2}
qstr_I_am_sorry._I_cannot|Я прошу прощения. Я не могу заниматься вами как {s25}, так как есть более насущные вопросы. {s2}
qstr_Yes_I_am_and_I_can_h|Да. И я могу помочь вам за некоторую сумму.
qstr_You_heard_right_and_|Вы не ослышались, и да, я могу вам помочь.
qstr__Costs_1000_Resource|(Стоимость 1000 Ресурсов, 5 Влияние)
qstr_I_can_see_that._I_ll|И я это вижу. Мои люди будут стоять на страже, пока я разберусь с тобой. Это займет некоторое время. {s2}
qstr_Yes_I_see_that._I_ca|Да, я вижу это. Да, я могу ухаживать за тобой, но это отвлечет меня от важных дел. {s2}
qstr__Costs_1500_Resource|(Затраты 1500 Ресурс, 10 Влияние)
qstr_I_ll_have_my_persona|Я попрошу своих личных целителей разобраться с тобой. Они самые лучшие. Скажи мне, когда они тебе понадобятся. {s2}
qstr_I_ll_have_my_personal|Я попрошу своих личных целителей позаботиться о ваших людях. Они-лучшие в своем деле. Дай мне знать, когда они тебе понадобятся. {s2}
qstr_I_ll_have_them_here_|Они скоро будут здесь.
qstr_Let_us_begin._My_hea|Начнем. Мои целители позаботятся о вас и ваших людях.
qstr_Alright!_This_is_goi|Ладно! Это будет больно... очень.
qstr_Let_us_begin._It_may|Начнем. Это может занять некоторое время. Просто расслабься и доверься мне.
qstr_Impressive..._You_di|Впечатляет... Ты не дрогнул. Вернитесь на свой пост.
qstr_Rest_the_wounds_have|Отдыхайте, о ранах уже позаботились.
qstr_Your_party_must_be_a|Ваша партия должна быть не менее 30 сильных бойцов, чтобы приступить к выполнению этого задания
qstr_You_were_tasked_to_h|Вам поручили избавиться от бандитов, недавно принесших опустошение на север. Вы можете напасть прямо на их убежище в Темнолесье либо перехватить возле Дома Беорна.
qstr_Mordor_gains_Faction|Мордор набирает силу фракции, поскольку они получили неизвестное оружие
qstr_Beornings_gain_Facti|Сила Беорнингов возросла вместе с распространением слухов о вашей победе.
qstr_Beornings_lose_Facti|Беорнинги теряют силу фракции, когда на них нападают.
qstr__{s14}_gains_faction|Сила государства {s14} возросла вместе с распространением слухов о Кольце Власти.
qstr_You_must_return_and_|Вам следует вернуться и доложить, что вы победили главарей Охотников за Кольцом и отобрали волшебное кольцо.
qstr_You_must_return_and_r|Вам следует вернуться и доложить, что вы разгромили отряд Охотников за Кольцом, но их главари, возможно, получили то, что разыскивали.
qstr_Do_you_need_reinforc|Нужно ли вам подкрепление?
qstr_You_don_t_look_too_s|Твой отряд кажется ослабленным, не нужны ли тебе воины?
qstr_^{s14}_is_grateful_t|^{s14} благодарен тебе, {playername}, {s29}^
qstr_{s31}{reg28?Those:That|{s31}{reg28?Эти храбрые воины помогут:Этот храбрый воин поможет} нам защитить наши земли.{s32}^^[получено {reg14} очков снабжения фракции {s14}]
qstr_{s31}{reg28?Those:That}|{s31}{reg28?Эти:Этот} {reg28?умелые бойцы помогут:умелый боец поможет} нам нанести ещё больший вред врагу!{s32}^^[получено {reg14} очков снабжения фракции {s14}]
qstr_{s4}_^Oh_and_take_bac|{s4} ^А, и заберите обратно тех, кто не из нашего народа, нам от них никакого толку.
qstr_It_is_my_duty_to_hel|Мой долг - защищать наш народ.
qstr_It_is_my_duty_to_help|Мой долг - помогать нашим союзникам.
qstr_{s31}__Consumable._C|{s31} (расходный материал. Можно купить)
qstr_{s31}__Can_be_reboug|{s31} (можно перекупить)
qstr_I_wish_to_raze_an_en|Я хочу стереть с лица земли вражеское поселение.
qstr_I_wish_to_lead_our_m|Я хочу возглавить наших людей в штурме вражеского поселения.
qstr_More_snaga_who_will_|Еще один снага, который бросится на вражеские стены? Слушай внимательно, и я, возможно, позволю тебе попробовать.
qstr_Indeed?_Few_men_are_|Неужели? Немногие люди так быстро решаются добровольно умереть на крепостной стене. Нам нужно многое обсудить прежде чем я позволю тебе уйти.
qstr_Indeed?_That_is_no_s|Неужели? Это немалое предприятие, и есть вопросы, которые мы должны обсудить, прежде чем я позволю вам уйти.
qstr_First_sieges_are_onl|Во-первых, осады - вариант только для сильнейших! Вот все, что нужно сделать:
qstr_Here_is_all_that_nee|Вот всё, что нужно сделать:
qstr_Firstly_we_must_thin|Во-первых, мы должны думать о препятствиях этой задачи:
qstr_You_need_sharp_weapo|Вам нужно острое оружие, свежее мясо для ваших войск и варгов, дрова для разжигания костров и засухи, чтобы заставить слабаков не отставать. Вы также должны держать своих подонков в узде, иначе они все убьют друг друга, прежде чем вы даже доберетесь до стен. Мы слишком заняты своими собственными боями, чтобы позаботиться о вашей участи — будьте готовы предоставить то, что необходимо для поддержания движения личинок.^[требуется {reg3} ресурсы, {reg15} влияние]
qstr_Steel_must_be_kept_s|Сталь должна быть наточена, люди и лошади накормлены, костры горят, вода принесена, раны обработаны — вы и ваши люди нам не нужны, если вы не можете поддерживать свою кампанию. Так как мы уже слишком разбросаны, чтобы дать вам то, что требуется, вы должны быть готовы предоставить то, что необходимо для поддержания вашей армии в рабочем состоянии в условиях осады.^[требуется {reg3} ресурсы, {reg15} влияние]
qstr_Steel_must_be_kept_sh|Сталь должна быть наточена, солдаты и лошади накормлены, костры горят, вода принесена, раны обработаны-битва менее славная, но не менее важная, чем та, что вы будете сражаться на крепостных валах. Так как мы уже слишком разбросаны, чтобы дать вам то, что требуется, вы должны быть готовы предоставить то, что необходимо для поддержания вашей армии в рабочем состоянии в условиях осады.^[требуется {reg3} ресурсы, {reg15} влияние]
qstr_Next_if_you_try_to_a|Далее, Если вы попытаетесь напасть на вражескую столицу, я проткну вас, если вы еще не мертвы.. Мы отправляемся туда только тогда, когда нам приказывает хозяин. Вы идете туда, где враг слаб и может быть побежден.
qstr_Secondly_you_do_not_|Во-вторых, у вас нет разрешения вести наш народ против вражеской столицы. Эти места могут быть преодолены только тогда, когда все наши силы будут объединены. Вы должны нанести удар только там, где наш враг был достаточно ослаблен, чтобы его можно было победить.
qstr_Third_{s2}_is_on_its|В-третьих, {s2} находится в своей собственной кампании. Мы будем сражаться с вами, если добыча будет выглядеть хорошо, но вам лучше быть достаточно сильными, чтобы победить самостоятельно, иначе вы долго не продержитесь.
qstr_Furthermore_you_must|Кроме того, вы должны знать, что {s2} занят своей собственной кампанией. Наши знамена последуют за вами в бой, если позволят обстоятельства, но не надейтесь — вы вполне можете остаться в одиночестве.
qstr_Last_remember_that_a|Наконец, помните, что как {s25}, у мастера нет времени на неудачу. Ты очень рискуешь ради {s2}, когда сражаешься — принеси нам поражение, и мы позаботимся о том, чтобы ты пожалел, что родился на свет
qstr_Finally_remember_tha|Наконец, помните, что как {s25} вы живете и умираете благодаря своим успехам и неудачам. Вы многим рискуете для {s2}, когда идете в бой — навлеките на него гибель, и последствия будут суровыми.
qstr_Finally_remember_that|Наконец, помните, что, будучи {s25}, вы можете наслаждаться славой победы, одержанной с таким трудом, и называть эту победу своей собственной, но все, кто живет в {s2}, заплатят за вашу неудачу. Вы несете с собой в бой судьбу {s2} - навлекаете на нее гибель, и последствия будут тяжелыми.
qstr_Still_think_you_can_|Все еще думаете, что справитесь?
qstr_Knowing_what_I_have_|Зная то, что я вам сказал, Вы все еще считаете себя способным на это?
qstr_Knowing_what_I_have_t|Зная то, что я вам сказал, Вы все еще хотите продолжить?
