itm_horse_meat|Конина
itm_rhun_helm_leather|Рунийский кожаный шлем
itm_rhun_warpick|Рунийская боевая кирка
itm_rhun_greataxe|Рунийский большой топор
itm_rhun_battleaxe|Рунийский боевой топор
itm_rhun_falchion|Дикарский фальшион
itm_rhun_glaive|Рунийская глефа
itm_rhun_greatfalchion|Дикарский большой фальшион
itm_rhun_greatsword|Дикарский большой меч
itm_rhun_shortsword|Дикарский короткий меч
itm_rhun_sword|Дикарский меч
itm_rhun_mangler|Рунийский кинжал
itm_dale_light_a|Дейльская куртка ополченца
itm_dale_light_b|Северный лёгкий ламелляр
itm_dale_med_a|Северный тяжёлый ламелляр
itm_dale_med_b|Дейльская кожаная броня
itm_dale_med_c|Дейльская кожанка поверх кольчуги
itm_dale_med_d|Дейльский ламелляр
itm_dale_heavy_a|Дейльский ламелляр поверх кольчуги
itm_dale_heavy_b|Дейльская пластинчатая куртка
itm_dale_heavy_c|Рованионская кольчуга
itm_north_leather|Кожанка Северянина
itm_dale_helmet_a|Дейльский лёгкий пехотный шлем 
itm_dale_helmet_b|Дейльский лёгкий шлем лучника
itm_dale_helmet_c|Дейльский пехотный шлем
itm_dale_helmet_d|Дейлский Шлем Лучника
itm_dale_helmet_e|Шлем барда-лучника
itm_dale_helmet_f|Шлем барда-лучника
itm_dale_sword|Дейльский короткий меч
itm_dale_sword_long|Дейльский длинный меч
itm_dale_sword_broad|Дейльский меч пехотинца
itm_dale_pike|Дейльское копьё
itm_dale_billhook|Дейльская алебарда
itm_dale_shield_a|Дейльский ростовой щит
itm_dale_shield_b|Дейльский ростовой щит
itm_dale_shield_c|Дейлский круглый щит
itm_umb_armor_a|Кожаный жилет Корсаров
itm_umb_armor_b|Корсарская кожаная броня
itm_umb_armor_c|Подбитая броня Корсаров
itm_umb_armor_d|Тяжелая подбитая броня Корсаров
itm_umb_armor_e|Корсарский хауберк
itm_umb_armor_f|Броня Главаря Корсаров
itm_umb_helm_a|Корсарский шлем-раковина
itm_umb_helm_b|Корсарский высокий шлем
itm_umb_helm_c|Корсарский шлем ополченца
itm_umb_helm_d|Корсарский шлем налётчика
itm_umb_helm_reward|Древняя нуменорская карма
itm_corsair_trident|Трезубец гнева моря
itm_corsair_boots|Корсарские сапоги
itm_umb_shield_a|Корсарский щит
itm_umb_shield_b|Корсарский баклер
itm_umb_shield_c|Корсарский баклер
itm_umb_shield_d|Корсарский баклер
itm_umbar_spear|Умбарское короткое копьё
itm_umbar_cutlass|Умбарская абордажная сабля
itm_kraken|Абордажная сабля Кракена
itm_umbar_rapier|Умбарский абордажный меч
itm_corsair_harpoon|Корсарский гарпун
itm_corsair_sword|Корсарский экет
itm_corsair_throwing_dagger|Кривые метательные ножи
itm_umbar_pike|Корсарский трезубец
itm_woodman_tunic|Рубаха лесовика
itm_woodman_scout|Накидка лесовика-разведчика
itm_woodman_padded|Стеганка лесовика
itm_beorn_tunic|Беорнингская туника
itm_beorn_padded|Беорнингская стёганка
itm_beorn_heavy|Беорнингская тяжёлая броня
itm_beorn_berserk|Беорнингская одежда берсерка
itm_beorn_chief|Беорнингская одежда вождя
itm_beorn_helmet|Медвежий шлем
itm_beorn_shield|Щит северян
itm_beorn_axe|Беорнингский топор
itm_beorn_staff|Посох лесовика
itm_beorn_battle_axe|Беорнингская секира
itm_dwarf_shield_a|Гномий угловой щит
itm_dwarf_shield_b|Гномий ростовой щит
itm_dwarf_shield_c|Гномий боевой щит
itm_dwarf_shield_d|Гномий круглый щит
itm_north_round_shield|Северный круглый щит
itm_woodmen_heavy|Броня Лихолесья
itm_dwarf_sword_a|Гномий меч
itm_dwarf_sword_b|Беорнингский скрамасакс
itm_dwarf_sword_c|Гномий меч
itm_dwarf_sword_d|Гномий меч
itm_dwarf_battle_axe|Гномий боевой топор
itm_dwarf_great_axe|Гномий большой топор
itm_dwarf_great_mattock|Гномья большая мотыга
itm_dwarf_great_pick|Гномья большая кирка
itm_dwarf_throwing_axe_reward|Эреборские метательные топоры 
itm_dwarf_mattock|Гномья мотыга
itm_dwarf_hand_axe|Гномий топорик
itm_dwarf_throwing_axe|Метательные топоры гномов
itm_dwarf_spear|Гномье копьё
itm_dwarf_spear_b|Гномья пика
itm_dwarf_spear_c|Гномий длинный топор
itm_dwarf_helm_coif|Гномий койф
itm_dwarf_nasal_b|Гномий шлем с наносником
itm_north_skullcap|Северний черепник
itm_dwarf_helm_kettle|Гномья шапель
itm_dwarf_helm_fris|Гномий хохлатый шлем
itm_north_leather_skullcap|Северный лёгкий черепник
itm_dwarf_hood|Гномий капюшон
itm_dwarf_nasal|Гномий топфхельм с носовой пластиной
itm_north_nasal_helm|Северный шлем с наносником
itm_dwarf_helm_p|Гномий королевский шлем
itm_dwarf_miner|Гномий лёгкий шлем
itm_north_chieftain|Северный шлем предводителя
itm_dwarf_helm_round|Гномий закруглённый шлем
itm_dwarf_helm_sallet|Гномий саллет
itm_dwarf_armor_d|Чешуйчатая куртка Железных Холмов
itm_dwarf_armor_a|Эреборская куртка поверх кольчуги
itm_leather_dwarf_armor|Гномья подбитая куртка
itm_dwarf_armor_b|Эреборская рубаха поверх кольчуги
itm_leather_dwarf_armor_b|Гномья подбитая кожанка
itm_dwarf_armor_c|Эреборская чешуйчатая кольчуга
itm_dwarf_vest|Гномья одежда
itm_dwarf_vest_b|Кольчуга Железных Холмов
itm_dwarf_pad_boots|Гномьи подбитые сапоги
itm_dwarf_chain_boots|Гномьи кольчужные чулки
itm_dwarf_scale_boots|Гномьи чешуйчатые сапоги
itm_good_mace|Булава
itm_mordor_banner|Мордорское знамя
itm_isengard_banner|Изенгардское знамя
itm_woodelf_banner|Темнолесское знамя
itm_lorien_banner|Лориэнское знамя
itm_imladris_banner|Ривендельское знамя
itm_gondor_lance_banner|Гондорское копьё с флажком
itm_amroth_lance_banner|Дол-амротское копьё с флажком
itm_rohan_lance_banner_sun|Роханское копьё со знаменем солнца
itm_rohan_lance_banner_horse|Роханское копьё со знаменем коня
itm_fur_gloves_reward|Перчатки Охотника
itm_ent_water|Странная чаша с водой
itm_map|Карты Средиземья
itm_athelas_reward|Сушеные листья Ателаса
itm_phial_reward|Светоч Галадриэли
itm_scroll_reward|О падении Гондолина
itm_hammer_reward|Кузнечный молот
itm_khand_knife_reward|Хандский жертвенный кинжал
itm_angmar_whip_reward|Кнут Господина
itm_horn_gondor_reward|Рог Гондора
itm_harad_totem_reward|Харадский тотем
itm_elven_amulet_reward|Эльфийский амулет
itm_torque_reward|Ожерелье зла
itm_orc_brew|Орочье пойло
itm_rohan_saddle|Седло
itm_mearas_reward|Жеребец-меар
itm_shield_of_tuor|Щит Туора
itm_riv_armor_reward|Ривендельская украшенная броня
itm_westernesse1h_reward|Нуменорский меч
itm_westernesse2h_reward|Меч Великого Змея
itm_mirkwood_sword_reward|Зеленолесский священный меч
itm_nazgul_sword|Меч Назгула
itm_cooking_cauldron|Котёл
itm_eorl_cavalry_sword|Меч Эорла
itm_garlic_reward|Чеснок
itm_silmarillion_reward|Сильмариллион
itm_herbarium_reward|Гербарий Средиземья
itm_book_of_moria|Книга Мазарбул
itm_ring_a_reward|Тулкарисиль
itm_ring_b_reward|Финварисиль
itm_dale_bow_reward|Лук Барда
itm_tome_of_knowledge|Фолиант тайных знаний
itm_orc_idol_reward|Идол первого орка
itm_crebain_reward|Кребайн
itm_miruvor_reward|Фляжка мирувора
itm_wheeled_cage|Клетка для Пленных
itm_orc_throwing_axes_reward|Гундабадские метательные топоры 
itm_corsair_throwing_dagger_reward|Отравленные метательные кинжалы
itm_dwarf_shield_reward|Щит Келед-Зарама
itm_dwarf_great_axe_reward|Топор убийцы троллей
itm_isen_uruk_heavy_reward|Броня воеводы урук-хай
itm_lorien_bow_reward|Нолдорский лук
itm_elven_cloak|Эльфийский Плащ
itm_dale_sword_reward|Меч Стража Границ
itm_dale_armor_reward|Дэйльская Кольчуга Дружинника
itm_leather_gloves_reward|Перчатки Лучника
itm_beorn_shield_reward|Медвежий Щит
itm_beorn_axe_reward|Медвежья Палица
itm_drums_of_the_deep|Барабаны Бездны
itm_khamul_helm|Шлем Хамула
itm_black_arrows_reward|Черные Стрелы
itm_leather_boots_reward|Охотничьи Сапоги
itm_rohan_armor_th|Роханская королевская броня
itm_wilderness_cowl|Капюшон охотника
itm_prisoner_coll_chain|Кандалы
itm_witchking_helmet|Маска чародея
itm_feet_chains|Кандалы на ноги
itm_feet_chains_dwarf|Кандалы на ноги
itm_spider|Паук
itm_bear|Медведь
itm_wolf|Волк
itm_werewolf|Оборотень
itm_thrush_reward|Дрозд
itm_gauntlets_reward|Железные Персты
itm_stones_siege|Осадные Камни
itm_beorn_axe_no_attack|Беорнингская Секира
itm_animal_spider|Паук
itm_animal_bear|Медведь
itm_animal_wolf|Волк
itm_animal_werewolf|Оборотень
