menu_start_game_1|^^^^^^^^^^Per cosa combatti ?
menu_gondor_reinforcement_event|^^^^^ le Torri-Faro di Gondor sono accese, Minas Tirith chiede aiuto ! ^^ I signori dei feudi meridionali marceranno ora verso nord per difendere la Città Bianca contro l'oscurità incombente.
mno_gondor_reinforcement_event_close|Chiudi
menu_gondor_beacons|Alzi lo sguardo verso {s1}, uno dei fari di segnalazione di Gondor, usato per diffondere l'allarme nel nord e nel sud di Gondor stessa.
mno_gondor_beacons_close|Vattene...
menu_player_added_to_war_council|^^^^^È giunto un messaggero che ti ha riferito che adesso, poiché sei {s24}, {s2} ha richiesto che tu faccia parte del suo Consiglio di Guerra. Da adesso puoi suggerire strategie che potranno influenzare il corso di questa guerra.
mno_player_added_to_war_council_close|Chiudi
menu_player_added_to_siege_reports|^^^^^È giunto un messaggero e ti ha riferito che ora, in qualità di {s24}, riceverai un rapporto ogni volta che {s2} assedierà un centro o quando un centro appartenente a {s2} verrà assediato.
mno_player_added_to_siege_reports_close|Chiudi
menu_player_added_to_allow_follow|^^^^^È giunto un messaggero, ti riferisce che adesso in qualità di {s24}, avrai facoltà di comandare {s2} perché ti seguano, per un totale di {reg55} al seguito.
mno_player_added_to_allow_follow_close|Chiudi
menu_center_besieged_event|^^^^^Giunge un messaggero informando che {s1} è sotto assedio da parte di {s2} di {s3}.
mno_center_besieged_event_close|Chiudi
menu_guardian_party_spawned|^^^^^Gli esploratori riferiscono che {s6} ha radunato un grande esercito nei pressi di {s7}, in un ultimo disperato tentativo di difendere la capitale.
mno_intro_next|Continua...
mno_start_defend_caravan|Difendi la Carovana !
mno_start_raid_caravan|Saccheggia la Carovana !
mno_start_ambush_orcs|Attacca gli Orchi !
mno_start_kill_scouts|Ferma gli esploratori dal segnalare il tuo arrivo !
mno_go_your_way|Lasciali al loro destino
mno_defend_villagers|Difendi gli abitanti del villaggio !
mno_raid_villagers|Razzia il Villaggio !
mno_go_away|Partite e radunatevi, per ora.
menu_scout_camp_quest|Scorgi l'accampamento degli esploratori nelle vicinanze. Prepari i tuoi uomini per attaccarli.
mno_attack_scout_camp|Attacca il campo degli esploratori !
menu_sea_battle_quest|Incontri una flotta nemica. Le navi si avvicinano e i marinai calano le passerelle...
mno_sb_defend_the_town|Abbordiamoli ! Distruggiamo la loro flotta !
mno_sb_attack_the_town|Cercano di bloccarci ! Difendete la flotta !
menu_camp_field_ai|^^^^^Fare click su un'opzione per variarla.^^^Disattivare una o più scelte migliorerà le prestazioni (FPS)
mno_lord_field_ai|I Lords hanno una IA migliore sul campo: {s7}
mno_horse_archer_field_ai|Gli arcieri in sella hanno una IA migliorata in battaglia: {s7}
mno_vs_orcs_field_ai|Gli arcieri hanno una mira migliore contro gli orchi (non tirano al di sopra delle loro teste): {s7}
mno_battlefield_animals|Non-Warg / Compagni cavalcabili generati in battaglia: {s7}
mno_slow_when_wounded|Rallentamento se feriti:  {s7}
mno_battle_encounter_effects|Effetti Speciali della Fazione influenzano il campo di battaglia (es. tempeste, nebbie):  {s7}
menu_hungry_orc|niente
menu_leaving_elf|niente
mno_defend_refugees|Tieni gli occhi aperti per i razziatori...
mno_attack_refugees|Attacca la carovana di profughi...
mno_leave_refugees|Lasciamoli, per il momento...
mno_evil_war_tut_continue|Continua...
menu_alternate_training_fight|Affronterai {reg5} avversari. Iniziamo?
mno_training_continue|Inizio addestramento...
menu_alternate_training_conclusion|{s5}
mno_alternate_training_retry|Prova ancora...
mno_alternate_training_finish|Lascia l'arena...
menu_custom_battle_choose_faction1|^^^^^^^^^^Scegli il tuo lato e il vantaggio:
mno_good_equal|Fazione buona
mno_bad_equal|Fazione malvagia
mno_replay_prev|Utilizza le impostazioni precedenti
menu_custom_battle_choose_faction2|^^^^^^^^^^Scegli una fazione buona
mno_cb_gondor|Gondor
mno_cb_gondor1|Rohan
mno_cb_gondor2|Lothlorien
mno_cb_gondor3|Gran Burrone
mno_cb_gondor4|Bosco Atro
mno_cb_gondor5|Nani
mno_cb_gondor6|Dale
mno_cb_gondor7|Popolo di Beorn
menu_custom_battle_choose_faction3|^^^^^^^^^^Scegli una fazione malvagia
mno_cb_mordor|Mordor
mno_cb_mordor1|Isengard
mno_cb_mordor2|Dunland
mno_cb_mordor3|Haradrim
mno_cb_mordor4|Esterling
mno_cb_mordor5|Moria
mno_cb_mordor6|Gundabad 
mno_cb_mordor7|Rhûn
mno_cb_mordor8|Corsari
mno_rescue_mission|Intrufolati nel covo dello stregone con il favore della notte.
mno_next_rescue_scene_door|Prosegui !
mno_pick_troops1|Scegli compagni per la missione, {reg0} selezionati
menu_pick_troops|Chi vorresti portare con te, nella missione furtiva ?    ^Solo le tue truppe e i tuoi compagni più lesti saranno in grado di unirsi a te.    ^In qualità di membro con le più elevate competenze in mimetizzazione, {reg65?{s1} consiglia:stabilisci} di portare fino a {reg11} persone con te.    ^^Attualmente hai selezionato {reg0} compagni.
mno_go_forward|Chiudi la selezione dei compagni e procedi.
menu_burial_mound|Ti avvicini al tumulo di {s1} di {s2}. Sconfitto in battaglia dalle forze di {s28}. È ricoperto dalle armi dentellate dei suoi nemici caduti.
mno_pay_respects|Inginocchiati e rendi omaggio.
mno_swear_oath|Presta un giuramento di vendetta !
mno_despoil|Dissacra il sito
mno_leave_mound|Abbandona il tumulo.
menu_burial_mound_respects|Ti inginocchi e rendi omaggio a {s1}, sussurri silenziosamente una preghiera per un veloce viaggio verso l'aldilà. Non c'è più niente da fare qui.
menu_burial_mound_oath|Pronunci ad alta voce un giuramento per vendicare la morte di {s4}. Cercherai implacabilmente le forze di {s3} fino a quando non le avrai annientate. Le tue parole vengono portate lontano dal vento, chi può dire che non siano state udite persino oltre il mare ? 
menu_funeral_pyre_oath|Pronunci ad alta voce un giuramento per vendicare la morte di {s4}. Cercherai implacabilmente le forze di {s3} fino a quando non le avrai annientate. Le tue parole vengono portate lontano dal vento, chi può dire che non siano state udite persino oltre il mare ? 
mno_leave_pyre_oath|Abbandona la pira funebre.
menu_burial_mound_despoil|Fai a pezzi il monumento a {s1} con le tue stesse mani e maledici perfino le sue pietre con anatemi, canti crudeli e gesti inenarrabili. I tuoi seguaci si fanno da parte per paura dei morti, ma sembra che tu sia riuscito a rinnovare il loro rispetto per la tua malvagità.
menu_funeral_pyre|Ti avvicini ai resti carbonizzati della pira funebre di {s3} di {s2}, sconfitto in battaglia dalle forze di {s28}. Qui, il cadavere è stato bruciato cerimonialmente dalle sue guardie del corpo personali. Non rimane nulla di valore.
mno_leave_pyre|Abbandona la pira.
menu_town_ruins|Quando ti avvicini, vedi che {s1} è {s2}
mno_ruin_menu_0|Esplora il luogo.
mno_ruin_leave|Vattene...
menu_premutiny|niente
menu_death|Hai subito un colpo mortale. Anche se la guerra continua ad infuriare, tu non potrai più farne parte.
menu_animal_ambush|Tu e i tuoi compagni vi trovate separati dal resto della compagnia, quando improvvisamente...
menu_animal_ambush_success|I {s2} {reg0?cadono:cadono} davanti a te come spighe di grano sotto la falce ! In poco tempo tutti i tuoi nemici giacciono sul terreno, morti o feriti. {s3}
menu_animal_ambush_fail|Le bestie mordono e feriscono te {reg0?,: e i tuoi compagni{reg2?,:,}} ma fortunatamente riuscite a respingerli. Forse non vi attaccheranno ancora.
menu_isengard_flooding|^^^^^@Ti trovi in mezzo ai cadaveri dei nemici e agli alleati trionfanti, inclusi gli Ent; essi ruggiscono, rimbombano facendo risuonare le loro voci, fin quando le pietre della torre di Orthanc non si frantumano cadendo. Risuonano come un'ululante tempesta che rompe pilastri, scaglia valanghe di massi lungo i pozzi, lancia enormi lastre di pietra in aria come fossero foglie... Non assomiglia a nulla che tu abbia visto prima.^^ Bregalad - o Sveltolampo come a te è noto - ti raggiunge a grandi passi e si ferma per avvertirti, '{playername} ! Fa attenzione ! Allontanati dalla Torre - ben presto diroccheremo la diga e faremo irrompere l'Isen in questa vallata, per un certo tempo. Troverai arduo rimanere qui, credo!' Segui rapidamente il suo consiglio e ti allontani da Orthanc.^^ Verso mezzanotte Isengard comincia ad essere invasa dalle acque formando inquietanti pozze nere. Non puoi fare a meno di rabbrividire alla vista dei fumi che formano altissime colonne, mentre una grande spirale di vapore si alza serpeggiando avvolgendo la Torre, fino a quando assume la somiglianza di un elevato strato di nubi, con la parte di sotto infuocata e quella superiore illuminata dalla luna. L'ira degli Ent è lenta, ma dotata di una potenza inesorabile.
mno_isengard_continue|Continua
menu_build_your_scene|Qui puoi costruire il tuo scenario di battaglia personalizzato, usando una delle slot qua sotto e l'Editor del gioco (Devi prima togliere il flag dal quadratino "Edit Mode" nelle opzioni del launcher di M&B).^Poi, puoi verificare gli scenari che hai costruito (con estensione .sco dalla cartella TLD/SceneObj) e inviarli al team di sviluppo di TLD e, se la tua scena risultasse valida, potrà essere inclusa nelle prossime versioni della mod come contesto di una battaglia !^^ Prova anche a specificare in quale regione della mappa vuoi che la tua scena appaia.^ Un paio di suggerimenti: Cerca di evitare di inserire acque troppo profonde, montagne troppo grandi o appuntite e altri sentieri in cui non si può passare, eccetto se sei uno sceneggiatore con molta esperienza e sai come cambiare l'AI delle truppe per non andare in un posto dove non vuoi che vadano, e quindi imporre alla IA di prendere altre direzioni.^ (Gruppi #0-1 sono per gli attaccanti, #4 per i difensori, non toccare #5-8).
mno_scene1|Grande Pianura (file scn custom 1.sco)
mno_scene2|Pianura Media (file scn custom 2.sco)
mno_scene3|Piccola Pianura (file scn custom 3.sco)
mno_scene4|Grande Steppa (file scn custom 4.sco)
mno_scene5|Steppa Media (file scn custom 5.sco)
mno_scene6|Piccola Steppa (file scn custom 6.sco)
mno_scene7|Foresta Grande (file scn custom 7.sco)
mno_scene8|Foresta Media (file scn custom 8.sco)
mno_scene9|Foresta Piccola (file scn custom 9.sco)
mno_back_3dot|Indietro...
mno_back|Torna Indietro
mno_next|Successivamente...
