itm_horse_meat|Carne di cavallo
itm_khand_foot_lam|Armatura di Fanteria Pesante di Khand
itm_khand_med_lam|Armatura Lamellare Media del Khand
itm_khand_heavy_lam|Armatura Lamellare Pesante del Khand
itm_khand_mail|Cotta di Maglia di Khand
itm_khand_noble_lam|Armatura da Nobile del Khand
itm_khand_axe_great|Ascia Suprema del Khand
itm_khand_axe_winged|Ascia Bipenne del Khand
itm_khand_halberd|Alabarda del Khand
itm_khand_trident|Tridente del Khand
itm_khand_voulge|Voulge del Khand
itm_khand_mace1|Mazza del Khand
itm_khand_mace2|Mazza del Khand
itm_khand_throwing_axe|Ascia da Lancio di Khand
itm_khand_rammace|Mazza del'ariete del Khand
itm_khand_pitsword|Spada da Combattente della Fossa
itm_khand_tulwar|Talwar del Khand
itm_khand_2h_tulwar|Grande Talwar di Khand
itm_khand_lance|Lancia del Khand
itm_easterling_round_horseman|Scudo Rotondo Easterling
itm_variag_gladiator_shield|Scudo delle Fosse Easterling
itm_easterling_hawk_shield|Scudo dell'Aquila Easterling
itm_rhun_bull1_shield|Scudo Di Rhûn
itm_rhun_bull2_shield|Scudo Di Rhûn
itm_rhun_bull3_shield|Scudo Di Rhûn
itm_rhun_shield|Scudo a Mandorla di Rhûn
itm_rhun_armor_a|Tenuta Leggera da Battaglia di Rhûn
itm_rhun_armor_b|Tenuta Leggera da Battaglia di Rhûn
itm_rhun_armor_d|Tenuta Leggera da Battaglia di Rhûn
itm_rhun_armor_g|Tenuta Pesante da Battaglia di Rhûn
itm_rhun_armor_h|Tenuta Pesante da Battaglia di Rhûn
itm_rhun_armor_j|Tenuta da Combattimento Media di Rhûn
itm_rhun_armor_m|Tenuta da Combattimento Media di Rhûn
itm_rhun_armor_n|Tenuta da Combattimento Media di Rhûn
itm_rhun_armor_o|Tenuta da Combattimento Media di Rhûn
itm_rhun_armor_p|Armatura da Nobile di Rhûn
itm_rhun_armor_k|Armatura da Nobile di Rhûn
itm_rhun_helm_chieftain|Elmo del Capoclan di Rhûn
itm_rhun_helm_pot|Elmo a Pentola di Rhûn
itm_rhun_helm_barbed|Elmo Spinato di Rhûn
itm_rhun_helm_round|Elmo Rotondo di Rhûn
itm_rhun_helm_leather|Elmo in Cuoio di Rhûn
itm_rhun_warpick|Picca da Guerra di Rhûn
itm_rhun_greataxe|Ascia a Due Mani di Rhûn
itm_rhun_battleaxe|Ascia da Battaglia di Rhûn
itm_rhun_falchion|Falcione Barbaro
itm_rhun_glaive|Falcione di Rhûn
itm_rhun_greatfalchion|Grande Falcione Barbaro
itm_rhun_greatsword|Grande Spada Barbara
itm_rhun_shortsword|Spada Corta Barbara
itm_rhun_sword|Spada Barbara
itm_rhun_mangler|Tritacarne di Rhûn
itm_dale_light_a|Giaccone della Milizia di Dale
itm_dale_light_b|Armatura Lamellare Leggera Nordica
itm_dale_med_a|Armatura Lamellare Pesante Nordica
itm_dale_med_b|Armatura in Pelle di Dale
itm_dale_med_c|Armatura in Pelle di Dale
itm_dale_med_d|Armatura Lamellare di Dale
itm_dale_heavy_a|Armatura Lamellare di Dale
itm_dale_heavy_b|Casacca con Piastre di Dale
itm_dale_heavy_c|Maglia del Rhovanion
itm_north_leather|Veste in Cuoio del Nord
itm_dale_helmet_a|Elmo Leggero da Fanteria di Dale
itm_dale_helmet_b|Elmo da Arciere Leggero di Dale
itm_dale_helmet_c|Elmo da Fanteria di Dale
itm_dale_helmet_d|Elmo da Arciere di Dale
itm_dale_helmet_e|Elmo Bardato
itm_dale_helmet_f|Elmo Bardato
itm_dale_sword|Spada Corta di Dale
itm_dale_sword_long|Spada Lunga di Dale
itm_dale_sword_broad|Spada da Fanteria di Dale
itm_dale_pike|Lancia di Dale
itm_dale_billhook|Roncola di Dale
itm_dale_shield_a|Scudo a Torre di Dale
itm_dale_shield_b|Scudo a Torre di Dale
itm_dale_shield_c|Scudo Tondo di Dale
itm_umb_armor_a|Veste in Pelle Corsara
itm_umb_armor_b|Armatura in Cuoio da Corsaro
itm_umb_armor_c|Armatura Leggera Corsara
itm_umb_armor_d|Armatura Corsara
itm_umb_armor_e|Usbergo da Corsaro
itm_umb_armor_f|Armatura Nobile Corsara
itm_umb_helm_a|Elmo a Conchiglia da Corsaro
itm_umb_helm_b|Alto Elmo Corsaro
itm_umb_helm_c|Elmo da Miliziano Corsaro 
itm_umb_helm_d|Elmo da Predone Corsaro
itm_umb_helm_reward|Antico Karma Numenoreano
itm_corsair_trident|Tridente della Furia Marina
itm_corsair_boots|Stivali da Corsaro
itm_umb_shield_a|Scudo Corsaro
itm_umb_shield_b|Brocchiero da Corsaro
itm_umb_shield_c|Brocchiero da Corsaro
itm_umb_shield_d|Brocchiero da Corsaro
itm_umbar_spear|Picca Corta di Umbar
itm_umbar_cutlass|Sciabola da Corsaro di Humbar
itm_kraken|Sciabola Corsara del Kraken
itm_umbar_rapier|Spada da Arrembaggio di Umbar
itm_corsair_harpoon|Arpione da Corsaro
itm_corsair_sword|Eket da Corsaro
itm_corsair_throwing_dagger|Pugnali da Lancio Ricurvi
itm_umbar_pike|Tridente Corsaro
itm_woodman_tunic|Tunica Beorniana
itm_woodman_scout|Tunica da Esploratore di Beorn
itm_woodman_padded|Tunica Beorniana Imbottita
itm_beorn_tunic|Tunica di Beorn
itm_beorn_padded|Armatura Imbottita di Beorn
itm_beorn_heavy|Armatura Pesante di Beorn
itm_beorn_berserk|Equipaggiamento da Berserker di Beorn
itm_beorn_chief|Tunica da Capoclan di Beorn
itm_beorn_helmet|Elmo a Teschio d'Orso
itm_beorn_shield|Scudo degli Uomini del Nord 
itm_beorn_axe|Ascia di Beorn
itm_beorn_staff|Asta Beorniana
itm_beorn_battle_axe|Ascia da Guerra di Beorn
itm_dwarf_shield_a|Scudo Angolare Nanico
itm_dwarf_shield_b|Scudo a Torre Nanico
itm_dwarf_shield_c|Scudo da Combattimento Nanico
itm_dwarf_shield_d|Scudo Tondo Nanico
itm_north_round_shield|Scudo Tondo Nordico
itm_woodmen_heavy|Armatura di Bosco Atro
itm_dwarf_sword_a|Spada Nanica
itm_dwarf_sword_b|Spada Corta Nanica
itm_dwarf_sword_c|Spada Nanica
itm_dwarf_sword_d|Spada Nanica
itm_dwarf_battle_axe|Ascia da Battaglia Nanica
itm_dwarf_great_axe|Scure a Due Mani Nanica
itm_dwarf_great_mattock|Piccone a Due Mani Nanico
itm_dwarf_great_pick|Piccozza a Due Mani Nanica
itm_dwarf_throwing_axe_reward|Asce Volanti di Erebor
itm_dwarf_mattock|Piccone Nanico
itm_dwarf_hand_axe|Accetta Nanica
itm_dwarf_throwing_axe|Asce da Lancio Naniche
itm_dwarf_spear|Lancia Nanica
itm_dwarf_spear_b|Picca Nanica
itm_dwarf_spear_c|Ascia Lunga Nanica
itm_dwarf_helm_coif|Elmo Nanico
itm_dwarf_nasal_b|Elmo Nasale Nanico
itm_north_skullcap|Elmo da Uomo del Nord
itm_dwarf_helm_kettle|Elmo a Pentola Nanico
itm_dwarf_helm_fris|Elmo Frigio Nanico
itm_north_leather_skullcap|Elmo a Teschio Nordico
itm_dwarf_hood|Cappuccio Nanico
itm_dwarf_nasal|Grande Elmo con Protezione Nasale Nanico
itm_north_nasal_helm|Elmo Nasale Nordico
itm_dwarf_helm_p|Elmo da Re Nanico
itm_dwarf_miner|Elmo Leggero Nanico
itm_north_chieftain|Elmo da Capitano Nordico
itm_dwarf_helm_round|Elmo Tondo Nanico
itm_dwarf_helm_sallet|Celata Nanica
itm_dwarf_armor_d|Casacca a Strati delle Colline Ferrose
itm_dwarf_armor_a|Sopravveste in maglia di Erebor
itm_leather_dwarf_armor|Gambesone Imbottito Nanico
itm_dwarf_armor_b|Tunica in maglia di Erebor
itm_leather_dwarf_armor_b|Giustacuore Imbottito Nanico
itm_dwarf_armor_c|Maglia a Scaglie di Erebor
itm_dwarf_vest|Tunica Nanica
itm_dwarf_vest_b|Cotta di Maglia dei Colli Ferrosi
itm_dwarf_pad_boots|Stivali Imbottiti Nanici
itm_dwarf_chain_boots|Gambali in Cotta di Maglia Nanici
itm_dwarf_scale_boots|Stivali a Scaglie Nanici
itm_good_mace|Mazza
itm_mordor_banner|Stendardo di Mordor
itm_isengard_banner|Stendardo di Isengard
itm_woodelf_banner|Stendardo di Bosco Atro
itm_lorien_banner|Stendardo di Lothlorien
itm_imladris_banner|Stendardo di Gran Burrone
itm_gondor_lance_banner|Lancia con Stendardo di Gondor
itm_amroth_lance_banner|Lancia con Stendardo di Dol Amroth
itm_rohan_lance_banner_sun|Lancia di con Insegne del Sole di Rohan
itm_rohan_lance_banner_horse|Lancia con Insegne del Cavallo di Rohan
itm_fur_gloves_reward|Guanti da Caccia
itm_ent_water|Strana Ciotola d'Acqua
itm_map|Mappe della Terra di Mezzo
itm_athelas_reward|Foglie Essiccate di Athelas
itm_phial_reward|Luce di Galadriel
itm_scroll_reward|Sulla Caduta di Gondolin
itm_hammer_reward|Martello del Fabbro
itm_khand_knife_reward|Coltello Sacrificale del Khand
itm_angmar_whip_reward|Frusta del Padrone
itm_horn_gondor_reward|Corno di Gondor
itm_harad_totem_reward|Totem Haradrim
itm_elven_amulet_reward|Amuleto Elfico
itm_torque_reward|Torque dei Malvagi 
itm_orc_brew|Liquore degli Orchi
itm_rohan_saddle|Sella
itm_mearas_reward|Stallone Mearh
itm_shield_of_tuor|Scudo di Tuor
itm_riv_armor_reward|Armatura Decorata di Gran Burrone
itm_westernesse1h_reward|Spada dell'Ovesturia
itm_westernesse2h_reward|Spada dell'Ovesturia
itm_mirkwood_sword_reward|Spada reliquia di Boscoverde
itm_nazgul_sword|Spada Malvagia
itm_cooking_cauldron|Calderone
itm_eorl_cavalry_sword|Spada di Eorl
itm_garlic_reward|Aglio
itm_silmarillion_reward|Silmarillion
itm_herbarium_reward|Erbario della Terra di Mezzo
itm_book_of_moria|Libro di Mazarbul
itm_ring_a_reward|Tulcarisil
itm_ring_b_reward|Finwarisil
itm_dale_bow_reward|Arco di Bard
itm_tome_of_knowledge|Tomo della Conoscenza Arcana
itm_orc_idol_reward|Idolo del Primo Orco
itm_crebain_reward|Crebain
itm_miruvor_reward|Fiaschetta di Miruvor
itm_wheeled_cage|Gabbia Gigante Rotante
itm_orc_throwing_axes_reward|Accette Volanti di Gundabad
itm_corsair_throwing_dagger_reward|Daghe da Lancio Avvelenate
itm_dwarf_shield_reward|Scudo di Kheled-zaram
itm_dwarf_great_axe_reward|Accetta Nanica Affilata
itm_isen_uruk_heavy_reward|Armatura da generale Uruk-Hai
itm_lorien_bow_reward|Arco Noldor
itm_elven_cloak|Mantello Elfico
itm_dale_sword_reward|Spada Reale di Dale
itm_dale_armor_reward|Cotta Nobile di Dale
itm_leather_gloves_reward|Guanti da Arciere
itm_beorn_shield_reward|Scudo di Beorn
itm_beorn_axe_reward|Mazza Orso
itm_drums_of_the_deep|Tamburi dell'Abisso
itm_khamul_helm|Elmo di Khamul
itm_black_arrows_reward|Frecce Nere
itm_leather_boots_reward|Stivali da Cacciatore
itm_rohan_armor_th|Armatura Reale di Rohan
itm_wilderness_cowl|Cappuccio da Cacciatore
itm_prisoner_coll_chain|Catene del Prigioniero
itm_witchking_helmet|Maschera da Stregone
itm_feet_chains|Catene per le Caviglie
itm_feet_chains_dwarf|Catene per le Caviglie
itm_spider|Ragno
itm_bear|Orso
itm_wolf|Lupo
itm_werewolf|Mannaro
itm_thrush_reward|Tordo
itm_gauntlets_reward|Manopole di Ferro
itm_stones_siege|Pietre d'Assedio
itm_beorn_axe_no_attack|Ascia di Beorn
