trp_unarmed_troop|Unarmed Troop
trp_i5_far_harad_panther_guard_pl|Panther Guards
trp_i1_dun_wildman|Dunnish Wildman
trp_i1_dun_wildman_pl|Dunnish Wildmen
trp_i2_dun_warrior|Dunnish Warrior
trp_i2_dun_warrior_pl|Dunnish Warriors
trp_i3_dun_pikeman|Dunnish Pikeman
trp_i3_dun_pikeman_pl|Dunnish Pikemen
trp_i4_dun_vet_pikeman|Dunnish Veteran Pikeman
trp_i4_dun_vet_pikeman_pl|Dunnish Veteran Pikemen
trp_ac4_dun_crebain_rider|Dunnish Crebain Rider
trp_ac4_dun_crebain_rider_pl|Dunnish Crebain Riders
trp_i3_dun_vet_warrior|Dunnish Veteran Warrior
trp_i3_dun_vet_warrior_pl|Dunnish Veteran Warriors
trp_i4_dun_wolf_warrior|Dunnish Wolf Warrior
trp_i4_dun_wolf_warrior_pl|Dunnish Wolf Warriors
trp_i5_dun_wolf_guard|Dunnish Wolf Guard
trp_i5_dun_wolf_guard_pl|Dunnish Wolf Guards
trp_ac5_dun_raven_rider|Dunnish Night Raven
trp_ac5_dun_raven_rider_pl|Dunnish Night Ravens
trp_i1_khand_bondsman|Khand Bondsman
trp_i1_khand_bondsman_pl|Khand Bondsmen
trp_i2_khand_pit_dog|Khand Pit Dog
trp_i2_khand_pit_dog_pl|Khand Pit Dogs
trp_i3_khand_warrior|Khand Warrior
trp_i3_khand_warrior_pl|Khand Warriors
trp_i4_khand_vet_warrior|Khand Veteran Warrior
trp_i4_khand_vet_warrior_pl|Khand Veteran Warriors
trp_i5_khand_war_master|Variag War Master
trp_i5_khand_war_master_pl|Variag War Masters
trp_c2_khand_pony_rider|Khand Pony Rider
trp_c2_khand_pony_rider_pl|Khand Pony Riders
trp_c3_khand_horseman|Khand Horseman
trp_c3_khand_horseman_pl|Khand Horsemen
trp_c4_khand_heavy_horseman|Khand Heavy Horseman
trp_c4_khand_heavy_horseman_pl|Khand Heavy Horsemen
trp_c5_khand_kataphrakt|Variag Ironclad
trp_c5_khand_kataphrakt_pl|Variag Ironclads
trp_c5_khand_lance_kataphrakt|Variag Lancer
trp_c5_khand_lance_kataphrakt_pl|Variag Lancers
trp_i4_khand_halberdier|Khand Glaiveman
trp_i4_khand_halberdier_pl|Khand Glaivemen
trp_i5_khand_halberd_master|Variag Halberd Master
trp_i5_khand_halberd_master_pl|Variag Halberd Masters
trp_i3_khand_pitfighter|Khand Pit Fighter
trp_i3_khand_pitfighter_pl|Khand Pit Fighters
trp_i4_khand_pit_champion|Khand Pit Champion
trp_i4_khand_pit_champion_pl|Khand Pit Champions
trp_i5_khand_pit_master|Variag Master of the Pits
trp_i5_khand_pit_master_pl|Variag Masters of the Pits
trp_ac3_khand_skirmisher|Khand Skirmisher
trp_ac3_khand_skirmisher_pl|Khand Skirmishers
trp_ac4_khand_vet_skirmisher|Khand Veteran Skirmisher
trp_ac4_khand_vet_skirmisher_pl|Khand Veteran Skirmishers
trp_ac5_khand_heavy_skirmisher|Variag Heavy Skirmisher
trp_ac5_khand_heavy_skirmisher_pl|Variag Heavy Skirmishers
trp_i1_corsair_youth|Umbar Sailor
trp_i1_corsair_youth_pl|Umbar Sailors
trp_i2_corsair_warrior|Umbar Warrior
trp_i2_corsair_warrior_pl|Umbar Warriors
trp_i3_corsair_spearman|Spearman of Umbar
trp_i3_corsair_spearman_pl|Spearmen of Umbar
trp_i4_corsair_raider|Corsair Raider
trp_i4_corsair_raider_pl|Corsair Raiders
trp_i5_corsair_night_raider|Corsair Night Raider
trp_i5_corsair_night_raider_pl|Corsair Night Raiders
trp_a2_corsair_marine|Umbar Marine
trp_a2_corsair_marine_pl|Umbar Marines
trp_a3_corsair_marksman|Marksman of Umbar
trp_a3_corsair_marksman_pl|Marksmen of Umbar
trp_a4_corsair_veteran_marksman|Veteran Marksman of Umbar
trp_a4_corsair_veteran_marksman_pl|Veteran Marksmen of Umbar
trp_a5_corsair_master_marksman|Corsair Master Marksman
trp_a5_corsair_master_marksman_pl|Corsair Master Marksmen
trp_i3_corsair_swordsman|Swordsman of Umbar
trp_i3_corsair_swordsman_pl|Swordsmen of Umbar
trp_i4_corsair_veteran_swordsman|Veteran Swordsman of Umbar
trp_i4_corsair_veteran_swordsman_pl|Veteran Swordsmen of Umbar
trp_i5_corsair_master_swordsman|Corsair Swordmaster
trp_i5_corsair_master_swordsman_pl|Corsair Swordmasters
trp_a4_corsair_assassin|Corsair Assassin
trp_a4_corsair_assassin_pl|Corsair Assassins
trp_a5_corsair_master_assassin|Corsair Assassin
trp_a5_corsair_master_assassin_pl|Corsair Assassins
trp_i4_corsair_veteran_spearman|Veteran Spearman of Umbar
trp_i4_corsair_veteran_spearman_pl|Veteran Spearmen of Umbar
trp_i5_corsair_master_spearman|Spearmaster of Umbar
trp_i5_corsair_master_spearman_pl|Spearmasters of Umbar
trp_i5_corsair_master_pikeman|Pikemaster of Umbar
trp_i5_corsair_master_pikeman_pl|Pikemasters of Umbar
trp_i1_isen_orc_snaga|Orc Snaga of Isengard
trp_i1_isen_orc_snaga_pl|Orc Snagas of Isengard
trp_i2_isen_orc|Orc of Isengard
trp_i2_isen_orc_pl|Orcs of Isengard
trp_i3_isen_large_orc|Large Orc of Isengard
trp_i3_isen_large_orc_pl|Large Orcs of Isengard
trp_i4_isen_fell_orc|Fell Orc of Isengard
trp_i4_isen_fell_orc_pl|Fell Orcs of Isengard
trp_i3_isen_large_orc_despoiler|Large Orc Despoiler
trp_i3_isen_large_orc_despoiler_pl|Large Orc Despoilers
trp_i4_isen_fell_orc_despoiler|Fell Orc Despoiler
trp_i4_isen_fell_orc_despoiler_pl|Fell Orc Despoilers
trp_ac2_isen_wolf_rider|Wolf Rider of Isengard
trp_ac2_isen_wolf_rider_pl|Wolf Riders of Isengard
trp_ac3_isen_warg_rider|Warg Rider of Isengard
trp_ac3_isen_warg_rider_pl|Warg Riders of Isengard
trp_ac4_isen_white_hand_rider|White Hand Rider
trp_ac4_isen_white_hand_rider_pl|White Hand Riders
trp_warg_ghost_1b|Warg
trp_warg_ghost_1b_pl|Wargs
trp_warg_ghost_1c|Warg
trp_warg_ghost_1c_pl|Wargs
trp_warg_ghost_1d|Warg
trp_warg_ghost_1d_pl|Wargs
trp_warg_ghost_a1b|Warg
trp_warg_ghost_a1b_pl|Wargs
trp_warg_ghost_a1c|Armored Warg
trp_warg_ghost_a1c_pl|Armored Wargs
trp_warg_ghost_a2b|Armored Warg
trp_warg_ghost_a2b_pl|Armored Wargs
trp_warg_ghost_a2c|Armored Warg
trp_warg_ghost_a2c_pl|Armored Wargs
trp_warg_ghost_a3a|Armored Warg
trp_warg_ghost_a3a_pl|Armored Wargs
trp_warg_ghost_h|Huge Warg
trp_warg_ghost_h_pl|Huge Wargs
trp_a2_isen_uruk_tracker|Uruk Hai Tracker
trp_a2_isen_uruk_tracker_pl|Uruk Hai Trackers
trp_a3_isen_large_uruk_tracker|Large Uruk Hai Tracker
trp_a3_isen_large_uruk_tracker_pl|Large Uruk Hai Trackers
trp_a4_isen_fighting_uruk_tracker|Fighting Uruk Hai Tracker
trp_a4_isen_fighting_uruk_tracker_pl|Fighting Uruk Hai Trackers
trp_i6_isen_uruk_berserker|Fighting Uruk Hai Berserker
trp_i6_isen_uruk_berserker_pl|Fighting Uruk Hai Berserkers
trp_i1_isen_uruk_snaga|Uruk Hai Newborn
trp_i1_isen_uruk_snaga_pl|Uruk Hai Newborns
trp_i2_isen_uruk|Uruk Hai of Isengard
trp_i2_isen_uruk_pl|Uruk Hai of Isengard
trp_i3_isen_large_uruk|Large Uruk Hai of Isengard
trp_i3_isen_large_uruk_pl|Large Uruk Hai of Isengard
trp_i4_isen_fighting_uruk_warrior|Fighting Uruk Hai Warrior
trp_i4_isen_fighting_uruk_warrior_pl|Fighting Uruk Hai Warriors
trp_i5_isen_fighting_uruk_champion|Fighting Uruk Hai Champion
trp_i5_isen_fighting_uruk_champion_pl|Fighting Uruk Hai Champions
trp_i3_isen_uruk_pikeman|Uruk Hai Pikeman
trp_i3_isen_uruk_pikeman_pl|Uruk Hai Pikemen
trp_i4_isen_fighting_uruk_pikeman|Fighting Uruk Hai Pikeman
trp_i4_isen_fighting_uruk_pikeman_pl|Fighting Uruk Hai Pikemen
trp_i5_isen_uruk_standard_bearer|Uruk Hai Standard Bearer
trp_i5_isen_uruk_standard_bearer_pl|Uruk Hai Standard Bearers
trp_i1_mordor_uruk_snaga|Uruk Snaga of Mordor
trp_i1_mordor_uruk_snaga_pl|Uruk Snagas of Mordor
trp_i2_mordor_uruk|Uruk of Mordor
trp_i2_mordor_uruk_pl|Uruks of Mordor
trp_i3_mordor_large_uruk|Large Uruk of Mordor
trp_i3_mordor_large_uruk_pl|Large Uruks of Mordor
trp_i4_mordor_fell_uruk|Fell Uruk of Mordor
trp_i4_mordor_fell_uruk_pl|Fell Uruks of Mordor
trp_i3_mordor_uruk_slayer|Uruk Slayer of Mordor
trp_i3_mordor_uruk_slayer_pl|Uruk Slayers of Mordor
trp_i4_mordor_fell_uruk_slayer|Fell Uruk Slayer of Mordor
trp_i4_mordor_fell_uruk_slayer_pl|Fell Uruk Slayers of Mordor
trp_i5_mordor_black_uruk|Black Uruk of Barad Dur
trp_i5_mordor_black_uruk_pl|Black Uruks of Barad Dur
trp_i5_mordor_uruk_standard_bearer|Mordor Standard Bearer
trp_i5_mordor_uruk_standard_bearer_pl|Mordor Standard Bearers
trp_troll_of_moria|Cave Troll
trp_troll_of_moria_pl|Cave Trolls
trp_armoured_troll|Armored Troll
trp_armoured_troll_pl|Armored Trolls
trp_olog_hai|Olog Hai of Mordor
trp_olog_hai_pl|Olog Hai of Mordor
trp_ent_old|Ent
trp_ent_old_pl|Ents
trp_i1_guldur_orc_snaga|Orc Snaga of Dol Guldur
trp_i1_guldur_orc_snaga_pl|Orc Snagas of Dol Guldur
trp_a2_guldur_orc_tracker|Orc Tracker of Dol Guldur
trp_a2_guldur_orc_tracker_pl|Orc Trackers of Dol Guldur
trp_i1_mordor_orc_snaga|Orc Snaga of Mordor
trp_i1_mordor_orc_snaga_pl|Orc Snagas of Mordor
trp_i2_mordor_orc|Orc of Mordor
trp_i2_mordor_orc_pl|Orcs of Mordor
trp_i3_mordor_large_orc|Large Orc of Mordor
trp_i3_mordor_large_orc_pl|Large Orcs of Mordor
trp_i4_mordor_fell_orc|Fell Orc of Mordor
trp_i4_mordor_fell_orc_pl|Fell Orcs of Mordor
trp_c3_mordor_warg_rider|Warg Rider of Gorgoroth
trp_c3_mordor_warg_rider_pl|Warg Riders of Gorgoroth
trp_c4_mordor_great_warg_rider|Great Warg Rider of Udun
trp_c4_mordor_great_warg_rider_pl|Great Warg Riders of Udun
trp_i2_mordor_morgul_orc|Orc of Minas Morgul
trp_i2_mordor_morgul_orc_pl|Orcs of Minas Morgul
trp_i4_mordor_fell_morgul_orc|Fell Orc of Minas Morgul
trp_i4_mordor_fell_morgul_orc_pl|Fell Orcs of Minas Morgul
trp_a3_guldur_large_orc_tracker|Large Orc Tracker of Dol Guldur
trp_a3_guldur_large_orc_tracker_pl|Large Orc Trackers of Dol Guldur
trp_a4_guldur_fell_orc_tracker|Fell Orc Tracker of Dol Guldur
trp_a4_guldur_fell_orc_tracker_pl|Fell Orc Trackers of Dol Guldur
trp_a2_mordor_orc_archer|Orc Archer of Mordor
trp_a2_mordor_orc_archer_pl|Orc Archers of Mordor
trp_a3_mordor_large_orc_archer|Large Orc Archer of Mordor
trp_a3_mordor_large_orc_archer_pl|Large Orc Archers of Mordor
trp_a4_mordor_fell_orc_archer|Fell Orc Archer of Mordor
trp_a4_mordor_fell_orc_archer_pl|Fell Orc Archers of Mordor
trp_c3_moria_wolf_rider|Wolf Rider of Moria
trp_c3_moria_wolf_rider_pl|Wolf Riders of Moria
trp_c4_moria_warg_rider|Warg Rider of Moria
trp_c4_moria_warg_rider_pl|Warg Riders of Moria
trp_c5_moria_clan_rider|Bolg Clan Rider
trp_c5_moria_clan_rider_pl|Bolg Clan Riders
trp_i1_moria_snaga|Snaga of Moria
trp_i1_moria_snaga_pl|Snagas of Moria
trp_i2_moria_goblin|Goblin of Moria
trp_i2_moria_goblin_pl|Goblins of Moria
trp_i3_moria_large_goblin|Large Goblin of Moria
trp_i3_moria_large_goblin_pl|Large Goblins of Moria
trp_i4_moria_fell_goblin|Fell Goblin of Moria
trp_i4_moria_fell_goblin_pl|Fell Goblins of Moria
trp_a2_moria_goblin_archer|Goblin Archer of Moria
trp_a2_moria_goblin_archer_pl|Goblin Archers of Moria
trp_a3_moria_large_goblin_archer|Large Goblin Archer of Moria
trp_a3_moria_large_goblin_archer_pl|Large Goblin Archers of Moria
trp_a4_moria_fell_goblin_archer|Fell Goblin Archer of Moria
trp_a4_moria_fell_goblin_archer_pl|Fell Goblin Archers of Moria
trp_i1_gunda_goblin|Gundabad Goblin
trp_i1_gunda_goblin_pl|Gundabad Goblins
trp_i2_gunda_orc|Gundabad Orc
trp_i2_gunda_orc_pl|Gundabad Orcs
trp_i3_gunda_orc_fighter|Gundabad Orc Fighter
trp_i3_gunda_orc_fighter_pl|Gundabad Orc Fighters
trp_i4_gunda_orc_warrior|Gundabad Orc Warrior
trp_i4_gunda_orc_warrior_pl|Gundabad Orc Warriors
trp_i4_gunda_orc_berserker|Gundabad Orc Berserker
trp_i4_gunda_orc_berserker_pl|Gundabad Orc Berserkers
trp_ca4_gunda_skirmisher|Gundabad Skirmisher
trp_ca4_gunda_skirmisher_pl|Gundabad Skirmishers
trp_ca5_gunda_clan_skirmisher|Goblin North Clan Skirmisher
trp_ca5_gunda_clan_skirmisher_pl|Goblin North Clan Skirmishers
trp_c3_gunda_goblin_rider|Gundabad Goblin Rider
trp_c3_gunda_goblin_rider_pl|Gundabad Goblin Riders
trp_c4_gunda_warg_rider|Gundabad Warg Rider
trp_c4_gunda_warg_rider_pl|Gundabad Warg Riders
trp_c5_gunda_clan_rider|Goblin North Clan Rider
trp_c5_gunda_clan_rider_pl|Goblin North Clan Riders
trp_i5_gunda_orc_champion|Gundabad Orc Champion
trp_i5_gunda_orc_champion_pl|Gundabad Orc Champions
trp_mountain_goblin2|Mountain Goblin
trp_mountain_goblin2_pl|Mountain Goblins
trp_tribal_orc2|Tribal Orc
trp_tribal_orc2_pl|Tribal Orcs
trp_i5_gunda_orc_champion2|Gundabad Orc Champion
trp_i5_gunda_orc_champion2_pl|Gundabad Orc Champions
trp_i2_mordor_num_renegade|Black Numenorean Renegade
trp_i2_mordor_num_renegade_pl|Black Numenorean Renegades
trp_i3_mordor_num_warrior|Black Numenorean Warrior
trp_i3_mordor_num_warrior_pl|Black Numenorean Warriors
trp_i4_mordor_num_vet_warrior|Black Numenorean Veteran Warrior
trp_i4_mordor_num_vet_warrior_pl|Black Numenorean Veteran Warriors
trp_i5_mordor_num_champion|Black Numenorean Champion
trp_i5_mordor_num_champion_pl|Black Numenorean Champions
trp_i5_mordor_num_assassin|Black Numenorean Assassin
trp_i5_mordor_num_assassin_pl|Black Numenorean Assassins
trp_c4_mordor_num_horseman|Black Numenorean Horseman
trp_c4_mordor_num_horseman_pl|Black Numenorean Horsemen
trp_c5_mordor_num_knight|Black Numenorean Horsemaster
trp_c5_mordor_num_knight_pl|Black Numenorean Horsemasters
trp_noldorin_commander|Noldorin Commander
trp_noldorin_commander_pl|Noldorin Commanders
trp_elf_captain_of_lothlorien|Elf Captain of Lothlorien
trp_elf_captain_of_lothlorien_pl|Elf Captains of Lothlorien
trp_lothlorien_lieutenant|Lothlorien Lieutenant
trp_lothlorien_lieutenant_pl|Lothlorien Lieutenants
trp_elf_captain_of_mirkwood|Elf Captain of Greenwood
trp_elf_captain_of_mirkwood_pl|Elf Captains of Greenwood
trp_mirkwood_lieutenant|Greenwood Lieutenant
trp_mirkwood_lieutenant_pl|Greenwood Lieutenants
trp_elf_captain_of_rivendell|Elf Captain of Rivendell
trp_elf_captain_of_rivendell_pl|Elf Captains of Rivendell
trp_rivendell_lieutenant|Rivendell Lieutenant
trp_rivendell_lieutenant_pl|Rivendell Lieutenants
trp_lieutenant_of_rohan|Lieutenant of Rohan
trp_lieutenant_of_rohan_pl|Lieutenants of Rohan
trp_captain_of_rohan|Captain of Rohan
trp_captain_of_rohan_pl|Captains of Rohan
trp_high_captain_of_rohan|High Captain of Rohan
trp_high_captain_of_rohan_pl|High Captains of Rohan
trp_lieutenant_of_isengard|Lieutenant of Isengard
trp_lieutenant_of_isengard_pl|Lieutenants of Isengard
trp_captain_of_isengard|Captain of Isengard
trp_captain_of_isengard_pl|Captains of Isengard
trp_high_captain_of_isengard|High Captain of Isengard
trp_high_captain_of_isengard_pl|High Captains of Isengard
trp_lieutenant_of_mordor|Lieutenant of Mordor
trp_lieutenant_of_mordor_pl|Lieutenants of Mordor
trp_captain_of_mordor|Captain of Mordor
trp_captain_of_mordor_pl|Captains of Mordor
trp_high_captain_of_mordor|High Captain of Mordor
trp_high_captain_of_mordor_pl|High Captains of Mordor
trp_easterling_chieftain|Variag Chieftain
trp_easterling_chieftain_pl|Variag Chieftains
trp_easterling_lieutenant|Variag War Priest
trp_easterling_lieutenant_pl|Variag War Priests
trp_harad_chieftain|Harad Chieftain
trp_harad_chieftain_pl|Harad Chieftains
trp_harad_lieutenant|Harad Lieutenant
trp_harad_lieutenant_pl|Harad Lieutenants
trp_black_numenorean_captain|Black Numenorean Captain
trp_black_numenorean_captain_pl|Black Numenorean Captains
trp_black_numenorean_lieutenant|Black Numenorean Lieutenant
trp_black_numenorean_lieutenant_pl|Black Numenorean Lieutenants
trp_a5_dun_night_wolf|Dunnish Night Wolf
trp_a5_dun_night_wolf_pl|Dunnish Night Wolfs
trp_dunnish_lieutenant|Dunnish Hetman
trp_dunnish_lieutenant_pl|Dunnish Hetmen
trp_goblin_chieftain|Goblin Chieftain
trp_goblin_chieftain_pl|Goblin Chieftains
trp_captain_of_gondor|Captain of Gondor
trp_captain_of_gondor_pl|Captains of Gondor
trp_nobleman|Nobleman
trp_nobleman_pl|Noblemen
trp_gondor_agent|Gondor Agent
trp_gondor_agent_pl|Gondor Agents
trp_rohan_agent|Rohan Agent
trp_rohan_agent_pl|Rohan Agents
trp_mordor_agent|Mordor Agent
trp_mordor_agent_pl|Mordor Agents
trp_isengard_agent|Isengard Agent
trp_isengard_agent_pl|Isengard Agents
trp_looter|Looter
trp_looter_pl|Looters
trp_bandit|Bandit
trp_bandit_pl|Bandits
trp_brigand|Brigand
trp_brigand_pl|Brigands
trp_mountain_bandit|Mountain Bandit
trp_mountain_bandit_pl|Mountain Bandits
trp_forest_bandit|Forest Bandit
trp_forest_bandit_pl|Forest Bandits
trp_sea_raider|Sea Raider
trp_sea_raider_pl|Sea Raiders
trp_steppe_bandit|Steppe Bandit
trp_steppe_bandit_pl|Steppe Bandits
trp_manhunter|Manhunter
trp_manhunter_pl|Manhunters
trp_kidnapped_girl|Kidnapped Girl
trp_kidnapped_girl_pl|Kidnapped Girls
trp_refugee|Refugee
trp_refugee_pl|Refugees
trp_peasant_woman|Peasant Woman
trp_peasant_woman_pl|Peasant Women
trp_caravan_master|Caravan Master
trp_caravan_master_pl|Caravan Masters
trp_caravan_guard|Caravan Guard
trp_caravan_guard_pl|Caravan Guards
trp_messenger_man|Messenger
trp_messenger_man_pl|Messengers
trp_messenger_elf|Messenger
trp_messenger_elf_pl|Messengers
trp_messenger_dwarf|Messenger
trp_messenger_dwarf_pl|Messengers
trp_messenger_orc|Messenger
trp_messenger_orc_pl|Messengers
trp_messenger_evil_man|Messenger
trp_messenger_evil_man_pl|Messengers
trp_town_walker_1|Townsman
trp_town_walker_1_pl|Townsmen
trp_town_walker_2|Townswoman
trp_town_walker_2_pl|Townswomen
trp_village_walker_1|Villager
trp_village_walker_1_pl|Villagers
trp_village_walker_2|Villager
trp_village_walker_2_pl|Villagers
trp_spy_walker_1|Townsman
trp_spy_walker_1_pl|Townsmen
trp_spy_walker_2|Townswoman
trp_spy_walker_2_pl|Townswomen
trp_walker_man_gondor_black|Townsman
trp_walker_man_gondor_white|Townsman
trp_walker_man_gondor_blue|Townsman
trp_walker_man_gondor_green|Townsman
trp_walker_man_rohan_t|Rohan Townsman
trp_walker_man_rohan_d|Rohan Townsman
trp_walker_woman_rohan_t|Rohan Maiden
trp_walker_woman_rohan_d|Rohan Maiden
trp_walker_woman_gondor_b|Gondor Woman
trp_walker_woman_gondor_bw|Gondor Woman
trp_walker_woman_gondor_w|Gondor Noble
trp_mirkwood_walker_1|Greenwood Elf
trp_mirkwood_walker_2|Greenwood Elf
trp_lorien_walker_1|Lothlorien Elf
trp_lorien_walker_2|Lothlorien Elf
trp_dwarf_walker|Dwarf
trp_beorn_walker|Peasant Man
trp_beorn_walker_fem|Peasant Woman
trp_trainer_4|Trainer
trp_trainer_gondor|Trainer
trp_trainer_rohan|Trainer
trp_trainer_dale|Trainer
trp_trainer_elf|Trainer
trp_trainer_beorn|Trainer
trp_trainer_dwarf|Trainer
trp_trainer_mordor|Trainer
trp_trainer_isengard|Trainer
trp_trainer_khand|Trainer
trp_trainer_rhun|Trainer
trp_trainer_harad|Trainer
trp_trainer_umbar|Trainer
trp_ransom_broker_1|Ransom Broker
trp_ransom_broker_2|Ransom Broker
trp_ransom_broker_3|Ransom Broker
trp_ransom_broker_4|Ransom Broker
trp_ransom_broker_5|Ransom Broker
trp_ransom_broker_6|Ransom Broker
trp_ransom_broker_7|Ransom Broker
trp_ransom_broker_8|Ransom Broker
trp_ransom_broker_9|Ransom Broker
trp_ransom_broker_10|Ransom Broker
trp_tavern_traveler_1|Traveller
trp_tavern_traveler_2|Traveller
trp_tavern_traveler_3|Traveller
trp_tavern_traveler_4|Traveller
trp_tavern_traveler_5|Traveller
trp_tavern_traveler_6|Traveller
trp_tavern_traveler_7|Traveller
trp_tavern_traveler_8|Traveller
trp_tavern_traveler_9|Traveller
trp_tavern_traveler_10|Traveller
trp_tavern_minstrel_1|Minstrel
trp_npc1|Mablung
trp_npc2|Cirdil
trp_npc3|Ulfas
trp_npc4|Galmyne
trp_npc5|Glorfindel
trp_npc6|Luevanna
trp_npc7|Kili Goldfinger
trp_npc8|Faniul
trp_npc9|Gulm
trp_npc10|Durgash
trp_npc11|Ufthak
trp_npc12|Gorbag
trp_npc13|Lykyada
trp_npc14|Fuldimir
trp_npc15|Bolzog
trp_npc16|Varfang
trp_npc17|Dimborn
trp_knight_6_2|Golasgil
trp_gondor_lord|Steward Denethor
trp_gondor_lord_pl|Steward
trp_rohan_lord|King Theoden
trp_rohan_lord_pl|King
trp_isengard_lord|Saruman
trp_isengard_lord_pl|Master
trp_mordor_lord|Mouth of Sauron
trp_mordor_lord_pl|Satrap
trp_harad_lord|Chief Ul-Ulcari
trp_harad_lord_pl|Chief
trp_rhun_lord|Jarl Helcaroth
trp_rhun_lord_pl|Jarl
trp_khand_lord|Shibh Krukmahur
trp_khand_lord_pl|Shibh
trp_umbar_lord|Admiral Tulmir
trp_umbar_lord_pl|Admiral
trp_lorien_lord|Lady Galadriel
trp_lorien_lord_pl|Lady
trp_imladris_lord|Lord Elrond
trp_imladris_lord_pl|Lord
trp_woodelf_lord|King Thranduil
trp_woodelf_lord_pl|King
trp_moria_lord|Master Bolg the Lesser
trp_moria_lord_pl|Master
trp_guldur_lord|Master Fuinur
trp_guldur_lord_pl|Master
trp_gundabad_lord|Master Burza Krual
trp_gundabad_lord_pl|Master
trp_dale_lord|King Brand
trp_dale_lord_pl|King
trp_dwarf_lord|King Dain II Ironfoot
trp_dwarf_lord_pl|King
trp_dunland_lord|Chief Daeglaf the Black
trp_dunland_lord_pl|Chief
trp_beorn_lord|Chief Grimbeorn the Old
trp_beorn_lord_pl|Chief
trp_lorien_marshall|Celeborn
trp_knight_1_1|Angbor the Fearless
trp_knight_1_2|Húrin of the Keys
trp_knight_1_3|Prince Imrahil
trp_knight_1_4|Orthalion
trp_knight_1_5|Duinhir
trp_knight_1_6|Hirluin the Fair
trp_knight_1_7|Faramir
trp_knight_1_8|Forlong the Fat
trp_knight_1_9|Grimbold
trp_knight_1_10|Erkenbrand
trp_knight_1_11|Elfhelm
trp_knight_1_12|Hama
trp_knight_1_13|Gamling
trp_knight_1_14|Éomer
trp_knight_1_15|Ugluk
trp_knight_1_16|Mauhur
trp_knight_1_17|Mog the Seven-fingered
trp_knight_1_18|Hushnak Longshanks
trp_knight_1_19|Gridash the Tree-biter
trp_knight_1_20|Gronk the Man-eater
trp_knight_2_1|Captain Mortakh
trp_knight_2_2|Berúthiel
trp_knight_2_3|Skang
trp_knight_2_4|Pharakhâd The Bastard
trp_knight_2_5|Grishnakh
trp_knight_2_51|Gothmog
trp_knight_2_51_pl|Lieutenant
trp_knight_2_6|Chieftain Karna the Lion
trp_knight_2_7|Chieftain Na’man
trp_knight_2_8|Chieftain Haarith
trp_knight_2_11|Kusulak
trp_knight_2_12|Ulwarth the Balchoth
trp_knight_2_13|Brodda
trp_knight_2_16|Torask
trp_knight_2_17|Lurmsakun
trp_knight_3_1|Captain Morbir
trp_knight_3_2|Captain Angamaitë
trp_knight_3_3|Captain Sangahyando
trp_knight_3_6|Haldir
trp_knight_3_7|Orophin
trp_knight_3_11|Elladan
trp_knight_3_12|Elrohir
trp_knight_3_13|Halbarad
trp_knight_3_16|Miriel
trp_knight_3_17|Gladvaethor
trp_knight_4_1|Whip Snog
trp_knight_4_2|Whip Snotgor
trp_knight_4_6|General Tuskim
trp_knight_4_7|General Mugslag
trp_knight_4_11|Ruel
trp_knight_4_12|Beranor Blackfur
trp_knight_4_16|Whip Brolgukhsh
trp_knight_4_17|Whip Grumrunt
trp_knight_4_18|Whip Grimsob
trp_knight_5_1|Lord Halward
trp_knight_5_2|Lord Bard
trp_knight_5_3|Lord Esgarain
trp_knight_5_6|Fulgni Longbeard
trp_knight_5_7|Thorin Stonehelm
trp_knight_5_11|Chief Fudreim
trp_knight_5_12|Chief Wulf
trp_knight_6_1|Dervorin
trp_smith_mtirith|Berethor the Smith
trp_smith_mtirith_pl|Steward's smiths
trp_smith_pelargir|Hallatan Metalmaster
trp_smith_pelargir_pl|smithy
trp_smith_linhir|Bor the Armorer
trp_smith_linhir_pl|smithy
trp_smith_dolamroth|Haldad the Smith
trp_smith_dolamroth_pl|Amroth smiths
trp_smith_edhellond|Ryis Ironbender
trp_smith_edhellond_pl|smithy
trp_smith_lossarnach|Berin Axemaker
trp_smith_lossarnach_pl|smithy
trp_smith_tarnost|Harandil Steelhammer
trp_smith_tarnost_pl|smithy
trp_smith_erech|Lorne the Black
trp_smith_erech_pl|smithy
trp_smith_pinnath|Tarandil Swordmaker
trp_smith_pinnath_pl|smithy
trp_smith_eosgiliath|Bzurg the Looter
trp_smith_eosgiliath_pl|smithy
trp_smith_wosgiliath|Gardil
trp_smith_wosgiliath_pl|makeshift smithy
trp_smith_calembel|Agronom
trp_smith_calembel_pl|smithy
trp_smith_hannun|Fal the Ranger Smith
trp_smith_hannun_pl|ranger gear stash
trp_smith_candros|Kalimdor
trp_smith_candros_pl|smithy
trp_smith_edoras|Eaoden Steelmaster
trp_smith_edoras_pl|King's smithy
trp_smith_aldburg|Fulm Ironhoof
trp_smith_aldburg_pl|smithy
trp_smith_hornburg|Aldhelm
trp_smith_hornburg_pl|smithy
trp_smith_eastemnet|Eadfrid
trp_smith_eastemnet_pl|smithy
trp_smith_westfold|Deor Helmmaker
trp_smith_westfold_pl|smithy
trp_smith_westemnet|Armourer
trp_smith_westemnet_pl|smithy
trp_smith_eastfold|Eaderan Ironcarver
trp_smith_eastfold_pl|smithy
trp_smith_morannon|Hurbag Gateforger
trp_smith_morannon_pl|smithy
trp_smith_mmorgul|Orgurz Firebelcher
trp_smith_mmorgul_pl|smithy
