
str_yes|Yes.
str_npc10_signup|Really? You would do well to enlist me.
str_npc11_signup|Follow your mob Ai? Ar! I hear about all these goings-ons out west, raids and all, and hundreds of our lads done in. I'll come and have a look with you all the same, and see what you're up to.
str_npc12_signup|Follow your rabble, 'ay? I may 'ave struck a bit of luck at last. I give a good rumble, I reckon, and my whip is vigilant. It's tasted its fair share of my lads' orc hide.
str_npc13_signup|I may follow you if you will have me. My legs make good heading of a horse between them and my hands know well the feel of blades of the crescent moon. My fingers can make fall arrows like the plight of stars upon our enemy, be it on horse or feet, though how I fight will be at your command.
str_npc14_signup|Perhaps, know though that I am no thief or brigand. I will not steal, nor take that which other lives may find needed.
str_npc15_signup|Heh-heh. You are right! Yeesss! You are wise, Great Captain.
str_npc16_signup|I wait for orders, with every second passing darkening my heart. I can no longer stand to wait for the plans of far away lords and captains so unseen their existence is believed more in legend than in flesh. Lords whose whispered orders are brought forth and shouted by lesser men. I wait, and with me, my people's vengeance waits also.
str_npc17_signup|Very good! I know many trees. Soon you will know many trees too. Like me. Because I know many trees.
str_npc1_signup_2|It would take a moment to talk to my Captain and gather my things.
str_npc2_signup_2|I'll need to talk to my Sergeant first and then off we go - there are glorious battles to be fought and all manners of strange creatures to see!
str_npc3_signup_2|I've been waiting for someone to take me on, so I only need to saddle up my horse and we are ready to ride.
str_npc4_signup_2|I have hunted game many times with bows and throwing spears. I will hunt orc under your command. And I have some skill in healing I'm certain will be needed.
str_npc5_signup_2|Perhaps by joining your company and striking hard where I am not expected, the Enemy will be unbalanced. I will come.
str_npc6_signup_2|Perhaps I can teach you to move faster and make less noise. Let's go.
str_npc7_signup_2|If you can keep the tall-folk in your company in line, especially the sneaky Elves, I'll gladly join you.
str_npc8_signup_2|I must warn you though, I am fairly useless in battle. But I'm sure you are able to keep a woman of my age safe.
str_npc9_signup_2|But you must decide quickly, the guards here are getting suspicious.
str_npc10_signup_2|You won't regret taking me on.
str_npc11_signup_2|Lots of stuff out there for my nose to smell too, and my knife to taste. They don't know too much now but they're quick learners alright. What d'you say?
str_npc12_signup_2|I'll show your slugs where there's a whip there's a will and give 'em as much lash as their skins will carry. If your lads take it well it should put 'em in a good trot. What d'you say?
str_npc13_signup_2|Know, though, that my loyalty lie always with my kin. I have fought this far and lost too much for them. I will not turn my back on them for their fate will be my own.
str_npc14_signup_2|It is just fortunate that those no longer of this world find no need of this world's treasures and I am fortunate to be skilled in ways that I may assist in relieving the worldly needs of the owners of those treasures.
str_npc15_signup_2|Oh, this is a great moment for Bolzog The Gifted, and for you, Great Lord! We shall conquer together, you, indestructible with my healing touch, and I, the Great Orc Sage who shall support you!
str_npc16_signup_2|I fear that I will not wait any longer. I intend on joining the next party to leave camp, with my Chieftain's approval or not. I fear the war will be over long ere I leave to join it.
str_npc17_signup_2|I'll just get some of my tools, and we can be off. There is this oak just down the road I must show you!
str_npc1_signup_response_1|I could use a skilled ranger, you are welcome to join.
str_npc2_signup_response_1|Very well. We could use some cheer in these dark times.
str_npc3_signup_response_1|Very well. Saddle up - we shall be leaving shortly.
str_npc4_signup_response_1|Impressive. We are ready to leave, whenever you are, my Lady.
str_npc5_signup_response_1|We will be honoured to have the company of an Elf-lord.
str_npc6_signup_response_1|Very well. I hope you won't run away from the first orc we see.
str_npc7_signup_response_1|Very well, Master Dwarf, you are welcome to join us.
str_npc8_signup_response_1|You will be safe with us, I promise. We will be leaving shortly.
str_npc9_signup_response_1|Very good. Do as you are told, and I'll feed you well.
str_npc10_signup_response_1|Very well. Let's go.
str_npc11_signup_response_1|Very well. Let's go.
str_npc12_signup_response_1|I reckon we could put you to good use.
str_npc13_signup_response_1|I reckon we could put you to good use.
str_npc14_signup_response_1|Very well. Let's go.
str_npc15_signup_response_1|Hmmm. I admire your... confidence. Get your gear together.
str_npc16_signup_response_1|How about following me?
str_npc17_signup_response_1|Great! I hope you won't talk of trees all the time though.
str_npc1_signup_response_2|I have no need of your company at the moment, good luck to you.
str_npc2_signup_response_2|Sorry, I've changed my mind.
str_npc3_signup_response_2|Sorry, I've changed my mind - maybe next time.
str_npc4_signup_response_2|I apologize, my Lady, perhaps another time.
str_npc5_signup_response_2|On second thought, maybe we need to help Lothlórien on our own.
str_npc6_signup_response_2|Sorry, I just can't imagine you on a battlefield.
str_npc7_signup_response_2|Sorry, I happen to like Elves.
str_npc8_signup_response_2|I'm sorry, everyone fights in my company.
str_npc9_signup_response_2|I've changed my mind. Whoever is looking for you might come for me next.
str_npc10_signup_response_2|I've changed my mind.
str_npc11_signup_response_2|I don't need you, slave.
str_npc12_signup_response_2|I've changed my mind.
str_npc13_signup_response_2|I've changed my mind.
str_npc14_signup_response_2|I've changed my mind.
str_npc15_signup_response_2|Actually, I think I'll look for a real healer and not a braggart.
str_npc16_signup_response_2|I've had enough of this.
str_npc17_signup_response_2|On the other hand, I think I've changed my mind. You're a bit of a nut, aren't you?
str_npc1_payment|I would join you, but my Captain Faramir would miss my presence here. [costs {reg14} Influence with {s14}]
str_npc2_payment|The guard Sergeant would not let me go, I'm afraid. [costs {reg14} Influence with {s14}]
str_npc3_payment|Ahem, it seems that I have ran up quite a tab in the fine tavern here, so I'll need to settle my account before I can leave. [costs {reg14} Influence with {s14}]
str_npc4_payment|I would join you, but who will care for the wounded if the city is attacked? [costs {reg14} Influence with {s14}]
str_npc5_payment|We should be off soon. The value of my coming will be diminished if the Enemy senses my presence before we have struck. But Lothlórien also needs me here. [costs {reg14} Influence with {s14}]
str_npc6_payment|I would join you, but my duty is here. [costs {reg14} Influence with {s14}]
str_npc7_payment|I would join you, but I'm afraid my honorable father Dwalin will not understand why I left the town in a time of need. [costs {reg14} Influence with {s14}]
str_npc8_payment|I cannot abandon my duties here, my King still needs me. I'm too concerned for his health. [costs {reg14} Influence with {s14}]
str_npc9_payment|I want to leave with you, but the guards at the gate won't let me.^Trust me, I've tried. [costs {reg14} Influence with {s14}]
str_npc10_payment|I would join you, but my duty is here. [costs {reg14} Influence with {s14}]
str_npc11_payment|I just need someone to do in the Boss. We could wait till he closes his eyes to lop off, but I reckon someone really high up can force his eyes shut. Ai! [costs {reg14} Influence with {s14}]
str_npc12_payment|Hai! Yoi! I'll need to remind the boys to keep their mangy gobs shut or the High Ups will get my number and 'ave it out for me, they will. [costs {reg14} Influence with {s14}]
str_npc13_payment|Alas the Chieftains here will not to allow my leave. Are you able to convince them otherwise? [costs {reg14} Influence with {s14}]
str_npc14_payment|The captain of the Haven will require much persuasion for my leave. Convince him and we shall set sail through this storm. [costs {reg14} Influence with {s14}]
str_npc15_payment|Ah, yes. Noble Warrior-Lord! One small impediment is there! A great injustice befell me, that the master of this cave did not like my offer of healing, and has stolen all my gear! The cheek! To steal from the Great Bolzog! Master, I can't recover my priceless equipment from his filthy claws! [costs {reg14} Influence with {s14}]
str_npc16_payment|I will not follow you, I will go my own path; but your path may go along with mine for a while. Though, before I travel these lands I must first pay tribute to those who died trying before us. Show them your tribute and we may make our leave. We must never forget our ancestors. They have not forgotten us. [costs {reg14} Influence with {s14}]
str_npc17_payment|I like trees, but my old uncle needs me here. [costs {reg14} Influence with {s14}]
str_npc1_payment_response|Don't worry, I'll arrange your leave with him. [costs {reg14}/{reg15} Influence]
str_npc2_payment_response|Don't worry, I'll talk with your Sergeant. [costs {reg14}/{reg15} Influence]
str_npc3_payment_response|This better be worth it. I'll settle with the barkeep. [costs {reg14}/{reg15} Influence]
str_npc4_payment_response|It's a noble cause, but I'm sure a replacement can be found. [costs {reg14}/{reg15} Influence]
str_npc5_payment_response|Trust me, you will be more useful with me. [costs {reg14}/{reg15} Influence]
str_npc6_payment_response|From now on, your duty is with me. [costs {reg14}/{reg15} Influence]
str_npc7_payment_response|Master Dwalin will understand that a battle-worthy dwarf should not be kept from our enemies for too long. [costs {reg14}/{reg15} Influence]
str_npc8_payment_response|The King's well-being is important, but you will save more lives with me. [costs {reg14}/{reg15} Influence]
str_npc9_payment_response|Oh, but the guard won't dare stop you, if you are with me. [costs {reg14}/{reg15} Influence]
str_npc10_payment_response|From now on, your duty is with me. [costs {reg14}/{reg15} Influence]
str_npc11_payment_response|Never mind your Boss, you serve me now. [costs {reg14}/{reg15} Influence]
str_npc12_payment_response|Your boys will get new orders, I'll worry about the High Ups. [costs {reg14}/{reg15} Influence]
str_npc13_payment_response|They will see otherwise, for I'm your Chieftain now. [costs {reg14}/{reg15} Influence]
str_npc14_payment_response|You don't need to worry about the old Harbor-master. [costs {reg14}/{reg15} Influence]
str_npc15_payment_response|Priceless, is it? I'll get your gear. [costs {reg14}/{reg15} Influence]
str_npc16_payment_response|I honor the ancestors, yours and mine. [costs {reg14}/{reg15} Influence]
str_npc17_payment_response|Your uncle will be fine. You are with me now. [costs {reg14}/{reg15} Influence]
str_npc1_morality_speech|Captain, I can't understand how you can {s21} and forsake our men. Captain Faramir would have never lost sight of compassion for his Rangers and caused them to suffer without need.
str_npc2_morality_speech|I hope you don't mind my saying so, but it's a bit hard for me to see us {s21}. Maybe I ought to try to be more of a hardened soldier, but if you could try to be more... caring about our soldiers, I'd sleep better.
str_npc3_morality_speech|Commander, we Eorlingas never {s21}. Our horses don't tire easily and, once we regroup, there is no situation a well-timed charge can't decide in our favour. Take heed the next time we battle against the odds.
str_npc4_morality_speech|Take no heed to what the soldiers say, sometimes to {s21} is the wisest course of action. I for one appreciate the lives spared and limbs unbroken, if for nothing else but to fight another day, when fate looks upon us with favor.
str_npc5_morality_speech|You must reconsider your actions, commander. To {s21} makes us no more honourable than the Enemy and diminishes the confidence of our friends.
str_npc7_morality_speech|I was not pleased that you decided to {s21}. To fall in battle is an honour for any right-thinking dwarf, but to fight in a company led by a coward is a disgrace. What will my cousins say if they learn of this?
str_npc8_morality_speech|Commander, I must object. To {s21} is harsh on the men and unnecessary. I do what I can to ease their suffering, but please don't make another costly mistake.
str_npc9_morality_speech|The fighting Uruk-hai don't {s21}. If the Master has little guts, he might find himself without them one night. Gulm has spoken.
str_npc15_morality_speech|You may think that Bolzog the Great can cure all, {playername}, but even I have my limits! If you continue to {s21} even my talent will struggle! You must give me some support! I cannot resurrect the dead, whether they starve or are hacked to pieces!
str_npc1_2ary_morality_speech|Captain, I have been raised as a Dúnadan, both in valor and honour. I would prefer if we don't {s21}.
str_npc4_2ary_morality_speech|Your pardon, commander. Women of my station will accept death but not dishonour. To {s21} brings shame to my house and ancestors.
str_npc15_2ary_morality_speech|Hi-hi-hi! You are cunning, Oh Lord! You take the gold, and nod, and say 'yes master' but all the time you planned this! Hi-Hi! Only, we must be careful, that The Big One does not see you deceiving him...
str_npc1_personalityclash_speech|Did I mention I hate {s11}?
str_npc2_personalityclash_speech|Did I mention I hate {s11}?
str_npc3_personalityclash_speech|Commander, how come we ended up with {s11} in our company? He's nimble enough on foot, I reckon, but he talks of ambushes too often for my liking - not unlike the cautious nature of his people.
str_npc4_personalityclash_speech|Did I mention I hate {s11}?
str_npc5_personalityclash_speech|Did I mention I hate {s11}?
str_npc6_personalityclash_speech|{playername}, I just saw {s11} walk brazenly over a nest of young birds. His clumsiness destroyed the young lives of innocent creatures.
str_npc7_personalityclash_speech|Lord {s11} does well in a battle, but I wonder if he blinds the enemy by the shine of his hair? Or they fall in awe of his fame and uppity demeanor?
str_npc8_personalityclash_speech|Commander, I must lodge a complaint against {s11}. He continues to pester me about making him a certain brew called 'the green fairy'.
str_npc9_personalityclash_speech|Did I mention I hate {s11}?
str_npc10_personalityclash_speech|Did I mention I hate {s11}?
str_npc11_personalityclash_speech|Did I mention I hate {s11}?
str_npc12_personalityclash_speech|Did I mention I hate {s11}?
str_npc13_personalityclash_speech|Did I mention I hate {s11}?
str_npc14_personalityclash_speech|Did I mention I hate {s11}?
str_npc15_personalityclash_speech|Did I mention I hate {s11}?
str_npc16_personalityclash_speech|Did I mention I hate {s11}?
str_npc17_personalityclash_speech|Did I mention I hate {s11}?
str_npc1_personalityclash_speech_b|I hate {s11}.
str_npc2_personalityclash_speech_b|I hate {s11}.
str_npc3_personalityclash_speech_b|I don't have a quarrel with the people of Gondor, but we would do better with more bold horsemen and less reluctant ground-huggers, if you catch my drift.
str_npc4_personalityclash_speech_b|I hate {s11}.
str_npc5_personalityclash_speech_b|I hate {s11}.
str_npc6_personalityclash_speech_b|His dwarven ways may serve him well underground, albeit it's a wonder he hasn't fallen down an ugly shaft. Maybe he should have.
str_npc7_personalityclash_speech_b|We would do better with a dwarven hero, someone like Durin the Deathless of old, and let the Elves prance around their forests.
str_npc8_personalityclash_speech_b|It is made from wormwood soaked in liquor and apparently favored by minstrels and vagrants for seeing things that are not there. I doubt you'll approve of your soldiers chasing air on the battlefield, as much as it may be amusing to watch.
str_npc9_personalityclash_speech_b|I hate {s11}.
str_npc10_personalityclash_speech_b|I hate {s11}.
str_npc11_personalityclash_speech_b|I hate {s11}.
str_npc12_personalityclash_speech_b|I hate {s11}.
str_npc13_personalityclash_speech_b|I hate {s11}.
str_npc14_personalityclash_speech_b|I hate {s11}.
str_npc15_personalityclash_speech_b|I hate {s11}.
str_npc16_personalityclash_speech_b|I hate {s11}.
str_npc17_personalityclash_speech_b|I hate {s11}.
str_npc1_personalityclash2_speech|Did I mention I hate {s11}?
str_npc2_personalityclash2_speech|Did I mention I hate {s11}?
str_npc3_personalityclash2_speech|Did I mention I hate {s11}?
str_npc4_personalityclash2_speech|Did I mention I hate {s11}?
str_npc5_personalityclash2_speech|Did I mention I hate {s11}?
str_npc6_personalityclash2_speech|Did I mention I hate {s11}?
str_npc7_personalityclash2_speech|A nice little scrap, eh captain? If only slightly ruined by the conduct of that Elf-woman {s11}.
str_npc8_personalityclash2_speech|Did I mention I hate {s11}?
str_npc9_personalityclash2_speech|Did I mention I hate {s11}?
str_npc10_personalityclash2_speech|Did I mention I hate {s11}?
str_npc11_personalityclash2_speech|Did I mention I hate {s11}?
str_npc12_personalityclash2_speech|Did I mention I hate {s11}?
str_npc13_personalityclash2_speech|Did I mention I hate {s11}?
str_npc14_personalityclash2_speech|Did I mention I hate {s11}?
str_npc15_personalityclash2_speech|Did I mention I hate {s11}?
str_npc16_personalityclash2_speech|Did I mention I hate {s11}?
str_npc17_personalityclash2_speech|Did I mention I hate {s11}?
str_npc1_personalityclash2_speech_b|I hate {s11}.
str_npc2_personalityclash2_speech_b|I hate {s11}.
str_npc3_personalityclash2_speech_b|I hate {s11}.
str_npc4_personalityclash2_speech_b|I hate {s11}.
str_npc5_personalityclash2_speech_b|I hate {s11}.
str_npc6_personalityclash2_speech_b|I hate {s11}.
str_npc7_personalityclash2_speech_b|I saw her cowering in the rear, barely releasing an arrow or two in the general direction of the enemy. I say let her go to take care of the birds and bees, so we can go on with the bloody work of slaying the enemy.
str_npc8_personalityclash2_speech_b|I hate {s11}.
str_npc9_personalityclash2_speech_b|I hate {s11}.
str_npc10_personalityclash2_speech_b|I hate {s11}.
str_npc11_personalityclash2_speech_b|I hate {s11}.
str_npc12_personalityclash2_speech_b|I hate {s11}.
str_npc13_personalityclash2_speech_b|I hate {s11}.
str_npc14_personalityclash2_speech_b|I hate {s11}.
str_npc15_personalityclash2_speech_b|I hate {s11}.
str_npc16_personalityclash2_speech_b|I hate {s11}.
str_npc17_personalityclash2_speech_b|I hate {s11}.
str_npc1_personalitymatch_speech|Have you noticed the grace of {s11} in that last battle? The way she moves around the enemy just before striking the final blow? It's like the stories of old, when elven maidens displayed as much poise on the battlefield as in their beautiful forest courts.
str_npc2_personalitymatch_speech|Excuse me, commander. I was just helping {s11} with minor weapon repairs after that last scrap, and he even promised to teach me how to improve my strikes.
str_npc3_personalitymatch_speech|Is not a Rohan shieldmaiden in full charge a sight to behold? Granted, our womenfolk are better off by the hearth, but after seeing {s11} strike down the enemy in that last battle, I'm beginning to have doubts.
str_npc4_personalitymatch_speech|A battle of great deeds, commander, and my congratulations on the victory. I noticed how {s11} quietly and surely took care of the wounded and ailing, even as the last of the enemy got what they deserved.
str_npc5_personalitymatch_speech|Did I mention I like {s11}?
str_npc6_personalitymatch_speech|{playername}, as much as I hate battles, I can't help but notice my Lord {s11} riding out in full splendor and bearing down on the ugly creatures like a hawk.
str_npc7_personalitymatch_speech|Bloody and victorious, just as I like it! I did, however, sustain a flesh wound that {s11} was kind enough to bandage promptly.
str_npc8_personalitymatch_speech|Another victory for you, commander, and I admire your skill in sparing the lives of our men. Warriors like {s11} seem to be of great use in your battle plans.
str_npc9_personalitymatch_speech|Did I mention I like {s11}?
str_npc10_personalitymatch_speech|Did I mention I like {s11}?
str_npc11_personalitymatch_speech|Did I mention I like {s11}?
str_npc12_personalitymatch_speech|Did I mention I like {s11}?
str_npc13_personalitymatch_speech|Did I mention I like {s11}?
str_npc14_personalitymatch_speech|Did I mention I like {s11}?
str_npc15_personalitymatch_speech|Did I mention I like {s11}?
str_npc16_personalitymatch_speech|Did I mention I like {s11}?
str_npc17_personalitymatch_speech|Umm, chief. I think {s11} could make it well in the woods. Can tell an ash from a willow.
str_npc1_personalitymatch_speech_b|I find the company of {s11} very pleasing and her native woodcraft a rare glimpse of what remains of Sindarin skills in the world. You know, my father named me after the legendary Sindarin Elf captain serving King Thingol of Doriath and I always feel a special bond to the fair race.
str_npc2_personalitymatch_speech_b|My folks at home always told me stories about the Ithilien Rangers and now I can see for myself they are all true. If they are all like {s11}, I feel Gondor is safer for it.
str_npc3_personalitymatch_speech_b|Commander, as a personal favour, might I ask if you can order {s11} to stay more to the rear in the next battle? I could not stand to see her harmed, and it's not the ale talking.
str_npc4_personalitymatch_speech_b|To preserve lives is the noblest deed, and I feel kinship with that kind soul, even if our worlds are far apart.
str_npc5_personalitymatch_speech_b|I like {s11}.
str_npc6_personalitymatch_speech_b|I wonder just how old is he. Maybe a dozen of centuries older than me? Never mind, you wouldn't understand.
str_npc7_personalitymatch_speech_b|{s11} and her Dale-kin, even if not quite up to dwarven warrior standards, have proven to be steadfast allies in this War. A good choice for a friend and companion among Men, if I may say so.
str_npc8_personalitymatch_speech_b|The people of Dale have a deep regard for the hardy Lonely Mountain Dwarven-folk, as friends and protectors despite our different race and customs.
str_npc9_personalitymatch_speech_b|I like {s11}.
str_npc10_personalitymatch_speech_b|I like {s11}.
str_npc11_personalitymatch_speech_b|I like {s11}.
str_npc12_personalitymatch_speech_b|I like {s11}.
str_npc13_personalitymatch_speech_b|I like {s11}.
str_npc14_personalitymatch_speech_b|I like {s11}.
str_npc15_personalitymatch_speech_b|I like {s11}.
str_npc16_personalitymatch_speech_b|I like {s11}.
str_npc17_personalitymatch_speech_b|My people get along well with the Woodelves. They like trees too. I like trees too. We all like trees.
str_npc1_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc2_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc3_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc4_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc5_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc6_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc7_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc8_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc9_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc10_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc11_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc12_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc13_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc14_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc15_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc16_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc17_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc1_rehire_speech|It is good to see you again, Captain. Shall I join you once more?
str_npc2_rehire_speech|Happy days! Commander, can I please join you again?
str_npc3_rehire_speech|Ho! Shall we ride again together?
str_npc4_rehire_speech|Welcome again. Shall we continue where we left off?
str_npc5_rehire_speech|It's good to see you, {playername}. Let us travel together again.
str_npc6_rehire_speech|It's good to see you, {playername}. Let us walk the same path again.
str_npc7_rehire_speech|My axe is ready, {playername}. Shall I rejoin you?
str_npc8_rehire_speech|You are a welcome sight. Shall I join you once again?
str_npc9_rehire_speech|Gulm is ready to kill for you again. Are we going?
str_npc10_rehire_speech|Can I serve you once again?
str_npc11_rehire_speech|Can I serve you once again?
str_npc12_rehire_speech|Can I serve you once again?
str_npc13_rehire_speech|Can I serve you once again?
str_npc14_rehire_speech|Can I serve you once again?
str_npc15_rehire_speech|Aah, Great Lord! I have searched so long for you, as word of your glorious deeds rings across Middle Earth! Surely you have missed my skills? You will welcome me once more to complete your Great Army?
str_npc16_rehire_speech|Can I serve you once again?
str_npc17_rehire_speech|Hey. Time to move on again? Trees don't move much. But I like to move. But I like trees too.
str_npc1_home_intro|Captain, we are approaching Osgiliath now, so let us be on the lookout for friend and foe alike.
str_npc2_home_intro|Be vigilant, commander, that must be Minas Morgul over there. Do you feel that something is watching us?
str_npc3_home_intro|A word of advice, commander. We are getting mighty close to Entwood now and the horses are getting restless. Some call the forest Fangorn, too.
str_npc4_home_intro|Let's stop here for a minute, commander. Ahead of us, between the Anduin and the Limlight, lies the Field of Celebrant, where Eorl the Young rode to the aid of our Gondor allies.
str_npc5_home_intro|Daro! That's Angrenost and the black tower of Orthanc ahead. Much has changed since I last saw them, and none for the better.
str_npc6_home_intro|Excuse me, {playername}. The paths in this part become more twisted and some lead to dead-ends. We must be approaching Dol Guldur.
str_npc7_home_intro|Oy, captain! This must be the old path to the Eastern Gates of Khazad-dûm, or Moria as you may prefer. You can see in the distance the glittering lake of Kheled-zâram, and, through the clouds, the three peaks known to grace this part of the Misty Mountains.
str_npc8_home_intro|Oh, a curious sight! I heard stories about this place where sturdy woodmen are said to live in harmony with animals and plants. Beornings they are called, I gather.
str_npc9_home_intro|Curses! That must be Hornburg over there, master.
str_npc10_home_intro|Hey, look!
str_npc11_home_intro|Hey, look!
str_npc12_home_intro|Hey, look!
str_npc13_home_intro|Hey, look!
str_npc14_home_intro|Hey, look!
str_npc15_home_intro|Hey, look!
str_npc16_home_intro|Hey, look!
str_npc17_home_intro|Ooooo, mallorns grow here! One should never cut down a mallorn, they're just too beautiful!
str_npc1_home_description|It was a fair city once, the capital of Gondor of old, full of people and laughter. Now it lies deserted and ruined, the old Anduin flowing wearily through a ghost town.
str_npc2_home_description|It was called Minas Ithil many years ago, and stories are told of how moonlight filled its inner courts with silver light and its walls gleamed silver and white. Gondor watchmen peered over the walls to the east and kept watch beyond Ephel Dúath.
str_npc3_home_description|It's thick with trunks and branches and all manner of trees, and I wouldn't venture there as strange creatures roam the forest, not all of them harmless.
str_npc4_home_description|'Where now the horse and the rider? where is the horn that was blowing?^Where is the helm and the hauberk and the bright hair flowing?...^They have passed like rain on the mountain, like a wind in the meadow;^The days have gone down in the West behind the hills into shadow...'
str_npc5_home_description|Once built by the Southern Kingdom, now home to one that we called the White Wizard, scheming, no doubt, how to increase his power further at the expense of others.
str_npc6_home_description|I have never ventured this far, but I overheard our Greenwood scouts say there may be Nazgul here. I feel an evil presence, but I cannot put a name to it. It is powerful, though, so let us be prepared.
str_npc7_home_description|Judging by the desolation, and the many orc-tracks, I fear for the fate of the courageous Balin and his expedition. It seems that Moria has fallen to the Shadow and we should tread carefully.
str_npc8_home_description|Not too often, a travelling merchant comes to the Dale market and offers the finest honey I have ever tasted. For some curious reason, he says that 'it was made by bears' and laughs.
str_npc9_home_description|Its damned walls are too high and too hard for my hammer to break. I reckon if we ever chase away the manlings from their Edoras pig-sties, they'll run off here and cower behind the walls.
str_npc10_home_description|Do you know that town?
str_npc11_home_description|Do you know that town?
str_npc12_home_description|Do you know that town?
str_npc13_home_description|Do you know that town?
str_npc14_home_description|Do you know that town?
str_npc15_home_description|Do you know that town?
str_npc16_home_description|Do you know that town?
str_npc17_home_description|I didn't know there were such lovely woods here too. I wonder if any woodsmen work here.
str_npc1_home_description_2|If Gondor is doomed, West Osgiliath shall fall first to the foul hordes of the Eye. I only hope Captain Faramir would be in command that day and stem the tide. If we could spare any men to bolster the defences here, I would be most grateful, Captain.
str_npc2_home_description_2|It is said it's full of terrible orcs now and dread spirits and worse. I pray for the day when Gondor will reclaim it and cleanse it of all things foul.
str_npc3_home_description_2|If we must cross Entwood, let us do so with haste and stealth. I don't know who might be listening to our hooves and I don't care to find out.
str_npc4_home_description_2|We would do well to remember the great deeds of the past and the sacrifices that were made. The Alliance between Rohan and Gondor shall save our peoples from doom once again.
str_npc5_home_description_2|Let it be a reminder that even the greatest, even one of the Istari, can be corrupted and fall. Those who lust for power can be defeated by power, so let us not tarry much longer.
str_npc6_home_description_2|I sense the evil armies behind its walls prepare to march... To fair Lothlórien? To Dale? To my Greenwood homeland? I cannot tell, but please do everything you can to thwart them.
str_npc7_home_description_2|If the fortunes of war ever provide us with a large army, we should risk the entrance to the Mines and retrieve their mighty riches.
str_npc8_home_description_2|I can smell the fragrance of many sweet flowers and see the bees harvesting their nectar. If you don't mind, I will gather some herbs for our own use, it will only take a moment.
str_npc9_home_description_2|There's no use trudging around here if we are not backed by a large Uruk-hai horde. Unless you want to make faces at the lookouts on the wall, that is.
str_npc10_home_description_2|Minas Morgul, where Nazgul drink all day, har-har!
str_npc11_home_description_2|Doesn't Orthanc look like a giant... something?
str_npc12_home_description_2|Doesn't Orthanc look like a giant... something?
str_npc13_home_description_2|Minas Morgul, where Nazgul drink all day, har-har!
str_npc14_home_description_2|Minas Morgul, where Nazgul drink all day, har-har!
str_npc15_home_description_2|Minas Morgul, where Nazgul drink all day, har-har!
str_npc16_home_description_2|Minas Morgul, where Nazgul drink all day, har-har!
str_npc17_home_description_2|I could chisel you a nice pipe. Would you like a pipe?
str_npc1_home_recap|I was born and raised in Ithilien, in a long line of warriors tracing back to the Southern Dúnedain.
str_npc2_home_recap|I was born in Minas Tirith, in a humble, but proud family.
str_npc3_home_recap|I am one of the Eorlingas, or Rohirrim, as foreigners call us.
str_npc4_home_recap|I don't find it amusing that you should forget so easily.
str_npc5_home_recap|I'll indulge your curiosity, but let us not tarry.
str_npc6_home_recap|I was born and raised in Mirkwood, a Silvan Elf. Our race's woodcraft skills are known to all.
str_npc7_home_recap|I am son of Dwalin of the Durin's folk.
str_npc8_home_recap|I am a healer and a herbalist from Dale.
str_npc9_home_recap|Gulm will tell you if you must know. But talk doesn't make enemies dead.
str_npc10_home_recap|I'll make this short.
str_npc11_home_recap|I'll make this short.
str_npc12_home_recap|I'll make this short.
str_npc13_home_recap|I'll make this short.
str_npc14_home_recap|I'll make this short.
str_npc15_home_recap|I'll make this short.
str_npc16_home_recap|I'll make this short.
str_npc17_home_recap|I was born at the edge of the woods, but spent all my life in the woods. Did I tell you of the many trees there?
str_npc1_honorific|Captain
str_npc2_honorific|commander
str_npc3_honorific|commander
str_npc4_honorific|commander
str_npc5_honorific|commander
str_npc6_honorific|warrior
str_npc7_honorific|captain
str_npc8_honorific|commander
str_npc9_honorific|Master
str_npc10_honorific|Master
str_npc11_honorific|Master
str_npc12_honorific|Master
str_npc13_honorific|Chieftain
str_npc14_honorific|Captain
str_npc15_honorific|Master
str_npc16_honorific|Chieftain
str_npc17_honorific|Chief
str_comment_you_captured_a_castle_allied_friendly|I heard that you have besieged and taken {s51}. That was a great dead, and I am proud to call you my friend!
str_comment_you_captured_a_castle_allied_spiteful|I heard that you have besieged and taken {s51}. Good work! Soon, we will have all their fortresses to despoil, their treasuries to ransack, their grieving widows to serve us our wine.
