itm_horse_meat|Конина
itm_rhun_greataxe|Рунійська велика сокира
itm_rhun_battleaxe|Рунійська бойова сокира
itm_rhun_falchion|Дикунський фальшіон
itm_rhun_glaive|Рунійськая глефа
itm_rhun_greatfalchion|Дикунський великий фальшіон
itm_rhun_greatsword|Дикунський великий меч
itm_rhun_shortsword|Дикунський короткий меч
itm_rhun_sword|Дикунський меч
itm_rhun_mangler|Рунійський Кинджал
itm_dale_light_a|Дейльская куртка ополченця
itm_dale_light_b|Північний легкий пластинчастий обладунок
itm_dale_med_a|Північний важкий пластинчастий обладунок
itm_dale_med_b|Дейльска шкіряна броня
itm_dale_med_c|Дейльская шкірянка поверх кольчуги
itm_dale_med_d|Дейльска пластинчаста броня
itm_dale_heavy_a|Дейльска кольчуга з пластинами
itm_dale_heavy_b|Дейльская пластинчата куртка
itm_dale_heavy_c|Рованіонська кольчуга
itm_north_leather|Півничний шкіряний жилет
itm_dale_helmet_a|Дейльский легкий піхотний шолом
itm_dale_helmet_b|Дейльский легкий шолом лучника
itm_dale_helmet_c|Дейльский піхотний шолом
itm_dale_helmet_d|Дейльский Шолом Лучника
itm_dale_helmet_e|Шолом барда-лучника
itm_dale_helmet_f|Шолом барда-лучника
itm_dale_sword|Дейльский короткий меч
itm_dale_sword_long|Дейльский довгий меч
itm_dale_sword_broad|Дейльский меч піхотинця
itm_dale_pike|Дейльский спис
itm_dale_billhook|Дейльская алебарда
itm_dale_shield_a|Дейльский баштовий щит
itm_dale_shield_b|Дейльский баштовий щит
itm_dale_shield_c|Дейльский круглий щит
itm_umb_armor_a|Шкіряний жилет Корсарів
itm_umb_armor_b|Корсарська шкіряна броня
itm_umb_armor_c|Підбита броня Корсарів
itm_umb_armor_d|Важко підбита броня Корсарів
itm_umb_armor_e|Корсарськи гауберк
itm_umb_armor_f|Броня Ватажка Корсарів
itm_umb_helm_a|Корсарський шолом-раковина
itm_umb_helm_b|Високий шолом Корсара
itm_umb_helm_c|Корсарський шолом ополченця
itm_umb_helm_d|Корсарський шолом нальотчика
itm_umb_helm_reward|Стародавня нумінорська карма
itm_corsair_trident|Тризуб гнів моря
itm_corsair_boots|Корсарські чоботи
itm_umb_shield_a|Корсарський щит
itm_umb_shield_b|Корсарський баклер
itm_umb_shield_c|Корсарський баклер
itm_umb_shield_d|Корсарський баклер
itm_umbar_spear|Умбарський короткий спис
itm_umbar_cutlass|Умбарська абордажна шабля
itm_kraken|Абордажна шабля Кракена
itm_umbar_rapier|Умбарський абордажний меч
itm_corsair_harpoon|Корсарський гарпун
itm_corsair_sword|Корсарський екет
itm_corsair_throwing_dagger|Криві метальні ножі
itm_umbar_pike|Корсарський тризуб
itm_woodman_tunic|Сорочка лісовика
itm_woodman_scout|Шапка лісовика-розвідника
itm_woodman_padded|Підбита броня лісовика
itm_beorn_tunic|Беорнінгський одяг
itm_beorn_padded|Беорнінгська підбита броня
itm_beorn_heavy|Беорнінгська важка броня
itm_beorn_berserk|Беорнінгський одяг берсерка
itm_beorn_chief|Беорнінгський одяг вождя
itm_beorn_helmet|Ведмежий черепник
itm_beorn_shield|Північний щит
itm_beorn_axe|Беорнінгська сокира
itm_beorn_staff|Посох лісовика
itm_beorn_battle_axe|Беорнінгська бойова сокира
itm_dwarf_shield_a|Гномів кутовий щит
itm_dwarf_shield_b|Гномів баштовий щит
itm_dwarf_shield_c|Гномів бойової щит
itm_dwarf_shield_d|Гномів круглий щит
itm_north_round_shield|Північний круглий щит
itm_woodmen_heavy|Броня Лихолісся
itm_dwarf_sword_a|Гном'ячий меч
itm_dwarf_sword_b|Беорнінгський короткий меч
itm_dwarf_sword_c|Гном'ячий меч
itm_dwarf_sword_d|Гном'ячий меч
itm_dwarf_battle_axe|Гном'яча бойова сокира
itm_dwarf_great_axe|Гном'яча велика сокира
itm_dwarf_great_mattock|Гном'яча велика мотика
itm_dwarf_great_pick|Гном'яче велике кайло
itm_dwarf_throwing_axe_reward|Ереборські метальні сокири
itm_dwarf_mattock|Гном'яча мотика
itm_dwarf_hand_axe|Гномів топірець
itm_dwarf_throwing_axe|Метальні сокири гномів
itm_dwarf_spear|Гном'ячий спис
itm_dwarf_spear_b|Гном'яча піка
itm_dwarf_spear_c|Гном'яча довга сокира
itm_dwarf_helm_coif|Гномів койф
itm_dwarf_nasal_b|Гномів шолом з наносником
itm_north_skullcap|Північна черепник
itm_dwarf_helm_kettle|Гном'яча капеліна
itm_dwarf_helm_fris|Гном'ячий чубатий шолом
itm_north_leather_skullcap|Північний легкий черепник
itm_dwarf_hood|Гном'ячий капюшон
itm_dwarf_nasal|Гном'ячий Топхельм з носовою пластиною
itm_north_nasal_helm|Північний шолом з наносником
itm_dwarf_helm_p|Гномів королівський шолом
itm_dwarf_miner|Гномів легкий шолом
itm_north_chieftain|Північний шолом ватажка
itm_dwarf_helm_round|Гном'ячий закруглений шолом
itm_dwarf_helm_sallet|Гном'ячий салет
itm_dwarf_armor_d|Луската куртка Залізних Горбів
itm_dwarf_armor_a|Ереборська куртка поверх кольчуги
itm_leather_dwarf_armor|Гном'яча підбита куртка
itm_dwarf_armor_b|Ереборская сорочка поверх кольчуги
itm_leather_dwarf_armor_b|Гном'яча підбита шкірянка
itm_dwarf_armor_c|Ереборська луската кольчуга
itm_dwarf_vest|Гном'ячий одяг
itm_dwarf_vest_b|Кольчуга Залізних Горбів
itm_dwarf_pad_boots|Гном'ячі підбиті чоботи
itm_dwarf_chain_boots|Гномів кольчужні панчохи
itm_dwarf_scale_boots|Гном'ячі лускаті чоботи
itm_good_mace|Булава
itm_mordor_banner|Мордорський прапор
itm_isengard_banner|Ізенґардський прапор
itm_woodelf_banner|Прапор Лихолісся
itm_lorien_banner|Лоріенський прапор
itm_imladris_banner|Рівендільский прапор
itm_gondor_lance_banner|Ґондорський спис з прапорцем
itm_amroth_lance_banner|Дол-Амротський спис з прапорцем
itm_rohan_lance_banner_sun|Роганський спис з прапором сонця
itm_rohan_lance_banner_horse|Роганський спис з прапором коня
itm_fur_gloves_reward|Мисливські рукавички
itm_ent_water|Дивна чаша води
itm_map|Карти Середзем'я
itm_athelas_reward|Сушене листя Ателаса
itm_phial_reward|Світоч Ґаладріель
itm_scroll_reward|Про падіння Гондоліна
itm_hammer_reward|Ковальський молот
itm_khand_knife_reward|Кхандський жертовний кинджал
itm_angmar_whip_reward|Батіг Пана
itm_horn_gondor_reward|Ріг Ґондору
itm_harad_totem_reward|Харадський тотем
itm_elven_amulet_reward|Ельфійський амулет
itm_torque_reward|Намисто зла
itm_orc_brew|Оркське пійло
itm_rohan_saddle|Сідло
itm_mearas_reward|Жеребець Меарас
itm_shield_of_tuor|Щит Туора
itm_riv_armor_reward|Рівендільска прикрашена броня
itm_westernesse1h_reward|Нуменорський меч
itm_westernesse2h_reward|Нуменорський меч
itm_mirkwood_sword_reward|Зеленоліський священний меч
itm_nazgul_sword|Меч Назгула
itm_cooking_cauldron|Котел
itm_eorl_cavalry_sword|Меч Еорла
itm_garlic_reward|Часник
itm_silmarillion_reward|Сильмариліон
itm_herbarium_reward|Гербарій Середзем'я
itm_book_of_moria|Книга Мазбурла
itm_ring_a_reward|Тулькарісіль
itm_ring_b_reward|Фінварісіль
itm_dale_bow_reward|Лук Барда
itm_tome_of_knowledge|Фоліант таємних знань
itm_orc_idol_reward|Ідол першого орка
itm_crebain_reward|Кребен
itm_miruvor_reward|Фляжка Мірувору
itm_wheeled_cage|Гігантська колісна клітка
itm_orc_throwing_axes_reward|Ґундабадські метальні сокири
itm_corsair_throwing_dagger_reward|Отруєні метальні кинджали
itm_dwarf_shield_reward|Щит Келед-зараму
itm_dwarf_great_axe_reward|Гном'яча гостра сокира
itm_isen_uruk_heavy_reward|Броня воєводи урук-хай
itm_lorien_bow_reward|Нолдорський лук
itm_elven_cloak|Ельфійський плащ
itm_dale_sword_reward|Дейльский королівський меч
itm_dale_armor_reward|Дейльская благородна кольчуга
itm_leather_gloves_reward|Рукавички лучника
itm_beorn_shield_reward|Беорнінгський щит
itm_beorn_axe_reward|Ведмежа дубина
itm_drums_of_the_deep|Барабани глибини
itm_khamul_helm|Шолом Кгамулу
itm_black_arrows_reward|Чорні стріли
itm_leather_boots_reward|Мисливські чоботи
itm_rohan_armor_th|Роганська королівська броня
itm_wilderness_cowl|Капюшон мисливця
itm_prisoner_coll_chain|Кайдани
itm_witchking_helmet|Маска Чародія
itm_feet_chains|Кайдани на ноги
itm_feet_chains_dwarf|Кайдани на ноги
itm_spider|Павук
itm_bear|Ведмідь
itm_wolf|Вовк
itm_werewolf|Перевертень
itm_thrush_reward|Дрізд
itm_gauntlets_reward|Залізні кулаки
itm_stones_siege|Осадні камні
itm_beorn_axe_no_attack|Беорнінгська сокира
