qstr_Received_{reg0}_dama|Отримано {reg0} шкоди.
qstr_Following|Після
qstr_Charging|Зарядка
qstr_Advancing|Просуваючись
qstr_Falling_Back|Падіння назад
qstr_Standing_Closer|Стоячи ближче
qstr_Spreading_Out|Розповсюдження
qstr_Standing|Стоячи
qstr_N/A|Н/Д
qstr_Free|Вільний
qstr_Any_Weapon|Будь-яка зброя
qstr_Blunt_Weapons|Тупа зброя
qstr_Infantry__{reg1}_|Піхота ({reg1})
qstr_Archers__{reg2}_|Стрільці ({reg2})
qstr_Cavalry__{reg3}_|Кавалерія ({reg3})
qstr_Given_by:_{s62}|Надано: {s62}
qstr_Given_on:_{s60}|Надано: {s60}
qstr_You_have_{reg0}_days|У вас є {reg0} дн., щоб завершити цей квест.
qstr_This_quest_has_been_|Цей квест завершено. Поговоріть із {s59}, щоб завершити це.
qstr_This_quest_has_been_s|Цей квест було успішно завершено. Поговоріть із {s59}, щоб отримати свою винагороду.
qstr_This_quest_has_faile|Цей квест провалився. Поговоріть з {s59}, щоб пояснити ситуацію.
qstr_At_the_time_quest_wa|У той час, коли було дано квест:^{s1}
qstr_{s7}_and_{s8}|{s7} і {s8}
qstr_{s7}_{s8}|{s7}, {s8}
qstr_noone|ніхтоніхто
qstr_{s9}_and_{s10}|{s9} і {s10}
qstr_{s9}_{s10}|{s9}, {s10} {s9}, {s10}
qstr_no_one|ніхто не
qstr_{s11}_and_{s12}|{s11} і {s12}
qstr_{s11}_{s12}|{s11} і {s12}
qstr_{s5}_is_ruled_by_{s6|{s5} керується {s6}.^Вона контролює {s8}.^Його командиром є {s10}.^{s5} воює з {s12}.
qstr_{s5}_has_been_defeat|{s5} переможено!
qstr_{s5}_has_a_strength_|Загалом {s5} має силу {reg1} чоловіків.
qstr_no_holdings|немає холдингів
qstr_{s57}_and_{s58}|{s57} і {s58}
qstr_{s57}_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?She:He}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54} є правителем {s56}.^:{s54} служить {s55} з {s56}.^}}{reg9?{reg3?Вона:Він} є {reg3? lady:lord} of {s58}.:}{s59}{reg10?^{reg3?She:He} загинула на полі бою!:}
qstr_The_last_time_you_sa|Востаннє ви бачили {reg1?her:him}, {s1}
qstr_The_last_time_you_he|Востаннє, коли ви чули про {reg1?her:him}, {s1}
qstr_The_{s50}|{s50}
qstr_{s50}_belongs_to_{s1|{s50} належить до {s1} із {s2}.^
qstr_Current_garrison_con|Нинішній гарнізон складається з {reg5} чоловік.^Має запас продовольства на {reg6} днів.
qstr_Very_Poor|Дуже погане
qstr_Poor|Бідний
qstr_Average|Середній
qstr_Rich|Багатий
qstr_Very_Rich|Дуже Багатий
qstr_Strength|Сила
qstr_Agility|Спритність
qstr_Intelligence|Інтелект
qstr_Charisma|Харизма
qstr_You_ve_gained_{s6}_f|Ви здобули {s6} від здобуття {s7}
qstr_You_ve_lost_{s6}_fro|Ви втратили {s6} від втрати {s7}
qstr_{s50}_Caves|{s50} Печери
qstr_{s50}_Mines|{s50} Шахти
qstr_{s50}_Woods|{s50} Ліс
qstr_{s4}_looks_upset.|{s4} виглядає розгніваним
qstr_your_party|ваш загін
qstr_{reg0?One_of_your_pr|{reg0?Один з ваших полоненних, :}{s1} of {s3} втік з полону!
qstr_You_brought_{reg3}_h|Ви привели {reg3} голів скоту до {s1}.
qstr_Log_entry_{reg3}:_ty|Запис до журналу {reg3}: тип {reg4}
qstr_Center:_{s4}|Центр: {s4}
qstr_Troop:_{s4}|Загін: {s4}
qstr_Lord:_{s4}|Лорд: {s4}
qstr_Ally_party_is_presen|Присутній загін союзників
qstr_{s4}_is_present_at_e|{s4} бере участь у події
qstr_Event_#{reg5}_type_{|Подія #{reg5}, тип {reg6}, час {reg8}: відношення королівства гравця до загону об'єкта = {reg7}
qstr_Event_#{reg5}_type_{r|Подія #{reg5}, тип {reg6}, час {reg8}: відношення королівства гравця до центрального об'єкта фракції = {reg7}
qstr_Event_#{reg5}_type_{re|Подія #{reg5}, тип {reg6}, час {reg8}: відношення королівства гравця до об'єкта фракція = {reg7}
qstr_Event_#{reg5}_type_{reg|Подія #{reg5}, тип {reg6}, час {reg8}. Немає актуального відношення королівства
qstr_Event_#{reg5}_type_{reg6|Event #{reg5}, type {reg6}, time {reg8}. Не пов'язано з гравцем
qstr_Elapsed_hours:_{reg7|Минуло годин: {reg7}
qstr_Reputation_type:_{s1|Тип репутації: {s15}
qstr_Entries_up_to_#{reg5|До #{reg5} ходів пропущено
qstr_A_new_location_is_no|Нова локація тепер доступна на мапі!
qstr_New_trait_gained:_{s|Здобута нова риса: {s5}.
qstr_Gained_permanent_+1_|Отримано перманентно +1 до Сила.
qstr_Gained_permanent_+1_t|Отримано перманенто +1 до Спритність.
qstr_Gained_permanent_+1_to|Отримано перманентно +1 до Харизма.
qstr_Gained_permanent_+20|Отримано перманетно +20 до володіння зброєю.
qstr_Gained_permanent_+2_|Отримано перманентно +2 до Сила.
qstr_Gained_permanent_+2_t|Отримано перманентно +2 до Харизма.
qstr_Lost_permanent__1_to|Втрачено перманентно -1 до Харизма.
qstr_Gained_permanent_+1_to_|Отримано перманентно +1 до Залізна Шкіра.
qstr_Gained_permanent_+5_|Отримано перманентно +5 до Сила.
qstr_Lost_permanent__2_to|Втрачено перманентно -2 до Харизма.
qstr_Gained_permanent_+2_to|Отримано перманентно +2 до Залізна Шкіра.
qstr_Gained_permanent_+10|Отримано перманентно +10 до володіння зброєю.
qstr_Gained_permanent_+1_to_T|Отримано перманентно +1 до Тактика.
qstr_You_have|У вас є
qstr_{s1}_has|{s1} має
qstr_{s11}_suffered_a_ser|{s11} отримав серйозне поранення
qstr_The_leg_has_been_bad|Нога була сильно скалічена у битві.
qstr___2_athletics__1_rid|(-2 атлетика, -1 їзда верхи, -2 спритність, -15 навик рукопашного бою)
qstr_The_arm_has_been_bad|Рука була сильно скалічена у битві.
qstr___20_weapon_skill__2|(-20 навик зброя, -2 сила, -1 потужні атаки)
qstr_The_head_has_suffere|Голова зазнала сильного удару.
qstr___1_intelligence_ski|(-1 навик інтелекту, -15 навик метання)
qstr_The_chest_has_suffer|У грудній клітині зламано кілька ребер.
qstr___20_weapon_skill_|(-20 навик зброя)
qstr_{s1}_has_been_killed|{s1} було вбито.
qstr_You_were_killed.|Вас убили.
qstr_{s1}_recovered_from_|{s1} відновився після серйозного поранення.
qstr_The_leg_wound_has_he|Поранення ноги вилікувано.
qstr__+2_athletics_+1_rid|(+2 атлетика, +1 їзда верхи, +2 спритність, +15 навик рукопашного бою)
qstr_The_arm_wound_has_he|Поранення руки вилікувано.
qstr__+20_weapon_skill_+2|(+20 навик зброя, +2 сила, +1 потужні атаки)
qstr_The_head_wound_has_h|Поранення голови вилікувано.
qstr__+1_intelligence_ski|(+1 навик інтелекту, +15 навик метання)
qstr_The_cracked_ribs_hav|Зламані ребра вилікувано.
qstr__+20_weapon_skill_|(+20 навик зброя)
qstr_{s1}_has_had_his_hea|{s1} отримав бонус до здоров'я
qstr_News_has_arrived_tha|Надійшла звістка що {s1} з {s2} загинув у битві з військами {s28}!
qstr_{s1}_s_Burial_Mound|{s1}'s Могильний Пагорб
qstr_{s1}_s_Funeral_Pyre|{s1}'s Похоронне Багаття
qstr_{s1}_is_logged_as_de|{s1} записано мертвим
qstr_You_have_been_discov|Вас виявили до того, як піднялися на стіну.
qstr_The_enemy_is_coming_|Ворог наступає військом, ви повинні тікати!
qstr_Scout_this_area_alon|Розвідайте цю місцевість наодинці та зустріньтеся зі своїми людьми за її межами!
qstr_Be_stealthy_but_elim|Будьте непомітними, але швидко усувайте будь-які загрози!
qstr_You_are_spotted_by_a|Патруль вас помітив!
qstr_Eliminate_them_befor|Знищіть їх до того, як тривога поширилась!
qstr_You_have_reached_the|Ви дійшли до підземелль!
qstr_Eliminate_the_guards|Знищіть охоронців та звільніть своїх людей!
qstr_{s1}_has_been_captur|{s1} було схоплено ворогом.
qstr_Gondor_takes_a_capti|Ґондор бере у полон
qstr_Rohan_takes_a_captiv|Роган бере у полон
qstr_Mordor_takes_a_capti|Мордор бере у полон
qstr_Isengard_takes_a_cap|Ісенґард бере у полон
qstr_You_were_grievously_|Вас було тяжко поранено і ваше тіло було завалено трупами. Дочекавшись моменту, вам вдалося втекти через стіну, але ворог міг помітити ваше пересування. Краще швидко забиратися звідси.
qstr_You_were_grievously_w|Ви були тяжко поранені в бою. Вашим людям вдалося відтягнути вас з поля бою зазнавши при цьому жахливих втрат.
qstr_You_were_grievously_wo|Ви були тяжко поранені в бою. Вашим людям вдалося відтягнути вас з поля бою зазнавши при цьому жахливих втрат. На жаль, деяких з ваших соратників схопили і взяли в полон до {s2}.
qstr_You_were_grievously_wou|Ви були тяжко поранені в бою. Вашим людям вдалося відтягнути вас з поля бою, але, на жаль, чаклуну вдалося втікти.
qstr_You_were_grievously_woun|Вас було тяжко поранено і ваше тіло було завалено трупами. Дочекавшись моменту, вам вдалося втекти, але, на жаль, чаклуну вдалося втікти.
qstr_Some_of_your_compani|Деякі з ваших соратників страждають від старих ран.
qstr_Item_you_just_equipp|Предмет, який ви щойно екіпірували, не підходить персонажам цієї раси і скоро буде переміщений в інвентар гравця^^Впевніться, що ваше спорядження має місце для предмета або його буде втрачено.
qstr_Inappropriate_equipm|Невідповідне спорядження
qstr_The_mount_you_just_e|Скакун, якого ви щойно екіпірували, не підходить персонажам цієї раси. Будуть проблеми з поведінкою тварини на полі бою, якщо ви залишите все як є.
qstr_Inappropriate_mount|Невідповідний скакун
qstr_{s24}:_Your_infantry|{s24}: Ваша піхота почувається краще!
qstr_{s24}:_Your_archers_|{s24}: Ваші лучники почуваються краще!
qstr_{s24}:_Your_cavalry_|{s24}: Ваша кавалерія почувається краще!
qstr_Ah_what_a_coincidenc|Ах, який збіг натрапити на вас, {playername}! Ви, можливо, мене і не знаєте, а ось я про вас чув. Я прямую до {s4}, але я щойно з {s3} де згадувалося ваше ім'я. {s3} покладається на вас в ці небезпечні часи і якщо ви думали над прийняттям якихось відволікаючих дій, то я щиро сподіваюся, що ви передумаєте і сфокусуєтесь на допомозі {s2} усіма можливими силами.
qstr_Who_are_you?|Хто ви?
qstr_A_friend_of_{s3}_and|Друг {s3} і людей {s2}. А тепер покваптесь! Мордор стягує різну нечисть і Темна Сила прикладає усі зусилля щоб зібрати їх там. Час для всього доброго у цьому світі збіжить, якщо ми не зробимо все, що від нас залежить, і не дамо цьому відсіч!
qstr_What_should_I_do?|Що я повинен робити?
qstr_Find_{s3}_s_whereabo|Негайно знайдіть місцезнаходження {s3} та поговоріть з {reg3?her:him}. Нехай щастить!
qstr_Good_to_see_the_Shad|Приємно побачити, що Тінь не змогла перемогти тебе, {playername}.
qstr_You_are_the_one_they|Тебе звуть Гендальфом або Мітрандіром.
qstr_You_are_the_one_they_|Таких як ти називають Радагастами
qstr_That_is_what_some_ca|Дехто так мене називає. За моїх часів мене також називали по-іншому, але якщо Темряву не зупинити, невдовзі може не залишитися нікого, хто міг би мене якось називати.
qstr_What_do_you_mean?|Що ти маєш на увазі?
qstr_In_spite_of_their_va|Незважаючи на доблесний опір, {s3} був переможений силами зла. Люди {s3} розсіяні, і доброго {s4} більше немає.
qstr_You_bring_dismal_new|Сумні звістки ти приніс, чарівнику.
qstr_But_I_also_bring_a_m|Але також я несу послання надії. Народ {s5} все ще стоїть непохитно. Їхні воїни безстрашні, а вожді рішучі.
qstr_Help_them_fight_the_|Допоможіть їм боротися з ворогом усім, чим можете. Ніколи не здавайтеся! Та будьте на сторожі! У світі є речі старіші та огидніші за орків.
qstr_Beware_{playername}_|Стережися, {playername}, могутність Темряви руйнується. {s3} впав, як і його лідер {s4}.
qstr_What_do_you_want_of_|Чого ти хочеш від мене, старий?
qstr_Just_know_that_a_Daw|Просто знайте, що світанок вже близько. Це неминуче. Ви повинні залишатися живими  щоб побачити це, подумайте, що б ви хотіли собі сказати.
qstr_Well_met_{playername|Радий знайомству, {playername}, {s24}. Моя довіра до тебе не була марною. Могутність сил Тіні була зломлена, і твої зусилля зіграли в цьому не останню роль!
qstr_Thank_you_Mithrandir|Дякую, Мітрандіре!
qstr_Thank_you_Radagast!|Вельми вдячний, Радагасте.
qstr_The_wizard_Saruman_i|Чарівника Сарумана більше немає, а Барад-Дур розбито на порох разом з його Темним Володарем! Всі народи Середзем'я позбавлені загрози, яка ледь не поглинула все добре і чисте в цьому світі. Ворог переможений, а Король повернувся!
qstr_It_was_a_long_and_bl|Це була довга і кривава війна. Багато наших близьких друзів вже давно немає з нами.
qstr_There_is_much_to_reg|Є багато про що шкодувати та оплакувати, а ще більше - відбудовувати та виправляти найближчими днями. Але зараз радіймо з тими нашими друзями, які все ще з нами, і святкуймо все, чого ми досягли в Останні дні Третього Віку.
qstr_Orcs_are_marching_ag|Орки наступають на Хельмову Западину
qstr_Orcs_are_marching_aga|Орки наступають на Едорас.
; qstr_Ah_{playername}_happ|Ah, {playername}, happy chance that we come on each other in this fashion! Grim tidings I bring from Western Rohan, and haste is sore needed.
; qstr_What_tidings_do_you_|What tidings do you bring, Mithrandir? What can I do?
; qstr_Saruman_has_loosed_I|Saruman has loosed Isengard upon Rohan. {s1} For the success of my designs, the valiant Rohirrim must not fall, {playername}! The danger to them is very great, yet also the emptying of Isengard has left it vulnerable, for Saruman has despatched his full strength against Theoden King. This may be the time to move into Nan Curunir. A choice is now laid before you, Commander, a choice you must make, for neither you nor I may be everywhere at once!
; qstr_Do_you_want_me_to_he|Do you want me to help King Theoden defend {s3}, or hasten to Isengard and see what I can do?
; qstr_Either_would_be_a_gr|Either would be a great boon to me. You must decide your course on your own, {playername}, as shall I. Shadowfax shall bear me now on a swift errand. You must act quickly as well! Hasten now!
; qstr_Gandalf_asked_you_to|Gandalf asked you to either help Theoden defend {s3} or find out what is happening in Isengard.
qstr_Ents|Енти
; qstr_Hail_{playername}!_I|Hail, {playername}! I hope you are unhurt? At any rate, I am pleased you aided my friend Fangorn, or you may know him as Treebeard. The tree shepherds are very mighty, but it was likely that they marched to their doom. You have perhaps saved them from a great peril, Commander, and for that I am glad. I would not like to see the oldest of all living things pass from the world, no, not just yet… no, not before they see the Entwives again, I should hope.
; qstr_Missing_String|Missing String
; qstr_Well_thank_you_{play|Well, thank you, {playername}, and farewell. We may meet again, ere the waning of the moon!
; qstr_Hail_{playername}!_I_|Hail, {playername}! I hope you are unhurt? At any rate, you seem to have lain your blade to the right foe. No enemy has yet taken the Hornburg, and likely none ever shall – not while the likes of you defend Helm’s Gate, I’ll warrant!
; qstr_Your_deed_has_greatl|Your deed has greatly helped my design, better even than I could have hoped or planned. Farewell, {playername}, and thank you. We may meet again, ere the waning of the moon!
; qstr_{Playername}_I_will_|{Playername}, I will ask you a thing now. You are accounted an able captain, and a dutiful one; were you overmastered by great foes? Did you tarry overlong, for caution or even fear? Behold, we are now come into a greater peril than I could have foreseen. The strength of Rohan is broken, her people scattered and shieldless: Helm’s Deep has fallen. The trees are withered untimely, and night lies over the forge-fires of Isengard: the Ents of Fangorn Forest are dead or driven back.
; qstr_You_have_failed_me_{|You have failed me, {playername} – or perhaps it is I who have failed you. Perhaps there was some flaw in my design, some grave blunder I did not recognise… The terror of Mordor comes. Leave me now, {playername}. We may meet again… or perhaps not.
qstr_Bagginsssss..._Ssssh|Беггінннссcc......ШШШиииррр....
qstr_I..._don_t_know!|Я... не знаю!
qstr_It..._beckonsssssss.|Воно... вабить до с-с-с-с-себе...
qstr_Treachery..._Unforgi|Зрада... Непрощений...
qstr_But_I...|Але я...
qstr_Noone..._oppossssses|Ніххтоо....ворррооггг...Барад Дур....і жииитттяяя!
qstr_All..._must..._submi|Усі... повинні... підкоритися... і... служити...
qstr_I_serve_the_Eye!|Я служу Оку!
qstr_I_shall_serve_the_Ey|Я буду служити Оку!
qstr_Go_to_{s1}_and_speak|Йди до {s1} та поговори з {s9}.
; qstr_The_Remnant_Forces_o|The Remnant Forces of {s22} have gathered to reinforce the {s15} theater!
; qstr_The_strength_of_the_|The strength of the remaining allied factions of the {s15} theater has increased
; qstr_{s30}_reinforced_by_|{s30} reinforced by {reg65} fac str
qstr_{s1}_has_been_besieg|{s1} був обложений {s2} з {s3}.
qstr_The_forces_of_{s2}_m|Війська {s2} йдуть до {s15}!
qstr_Rohan_capital_moved_|Столицю Рахану Едорас змінено на Хорнбург!
; qstr_Dale_capital_moved_f|Dale capital moved from Dale to Esgaroth!
; qstr_Gundabad_capital_mov|Gundabad capital moved from Gundabad to Goblin Town!
; qstr_You_have_breached_th|You have breached the Ring of Isengard with the help of the Tree Men. During the battle, Isengard was flooded, but Orthanc still stands unscathed in midst of the havoc. You should investigate the aftermath.
; qstr_The_hosts_of_{s2}_re|The hosts of {s2} retreat back to their homes!
qstr____Ruins_of_{s1}___|Руїни {s1}
; qstr_{s1}_has_joined_the_|{s1} has joined the Hand
; qstr_{s1}_has_joined_the_E|{s1} has joined the Eye
qstr_ranks|ранги
qstr_shield_wall|стіна щитів
qstr_wedge|клин
qstr_square|квадрат
qstr_up|вгору
qstr___Infantry_forming_{|Формація піхоти {s1}.
qstr___Not_enough_infantr|Недостатньо піхоти, щоб сформувати {s1}, зберігаємо стрій.
qstr___Cavalry_forming_{s|Формація кавалерії {s1}.
qstr___Not_enough_cavalry| Недостатньо кавалерії, щоб сформувати {s1}, зберігаємо стрій.
qstr___Archers_forming_{s|Формація лучників {s1}.
qstr___Not_enough_archers|Недостатньо лучників, щоб сформувати {s1}, зберігаємо стрій.
qstr___Infantry_formation|Стрій піхоти порушений.
qstr___Cavalry_formation_|Кавалерійський стрій порушений.
qstr___Archer_formation_d|Стрій лучників порушений.
; qstr_Division_{reg1}_{s2}|Division {reg1} {s2} forming {s1}.
; qstr_Not_enough_troops_in|Not enough troops in division {reg1} {s2} to form {s1}.
; qstr_Division_{reg1}_{s2}_|Division {reg1} {s2} is an {s3} division and cannot form {s1}.
; qstr_{s1}:_infantry_forma|{s1}: infantry formation disassembled.
; qstr_{s1}:_archer_formati|{s1}: archer formation disassembled.
; qstr_{s1}:_skirmisher_for|{s1}: skirmisher formation disassembled.
; qstr_{s1}:_cavalry_format|{s1}: cavalry formation disassembled.
; qstr_{s1}:_formation_disa|{s1}: formation disassembled.
; qstr_Cavalry_formation_di|Cavalry formation disassembled.
; qstr_The_placement_of_{s1|The placement of {s1} division {reg0} memorized.
; qstr_The_placement_of_{s1}|The placement of {s1} division {reg0} set to default.
; qstr_Your_party_s_tactica|Your party's tactical skill limits how far away you can deploy your troops!
qstr_...and_attack_enemy_|...і атакувати ворожу {s1} дивізію!
qstr_{s2}:_returning_afte|{s2}: повертаються після знищення ворожої {s1} дивізії.
qstr_infantry|Піхота
qstr_archer|лучник
qstr_cavalry|Кіннота
qstr_polearm|древкова зброя
qstr_skirmisher|застрільник
qstr_mounted_archer|кінний лучник
qstr_support|підтримка
qstr_bodyguard|охорона
; qstr_undetermined_type_of|undetermined type of
qstr_{s1}_has_fled_the_ba|{s1} втік із поля бою!
; qstr_Your_side_is_at_{reg|Your side is at {reg1}% cohesion ({reg3}% recent events), the enemy at {reg2}%!
qstr_Morale_of_your_troop|Моральний дух ваших військ похитнувся!
qstr_Morale_of_your_enemi|Бойовий дух ваших ворогів похитнувся!
qstr_Your_enemies_flee_in|Ваші вороги тікають у жаху!
qstr_Many_of_your_enemies|Багато ваших ворогів тікають від бою.
qstr_Some_of_your_enemies|Деякі з ваших ворогів тікають від бою.
qstr_A_few_of_your_enemie|Кілька ваших ворогів тікають від бою.
qstr_Your_troops_flee_in_|Ваші війська тікають у жаху!
qstr_Many_of_your_troops_|Багато ваших військ тікають з бою.
qstr_Some_of_your_troops_|Деякі з ваших військ тікають з бою.
qstr_A_few_of_your_troops|Кілька ваших солдатів тікають з бою.
; qstr_Gained_permanent_+1_to_P|Gained permanent +1 to Pathfinding.
; qstr_Gained_permanent_+1_to_S|Gained permanent +1 to Spotting.
qstr_{s11}_recovered_from|{s11} одужало після важкого поранення.
qstr_Volunteers|Добровольці
qstr_Reserves|Резерви
; qstr_have_taken_measure_o|have taken measure of your faction's current strength and has grown bolder.
; qstr_loses_Faction_Streng|loses Faction Strength as supply lines were disrupted.
; qstr_loses_Faction_Strengt|loses Faction Strength due to the destruction of their camp.
; qstr_gains_Faction_Streng|gains Faction Strength as news of your victory spreads.
; qstr_Something_wrong_not_|Something wrong, not enough troops to remove
qstr_Raiders|грабіжник
; qstr_have_won_the_sea_bat|have won the sea battle, demoralizing your troops. The enemy may take advantage of this defeat and attack more frequently.
; qstr_loses_Faction_Strength|loses Faction Strength due to the destructive raid.
; qstr_loses_Faction_Strength_|loses Faction Strength due to the your success at the sea.
; qstr_You_spent_{reg67}_of|You spent {reg67} of your influence with {s1}, with {reg66} remaining.
; qstr_{s2}_{reg3?was:is_ar|{s2} {reg3?was:is around {s5}.
; qstr_Army_of_{s6}|Army of {s6}
; qstr_Host_of_{s6}|Host of {s6}
; qstr_The_host_of_Isengard|The host of Isengard has razed {s2}!
; qstr_{s1}_{s0}|{s1}, {s0}
; qstr_{s1}_and_{s0}|{s1} and {s0}
qstr_No_Troops_Left.|Військ не залишилося.
; qstr_avoid_melee|avoid melee
; qstr_stand_and_fight|stand and fight
qstr_Everyone|Усі
; qstr_Shield___{reg31}_|Shield (-{reg31})
; qstr_Power_Draw___{reg31}|Power Draw (-{reg31})
; qstr_Riding___{reg31}_|Riding (-{reg31})
; qstr_Horse_Archery___{reg|Horse Archery (-{reg31})
; qstr_Athletics___{reg31}_|Athletics (-{reg31})
; qstr_No_Skill_Penalty_Ass|No Skill Penalty Assigned
; qstr_Inventory|Inventory
; qstr_Show_stats|Show stats
; qstr_Show_item_details__|Show item details  
; qstr_Troop_detail|Troop detail
; qstr_{s1}^|{s1}^
; qstr_{s1}Level:_{reg1}^|{s1}Level: {reg1}^
; qstr_{s1}Hit_Points:_{reg|{s1}Hit Points: {reg1}
; qstr_{s1}Atributes:_^___S|{s1}Atributes: ^   Strength:^
; qstr_{s2}^{reg1}^|{s2}^{reg1}^
; qstr_{s1}___Agility:|{s1}   Agility:
; qstr_{s2}{reg1}|{s2}{reg1}
; qstr_{s1}Main_skills:_^|{s1}Main skills: ^
; qstr_{s1}___Power_Strike:|{s1}   Power Strike:^
; qstr_{s2}{reg1}^|{s2}{reg1}^
; qstr_{s1}___Athletics:^|{s1}   Athletics:^
; qstr_{s1}___Riding:^|{s1}   Riding:^
; qstr_{s2}_^|{s2}-^
; qstr_{s1}___Power_Throw:^|{s1}   Power Throw:^
; qstr_{s1}___Power_Draw:^^|{s1}   Power Draw:^^
; qstr_{s2}{reg1}^^|{s2}{reg1}^^
; qstr_{s2}_^^|{s2}-^^
; qstr_{s1}Weapons:^|{s1}Weapons:^
; qstr_{s1}___One_Handed:^|{s1}   One Handed:^
; qstr_{s1}___Two_Handed:^|{s1}   Two Handed:^
; qstr_{s1}___Polearms:^|{s1}   Polearms:^
; qstr_{s1}___Archery:^|{s1}   Archery:^
; qstr_{s1}___Crossbow:^|{s1}   Crossbow:^
; qstr_{s1}___Throwing:^|{s1}   Throwing:^
; qstr_{s1}___Slings:|{s1}   Slings:
; qstr_{s2}_|{s2}-
; qstr__Click_on_the_troop_|(Click on the troop to rotate it)^^Click on pieces of gear ^(helmet, armor, gloves and boots)^ to display them.
; qstr_ready_bows_and_missi|ready bows and missiles
; qstr_ready_side_arms|ready side arms
; qstr_ready_two_hander|ready two-hander
; qstr_ready_polearms|ready polearms
; qstr_shields_up|shields up
; qstr_doff_shields|doff shields
; qstr_Distance___{reg70}__|Distance - {reg70} - {s11} Party - {s12} Troop
; qstr_A_golden_mist_from_L|A golden mist from Lórien covers the battlefield. Your troops feel encouraged by the presence of the Lady.
; qstr_A_golden_mist_from_Lr|A golden mist from Lórien covers the battlefield. The witch is near, sending shivers down you and your troops' spine.
; qstr_Dark_clouds_from_Mor|Dark clouds from Mordor cover the battlefield. Your archers have trouble seeing the enemy, and the presence of evil terrifies your men.
; qstr_Dark_clouds_from_Mord|Dark clouds from Mordor cover the battlefield. The Dark Lord's presence strengthens you and your men.
; qstr_A_thunderstorm_from_|A thunderstorm from the Misty Mountains rages over the battlefield. Your troops are slowed down, and the superstitious amongst the men feel scared.
; qstr_A_thunderstorm_from_t|A thunderstorm from the Misty Mountains rages over the battlefield. Archers have difficulty in this weather.
; qstr_A_poisonous_fog_from|A poisonous fog from Dol Guldur lingers on the battlefield. You and your troops feel weakened. There is fear amongst the men.
; qstr_A_poisonous_fog_from_|A poisonous fog from Dol Guldur lingers on the battlefield. You do not feel any different, but you hear your enemies suffer and you can smell their fear.
; qstr_{s2}_attacked|{s2} attacked
; qstr_You_shapeshift_into_|You shapeshift into a bear!
; qstr_You_got_{reg1}_exper|You got {reg1} experience in bear form.
; qstr_Your_ability_to_chan|Your ability to change skin has manifested, from now on you can walk wild paths both as man and a bear.
; qstr_You_change_back_to_h|You change back to human form...
; qstr_Refill_Ammunition|Refill Ammunition
qstr_Your_mount_stumbles!|Ваш скакун спотикається! Здається, кульгає.
qstr_Bitten_by_your_own_w|Ушкодження наніс  ваш власний варг!
qstr_You_weigh_too_much_f|Ваша вага занадто велика для їзди верхи!
qstr_Your_mount_rears_ref|Ваш скакун пручається, відмовляючись виконувати ваші команди!
; qstr_Cannot_Change_Camera|Cannot Change Camera Mode while in First Person.
; qstr_Switch_Back_to_3rd_P|Switch Back to 3rd Person View to Cycle Camera.
qstr_Fixed_Custom_Camera|Камера користувача відкорегована
; qstr_Press_Ctrl_+_Left_/_|Press Ctrl + Left / Ctrl + Right Arrow Keys to Switch Shoulders
; qstr_Press_Ctrl_+_Down_to|Press Ctrl + Down to Center
; qstr_Press_Ctrl_and_+/__t|Press Ctrl and +/- to zoom in/out
; qstr_Press_Ctrl_and_Up/Do|Press Ctrl and Up/Down arrow keys to tilt up/down
qstr_Fixed_Camera___Right|Фіксована камера - праве плече
qstr_Fixed_Camera___Left_|Фіксована камера - ліве плече
; qstr_Fixed_Camera___Cente|Fixed Camera - Center
; qstr_Shield_is_too_big_to|Shield is too big to be used with a bow.
; qstr_{s7}_waves_at_you.|{s7} waves at you.
; qstr_You_happen_upon_an_O|You happen upon an Old Guesthouse. As you inspect the weathered stone building, you notice a group of boys playing among the pillars, the only children you have seen in Minas Tirith.  One of them greets you and you wave back. Your heart is gladdened and you forget, for a brief moment, the sorrow of war.
; qstr_You_look_through_Hen|You look through Henneth Annun, the Window of the Sunset. The beautiful sight restores your faith in the West and the Powers beyond.
; qstr_As_you_follow_the_st|As you follow the straight stairs, cut into the rock of the mountain, and then a second set of stairs, winding as it clings to the cliff-face, you realize that you should not pursue this path any further if you value your own life.
; qstr_You_are_unable_to_en|You are unable to endure the horrors of the Dead City.
; qstr_You_endure_the_horro|You endure the horrors of the Dead City and explore its innermost circles. The Silent Watchers recognise your boldness and don't oppose you. (You gained 1 Charisma.)
; qstr_You_are_unable_to_end|You are unable to endure the horrors of the temple.
; qstr_You_endure_the_horror|You endure the horrors of the unspeakable rituals in this sacred place. The cruel people of Rhun recognise the strength you have shown and some of their mightiest decide to join your party.
; qstr_You_find_yourself_in|You find yourself in a deep cavern. Your hackles rise as you look around you, and you begin to feel a strange sense of danger. This is no place for one such as you. Snarling, you make your retreat. When the Shadow has covered the world above, perhaps then, you may return here without fear...
; qstr_You_find_yourself_in_|You find yourself in a deep cavern. Your hackles rise as you look around you, and you begin to feel a strange sense of danger. Raising your weapon high, you snarl your defiance at the unseen foe in this place. This may have been a place of wonder once... but now, with the true power you have gained, you realize you have nothing to fear from the forgotten past of a broken world.
