menu_start_game_1|^^^^^^^^^^За що ти б'єшся?
menu_guardian_party_spawned|^^^^^Розвідники повідомляють, що {s6} зібрав велику армію в околицях {s7}, в останній відчайдушній спробі захистити столицю.
mno_intro_next|Продовжити...
mno_start_defend_caravan|Захистити караван!
mno_start_raid_caravan|Пограбувати караван!
mno_start_ambush_orcs|Напасти на орків!
mno_start_kill_scouts|Не дати розвідникам оповістити про ваше прибуття!
mno_go_your_way|Кинути їх напризволяще
mno_defend_villagers|Захистити жителів села!
mno_raid_villagers|Розграбувати село!
mno_go_away|Відійти і перегрупуватися.
menu_scout_camp_quest|Ви помічаєте табір розвідників. Ви кажете своїм воїнам напасти.
mno_attack_scout_camp|Атакувати табір розвідників!
menu_sea_battle_quest|Ви зустріли ворожий флот. Кораблі зближуються і моряки перекидають містки...
mno_sb_defend_the_town|На абордаж! Спаліть їх кораблі!
mno_sb_attack_the_town|Вони намагаються перехопити нас! Захищайте кораблі!
menu_camp_field_ai|^^^^^Натисніть на опцію, щоб включити або вимкнути.^^^ Відключення цих опцій буде підвищувати продуктивність (FPS), підберіть настройки для комфортної гри.
mno_lord_field_ai|Лорди мають покращений AI битв: {s7}
mno_horse_archer_field_ai|Кінні лучники мають покращений AI битв: {s7}
mno_vs_orcs_field_ai|Лучники краще ціляться в орків (без цього Тюнінга вони зазвичай ціляться вище ніж потрібно): {s7}
mno_battlefield_animals|Компаньйони-звірі НЕ їздові будуть з'являтися в бою якщо такі є: {s7}
mno_slow_when_wounded|Поранені бігають повільніше: {s7}
mno_battle_encounter_effects|Спеціальні ефекти, засновані на фракціях, на полях битв (e.g бурі, тумани): {s7}
menu_hungry_orc|ХалепА Ніхто
menu_leaving_elf|ХалепА Ніхто
mno_defend_refugees|Не спускати очей з нальотчиків...
mno_attack_refugees|Напасти на обоз біженців...
mno_leave_refugees|Залишимо їх... поки що...
mno_evil_war_tut_continue|Продовжити...
menu_alternate_training_fight|Ви будете боротися проти {reg5} супротивників. Ви готові?
mno_training_continue|Почати тренування...
menu_alternate_training_conclusion|{s5}
mno_alternate_training_retry|Спробувати знову...
mno_alternate_training_finish|Покинути арену...
menu_custom_battle_choose_faction1|^^^^^^^^^^Виберіть вашу сторону і ступінь переваги:
mno_good_equal|Фракція Добра
mno_bad_equal|Фракція Зла
mno_replay_prev|Відтворити попередню установку.
menu_custom_battle_choose_faction2|^^^^^^^^^^Вибрати фракцію Добра
mno_cb_gondor|Гондор
mno_cb_gondor1|Рохан
mno_cb_gondor2|Лотлоріен
mno_cb_gondor3|Рівенделл
mno_cb_gondor4|Темноліся
mno_cb_gondor5|Гноми
mno_cb_gondor6|Дейл
mno_cb_gondor7|Беорнінги
menu_custom_battle_choose_faction3|^^^^^^^^^^Вибрати фракцію Зла
mno_cb_mordor|Мордор
mno_cb_mordor1|Ізенгард
mno_cb_mordor2|Дунланд
mno_cb_mordor3|Харадрім
mno_cb_mordor4|Істерлінг
mno_cb_mordor5|Морія
mno_cb_mordor6|Гундабад
mno_cb_mordor7|Рун
mno_cb_mordor8|Корсари
mno_rescue_mission|Прокрастися в лігво чаклуна під покровом ночі.
mno_next_rescue_scene_door|Далі!
mno_pick_troops1|Виберіть супутників для цього завдання, {reg0} вибрано
menu_pick_troops|Кого б ви взяли з собою в стелс-місію? ^Лише ваші найспритніші війська та товариші зможуть приєднатися до вас. ^Як член партії з найвищими навичками розвідки, {reg65?{s1} радить:ви вирішуєте}, що ви можете взяти з собою до {reg11} військ. ^^Наразі ви вибрали {reg0} супутників.
mno_go_forward|Супутники обрані, в путь.
menu_burial_mound|Ви підходите до місця поховання {s1} з {s2}. Він був переможений силами {s28}. Навколо складено зазубрені зброю його полеглих ворогів.
mno_pay_respects|Схилити коліна і віддати данину поваги.
mno_swear_oath|Дати клятву помсти!
mno_despoil|Осквернити могилу.
mno_leave_mound|Піти з кургану.
menu_burial_mound_respects|Ви встаєте на коліна в знак поваги, якого заслуговував {s1}, шепочете молитву, бажаючи воїну швидкого подорожі в загробний світ. Більше вам тут робити нічого.
menu_burial_mound_oath|Ви голосно Клянетесь, що помститеся ворогам, від руки яких загинув {s4}. Ви будете шукати де тільки можна воїнів, які б'ються за {s3}, і знищувати їх, не знаючи пощади. Ваші слова підхоплює вітер, і хто знає - чи не донесе він їх навіть за Море?
menu_funeral_pyre_oath|Ви голосно Клянетесь, що помститеся ворогам, від руки яких загинув {s4}. Ви будете шукати де тільки можна воїнів, які б'ються за {s3}, і знищувати їх, не знаючи пощади. Ваші слова підхоплює вітер, і хто знає - чи не донесе він їх навіть за Море?
mno_leave_pyre_oath|Покинути попелище.
menu_burial_mound_despoil|Власними руками ви ламаєте монумент, під яким лежить {s1}. Навіть каміння безчестить ви своїми прокльонами, лайливими змовами і діяннями, про які не слід говорити. Ваші воїни в жаху біжать геть, побоюючись гніву померлого, але, здається, жахливістю зробленого ви заслужили їхню повагу.
menu_funeral_pyre|Ви підходите до обвуглені залишкам похоронного багаття {s3} з {s2}. Він був переможений силами {s28}. Тут, його тіло було з пошаною спалено його особистими охоронцями. Нічого цінного не залишилося.
mno_leave_pyre|Покинути попелище.
menu_town_ruins|Після прибуття в поселення ви виявили, що воно зруйновано. {s1} {s2}
mno_ruin_menu_0|Оглянути місцевість.
mno_ruin_leave|Продовжити...
menu_premutiny|ХалепА
menu_death|Вас вбили. Війна триває, але вже без вашої участі.
menu_animal_ambush|Заблукавши, ви трохи відстали від своїх, як раптом...
menu_animal_ambush_success|{s2} {reg0?впали:впав} перед вами, як пшениця для коси! Незабаром всі ваші нападники лежать на підлозі, поранені або мертві. {S3}
menu_animal_ambush_fail|Тварини мучать кусають вас {reg0?,: ви та ваш соратник {reg2?s,:,}} але вам вдається відірватися від ворога. Ви сподіваєтеся, що вас не стануть переслідувати.
; menu_isengard_flooding|^^^^^@You are surrounded by dead foes and triumphant allies, including the Ents; they roar, and boom, and trumpet, until stones crack and fall all around the Tower of Orthanc. They are like a howling gale, breaking pillars, hurling avalanches of boulders down the shafts, tossing up huge slabs of stone into the air like leaves... It is like nothing you have ever seen.^^ Bregalad -- or Quickbeam, as you know him -- comes striding by, and pauses only to say, '{playername}! Ware! Keep away from the Tower -- we shall soon break the dam and bring the Isen into this valley, for a little while. You will find it very hard to stay standing here, I think!' Quickly, you take his advice and hasten away from Orthanc.^^ At about midnight, Isengard begins to fill up with black creeping streams and pools. You cannot help but shiver as you see smoke and steam rising in great pillars, and a great coil of vapour rising and snaking around the Tower, until it resembles a tall peak of cloud, fiery underneath and moonlit above. The wrath of the Ents is slow, but possesses an irresistible force...
; mno_isengard_continue|Continue
menu_build_your_scene|Ви можете створити свою власну бойову сцену, використовуючи один із наведених нижче слотів та режим редагування гри (вам потрібно спочатку ввімкнути режим редагування на екрані запуску M&B, а потім натиснути Ctrl+E у межах сцени, щоб отримати доступ до режиму редагування). Ви можете потім представити вашу створену локацію (а саме, файли sco з папки TLD/SceneObj) команді TLD, і, якщо ваша локація вдалася, вона може з'явитися в наступних випусках як одна з випадкових полів битв! ^^Спробуйте визначити, на якій області карти повинна з'являтися ваша локація.^ Пара підказок: уникайте глибокої води, крутих гір і інших непрохідних місць, якщо тільки ви не досвідчений творець локацій і знаєте, як перешкодити переміщенню солдат ІІ в непотрібні місця і направити їх в потрібні.^ (Вхід #0-1 для атакуючих, #4 для захисників, не чіпати #5-8
mno_scene1|Велика рівнина (file scn custom 1.sco)
mno_scene2|Середня рівнина (file scn custom 2.sco)
mno_scene3|Маленька рівнина (file scn custom 3.sco)
mno_scene4|Великий степ (file scn custom 4.sco)
mno_scene5|Середній степ (file scn custom 5.sco)
mno_scene6|Маленький степ (file scn custom 6.sco)
mno_scene7|Великий ліс (file scn custom 7.sco)
mno_scene8|Середній ліс (file scn custom 8.sco)
mno_scene9|Маленький ліс (file scn custom 9.sco)
mno_back_3dot|Назад...
mno_back|Повернутись назад.
mno_next|Далі...
