trp_unarmed_troop|Беззбройний Воїн
trp_i5_harad_lion_guard|Воїн левової гвардії
trp_i5_harad_lion_guard_pl|Воїни левової гвардії
trp_a3_harad_hunter|Харадський мисливець
trp_a3_harad_hunter_pl|Харадські мисливці
trp_a4_harad_archer|Харадський лучник
trp_a4_harad_archer_pl|Харадські лучники
trp_a5_harad_eagle_guard|Воїн орлиною гвардії
trp_a5_harad_eagle_guard_pl|Воїни орлиної гвардії
trp_c2_harondor_scout|Харондорський розвідник
trp_c2_harondor_scout_pl|Харондорські розвідники
trp_c3_harondor_rider|Харондорський вершник
trp_c3_harondor_rider_pl|Харондорські вершники
trp_c4_harondor_light_cavalry|Харондорський Легкий Вершник
trp_c4_harondor_light_cavalry_pl|Харондорські Легкі Вершники
trp_c5_harondor_serpent_knight|Лицар Золотий Змії
trp_c5_harondor_serpent_knight_pl|Лицарі Золотий Змії
trp_ac3_harondor_skirmisher|Харондорський застрільник
trp_ac3_harondor_skirmisher_pl|Харондорські застрільники
trp_ac4_harondor_horse_archer|Харондорський кінний лучник
trp_ac4_harondor_horse_archer_pl|Харондорські кінні лучники
trp_ac5_harondor_black_snake|Кінний лучник Чорної змії
trp_ac5_harondor_black_snake_pl|Кінні лучники Чорної змії
trp_i2_far_harad_tribesman|Виходець із племен Далекого Харада
trp_i2_far_harad_tribesman_pl|Вихідці із племен Далекого Харада
trp_i4_far_harad_champion|Далекохарадський прославлений воїн
trp_i4_far_harad_champion_pl|Далекохарадські прославлені воїни
trp_i5_far_harad_panther_guard|Воїн гвардії пантери
trp_i5_far_harad_panther_guard_pl|Воїни гвардії пантери
trp_i1_dun_wildman|Дунландський дикун
trp_i1_dun_wildman_pl|Дунландські дикуни
trp_i2_dun_warrior|Дунландський воїн
trp_i2_dun_warrior_pl|Дунландські воїни
trp_i3_dun_pikeman|Дунландський пікінер
trp_i3_dun_pikeman_pl|Дунландські пікінери
trp_i4_dun_vet_pikeman|Дунландський досвідчений пікінер
trp_i4_dun_vet_pikeman_pl|Дунландські досвідчені пікінери
trp_ac4_dun_crebain_rider|Дунландський чорний воронячий вершник
trp_ac4_dun_crebain_rider_pl|Дунландські чорні воронячі вершники
trp_i3_dun_vet_warrior|Дунландський воїн-ветеран
trp_i3_dun_vet_warrior_pl|Дунландські воїни-ветерани
trp_i4_dun_wolf_warrior|Дунландський вовчий воїн
trp_i4_dun_wolf_warrior_pl|Дунландські вовчі воїни
trp_i5_dun_wolf_guard|Дунландський вовчий страж
trp_i5_dun_wolf_guard_pl|Дунландські вовчі стражники
trp_ac5_dun_raven_rider|Дунландський Нічний Ворон
trp_ac5_dun_raven_rider_pl|Дунландські Нічні Ворони
trp_i1_khand_bondsman|Кхандський раб
trp_i1_khand_bondsman_pl|Кхандський раб
trp_i2_khand_pit_dog|Кхандську Собачу яму
trp_i2_khand_pit_dog_pl|Кхандські Собачі ями
trp_i3_khand_warrior|Кхандський Воїн
trp_i3_khand_warrior_pl|Кхандські Воїни
trp_i4_khand_vet_warrior|Кхандський Досвідчений Воїн
trp_i4_khand_vet_warrior_pl|Кхандські Досвідчені Воїни
trp_i5_khand_war_master|Варягський Майстер Війни
trp_i5_khand_war_master_pl|Варягські Майстри Війни
trp_c2_khand_pony_rider|Кхандський вершник на поні
trp_c2_khand_pony_rider_pl|Кхандські вершники на поні
trp_c3_khand_horseman|Кхандський вершник
trp_c3_khand_horseman_pl|Кхандські вершники
trp_c4_khand_heavy_horseman|Важкий Кхандський вершник
trp_c4_khand_heavy_horseman_pl|Важкі Кхандські вершники
trp_c5_khand_kataphrakt|Броньований Варяг
trp_c5_khand_kataphrakt_pl|Броньовані Варяги
trp_c5_khand_lance_kataphrakt|Варягський Улан
trp_c5_khand_lance_kataphrakt_pl|Варягські Улани
trp_i4_khand_halberdier|Кхандський воїн з глефою
trp_i4_khand_halberdier_pl|Кхандські воїни з глефою
trp_i5_khand_halberd_master|Варягський Майстер-Алібард
trp_i5_khand_halberd_master_pl|Варягські Майстри-Алібард
trp_i3_khand_pitfighter|Кхандську бійцівську яму
trp_i3_khand_pitfighter_pl|Кхандські бійцівські ями
trp_i4_khand_pit_champion|Кхандський Чемпіон Ям
trp_i4_khand_pit_champion_pl|Кхандські Чемпіони Ям
trp_i5_khand_pit_master|Варягський Господар ям
trp_i5_khand_pit_master_pl|Варягські Господарі ям
trp_ac3_khand_skirmisher|Кхандський застрільник
trp_ac3_khand_skirmisher_pl|Кхандські застрільники
trp_ac4_khand_vet_skirmisher|Кхандський досвідчений застрільник
trp_ac4_khand_vet_skirmisher_pl|Кхандські досвідчені застрільники
trp_ac5_khand_heavy_skirmisher|Важкий варьягський застрільник
trp_ac5_khand_heavy_skirmisher_pl|Важкі варьягські застрільники
trp_i1_corsair_youth|Умбарський моряк
trp_i1_corsair_youth_pl|Умбарські моряки
trp_i2_corsair_warrior|Умбарський воїн
trp_i2_corsair_warrior_pl|Умбарські воїни
trp_i3_corsair_spearman|Умбарський списоносець
trp_i3_corsair_spearman_pl|Умбарські списоносці
trp_i4_corsair_raider|Морський грабіжник
trp_i4_corsair_raider_pl|Морські грабіжники
trp_i5_corsair_night_raider|Корсарський нічний грабіжник
trp_i5_corsair_night_raider_pl|Корсарські нічні грабіжники
trp_a2_corsair_marine|Умбарський морський піхотинець
trp_a2_corsair_marine_pl|Умбарські морські піхотинці
trp_a3_corsair_marksman|Умбарський стрілець
trp_a3_corsair_marksman_pl|Умбарські стрільці
trp_a4_corsair_veteran_marksman|Умбарський лучник-ветеран
trp_a4_corsair_veteran_marksman_pl|Умбарські лучники-ветерани
trp_a5_corsair_master_marksman|Майстерний корсар-лучник
trp_a5_corsair_master_marksman_pl|Майстерні корсари-лучники
trp_i3_corsair_swordsman|Мечник Умбара
trp_i3_corsair_swordsman_pl|Мечники Умбара
trp_i4_corsair_veteran_swordsman|Досвідчений мечник Умбара
trp_i4_corsair_veteran_swordsman_pl|Досвідчені мечники Умбара
trp_i5_corsair_master_swordsman|Майстерний корсар-мечник
trp_i5_corsair_master_swordsman_pl|Майстерні корсари-мечники
trp_a4_corsair_assassin|Корсар-вбивця
trp_a4_corsair_assassin_pl|Корсари-вбивці
trp_a5_corsair_master_assassin|Корсар-вбивця
trp_a5_corsair_master_assassin_pl|Корсари-вбивці
trp_i4_corsair_veteran_spearman|Умбарський списник-ветеран
trp_i4_corsair_veteran_spearman_pl|Умбарські списники-ветерани
trp_i5_corsair_master_spearman|Умбарський майстер спису
trp_i5_corsair_master_spearman_pl|Умбарські майстри спису
trp_i5_corsair_master_pikeman|Умбарський майстер піки
trp_i5_corsair_master_pikeman_pl|Умбарські майстри піки
trp_i1_isen_orc_snaga|Орк-Снага Ізенгарду
trp_i1_isen_orc_snaga_pl|Орки-Снаги Ізенгарду
trp_i2_isen_orc|Орк Ізенгарду
trp_i2_isen_orc_pl|Орки Ізенгарду
trp_i3_isen_large_orc|Великий орк Ізенгарду
trp_i3_isen_large_orc_pl|Великі орки Ізенгарду
trp_i4_isen_fell_orc|Лютий орк Ізенгарду
trp_i4_isen_fell_orc_pl|Люті орки Ізенгарду
trp_i3_isen_large_orc_despoiler|Великий орк-мародер
trp_i3_isen_large_orc_despoiler_pl|Великі орки-мародери
trp_i4_isen_fell_orc_despoiler|Лютий орк-мародер
trp_i4_isen_fell_orc_despoiler_pl|Люті орки-мародери
trp_ac2_isen_wolf_rider|Вовчий вершник Ізенгарду
trp_ac2_isen_wolf_rider_pl|Вовчі вершники Ізенгарду
trp_ac3_isen_warg_rider|Ізенгардський вершник на Варзі
trp_ac3_isen_warg_rider_pl|Ізенгардські вершники на Варзі
trp_ac4_isen_white_hand_rider|Вершник Білої долоні
trp_ac4_isen_white_hand_rider_pl|Вершники Білої долоні
trp_warg_ghost_1b|Варг
trp_warg_ghost_1b_pl|Варги
trp_warg_ghost_1c|Варг
trp_warg_ghost_1c_pl|Варги
trp_warg_ghost_1d|Варг
trp_warg_ghost_1d_pl|Варги
trp_warg_ghost_a1b|Варг
trp_warg_ghost_a1b_pl|Варги
trp_warg_ghost_a1c|Броньований варг
trp_warg_ghost_a1c_pl|Броньовані варги
trp_warg_ghost_a2b|Броньований варг
trp_warg_ghost_a2b_pl|Броньовані варги
trp_warg_ghost_a2c|Броньований варг
trp_warg_ghost_a2c_pl|Броньовані варги
trp_warg_ghost_a3a|Броньований варг
trp_warg_ghost_a3a_pl|Броньовані варги
trp_warg_ghost_h|Величезний варг
trp_warg_ghost_h_pl|Величезні варги
trp_a2_isen_uruk_tracker|Слідопит Урук-Хай
trp_a2_isen_uruk_tracker_pl|Слідопити Урук-Хайї
trp_a3_isen_large_uruk_tracker|Великий слідопит Урук-Хай
trp_a3_isen_large_uruk_tracker_pl|Великі слідопити Урук-Хайї
trp_a4_isen_fighting_uruk_tracker|Бійцівський слідопит Урук-Хай
trp_a4_isen_fighting_uruk_tracker_pl|Бійцівські слідопити Урук-Хайї
trp_i6_isen_uruk_berserker|Бійцівський Берсерк Урук-Хай
trp_i6_isen_uruk_berserker_pl|Бійцівські Берсерки Урук-Хайї
trp_i1_isen_uruk_snaga|Новонароджений Урук-Хай
trp_i1_isen_uruk_snaga_pl|Новонароджені Урук-Хайї
trp_i2_isen_uruk|Урук-хайї Ізенгарду
trp_i2_isen_uruk_pl|Урук-хайї Ізенгарду
trp_i3_isen_large_uruk|Великі Урук-Хайї Ізенгарду
trp_i3_isen_large_uruk_pl|Великі Урук-Хайї Ізенгарду
trp_i4_isen_fighting_uruk_warrior|Бійцівський воїн Урук-Хай
trp_i4_isen_fighting_uruk_warrior_pl|Бійцівські воїни Урук-Хайї
trp_i5_isen_fighting_uruk_champion|Непереможний бійцівський Урук-Хай
trp_i5_isen_fighting_uruk_champion_pl|Непереможні бійцівські Урук-Хайї
trp_i3_isen_uruk_pikeman|Урук-Хай пікінер
trp_i3_isen_uruk_pikeman_pl|Урук-Хайї пікінери
trp_i4_isen_fighting_uruk_pikeman|Бійцівський пікінер Урук-Хай
trp_i4_isen_fighting_uruk_pikeman_pl|Бійцівські пікінери Урук-Хайї
trp_i5_isen_uruk_standard_bearer|Прапороносець Урук-Хай
trp_i5_isen_uruk_standard_bearer_pl|Прапороносці Урук-Хайї
trp_i1_mordor_uruk_snaga|Урук-Снага Мордору
trp_i1_mordor_uruk_snaga_pl|Уруки-Снаги Мордору
trp_i2_mordor_uruk|Урук Мордору
trp_i2_mordor_uruk_pl|Уруки Мордору
trp_i3_mordor_large_uruk|Великий Урук Мордору
trp_i3_mordor_large_uruk_pl|Великі Уруки Мордору
trp_i4_mordor_fell_uruk|Мордорський Урук-рубака
trp_i4_mordor_fell_uruk_pl|Мордорські Уруки-рубаки
trp_i3_mordor_uruk_slayer|Мордорський Урук-вбивця
trp_i3_mordor_uruk_slayer_pl|Мордорські Уруки-вбивці
trp_i4_mordor_fell_uruk_slayer|Смертоносний Урук Мордору
trp_i4_mordor_fell_uruk_slayer_pl|Смертоносні Уруки Мордору
trp_i5_mordor_black_uruk|Чорний Урук Барад-Дуру
trp_i5_mordor_black_uruk_pl|Чорні Уруки Барад-Дуру
trp_i5_mordor_uruk_standard_bearer|Мордорський прапороносець
trp_i5_mordor_uruk_standard_bearer_pl|Мордорські прапороносці
trp_troll_of_moria|Печерний Троль
trp_troll_of_moria_pl|Печерні Тролі
trp_armoured_troll|Троль в обладунках
trp_armoured_troll_pl|Тролі в обладунках
trp_olog_hai|Мордорський Олог-Хай
trp_olog_hai_pl|Мордорські Олог-Хайї
trp_ent_old|Ент
trp_ent_old_pl|Енти
trp_i1_guldur_orc_snaga|Орк-Снага Дол-Ґулдуру
trp_i1_guldur_orc_snaga_pl|Орки-Снаги Дол-Ґулдуру
trp_a2_guldur_orc_tracker|Орк Слідопит Дол-Ґулдуру
trp_a2_guldur_orc_tracker_pl|Орки Слідопити Дол-Ґулдуру
trp_i1_mordor_orc_snaga|Орк-Снага Мордору
trp_i1_mordor_orc_snaga_pl|Орки-Снаги Мордору
trp_i2_mordor_orc|Орк Мордору
trp_i2_mordor_orc_pl|Орки Мордору
trp_i3_mordor_large_orc|Великий Орк Мордору
trp_i3_mordor_large_orc_pl|Великі Орки Мордору
trp_i4_mordor_fell_orc|Орк Рубака Мордору
trp_i4_mordor_fell_orc_pl|Орки Рубаки Мордору
trp_c3_mordor_warg_rider|Вершник на Варзі Горгорота
trp_c3_mordor_warg_rider_pl|Вершники на Варзі Горгорота
trp_c4_mordor_great_warg_rider|Удунський вершник на Варзі
trp_c4_mordor_great_warg_rider_pl|Удунські вершники на Варзі
trp_i2_mordor_morgul_orc|Орк з Мінас-Ітілю
trp_i2_mordor_morgul_orc_pl|Орки з Мінас-Ітілю
trp_i4_mordor_fell_morgul_orc|Орк Рубака з Мінас-Ітілю
trp_i4_mordor_fell_morgul_orc_pl|Орки Рубаки з Мінас-Ітілю
trp_a3_guldur_large_orc_tracker|Великий Орк з Дол-Ґулдуру
trp_a3_guldur_large_orc_tracker_pl|Великі Орки з Дол-Ґулдуру
trp_a4_guldur_fell_orc_tracker|Люті Орк слідопит з Дол-Ґулдуру
trp_a4_guldur_fell_orc_tracker_pl|Люті Орки слідопити з Дол-Ґулдуру
trp_a2_mordor_orc_archer|Орк лучник з Мордору
trp_a2_mordor_orc_archer_pl|Орки лучники з Мордору
trp_a3_mordor_large_orc_archer|Великий Орк лучник з Мордору
trp_a3_mordor_large_orc_archer_pl|Великі Орки лучники з Мордору
trp_a4_mordor_fell_orc_archer|Лютий орк-лучник з Мордору
trp_a4_mordor_fell_orc_archer_pl|Люті Орки-лучники з Мордору
trp_c3_moria_wolf_rider|Вовчий вершник Морії
trp_c3_moria_wolf_rider_pl|Вовчі вершники Морії
trp_c4_moria_warg_rider|Морійський вершник на Варзі
trp_c4_moria_warg_rider_pl|Морійські вершники на Варзі
trp_c5_moria_clan_rider|Вершник з клану Болгу
trp_c5_moria_clan_rider_pl|Вершники з клану Болгу
trp_i1_moria_snaga|Снага Морії
trp_i1_moria_snaga_pl|Снаги Морії
trp_i2_moria_goblin|Гоблін Морії
trp_i2_moria_goblin_pl|Гобліни Морії
trp_i3_moria_large_goblin|Великий Гоблін Морії
trp_i3_moria_large_goblin_pl|Великі Гобліни Морії
trp_i4_moria_fell_goblin|Лютий Гоблін Морії
trp_i4_moria_fell_goblin_pl|Люті Гобліни Морії
trp_a2_moria_goblin_archer|Гоблін лучник Морії
trp_a2_moria_goblin_archer_pl|Гобліни лучники Морії
trp_a3_moria_large_goblin_archer|Великий гоблін-лучник Морії
trp_a3_moria_large_goblin_archer_pl|Великі гобліни-лучники Морії
trp_a4_moria_fell_goblin_archer|Лютий гоблін-лучник Морії
trp_a4_moria_fell_goblin_archer_pl|Люті гобліни-лучники Морії
trp_i1_gunda_goblin|Гоблін Гундабаду
trp_i1_gunda_goblin_pl|Гобліни Гундабаду
trp_i2_gunda_orc|Орк Гундабаду
trp_i2_gunda_orc_pl|Орки Гундабаду
trp_i3_gunda_orc_fighter|Орк боєць Гундабаду
trp_i3_gunda_orc_fighter_pl|Орки бійці Гундабаду
trp_i4_gunda_orc_warrior|Орк-воїн Гундабаду
trp_i4_gunda_orc_warrior_pl|Орки-воїни Гундабаду
trp_i4_gunda_orc_berserker|Орк-берсерк Гундабаду
trp_i4_gunda_orc_berserker_pl|Орки-берсерки Гундабаду
trp_ca4_gunda_skirmisher|Лучник Гундабаду
trp_ca4_gunda_skirmisher_pl|Лучники Гундабаду
trp_ca5_gunda_clan_skirmisher|Гоблін-лучник Північного Клану
trp_ca5_gunda_clan_skirmisher_pl|Гобліни-лучники Північного Клану
trp_c3_gunda_goblin_rider|Гоблін-вершник Гундабаду
trp_c3_gunda_goblin_rider_pl|Гобліни-вершники Гундабаду
trp_c4_gunda_warg_rider|Вершник на варзі з Гундабаду
trp_c4_gunda_warg_rider_pl|Вершники на варзі з Гундабаду
trp_c5_gunda_clan_rider|Гоблін-вершник з північного клану
trp_c5_gunda_clan_rider_pl|Гобліни-вершники з північного клану
trp_i5_gunda_orc_champion|Непереможний Орк Гундабаду
trp_i5_gunda_orc_champion_pl|Непереможні Орки Гундабаду
trp_mountain_goblin2|Гірський гоблін
trp_mountain_goblin2_pl|Гірські гобліни
trp_tribal_orc2|Дикій орк
trp_tribal_orc2_pl|Дикі орки
trp_i5_gunda_orc_champion2|Непереможний Орк Гундабаду
trp_i5_gunda_orc_champion2_pl|Непереможні Орки Гундабаду
trp_i2_mordor_num_renegade|Чорний нуменорець
trp_i2_mordor_num_renegade_pl|Чорні нуменорці
trp_i3_mordor_num_warrior|Чорний нуменорець воїн
trp_i3_mordor_num_warrior_pl|Чорні нуменорці воїни
trp_i4_mordor_num_vet_warrior|Чорний нуменорець-ветеран
trp_i4_mordor_num_vet_warrior_pl|Чорні нуменорці-ветерани
trp_i5_mordor_num_champion|Непереможний чорний нуменорець
trp_i5_mordor_num_champion_pl|Непереможні чорні нуменорці
trp_i5_mordor_num_assassin|Чорний нуменорець-вбивця
trp_i5_mordor_num_assassin_pl|Чорні нуменорці-вбивці
trp_c4_mordor_num_horseman|Чорний нуменорець-вершник
trp_c4_mordor_num_horseman_pl|Чорні нуменорці-вершники
trp_c5_mordor_num_knight|Добірний Чорний нуменорець-вершник
trp_c5_mordor_num_knight_pl|Добірні Чорні нуменорці-вершники
trp_noldorin_commander|Нолдорський командир
trp_noldorin_commander_pl|Нолдорські командири
trp_elf_captain_of_lothlorien|Командир загону Лотлоріену
trp_elf_captain_of_lothlorien_pl|Командири загону Лотлоріену
trp_lothlorien_lieutenant|Лоріенський сотник
trp_lothlorien_lieutenant_pl|Лоріенські сотники
trp_elf_captain_of_mirkwood|Полководець Темнолісся
trp_elf_captain_of_mirkwood_pl|Полководці Темнолісся
trp_mirkwood_lieutenant|Темноліський сотник
trp_mirkwood_lieutenant_pl|Темноліські сотники
trp_elf_captain_of_rivendell|Полководець Рівенделлу
trp_elf_captain_of_rivendell_pl|Полководці Рівенделлу
trp_rivendell_lieutenant|Рівендельський сотник
trp_rivendell_lieutenant_pl|Рівендельські сотники
trp_lieutenant_of_rohan|Сотник Рогану
trp_lieutenant_of_rohan_pl|Сотники Рогану
trp_captain_of_rohan|Полководець Рогану
trp_captain_of_rohan_pl|Полководці Рогану
trp_high_captain_of_rohan|Воєвода Рогану
trp_high_captain_of_rohan_pl|Воєводи Рогану
trp_lieutenant_of_isengard|Сотник Ізенгарду
trp_lieutenant_of_isengard_pl|Сотники Ізенгарду
trp_captain_of_isengard|Полководець Ізенгарду
trp_captain_of_isengard_pl|Полководці Ізенгарду
trp_high_captain_of_isengard|Воєвода Ізенгарду
trp_high_captain_of_isengard_pl|Воєводи Ізенгарду
trp_lieutenant_of_mordor|Сотник Мордору
trp_lieutenant_of_mordor_pl|Сотники Мордору
trp_captain_of_mordor|Полководець Мордору
trp_captain_of_mordor_pl|Полководці Мордору
trp_high_captain_of_mordor|Воєвода Мордору
trp_high_captain_of_mordor_pl|Воєводи Мордору
trp_easterling_chieftain|Варьягський Вождь
trp_easterling_chieftain_pl|Варьягські Вожді
trp_easterling_lieutenant|Варьягський жрець війни
trp_easterling_lieutenant_pl|Варьягські жерці війни
trp_harad_chieftain|Харадський Вождь
trp_harad_chieftain_pl|Харадські Вожді
trp_harad_lieutenant|Харадський Сотник
trp_harad_lieutenant_pl|Харадські Сотники
trp_black_numenorean_captain|Чорний нуменорець-Полководець
trp_black_numenorean_captain_pl|Чорні нуменорці-Полководці
trp_black_numenorean_lieutenant|Чорний нуменорець-Сотник
trp_black_numenorean_lieutenant_pl|Чорні нуменорці-Сотники
trp_a5_dun_night_wolf|Дунландський нічний вовк
trp_a5_dun_night_wolf_pl|Дунландські нічні вовки
trp_dunnish_lieutenant|Дунландський Гетьман
trp_dunnish_lieutenant_pl|Дунландські Гетьмани
trp_goblin_chieftain|Гоблінський Вождь
trp_goblin_chieftain_pl|Гоблінські Вожді
trp_captain_of_gondor|Полководець Ґондору
trp_captain_of_gondor_pl|Полководці Ґондору
trp_nobleman|Знатний чоловік
trp_nobleman_pl|Знатні люди
trp_gondor_agent|Ґондорський шпигун
trp_gondor_agent_pl|Ґондорські шпигуни
trp_rohan_agent|Роганський шпигун
trp_rohan_agent_pl|Роганські шпигуни
trp_mordor_agent|Мордорський шпигун
trp_mordor_agent_pl|Мордорські шпигуни
trp_isengard_agent|Ізенгардський Шпигун
trp_isengard_agent_pl|Ізенградські шпигуни
trp_looter|Грабіжник
trp_looter_pl|Грабіжники
trp_bandit|Бандит
trp_bandit_pl|Бандити
trp_brigand|Найманець
trp_brigand_pl|Найманці
trp_mountain_bandit|Гірський розбійник
trp_mountain_bandit_pl|Гірські розбійники
trp_forest_bandit|Лісовий розбійник
trp_forest_bandit_pl|Лісові розбійники
trp_sea_raider|Морський грабіжник
trp_sea_raider_pl|Морські грабіжники
trp_steppe_bandit|Степовий розбійник
trp_steppe_bandit_pl|Степовий розбійник
trp_manhunter|Мисливець за головами
trp_manhunter_pl|Мисливці за головами
trp_kidnapped_girl|Викрадена дівчина
trp_kidnapped_girl_pl|Викрадені дівчата
trp_refugee|Біженець
trp_refugee_pl|Біженці
trp_peasant_woman|Селянка
trp_peasant_woman_pl|Селянки
trp_caravan_master|Господар каравану
trp_caravan_master_pl|Господарі каравану
trp_caravan_guard|Охорона каравану
trp_caravan_guard_pl|Охоронці каравану
trp_messenger_man|Гонець
trp_messenger_man_pl|Гінці
trp_messenger_elf|Гонець
trp_messenger_elf_pl|Гінці
trp_messenger_dwarf|Гонець
trp_messenger_dwarf_pl|Гінці
trp_messenger_orc|Гонець
trp_messenger_orc_pl|Гінці
trp_messenger_evil_man|Гонець
trp_messenger_evil_man_pl|Гінці
trp_town_walker_1|Городянин
trp_town_walker_1_pl|Городяни
trp_town_walker_2|Городянка
trp_town_walker_2_pl|Городяни
trp_village_walker_1|Селянин
trp_village_walker_1_pl|Селяни
trp_village_walker_2|Селянин
trp_village_walker_2_pl|Селяни
trp_spy_walker_1|Городянин
trp_spy_walker_1_pl|Городяни
trp_spy_walker_2|Горожанка
trp_spy_walker_2_pl|Городяни
trp_walker_man_gondor_black|Городянин
trp_walker_man_gondor_white|Городянин
trp_walker_man_gondor_blue|Городянин
trp_walker_man_gondor_green|Городянин
trp_walker_man_rohan_t|Роганський городянин
trp_walker_man_rohan_d|Роганський городянин
trp_walker_woman_rohan_t|Роганська дівчина
trp_walker_woman_rohan_d|Роганська дівчина
trp_walker_woman_gondor_b|Ґондорська жінка
trp_walker_woman_gondor_bw|Ґондорська жінка
trp_walker_woman_gondor_w|Знатний Ґондорець
trp_mirkwood_walker_1|Ельф Зеленолісся
trp_mirkwood_walker_2|Ельф Зеленолісся
trp_lorien_walker_1|Ельф Лотлоріена
trp_lorien_walker_2|Ельф Лотлоріена
trp_dwarf_walker|Гном
trp_beorn_walker|Селянин
trp_beorn_walker_fem|Селянка
trp_trainer_4|Тренер
trp_trainer_gondor|Тренер
trp_trainer_rohan|Тренер
trp_trainer_dale|Тренер
trp_trainer_elf|Тренер
trp_trainer_beorn|Тренер
trp_trainer_dwarf|Тренер
trp_trainer_mordor|Тренер
trp_trainer_isengard|Тренер
trp_trainer_khand|Тренер
trp_trainer_rhun|Тренер
trp_trainer_harad|Тренер
trp_trainer_umbar|Тренер
trp_ransom_broker_1|Перекупник полонених
trp_ransom_broker_2|Перекупник полонених
trp_ransom_broker_3|Перекупник полонених
trp_ransom_broker_4|Перекупник полонених
trp_ransom_broker_5|Перекупник полонених
trp_ransom_broker_6|Перекупник полонених
trp_ransom_broker_7|Перекупник полонених
trp_ransom_broker_8|Перекупник полонених
trp_ransom_broker_9|Перекупник полонених
trp_ransom_broker_10|Перекупник полонених
trp_tavern_traveler_1|Мандрівник
trp_tavern_traveler_2|Мандрівник
trp_tavern_traveler_3|Мандрівник
trp_tavern_traveler_4|Мандрівник
trp_tavern_traveler_5|Мандрівник
trp_tavern_traveler_6|Мандрівник
trp_tavern_traveler_7|Мандрівник
trp_tavern_traveler_8|Мандрівник
trp_tavern_traveler_9|Мандрівник
trp_tavern_traveler_10|Мандрівник
trp_tavern_minstrel_1|Менестрель
trp_npc1|Маблунг
trp_npc2|Кірділь
trp_npc3|Улфас
trp_npc4|Гальміне
trp_npc5|Глорфіндел
trp_npc6|Луеванна
trp_npc7|Кілі Златопалий
trp_npc8|Фаніул
trp_npc9|Гулм
trp_npc10|Дургаш
trp_npc11|Уфтак
trp_npc12|Горбаг
trp_npc13|Лікьяда
trp_npc14|Фулдімір
trp_npc15|Болзог
trp_npc16|Варфанг
trp_npc17|Дімборн
trp_knight_6_2|Голасгіл
trp_gondor_lord|Намісник Денетор
trp_gondor_lord_pl|Намісник
trp_rohan_lord|Король Теоден
trp_rohan_lord_pl|Король
trp_isengard_lord|Саруман
trp_isengard_lord_pl|Повелитель
trp_mordor_lord|Посланець Саурона
trp_mordor_lord_pl|Сатрап
trp_harad_lord|Вождь Ул-Улкарі
trp_harad_lord_pl|Вождь
trp_rhun_lord|Ярл Хелькарот
trp_rhun_lord_pl|Ярл
trp_khand_lord|Шібх Крукмахур
trp_khand_lord_pl|Шібх
trp_umbar_lord|Адмірал Тулмір
trp_umbar_lord_pl|Адмірал
trp_lorien_lord|Володарка Ґаладріель
trp_lorien_lord_pl|Володарка
trp_imladris_lord|Владика Ельронд
trp_imladris_lord_pl|Владика
trp_woodelf_lord|Король Трандуїл
trp_woodelf_lord_pl|Король
trp_moria_lord|Пан Болг Молодший
trp_moria_lord_pl|Пан
trp_guldur_lord|Пан Фуінур
trp_guldur_lord_pl|Пан
trp_gundabad_lord|Пан Бурза Круал
trp_gundabad_lord_pl|Пан
trp_dale_lord|Король Бранд
trp_dale_lord_pl|Король
trp_dwarf_lord|Король Даїн II Залізостоп
trp_dwarf_lord_pl|Король
trp_dunland_lord|Вождь Даеглаф Чорний
trp_dunland_lord_pl|Вождь
trp_beorn_lord|Вождь Грімбеорн Старий
trp_beorn_lord_pl|Вождь
trp_lorien_marshall|Келеборн
trp_knight_1_1|Ангбор Безстрашний
trp_knight_1_2|Хранитель ключів Хурін
trp_knight_1_3|Принц Імрахіль
trp_knight_1_4|Орталіон
trp_knight_1_5|Дуінхір
trp_knight_1_6|Хірлуін Прекрасний
trp_knight_1_7|Фарамир
trp_knight_1_8|Форлонг Товстий
trp_knight_1_9|Грімболд
trp_knight_1_10|Еркенбранд
trp_knight_1_11|Ельфхельм
trp_knight_1_12|Хама
trp_knight_1_13|Гамлінг
trp_knight_1_14|Еомер
trp_knight_1_15|Углук
trp_knight_1_16|Маухур
trp_knight_1_17|Мог Семипалий
trp_knight_1_18|Хушнак Довгоногий
trp_knight_1_19|Грідаш Древогриз
trp_knight_1_20|Гронк Людожер
trp_knight_2_1|Воєвода Мортен
trp_knight_2_2|Берутіель
trp_knight_2_3|Сканг
trp_knight_2_4|Фарахад Незаконнонароджений
trp_knight_2_5|Грішнак
trp_knight_2_51|Готмог
trp_knight_2_51_pl|Сотник
trp_knight_2_6|Вождь Карна Лев
trp_knight_2_7|Вождь На'ман
trp_knight_2_8|Вождь Хааріт
trp_knight_2_11|Кусулак
trp_knight_2_12|Улварт Балхот
trp_knight_2_13|Бродда
trp_knight_2_16|Тораск
trp_knight_2_17|Лурмсакун
trp_knight_3_1|Капітан Морбір
trp_knight_3_2|Капітан Ангамалі
trp_knight_3_3|Капітан Сангахьяндо
trp_knight_3_6|Халдір
trp_knight_3_7|Орофін
trp_knight_3_11|Елладан
trp_knight_3_12|Ельрогір
trp_knight_3_13|Халбарад
trp_knight_3_16|Міріель
trp_knight_3_17|Гладваїтор
trp_knight_4_1|Сного, Господар батога
trp_knight_4_2|Снотгор, Господар батога
trp_knight_4_6|Воєвода Туск
trp_knight_4_7|Воєвода Мугслаг
