qstr_Received_{reg0}_dama|{reg0} 피해 입음.
qstr_The_War_has_started!|전쟁은 시작 되었다!
qstr_The_forest_seems_pea|숲이 평화로워 보인다.
qstr_There_is_a_sense_of_|당신은 공기의 흐름에서 위험을 감지했다.
qstr_You_have_a_feeling_y|숲을 충분히 오랫동안 어지럽혔다는 느낌이 드는군.
qstr_Get_out_now!|당장 여기서 나가!
qstr_You_are_inside_Fango|당신은 팡고른 숲 안에 있다. {s11}
qstr_Your_party_witnessed|당신 부대는 오르크가 포로를 잡아먹는 것을 목격했다.
qstr_Your_party_s_morale_|증오심으로 인해 당신 부대의 사기가 증가한다.
qstr_Your_party_s_morale_h|공포심으로 인해 당신 부대의 사기가 감소한다.
qstr_{s27}:_Influence_wit|{s27}: {s1}에 대한 영향력이 {reg2}에서 {reg1}로 증가했다.
qstr_{s27}:_Influence_with|{s27}: {s1}에 대한 영향력이 {reg2}에서 {reg1}로 감소했다.
qstr_{s27}:_Party_morale_|{s27}: 부대 사기 증가.
qstr_{s27}:_Party_morale_d|{s27}: 부대 사기 감소.
qstr_You_have_failed_to_f|당신은 발린과 그 일행에 대한 복수의 서약을 완수하는데 실패했다!
qstr_You_have_failed_to_fu|당신은 {s1}의 영웅적인 죽음을 복수하겠다는 맹세를 이행하는데 실패했다!
qstr_Your_troops_value_yo|당신의 군대는 당신이 약속을 지키려는 노력을 높이평가하나, 결과적으로 일이 너무 성급하게 진행되었다고 생각한다.
qstr_{s22}You_have_fulfil|{s22}당신은 발린과 그 일행에 대한 복수의 서약을 실현시켰다!
qstr_{s22}You_have_fulfill|{s22}당신은 {s1}의 영웅적인 죽음을 복수하겠다는 맹세를 실현시켰다!
qstr_Reinforcements|Reinforcements
qstr_Refugees_Escaped:_{r|난민 탈출함: {reg10} 명 --- 난민 사살함: {reg11} 명
qstr_Raider_Parties_Kille|약탈자 부대 사살: {reg12}
qstr_One_of_the_target_ce|난민 행렬의 목적지였던 수도가 파괴되었다. 난민들은 흩어졌으며, 어디에서도 찾을 수 없게 되었다.
qstr_As_an_Orc_or_a_Dwarf|오르크나 난쟁이와 같은, TLD의 키 작은 종족에 대한 당신의 경험을 향상시키기 위해 우리가 구현한 카메라 설정을 이용할 수 있습니다. 이 기능을 사용하는 방법에 대한 자세한 내용은 게임 콘셉트를 참조하십시오.
qstr_Custom_Camera|커스텀 카메라
qstr_{reg65?my_Lady:my_Lo|{reg65?여주인이시여:군주이시여}
qstr_{reg65?My_Lady:My_Lo|{reg65?여주인이시여:군주이시여}
qstr_{reg65?mistress:mast|{reg65?여주인님:주인님}
qstr_{reg65?Mistress:Mast|{reg65?여주인님:주인님}
qstr_{reg65?madame:sir}|{reg65?부인:나으리}
qstr_{reg65?Madame:Sir}|{reg65?부인:나으리}
qstr_How_do_magnets_work?|자석은 어떻게 작용하지?
qstr_Um..._by_enchanting_|음... 강철을 제련해서?
qstr_Magnets_are_made_of_|자석은 땅에서 채굴되는 금속으로 만들어진다. 그 금속은 안에 여전히 중력을 머금고 있기 때문에 자성을 갖고 있다.
qstr_i_wont_a_bonerlrord_|나눈 지금 보놀로드 항구를 원한따!11!!
qstr_Install_TLD_in_your_|Bannerlord Modules 폴더에 TLD를 설치하고 'compatible_with_wfas = 1' 라는 문구를 module.ini에 추가하면 Warband AND Warrider 0.202에서 모두 플레이할 수 있다!
qstr_Bannerlord_runs_on_a|배너로드는 다른 엔진으로 작동하기에 워밴드에서 TLD를 구동한 것처럼 배너로드에서 구동하기는 힘들 것입니다.
qstr_dis_mod_takes_2_long|dis mod takes 2 long 2 releaze! it sux!!!!
qstr_Well_there_s_a_lot_o|흠, 새로운 사물이나 그래픽이 많은 것 같은데, 시간이 걸리겠어.
qstr_It_has_been_recently|최근 출시되었고, 링크를 찾지 못한다면 당신은 lemonparty.org. 에서 다운받을 수 있다.
qstr_i_wont_decapitated_e|멀티에서 코끼리 목을 자르고 싶다고, 지금 당장!!!!
qstr_I_don_t_think_there_|TLD는 멀티 모드 생각이 없지만, 꽤 괜찮은 생각이네요.
qstr_There_is_a_hidden_el|TLD에는 숨겨진 코끼리 혈투가 있지만, 그 전에 모든 세이브를 지우고, 저장하지 않은 채 100일 동안 플레이한 후 캐릭터 창에 가서 Alt+F4를 누르면 됩니다. 시도해볼만하죠!
qstr_Y_NO_ChINESE??|중국 인 아니지?? (오역 아님)
qstr_Just_to_troll_you_tr|트롤링하기 위해서지, 트롤아!
qstr_Thanks_to_our_volunt|우리의 자원봉사 번역가들 덕분에, 중국어와 중국어 간체 번역을 이용할 수 있습니다. 하지만 스팀 워크샵에 대한 우리의 안내를 따라야 사용할 수 있습니다.
qstr_Wai_no_plate_armour_|왜 모드에 플레이트 갑옷이 없어???
qstr_What_is_plate_armour|플레이트 갑옷이 뭔데? 처음 들어봐.
qstr_Wai_no_female_trolls|왜 여자 트롤은 없는데? 앙? 앙? 가능!
qstr_WHEN_U_REALSE_MOD?!!|언제 모드가 출시되지?!!?
qstr_But_we_did_release._|이미 출시했는데요. 뭘 플레이하고 계신건데요. 왜 소리를 지르고 그러세요?
qstr_YES!_ALSO_SOMETIMES_|그래! 가끔은 그렇지!
qstr_Wai_u_no_work_wiht_o|다른 반지의 제왕 모드를 작업할 생각은 전혀 없는지?
qstr_Every_mod_team_works|모드 팀의 모두는 각자 자기 기준이라는 것이 있습니다, 시각이 다르면 그들을 협력하게 할 수 없어요.
qstr_Because_we_don_t_hav|왜냐하면 우리는 유머감각이 없고 그들 대부분은 우리에게 너무 웃겨.
qstr_In_movies_trolls_are|영화에서 보면 트롤은 크고 육중하던데, 왜케 빼빼 말랐음?
qstr_We_interpreted_Tolki|우리는 톨킨의 트롤을 해석했습니다.
qstr_But_we_did_make_you_|하지만 우린 널 영화에서처럼 멍청하게 만들었어. 뭔가 중요한 게 있을 거야
qstr_What_is_news?_Got_an|최근 소식은? 스크린샷은?
qstr_Well_just_look_aroun|주위를 둘러보세요. 스크린샷이 필요한가요?
qstr_Say_cheese!|치즈 해보세요!
qstr_Why_did_you_make_mod|왜 이렇게 모드 설치를 까다롭게 하셨나요?
qstr_Well_if_you_are_here|흠, 만약 나한테 그러는거라면, RTFM (Read The FuXXX Manual)이라고 말해주고 싶네요.
qstr_You_just_got_windyfl|당신 방금 바람맞았어!
qstr_Merry|메리
qstr_Pippin|피핀
qstr_the_Citadel|성채
qstr_Minas_Tirith|미나스 티리스
qstr_Steward_Denethor|섭정 데네소르
qstr_the_Golden_Hall|황금회랑
qstr_Edoras|에도라스
qstr_King_Theoden|세오덴 국왕
qstr_Merry_asked_you_to_d|메리는 미나스 티리스에 있는 자신의 사촌, 피핀에게 전갈을 전해달라 요청했다.
qstr_Pippin_asked_you_to_|피핀은 에도라스에 있는 그의 먼 친척, 메리에게 전갈을 전해달라 요청했다.
qstr_Tell_him_I_ve_grown_|내가 1인치 더 자랐다고 말해주세요!
qstr_Tell_Pip_he_smokes_t|피핀에게 담배 너무 많이 핀다고 전해주세요!
qstr_Tell_him_I_can_ride_|내가 다 큰 말을 탈 수 있다고 말해주세요!
qstr_Ask_him_if_he_has_an|담배잎이 좀 남아있는지 물어봐요!
qstr_Tell_him_I_ll_be_the|다시 볼 날이 오면 내가 더 클거라고 전해주세요!
qstr_Ask_if_he_s_seen_Gan|간달프를 봤는지 물어봐요!
qstr_You_gained_250_exper|당신은 250 경험치를 얻었다.
; qstr_Hrooom..._Hmmm...Who|Hrooom... Hmmm...Who are you?
; qstr_Hrooom..._Hmmm...Oh_|Hrooom... Hmmm...Oh, it's you again, {playername}.
qstr_Treebeard_wants_you_|나무수염은 당신이 벌목하는 오르크들을 찾아내어 죽이는걸 원합니다
qstr_Something_wrong_not_e|뭔가 잘못되었다, 정찰대를 꾸리기엔 병력이 너무 적다
qstr_my_home_town|나의 고향.
qstr_I_am_in_perfect_heal|나는 완벽히 건강하다.
qstr_I_am_suffering_from_|나는 {s1}로 고통받고 있다.
qstr_I_am_suffering_from_{|나는 {s1}과 {s2}로 고통받고 있다.
qstr_I_am_suffering_from_{s|나는 {s1}, {s2}와 {s3}로 고통받고 있다.
qstr_I_am_suffering_from_{s1|나는 {s1} {s2}, {s3}과 {s4}로 고통받고 있다.
qstr_I_don_t_have_any_ser|난 큰 부상이 없네, 고맙네.
qstr_Good_day_to_you.|좋은 하루가 되길.
qstr_Ah_it_s_you_again._G|아, 또 당신이군. 잘 가게.
qstr_My_apologies_if_I_wa|전에 제가 무례하게 대했다면 사과드립니다, 당신의 이야기가 뭐였죠?
qstr_I_was_reconsidering_|저희 마지막 대화를 다시 생각해보고 싶습니다. 당신의 이야기가 뭐였죠?
qstr_Zigrphel_gained_{reg|Zigûrphel이 {reg78} 경험치를 얻었다.
qstr_Greetings_{s23}_{s24|반갑네, {s23}. {s24}.
qstr_Greetings_{s23}.|반갑네, {s23}.
qstr_So_you_are_{s23}._I_|그래서, 당신이 {s23}이군. 나는 당신이 우리 {s25} 친구들을 위해 싸웠다는 소식을 들었네. 당신을 동맹으로 여겨야 할 것 같군.
qstr_I_need_volunteers_wi|나는 위험한 임무에 뛰어들 자원자들이 필요하네.
qstr_I_need_some_soldiers|나는 나 대신 죽어줄 병사들이 필요하다.
qstr_Maybe_the_weaklings_|아마 남쪽의 약골들은 자네 보들보들한 트롤 피부에 장갑을 떡칠했을지도 모르지. 하지만 우리 트롤은 아니야 - 군다바드 트롤이다!
qstr_Do_I_look_like_a_smi|내가 전속 대장장이 같아보여? 다른 사람을 찾으시지.
qstr_Excellent_job_{s23}!|잘했어, {s23}! 우리 지휘관들도 모두 너처럼 헌신적이었으면 좋겠다^
qstr_Nicely_done_{s23}.|멋지게 해내주었군, {s23}.
qstr_Good_work_{s23}.|잘해주었다, {s23}.
qstr_The_more_you_capture|더 많이 잡아올수록 좋겠지, {s23}.
qstr_Caught_a_few_straggl|패잔병을 좀 잡아왔나, {s23}?
qstr_I_am_sorry_no_one_el|죄송하지만, 아무도 함께할 준비가 되지 않았군요.^그들은 {s22}를 섬기며 이 곳을 지킬 것입니다.
qstr_Tough_luck_but_we_do|운이 없군요, 지금은 아무도 없습니다. 나중에 다시 오시죠.
qstr_There_are_brave_sold|목숨을 걸 용감한 전사들이 많이 있지만, 이런 어두운 때에 그들이 이곳을 비워 방비를 허술하게 하고 싶진 않군요.^^^[자원 포인트 부족]
qstr_We_have_some_spare_t|쟁여둔 부대가 좀 있지만, 너 같은 부류에게 넘겨줘서 잃게하고 싶진 않군.^^^[자원 포인트 부족]
qstr_There_are_brave_soldi|전장의 의무를 다할 용감한 자원자들이 많습니다.^^제 생각에 그들 중 일부는 당신과 함께 가고 싶어할 것 같군요.
qstr_There_are_spare_troo|여기 피를 좀 흘려도 상관 없는 쟁여둔 병력이 좀 있지.^^내 생각에 그들 중 일부는 너와 함께 가고 싶어할 것 같군.
qstr_Strenghten_defences_|{s21}의 방어를 강화? 언제든지 환영이오. 우리는 우리 동족들만 받는다는 사실을 기억하시오.
qstr_Strenghten_defences_i|{s21}의 방어를 강화? 글쎄, 그들이 불구자가 아닌 이상, 나쁠 건 없지, 우리 동족들로 이루어진 부대만 줘, 우리는 이방인들은 필요 없으니.
qstr_Please_return_them_i|그들을 온전히 돌려보내주십시오. 나는 그들 하나하나의 용기를 개인적으로 압니다. 여기 우리들은 한 명의 영혼도 소중합니다.
qstr_Don_t_let_them_all_d|전부 죽이지는 마. 겁쟁이는 빼고. 그 놈들은 최전방에 앞세워. 무슨 말인지 알지.
qstr_Thank_you_commander.|고맙습니다, 사령관님.
qstr_^{s22}_is_grateful_t|^{s22}는 당신에게 감사드립니다, {s23}, {s29}^
qstr_{s31}{reg28?Those:Th|{s31}{reg28?그들:그} 용감한 {reg28?병사들:병사}는 {s21}을 방어하는데 확실히 도움이 될 것입니다.{s32}^^[{s14}의 자원 포인트 {reg14}만큼 획득]
qstr_{s31}{reg28?Those:Tha|{s31}{reg28?그들:그} 쓸만한 {reg28?병사들:병사}는 {s21}을 지키는데 확실히 도움이 될 것이다.{s32}^^[{s14}의 자원 포인트 {reg14}만큼 획득]
qstr_{s4}_^Oh_and_take_ba|{s4}.^아, 당신 병사들을 다시 데려가시오, 그들은 우리 동족들이 아니니.
qstr_You_have_reinforced_|당신은 {reg55} 명의 병력으로 {s8}을 지원했다.
qstr_I_don_t_need_them_an|나는 그들이 필요 없소, 가지고 계시오.
qstr_It_is_my_duty_to_pro|우리의 사람들을 지키는 것이 의무일 뿐입니다.
qstr_It_is_my_duty_to_prot|우리의 동맹을 지키는 것이 저의 의무입니다.
qstr_I_am_{s4}_{s15}_of_{|나는 {s4}, {s6} 의 {s15} 입니다.
qstr_I_am_{s4}_a_commande|나는 {s4}, {s6} 의 지휘관 입니다.
qstr_{s9}{reg5?_and_the_r|{s9}{reg5? 이며 {s8}의 통치자.:.
qstr__{s3}_gained_{reg78}| {s3} {reg78} 경험치를 얻었다.
qstr_{playername}_our_sco|{playername}, 우리 정찰대가 너의 성공 소식을 가져왔다. 너의 앞날에 축복이 가득하며 살기를! {s7}의 군대들이 너의 승리로 인해 뒤로 물러남에 따라 적의 전진이 주춤해졌다. 우리는 이제 그들의 지휘 체계와 그들 대장 사이에 다툼이 일어나기를 바란다. 그리고, 우리도 그들이 너에 대해 건전한 두려움을 품기를 바란다! 적어도 너는 우리를 피곤함으로부터 쉴 수 있게 해주었다.
qstr_Well_{playername}_yo|좋아, {playername}, 돌아왔군. 우리에게 줄 좋은 소식이 있는 것처럼 보이는데. 너는 뜨거운 공기나 허풍으로만 만들어진 것이 아니군 - 아, 네 손에 {s7}이 쓰러지는 걸 내 눈으로 볼 수 있었더라면! 우리의 적들은 의심의 여지 없이 절망에 빠져있겠지. 누가 말했었지, 뱀의 머리를 자르면, 일은 끝난거라고. 나는 이제 진정한 승리를 거두기 위해 내 군대를 이끌어야한다. {playername}, 상관들에게 너의 노고가 보고될 것이다. 걱정하지 않아도 된다.
qstr_Alas_that_I_could_no|아아, 내 손으로 {s8}의 {s7}에게 최후를 가져다주지 못했다, 우리가 다시 만나야 한다면, 그들이 조심하게 두어라.
qstr__I_should_rather_mak| 차라리 내가 직접 {s8}의 {s7}을 이긴 것에 대해 보고해야겠다. - 영광의 주인은 나다, 절대 잊지 마라!
qstr_Very_well_done_{play|아주 잘했습니다, {playername}! 당신은 내가 바라던 대로 스파이와 그 주인을 모두 잡았고, 그 둘은 이제 안전하게 감금되어 심문을 기다리고 있다. 그들이 실토해야할 것들이 아주 많다. 아무튼 {playername}, 그대의 성공이 매우 기쁘고, 감사의 표시로 이 돈뭉치를 주겠다.
qstr_Beautiful_work_{play|멋지게 해냈군, {playername}! 당신은 내가 바라던 대로 스파이와 그 주인을 모두 잡았고, 그 둘은 이제 내 감옥에 감금되어 심문을 기다리고 있다. 내 고문관들이 오늘 밤 바쁘겠군!. 아무튼 {playername}, 그대의 성공이 매우 기쁘고, 이건 내 성의 표시다.
qstr_Foiling_the_enemy_s_|적의 난민 행렬 공격 시도를 좌절시킴으로써 적의 의지를 약화시켰다. ({reg18} 명의 약탈자를 상대로 거둔 승리로 인해 {s1}이 {reg19}만큼의 세력 군사력을 잃습니다.)
qstr_The_slaughter_and_lo|난민 행렬에 대한 살육과 약탈이 적을 강화시켰다. ({s1}이 50의 세력 군사력을 얻었다).
qstr_You_did_however_defe|그러나, 당신은, {reg18} 명의 도적들을 패배시켰고, 적들의 의지를 꺾었다. ({s1}이 {reg19} 만큼의 세력 군사력을 잃습니다.)
qstr_The_slaughter_and_loo|난민 행렬의 살육과 약탈이 적을 강화시켰다. ({s1}이 {reg20} 만큼의 세력 군사력을 얻었다).
qstr_Killing_the_refugees|{s1}의 난민들을 죽이고 생존자들을 노예로 삼은 것이 그들 동족의 사기를 감소시킨다 ({s1}은 {reg19} 만큼의 세력 군사력을 잃습니다).
qstr_{reg20}_refugee_trai|{reg20} 명의 피난민 행렬이 탈출했으며 적의 사기를 상승시켜주었다. ({s1}이 {reg22} 만큼의 세력 군사력을 얻었다.)
qstr_You_did_however_defea|해냈군, {reg18}대의 난민 행렬을 격파하여 적들의 결의가 약화되었다. ({s1}이 {reg19} 만큼의 세력 군사력을 잃었다.)
qstr_My_lord_{s12}_is_saf|왕이시여, {s12}는 이제 안전합니다. 해적들은 모두 패퇴했습니다.
qstr_My_lord_Esgaroth_is_|왕이시여, 에스가로스는 안전합니다. 룬의 병사들은 모두 패퇴했습니다.
qstr_The_surroundings_of_|{s12} 전역이 불타고 있다. 영광스러운 약탈품이다!
qstr_The_surroundings_of_E|에스가로스 전역이 불타고 있다. 영광스러운 약탈품이다!
qstr_This_is_welcome_news|이건 희소식이군, {playername}. 우리는 해적들의 그런 대담한 행동에 대해 준비가 되어있지 않았다. 하지만 고맙게도 최소한 얼마간은 당신이 검은 돛들을 쫓아내버렸고, 우리 바람으로는, 적어도 오늘만큼은 우리가 그들에게 한 방 먹여주었을지도 모른다. 우리의 감사를 받아주시오.
qstr__Good_work_{playerna| 매우 잘하셨습니다. {playername}! 우리가 믿었던 것보다 훨씬 더 교활하시던데, 그 점만은 인정하죠. 하지만 이 동부인들은 그들의 말 위에서 싸우는 것의 절반도 배 위에서 싸우지 못하더군요! 어쩌면 우리 역시 우리만의 함대를 출격시키는 것을 고려해야할지도 모르겠어요... 어쨌든 우리는 에스가로스와 너른골의 모든 사람들을 대신하여 {playername}, 당신에게 감사드립니다.
qstr_Even_from_here_we_co|이곳에서조차 우리는 불꽃을 볼 수 있었고, 바람을 타고 적들의 절망감을 맡을 수 있었다! {playername}, 멋지게 해내주었다. 이제 곤도르의 남녀노소 가리지 않고 공포가 그들 마음을 치게 하자. 그들은 이제 그들의 강력한 요새 조차 우리 손이 닿을 수 있는 곳에 있다는 것을 알게 될 것이다!
qstr_Even_from_here_we_cou|이곳에서조차 우리는 불꽃을 볼 수 있었고, 바람을 타고 적들의 절망감을 맡을 수 있었다! {playername}, 멋지게 해내주었다. 이제 너른골의 남녀노소 가리지 않고 공포가 그들 마음을 치게 하자. 그들은 이제 그들의 강력한 요새 조차 우리 손이 닿을 수 있는 곳에 있다는 것을 알게 될 것이다!
qstr_My_lord_they_fell_up|군주이시여, 그들은 어마어마한 세력으로 우리를 압도했습니다. 해적들을 물리치지 못했습니다.
qstr_My_lord_they_fell_upo|군주이시여, 그들은 어마어마한 세력으로 우리를 압도했습니다. 룬의 전사들을 물리치지 못했습니다.
qstr_The_raid_on_{s12}_fa|{s12} 약탈은 실패했다, 아군의 무능함에 참 감사한다!
qstr_This_raid_was_ill_fa|이번 습격은 처음부터 운이 나빴다. 우리는 절대로 그 구질구질한 뗏목을 타지 말았어야 했어!
qstr_This_is_evil_news_yo|이것은 당신이 가져온 나쁜 소식이다. 검은 돛은 점점 대담해지고, 벨팔라스 전역이 그들의 그림자 아래에 놓였다. 이 이상 자네를 탓하진 않겠다, {playername}. 하지만 당신의 실패로 우리는 돌이킬 수 없는 타격을 받았다. 이제 가보게. 곤도르의 희망은 줄어들고, 우리는 그 남은 희망을 지키기 위해 싸워야하니.
qstr_This_is_evil_news_you|이것은 당신이 가져온 나쁜 소식이다. 동부인들은 더욱 대담해지고 에스가로스는 불타고 있다. 이 이상 자네를 탓하진 않겠다, {playername}. 하지만 당신의 실패로 우리는 돌이킬 수 없는 타격을 받았다. 이제 가보게. 희망은 점점 줄어들고, 우리는 남은 희망을 지키기 위해 싸워야하니.
qstr_Pah!_It_seems_you_we|파! 네 sea-legs를 찾지 못했나보군. {playername}.이제 그 곤도르 병사들은 그들의 높은 탑에 왕처럼 행세하며 앉은 채, 검은 돛이 불타는 것을 비웃을 것이다! 갤리선의 노를 젓는 것이 너희 부대에 대한 적절한 처벌일 지도 모르겠다. 그들은 너희 지휘 하에 있고, 내 것이 아니라는 것이 유감스러울 뿐이다. 위대한 눈이 기뻐하지 않을 것이다. 이제 떠나라.
qstr_Have_you_nothing_bet|{playername}, 실패에 대한 나약한 변명을 늘어놓는 것보다 더 나은 일을 할 수는 없나? 아마도 너는 우리가 믿었던 것만큼 강하지 않은 것 같다. {playername}, 앞으로 더 나은 서비스를 제공하십시오. 약한 자에게는 자비가 없을 것이다!
qstr_{playername}_we_have|{playername}, 우리는 아이센가드를 무릎꿇게 했다. 그들은 최후의 항전을 시작했으며, 그의 탑에서 사루만을 보호하고 있다. 나와 함께 달려 그들을 맞아주자!
qstr_Are_you_ready_to_mee|아이센가드 최후의 항전과 마주할 준비가 되었나?
qstr_I_am_ready_to_ride_w|아이센가드에 맞서 당신과 함께 말을 몰 준비가 되었다.
qstr_I_am_ready_to_ride_wi|나는 당신과 함께 달려 그들을 만날 준비가 되었다. 함께 끝장을 보자.
qstr_I_am_not_ready_to_ri|나는 당신과 함께 달릴 준비가 되지 않았다. 시간이 더 필요하다.
qstr_You_do_not_have_enou|당신은 이 전투를 돕기 위한 충분한 병력이 없다. 최소 30 명의 병사를 데리고 참전해야한다!
qstr_Stay_close_we_will_t|바짝 붙으시오, 우리는 적들 근처에 가까이 있소. 우리 병력들이 모이기만 하면, 바로 공격할 것이오.
qstr_You_have_taken_too_l|너무 오래 걸렸어... 네가 있든 없든 우리는 지금 말을 달릴 것이다. 적 근처에 집결하여 3일 후에 공격할 것이다.
qstr_Make_haste_{playerna|서두르게, {playername}. 우리는 놈들이 수복할 시간을 주고 싶지 않네.
qstr_Your_mission_is_comp|당신은 임무를 완수했다, {s9}은 당신이 자신에게 따로 언질을 줄때까지 따라오기를 원한다.
qstr_{s13}_asked_you_to_g|{s13}이 {reg3}개의 {s4}를 수집하여 그에게 돌아오라고 요청했다.
qstr_Moreover_should_you_|게다가, 만약 당신이 {s24}이 된다면, 당신은 우리 전략에 중대한 영향을 미칠 결정을 내리는 나의 전쟁 회의에 환영받을 것이다. 당분간은 {s25}로서, 그냥 우리를 따라와 가까이 있어라. 우리는 곧 이동할 것이다.
qstr_For_the_moment_just_|지금은, 바짝 붙어서 따라오시오. 우리는 곧 움직일테니.
qstr_{s9}_asked_you_to_sc|{s9}는 {s13}, {s14} 그리고 {s15}를 정찰하고 돌아와 보고하기를 요청했다.
qstr_You_have_been_most_h|그대는 참 많은 도움이 되는군, {playername}. 내 감사를 받아주게.
qstr_You_are_a_good_serva|너는 훌륭한 종이다, {playername}. 계속 그렇게만 해라.
qstr_Superb_work_{playern|멋지게 해냈군, {playername}. 나는 자네의 그런 태도가 마음에 드네.
qstr_Your_efficiency_is_p|네 효율성이 날 기쁘게 하는구나, {playername}. 그렇게 계속 하면 살아남을 수 있을 것이다.
qstr_It_was_an_honour_to_|섬기게 되어 영광이였습니다.
qstr_Your_wish_is_my_comm|자네의 바람이 내 명령이네.
qstr_Sauron_in_Mordor_the|모르도르의 사우론, 움바르의 해적들, 칸드의 바리아그 그리고 하라드 부족인
qstr_Saruman_in_Isengard_|아이센가드의 사루만과 던랜드의 야만인들
qstr_Orcs_of_Moria_and_Do|모리아와 돌 굴두르의 오르크들
qstr_Orcs_of_Gundabad_and|군다바드의 오르크들과 룬의 전사들
qstr_Men_of_Gondor|곤도르의 병사들
qstr_Riders_of_Rohan|로한 기마대
qstr_Elves_of_Imladris_an|임라드리스의 요정들과 로스로리엔
qstr_Men_of_Dale_Dwarves_|너른골의 인간들, 에레보르의 난쟁이들, 베오른족 왕족들, 그리고 어둠숲의 요정들
qstr_Ah_{playername}_it_i|아, {playername}, 와주어 다행이군. 전쟁이 우리 문턱에 닥쳤고 우리는 병사들과 대장들이 그들의 맹세를 이행해주기를 바란다.^^우리는 {s11}과 전쟁 중이지만, 그들의 강한 곳과 요새들을 향해 이동하기 전에 우리의 힘을 집중시키고 적들을 약화시켜야한다. 적들을 패배시킬때마다 우리의 승리에 한발자국 더 가까이다가갈 것이고 우리의 결의를 다질 것이다. 따라서 나는 그대가 기회가 될때마다 우리의 적과 싸워야한다고 믿는다. 그게 조그만 정찰부대든 전쟁 주력군이든. 그러나 혼자 전투에 뛰어들지말고, 우리의 용감한 대장과 동맹국들과 함께 싸워야만한다. 
qstr_About_time_you_showe|더 일찍 나타났어야지, {playername}. 우리는 지금 전쟁 중이고 나는 어떤 항명도 용납하지 않을 것이다. {s11}과 싸우고 있지만, 그들의 요새에 맞서려면 힘을 모으고 전장에서 그들을 무찔러야한다. 적들을 물리칠때마다 우리의 전쟁에 여유가 생길 것이고 적들의 완전한 파멸에 가까워질 것이다. 그래서 나는 네가 기회가 생길때마다 우리의 적과 싸워야한다고 생각한다. 단순한 정찰 부대든, 전쟁 주력군이든. 또한 우리 대장과 우리의 아군이 싸우는 것을 보면 그들을 도와야한다. 그들을 버리지 마라, 그랬다간 내가 알게 될 것이다.
qstr_we_are_fighting_agai|우리는 {s13}에 맞서 싸우는 중이다
qstr_we_are_not_fighting_|우리는 지금 누구와도 싸우지 않고 있다
qstr__{s14}_gained_{reg78| {s14} {reg78} 경험치를 얻었다.
qstr_Oh?_Let_me_see_that.|오? 어디 보자... 이거이거이거! 이것을 가져다주다니 좋군, {playername}. 내가 받았다는 증거로 이 인장을 가져가고, 돌아가 {s9}를 만나면 내 안부를 전해주게.
qstr_Give_me_that!_Hrmph!|이리 내! 흠! 좋은 것을 가져와주었군, {playername}, 너는 참 쓸만한 종이다. {s9}에게 너를 더 중용하라고 일러둬야겠군.
qstr_What?_Let_me_see_tha|뭐? 어디 보세... 흐음. 좋은 것을 가져다주었군, {playername}. 이제 가도 좋아.
qstr_Give_me_that!_Hrmph!_|이리내! 흐음! 너는 네 주인의 참 쓸만한 종이로군, {playername}, 너희 모두 머지 않아 죽게 되겠지만, 적어도 지금은 아니다. 어서 떠나라.
qstr_My_king|나의 왕
qstr_Lord|군주
qstr_my_king|나의 왕
qstr_lord|Lord
qstr_our|우리
qstr_your|당신의
qstr_Moria_and_Gundabad|모리아와 군다바드
qstr_Moria|모리아
qstr_Gundabad|군다바드
qstr_You_swear_an_oath_of|당신은 {s3}에 대해 복수하겠다는 서약을 맹세했다. 당신은 앞으로 최대한 많은 모리아와 군다바드 병력을 죽여아한다. 당신의 동료들은 맹세의 증인이며 당신은 맹세파괴자라 불리고 싶지 않다. 피바다를 만들어 줄 시간이다!^.
qstr_The_search_for_the_L|잃어버린 창에 대한 수색은 당신을 고대 북부의 블라도르신 왕국 터, 도르위니온으로 인도했다. -계속됨-
qstr__You_need_to_be_{s24|(당신은 {s24}이거나 더 높아야 할 필요가 있습니다).
qstr_You_are_not_worthy_o|너는 내 기술을 받기에는 무가치하다. 먼저 스스로를 증명하고 {s25} 위로 올라라. {s2}
qstr_I_am_sorry._I_cannot|미안하다. 긴급한 문제가 더 있기 때문에 {s25}로서 당신을 모실 수 없다. {s2}
qstr_Yes_I_am_and_I_can_h|그렇소, 댓가를 받고 당신을 도울 수 있소.
qstr_You_heard_right_and_|제대로 들었군, 그리고 맞다, 내가 당신을 도울 수 있다.
qstr__Costs_1000_Resource|(1000 자원 포인트, 5 영향력 소모)
qstr_I_can_see_that._I_ll|알겠다. 너를 상대하는 동안 내 부하들에게 보초를 서도록 하겠다. 시간이 좀 걸릴 겁니다. {s2}
qstr_Yes_I_see_that._I_ca|그래, 알겠어. 그래, 하지만 그렇게 되면 내가 맡은 중요한 업무에서 벗어나게 된다. {s2}
qstr__Costs_1500_Resource|(1500 자원 포인트, 10 영향력 소모)
qstr_I_ll_have_my_persona|내 개인 의무관들을 당신에게 붙여주겠습니다. 그들은 그 방면에서 최고입니다. 만약 당신에게 그들이 필요하면 말해주세요. {s2}
qstr_I_ll_have_my_personal|내 개인 의무관들을 당신에게 붙여주겠습니다. 그들은 그 방면에서 최고입니다. 만약 당신에게 그들이 필요하면 말해주세요. {s2}
qstr_I_ll_have_them_here_|그들을 곧 데려오겠다.
qstr_Let_us_begin._My_hea|시작하자. 내 의무관들이 너와 네 병사들을 보살펴 줄 것이다.
