menu_start_game_1|^^^^^^^^^^자네는 무엇을 위해 싸우는가?
menu_notification_your_faction_collapsed|^^^^^당신의 고향 {s11}은 멸망했습니다!^아직 다른 동맹국이 남아있습니다. 당신은 {s11}의 우군과 함께 할 수 있고. 당신의 승리를 도울 수 있습니다.
menu_notification_faction_defeated|^^^^^{s1} 는 패배했습니다!^{s1}은 {s13}의 군대에 멸망해 더이상 존재하지 않습니다!
menu_ruins|^^^^당신은 {s1} 가까이 접근했습니다. 비록 강력한 주둔지가 파괴되었지만, 당신은 여전히 요새의 흔적과 녹슨 무기를 볼 수 있습니다.
menu_legendary_place|^^^^당신은 소문을 따라 {s1}을 찾아냈다. 당신은 이 장소를 탐험하고 소문이 진실인지 직접 확인할 수 있다.
mno_explore|이 장소 탐험하기
menu_ring_hunter_lair|^^^^당신은 어둠숲 속 반지 추적자들의 흔적을 따라갔고 {s1}에 도착했고 그들이 상자를 들고 떠나려는 것을 목격했습니다.
mno_attack_lair|지금 그들을 공격하자
mno_leave_bandit_lair|지금은 떠나자
menu_gondor_reinforcement_event|^^^^^곤도르의 봉화대에 불이 지펴졌군요,  미나스 티리스에 도움이 필요합니다!^^ 남쪽 영지의 군주들은 백색도시에 다가오는 어둠의 무리로부터 미나스 티리스를 구원하기 위해 북쪽을 향할것입니다.
mno_gondor_reinforcement_event_close|닫기
menu_gondor_beacons|당신은 곤도르의 봉화중 하나이자, 북부와 남부 곤도르에 신호를 보내기 위해 사용돼었던 {s1}을 방문했습니다.
mno_gondor_beacons_close|떠나기
menu_player_added_to_war_council|^^^^^전령이 말하길{s2}가 당신을 그의 전쟁 자문회에 {s24}로서 참여하길 원한다고 합니다. 당신은 이제 이 전쟁의 방식에 영향을 줄 수 있는 전략들을 제안할 수 있습니다.
mno_player_added_to_war_council_close|닫기
menu_player_added_to_siege_reports|^^^^^전령이 와 말하길, 당신은 {s24}로서 {s2}가 적진을 공략하거나 되려 {s2}가 공략당할 때 보고를 받게 될 것이라고 했습니다.
mno_player_added_to_siege_reports_close|닫기
menu_player_added_to_allow_follow|^^^^^전령이. 당신에게 다가와서 당신은 이제 최대 {reg55}명의 군사를 가진 {s24}로서 {s2}에게 당신을 따르도록 명령할 수 있다고 전했습니다.
mno_player_added_to_allow_follow_close|닫기
menu_center_besieged_event|^^^^^전령이 당신에게 황급히 달려와 {s3}의 {s2}가 {s1}을 포위하고 있다고 보고했습니다.
mno_center_besieged_event_close|닫기
menu_guardian_party_spawned|^^^^^전령이 {s6}이 수도를 방어하기 위한 최후의 시도로 거대한 군세를 {s7}에 집결시키고 있다 보고했습니다.
mno_intro_next|계속...
mno_start_defend_caravan|캐러밴을 지키자!
mno_start_raid_caravan|캐러밴을 습격하자!
mno_start_ambush_orcs|오르크에게 기습을 가하자!
mno_start_kill_scouts|정찰병들이 당신의 도착을 알리지 못하게 막자!
mno_go_your_way|놔 둔 채로 떠나기
mno_defend_villagers|마을 주민들을 지키자!
mno_raid_villagers|마을을 습격하자!
mno_go_away|물러나 재정비한다.
menu_scout_camp_quest|근처의 정찰 캠프가 보인다. 공격할 준비를 한다.
mno_attack_scout_camp|정찰 캠프를 공격한다!
menu_sea_battle_quest|당신은 적 함대를 만났다. 적함이 가까워지고 널빤지를 내린다...
mno_sb_defend_the_town|적함에 올라 타라! 적 함대를 파괴한다!
mno_sb_attack_the_town|저들이 요격을 시도합니다! 함대를 방어하라!
menu_camp_field_ai|^^^^^옵션을 키고 끄려면 클릭하세요.^^^하나 이상의 옵션을 끄면 성능이 향상됩니다. (FPS)
mno_lord_field_ai|향상된 영주 AI: {s7}
mno_horse_archer_field_ai|향상된 궁기병 AI: {s7}
mno_vs_orcs_field_ai|궁수가 오르크를 상대로 정확히 조준함 (오르크의 머리 위를 조준하지 않음): {s7}
mno_battlefield_animals|바르그 / 말이 아닌 동물 동료가 전투에 참여함: {s7}
mno_slow_when_wounded|부상을 당하면 느려집니다:  {s7}
mno_battle_encounter_effects|어떤 세력은 전장 상황에 영향을 받습니다.(Ex 폭풍,안개):  {s7}
menu_hungry_orc|없음
menu_leaving_elf|없음
mno_defend_refugees|침략자들을 주시한다...
mno_attack_refugees|난민 무리를 공격한다...
mno_leave_refugees|잠시 놔둔다...
mno_evil_war_tut_continue|계속...
menu_alternate_training_fight|자네는 {reg5}명의 상대와 맞서야 하네. 준비 되었는가?
mno_training_continue|훈련을 시작한다...
menu_alternate_training_conclusion|{s5}
mno_alternate_training_retry|다시 도전한다...
mno_alternate_training_finish|투기장을 떠난다...
menu_custom_battle_choose_faction1|^^^^^^^^^^당신의 진영과 이점을 선택하세요:
mno_good_equal|선한 진영
mno_bad_equal|사악한 진영
mno_replay_prev|이전 설정 불러오기
menu_custom_battle_choose_faction2|^^^^^^^^^^선한 진영 선택
mno_cb_gondor|곤도르
mno_cb_gondor1|로한
mno_cb_gondor2|로스로리엔
mno_cb_gondor3|리븐델
mno_cb_gondor4|어둠숲
mno_cb_gondor5|난쟁이
mno_cb_gondor6|너른골
mno_cb_gondor7|베오른족
menu_custom_battle_choose_faction3|^^^^^^^^^^사악한 진영 선택
mno_cb_mordor|모르도르
mno_cb_mordor1|아이센가드
mno_cb_mordor2|던랜드
mno_cb_mordor3|하라드인
mno_cb_mordor4|동부인들
mno_cb_mordor5|모리아
mno_cb_mordor6|군다바드
mno_cb_mordor7|룬
mno_cb_mordor8|해적
mno_rescue_mission|어둠이 보호해줄 때 마술사의 은신처를 수색하세요.
mno_next_rescue_scene_door|계속 전진하라!
mno_pick_troops1|미션을 수행할 동료를 선택하세요,[reg0}이 선택되었습니다.
; menu_pick_troops|Whom would you take with you into the stealth mission?    ^Only your most nimble troops and companions will be able to join you.    ^As the party member with the highest wildcraft skill, {reg65?{s1} advises:you decide} that you can take up to {reg11} troops with you.    ^^Currently you have picked {reg0} companions.
mno_go_forward|선택 종료 및 진행
menu_burial_mound|당신은 {s2}의 {s1}에 접근하고 있다.   {s28}의 군세에 의해 패배한.  전사한 이들의 부러진 무기가 쌓여 있다.
mno_pay_respects|무릎을 꿇고 경의를 표하기
mno_swear_oath|복수의 맹세를 한다!
mno_despoil|이 장소를 훼손
mno_leave_mound|봉분 떠나기
menu_burial_mound_respects|당신은 무릎을 꿇어 {s1}에 경의를 표하고, 내세로의 빠른 여행을 위해 조용히 기도했습니다. 이 곳에서 수행할 행동이 더이상 남아있지 않습니다.
menu_burial_mound_oath|당신은 큰 소리로 {s4}의 죽음에 대한 복수의 맹세를 했습니다. 당신은 끊임없이 {s3}의 힘을 추구하고 그들을 파괴합니다. 당신의 말은 저 멀리 바람에 실려가고 바다 너머 그들이 들었을지 누가 알겠습니까?
menu_funeral_pyre_oath|당신은 큰 소리로 {s4}의 죽음에 대한 복수의 맹세를 했습니다. 당신은 끊임없이 {s3}의 힘을 추구하고 그들을 파괴합니다. 당신의 말은 저 멀리 바람에 실려가고 바다 너머 그들이 들었을지 누가 알겠습니까?
mno_leave_pyre_oath|장작더미를 떠나기
menu_burial_mound_despoil|당신은 직접 {s1}의 기념비를 철거하고 그 돌덩이를 저주, 저속한 노래와 이루 말할 수 없는 행위들을 통해 더럽혔습니다. 당신의 부대원들은 죽은 자에 대한 두려움으로 뒤로 물러섰지만 당신의 사악함에 대한 경외감을 새로 갖게 된 것으로 보입니다.
menu_funeral_pyre|당신은 까맣게 탄 {s2}의 {s3}의 잔해에 접근하고 있다.   {s28}의 군세에게 패배한.   이곳의 시체들은 엄숙하게 화장되었다.   아무 가치도 남아있지 않다.
mno_leave_pyre|장작더미를 떠나기
menu_town_ruins|당신이 다가갔을때, 당신은 {s1}이 {s2}임을 확인했습니다.
mno_ruin_menu_0|이 장소 탐험하기
mno_ruin_leave|떠나기
menu_premutiny|없음
menu_death|당신은 죽었습니다. 전쟁은 계속되고 있지만 당신은 이제 거기에 끼지 못합니다.
menu_animal_ambush|당신과 당신의 동료들은 나머지 일행과 떨어져 있다는 것을 알아차렸습니다, 그리고 갑자기...
menu_animal_ambush_success|{s2}들은 당신 앞에 낫에 잘린 벼이삭마냥 {reg0?쓰러졌습니다:쓰러졌습니다} !  곧 당신을 공격한 이들은 전부 죽거나 기절해 쓰러져 있습니다. {s3}
menu_animal_ambush_fail|짐승들이 당신{reg0?,: 그리고 당신 동료{reg2?들,:,}}을 물어뜯으며 공격하지만 운좋게도 그들을 물리치는데 성공했습니다. 바라건대 다시는 짐승들에게 공격받지 않기를.
; menu_isengard_flooding|^^^^^@You are surrounded by dead foes and triumphant allies, including the Ents; they roar, and boom, and trumpet, until stones crack and fall all around the Tower of Orthanc. They are like a howling gale, breaking pillars, hurling avalanches of boulders down the shafts, tossing up huge slabs of stone into the air like leaves... It is like nothing you have ever seen.^^ Bregalad -- or Quickbeam, as you know him -- comes striding by, and pauses only to say, '{playername}! Ware! Keep away from the Tower -- we shall soon break the dam and bring the Isen into this valley, for a little while. You will find it very hard to stay standing here, I think!' Quickly, you take his advice and hasten away from Orthanc.^^ At about midnight, Isengard begins to fill up with black creeping streams and pools. You cannot help but shiver as you see smoke and steam rising in great pillars, and a great coil of vapour rising and snaking around the Tower, until it resembles a tall peak of cloud, fiery underneath and moonlit above. The wrath of the Ents is slow, but possesses an irresistible force...
; mno_isengard_continue|Continue
menu_build_your_scene|아래에 제공된 슬롯 중 하나와 게임 편집 모드를 사용하여 자신만의 전투 장면을 만들 수 있습니다(먼저 M&B 화면 옵션에서 편집 모드를 ON으로 전환한 다음 장면 내에서 Ctrl+E를 눌러 편집 모드에 액세스해야 합니다). 그런 다음 작성한 장면(예: TLD/SceneObj 폴더의 sco 파일)을 TLD의 개발 팀에 제출할 수 있으며, 장면이 좋으면 이후 릴리스에서 랜덤 배틀그라운드 중 하나로 나타날 수 있습니다!^^ 지도에서 장면을 표시할 영역을 지정합니다.^ 몇 가지 힌트: 여러분이 장면 제작자가 아니어서 AI 부대가 원하지 않는 곳을 걷지 못하게 하는 방법을 알지 못한다면 깊은 물, 가파른 산 및 기타 통행할 수 없는 장소를 피하고 AI 메쉬를 다른 장소에 만들 수 있습니다.^ (0-1번 항목은 공격자, 4번 항목은 수비수, 5-8번 항목은 터치하지 마십시오.
mno_scene1|Plain Big (file scn custom 1.sco)
mno_scene2|Plain Med (file scn custom 2.sco)
mno_scene3|Plain Small (file scn custom 3.sco)
mno_scene4|Steppe Big (file scn custom 4.sco)
mno_scene5|Steppe Med (file scn custom 5.sco)
mno_scene6|Steppe Small (file scn custom 6.sco)
mno_scene7|Forest Big (file scn custom 7.sco)
mno_scene8|Forest Med (file scn custom 8.sco)
mno_scene9|Forest Small (file scn custom 9.sco)
mno_back_3dot|돌아가기...
mno_back|돌아간다.
mno_next|다음으로...
