
str_yes|예
str_npc12_signup_response_1|우리가 널 유용하게 써줄 수 있을 것 같은데.
str_npc13_signup_response_1|우리가 널 유용하게 써줄 수 있을 것 같은데.
str_npc14_signup_response_1|아주 좋아. 출발하자.
str_npc15_signup_response_1|흐으음. 네 자신감이... 마음에 드는걸. 장비 챙겨.
str_npc16_signup_response_1|나를 따라오는 건 어때?
str_npc17_signup_response_1|좋아! 그래도 가는 내내 나무 애기만 하진 않았으면 좋겠네!
str_npc1_signup_response_2|지금은 네 동료가 필요 없어. 행운을 빌어.
str_npc2_signup_response_2|미안하지만 마음을 바꿨다.
str_npc3_signup_response_2|미안하지만, 마음을 바꿨다. - 다음 기회에.
str_npc4_signup_response_2|사과드립니다, 아가씨. 이번에는 안될 것 같군요.
str_npc5_signup_response_2|다시 생각해보니, 우리 스스로로도 로스로리엔을 지킬 수 있겠는걸.
str_npc6_signup_response_2|미안하네만, 당신은 전투에 나가 싸울만한 재목으로는 보이지 않아서.
str_npc7_signup_response_2|유감이네, 나는 엘프를 정말 좋아하거든.
str_npc8_signup_response_2|미안하네, 전투할 수 있는 자들은 모두 내 휘하에 있네.
str_npc9_signup_response_2|마음을 바꿨소. 이제부터 당신을 찾는 자들은 모두 내게 와서 물어보아야 할 거요.
str_npc10_signup_response_2|마음을 바꿨소.
str_npc11_signup_response_2|노예야, 너는 이제 더 이상 쓸모가 없다.
str_npc12_signup_response_2|마음을 바꿨소.
str_npc13_signup_response_2|마음을 바꿨소.
str_npc14_signup_response_2|마음을 바꿨소.
str_npc15_signup_response_2|사실 나는 당신같은 허풍쟁이가 아니라 진짜 힐러가 필요한거요.
str_npc16_signup_response_2|참을만큼 참았소. 
str_npc17_signup_response_2|다시 생각해보니 마음을 바꿔야 할 것 같군. 당신 약간 정신이 이상한 것 같은데, 아닌가?
str_npc1_payment|당신을 따르겠습니다. 하지만 제가 지금 따르고 있는 캡틴 파라미르가 날 그리워할지도 모르겠군요. [{reg14} 만큼의 {s14} 영향력 소모]
str_npc2_payment|간수 군인이 절 순순히 보내주지는 않을 겁니다. [{reg14} 만큼의 {s14} 영향력 소모]
str_npc3_payment|크흠, 제가 이 곳에 머무는 동안 술집주인에게 빚을 좀 져서 그러는데, 떠나기 전에 그걸 좀 청산해야 할 것 같군요. [{reg14} 만큼의 {s14} 영향력 소모]
str_npc4_payment|당신을 따르겠습니다, 하지만 도시가 공격당하면 누가 이 부상병에게 신경이나 써 주겠습니까? [{reg14} 만큼의 {s14} 영향력 소모]
str_npc5_payment|곧 따르겠습니다. 적들은 근처에 다가오기도 전에 제 존재를 눈치채고 꼬리를 내릴 겁니다. 하지만 로스로레인 또한 제가 있어야 할 곳입니다. [{reg14} 만큼의 {s14} 영향력 소모]
str_npc6_payment|당신의 휘하에 들어가겠습니다. 하지만 제가 이곳에서 맡은 임무가 있습니다. [{reg14} 만큼의 {s14} 영향력 소모]
str_npc7_payment|당신을 따르겠습니다. 하지만 제 영광스러운 아버지 드왈린께서 이러한 시기에 제가 왜 이 도시를 떠나려 하는지 이해해주시지 못할 것 같아 염려스럽습니다. [{reg14} 만큼의 {s14} 영향력 소모]
str_npc8_payment|왕께서 저를 여전히 필요로 하시니 아직은 이 도시에서의 제 의무를 저버릴 수가 없습니다. 떠나기에는 폐하의 건강이 염려스럽습니다. [{reg14} 만큼의 {s14} 영향력 소모]
str_npc9_payment|당신을 따라 나서고 싶습니다만, 성문을 지키는 보초병들이 그러게 두지 않을 겁니다.^말씀드리는데, 이미 시도해 봤다니까요. [{reg14} 만큼의 {s14} 영향력 소모]
str_npc10_payment|당신의 휘하에 들어가겠습니다. 하지만 제가 이곳에서 맡은 임무가 있습니다. [{reg14} 만큼의 {s14} 영향력 소모]
str_npc11_payment|대장 눈 앞에서 할 수 있는 사람이 필요해. 그가 눈을 감아줄때까지 기다릴 수도 있겠지만, 내 생각에 더 높으신 분의 말이면 알아서 순순히 눈을 감아줄거야. 물론! [{reg14} 만큼의 {s14} 영향력 소모]
str_npc12_payment|하이! 요이! 먼저 내 꼬마놈들에게 지랄난 아가리 좀 닥치라고 전해둬야겠어. 그렇지 않으면 상급자가 저바깥에서도 날 찾아낼 수 있을테니까. [{reg14} 만큼의 {s14} 영향력 소모]
str_npc13_payment|아, 내 족장은 내가 떠나는 것을 인정해주지 않을거야. 네가 다른 방법으로 설득할 수 있을까? [{reg14} 만큼의 {s14} 영향력 소모]
str_npc14_payment|내가 떠나는 것에 대해 헤이븐의 선장을 설득하려면 애 좀 써야할거야. 설득이 끝나는대로 폭풍을 항해할 준비를 하지. [{reg14} 만큼의 {s14} 영향력 소모]
str_npc15_payment|아 맞아. 고귀한 전사 군주시여! 작은 장애물이 하나 있다! 이 동굴의 주인이 내 치료 의식을 별로 안 좋아해서 내 모든 장비를 훔쳐갔어, 억울하게도 말이야! 썩을 놈! 위대한 볼조그 님에게서 훔쳐가다니! 그 더러운 발톱에서 값을 매길 수조차 없는 내 장비를 되찾아야만 해! [{reg14} 만큼의 {s14} 영향력 소모]
str_npc16_payment|나는 너를 따라가는게 아니라 나의 길을 가는 것이다. 그러나 너의 길은 내 길을 따라 잠시 같이 갈 수 있겠지. 하지만 내가 이 땅을 여행하기 전에 먼저 우리보다 노력하다가 죽은 사람들에게 예를 표해야한다. 그들에게 네 성의를 보여주면 우리가 떠날 수 있을거야. 우리는 결코 조상을 잊어서는 안 돼. 그들이 우리를 잊지 않듯이. [{reg14} 만큼의 {s14} 영향력 소모]
str_npc17_payment|나는 나무가 좋아. 하지만 내 늙으신 친척이 여기 남기를 원하는군. [{reg14} 만큼의 {s14} 영향력 소모]
str_npc1_payment_response|걱정 마, 내가 떠날 수 있도록 설득해볼테니까. [{reg14}/{reg15} 영향력 소모]
str_npc2_payment_response|걱정 마. 네 상사한테 잘 이야기할테니까. [{reg14}/{reg15} 영향력 소모]
str_npc3_payment_response|이건 그만한 가치가 있어. 술집 주인과 상의해보지. [{reg14}/{reg15} 영향력 소모]
str_npc4_payment_response|고귀한 일이지만, 대신할 사람은 분명히 있을겁니다. [{reg14}/{reg15} 영향력 소모]
str_npc5_payment_response|날 믿게. 여기보다 자네를 유용하게 써줄테니까. [{reg14}/{reg15} 영향력 소모]
str_npc6_payment_response|이제부터 자네의 의무는 나와 있는 것이네. [{reg14}/{reg15} 영향력 소모]
str_npc7_payment_response|드왈린께서도 전투의 영광을 지닌 난쟁이를 적들로부터 오래 떨어트려놓아서는 안된다는 점을 이해하실 것이네. [{reg14}/{reg15} 영향력 소모]
str_npc8_payment_response|폐하의 안전도 중요하지만, 나와 함께 가면 더 많은 사람들을 구할 수 있을 걸세. [{reg14}/{reg15} 영향력 소모]
str_npc9_payment_response|아, 경비는 자네를 막지 못할거야. 나와 함께 간다면 말이지. [{reg14}/{reg15} 영향력 소모]
str_npc10_payment_response|이제부터 자네의 의무는 나와 있는 것이네. [{reg14}/{reg15} 영향력 소모]
str_npc11_payment_response|자네 옛 대장은 신경쓰지 말게. 자네는 이제 나를 섬기니까. [{reg14}/{reg15} 영향력 소모]
str_npc12_payment_response|자네 꼬마들은 입을 다물거야. 높으신 분들이 걱정되는군. [{reg14}/{reg15} 영향력 소모]
str_npc13_payment_response|그들은 생각을 바꿔야할거야. 내가 자네의 새로운 족장이 될테니까. [{reg14}/{reg15} 영향력 소모]
str_npc14_payment_response|옛 주인에 대해 신경쓸 필요 없네. [{reg14}/{reg15} 영향력 소모]
str_npc15_payment_response|값을 매길 수 없는? 자네 장비를 가져다주겠네. [{reg14}/{reg15} 영향력 소모]
str_npc16_payment_response|나와 그대의 조상님들 모두를 존중하겠네. [{reg14}/{reg15} 영향력 소모]
str_npc17_payment_response|자네 친척은 괜찮을거야. 나와 함께 가세나. [{reg14}/{reg15} 영향력 소모]
str_npc1_morality_speech|대장, 어떻게 당신이 {s21} 때문에 저희 모두를 저버리셨는지 이해할 수 없습니다. 파라미르 대장이었다면 휘하 순찰자들의 공감을 잃지 않고 불필요한 고통 속에 내버려두지 않으셨을 겁니다.
str_npc2_morality_speech|불쾌해하지 말고 듣게. 우리가 {s21}을 보며 지내야한다는 것이 나에게는 매우 불편하더군. 내가 더 강한 군인이 되어야할지도 모르겠지만, 만약 자네가 조금만 더 - 병사들을 생각해준다면, 편히 잠자리에 들 수 있을것이네.
str_npc3_morality_speech|사령관님, 우리 에오를 후예들은 결코 {s21}와 함께하지 않습니다. 우리 말들은 쉽게 지치지 않을것이고, 우리가 한 번 뭉치면 우리의 영광스러운 돌격으로 해결할 수 없는 일은 없지요. 다음에 우리가 전투에서 역경을 만나면 주의하시길 바랍니다.
str_npc4_morality_speech|병사들의 말에 귀담아듣지 마십시오. {s21}이야말로 때때로 현명한 결정이 될 수 있지요. 우리 모두 부러지지 않은 팔다리나 붙어있는 목숨에 감사해야하며, 운명이 우리에게 호의를 베풀 때 다른 날로 전투를 미룰 수 있어야합니다.
str_npc5_morality_speech|행동을 재고해주십시오, 사령관님. {s21}은 우리를 적들보다도 명예롭지 못하게 만들 뿐더러 우리 친구들의 사기를 떨어트립니다.
str_npc7_morality_speech|{s21}을 결정한 것이 마음에 들지 않는군. 전사하는 것은 모든 생각 박힌 난쟁이들의 영광이지만, 겁쟁이가 이끄는 부대에서 살아남는 것은 치욕이다. 이 사실을 알게되면 내 동족들이 뭐라 할지 궁금하군.
str_npc8_morality_speech|사령관님, 당신에게 이의를 제기합니다. {s21}은 가혹하고 불필요합니다. 그들의 고통을 덜어주기 위해 내가 할 수 있는 최선을 다할테지만, 두번다시 이런 값비싼 실수를 치르지 않았으면 합니다.
str_npc9_morality_speech|전투 우루크-하이는 {s21} 따위 하지 않는다. 내 주인의 심장이 콩알만하다면, 어느날 그 심장을 끄집어내버릴 것이다. 글럼의 이름을 걸고.
str_npc15_morality_speech|{playername}, 이 위대한 볼조그가 모든 것을 치료할 수 있긴 하지만, 한계라는 것이 있다! {s21}을 계속하면 내 재능이 따라가지 못하게 될 거야! 나를 좀 도와달라고! 굶어죽든 산산조각나 죽든 나는 죽은 놈을 되살릴 수 없단 말이다!
str_npc1_2ary_morality_speech|대장님, 저는 용기와 영광을 존중할 줄 아는 두네다인으로 길러졌습니다. 다시는 {s21}같은 일이 발생하지 않았으면 합니다.
str_npc4_2ary_morality_speech|실례합니다, 사령관님. 제가 살던 곳의 여성들은 죽는 한이 있을 지언정 불명예는 받아들일 수 없습니다. {s21}은 저희 조상과 가문에 대한 치욕을 불러왔습니다.
str_npc15_2ary_morality_speech|히-히-히! 교활하시군, 오 신이시여! 금을 가지고 가서 고개를 조아리며 "네 주인님'이라고 말해대지만, 머리 속으로는 내내 이런 계획을 짜고 있었군! 히-히! 우리가 조심해야할 건, 그 위대한 것이 우리가 속이고 있다는 사실을 보지 못하게 해야한다는거지..
str_npc1_personalityclash_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc2_personalityclash_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc3_personalityclash_speech|사령관님, 어떻게 저희 부대에 {s11}같은 놈이 있을 수 있는거죠? 그가 아무리 민첩하다고 해도 제가 받아들일 수 없는 매복과 같은 방식에 대해 너무 많이 이야기합니다. - 그의 동족들이 조심스러워하는 것들과는 상반되게 말입니다.
str_npc4_personalityclash_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc5_personalityclash_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc6_personalityclash_speech|{playername}, 나는 방금 {s11}이 어린 새들의 둥지 위를 아무렇지도 않게 짓밟고 가는 것을 보았다네. 그의 뻔뻔한 태도는 무고한 생명체들의 어린 삶을 산산조각냈어.
str_npc7_personalityclash_speech|{s11}경은 전투에서 꽤 활약하고 있지만, 머리 빛으로 적군의 눈을 멀게 하는 것이 아닐까요? 아니면 적들조차 그의 명성과 거만한 태도 때문에 슬금슬금 피해가는 것이 아닌지?
str_npc8_personalityclash_speech|사령관님, {s11}에 대한 불만을 제기합니다. 그는 자꾸 저를 '녹색 요정'이라고 불리는 양주를 빚는 것 때문에 귀찮게합니다.
str_npc9_personalityclash_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc10_personalityclash_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc11_personalityclash_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc12_personalityclash_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc13_personalityclash_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc14_personalityclash_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc15_personalityclash_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc16_personalityclash_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc17_personalityclash_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc1_personalityclash_speech_b|나는 {s11}을 혐오해.
str_npc2_personalityclash_speech_b|나는 {s11}을 혐오해.
str_npc3_personalityclash_speech_b|나는 곤도르 사람들과 싸우고 싶은 생각은 추호도 없지만, 우리는 대담한 기마병들과 덜 망설이는 병사들을 데리고 더 잘 해낼 수 있을겁니다. 제 말이 무슨 뜻인지 아시겠죠?
str_npc4_personalityclash_speech_b|나는 {s11}을 혐오해.
str_npc5_personalityclash_speech_b|나는 {s11}을 혐오해.
str_npc6_personalityclash_speech_b|난쟁이족의 방식이 그가 지하에서 더 잘 싸울 수 있게 했을지는 몰라도, 그 일그러진 갱도에서 진작에 죽지 않았다는 것이 놀랍군. 어쩌면 그래버리는게 나을지도.
str_npc7_personalityclash_speech_b|우리는 불사의 늙은 두린과 같은 난쟁이족 영웅과 더 잘 해낼 수 있을거야, 엘프들은 자기네 숲에서 껑충껑충 뛰어다니기나 하라지.
str_npc8_personalityclash_speech_b|그것은 술에 적신 약쑥으로 만들었고, 헛것을 보는 걸 좋아하는 음유시인들과 부랑자들이 선호하는 것 같다. 내 생각에 전장에서 빈 허공만 쫓아다니는 병사들을 보는 것이 즐거워보일지도 모르겠군.
str_npc9_personalityclash_speech_b|나는 {s11}을 혐오해.
str_npc10_personalityclash_speech_b|나는 {s11}을 혐오해.
str_npc11_personalityclash_speech_b|나는 {s11}을 혐오해.
str_npc12_personalityclash_speech_b|나는 {s11}을 혐오해.
str_npc13_personalityclash_speech_b|나는 {s11}을 혐오해.
str_npc14_personalityclash_speech_b|나는 {s11}을 혐오해.
str_npc15_personalityclash_speech_b|나는 {s11}을 혐오해.
str_npc16_personalityclash_speech_b|나는 {s11}을 혐오해.
str_npc17_personalityclash_speech_b|나는 {s11}을 혐오해.
str_npc1_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc2_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc3_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc4_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc5_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc6_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc7_personalityclash2_speech|꼴보기 좋겠어, 그렇지 대장? 만약 그 엘프 여자 {s11}이 모든 것을 조금만 망쳐놓기만 한다면 말이야.
str_npc8_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc9_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc10_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc11_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc12_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc13_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc14_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc15_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc16_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc17_personalityclash2_speech|내가 {s11}을 혐오한다고 말씀드렸던가요?
str_npc1_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc2_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc3_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc4_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc5_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc6_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc7_personalityclash2_speech_b|나는 그녀가 뒤편에서 웅크린 채 적을 향해 겨우 한두발의 화살만을 쏘는 것을 보았다. 그냥 새와 벌들이나 돌보러 그녀를 내보내는 것은 어때, 그래야 적을 죽이는 피비린내 나는 일을 계속할 수 있을 것 같은데.
str_npc8_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc9_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc10_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc11_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc12_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc13_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc14_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc15_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc16_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc17_personalityclash2_speech_b|나는 {s11}을 혐오해.
str_npc1_personalitymatch_speech|{s11}이 지난 전투에서 보여준 우아함을 알아차리셨습니까? 최후의 일격을 가하기 전에 적 주위를 매끄럽게 움직이는 것을? 마치 옛날 이야기처럼, 요정족 여성들이 그들의 아름다운 숲에서 보여준 날렵한 움직임을 보는 것 같았습니다.
str_npc2_personalitymatch_speech|실례합니다, 사령관님. 나는 그냥 남는 고철로 소소한 무기 수리를 {s11}에게 부탁했을 뿐인데, 나에게 내 공격을 어떻게 개선해야하는지를 가르쳐주겠다는 약속까지 해줬어.
str_npc3_personalitymatch_speech|전력을 다해 돌격하는 방패 처녀는 볼만하지 않나요? 사실, 지금까지 여성들은 화로 옆에 앉아있는 게 낫다고 생각해왔는데, 지난 전투에서 {s11}이 적을 날려버리는 모습을 보고 내가 틀렸을수도 있다는 생각이 들었습니다.
str_npc4_personalitymatch_speech|위대한 업적으로 남을 전투로군요, 사령관님. 승리를 축하드립니다. 나는 {s11}이 어떻게 조용하고 확실하게 부상자와 병자들을 돌보았는지 깨달았습니다. 비록 마지막 적들이 그들에게 마땅한 최후를 맞음에도 불구하고 말입니다.
str_npc5_personalitymatch_speech|내가 {s11}을 좋아한다고 말씀 드렸던가요?
str_npc6_personalitymatch_speech|{playername}, 내가 전투를 싫어하긴 하지만, 보고 싶지 않아도 {s11}경이 화려한 말을 타고 못생긴 생물들을 매처럼 압도하고 있는 모습이 눈에 띄더군요.
str_npc7_personalitymatch_speech|피와 승리로다, 내가 좋아하는 것들이지! 물론, 그렇긴 하지만, {s11}이 내 상처에 친절하게 붕대를 감아줄만큼의 상처는 입었다.
str_npc8_personalitymatch_speech|또 하나의 승리로군요, 사령관님. 저희 병사들을 아끼는 당신의 실력을 인정합니다. {s11}과 같은 전사들이 저희 전투 계획에 큰 도움이 되는 것 같더군요.
str_npc9_personalitymatch_speech|내가 {s11}을 좋아한다고 말씀 드렸던가요?
str_npc10_personalitymatch_speech|내가 {s11}을 좋아한다고 말씀 드렸던가요?
str_npc11_personalitymatch_speech|내가 {s11}을 좋아한다고 말씀 드렸던가요?
str_npc12_personalitymatch_speech|내가 {s11}을 좋아한다고 말씀 드렸던가요?
str_npc13_personalitymatch_speech|내가 {s11}을 좋아한다고 말씀 드렸던가요?
str_npc14_personalitymatch_speech|내가 {s11}을 좋아한다고 말씀 드렸던가요?
str_npc15_personalitymatch_speech|내가 {s11}을 좋아한다고 말씀 드렸던가요?
str_npc16_personalitymatch_speech|내가 {s11}을 좋아한다고 말씀 드렸던가요?
str_npc17_personalitymatch_speech|으음, 대장, {s11}은 숲에서도 잘 해낼 수 있을 것 같아. 버드나무에서 재를 알아볼 수 있듯이 말이야.
str_npc1_personalitymatch_speech_b|저는 {s11}과 함께하는 것이 매우 즐겁고, 그녀의 목공술에 지금은 세상에 희미하게 남은 신다린 기술이 첨가되어있다는 것을 알 수 있습니다. 우리 아버지는 도리아스의 싱골 왕을 섬기던 전설적인 신다린 엘프 대장의 이름을 따서 내 이름을 지었고, 저는 항상 동족들 간의 특별한 유대감을 느낍니다.
str_npc2_personalitymatch_speech_b|집에 있는 저희 부모님께선 항상 내게 이실리엔의 순찰자들에 대한 이야기를 들려주곤 하셨죠. 이제 그 이야기가 모두 사실이라는 것을 스스로 알겠어요. 만약 순찰자들이 모두 {s11}과 같다면, 온 곤도르가 지금보다 훨씬 안전해질거에요.
str_npc3_personalitymatch_speech_b|사령관님, 개인적인 부탁인데, 다음 전투에서 {s11}에게 더 후방에 머물게 할 수는 없는지 물어봐도 되겠소? 나는 그녀가 다치는 것을 참을 수가 없습니다. 단순히 술김에 말하는 게 아니라요.
str_npc4_personalitymatch_speech_b|생명을 보존하는 것이야말로 가장 고귀한 행동이죠, 비록 우리의 세상이 떨어져있더라도 저는 친절한 영혼과 동족애를 느낄 수 있습니다.
str_npc5_personalitymatch_speech_b|나는 {s11}을 좋아해.
str_npc6_personalitymatch_speech_b|나는 그가 몇 살인지 궁금한걸. 나보다 천 살 정도 더 많은건가? 신경쓰지 마, 넌 이해 못할 것 같으니까.
str_npc7_personalitymatch_speech_b|{s11}과 너른골 동맹군은 물론 난쟁이족 전사의 기준에 미치지는 못하지만, 이번 전쟁에서 확고한 아군임을 증명했다. 친구나 동료를 위한 최선의 선택이라고 할 수 있겠지, 굳이 말한다면야.
str_npc8_personalitymatch_speech_b|우리 너른골 사람들은 인종과 관습이 다름에도 불구하고 친구로서, 그리고 보호자로서 거친 외로운 산 난쟁이족들을 존경하고 있습니다.
str_npc9_personalitymatch_speech_b|나는 {s11}을 좋아해.
str_npc10_personalitymatch_speech_b|나는 {s11}을 좋아해.
str_npc11_personalitymatch_speech_b|나는 {s11}을 좋아해.
str_npc12_personalitymatch_speech_b|나는 {s11}을 좋아해.
str_npc13_personalitymatch_speech_b|나는 {s11}을 좋아해.
str_npc14_personalitymatch_speech_b|나는 {s11}을 좋아해.
str_npc15_personalitymatch_speech_b|나는 {s11}을 좋아해.
str_npc16_personalitymatch_speech_b|나는 {s11}을 좋아해.
str_npc17_personalitymatch_speech_b|우리 동족들은 숲 요정들과 잘 지내. 그들도 나무를 정말 좋아하니까. 나도 나무를 좋아해. 우리 모두 나무를 좋아해.
str_npc1_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc2_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc3_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc4_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc5_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc6_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc7_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc8_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc9_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc10_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc11_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc12_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc13_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc14_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc15_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc16_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc17_retirement_speech|나는 전사의 삶이 지겨워졌다, 은퇴해야지.
str_npc1_rehire_speech|이렇게 보니 반갑군요, 대장. 다시 합류해도 괜찮겠습니까?
str_npc2_rehire_speech|좋은 하루! 사령관님, 당신에게 다시 한번 합류해도 괜찮겠습니까?
str_npc3_rehire_speech|호! 함께 다시 달려볼까?
str_npc4_rehire_speech|다시 한 번 환영하네. 우리가 끝났던 곳에서 다시 시작해볼까?
str_npc5_rehire_speech|만나서 반갑군요, {playername}. 다시 한 번 여행을 떠나보죠.
str_npc6_rehire_speech|이렇게 보니 좋군요, {playername}. 다시 같은 길을 걸어봅시다.
str_npc7_rehire_speech|내 도끼는 준비됐네, {playername}. 함께해도 되겠나?
str_npc8_rehire_speech|환영하네. 내가 다시 한 번 함께해도 괜찮겠나?
str_npc9_rehire_speech|글럼은 적을 죽일 준비가 되었다. 가볼까?
str_npc10_rehire_speech|당신을 다시 한 번 섬겨도 되겠습니까?
str_npc11_rehire_speech|당신을 다시 한 번 섬겨도 되겠습니까?
str_npc12_rehire_speech|당신을 다시 한 번 섬겨도 되겠습니까?
str_npc13_rehire_speech|당신을 다시 한 번 섬겨도 되겠습니까?
str_npc14_rehire_speech|당신을 다시 한 번 섬겨도 되겠습니까?
str_npc15_rehire_speech|아, 대왕이시여! 당신들의 영광스러운 행적이 온 땅에 울려퍼졌기에, 당신들을 오랫동안 찾아 헤맸습니다. 내 실력이 그리워지신건 아니죠? 당신의 대군을 완성하기 위해 나를 환대해주겠나요?
str_npc16_rehire_speech|당신을 다시 한 번 섬겨도 되겠습니까?
str_npc17_rehire_speech|다시 시작할 시간이야? 나무들은 움직이지 않지. 하지만 나는 움직이는걸 좋아해. 나무도 좋아해.
str_npc1_home_intro|대장, 우리는 지금 오스길리아스에 접근 중입니다. 친구와 적을 모두 경계할 필요가 있습니다.
str_npc2_home_intro|조심하십시오, 사령관님. 저쪽에 미나스 모르굴이 있습니다. 누군가 우릴 지켜보는 것 같지 않나요?
str_npc3_home_intro|충고 하나 하겠습니다, 사령관님. 저희는 엔트우드에 가까이 가고 있고 말들이 경계하고 있습니다. 누군가는 팡고른 숲이라고도 부르는 곳이지요.
str_npc4_home_intro|여기서 잠시 멈추시죠, 사령관님. 이 앞에는 안두인 강과 림라이트 강의 경계, 켈레브란트 평원이 있습니다. 청년왕 에오를이 그의 곤도르 동맹군을 도왔던 곳이죠.
str_npc5_home_intro|Daro! 저 앞에 오르상크의 검은 탑과 앙그레노스트가 보이는군. 그들을 마지막으로 보았을때보다 더 많이 변했는데, 안좋은 의미로.
str_npc6_home_intro|실례지만, {playername}. 이 부분의 길은 더 꼬여있을테고, 일부는 막다른 길로 이어질겁니다. 우리는 돌 굴두르에 가까이 다가가고 있습니다.
str_npc7_home_intro|어이, 대장! 이 길은 카잣-둠 동쪽 문으로 향하는 옛 길임이 틀림없소. 당신에게는 모리아라는 이름이 더 편하겠군. 멀리 켈레드-자람의 반짝이는 호수가 보이고, 구름 사이로 안개 산맥 세 봉우리의 웅장함이 보이는 곳이지.
str_npc8_home_intro|아, 이런 기이한 광경이라니! 굳센 나무꾼들이 동식물과 조화를 이루며 산다는 곳에 대한 이야기를 들은적이 있소. 내가 듣기로는 베오른족이라 부른다던데.
str_npc9_home_intro|젠장! 저기 보이는 것은 아마 혼버그 일거요, 주인님.
str_npc10_home_intro|이봐, 여기!
str_npc11_home_intro|이봐, 여기!
str_npc12_home_intro|이봐, 여기!
str_npc13_home_intro|이봐, 여기!
str_npc14_home_intro|이봐, 여기!
str_npc15_home_intro|이봐, 여기!
str_npc16_home_intro|이봐, 여기!
str_npc17_home_intro|우오오오, 여기 말로른이 자란다! 말로른을 베어서는 안 돼, 왜냐하면 너무 아름다우니까!!
