itm_horse_meat|말 고기
itm_khand_noble_lam|칸드 귀족 갑옷
itm_variag_greaves|바리아그 정강이 보호대
itm_khand_axe_great|칸드 거대한 도끼
; itm_khand_axe_winged|Khand Winged Axe
itm_khand_halberd|칸드 할버드
; itm_khand_trident|Khand Trident
; itm_khand_voulge|Khand Voulge
; itm_khand_mace1|Khand Mace
; itm_khand_mace2|Khand Mace
; itm_khand_mace_spiked|Khand Spiked Mace
; itm_khand_rammace|Khand Ram Mace
; itm_khand_pitsword|Pit Fighter Sword
; itm_khand_tulwar|Khand Tulwar
; itm_khand_2h_tulwar|Khand Tulwar
; itm_khand_lance|Khand Lance
; itm_easterling_round_horseman|Easterling Round Shield
; itm_variag_gladiator_shield|Variag Gladiator Shield
; itm_easterling_hawk_shield|Easterling Hawk Shield
; itm_rhun_bull1_shield|Rhun Shield
; itm_rhun_bull2_shield|Rhun Shield
; itm_rhun_bull3_shield|Rhun Shield
; itm_furry_boots|Furry Boots
; itm_rhun_armor_a|Rhun Light Battlewear
; itm_rhun_armor_b|Rhun Light Battlewear
; itm_rhun_armor_d|Rhun Light Battlewear
; itm_rhun_armor_g|Rhun Heavy Battlewear
; itm_rhun_armor_h|Rhun Heavy Battlewear
; itm_rhun_armor_j|Rhun Medium Battlewear
; itm_rhun_armor_m|Rhun Medium Battlewear
; itm_rhun_armor_n|Rhun Medium Battlewear
; itm_rhun_armor_o|Rhun Medium Battlewear
; itm_rhun_armor_p|Rhun Noble Armor
; itm_rhun_armor_k|Rhun Noble Armor
; itm_rhun_helm_a|Rhun Barbed Helm
; itm_rhun_helm_b|Rhun Barbed Helm Camail
; itm_rhun_helm_c|Rhun Horde Helm
; itm_rhun_helm_e|Rhun Horde Horned Helm
; itm_rhun_helm_g|Rhun Horned Pot
; itm_rhun_helm_h|Rhun Horned Pot
; itm_rhun_helm_i|Rhun Round Helm
; itm_rhun_helm_j|Rhun Round Masked Helm
; itm_rhun_helm_k|Rhun Leather Helm
; itm_rhun_helm_l|Rhun Leather Helm
; itm_rhun_helm_m|Rhun Leather Helm
; itm_rhun_helm_n|Rhun Chieftain Helm
; itm_rhun_helm_o|Rhun Chieftain Helm
; itm_rhun_greataxe|Rhun Great Axe
; itm_rhun_battleaxe|Rhun Battle Axe
; itm_rhun_falchion|Savage Falchion
; itm_rhun_glaive|Rhun Glaive
; itm_rhun_greatfalchion|Savage Great Falchion
; itm_rhun_greatsword|Savage Great Sword
; itm_rhun_shortsword|Savage Shortsword

; itm_rhun_sword|Savage Sword
; itm_rhun_shield|Rhun Kite Shield
; itm_dale_light_a|Dale Militia Jacket

; itm_dale_light_b|Northmen Light Lamellar

; itm_dale_med_a|Northmen Heavy Lamellar

; itm_dale_med_b|Dale Leather Armor

; itm_dale_med_c|Dale Leather Over Mail

; itm_dale_med_d|Dale Lamellar Armor

; itm_dale_heavy_a|Dale Lamellar Over Mail

; itm_dale_heavy_b|Dale Plated Coat

; itm_dale_heavy_c|Rhovanion Mail

; itm_dale_armor_l|Dale Noble Gorget

; itm_dale_helmet_a|Dale Light Infantry Helm

; itm_dale_helmet_b|Dale Light Archer Helm

; itm_dale_helmet_c|Dale Infantry Helm

; itm_dale_helmet_d|Dale Archer Helm

; itm_dale_helmet_e|Barding Helm

; itm_dale_helmet_f|Barding Helm

; itm_dale_sword|Dale Shortsword
; itm_dale_sword_long|Dale Longsword
; itm_dale_sword_broad|Dale Infantry Sword
; itm_dale_pike|Dale Spear
; itm_dale_billhook|Dale Billhook
; itm_dale_shield_a|Dale Tower Shield
; itm_dale_shield_b|Dale Tower Shield
; itm_dale_shield_c|Dale Round Shield
; itm_dale_shield_d|Dale Shield
; itm_umb_armor_a|Corsair Leather Vest
; itm_umb_armor_b|Corsair Leather Armor
; itm_umb_armor_c|Corsair Light Scale
; itm_umb_armor_d|Corsair Scale
; itm_umb_armor_e|Corsair Hauberk
; itm_umb_armor_f|Corsair Noble Armour
; itm_umb_helm_a|Corsair Shell Helm

; itm_umb_helm_b|Corsair Shell Helm

; itm_umb_helm_c|Corsair Militia Helm

; itm_umb_helm_d|Corsair Raider Helm

; itm_umb_helm_e|Corsair High Helm

; itm_umb_helm_f|Corsair High Helm

; itm_umb_hood|Black Hood

; itm_corsair_boots|Corsair Boots

; itm_umb_shield_a|Corsair Shield

; itm_umb_shield_b|Corsair Buckler

; itm_umb_shield_c|Corsair Buckler

; itm_umb_shield_d|Corsair Buckler

; itm_umbar_spear|Umbar Short Spear

; itm_umbar_cutlass|Umbar Cutlass

; itm_kraken|Kraken Cutlass

; itm_umbar_rapier|Umbar Boarding Sword

; itm_corsair_harpoon|Corsair Harpoon
; itm_corsair_sword|Corsair Eket

; itm_corsair_throwing_dagger|Crooked Throwing Daggers
; itm_umbar_pike|Corsair Trident
; itm_woodman_tunic|Woodmen Tunic

; itm_woodman_scout|Woodmen Scout Cape
; itm_woodman_padded|Woodmen Padded Armor
; itm_beorn_tunic|Beorning Tunic
; itm_beorn_padded|Beorning Padded Armor
; itm_beorn_heavy|Beorning Heavy Armor
; itm_beorn_berserk|Beorning Berserker Kit
; itm_beorn_chief|Beorning Chieftan's Tunic

; itm_beorn_helmet|Bear Skullcap
; itm_beorn_shield|Northmen Shield
; itm_beorn_axe|Beorning Axe
; itm_beorn_staff|Woodmen Staff
; itm_beorn_battle_axe|Beorning War Axe
; itm_dwarf_shield_a|Dwarven Angular Shield

; itm_dwarf_shield_b|Dwarven Tower Shield

; itm_dwarf_shield_c|Dwarven Fighting Shield

; itm_dwarf_shield_d|Dwarven Round Shield

; itm_north_round_shield|Northmen Round Shield

itm_free_dwarf_shield_g|난쟁이인 방패

itm_free_dwarf_shield_i|난쟁이인 방패

itm_free_dwarf_shield_j|난쟁이인 방패

itm_free_dwarf_shield_k|난쟁이인 방패

; itm_woodmen_heavy|Mirkwood Armor

itm_dwarf_sword_a|난쟁이 검

; itm_dwarf_sword_b|Beorning Shortsword
itm_dwarf_sword_c|난쟁이 검
itm_dwarf_sword_d|난쟁이 검

; itm_dwarf_battle_axe|Dwarf Battle Axe

; itm_dwarf_great_axe|Dwarf Great Axe

; itm_dwarf_great_mattock|Dwarf Great Mattock

; itm_dwarf_great_pick|Dwarf Great Pick

; itm_dwarf_war_pick|Dwarf War Pick

; itm_dwarf_mattock|Dwarf Mattock

; itm_dwarf_hand_axe|Dwarf Short Axe

; itm_dwarf_throwing_axe|Dwarf Throwing Axe

; itm_dwarf_spear|Dwarf Spear

; itm_dwarf_spear_b|Dwarf Pike

; itm_dwarf_spear_c|Dwarf Longaxe

; itm_dwarf_helm_coif|Dwarf Coif

; itm_dwarf_nasal_b|Dwarf Nasal Helm

; itm_north_skullcap|North Skullcap

; itm_dwarf_helm_kettle|Dwarf Kettle Helm

; itm_dwarf_helm_fris|Dwarf Frisian Helm

; itm_north_leather_skullcap|North Light Skullcap

; itm_dwarf_hood|Dwarf Hood

; itm_dwarf_nasal|Dwarf Nasal Tophelm

; itm_north_nasal_helm|North Nasal Helm

; itm_dwarf_helm_p|Dwarf King Helm

; itm_dwarf_miner|Dwarf Light Helm

; itm_north_chieftain|North Chieftain Helm

; itm_dwarf_helm_round|Dwarf Round Helm

; itm_dwarf_helm_sallet|Dwarf Sallet

; itm_dwarf_armor_d|Iron Hills Coat of Scales
; itm_dwarf_armor_a|Erebor Surcoat over Mail

; itm_leather_dwarf_armor|Dwarven Padded Coat

; itm_dwarf_armor_b|Erebor Tunic over Mail

; itm_leather_dwarf_armor_b|Dwarven Padded Jerkin

; itm_dwarf_armor_c|Erebor Scale Mail

; itm_dwarf_vest|Dwarven Tunic

; itm_dwarf_vest_b|Iron Hills Mail
; itm_dwarf_pad_boots|Dwarven Padded Boots
; itm_dwarf_chain_boots|Dwarven Mail Chausses
; itm_dwarf_scale_boots|Dwarven Scale Boots
; itm_good_mace|Mace
; itm_far_harad_shield_paint|Wicker Shield
; itm_nazgulrobe|Nazgul Robe

; itm_werewolf|Werewolf
; itm_mordor_banner|Mordor Banner
; itm_isengard_banner|Isengard banner
; itm_woodelf_banner|Mirkwood Banner
; itm_lorien_banner|Lothlorien Banner
; itm_imladris_banner|Imladris Banner
; itm_gondor_lance_banner|Gondor Lance With Banner
; itm_amroth_lance_banner|Dol Amroth Lance With Banner
; itm_rohan_lance_banner_sun|Rohan Lance With Sun Banner
; itm_rohan_lance_banner_horse|Rohan Lance With Horse Banner

; itm_ent_water|Strange bowl of water
; itm_map|Maps of Middle Earth
; itm_athelas_reward|Athelas Plant
; itm_phial_reward|Light of Galadriel
; itm_scroll_reward|On the Fall of Gondolin
; itm_hammer_reward|Smith's Hammer
; itm_khand_knife_reward|Khand Sacrificial Knife
; itm_angmar_whip_reward|Master's Whip
; itm_horn_gondor_reward|Horn of Gondor
; itm_harad_totem_reward|Harad Totem
; itm_elven_amulet_reward|Elven Amulet
; itm_torque_reward|Evil Torque
; itm_orc_brew|Orc Brew
; itm_rohan_saddle|Saddle of Thengel
; itm_mearas_reward|Mearh Stallion

; itm_shield_of_tuor|Shield of Tuor
; itm_riv_armor_reward|Rivendell Decorated Armor
; itm_westernesse1h_reward|Sword of Westernesse
; itm_westernesse2h_reward|Sword of The Great Serpent
; itm_mirkwood_sword_reward|Greenwood Relic Sword
; itm_nazgul_sword|Wicked Sword

; itm_cooking_cauldron|Cooking Cauldron
; itm_eorl_cavalry_sword|Sword of Eorl
; itm_garlic_reward|Garlic
; itm_silmarillion_reward|Silmarillion
; itm_herbarium_reward|Middle Earth Herbarium
; itm_book_of_moria|Book of Mazarbul
; itm_ring_a_reward|Tulcarisil
; itm_ring_b_reward|Finwarisil
; itm_dale_bow_reward|Bow of Bard
; itm_explosive_reward|Isengard Mine
; itm_corsair_trident|Trident of Sea Fury
; itm_crebain_reward|Isengard Crebain
; itm_miruvor_reward|Miruvor Flask
; itm_wheeled_cage|Giant wheeled cage
; itm_orc_throwing_axes_reward|Gundabad Flying Axes
; itm_corsair_throwing_dagger_reward|Poisoned Throwing Daggers
; itm_dwarf_shield_reward|Shield of Kheled-zaram
; itm_dwarf_great_axe_reward|Dwarf Sharp Axe
; itm_isen_uruk_heavy_reward|Uruk-hai General Armor
; itm_lorien_bow_reward|Noldorin Bow
; itm_elven_cloak|Elven Cloak
; itm_dale_sword_reward|Dale Royal Sword

; itm_dale_armor_reward|Dale Noblemen Mail
; itm_leather_gloves_reward|Hunting Gloves
; itm_beorn_shield_reward|Beorning Shield
; itm_beorn_axe_reward|Bear Club
; itm_moria_arrow_reward|Moria Poisoned Arrows
; itm_khamul_helm|Helm of Khamul
; itm_guldur_arrows_reward|Guldur Arrows
; itm_sarustaff|Wizards Staff
; itm_rohan_armor_th|Rohan Royal Armor
; itm_prisoner_coll_chain|Prisoner Chains
; itm_witchking_helmet|Wicked Helm
; itm_lorien_royal_armor|Lorien Royal Armor
; itm_feet_chains|Feet Chains
; itm_feet_chains_dwarf|Feet Chains
; itm_spider|Spider
itm_bear|곰
itm_wolf|늑대
; itm_defiled_armor_gondor|Defiled Gondor Leader's Surcoat
; itm_defiled_armor_rohan|Defiled Rohan Hauberk
; itm_defiled_armor_dale|Defiled Dale Noble Armor
; itm_beorn_axe_no_attack|Beorning Axe
