stringsfile version 1
1350
str_no_string NO_STRING!
str_npc9_backstory_b I_was_my_father's_first_son,_and_his_heir._But_my_mother_died,_and_my_father_remarried._His_new_wife_thought_that_her_son_should_inherit._She_could_not_move_against_me_openly,_but_the_other_day_I_fed_a_pot_of_suet_that_had_been_left_out_for_me_to_one_of_my_hounds,_and_it_keeled_over._I_accused_my_stepmother,_but_my_father,_befuddled_by_her_witchcraft,_refused_to_believe_me_and_ordered_me_to_leave_his_sight.
str_npc10_backstory_b A_sergeant_I_was,_in_the_garrison_{s19}_at_{s20}._Twenty_years_I_stood_guard_for_the_city,_taking_many_a_hard_knock_in_many_a_tough_fight,_until_they_appointed_a_snot-nosed,_downy-lipped_princeling,_barely_out_of_his_mother's_cradle,_as_commander_of_the_garrison._He_came_upon_me_standing_watch_atop_the_tower,_with_my_crossbow_unstrung_--_on_account_of_the_rain,_you_see..._Can't_have_the_cord_loosen..._But_Little_Prince_Snot-Nose_tells_me_that_an_unstrung_bow_is_dereliction_of_duty._Says_he'll_have_me_horsewhipped._And_something_in_me_snapped._So_I_walked_off_my_post.
str_npc11_backstory_b For_30_years_I_followed_the_armies_of_this_land,_selling_them_victuals_and_drink,_watching_their_games_of_dice_and_finding_them_girls,_and_nary_a_denar_was_left_in_my_purse_at_the_end.
str_npc12_backstory_b I_am_by_training_a_natural_philosopher,_but_condemned_by_the_jealousy_of_the_thick-headed_doctors_of_my_university_to_make_my_living_as_an_itinerant_surgeon._I_was_hired_by_a_merchant_of_this_city_to_cure_his_son,_who_fell_into_a_coma_after_a_fall_from_his_balcony._I_successfully_trepanned_the_patient's_skull_to_reduce_the_cranial_swelling,_but_the_family_ignored_my_advice_to_treat_the_ensuing_fevers_with_a_tincture_of_willow_bark,_and_the_boy_died._The_father,_rather_than_reward_me_for_my_efforts,_charged_me_with_sorcery_--_me,_a_philosopher_of_nature!_Such_is_the_ignorance_and_ingratitude_of_mankind.
str_npc13_backstory_b I_am_a_warrior_by_profession._But_perhaps_you_may_also_have_heard_of_my_prowess_as_a_poet,_who_can_move_the_iciest_of_maidens_to_swoon._Or_of_my_prowess_in_the_art_of_the_bedchamber,_in_which_I_must_confess_a_modest_degree_of_skill._I_confess_a_modest_affection_for_Calradia,_and_for_the_past_several_years_have_visited_its_towns,_castles,_and_villages,_making_the_most_of_my_talents.
str_npc14_backstory_b I_am_the_second_son_of_the_count_of_Geroia,_of_whom_you_have_no_doubt_heard._Having_no_inheritance_of_my_own,_I_came_here_to_seek_my_fortune_in_Calradia,_training_men_in_the_art_of_battle._Unfortunately,_the_lords_here_in_{s20}_has_no_taste_for_the_disciplinary_methods_needed_to_turn_rabble_into_soldiers._I_told_him_it_was_wiser_to_flog_them_now,_then_bury_them_later._But_he_would_not_listen,_and_I_was_told_to_take_my_services_elsewhere.
str_npc15_backstory_b The_castellan_{s19}in_{s20}_wanted_a_new_tower_added_to_the_wall._Trouble_is,_he_ran_out_of_cash_halfway_through_the_process,_before_I_could_complete_the_supports._I_told_him_that_it_would_collapse,_and_it_did._Unfortunately_he_was_standing_on_it,_at_the_time._The_new_castellan_didn't_feel_like_honouring_his_predecessor's_debts_and_implied_that_I_might_find_myself_charged_with_murder_if_I_push_the_point.
str_npc16_backstory_b I_grew_up_in_Malayurg_castle_as_a_bonded_servant,_working_alongside_my_mother_in_the_kitchens._I_would_amuse_myself_by_hunting_mice_through_the_pantries_and_sculleries._I_was_so_good_at_it_that_I_put_the_castle_cats_out_of_a_job,_and_eventually_the_lord_realized_that_I_might_also_be_employed_to_track_down_bigger_game,_on_certain_errands_of_a_type_perhaps_better_left_unsaid._Needless_to_say,_I_found_a_number_of_opportunities_to_avail_myself_of_trinkets_that_had_formerly_belonged_to_my_lord's_enemies._So_I_was_able_to_buy_myself_out_of_bondage,_and_find_hire_as_a_free_agent._My_last_job_was_{s19}in_{s20}.
str_npc1_backstory_c But_if_I_was_with_a_larger_group_who_could_vouch_for_me,_they_might_let_it_pass._I'd_be_very_grateful_to_you.
str_npc2_backstory_c So_here_I_am,_no_money_and_no_way_home.
str_npc3_backstory_c I_shall_marry_whom_I_want,_when_I_want._Moreover,_regardless_of_what_my_father_might_think,_I_am_perfectly_capable_of_taking_care_of_myself._I_was_thinking_that_I_should_perhaps_join_a_band_of_gypsies,_or_perhaps_a_troop_of_mercenaries!
str_npc4_backstory_c But_I_am_anxious_to_avoid_any_further_trouble,_so_if_you_knew_of_any_company_of_fighting_men_where_I_might_enlist,_I_would_be_most_grateful.
str_npc5_backstory_c In_the_meantime,_any_opportunities_to_earn_a_living_with_my_sword_would_be_most_welcome.
str_npc6_backstory_c Do_you_believe_there_is_hope_for_a_man_like_me?_Can_I_find_the_path_of_righteousness,_or_am_I_doomed_to_follow_the_demons_that_dwell_inside_of_me?
str_npc7_backstory_c But_I_do_not_count_myself_unlucky,_stranger,_no_more_than_any_other_woman_of_Calradia,_this_fetid_backwater,_this_dungheap_among_the_nations,_populated_by_apes_and_jackals.
str_npc8_backstory_c When_I_have_enough_gold_to_raise_an_army_I_shall_go_back_and_take_what_it_is_mine.
str_npc9_backstory_c I_hope_to_offer_my_sword_to_some_worthy_captain,_as_it_is_the_only_honourable_profession_for_a_man_of_my_birth_apart_from_owning_land,_but_in_the_meantime_I_am_condemned_to_make_my_bed_among_thieves,_vagabonds,_merchants,_and_the_other_riff-raff_of_the_road.
str_npc10_backstory_c Now_I'm_here_getting_drunk,_and_the_Devil_take_tomorrow.
str_npc11_backstory_c It's_no_kind_of_life,_victualling_the_armies._You_earn_a_bit_here_and_a_bit_there_as_the_soldiers_spend_their_money,_and_then_along_comes_one_defeat_and_you_have_to_start_over,_endebting_yourself_to_buy_a_new_wagon_and_new_oxen._So_I've_decided_to_get_out_of_the_business,_but_army_life_is_all_I_know.
str_npc12_backstory_c The_lord_of_this_castle_is_reluctant_to_place_me_under_arrest,_but_I_am_anxious_to_move_on_elsewhere.
str_npc13_backstory_c Which_reminds_me_--_somewhere_out_there_in_the_city_is_a_rather_irate_husband._I_don't_suppose_you_might_consider_helping_me_leave_town?
str_npc14_backstory_c So,_if_you_know_of_any_commander_who_believes_that_his_purpose_is_to_win_battles,_rather_than_pamper_his_soldiers,_I_would_be_pleased_if_you_directed_me_to_him_.
str_npc15_backstory_c More_fool_me_for_having_taken_the_contract_without_an_advance,_I_suppose,_but_the_end_of_it_all_is_that_I'm_in_a_difficult_spot,_with_the_roads_full_of_bandits_and_no_money_to_pay_for_an_escort._So_I'd_be_much_obliged_if_a_well-armed_party_heading_out_in_the_next_few_days_could_take_me_along.
str_npc16_backstory_c Unfortunately,_my_last_employer's_wife_had_a_lovely_amulet,_of_a_kind_I_simply_could_not_resist._She_doesn't_know_it's_missing,_yet,_but_she_might_soon._So_tell_me,_are_you_looking_for_helpers?
str_npc1_backstory_later I've_been_here_and_about,_you_know,_doing_my_best_to_keep_out_of_trouble._I'm_desperately_in_need_of_work,_however.
str_npc2_backstory_later I_sold_my_boots_and_have_managed_to_make_a_few_denars_peddling_goods_from_town_to_town,_but_it's_a_hard_living.
str_npc3_backstory_later I_hired_myself_on_as_a_cook_for_some_passing_caravans,_and_that_at_least_keeps_me_fed._But_it_is_rough_company_on_the_road,_and_I_grow_weary_of_fighting_off_guards_and_others_who_would_try_to_take_liberties._I_was_thinking_that_if_I_could_find_work_as_a_warrior,_men_would_know_to_leave_me_alone.
str_npc4_backstory_later I_went_back_to_my_ancestral_barony,_to_inspect_my_lands._But_we_had_locusts,_you_see,_and_bad_rains,_and_other_things,_so_here_I_am_again,_looking_for_work.
str_npc5_backstory_later I've_been_wandering_through_this_war-torn_land,_looking_for_a_leader_who_is_worth_following.
str_npc6_backstory_later I_have_been_wandering_Calradia,_but_have_yet_to_find_redemption.
str_npc7_backstory_later I_have_been_wandering,_looking_for_work_as_a_tracker,_but_it_has_not_been_easy._Calradians_are_mostly_ill-bred,_lice-ridden,_and_ignorant,_and_it_is_not_easy_to_work_with_such_people.
str_npc8_backstory_later I_am_still_seeking_a_war_leader_in_whose_shield_wall_I_would_fight._But_I_need_gold,_and_fast,_and_the_lords_of_this_land_as_often_as_not_prefer_to_stay_behind_the_walls_of_their_fortresses,_rather_march_out_to_where_glory_and_riches_can_be_won.
str_npc9_backstory_later I've_offered_my_sword_to_a_few_lords_in_these_parts._But_I_find_as_often_as_not_they'll_ask_me_to_run_messages,_or_train_peasants,_or_some_other_job_not_fit_for_a_gentleman.
str_npc10_backstory_later I_don't_know_if_I_told_you_or_not,_but_I_deserted_my_unit_after_I_struck_a_young_noble_who_had_ordered_me_to_be_horsewhipped_without_cause._Since_then_I've_been_laying_low._Thankfully_I_had_the_wit_to_pilfer_my_captain's_purse_before_heading_out,_but_the_money_is_running_low.
str_npc11_backstory_later I've_been_around_and_about._But_it's_a_rare_captain_who'll_take_on_an_old_bag_of_bones_like_me_as_a_fighter,_even_if_I_could_whip_half_the_boys_in_his_outfit.
str_npc12_backstory_later I_have_been_here_and_about,_tending_to_the_sick_and_taking_what_reward_I_can._But_the_people_of_these_parts_are_ignorant,_and_have_little_respect_for_my_craft._The_few_denars_I_make_are_barely_enough_for_me_to_replenish_my_stock_of_medicine._I_should_be_grateful_for_the_chance_to_find_other_work.
str_npc13_backstory_later I_have_been_wandering_through_the_cities_of_Calradia,_leaving_a_string_of_love-sick_women_and_cuckolded_husbands_in_my_wake._But_I_grow_weary_of_such_simple_challenges,_and_had_been_thinking_of_turning_myself_to_more_martial_pastimes.
str_npc14_backstory_later I_have_gone_from_court_to_court,_but_I_have_not_yet_found_a_lord_who_is_to_my_liking.
str_npc15_backstory_later I've_been_going_from_castle_to_castle,_looking_to_see_if_walls_or_towers_need_repair._But_either_the_lord's_away,_or_he's_got_other_things_on_his_mind,_or_I_run_into_his_creditors_on_the_street,_begging_for_change,_and_I_realize_that_here's_one_job_not_to_take._So_if_you_hear_of_anything,_let_me_know.
str_npc16_backstory_later I_do_the_odd_job_from_time_to_time._But_there's_naught_like_steady_employment,_and_a_regular_run_of_corpses_to_loot.
str_npc1_backstory_response_1 Perhaps._But_how_do_I_know_that_there_won't_be_a_'misunderstanding'_about_one_of_my_horses?
str_npc2_backstory_response_1 Well,_perhaps_I_could_offer_you_work._Can_you_fight?
str_npc3_backstory_response_1 Well,_as_it_happens_I_run_a_company_of_mercenaries.
str_npc4_backstory_response_1 I_run_such_a_company,_and_might_be_able_to_hire_an_extra_hand.
str_npc5_backstory_response_1 That's_the_spirit!_I_might_be_able_to_offer_you_something.
str_npc6_backstory_response_1 Hmm._You_might_consider_joining_us._Right_wrongs,_fight_oppressors,_redeem_yourself,_that_kind_of_thing.
str_npc7_backstory_response_1 Hmm..._Are_you_by_any_chance_looking_for_work?
str_npc8_backstory_response_1 I_can_offer_you_opportunities_to_make_money_through_good_honest_fighting_and_pillaging.
str_npc9_backstory_response_1 Perhaps_you_would_like_to_join_my_company_for_a_while.
str_npc10_backstory_response_1 If_you're_looking_for_work,_I_can_use_experienced_fighters.
str_npc11_backstory_response_1 What_will_you_do_now?
str_npc12_backstory_response_1 Well,_you_could_travel_with_us,_but_you'd_have_to_be_able_to_fight_in_our_battle_line.
str_npc13_backstory_response_1 I_might_be_able_to_use_an_extra_sword_in_my_company.
str_npc14_backstory_response_1 I_might_be_able_to_use_you_in_my_company.
str_npc15_backstory_response_1 Where_do_you_need_to_go?
str_npc16_backstory_response_1 I_might_be._What_can_you_do?
str_npc1_backstory_response_2 I'll_do_no_such_thing._I_have_better_things_to_do_then_to_help_thieves_avoid_justice.
str_npc2_backstory_response_2 Hard_luck,_friend._Good_day_to_you.
str_npc3_backstory_response_2 Go_back_to_your_family,_lass._Fathers_must_always_be_obeyed.
str_npc4_backstory_response_2 No,_sorry,_I_haven't_heard_of_one.
str_npc5_backstory_response_2 Sigh.._So_long_as_you_hill_clans_fight_tribe_against_tribe,_you_will_remain_a_silly,_weak_people.
str_npc6_backstory_response_2 Away_with_you,_accursed_fraticide!
str_npc7_backstory_response_2 Actually,_I'm_rather_fond_of_the_place._Good_day_to_you.
str_npc8_backstory_response_2 Your_brother-in-law_was_right_--_women_should_not_rule._Go_back_home_and_tend_your_hearth.
str_npc9_backstory_response_2 Some_of_my_best_friends_are_riff-raff._Good_day_to_you,_sir.
str_npc10_backstory_response_2 No_doubt_you'll_wake_up_with_your_head_in_a_noose,_and_you'll_deserve_it._Good_day.
str_npc11_backstory_response_2 Very_interesting,_madame,_but_I_have_work_to_do.
str_npc12_backstory_response_2 Sorry._I_can't_take_on_any_new_hands.
str_npc13_backstory_response_2 No,_sorry._Nothing_I_can_do_for_you.
str_npc14_backstory_response_2 I'll_let_you_know_if_I_hear_of_anything._Good_day.
str_npc15_backstory_response_2 Sorry._I've_got_all_the_men_that_I_can_manage_right_now.
str_npc16_backstory_response_2 Sorry,_lass._You_sound_like_you_might_be_trouble.
str_npc1_signup {Sir/Madame}_--_I'm_offended_that_you_would_even_think_such_a_thing._I'd_be_most_indebted_to_you,_and_you'll_see_that_I_show_my_gratitude.
str_npc2_signup Well,_I_will_confess_that_I_am_not_a_warrior_by_trade.
str_npc3_signup Do_you?_Well,_I_am_in_no_position_to_be_picky!_I_would_be_pleased_to_join_you.
str_npc4_signup Good!_I_look_forward_to_vanquishing_your_enemies.
str_npc5_signup Why,_that_is_a_most_generous_offer.
str_npc6_signup Yes!_You_must_have_been_sent_by_divine_providence!_Lead_me_--_lead_me_away_from_darkness!
str_npc7_signup I_might_be._I_could_certainly_use_the_money.
str_npc8_signup Can_you?_I_shall_accept_your_offer.
str_npc9_signup I_would_very_much_like_that,_sir
str_npc10_signup Are_you,_now?_Well,_that's_a_sight_better_than_swinging_from_a_gibbet_for_desertion.
str_npc11_signup Why,_I'll_be_a_soldier_myself!_Help_my_old_hands_to_a_bit_of_loot_to_comfort_me_in_my_retirement._Two_boys_I_bore,_both_soldiers'_brats,_and_they_became_soldiers_themselves._One_had_his_head_split_by_a_Khergit_war_club,_the_other_died_of_the_pox,_but_at_least_they_didn't_die_hungry.
str_npc12_signup As_I_told_you,_I_am_a_surgeon,_not_some_silk-robed_university_physician_who_has_never_touched_a_body._I_can_get_my_hands_dirty.
str_npc13_signup Indeed?_You_would_do_well_to_enlist_me.
str_npc14_signup I_would_be_pleased_to_ride_with_you,_at_least_for_a_little_while,_for_pay_and_a_share_of_any_loot.
str_npc15_signup Geroia,_eventually,_but_I'd_welcome_the_opportunity_to_get_a_few_denars_in_my_pocket,_first,_so_I_don't_come_home_empty_handed._So_if_you_promise_me_food_and_a_share_of_the_loot,_I'd_be_happy_to_fight_with_you_for_a_while.
str_npc16_signup Well,_{sir/madame},_let_me_tell_you._I_may_not_know_how_to_read_and_write,_but_I_know_the_quickest_way_to_a_man's_heart_is_between_his_fourth_and_fifth_rib,_if_you_understand_me._
str_npc1_signup_2 I've_ridden_over_a_fair_amount_of_rough_country_in_my_time,_more_often_than_not_in_a_hurry._I'm_a_good_tracker_and_I've_got_a_good_eye_for_terrain._So_what_do_you_say?
str_npc2_signup_2 I'm_a_fast_learner._I_can_ride,_and_know_a_fair_bit_about_trade,_prices_and_such.
str_npc3_signup_2 I_think_you_would_find_I_would_be_a_most_valuable_addition_to_your_ranks._I_am_well_versed_in_the_classics_of_literature_and_can_declaim_several_of_the_epic_poems_of_my_people._I_play_the_lute_and_am_a_skilled_manager_of_household_servants.
str_npc4_signup_2 Note_however_that_as_a_gentleman_and_the_holder_of_a_barony,_I_expect_to_be_in_a_position_of_command,_and_not_be_treated_as_one_of_the_common_soldiers.
str_npc5_signup_2 I_shall_not_betray_you_--_so_long,_of_course,_as_you_do_your_duty_to_me_by_feeding_me,_paying_me,_and_not_dragging_my_miserable_hide_into_a_battle_where_there_is_no_chance_of_winning._Hand_me_some_salt,_if_you_will_--_it_is_the_custom_of_our_people_to_take_salt_from_our_captains,_as_a_token_of_their_concern_for_our_well-being.
str_npc6_signup_2 I_am_well_practiced_in_the_arts_of_war_--_but_I_beg_you,_sir,_I_wish_to_use_my_skills_to_defend_the_innocent,_the_pure,_and_the_defenseless,_not_to_be_a_common_brigand_and_wreak_more_misery_than_I_have_already_wrought.
str_npc7_signup_2 But_let_your_followers_know_that_I_do_not_suffer_louts_and_brutes._Anyone_who_misbehaves_around_me_will_quickly_find_an_arrow_in_their_gullet.
str_npc8_signup_2 I_shall_be_pleased_to_fight_in_your_shield_wall._But_I_warn_you_--_if_you_ask_me_to_gather_the_firewood,_or_cook_a_meal,_you_will_not_like_the_consequences.
str_npc9_signup_2 I_am_a_gentleman,_and_prefer_to_fight_with_sword_and_lance._I_recognize_that_you_are_of_lower_birth_than_I,_there_is_no_shame_for_me_to_serve_under_an_experienced_captain_--_presuming,_of_course,_that_your_followers_do_not_become_too_familiar_with_me._I_assume_that_will_not_be_a_problem?
str_npc10_signup_2 You_won't_regret_taking_me_on,_{Brother/Sister}._I'm_a_dead_eye_with_a_crossbow_--_a_beautiful_weapon,_it_can_right_punch_through_a_nobleman's_armour_and_spill_his_blue_blood_upon_the_ground._And_I've_trained_more_raw_recruits_than_you've_had_hot_dinners,_begging_your_pardon._I_don't_toadie_to_the_high-born.
str_npc11_signup_2 I_know_how_to_swing_a_blade,_staunch_a_wound,_and_feed_an_army_on_the_march._It_would_be_a_foolish_captain_who_passed_up_the_opportunity_to_hire_an_experienced_campaigner_like_me!_Say,_{laddie/lassie},_don't_you_command_a_war_party_of_your_own,_now?
str_npc12_signup_2 I_have_treated_every_variety_of_wound_that_can_be_inflicted_by_the_hand_of_man._Before_I_was_a_surgeon,_I_was_a_student,_so_you_may_be_sure_that_I_have_inflicted_wounds_as_well_as_healed_them.
str_npc13_signup_2 Sword,_lance,_the_bow_--_my_skill_in_all_such_martial_pursuits_is_the_stuff_of_epic_verse.__Together_we_will_perform_such_feats_as_will_be_recounted_in_festivals_and_campfires,_in_filthy_taverns_and_in_the_halls_of_kings,_for_many_generations_to_come.
str_npc14_signup_2 I_am_a_skilled_swordsman,_and_I_can_also_instruct_your_men_in_fighting._But_I_warn_you_that_I_do_not_care_to_fight_for_a_leader_who_is_lax_in_discipline_with_{his/her}_men,_for_in_the_long_run_they_will_not_respect_a_soft_hand._
str_npc15_signup_2 Siegework_is_my_speciality,_although_I_reckon_can_handle_myself_well_enough_in_an_open_battle,_if_need_be.
str_npc16_signup_2 I_can_throw_knives,_in_addition_to_stabbing_with_them,_and_I'm_slippery_as_quicksilver._You'll_find_me_useful_in_a_fight,_I'll_warrant.
str_npc1_signup_response_1 Good._You_can_be_useful_to_us.
str_npc2_signup_response_1 That_will_do.
str_npc3_signup_response_1 Um,_that's_a_start._We_can_teach_you_the_rest.
str_npc4_signup_response_1 Very_well._I'll_be_glad_to_have_you_with_us,_um,_'Baron.'
str_npc5_signup_response_1 Certainly._Here,_have_some_salt.
str_npc6_signup_response_1 Happy_to_be_of_service!_Get_your_things_together,_and_we_shall_be_on_our_way.
str_npc7_signup_response_1 I_will_hire_you._Try_not_to_shoot_anyone_on_your_first_day.
str_npc8_signup_response_1 No_fear,_ma'am._You're_the_widow_and_the_daughter_of_a_thane,_and_you'll_be_treated_as_such.
str_npc9_signup_response_1 Well,_it_shouldn't_be._I'll_have_a_talk_with_them.
str_npc10_signup_response_1 Good_man._We'll_treat_you_with_the_respect_you_deserve.
str_npc11_signup_response_1 It_sounds_like_you'll_be_useful._You_are_hired.
str_npc12_signup_response_1 Then_welcome_to_our_company,_doctor
str_npc13_signup_response_1 Good._Make_yourself_ready,_and_we'll_be_on_our_way._
str_npc14_signup_response_1 Good._I'll_be_happy_to_hire_someone_like_you.
str_npc15_signup_response_1 That_works_for_me._I_will_be_pleased_to_hire_you.
str_npc16_signup_response_1 It_sounds_like_you_can_do_the_job._I_will_hire_you.
str_npc1_signup_response_2 I'd_prefer_not_to_take_the_risk._Good_day,_sir.
str_npc2_signup_response_2 I'm_afraid_I'm_only_looking_for_men_with_some_experience._Good_day_to_you.
str_npc3_signup_response_2 Actually,_we_were_looking_for_a_slightly_different_skill-set.
str_npc4_signup_response_2 Actually,_we_are_not_in_the_habit_of_hiring_bandits_with_invented_pedigrees._Good_day,_sir.
str_npc5_signup_response_2 Actually,_on_second_thought,_I_prefer_to_keep_more_civilized_company.
str_npc6_signup_response_2 On_second_thought,_maybe_a_mercenary_company_is_not_what_you_need_right_now.
str_npc7_signup_response_2 Actually,_on_second_thought,_you_sound_like_you_might_be_trouble._Good_day_to_you._
str_npc8_signup_response_2 Ah._Actually,_if_you_don't_do_whatever_I_order_you_to_do,_you'd_best_seek_your_fortune_elsewhere.
str_npc9_signup_response_2 You_assume_wrong,_sir._In_my_company_we_respect_courage_and_skill,_rather_than_noble_birth.
str_npc10_signup_response_2 On_second_thought,_we_value_discipline_pretty_highly_in_our_company._Good_day_to_you.
str_npc11_signup_response_2 Sorry,_madame._We've_already_got_as_many_in_our_company_as_we_can_handle.
str_npc12_signup_response_2 A_battle_is_not_the_same_thing_as_a_tavern_brawl._Perhaps_you_should_look_elsewhere_for_work.
str_npc13_signup_response_2 Actually,_on_second_thought,_a_fighter_overeager_for_glory_is_dangerous_to_have_in_one's_company.
str_npc14_signup_response_2 Actually,_I_have_no_wish_to_provoke_a_mutiny_in_my_ranks._Good_day,_sir.
str_npc15_signup_response_2 Actually,_I_need_a_different_kind_of_expertise._My_apologies.
str_npc16_signup_response_2 To_be_honest,_I'd_prefer_someone_who_was_a_little_less_tempted_to_larceny.
str_npc1_payment I_will_be_very_useful_to_you,_{sir/madame},_you_can_bet_on_that._Just_one_more_thing_before_we_leave,_would_you_mind_lending_me_{reg3}_denars?_I_am_ashamed_to_say_it,_but_I_have_made_myself_a_bit_of_debt_here,_staying_in_this_tavern_over_the_last_few_weeks_and_the_tavern_owners_no_longer_believe_that_I_am_loaded_with_gold_as_I_used_to_tell_them._You_know,_things_could_get_ugly_here_if_they_see_me_leaving_with_you_before_paying_them.
str_npc2_payment .
str_npc3_payment .
str_npc4_payment Excellent._Before_we_depart,_would_you_be_so_kind_to_lend_me_{reg3}_denars?_I_had_to_pawn_a_family_heirloom_at_a_pawnbroker_here_in_{s20},_and_I_would_like_to_retrieve_it_before_we_leave.
str_npc5_payment Thank_you._Now,_to_seal_off_our_agreement,_I_ask_for_{reg3}_denars_from_you._It's_an_advice_my_father_gave_me._He_told_me_'Baheshtur,_never_fight_for_a_barbarian_before_{he/she}_pays_you_your_worth_of_gold_first'.
str_npc6_payment .
str_npc7_payment All_right_then._I_will_come_with_you._But_I_want_a_payment_of_{reg3}_denars_first._You_aren't_expecting_me_to_work_for_free,_do_you?
str_npc8_payment Then_I_will_fight_your_enemies_for_you._But_first_I_want_a_bounty_of_{reg3}_denars._If_you_are_a_worthy_captain_who_can_lead_{his/her}_company_to_riches_and_plunder,_you_should_have_no_trouble_paying._I_cannot_afford_to_follow_a_pauper.
str_npc9_payment That's_very_good_of_you._And_before_I_join,_can_you_lend_me_{reg3}_denars,_so_that_I_can_buy_some_proper_clothing_that_befits_a_gentleman_of_noble_birth_such_as_myself._The_coat_on_me_has_been_worn_down_badly_due_to_my_recent_bad_fortune,_and_I_cannot_let_common_soldiers_mistake_me_as_one_of_their_own.
str_npc10_payment That's_good_news._But_I'll_ask_for_one_last_thing,_captain._I_have_a_woman_here_in_{s20},_a_tavern_wench,_and_she_says_she_has_my_child_in_her_belly._I_want_to_give_her_some_money_before_I_leave..._for_the_child,_you_know._Do_you_think_you_can_spare_{reg3}_denars?
str_npc11_payment Hey_thank_you_captain._But_before_joining_up_with_you,_I_would_ask_for_a_payment_of_{reg3}_denars._I_know_that_in_war_parties_soldiers_can_go_on_for_weeks_without_seeing_any_wages._I_am_wise_enough_not_to_sign_anywhere_without_having_myself_covered.
str_npc12_payment .
str_npc13_payment Before_I_sign_up,_there_is_the_small_matter_of_some_expenses_I_have_incurred_while_staying_here_--_{reg3}_denars._Do_you_think_that_you_could_cover_those_for_me,_as_a_gesture_of_friendship?
str_npc14_payment Ah,_one_last_thing._I_would_ask_for_an_initial_bounty_of_{reg3}_denars_before_I_join_your_command._It's_my_principle_never_to_enter_someone's_service_without_receiving_the_payment_I_deserve.
str_npc15_payment Good._By_the_way,_as_a_skilled_engineer_I_would_expect_a_payment_for_my_services._A_signing_bonus_of_{reg3}_denars_would_be_fair,_I_think.
str_npc16_payment Now,_that's_good_news,_captain._So,_how_about_paying_me_a_little_something_to_seal_off_our_agreement?_A_mere_{reg3}_would_be_enough._Please_don't_take_this_the_wrong_way,_but_I've_had_some_bad_luck_with_employers_in_the_past._
str_npc1_payment_response Very_well,_here's_{reg3}_denars._Now,_fall_in_with_the_rest.
str_npc2_payment_response .
str_npc3_payment_response .
str_npc4_payment_response Certainly._Here's_{reg3}_denars.
str_npc5_payment_response Well..._here's_{reg3}_denars,_then._Your_first_payment.
str_npc6_payment_response .
str_npc7_payment_response No,_of_course_not._Here's_{reg3}_denars.
str_npc8_payment_response Oh,_I_am_no_pauper,_madame._Here's_{reg3}_denars_for_you.
str_npc9_payment_response Very_well,_here's_{reg3}_denars.
str_npc10_payment_response Of_course._Here,_{reg3}_denars.
str_npc11_payment_response Very_well,_here's_{reg3}_denars._Make_yourself_ready._We_leave_soon.
str_npc12_payment_response .
str_npc13_payment_response Of_course,_here's_{reg3}_denars._Make_ready_to_leave_soon.
str_npc14_payment_response All_right,_here's_{reg3}_denars._You_are_most_welcome_in_our_company.
str_npc15_payment_response All_right,_here's_{reg3}_denars._Glad_to_have_you_with_us.
str_npc16_payment_response All_right,_here's_{reg3}_denars_for_you._Make_yourself_ready.
str_npc1_morality_speech Oy_--_boss._Please_don't_take_this_the_wrong_way,_but_it's_a_hard_life_and_it's_a_bit_much_that_we_{s21}._Take_a_little_more_care_in_the_future,_captain,_if_you_don't_mind_my_saying.
str_npc2_morality_speech I_hope_you_don't_mind_my_saying_so,_but_it's_a_bit_hard_for_me_to_see_us_{s21}._Maybe_I_ought_to_try_to_be_more_of_a_hardened_soldier,_but_if_we_could_try_to_exercise_a_little_mercy_from_time_to_time,_I'd_sleep_better.
str_npc3_morality_speech Perhaps_it_is_not_my_place_to_say_so,_{sir/madame},_but_I_confess_that_I_am_somewhat_shocked_that_we_{s21}._Of_course_I_realize_that_war_is_cruel,_but_there_is_no_need_to_make_it_more_cruel_than_necessary.
str_npc4_morality_speech Your_pardon_--_just_so_you_know,_the_men_of_the_House_of_Rolf_do_not_care_to_{s21}._I_will_not_be_pleased_if_you_continue_to_take_this_course.
str_npc5_morality_speech Pardon_me,_captain._It_is_not_good_to_{s21}._Your_first_duty_is_to_the_men_who_have_taken_your_salt._The_least_they_can_expect_is_food,_pay,_the_opportunity_to_loot,_and_that_you_not_waste_their_lives_needlessly.
str_npc6_morality_speech Excuse_me,_{sir/madame}._As_you_know,_I_joined_with_you_to_right_wrongs,_protect_the_innocent,_and_make_amends_for_my_sin._I_did_not_expect_to_{s21}.
str_npc7_morality_speech Captain_--_I_do_not_like_to_see_us_{s21}._Such_are_the_actions_of_a_common_bandit_chief,_with_no_regard_for_his_followers.
str_npc8_morality_speech I_was_not_pleased_that_you_decided_to_{s21}._To_fall_in_battle_is_an_honour,_but_to_fight_in_a_warband_led_by_a_coward_is_a_disgrace.
str_npc9_morality_speech {Sir/Madame}_--_it_is_not_my_way_to_{s21}._Men_of_my_house_will_accept_death_but_not_dishonour._Please_do_not_make_me_ashamed_to_serve_under_you.
str_npc10_morality_speech Begging_your_pardon,_captain._I_can't_say_that_I'm_happy_to_see_us_{s21}._Those_are_just_simple_people,_trying_to_make_a_living._If_we_could_try_to_go_easy_on_the_poor_wretches,_captain,_I'd_feel_much_better.
