menu_start_game_1|^^^^^^^^^^Za čo budeš bojovať?
menu_notification_your_faction_collapsed|^^^^^{s11}, tvoja domovina, bol porazený!^Tvoji spojenci aj naďalej bojujú vo Vojne. Spolu s ostatnými, kdo zostali z {s11}, môžeš stále pomôcť svojej strane zvíťaziť.
menu_notification_faction_defeated|^^^^^{s1} Porazený!^{s1} zanikol, zničený armádami {s13}!
menu_ruins|^^^^Prichádzaš k {s1}. Kedysi silná pevnosť bola vyplienená do základov. Stále rozpoznávaš stopy opevnení a po okolí sú rozhádzané hrdzavé zbrane.
menu_legendary_place|^^^^Veril si povestiam a našiel si {s1}. Teraz môžeš toto miesto preskúmať a presvedčiť sa, či boli povesti pravdou.
mno_explore|Preskúmať toto miesto.
menu_ring_hunter_lair|^^^^Následoval si stopy Lovcov Prsteňa skrz Temnohvozd a dorazil si k {s1}. Vidíš ich, ako sa pripravujú na odchod s truhlicou.
mno_attack_lair|Zaútočiť na nich teraz.
mno_leave_bandit_lair|Zatiaľ ich nechať.
menu_gondor_reinforcement_event|^^^^^Majáky Gondoru vzbĺkli, Minas TIrith volá o pomoc!^^Lordi z panstiev na juhu vypochodujú na sever, aby ubránili Biele Mesto pred blížiacou sa temnotou.
mno_gondor_reinforcement_event_close|Zavrieť
menu_gondor_beacons|Pozrieš sa hore na {s1}, jeden z výstražných majákov Gondoru, ktoré hlásali ohňom poplach v severnom i južnom Gondore. 
mno_gondor_beacons_close|Odísť...
menu_player_added_to_war_council|^^^^^Posol, ktorý dorazil, ti oznámil, že ťa ako {s24} {s2} požiadal, aby si sa stal súčasťou jeho Vojenskej Rady. Od teraz môžeš navrhovať stratégie a taktiky, ktoré môžu ovplyvniť priebeh vojny.
mno_player_added_to_war_council_close|Zavrieť
menu_player_added_to_siege_reports|^^^^^Dorazil k tebe posol a oznámil ti, že ako {s24} budeš dostávať správy vždy, keď {s2} bude obliehať nejaké mesto alebo ak bude nejaké mesto {s2}u obliehané.
mno_player_added_to_siege_reports_close|Zavrieť
menu_player_added_to_allow_follow|^^^^^Dorazil posol a povedal ti, že teraz, ako {s24}, budeš môcť rozkázať {s2}, aby ťa nasledovali, maximálne {reg55} nasledovníkom.
mno_player_added_to_allow_follow_close|Zavrieť
menu_center_besieged_event|^^^^^Posol ti doniesol správu, že {s1} je obliehané {s2}om z {s3}u.
mno_center_besieged_event_close|Zavrieť
menu_guardian_party_spawned|^^^^^Prieskumníci hlásia, že {s6} zhromáždil veľkú armádu neďaleko {s7} v poslednej nádeji ubrániť hlavné mesto.
mno_intro_next|Pokračuj
mno_start_defend_caravan|Brániť karavanu!
mno_start_raid_caravan|Vyrabovať karavanu!
mno_start_ambush_orcs|Prepadnúť ohyzdov!
mno_start_kill_scouts|Zastaviť zvedov ohlasujúcich tvoj príchod.
mno_go_your_way|Nechať to tak.
mno_defend_villagers|Brániť dedinčanov!
mno_raid_villagers|Vyrabovať dedinu!
mno_go_away|Nateraz sa stiahnuť a preskupiť.
menu_scout_camp_quest|Neďaleko zahliadneš prieskumnický tábor. Dáš povel mužom, aby sa pripravili k útoku.
mno_attack_scout_camp|Zaútočiť na prieskumnícky tábor!
menu_sea_battle_quest|Narazil si na nepriateľskú flotilu. Lode sa priblížia a námorníci zhodia dosky...
mno_sb_defend_the_town|Na palubu! Zničte ich flotilu!
mno_sb_attack_the_town|Snažia sa nás preraziť! Chráňte flotilu!
menu_camp_field_ai|^^^^^Klikni na voľbu, aby si ju prepol.^^^Vypnutie volieb zlepší výkon (FPS)
mno_lord_field_ai|Vládcovia majú zlepšené bojiskové AI: {s7}
mno_horse_archer_field_ai|Lukostrelci na koňoch majú zlepšené bojiskové AI: {s7}
mno_vs_orcs_field_ai|Lukostrelci mieria lepšie proti ohyzdom (nemieria im nad hlavy): {s7}
mno_battlefield_animals|Zvierací spoločníci, ktorí nie sú vroci / Konskí spoločníci sa objavujú v boji: {s7}
mno_slow_when_wounded|Agenti sa stanú Pomalými ak sú Zranení: {s7}
mno_battle_encounter_effects|Výnimočný účinok frakcie na bojové pole (napr. búrky, hmla): {s7}
menu_hungry_orc|nič
menu_leaving_elf|nič
mno_defend_refugees|Pozor na nájazdníkov...
mno_attack_refugees|Zaútočiť na utečencov...
mno_leave_refugees|Na teraz ich nechať na pokoji...
mno_evil_war_tut_continue|Pokračuj
menu_alternate_training_fight|Budeš bojovať proti {reg5} protivníkom. Si pripravený? 
mno_training_continue|Započať s tréningom...
menu_alternate_training_conclusion|{s5}
mno_alternate_training_retry|Skúsiť znovu...
mno_alternate_training_finish|Opustiť zápasisko...
menu_custom_battle_choose_faction1|^^^^^^^^^^Zvol si svoju stranu a výhody:
mno_good_equal|Frakcia dobra
mno_bad_equal|Frakcia zla
mno_replay_prev|Opakovať predošlé nastavenia
menu_custom_battle_choose_faction2|^^^^^^^^^^Vybrať frakciu dobra
mno_cb_gondor|Gondor
mno_cb_gondor1|Rohan
mno_cb_gondor2|Lothlorien
mno_cb_gondor3|Roklinka
mno_cb_gondor4|Temnohvozd
mno_cb_gondor5|Trpaslíci
mno_cb_gondor6|Dálovia
mno_cb_gondor7|Grizlovci
menu_custom_battle_choose_faction3|^^^^^^^^^^Vybrať frakciu zla
mno_cb_mordor|Mordor
mno_cb_mordor1|Isengard
mno_cb_mordor2|Vrchovina
mno_cb_mordor3|Haraďan
mno_cb_mordor4|Variagovia z Khandu
mno_cb_mordor5|Mória
mno_cb_mordor6|Gundabad
mno_cb_mordor7|Rhun
mno_cb_mordor8|Korzáry
mno_rescue_mission|Prekĺznuť do skrýše černokňažníka pod závojom noci.
mno_next_rescue_scene_door|Pokračovať vpred!
mno_pick_troops1|Vybrať si spoločníkov pre misiu, {reg0} vybraných
; menu_pick_troops|Whom would you take with you into the stealth mission?    ^Only your most nimble troops and companions will be able to join you.    ^As the party member with the highest wildcraft skill, {reg65?{s1} advises:you decide} that you can take up to {reg11} troops with you.    ^^Currently you have picked {reg0} companions.
mno_go_forward|Ukončiť výber spoločníkov a pokračovať.
menu_burial_mound|Dorazil sa na pohrebnú mohylu {s1}a z {s2}u.   Pokorený v boji nepriateľmi z {s28}u. Je navŕšená zo zbraní jeho padlích sokov.
mno_pay_respects|Pokľaknúť a vzdať rešpekt.
mno_swear_oath|Zložiť prísahu pomsty!
mno_despoil|Znesvätiť toto miesto.
mno_leave_mound|Opustiť mohylu.
menu_burial_mound_respects|Pokľakneš a vzdávaš svoj rešpekt {s1}, potichu šepkajúc modlitbu pre skorú cestu do posmrtného života. Neostáva tu už nič iné čo robiť.
menu_burial_mound_oath|Hlasno skladáš prísahu pomsty za smrť {s4}. Budeš vytrvalo hľadať armády {s3} a ničiť ich. Tvoje slová sú nesené vetrom do veľkej diaľky... kdo môže povedať, že neboli počuté za morom?
menu_funeral_pyre_oath|Hlasno skladáš prísahu pomsty za smrť {s4}. Budeš vytrvalo hľadať armády {s3} a ničiť ich. Tvoje slová sú nesené vetrom do veľkej diaľky... kdo môže povedať, že neboli počuté za morom?
mno_leave_pyre_oath|Opustiť pohrebnú vatru.
menu_burial_mound_despoil|Demoluješ monument {s1} vlastnými rukami a znesväcuješ kliatbami samotné kamene, zosmiešňuješ žalm a vyvádzaš nevýslovné činy. Tvoji následovníci radšej ustúpia zo strachu pred mrtvým, a kvôli tvojej nesmiernej zlobe si opäť získavaš ich rešpekt. 
menu_funeral_pyre|Dorazil si na spálenisko pohrebnej hranice {s3}a z {s2}u.   Skolený v boji nepriateľmi z {s28}u. Na tomto mieste boli obradne pochované jeho ostatky osobnou strážou. Neostalo tu už nič, čo by mohlo mať nejakú cenu.
mno_leave_pyre|Opustiť pohrebnú vatru.
menu_town_ruins|Keď dorazíš, vidíš že {s1} je {s2}
mno_ruin_menu_0|Preskúmať miesto.
mno_ruin_leave|Odísť...
menu_premutiny|nič
menu_death|Bol si zabitý. Vojna pokračuje, ale ty už naďalej nie si jej súčasťou.
menu_animal_ambush|Ty a tvoji spoločníci ste sa oddelili od zvyšku družiny, keď odrazu...
menu_animal_ambush_success|{s2} pred tebou {reg0?padol:padajú} ako pšenica pred kosou! Onedlho ležia všetci tvojí protivníci na podlahe, zranený či mrtvý. {s3}
menu_animal_ambush_fail|Zvieratá ťa kušu a drápu po tebe {reg0?,: a tvoj spoločník{reg2?s,:,}} ale našťastie sa ti podarilo zahnať ich. Dúfaš, že nezaútočia znovu.
; menu_isengard_flooding|^^^^^@You are surrounded by dead foes and triumphant allies, including the Ents; they roar, and boom, and trumpet, until stones crack and fall all around the Tower of Orthanc. They are like a howling gale, breaking pillars, hurling avalanches of boulders down the shafts, tossing up huge slabs of stone into the air like leaves... It is like nothing you have ever seen.^^ Bregalad -- or Quickbeam, as you know him -- comes striding by, and pauses only to say, '{playername}! Ware! Keep away from the Tower -- we shall soon break the dam and bring the Isen into this valley, for a little while. You will find it very hard to stay standing here, I think!' Quickly, you take his advice and hasten away from Orthanc.^^ At about midnight, Isengard begins to fill up with black creeping streams and pools. You cannot help but shiver as you see smoke and steam rising in great pillars, and a great coil of vapour rising and snaking around the Tower, until it resembles a tall peak of cloud, fiery underneath and moonlit above. The wrath of the Ents is slow, but possesses an irresistible force...
; mno_isengard_continue|Continue
menu_build_your_scene|Tu si môžeš vybudovať svoje vlastné bojové pole, použitím jedného z voľných slotov, ktoré sú k dispozícií nižšie a v hracom Edit móde (budeš musieť najprv prepnúť Edit mód ON na úvodnej obrazovke M&B v možnosti Nastavenia). Potom môžeš zaslať scény, ktoré si vybudoval (podľa mena, sco súbory z TLD/SceneObj priečinku) týmu vývojárov z TLD, a keď je tvoja scéna dobrá, môže sa objaviť v ďalšom vydaní ako náhodná bojová scéna!^^ Skús špecifikovať v ktorom regióne na mape sveta chceš, aby sa tvoja scéna objavovala.^ Niekoľko rád: vyhni sa hlbokej vode, vysokým horám a iným neprejazdným miestam, pokiaľ nie si skúsený programátor scén a vieš, ako zakázať jednotkám umelej inteligencie, aby šli tam kde ich nechceš, a aby si vytvoril trasy pre umelú inteligenciu v iných miestach.^ (Vstupy #0-1 sú pre útočníkov, #4 pre obrancov, nerob nič s #5-8
mno_scene1|Pole Veľké (súbor scn custom 1.sco)
mno_scene2|Pole Stredné (súbor scn custom 2.sco)
mno_scene3|Pole Malé (súbor scn custom 3.sco)
mno_scene4|Step Veľká (súbor scn custom 4.sco)
mno_scene5|Step Stredná (súbor scn custom 5.sco)
mno_scene6|Mála pláň (súbor scn custom 6.sco)
mno_scene7|Veľký les (súbor scn custom 7.sco)
mno_scene8|Stredný les (súbor scn custom 8.sco)
mno_scene9|Malý les (súbor scn custom 9.sco)
mno_back_3dot|Späť...
mno_back|Späť
mno_next|Pokračovať...
