itm_horse_meat|Konské Mäso
itm_easterling_hawk_shield|Východniarský jastrabý štít
itm_rhun_bull1_shield|Rhunský štít
itm_rhun_bull2_shield|Rhunský štít
itm_rhun_bull3_shield|Rhunský štít
itm_rhun_shield|Rhunský štít vo tvare slzy
itm_rhun_armor_a|Rhunská ľahká bojová zbroj
itm_rhun_armor_b|Rhunská ľahká bojová zbroj
itm_rhun_armor_d|Rhunská ľahká bojová zbroj
itm_rhun_armor_g|Rhunská ťažká bojová zbroj
itm_rhun_armor_h|Rhunská ťažká bojová zbroj
itm_rhun_armor_j|Rhunská stredná bojová zbroj
itm_rhun_armor_m|Rhunská stredná bojová zbroj
itm_rhun_armor_n|Rhunská stredná bojová zbroj
itm_rhun_armor_o|Rhunská stredná bojová zbroj
itm_rhun_armor_p|Rhunské šľachtické brnenie
itm_rhun_armor_k|Rhunské šľachtické brnenie
itm_rhun_helm_chieftain|Rhunská náčelnícka helma
itm_rhun_helm_pot|Rhunská hrncová prilba
itm_rhun_helm_barbed|Rhunské ostnaté brnenie
itm_rhun_helm_round|Rhunská guľatá prilba
itm_rhun_helm_leather|Rhunská kožená helma
; itm_rhun_warpick|Rhun War Pick
itm_rhun_greataxe|Rhunská veľká sekera
itm_rhun_battleaxe|Rhunská vojnová sekera
itm_rhun_falchion|Divošský Falchion
itm_rhun_glaive|Rhunský sudlico-meč
itm_rhun_greatfalchion|Divošský veľký Falchion
itm_rhun_greatsword|Divošský veľký meč
itm_rhun_shortsword|Divošský krátky meč
itm_rhun_sword|Divošský meč
; itm_rhun_mangler|Rhun Mangler
itm_dale_light_a|Dálsky domobranecký kabát
itm_dale_light_b|Severanské ľahké lamelové brnenie
itm_dale_med_a|Severanské ťažké lamelové brnenie
itm_dale_med_b|Dálske kožené brnenie
itm_dale_med_c|Dálske kožené brnenie na krúžkovej košeli
itm_dale_med_d|Dálske lamelové brnenie
itm_dale_heavy_a|Dálske lamelové brnenie na krúžkovej košeli
itm_dale_heavy_b|Dálsky pokovaný kabát
itm_dale_heavy_c|Rhovanionská krúžková košeľa
itm_north_leather|Severanská kožená vesta
itm_dale_helmet_a|Dálska ľahká pechotná helma
itm_dale_helmet_b|Dálska ľahká lukostrelecká prilba
itm_dale_helmet_c|Dálska pechotná helma
itm_dale_helmet_d|Dálska lukostrelecká helma
itm_dale_helmet_e|Bardova prilba
itm_dale_helmet_f|Bardova helma
itm_dale_sword|Dálsky krátky meč
itm_dale_sword_long|Dálsky dlhý meč
itm_dale_sword_broad|Dálsky pechotný meč
itm_dale_pike|Dálska kopija
itm_dale_billhook|Dálska gizarma
itm_dale_shield_a|Dálsky vežovitý štít
itm_dale_shield_b|Dálsky vežovitý štít
itm_dale_shield_c|Dálsky okrúhly štít
itm_umb_armor_a|Korzárska kožená vesta
itm_umb_armor_b|Korzárskě kožené brnenie
itm_umb_armor_c|Korzárska ľahká krúžková košeľa
itm_umb_armor_d|Korzárska krúžková košeľa
itm_umb_armor_e|Korzárska krúžková zbroj
itm_umb_armor_f|Kapitánske brnenie
itm_umb_helm_a|Korzárska mušľová prilba
itm_umb_helm_b|Korzárska vysoká prilba
itm_umb_helm_c|Korzárska helma domobrany
itm_umb_helm_d|Korzárska nájazdnícka prilba
; itm_umb_helm_reward|Ancient Numenorean Karma
itm_corsair_trident|Trojzubec Morskej Zúrivosti
itm_corsair_boots|Korzárske topánky
itm_umb_shield_a|Korzársky štít
itm_umb_shield_b|Korzársky drobný štít
itm_umb_shield_c|Korzársky drobný štít
itm_umb_shield_d|Korzársky drobný štít
itm_umbar_spear|Korzárska krátka kopija
itm_umbar_cutlass|Umbarská krátka šabľa
itm_kraken|Krakenská šabľa
itm_umbar_rapier|Umbarská námornická šabľa
itm_corsair_harpoon|Korzárska harpúna
itm_corsair_sword|Korzársky krátky meč
itm_corsair_throwing_dagger|Zahnuté vrhacie dýky
itm_umbar_pike|Korzársky trojzubec
itm_woodman_tunic|Lesnícka tunika
itm_woodman_scout|Lesnícky prieskumnícky plášť
itm_woodman_padded|Lesnícka prešívanica
itm_beorn_tunic|Grizlovská tunika
itm_beorn_padded|Grizlovské vystužené brnenie
itm_beorn_heavy|Grizlovské ťažké brnenie
itm_beorn_berserk|Grizlovská berserkská zbroj
itm_beorn_chief|Grizlovská náčelnícka tunika
itm_beorn_helmet|Medvedia čiapková prilba
itm_beorn_shield|Severanský štít
itm_beorn_axe|Grizlovská sekera
itm_beorn_staff|Lesnícka palica
itm_beorn_battle_axe|Grizlovská bojová sekera
itm_dwarf_shield_a|Trpasličí hranatý štít
itm_dwarf_shield_b|Trpasličí vežovitý štít
itm_dwarf_shield_c|Trpasličí bojový štít
itm_dwarf_shield_d|Trpasličí guľatý štít
itm_north_round_shield|Severský okrúhly štít
itm_woodmen_heavy|Temnohvozdské brnenie
itm_dwarf_sword_a|Trpasličí meč
itm_dwarf_sword_b|Grizlovský krátky meč
itm_dwarf_sword_c|Trpasličí meč
itm_dwarf_sword_d|Trpasličí meč
itm_dwarf_battle_axe|Trpasličia bojová sekera
itm_dwarf_great_axe|Trpasličia veľká sekera
itm_dwarf_great_mattock|Trpasličí veľký bojový čakan
itm_dwarf_great_pick|Trpasličí veľký bojový krompáč
; itm_dwarf_throwing_axe_reward|Erebor Flying Axes
itm_dwarf_mattock|Trpasličí bojový čakan
itm_dwarf_hand_axe|Trpasličia krátka sekera
itm_dwarf_throwing_axe|Trpasličie vrhacie sekery
itm_dwarf_spear|Trpasličia kopija
itm_dwarf_spear_b|Trpasličia dlhá kopija
itm_dwarf_spear_c|Trpasličia dlhá sekera
itm_dwarf_helm_coif|Trpasličia čiapka
itm_dwarf_nasal_b|Trpasličia helma s nánosníkom
itm_north_skullcap|Severanská čapica
itm_dwarf_helm_kettle|Trpasličia hrncová helma
itm_dwarf_helm_fris|Trpasličia krycia helma
itm_north_leather_skullcap|Severská ľahká čiapková prilba
itm_dwarf_hood|Trpasličia kapucňa
itm_dwarf_nasal|Trpasličia nosná prilba
itm_north_nasal_helm|Severská prilba s nánosníkom
itm_dwarf_helm_p|Trpasličia kráľovská helma
itm_dwarf_miner|Trpasličia ľahká helma
itm_north_chieftain|Prilba severského náčelníka
itm_dwarf_helm_round|Trpasličia kruhová helma
itm_dwarf_helm_sallet|Trpasličí šalier
itm_dwarf_armor_d|Šupinové brnenie zo Železných hôr
itm_dwarf_armor_a|Ereborský varkoč na krúžkovej košeli
itm_leather_dwarf_armor|Trpasličí prešívaný kabátec
itm_dwarf_armor_b|Ereborská tunika na krúžkovej košely
itm_leather_dwarf_armor_b|Trpasličia prešívanica
itm_dwarf_armor_c|Šupinové brnenie z Ereboru
itm_dwarf_vest|Trpasličia tunika
itm_dwarf_vest_b|Krúžkové košeľa zo Železných hôr
itm_dwarf_pad_boots|Trpasličie vystužené topánky
itm_dwarf_chain_boots|Trpasličie krúžkové nohavice
itm_dwarf_scale_boots|Trpasličie šupinové topánky
itm_good_mace|Palcát
itm_mordor_banner|Mordorská zástava
itm_isengard_banner|Isengardská zástava
itm_woodelf_banner|Zástava lesných elfov
itm_lorien_banner|Lothlorienská zástava
itm_imladris_banner|Roklinská zástava
itm_gondor_lance_banner|Gondorská žrď so zástavou
itm_amroth_lance_banner|Dol Amrothská žrď so zástavou
itm_rohan_lance_banner_sun|Rohanská žrď so zástavou slnka
itm_rohan_lance_banner_horse|Rohanská žrď so zástavou koňa
; itm_fur_gloves_reward|Hunter Gloves
itm_ent_water|Zvláštna miska vody
itm_map|Mapy Stredozeme
; itm_athelas_reward|Dried Athelas Leaves
itm_phial_reward|Svetlo Galadriel
itm_scroll_reward|Pád Gondolinu
itm_hammer_reward|Kováčske kladivo
itm_khand_knife_reward|Khandský obetný nôž
itm_angmar_whip_reward|Pánsky bič
itm_horn_gondor_reward|Roh Gondoru
itm_harad_totem_reward|Haradský totem
itm_elven_amulet_reward|Elfský amulet
itm_torque_reward|Čelenka zla so závojom
itm_orc_brew|Ohyzdia žbrnda
itm_rohan_saddle|Sedlo
itm_mearas_reward|Nebojácný kráľovský žrebec
itm_shield_of_tuor|Tuorov štít
itm_riv_armor_reward|Zdobené brnenie Roklinky
itm_westernesse1h_reward|Meč Západných ríší 
itm_westernesse2h_reward|Meč Západných ríší 
itm_mirkwood_sword_reward|Relikvia meča Lesných elfov
itm_nazgul_sword|Zakliaty meč
itm_cooking_cauldron|Variaci kotlík
itm_eorl_cavalry_sword|Eorlov meč
itm_garlic_reward|Cesnak
itm_silmarillion_reward|Silmarillion
itm_herbarium_reward|Herbár Stredozeme
itm_book_of_moria|Kniha Mazarbul
itm_ring_a_reward|Tulcarisil
itm_ring_b_reward|Finwarisil
itm_dale_bow_reward|Luk Barda Lučišníka 
itm_tome_of_knowledge|Kniha tajomných znalostí
; itm_orc_idol_reward|Idol of the First Orc
itm_crebain_reward|Vrana
itm_miruvor_reward|Miruvorská čutora
itm_wheeled_cage|Obrovská klietka na kolesách
itm_orc_throwing_axes_reward|Gundabadské lietajúce sekery
itm_corsair_throwing_dagger_reward|Otrávené vrhacie dýky
itm_dwarf_shield_reward|Štít z Kheled-zaramu
itm_dwarf_great_axe_reward|Trpasličia ostrá sekera
itm_isen_uruk_heavy_reward|Uruk-haiské generálske brnenie
itm_lorien_bow_reward|Noldorský luk
itm_elven_cloak|Elfský plášť
itm_dale_sword_reward|Dálský šľachtický meč
itm_dale_armor_reward|Dálské šľachtické krúžkové brnenie
itm_leather_gloves_reward|Lukostrelecké rukavice
itm_beorn_shield_reward|Grizlovský štít
itm_beorn_axe_reward|Medvedí kyjak
; itm_drums_of_the_deep|Drums of the Deep
itm_khamul_helm|Helma Khamula
itm_black_arrows_reward|Čierne šípy
itm_leather_boots_reward|Lovecké čižmy
itm_rohan_armor_th|Rohanské šľachtické brnenie
itm_wilderness_cowl|Lovecká kapucňa
itm_prisoner_coll_chain|Väzeňské reťaze
itm_witchking_helmet|Čarodejníkova maska
itm_feet_chains|Reťaz na nohy
itm_feet_chains_dwarf|Reťaz na nohy
itm_spider|Pavúk
itm_bear|Medveď
itm_wolf|Vlk
itm_werewolf|Vlkodlak
itm_thrush_reward|Drozd
itm_gauntlets_reward|Železné päste
itm_stones_siege|Obliehacie kamene
itm_beorn_axe_no_attack|Grizlovská sekera
itm_animal_spider|Pavúk
itm_animal_bear|Medveď
itm_animal_wolf|Vlk
itm_animal_werewolf|Vlkodlak
