
str_yes|Áno.
str_npc8_backstory_later|Znova som navštívil Kráľa, tentokrát pre zvracanie. Dúfam, že jeho pokus o zápas s nepriateľmi nedopadne rovnako, ako jeho zdravie. Netrpíš náhodou aj ty zápchou či zvracaním?
str_npc9_backstory_later|Čo si myslíš, že by som asi tak porába? Gulm tu sedí a čaká, než ho nejaká plíživá snaga zapíchne v tme do chrbta. Ber ma s sebou - poslúžim ti dobre.
str_npc10_backstory_later|Už si sa rozmyslel? Poslúžim dobre.
str_npc11_backstory_later|Ar! Bol si to ty! Vyňuchal som ťa, vedel som, že prichádzaš. Povedz to vodcom, dobre? Myslia si, že od vtedy, čo ma vykopli od stopárov sa mi môžu rehotať, ale to sa mýlia, prebodnem im šípom báchory. A koho to bola vina? Moja nie, lebo strieľam hlava nehlava!
str_npc12_backstory_later|Mám svoje rozkaz. Každý podozrivý, ktorého tu hore nájdu moji chlapci, bude vyzlečený do naha; zuby, klince, vlasy a tak všetko. Ale mám svoje zdroje. Dejú sa kadejaké vtípky: veľký páni pochodujú do vojny. Veľké veci sa dejú na tom vzdialenom západe, hovoria. A sedenie na sednici a ničnerobenie je viac, než si zaslúži môj báchor.
str_npc13_backstory_later|Moje služby pre temnú stranu idú dobre, severania sa zas a znova boja juhu. Vidím pred nami skvelé víťazstva a rieky sa sfarbia dočervena, až povstaneme. Ale každým víťazstvom môj rod upadá a kazí sa, ich srdcia sa obracajú k Jeho temnej vôli. Tá vidina ma vedie k zúfalstvu.
str_npc14_backstory_later|Navrátil si sa, cudzinec, je to zrejme veštba. Čítala som z vôd a videla som ich sčernieť. More mení pohľad človeka a učí ho užívať svoje oči pre načúvanie ich jazyku.
str_npc15_backstory_later|Mnohí veľkí mi padali ku kolenám a žobronili o moje lektvary. Milovníkov koní a bledotvarých elfov je však mnoho a ja som znova musel opustiť svoju chatu, a... nuž, Veľký Pane, nevedie sa mi tak dobre ako keď sme bojovali bok po boku a vy ste bral na vážnosť moje schopnosti...
str_npc16_backstory_later|Dlho minulosť môjho ľudu opisovala tie končiny. Neviem, o čom hovorili zradné chýry hovoria o časoch, než do nich môj ľud prišiel, ale plné žiaľu a utrpenia budú tie o jeho terajšom príchode. Preženieme sa cezeň ako búrka kopýt, lesy mečov a mračná šípov, prinesieme im skázu ako Balchoth za starých dní pred nami.
str_npc17_backstory_later|Včera som videl starú borovicu. Borovice môžu byť veľmi staré. Musíš chovať úctu k starým stromom. Ale tiež som už videl takých, ktorý k nim žiadnu úctu nemajú. Ty k stromom máš úctu, však?
str_npc1_backstory_response_1|Pokiaľ teda môžeš odísť, skúsený bojovník a stopár by sa mi zišiel.
str_npc2_backstory_response_1|Presne tak, hľadám dobrovoľníkov.
str_npc3_backstory_response_1|Pokiaľ sa zaobídeš bez piva, uvítam vo svojej družine statného koniara.
str_npc4_backstory_response_1|Uvítám pomoc Rohanskej štítonošky.
str_npc5_backstory_response_1|Bolo by trúfalé to odo mňa žiadať, ale určite by sa mi zišli tvoje schopnosti v nadchádzajúcich bojoch.
str_npc6_backstory_response_1|Cestujeme po svete aby sme uchránili všetko čisté. Prinášame nepriateľom boj.
str_npc7_backstory_response_1|Samozrejme, pre trpasličieho bojovníka mám vo svojej družine miesto.
str_npc8_backstory_response_1|Zišiel by sa nám liečiteľ a bylinkár.
str_npc9_backstory_response_1|Hádam, že by sme mohli berserka dobre využiť.
str_npc10_backstory_response_1|Poslúžiš.
str_npc11_backstory_response_1|A čo tak prečesať to okolie spoločne?
str_npc12_backstory_response_1|A čo tak vykĺznuť so mnou.
str_npc13_backstory_response_1|A čo tak nasledovať mňa?
str_npc14_backstory_response_1|A čo tak pridať sa ku mne?
str_npc15_backstory_response_1|Aha... Liečiteľ, heh? A tvrdíš, že si v tom dobrý? Tak teda nazdar v družine.
str_npc16_backstory_response_1|Čo tu robíš?
str_npc17_backstory_response_1|Nuž, jeden sa môže vždycky naučiť niečo nové o stromoch. Radi ťa prijmeme medzi seba.
str_npc1_backstory_response_2|Je mi to ľúto. Nech tvoja viera zachová tvoju slávu.
str_npc2_backstory_response_2|Nie, mrzí ma to. Hľadám zocelených bojovníkov.
str_npc3_backstory_response_2|Nie, mrzí ma to. Hľadám niekoho vhodnejšieho.
str_npc4_backstory_response_2|Prepáčte, moja Pani, ale nič s tým nezmôžem.
str_npc5_backstory_response_2|Vrátim sa, keď nebude Lothlórienu hroziť také nebezpečenstvo.
str_npc6_backstory_response_2|Nie. Nebereme so sebou pätolízačou.
str_npc7_backstory_response_2|Nie. Vedieme si celkom dobre.
str_npc8_backstory_response_2|Nie, je mi ľúto. Navštevujeme liečiteľov, len ak ich nám je treba.
str_npc9_backstory_response_2|Bah. Neverím zradcom.
str_npc10_backstory_response_2|Nepotrebujem ťa, otrok.
str_npc11_backstory_response_2|Nechce sa mi to tvoje škriekanie už počúvať.
str_npc12_backstory_response_2|Veľkí Páni vedia najlepšie. Radšej plň rozkazy.
str_npc13_backstory_response_2|Tvojim osudom je trpieť.
str_npc14_backstory_response_2|Už mám toho dosť.
str_npc15_backstory_response_2|Bah! Potrebujem bojovníkov, nie zakrádačov.
str_npc16_backstory_response_2|Už mám toho dosť.
str_npc17_backstory_response_2|Nie, mrzí ma to. Sme na vojne, nie rastlinopisnej túre.
str_npc1_signup|Som si istý, že Kapitán Faramir by pochopil, že sú tu aj ostatní, ktorí môžu držať nepriateľov na pobreží s ešte väčšou statočnosťou a odhodlaním.
str_npc2_signup|Oh, radostný to deň! S radosťou by som sa pripojil k tvojej družine.
str_npc3_signup|Veliteľ, ver mi, všetko, čo potrebujem, je sladký nápoj víťazstva. Ak ma dokážeš viesť proti nepriateľom, tak čoskoro pocítia koniec Rohanskej kopije!
str_npc4_signup|To je veľkorysá ponuka, môžete ma privítať vo vašej spoločnosti, veliteľ.
str_npc5_signup|Chápem. Priznávam, že som už sa ku mne doniesli zvesti o tvojich činoch.
str_npc6_signup|Nenávidím násilie a nástroje vojny, ale viem ako sa brániť v zhone.
str_npc7_signup|Som skúsený so sekerou v boji na blízku ale aj v hádzaní. Taktiež ti môžem zaistiť nízke poplatky ak ma necháš porozprávať sa s obchodníkmi. A mám aj očko na hľadanie tej najlepšej koristi u padlých nepriateľov na bojisku.
str_npc8_signup|Vskutku? Dobre teda, iba si zhromaždím svoje bylinky a recepty.
str_npc9_signup|Bojujúci Uruk je cennejší ako všetky tvoje snagy. Bojujúci Uruk nikdy neuteká z boja.
str_npc10_signup|Vážne? Urobil by si dobre ak by si ma zapísal.
str_npc11_signup|Následováť vás, zberbu, ha? Ar! Neustále počúvam o všetkých tých udalostiach na západe, nájazdoch a podobne, a stovkách našich, čo padli. Pôjdem s tebou a presvedčím sa o tom na vlastné oči, pričom aspoň uvidím, zač vlastne stojíš.
str_npc12_signup|Nasledovať vás, zurvalcov, ay? No, možno sa mi pošťastí, ktovie. Bordel sa narobiť neštítim, to dozaista, a môj bič je stále v strehu. Však už mal to potešenie tuto s kožuchom mojich kumpánov.
str_npc13_signup|Ak o to stojíš, budem ťa nasledovať. Nohy konské akoby boli moje vlastné a ruky sa mi už dávno stvrdili pod ťarchou rukovätí polmesačných čepelí. Pre moje prsty je tetiva tak prirodzená ako pre priadky priadza, a nepremrhám nimi jediný šíp či už v sedle, alebo pešmo. Budem sa však riadiť tvojimi rozkazmi.
str_npc14_signup|Možno, ale vedz, že nie som zlodej ni zbojník. Nebudem kradnúť a ani si brať to, čo iní by mohli väčšmi potrebovať.
str_npc15_signup|Ha-ha. Máš pravdu! Áno! Si obdarený rozumom, Veľký Kapitán.
str_npc16_signup|Čakám na rozkazy, ale každým momentom moje srdce temnie. Už nemôžem len tak postávať a čakať na pokyny od pánov odniekiaľ zďaleka, ktorých samotné bytie sa takto zdá byť skôr otázkou legiend než faktom. Pánov, ktorých rozkazy sú nám prednášané mužmi nižšieho rodu. Čakám a spolu so mnou vyčkáva aj neukojená pomsta môjho ľudu.
str_npc17_signup|Veľmi dobre! Poznám veľa stromov. Čoskoro budete aj vy poznať veľa stromov. Ako ja. Pretože ja poznám veľa stromov.
str_npc1_signup_2|Chcel by som chvíľku, aby som sa porozprával s mojím Veliteľom a pozbieral svoje veci.
str_npc2_signup_2|Potrebujem sa najprv porozprávať s mojím Veliteľom a potom môžeme ísť - čakajú nás hrdinské boje a stretnutia so všetkými druhmi zvláštnych stvorení.
str_npc3_signup_2|Čakal som na niekoho, aby ma zobral, tak potrebujem si iba osedlať koňa a som pripravený ísť.
str_npc4_signup_2|Pravidelne som trénoval streľbu lukom a lovil som oštepom. A pod tvojim velením povediem lov i na ohyzdov. Tiež sa trochu vyznám v liečiteľstve, v dnešných časoch tak potrebnom.
str_npc5_signup_2|Možno ak sa pripojím k tvojej družine a nepriateľovi uštedríme nečakané a prudké útoky, jeho rozhodnosť zakolíše. Pôjdem.
str_npc6_signup_2|Možno ťa môžem naučiť pohybovať sa rýchlejšie a zároveň robiť menej hluku. Poďme.
str_npc7_signup_2|Ak dokážeš udržať tých hromtĺkov z tvojej družiny, aby načúvali tvojim rozkazom, hlavne tých záludných Elfov, veľmi rád sa pridám.
str_npc8_signup_2|Musím ťa však varovať, že je mi umenie boja cudzie. Verím však, že dokážeš udržať ženu môjho veku v bezpečí.
str_npc9_signup_2|Musíš sa rozhodnúť rýchlo, stráže začínajú byť podozrievavé.
str_npc10_signup_2|Nebudeš ľutovať, že si ma zobral.
str_npc11_signup_2|Tam vonku je mnoho takého, čo mi ňufák dráždi tak, že mi až nôž z opasku vyskakuje. Nič moc zatiaľ nevedia, avšak my ich naučíme, že? Tak čo ty nato?
str_npc12_signup_2|Ukážem tým tvojim povaľačom, že bič vám zaraz rozhýbe kosti tak, až budete poskakovať. A pokiaľ tvoji kumpáni nebudú zbytočne ňufákom ohrňovať a ťažkosti robiť, lopotu im nakoniec ešte voniať bude. Tak čo ty nato?
str_npc13_signup_2|Vedz však, že moja vernosť navždy náleží len môjmu ľudu. Tak dlho som bojoval a tak mnoho bol ochotný stratiť, avšak to všetko len pre nich. Neodvrátim sa od nich, lebo môj osud s tým ich nemožno odlúčiť.
str_npc14_signup_2|Je dobre, že tí, čo opustili tento svet, už netúžia po svetskom bohatstve, a je dobre, že je tu niekto ako ja, kto ich od neho môže odbremeniť.
str_npc15_signup_2|Oh, toto je veľká chvíľa pre Bolzoga Obdarovaného, a tiež pre teba, Veľkolepý Pane! Podmaníme si kraj po kraji spoločne; ty, neporaziteľný po ochranou môjho felčiarskeho umenia, a ja, Veľký Ohyzdí Mudrc, ktorý ťa bude podporovať!
str_npc16_signup_2|Obávam sa, že už nemôžem očakávať dlhšie. Chystám sa pripojiť k prvej družine, ktorá opustí tábor, a to či s Náčelníkovým povolením alebo bez neho. Inak táto vojna skončí ešte predtým, než odtiaľ vystrčím nos.
str_npc17_signup_2|Iba si zoberiem niektoré moje nástroje a môžeme ísť. Po ceste je jeden dub, ktorý ti musím ukázať.
str_npc1_signup_response_1|Zišiel by sa mi skúsený strážca ako ty, môžeš sa pridať.
str_npc2_signup_response_1|Tak dobre. Hodilo by sa nám nejaké povzbudenie v týchto temných časoch.
str_npc3_signup_response_1|Tak dobre. Nachystaj koňa, čoskoro vyrážame.
str_npc4_signup_response_1|Pôsobivé. Sme pripravení vyraziť kedykoľvek vám to príde vhod, moja Pani.
str_npc5_signup_response_1|Bolo by nám cťou byť v spoločnosti Elfského lorda.
str_npc6_signup_response_1|Tak dobre. Dúfam že neutečieš od prvého oyhzda, na ktorého narazíme.
str_npc7_signup_response_1|Tak dobre, Majster Trpaslík, môžete sa pridať.
str_npc8_signup_response_1|S nami budete v bezpečí, sľubujem. Čoskoro odchádzame.
str_npc9_signup_response_1|Tak dobre. Ak budeš robiť ako hovorím, budeš aj dobre jesť.
str_npc10_signup_response_1|Veľmi dobre. Poďme.
str_npc11_signup_response_1|Veľmi dobre. Poďme.
str_npc12_signup_response_1|Mohli by sme ťa dobre využiť.
str_npc13_signup_response_1|Mohli by sme ťa dobre využiť.
str_npc14_signup_response_1|Veľmi dobre. Poďme.
str_npc15_signup_response_1|Hmmm. Obdivujem tvoju... sebadôveru. Pobaľ si veci.
str_npc16_signup_response_1|A čo tak nasledovať mňa?
str_npc17_signup_response_1|Skvelé! Dúfam ale, že nebudeš hovoriť so stromami celú dobu.
str_npc1_signup_response_2|Momentálne ťa v spoločnosti nepotrebujem, želám ti veľa šťastia.
str_npc2_signup_response_2|Prepáč, Rozmyslel som si to.
str_npc3_signup_response_2|Prepáč, rozmyslel som si to - možno nabudúce.
str_npc4_signup_response_2|Ospravedlňujem sa, moja Paní, možno nabudúce.
str_npc5_signup_response_2|Avšak na druhú stranu by sme sa asi mali Lothlórienu snažiť pomôcť vlastnými silami.
str_npc6_signup_response_2|Prepáč, ale neviem si ťa predstaviť na bojisku.
str_npc7_signup_response_2|Prepáč, mám rád Elfov.
str_npc8_signup_response_2|Je mi to ľúto, všetci bojujú v mojej spoločnosti.
str_npc9_signup_response_2|Prehodnotil som svoje stanovisko. Ktokoľvek by ťa vyhľadával, môže rovno začať stopovať aj mňa.
str_npc10_signup_response_2|Rozmyslel som si to.
str_npc11_signup_response_2|Nepotrebujem ťa, otrok.
str_npc12_signup_response_2|Rozmyslel som si to.
str_npc13_signup_response_2|Rozmyslel som si to.
str_npc14_signup_response_2|Rozmyslel som si to.
str_npc15_signup_response_2|Vlastne, asi sa poohliadnem po skutočnom liečiteľovi a nie chvastúňovi.
str_npc16_signup_response_2|Už mám toho dosť.
str_npc17_signup_response_2|Na druhej strane, myslím, že som zmenil názor. Si trochu oriešok, však?
str_npc1_payment|Pripojil by som sa k tebe, ale Kapitánovi Faramirovi by som tu chýbal. [stojí {reg14} vplyvu s {s14}]
str_npc2_payment|Obávam sa, že veliteľ stráže by ma nenechal ísť. [stojí {reg14} vplyvu s {s14}]
str_npc3_payment|Ahem, vyzerá to, že som si narobil tuto v šenku pekný dlh, takže pred tým, než budem môcť niekam odvandrovať, ho musím vyrovnať. [stojí {reg14} vplyvu s {s14}]
str_npc4_payment|Pripojil by som sa k tebe, ale kto sa postará o zranených, ak bude mesto napadnuté? [stojí {reg14} vplyvu s {s14}]
str_npc5_payment|Čoskoro by sme mali vyraziť. Cena môjho úsilia príde vnivoč, ak Nepriateľ vycíti moju prítomnosť ešte predtým, než naň udrieme. Ale Lotlórien ma taktiež potrebuje. [stojí {reg14} vplyvu s {s14}]
str_npc6_payment|Pridal by som sa k tebe, ale povinnosť mi káže ostať tu. [stojí {reg14} vplyvu s {s14}]
str_npc7_payment|Pridám sa k tebe, ale obávam sa, že pre to nebude mať môj ctihodný otec Dwalin veľké pochopenie. [stojí {reg14} vplyvu s {s14}]
str_npc8_payment|Nemôžem tu zanechať všetky povinnosti, môj kráľ ma stále potrebuje. Trápi ma bezútešný stav jeho zdravia. [stojí {reg14} vplyvu s {s14}]
str_npc9_payment|Chcel by som s tebou odísť, ale stráže pri bráne ma nenechajú odísť.^Ver mi, už som to skúšala. [stojí {reg14} vplyvu s {s14}]
str_npc10_payment|Pridal by som sa k tebe, ale povinnosť mi káže ostať tu. [stojí {reg14} vplyvu s {s14}]
str_npc11_payment|Potrebujem sa ale zbaviť svojho veliteľa. Mohli by sme počkať, dokiaľ nezatvorí na chvíľu okále, ale vravím si, že niekto zhora by bol schopný mu ich zavrieť navždy. Ai! [stojí {reg14} vplyvu s {s14}]
str_npc12_payment|Ha! Yoi! Budem však potrebovať kumpánom napchať tie ich prašivé papule zlatom, aby udržali aspoň na chvíľu zobák pred veliteľmi o tom, že som zdúchol. [stojí {reg14} vplyvu s {s14}]
str_npc13_payment|Bohužiaľ mi náčelníci nedovolia odísť. Bol by si ich schopný presvedčiť? [stojí {reg14} vplyvu s {s14}]
str_npc14_payment|Kapitán prístaviska pre to bude chcieť riadne vysvetlenie. Presvedč ho a môžeme spustiť kotvu aj napriek tej búrke. [stojí {reg14} vplyvu s {s14}]
str_npc15_payment|Ah, áno. Statočný Bojovník! Je tu však jedna prekážka! Stihla ma veľká nespravodlivosť, keď sa pánovi tejto jaskyne nezapáčila ponuka mojich liečiteľských schopností, a dal mi vziať všetku moju výbavu! Tá drzosť! Okrádať Mocného Bolzoga! Pane, nedokázal som získať tie veci späť spod jeho špinavých pazúrov! A potrebujem nové. [stojí {reg14} vplyvu s {s14}]
str_npc16_payment|Nebudem ťa nasledovať, pôjdem vlastnou cestou; ale tá tvoja môže viesť pozdĺž mojej, aspoň načas. Avšak predtým, než sa vydám na cestu, musím vzdať úctu tým, ktorý to vyskúšali pred nami, a našli tu svoj koniec. Preukáž im svoju úctu a môžeme odísť. Nikdy nesmieme zabúdať na našich predkov. Oni na náš pri svojich strastiach totiž vždy mysleli. [stojí {reg14} vplyvu s {s14}]
str_npc17_payment|Mám rád stromy, ale môj starý strýko ma tu potrebuje. [stojí {reg14} vplyvu s {s14}]
str_npc1_payment_response|Neboj sa nič, zariadim ti odchod spolu s ním. [stojí {reg14}/{reg15} vplyvu]
str_npc2_payment_response|Neboj sa nič, porozprávam sa s veliteľom. [stojí {reg14}/{reg15} vplyvu]
str_npc3_payment_response|Dúfam, že mi za to budeš stáť. Vyrovnám sa s krčmárom. [stojí {reg14}/{reg15} vplyvu]
str_npc4_payment_response|Je to šľachetný dôvod, ale som si istý, že sa tu nájde náhrada. [stojí {reg14}/{reg15} vplyvu]
str_npc5_payment_response|Ver mi, mne budeš omnoho užitočnejší. [stojí {reg14}/{reg15} vplyvu]
str_npc6_payment_response|Od teraz a navždy, tvoja povinnosť je pri mne. [stojí {reg14}/{reg15} vplyvu]
str_npc7_payment_response|Majster Dwalin určite pochopí, že bojaschopný trpaslík by nemal šetriť svojimi silami pred našimi nepriateľmi príliš dlho. [stojí {reg14}/{reg15} vplyvu]
str_npc8_payment_response|Kráľovo zdravie je dôležité, ale so mnou sa ti podarí zachrániť viac životov. [stojí {reg14}/{reg15} vplyvu]
str_npc9_payment_response|Oh, ale stráž sa ťa neodváži ani dotknúť, ak pôjdeš v mojom sprievode. [stojí {reg14}/{reg15} vplyvu]
str_npc10_payment_response|Od teraz a navždy, tvoja povinnosť je pri mne. [stojí {reg14}/{reg15} vplyvu]
str_npc11_payment_response|Kašli na svojho veliteľa, od teraz slúžiš mne. [stojí {reg14}/{reg15} vplyvu]
str_npc12_payment_response|Tvoji kumpáni dostanú nové rozkazy, ja sa postarám o veliteľov. [stojí {reg14}/{reg15} vplyvu]
str_npc13_payment_response|Uvidia ma v inom svetle, lebo teraz som už náčelníkom. [stojí {reg14}/{reg15} vplyvu]
str_npc14_payment_response|Starého majstra prístavu sa niet prečo obávať. [stojí {reg14}/{reg15} vplyvu]
str_npc15_payment_response|Bezcenné čačky? Zoženiem ti tú tvoju výbavu. [stojí {reg14}/{reg15} vplyvu]
str_npc16_payment_response|Predkov uchovávam v úcte, mojich aj tvojich. [stojí {reg14}/{reg15} vplyvu]
str_npc17_payment_response|Tvoj strýko bude v poriadku. Odteraz budeš mojim spoločníkom. [stojí {reg14}/{reg15} vplyvu]
str_npc1_morality_speech|Kapitán, nepochopím, ako môžeš {s21} a opustiť našich mužov. Kapitán Faramir by nikdy neopomenul svojich Prieskumníkov a nespôsobil im zbytočné útrapy.
str_npc2_morality_speech|Dúfam, že sa ťa to nedotkne, ale nedokážem nás vidieť {s21}. Možno by som sa mal snažiť viac zoceliť bojom, ale bolo by dobré, ak by si sa ty tiež snažil... prejavovať viac starosti o životy tvojich mužov, spalo by sa mi lepšie.
str_npc3_morality_speech|Veliteľ, my Eorilingovia nepoznáme, aké je to {s21} z bojiska. Naše kone sú vytrvalé a len čo sa preskupíme, nie je bojového poľa, kde by náš jazdecký výpad nedokázal zvrátiť priebeh bitky v náš úspech. Dávaj pozor, keď budeme nabudúce bojovať proti presile.
str_npc4_morality_speech|Nevšímaj si, čo hovoria ostatní vojaci, ale niekedy {s21} je tá najmúdrejšia voľba. A ja napríklad oceňujem všetky tie ušetrené zlomeniny, čoby šancu bojovať v iné dni, kedy sa od nás osud neodvráti.
str_npc5_morality_speech|Musíš zvážiť svoje rozhodnutia, veliteľ. {s21} znamená, že nie sme o nič lepší, než nepriateľ, a to podráža sebavedomie naše aj našich priateľov.
str_npc7_morality_speech|Nie som nadšený z toho, že si rozkázal {s21}. Padnúť v boji je poctou pre každého ozajstného trpaslíka, ale bojovať v družine vedenej zbabelcom je potupa. Čo by na to povedali moji bratranci, ak by sa to dozvedeli?
str_npc8_morality_speech|Veliteľ, musím namietať. {s21} je pre našich mužov tvrdé a nežiadúce. Robím čo môžem, aby som uľahčil ich trápenia, ale prosím, nedopusť sa ďalšej zásadnej chyby.
str_npc9_morality_speech|Uruk-hai nepoznajú rozkaz {s21}. Pánko má zrejme strachom scvrknuté vnútornosti, asi ti od nich jednej noci uľahčím. Gulm prehovoril.
str_npc15_morality_speech|Mohol by si sa domýšľať, že Bolzog Mocný dokáže vyliečiť všetko, {playernaame}, ale aj ja mám svoje hranice! Pokiaľ neprestaneš večne prikazovať "{s21}", ani moje liečiteľské vlohy nebudú stačiť! Musíš mi trochu pomôcť! Nedokážem oživovať mŕtvych, či skapú od hladu alebo ich rozkmásajú voľakde na kusy!
str_npc1_2ary_morality_speech|Kapitán, bol som vychovaný ako Dúnadan, učený statočnosti a cti. Bol by som radšej, ak by si nás už nenútil {s21}.
str_npc4_2ary_morality_speech|No dovoľte, veliteľ. Ženy môjho postavenia rády príjmu smrť, ale rozhodne nie hanbu na bojovom poli. {s21} znamená potupu môjho rodu i predkov.
str_npc15_2ary_morality_speech|Hi-hi-hi! Si ľstivý! Oh Pane! Vezmeš si zlato, prikývneš, pritakáš 'áno, pane', ale celý čas bol tvoj úmysel toto! Hi-hi! Musíme si iba dávať pozor, aby si Veľký nevšimol, že mu klameš popod nos...
str_npc1_personalityclash_speech|Spomenul som že nenávidím {s11}?
str_npc2_personalityclash_speech|Spomenul som že nenávidím {s11}?
str_npc3_personalityclash_speech|Veliteľ, jak to, že je {s11} s nami vôbec v družine? Je obratný a rýchly, to je pravda, ale na môj vkus sa veľmi často rozhovára o prepadoch - vôbec sa to nepodobá tak obozretnej povahe jeho ľudu.
str_npc4_personalityclash_speech|Spomenul som že nenávidím {s11}?
str_npc5_personalityclash_speech|Spomenul som že nenávidím {s11}?
str_npc6_personalityclash_speech|{playername}, práve som videl {s11}a, ako zadupal hniezdo mladých vtákov. Jeho nešikovnosť zmarila životy nevinných tvoroch.
str_npc7_personalityclash_speech|Pán {s11} si vedie v boji dobre, ale začínam mať podozrenie, že všetkých svojich nepriateľov zaslepuje ligotom svojich vlasov. Alebo žeby pred ním padali sami v úžase pred jeho slávou a panovačným vystupovaním?
str_npc8_personalityclash_speech|Veliteľ, musím vás uvedomiť o sťažnosti na {s11}a. Neustále sa vôkol mňa obšmieta a chce, aby som mu pripravil istý druh piva, ktorému hovorí 'zelená víla'.
str_npc9_personalityclash_speech|Spomenul som že nenávidím {s11}?
str_npc10_personalityclash_speech|Spomenul som že nenávidím {s11}?
str_npc11_personalityclash_speech|Spomenul som že nenávidím {s11}?
str_npc12_personalityclash_speech|Spomenul som že nenávidím {s11}?
str_npc13_personalityclash_speech|Spomenul som že nenávidím {s11}?
str_npc14_personalityclash_speech|Spomenul som že nenávidím {s11}?
str_npc15_personalityclash_speech|Spomenul som že nenávidím {s11}?
str_npc16_personalityclash_speech|Spomenul som že nenávidím {s11}?
str_npc17_personalityclash_speech|Spomenul som že nenávidím {s11}?
str_npc1_personalityclash_speech_b|Nenávidím {s11}.
str_npc2_personalityclash_speech_b|Nenávidím {s11}.
str_npc3_personalityclash_speech_b|Nemám nič proti ľudu Gondoru, ale poviedlo by sa nám podľa mňa lepšie so smelými jazdcami a -menším podielom pechoty.
str_npc4_personalityclash_speech_b|Nenávidím {s11}.
str_npc5_personalityclash_speech_b|Nenávidím {s11}.
str_npc6_personalityclash_speech_b|Tie jeho trpasličie spôsoby mu zrejme slúžia pod zemou dobre, hoci je na podiv, že sa ešte neprepadol nejakou šachtou. Možno by mal.
str_npc7_personalityclash_speech_b|Vodilo by sa nám lepšie s trpasličím hrdinom, niekoho ako bol Durin Nesmrteľný za dávnych čias, a nechať elfov, nech si poskakujú lesmi.
str_npc8_personalityclash_speech_b|Je to vyrobené z paliny presiaknutej likérom a obľúbené medzi trubadúrmi a pocestnými, ktorí sa radi nechávajú obklopiť bludmi, aké nie sú skutočné. Nemyslím, že by sa ti páčilo sledovať svojich mužov na bojovom poli, ako sa oháňajú za vzduchom, i keď by to mohol byť ozaj zábavný výjav.
str_npc9_personalityclash_speech_b|Nenávidím {s11}.
str_npc10_personalityclash_speech_b|Nenávidím {s11}.
str_npc11_personalityclash_speech_b|Nenávidím {s11}.
str_npc12_personalityclash_speech_b|Nenávidím {s11}.
str_npc13_personalityclash_speech_b|Nenávidím {s11}.
str_npc14_personalityclash_speech_b|Nenávidím {s11}.
str_npc15_personalityclash_speech_b|Nenávidím {s11}.
str_npc16_personalityclash_speech_b|Nenávidím {s11}.
str_npc17_personalityclash_speech_b|Nenávidím {s11}.
str_npc1_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc2_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc3_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc4_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc5_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc6_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc7_personalityclash2_speech|Pekný kus šrotu, že, kapitán? I keď ho trochu znehodnotili čachre machre tej elfskej ženy menom {s11}.
str_npc8_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc9_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc10_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc11_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc12_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc13_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc14_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc15_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc16_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc17_personalityclash2_speech|Spomenul som že nenávidím {s11}?
str_npc1_personalityclash2_speech_b|Nenávidím {s11}.
str_npc2_personalityclash2_speech_b|Nenávidím {s11}.
str_npc3_personalityclash2_speech_b|Nenávidím {s11}.
str_npc4_personalityclash2_speech_b|Nenávidím {s11}.
str_npc5_personalityclash2_speech_b|Nenávidím {s11}.
str_npc6_personalityclash2_speech_b|Nenávidím {s11}.
str_npc7_personalityclash2_speech_b|Videl som ju, ako nás kryla z tylu; jeden či dva razy sa jej dokonca podarilo vystreliť smerom k nepriateľovi. Tvrdím, že by bolo lepšie nechať ju ísť, nech sa stará o vtáčky a včelstvo, a my zas pôjdeme a budeme bojovať s nepriateľmi, ako sme to robili doteraz.
str_npc8_personalityclash2_speech_b|Nenávidím {s11}.
str_npc9_personalityclash2_speech_b|Nenávidím {s11}.
str_npc10_personalityclash2_speech_b|Nenávidím {s11}.
str_npc11_personalityclash2_speech_b|Nenávidím {s11}.
str_npc12_personalityclash2_speech_b|Nenávidím {s11}.
str_npc13_personalityclash2_speech_b|Nenávidím {s11}.
str_npc14_personalityclash2_speech_b|Nenávidím {s11}.
str_npc15_personalityclash2_speech_b|Nenávidím {s11}.
str_npc16_personalityclash2_speech_b|Nenávidím {s11}.
str_npc17_personalityclash2_speech_b|Nenávidím {s11}.
