qstr_Received_{reg0}_dama|Utrpel si {reg0} poškodenia.
qstr_Orcs_of_{s16}_get_re|Ohyzdi {s16}u, pripravte sa! Je čas rozsekať pár krkov!
qstr_These_friend_of_elve|Títo priatelia elfov sa rozpadnú pod našimi čepeľami!
qstr_These_Elves_will_fal|Títo elfovia padnú pod našimi čepeľami!
qstr_Raahh!_Draw_your_wea|Raahh! Taste tie svoje meče, banda z {s16}u! Dnes budeme hodovať na {s15} vnútornostiach!
qstr_Rha!_{s14}More_{s15}|Rha! {s14}Viac {s15} tiel na vylepšenie našich strach naháňajúcich zbraní! 
qstr_Slaughter_these_puny|Zmasakrujte týchto ubohých zlodejov {s18}u! Potom spálime ich domy a vyvraždíme im rodiny!
qstr_Death_to_the_trespas|Smrť privandrovalcom zo zemí {s16}u!
qstr_CHARGE!_Let_s_clear_|ÚTOK! Očistíme {s17} od špinavých {s18} {s19}!
qstr_{s14}Now_that_{s19}s|{s14}Teraz tieto {s19}ské ohavy okúsia hnev medvedieho ľudu!
qstr_Attack!|Útok!
; qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_Holding|Držia pozíciu
qstr_Following|Následujú ťa
qstr_Charging|Útočia
qstr_Advancing|Postupujú
qstr_Falling_Back|Sťahujú sa
qstr_Standing_Closer|Zomknutí
qstr_Spreading_Out|Rozptýlení
qstr_Standing|Stoja
qstr_N/A|N/A
qstr_Free|Bez rozkazov
qstr_Any_Weapon|Ľubovoľná zbraň
qstr_Blunt_Weapons|Tupé zbrane
qstr_Infantry__{reg1}_|Pechota ({reg1})
qstr_Archers__{reg2}_|Lukostrelci ({reg2})
qstr_Cavalry__{reg3}_|Kavaléria ({reg3})
qstr_Given_by:_{s62}|Zadané: {s62}
qstr_Given_on:_{s60}|Zadané dňa: {s60}
qstr_You_have_{reg0}_days|Máš {reg0} dní na dokončenie úlohy.
qstr_This_quest_has_been_|Táto úloha je už uzatvorená. Porozprávaj sa s {s59} aby si ju dokončil. 
qstr_This_quest_has_been_s|Túto úlohu si úspešne splnil. Vyber si odmenu od {s59}.
qstr_This_quest_has_faile|Túto úlohu si nedokázal splniť. Vysvetli to {s59}. 
qstr_At_the_time_quest_wa|Čas, kedy bola úloha prijatá:^{s1}
qstr_{s7}_and_{s8}|{s7} a {s8}
qstr_{s7}_{s8}|{s7}, {s8}
qstr_noone|nikto
qstr_{s9}_and_{s10}|{s9} a {s10}
qstr_{s9}_{s10}|{s9}, {s10}
qstr_no_one|nikto
qstr_{s11}_and_{s12}|{s11} and {s12}
qstr_{s11}_{s12}|{s11}, {s12}
qstr_{s5}_is_ruled_by_{s6|{s6} panuje {s5}.^To ovláda {s8}.^Jeho veliteľmi sú {s10}.^{s5} je vo vojne s {s12}.
qstr_{s5}_has_been_defeat|{s5} bol zničený!
qstr_{s5}_has_a_strength_|{s5} má sílu o veľkosti {reg1} jednotiek.
qstr_no_holdings|žiadne majetky
qstr_{s57}_and_{s58}|{s57} a {s58}
qstr_{s57}_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?Ona:On}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54} Je vládcom {s56}.^:{s54} slúži {s55} z {s56}.^}}{reg9?{reg3?Ona:On} je {reg3?Paní:Pánom} z {s58}.:}{s59}{reg10?^{reg3?Ona:On} zahynul v bitke!:}
qstr_The_last_time_you_sa|Posledný raz, keď si  {reg1?ju:ho} videl, {s1}
qstr_The_last_time_you_he|Posledný raz, keď si počul o {reg1?nej:ňom}, {s1}
qstr_The_{s50}|{s50}
qstr_{s50}_belongs_to_{s1|{s50} patrí {s1} z {s2}.^
qstr_Current_garrison_con|Tunajšia posádka sa skláda z {reg5} mužov.^Má zásoby na {reg6} dní.
qstr_Very_Poor|Veľmi chudobný
qstr_Poor|Chudobný
qstr_Average|Priemerný
qstr_Rich|Bohatý
qstr_Very_Rich|Veľmi bohatý
qstr_Strength|Sila 
qstr_Agility|Obratnosť
qstr_Intelligence|Inteligencia
qstr_Charisma|Charizma
qstr_You_ve_gained_{s6}_f|Získal si {s6} vďaka obdržaniu predmetu {s7}
qstr_You_ve_lost_{s6}_fro|Prišiel si o {s6} stratou {s7}
qstr_{s50}_Caves|{s50} Jaskyne
qstr_{s50}_Mines|{s50} Bane
qstr_{s50}_Woods|{s50} Lesy
qstr_{s4}_looks_upset.|{s4} vyzerá naštvane.
qstr_your_party|tvoja družina
qstr_{reg0?One_of_your_pr|{reg0?Jeden tvoj väzeň, :}{s1} z {s3} utiekol zo zajatia!
qstr_You_brought_{reg3}_h|Kúpil si si {reg3} kusov dobytka do {s1}.
qstr_Log_entry_{reg3}:_ty|Zaznamenané data {reg3}: skupina {reg4}
qstr_Center:_{s4}|Mesto: {s4}
qstr_Troop:_{s4}|Jednotka: {s4}
qstr_Lord:_{s4}|Pán: {s4}
qstr_Ally_party_is_presen|Družina spojencov sa účastní
qstr_{s4}_is_present_at_e|{s4} sa účastní na udalosti
qstr_Event_#{reg5}_type_{|Udalosť #{reg5}, druh {reg6}, čas {reg8}: vzťahy kráľovstva hráča k objektu jednotky = {reg7}
qstr_Event_#{reg5}_type_{r|Udalosť #{reg5}, druh {reg6}, čas {reg8}: vzťahy kráľovstva hráča k hlavnému objektu frakcie = {reg7}
qstr_Event_#{reg5}_type_{re|Udalosť #{reg5}, druh {reg6}, čas {reg8}: vzťahy kráľovstva hráča k objektu frakcie = {reg7}
qstr_Event_#{reg5}_type_{reg|Udalosť #{reg5}, druh {reg6}, čas {reg8}. Nedobré vzťahy kráľovstiev.
qstr_Event_#{reg5}_type_{reg6|Udalosť #{reg5}, druh {reg6}, čas {reg8}. Hráč nezúčastnený.
qstr_Elapsed_hours:_{reg7|Uplynulých hodin: {reg7}
qstr_Reputation_type:_{s1|Reputácia: {s15}
qstr_Entries_up_to_#{reg5|Vstupy až do #{reg5} vynechané 
qstr_A_new_location_is_no|Nová lokácia je dostupná na mape!
qstr_New_trait_gained:_{s|Získaná nová vlastnosť: {s5}
qstr_Gained_permanent_+1_|Pernamentne získané +1 k Sile
qstr_Gained_permanent_+1_t|Pernamentne získané +1 k Obratnosti
qstr_Gained_permanent_+1_to|Trvalo získané +1 k Charizme
qstr_Gained_permanent_+20|Pernamentne získané +20 k zručnosti so zbraňami
qstr_Gained_permanent_+2_|Pernamentne získané +2 k Sile
qstr_Gained_permanent_+2_t|Trvalo získané +2 k Charizma
qstr_Lost_permanent__1_to|Trvalo stratené -1 Charizma
qstr_Gained_permanent_+1_to_|Pernamentne získané +1 Valibuk
qstr_Gained_permanent_+5_|Pernamentne získané +5 k Sile
qstr_Lost_permanent__2_to|Trvale stratené -2 Charizma
qstr_Gained_permanent_+2_to|Pernamentne získané +2 Valibuk
qstr_Gained_permanent_+10|Pernamentne získané +10 k zručnosti so zbraňami
qstr_Gained_permanent_+1_to_T|Pernamentne získané +1 k Taktike
qstr_You_have|Máš
qstr_{s1}_has|{s1} má
qstr_{s11}_suffered_a_ser|{s11} bol vážne zranený
qstr_The_leg_has_been_bad|Noha bola v bitke vážne zmrzačená.
qstr___2_athletics__1_rid|(-2 atletika, -1 jazdectvo, -2 obratnosť, -15 boj z blízka)
qstr_The_arm_has_been_bad|Ruka bola v boji vážne zmrzačená.
qstr___20_weapon_skill__2|(-20 zručnosť so zbraňami, -2 Sila, -1 Mocný úder)
qstr_The_head_has_suffere|Hlava utrpela ťažký úder.
qstr___1_intelligence_ski|(-1 inteligenčné schopnosti, -15 zručnosť v streľbe)
qstr_The_chest_has_suffer|V bitke ti zlomili niekoľko rebier.
qstr___20_weapon_skill_|(-20 zručnosť so zbraňami)
qstr_{s1}_has_been_killed|{s1} bol zabitý.
qstr_You_were_killed.|Bol si zabitý.
qstr_{s1}_recovered_from_|{s1} sa vyliečil z ťažkého zranenia.
qstr_The_leg_wound_has_he|Noha sa vyliečila.
qstr__+2_athletics_+1_rid|(+2 atletika, +1 jazdectvo, +2 obratnosť, +15 boj z blízka)
qstr_The_arm_wound_has_he|Ruka sa zahojila.
qstr__+20_weapon_skill_+2|(+20 zručnosť so zbraňami, +2 Sila, +1 Mocný úder)
qstr_The_head_wound_has_h|Hlava sa zotavila.
qstr__+1_intelligence_ski|(+1 inteligenčné schopnosti, +15 zručnosť v streľbe)
qstr_The_cracked_ribs_hav|Polámané rebrá sa zahojili.
qstr__+20_weapon_skill_|(+20 zručnosť so zbraňami)
qstr_{s1}_has_had_his_hea|{s1} má utužené zdravie
qstr_News_has_arrived_tha|Prišli nám zvesti že {s1} z {s2}u padol v boji s nepriateľmi z {s28}u!
qstr_{s1}_s_Burial_Mound|{s1}ova Pohrebná Mohyla
qstr_{s1}_s_Funeral_Pyre|{s1}ova pohrebná hranica
qstr_{s1}_is_logged_as_de|{s1} je vyhlásený za mŕtveho
qstr_You_have_been_discov|Bol si odhalený pred vyšplháním hradby. 
qstr_The_enemy_is_coming_|Prichádza nepriateľ a je vo výhode, musíš utiecť!
qstr_Scout_this_area_alon|Preskúmaj túto oblasť a stretni sa so svojimi mužmi na druhej strane.
qstr_Be_stealthy_but_elim|Buď nenápadný a rýchlo odstraň akékoľvek hrozby!
qstr_You_are_spotted_by_a|Bol si spozorovaný hliadkov!
qstr_Eliminate_them_befor|Zbav sa ich pred tým, než sa rozšíry poplach!
qstr_You_have_reached_the|Dostal si sa do žalárov!
qstr_Eliminate_the_guards|Odstráň stráže a osloboď svojich mužov!
qstr_{s1}_has_been_captur|{s1} bol zajatý nepriateľmi.
qstr_Gondor_takes_a_capti|Gondor získal cenného väzňa.
qstr_Rohan_takes_a_captiv|Rohan získal cenného väzňa.
qstr_Mordor_takes_a_capti|Mordor získal cenného väzňa.
qstr_Isengard_takes_a_cap|Isengard získal cenného väzňa.
qstr_You_were_grievously_|Bol si vážne zranený a tvoje telo zavalené mŕtvolamy. V správnom momente sa ti podarilo utiecť cez hradbu, nepriatelia ťa však mohli spozorovať. Najlepšie bude svižne zájsť čo najďalej.
qstr_You_were_grievously_w|V bitke si bol vážne ranený. Tvojím mužom sa podarilo odtiahnuť ťa preč, ale utrpeli obrovské stráty.
qstr_You_were_grievously_wo|V bitke si bol vážne ranený. Tvojím mužom sa podarilo odtiahnuť ťa preč, ale utrpeli obrovské stráty. Bohužiaľ, niekoľko z tvojich spoločníkov bolo zajatých a odtiahnutých do {s2}.
qstr_You_were_grievously_wou|V bitke si bol vážne ranený. Tvojím mužom sa podarilo odtiahnuť ťa z boja, ale čiernokňažníkovy sa podarilo utiecť.
qstr_You_were_grievously_woun|Bol si vážne zranený a tvoje telo zavalené mŕtvolamy. V správnom momente sa ti podarilo uniknúť, ale čiernokňažník utiekol.
qstr_Some_of_your_compani|Niektorím z tvojich spoločníkov sa obnovili staré zranenia.
qstr_Item_you_just_equipp|Predmet, ktorý si si práve nasadil, nepasuje k postavám tvojej rasy, takže bude onedlho presunutý späť do inventára^^Presvedč sa, že máš pre predmet miesto, inak bude stratený
qstr_Inappropriate_equipm|Nevhodná výstroj
qstr_The_mount_you_just_e|Jazdecké zviera, ktorým si sa vystrojil, nesedí na postavy tvojej rasy. V boji budeš mať s ovládaním tohoto zvieraťa problémy, pokiaľ si ho necháš. 
qstr_Inappropriate_mount|Nevhodné jazdecké zviera.
qstr_{s24}:_Your_infantry|{s24}: Tvoja pechota sa cíti sviežo!
qstr_{s24}:_Your_archers_|{s24}: Tvoji lukostrelci sa cítia lepšie!
qstr_{s24}:_Your_cavalry_|{s24}: Tvoja kavaléria sa cíti lepšie!
qstr_Ah_what_a_coincidenc|Ah, aká to náhoda, že som na teba narazil, {playername}! Asi ma nepoznáš, ty si mi však dobre známy. Som na ceste do {s4}u, ale prichádzam z {s3}u, kde sa tvoje meno stalo slávnym. {s3} sa na teba spolieha v týchto nebezpečných časoch. Pokiaľ si teda zvažoval nejako zamestnať nepriateľa, mohol by si prehodnotiť pomoc {s2}ovi, kde by si mohol zapojiť všetky svoje schopnosti a sily.
qstr_Who_are_you?|Kto si?
qstr_A_friend_of_{s3}_and|Priateľ {s3}u a ľudu {s2}u. Ponáhľaj sa! Mordor vyháňa zo svojich nôr a nasadzuje do šíkov všetky skazené tvory a Temna Veža na nich upína všetku jej silu a moc, aby ich sem dostala. Všetkému, čo je na tomto svete dobré, hrozí zánik, a my musíme urobiť všetko preto, aby sme tomu predišli!
qstr_What_should_I_do?|Čo mám robiť?
qstr_Find_{s3}_s_whereabo|Vyhľadaj {s3}, nech už je kdekoľvek, a pohovor si s {reg3?ňou:ním}. Veľa šťastia!
qstr_Good_to_see_the_Shad|Je dobré, že ťa Tieň ešte neskazil, {playername}.
qstr_You_are_the_one_they|Ty si ten, ktorého nazývajú Gandalf či Mithrandir. 
; qstr_You_are_the_one_they_|You are the one they call Radagast.
qstr_That_is_what_some_ca|Niektorí ma tak nazývajú. Môjho času som mal mnoho mien, ale pokiaľ nezastavíme Temnotu, neostane nikto, kto ma volal hoc len jediným z nich. 
qstr_What_do_you_mean?|Čo tým myslíš?
qstr_In_spite_of_their_va|V zášti ich statočného odporu, {s3} bol ovládnutý sílami temna. {s3}ský ľud sa rozpŕchol a dobrý {s4} už nie je.
qstr_You_bring_dismal_new|Prinášaš tiesnivé správy, čarodej.
qstr_But_I_also_bring_a_m|Ale tiež zrnko nádeje. Ľud {s5}u sa stále drží. Ich bojovníci sú statoční a ich velitelia odhodlaní a chrabrí.
qstr_Help_them_fight_the_|Pomôž mi bojovať s Nepriateľom jak najlepšie dokážeš. Nikdy nepovoľavuj! A maj sa na pozore! V tomto svete sú staršie a skazenejšie tvory než ohyzdi. 
qstr_Beware_{playername}_|Dávaj si pozor, {playername}, moc Temnoty sa šíri. {s3} padol, keď sa na jeho čelo postavil {s4}.
qstr_What_do_you_want_of_|Čo odo mňa očakávaš, starý muž?
qstr_Just_know_that_a_Daw|Buď si vedomý toho, že Úsvit sa blíži. Je nevýhnutný. A pokiaľ do vtedy chceš ostať nažive, sám musíš zvážiť čo je nutné vykonať. 
qstr_Well_met_{playername|Dobre, že sme sa opäť stretávame, {playername}, {s24}. Vsadil som do teba dôveru, a dobre som urobil. Moc Tieňa sa rozpadla, a tvoje činy k tomu nemálo prispeli. 
qstr_Thank_you_Mithrandir|Ďakujem, Mithrandir!
; qstr_Thank_you_Radagast!|Thank you, Radagast!
qstr_The_wizard_Saruman_i|Čarodej Saruman je preč a Barad Dur sa zrútila a rozbila na prach spolu s Temným Pánom! Všetok ľud Stredozeme si konečne vydýchol od hrozby, ktorá takmer pohltila všetko dobré a krásne v tomto svete. Nepriateľ je porazený a Kráľ sa navrátil!
qstr_It_was_a_long_and_bl|Bola to dlhá a krvavá vojna a veľa našich blízkych priateľov už nie je medzi nami.
qstr_There_is_much_to_reg|Je čoho ľutovať a nad čím smútiť, a ešte viac je treba v nastávajúcich dňoch vybudovať a opraviť. Ale teraz sa radujme s tými, čo s námi vydržali, a oslavujme čoho sme dosiahli v Posledných Dňoch Tretieho Veku. 
; qstr_Orcs_are_marching_ag|Orcs are marching against Helm's Deep.
; qstr_Orcs_are_marching_aga|Orcs are marching against Edoras.
; qstr_Ah_{playername}_happ|Ah, {playername}, happy chance that we come on each other in this fashion! Grim tidings I bring from Western Rohan, and haste is sore needed.
; qstr_What_tidings_do_you_|What tidings do you bring, Mithrandir? What can I do?
; qstr_Saruman_has_loosed_I|Saruman has loosed Isengard upon Rohan. {s1} For the success of my designs, the valiant Rohirrim must not fall, {playername}! The danger to them is very great, yet also the emptying of Isengard has left it vulnerable, for Saruman has despatched his full strength against Theoden King. This may be the time to move into Nan Curunir. A choice is now laid before you, Commander, a choice you must make, for neither you nor I may be everywhere at once!
; qstr_Do_you_want_me_to_he|Do you want me to help King Theoden defend {s3}, or hasten to Isengard and see what I can do?
; qstr_Either_would_be_a_gr|Either would be a great boon to me. You must decide your course on your own, {playername}, as shall I. Shadowfax shall bear me now on a swift errand. You must act quickly as well! Hasten now!
; qstr_Gandalf_asked_you_to|Gandalf asked you to either help Theoden defend {s3} or find out what is happening in Isengard.
qstr_Ents|Enti
; qstr_Hail_{playername}!_I|Hail, {playername}! I hope you are unhurt? At any rate, I am pleased you aided my friend Fangorn, or you may know him as Treebeard. The tree shepherds are very mighty, but it was likely that they marched to their doom. You have perhaps saved them from a great peril, Commander, and for that I am glad. I would not like to see the oldest of all living things pass from the world, no, not just yet… no, not before they see the Entwives again, I should hope.
; qstr_Missing_String|Missing String
; qstr_Well_thank_you_{play|Well, thank you, {playername}, and farewell. We may meet again, ere the waning of the moon!
; qstr_Hail_{playername}!_I_|Hail, {playername}! I hope you are unhurt? At any rate, you seem to have lain your blade to the right foe. No enemy has yet taken the Hornburg, and likely none ever shall – not while the likes of you defend Helm’s Gate, I’ll warrant!
; qstr_Your_deed_has_greatl|Your deed has greatly helped my design, better even than I could have hoped or planned. Farewell, {playername}, and thank you. We may meet again, ere the waning of the moon!
; qstr_{Playername}_I_will_|{Playername}, I will ask you a thing now. You are accounted an able captain, and a dutiful one; were you overmastered by great foes? Did you tarry overlong, for caution or even fear? Behold, we are now come into a greater peril than I could have foreseen. The strength of Rohan is broken, her people scattered and shieldless: Helm’s Deep has fallen. The trees are withered untimely, and night lies over the forge-fires of Isengard: the Ents of Fangorn Forest are dead or driven back.
; qstr_You_have_failed_me_{|You have failed me, {playername} – or perhaps it is I who have failed you. Perhaps there was some flaw in my design, some grave blunder I did not recognise… The terror of Mordor comes. Leave me now, {playername}. We may meet again… or perhaps not.
qstr_Bagginsssss..._Ssssh|Bublííííííííííík...... Kraaaaajjjjjj...
qstr_I..._don_t_know!|Ja... ja nič neviem!
qstr_It..._beckonsssssss.|Ono násssss to... voláááá...
qstr_Treachery..._Unforgi|Zradaaa... Nezabudnutááá....
qstr_But_I...|Ale ja...
qstr_Noone..._oppossssses|Nikto... kto odporujeeee... Barad Duru... prežijeeee!
qstr_All..._must..._submi|Všetci.... sa musia... podrobiť... a... slúžiť...
qstr_I_serve_the_Eye!|Slúžim Oku!
qstr_I_shall_serve_the_Ey|Musím slúžiť oku!
qstr_Go_to_{s1}_and_speak|Ísť do {s1}a a prehovoriť s {s9}om.
qstr_The_Remnant_Forces_o|Zvyšné sily {s22} sa zhromaždili na posilnenie sídla {s15}!
qstr_The_strength_of_the_|Sila zostávajúcich spojeneckých frakcií {s15} sa zvýšila
qstr_{s30}_reinforced_by_|{s30} posilnené {reg 65} bodmi sily frakcie
qstr_{s1}_has_been_besieg|{s1} je obliehané {s2}om z {s3}u.
qstr_The_forces_of_{s2}_m|Vojská {s2}u pochodujú do {s15}u!
qstr_Rohan_capital_moved_|Rohanské hlavné mesto už nie je Edoras, ale Helmov žľab!
qstr_Dale_capital_moved_f|Hlavné mesto Dálov sa presunulo z Dolu do Esgarothu!
qstr_Gundabad_capital_mov|Hlavné mesto Gundabadu sa presunulo z Gundabadu do Mesta škratov
; qstr_You_have_breached_th|You have breached the Ring of Isengard with the help of the Tree Men. During the battle, Isengard was flooded, but Orthanc still stands unscathed in midst of the havoc. You should investigate the aftermath.
qstr_The_hosts_of_{s2}_re|Velitelia {s2} ustupujú späť do svojich pevností!
qstr____Ruins_of_{s1}___|Ruiny {s1}
; qstr_{s1}_has_joined_the_|{s1} has joined the Hand
; qstr_{s1}_has_joined_the_E|{s1} has joined the Eye
qstr_ranks|línie
qstr_shield_wall|štítová hradba
qstr_wedge|klín
qstr_square|štvorec
qstr_up|hore
qstr___Infantry_forming_{|Pechota vytvára formáciu {s1}.
qstr___Not_enough_infantr|Nedostatok pechotu pre vytvorenie formácie {s1}, miesto toho držia pozíciu.
qstr___Cavalry_forming_{s|Kavaléria sa formuje do formácie {s1}.
qstr___Not_enough_cavalry|Nedostatok kavalérie pre vytvorenie formácie {s1}, miesto toho držia pozíciu.
qstr___Archers_forming_{s|Lukostrelci tvoria formáciu {s1}.
qstr___Not_enough_archers|Nedostatok lukostrelcov pre vytvorenie formácie {s1}, miesto toho držia pozíciu.
qstr___Infantry_formation|Formácia pechoty zrušená.
qstr___Cavalry_formation_|Formácia kavalérie zrušená.
qstr___Archer_formation_d|Formácia lukostrelcov zrušená.
qstr_Division_{reg1}_{s2}|Divízia {reg1} {s2} tvorí {s1}.
qstr_Not_enough_troops_in|Nie je dostatok vojsk v divízii {reg1} {s2} na vytvorenie {s1}.
qstr_Division_{reg1}_{s2}_|Divízia {reg1} {s2} je divízia {s3} a nemôže tvoriť {s1}.
qstr_{s1}:_infantry_forma|{s1}: formácia pechoty rozpustená
qstr_{s1}:_archer_formati|{s1}: formácia lukostrelcov rozpustená
qstr_{s1}:_skirmisher_for|{s1}: rozpustenie formácie šermiarov
qstr_{s1}:_cavalry_format|{s1}: jazdecká formácia rozpustená
qstr_{s1}:_formation_disa|{s1}: formácia rozpustená
qstr_Cavalry_formation_di|Formácia kavalérie bola rozobratá.
qstr_The_placement_of_{s1|Umiestnenie {s1} divízie {reg0} bolo zapamätané.
qstr_The_placement_of_{s1}|Umiestnenie {s1} divízie {reg0} je nastavené na predvolené.
qstr_Your_party_s_tactica|Taktická zručnosť tvojej družiny udáva, ako ďaleko môžeš postaviť svoje jednotky!
qstr_...and_attack_enemy_|... a napadnúť nepriateľské {s1} divízie!
qstr_{s2}:_returning_afte|{s2}: navrátenie sa po zničení nepriateľskej {s1} divízie.
qstr_infantry|pechota
qstr_archer|lukostrelec
qstr_cavalry|jazda
qstr_polearm|tyčovitá zbraň
qstr_skirmisher|šermiar
qstr_mounted_archer|jazdecký lukostrelec
qstr_support|podpora
qstr_bodyguard|osobný strážca
qstr_undetermined_type_of|neurčitý typ
qstr_{s1}_has_fled_the_ba|{s1} utiekol z boja!
; qstr_Your_side_is_at_{reg|Your side is at {reg1}% cohesion ({reg3}% recent events), the enemy at {reg2}%!
qstr_Morale_of_your_troop|Morálka tvojich jednotiek kolísa!
qstr_Morale_of_your_enemi|Morálka tvojich nepriateľov kolísa!
qstr_Your_enemies_flee_in|Tvoji nepriatelia so strachom uháňajú z boja!
qstr_Many_of_your_enemies|Väčšina nepriateľov uteká z boja.
qstr_Some_of_your_enemies|Niekoľko nepriateľov uteká z boja.
qstr_A_few_of_your_enemie|Malá časť nepriateľov uteká z boja.
qstr_Your_troops_flee_in_|Tvoje jednotky utekajú z boja!
qstr_Many_of_your_troops_|Väčšina tvojich jednotiek uteká z boja.
qstr_Some_of_your_troops_|Niekoľko tvojich jednotiek uteká z boja.
qstr_A_few_of_your_troops|Malá časť tvojích jednotiek uteká z boja.
qstr_Gained_permanent_+1_to_P|Získal natrvalo +1 pre Cestovanie
qstr_Gained_permanent_+1_to_S|Získal +1 pre bodovanie Ostražitosti.
qstr_{s11}_recovered_from|{s11} sa zotavil zo závažného zranenia.
qstr_Volunteers|Dobrovoľníci
qstr_Reserves|Zálohy
qstr_have_taken_measure_o|získali poznatky o sile vašej frakcie a stali sa tak odvážnejšími.
qstr_loses_Faction_Streng|stráca silu frakcie, pretože zásobovacie cesty boli narušené.
qstr_loses_Faction_Strengt|stráca silu frakcie kvôli zničeniu ich tábora.
qstr_gains_Faction_Streng|získava silu frakcie po tom, čo sa k tam doniesli správy o tvojom víťazstve
qstr_Something_wrong_not_|Chyba, nedostatok jednotiek na zostavenie prieskumníckej skupiny.
qstr_Raiders|Nájazdníci
qstr_have_won_the_sea_bat|vyhrali morskú bitku, pričom tým demoralizovali t voje jednotky. Nepriateľ môže využiť toto víťazstvo a podnikať tak viac útokov.
qstr_loses_Faction_Strength|stráca silu frakcie v dôsledku ničivého nájazdu.
qstr_loses_Faction_Strength_|stráca silu frakcie vďaka tvojmu úspechu na mori.
qstr_You_spent_{reg67}_of|Využil si {reg 67} svojho vplyvu s {s1}om, pričom ti zostáva {reg 66}.
qstr_{s2}_{reg3?was:is_ar|{s2} {reg3?bol:je vôkol {s5}.
; qstr_Army_of_{s6}|Army of {s6}
; qstr_Host_of_{s6}|Host of {s6}
; qstr_The_host_of_Isengard|The host of Isengard has razed {s2}!
qstr_{s1}_{s0}|{s1}, {s0}
qstr_{s1}_and_{s0}|{s1} a {s0}
qstr_No_Troops_Left.|Neostávajú žiadne jednotky.
qstr_avoid_melee|vyhnúť sa boju na blízku
qstr_stand_and_fight|postaviť sa a bojovať
qstr_Everyone|Všetci
qstr_Shield___{reg31}_|Štít (- {reg 31})
qstr_Power_Draw___{reg31}|Sila napnutia tetivy (-{reg31})
qstr_Riding___{reg31}_|Jazdenie (- {reg 31})
qstr_Horse_Archery___{reg|Streľba v sedle (- {reg31})
qstr_Athletics___{reg31}_|Atletika (-{reg31})
qstr_No_Skill_Penalty_Ass|Žiadne postihnutia skúseností
qstr_Inventory|Inventár
qstr_Show_stats|Zobraziť štatistiky
qstr_Show_item_details__|Zobraziť podrobnosti o predmete
qstr_Troop_detail|Podrobnosti o jednotke
qstr_{s1}^|{s1}^
qstr_{s1}Level:_{reg1}^|{s1} Úroveň: {reg1} ^
qstr_{s1}Hit_Points:_{reg|{s1}Životov: {reg1}
qstr_{s1}Atributes:_^___S|{s1}Atribúty: ^ Sila:^
qstr_{s2}^{reg1}^|{s2}^{reg1}^
qstr_{s1}___Agility:|{s1}  Obratnosť:
qstr_{s2}{reg1}|{s2}{reg1}
qstr_{s1}Main_skills:_^|{s1} Hlavné schopnosti: ^
qstr_{s1}___Power_Strike:|{s1}   Mocný úder:^
qstr_{s2}{reg1}^|{s2}{reg1}^
qstr_{s1}___Athletics:^|{s1} Atletika:^
qstr_{s1}___Riding:^|{s1} Jazdectvo:^
qstr_{s2}_^|{s2}-^
qstr_{s1}___Power_Throw:^|{s1} Mocný vrh:^
qstr_{s1}___Power_Draw:^^|{s1} Sila napnutia tetivy:^^
qstr_{s2}{reg1}^^|{s2}{reg1}^^
qstr_{s2}_^^|{s2}-^^
qstr_{s1}Weapons:^|{s1}Zbrane:^
qstr_{s1}___One_Handed:^|{s1}   Jednoručné:^
qstr_{s1}___Two_Handed:^|{s1} Obojručné:^
qstr_{s1}___Polearms:^|{s1} Tyčovité:^
qstr_{s1}___Archery:^|{s1} Lukostreľba:^
qstr_{s1}___Crossbow:^|{s1} Kušostreľba:^
qstr_{s1}___Throwing:^|{s1} Vrhacie zbrane:^
qstr_{s1}___Slings:|{s1} Praky:^
qstr_{s2}_|{s2}-
qstr__Click_on_the_troop_|(Klikni na jednotku pre jej otáčanie)^^Klikni na jednotlivé časti brnenia ^(helma, kyrys, rukavice a topánky)^ aby si ich premiestnil.
qstr_ready_bows_and_missi|pripravte si luky a palné zbrane
qstr_ready_side_arms|pripravte si pobočné zbrane
qstr_ready_two_hander|pripravte si obojručné zbrane
qstr_ready_polearms|pripravte si tyčovité zbrane
qstr_shields_up|vytiahnuť štíty
qstr_doff_shields|odložiť štíty
qstr_Distance___{reg70}__|Vzdialenosť - {reg70} - {s11} Družina - {s12} Jednotka
qstr_A_golden_mist_from_L|Na bojové pole usadá zlatavá hmla Lórienu. Prítomnosť Paní dodáva tvojim mužom na kuráži.
qstr_A_golden_mist_from_Lr|Na bojové pole usadá zlatavá hmla Lórienu. Prítomnosť čarodejky otriasa morálkou tvojich kumpánov.
qstr_Dark_clouds_from_Mor|Nad bojovým poľom sa sťahujú temné mračná Mordoru. Tvoji lukostrelci sa zhoršilo zorné pole a takmer hmatateľná prítomnosť temnoty zastrašuje tvojich mužov.
qstr_Dark_clouds_from_Mord|Nad bojovým poľom sa sťahujú temné mračná. Prítomnosť Temného Pána ťa posilňuje rovnako ako tvojich kumpánov.
qstr_A_thunderstorm_from_|Na bojové pole sa zniesla blýskavica a hromobitie z Hmlistých hôr. Tvoji muži spomalili a ich poverčivosť medzi nim rozsieva semeno strachu.
qstr_A_thunderstorm_from_t|Na bojové pole sa zniesla blýskavica a hromobitie z Hmlistých hôr. Lukostrelci majú kvôli počasiu ťažkosti.
