menu_start_game_1|^^^^^^^^^^ مالذي تحاربون لأجله؟
menu_recover_after_death_town_alone|تستعيد وعيك وتجد نفسك في ضواحي المدينة. انت على قيد الحياة! لا أحد في الجوار وأنت تغتنم فرصتك لتجر نفسك خارج المدينة. وجدك رفاقك. يبدو أن أيًا من جروحك لم تكن مميتة ، وعلى الرغم من شعورك بالسوء ، فلا يزال بإمكانك المشي.
menu_notification_center_under_siege|تم محاصرة {s1} بواسطة {s2} من {s3}!
menu_notification_one_side_left|^ ^ ^ ^ ^ انتهت حرب الخاتم! ^^ لقد هزم {s1} كل أعدائهم وانتصروا!
menu_notification_total_defeat|^ ^ ^ ^ ^ انتهت حرب الخاتم بالنسبة لك! ^^ {s1}لقد هزمهم أعداؤهم وأنت تقف وحيدًا في الهزيمة
menu_notification_your_faction_collapsed|^ ^ ^ ^ ^ هزم وطنك {s11}! ^ ومع ذلك ، لا يزال الحلفاء الآخرون في الحرب. أنت ، مع أي شخص متبقٍ من {s11} ، لا يزال بإمكانك مساعدة فريقك على الفوز.
menu_notification_faction_defeated|^ ^ ^ ^ ^ {s1} هزم! ^ {s1} ليس أكثر ، هزم من قبل قوى {s13}!
menu_ruins|^ ^ ^ ^ أنت تقترب من {s1}. تم تدمير معسكر قوي بالأرض ، على الرغم من أنه لا يزال بإمكانك رؤية آثار التحصينات والأسلحة الصدئة المتناثرة.
menu_legendary_place|^ ^ ^ ^ لقد اتبعت الشائعات ووجدت {s1}. يمكنك الآن استكشاف هذا المكان ومعرفة ما إذا كانت الشائعات صحيحة.
mno_explore|اسكتشف هاذا المكان.
menu_ring_hunter_lair|^ ^ ^ ^ لقد اتبعت درب Ring Hunters عبر غابة ميركوود ووصلت إلى {s1}. تراهم يستعدون للمغادرة بصدر.
mno_attack_lair|هاجمهم الآن
menu_gondor_reinforcement_event|^ ^ ^ ^ ^ مضاءة منارات جوندور ، ويدعو ميناس تيريث للمساعدة! سوف يسير أمراء الإقطاعيات الجنوبية الآن شمالًا للدفاع عن المدينة البيضاء ضد الظلام القادم.
mno_gondor_reinforcement_event_close|القريب
menu_gondor_beacons|تنظر إلى {s1} ، أحد منارات التحذير في جوندور ، والتي تُستخدم في دق ناقوس الخطر في شمال وجنوب جوندور.
mno_gondor_beacons_close|ارحل...
menu_player_added_to_war_council|^^^^^وصل رسول وأخبرك أنه الآن، بصفتك {s24}، طلب منك {s2} أن تكون جزءًا من مجلس الحرب الخاص به. يمكنك الآن اقتراح استراتيجيات يمكن أن تؤثر على مسار هذه الحرب.
mno_player_added_to_war_council_close|القريب
menu_player_added_to_siege_reports|^^^^^وصل رسول وأخبرك أنه الآن، بصفتك {s24}، ستتلقى تقارير كلما حاصر {s2} مركزًا أو عندما تتعرض مراكز {s2} للحصار.
mno_player_added_to_siege_reports_close|القريب
menu_player_added_to_allow_follow|^^^^^وصل رسول وأخبرك أنه الآن، بصفتك {s24}، سيُسمح لك بإصدار أوامر لـ {s2} باتباعك، بحد أقصى إجمالي {reg55} من التابعين.
mno_player_added_to_allow_follow_close|القريب
menu_center_besieged_event|^^^^^وصل رسول يبلغ أن {s1} قد حوصر من قبل {s2} من {s3}.
mno_center_besieged_event_close|القريب
menu_guardian_party_spawned|^^^^^أفاد الكشافة أن {s6} جمع جيشًا كبيرًا في محيط {s7}، في محاولة أخيرة للدفاع عن العاصمة.
mno_guardian_party_spawned_close|القريب
mno_intro_next|اكمل....
mno_start_defend_caravan|دافع عن القافلة!
mno_start_raid_caravan|اهجم على القافلة!
mno_start_ambush_orcs|نصب كمين للعفاريت!
mno_start_kill_scouts|أوقف الكشافة عن الإبلاغ بوصولك!
mno_go_your_way|اتركهم وشأنهم
mno_defend_villagers|دافع عن القرويين!
mno_raid_villagers|اهجم على القرية!
mno_go_away|غادر وأعد التجمع الآن.
menu_scout_camp_quest|ترى معسكر الكشافة قريبًا. تعد رجالك لمهاجمتهم
mno_attack_scout_camp|اهجم على معسكر الكشافة!
menu_sea_battle_quest|تواجه أسطولًا معاديًا. تقترب السفن ويلقي البحارة الألواح...
mno_sb_defend_the_town|اصعد إليهم! دمر أسطولهم!
mno_sb_attack_the_town|يحاولون اعتراضنا! دافع عن الأسطول!
menu_camp_field_ai|^^^^^انقر على خيار للتبديل.^^^إيقاف خيار واحد أو أكثر سيحسن الأداء (معدل الإطارات في الثانية)
mno_lord_field_ai|اللوردات لديهم ذكاء اصطناعي محسّن في ساحة المعركة: {s7}
mno_horse_archer_field_ai|الرماة الفرسان لديهم ذكاء اصطناعي محسّن في ساحة المعركة: {s7}
mno_vs_orcs_field_ai|الرماة لديهم تصويب أفضل ضد العفاريت (لا يصوبون فوق رؤوس العفاريت): {s7}
mno_battlefield_animals|رفقاء الحيوانات (غير الورق/الخيل) يظهرون في المعركة: {s7}
mno_slow_when_wounded|الوحدات تصبح بطيئة عند الإصابة: {s7}
mno_battle_encounter_effects|تأثيرات خاصة بالفصائل في ساحات القتال (مثل العواصف والضباب): {s7}
menu_hungry_orc|لا شيء
menu_leaving_elf|لا شيء
mno_defend_refugees|ترقب المغيرين...
mno_attack_refugees|اهجم على قافلة اللاجئين...
mno_leave_refugees|اتركهم الآن...
mno_evil_war_tut_continue|اكمل....
menu_alternate_training_fight|ستواجه {reg5} من الخصوم. هل أنت مستعد؟
mno_training_continue|ابدأ التدريب...
mno_alternate_training_retry|حاول مرة أخرى...
mno_alternate_training_finish|غادر الساحة...
menu_custom_battle_choose_faction1|^^^^^^^^^^اختر صفك وميزتك:
mno_good_equal|فصيل الخير
mno_bad_equal|فصيل الشر
mno_replay_prev|أعد الإعداد السابق
menu_custom_battle_choose_faction2|^^^^^^^^^^اختر فصيل الخير
mno_cb_gondor|غوندور
mno_cb_gondor1|روهان
mno_cb_gondor2|لورثوريت
mno_cb_gondor3|ريفينديل
mno_cb_gondor4|ميركوود
mno_cb_gondor5|الأقزام
mno_cb_gondor6|وادي لبلغة الشعر
mno_cb_gondor7|بيور رينغز
menu_custom_battle_choose_faction3|^^^^^^^^^^اختر فصيل الشر
mno_cb_mordor|موردور
mno_cb_mordor1|إيزينجارد
mno_cb_mordor2|دنلاند
mno_cb_mordor3|الهاردريم
mno_cb_mordor4|الشرقيون
mno_cb_mordor5|موريا
mno_cb_mordor6|غونداباد
mno_cb_mordor7|رون
mno_cb_mordor8|القراصنة
mno_rescue_mission|تسلل إلى مخبأ الساحر تحت غطاء الليل.
mno_next_rescue_scene_door|استمر قدماً!
mno_pick_troops1|اختر الرفقاء للمهمة، تم اختيار {reg0}
menu_pick_troops|من ستأخذ معك في المهمة السرية؟    ^فقط قواتك ورفقاؤك الأكثر رشاقة سيكونون قادرين على مرافقتك.    ^باعتبارك عضو المجموعة صاحب أعلى مهارة في الثقافة البرية، {reg65?ينصحك {s1}:تقرر} أنه يمكنك اصطحاب ما يصل إلى {reg11} من القوات معك.    ^^لقد اخترت حتى الآن {reg0} من الرفقاء.
mno_go_forward|إنهاء اختيار الرفقاء والمتابعة.
menu_burial_mound|تقترب من تل دفن {s1} من {s2}.   هُزم في المعركة على يد قوى {s28}. إنه مكدس بأسلحة أعدائه الساقطين المحززة.
mno_pay_respects|اركع وأدِ واجب الاحترام.
mno_swear_oath|اقسم يمينًا للانتقام!
mno_despoil|دنس الموقع
mno_leave_mound|اترك التل.
menu_burial_mound_respects|تركع وتؤدي واجب الاحترام لـ {s1}، مرددًا صلاة صامتة من أجل رحلة سريعة إلى الحياة الآخرة. لم يبق شيء لفعله هنا.
menu_burial_mound_oath|تقسم بصوت عالٍ يمينًا للانتقام لمقتل {s4}.   ستبحث بلا كلل عن قوى {s3} وتدمرهم.   تحمل الرياح كلماتك بعيدًا ومن يستطيع أن يقول إنها لم تُسمع عبر البحر؟
menu_funeral_pyre_oath|تقسم بصوت عالٍ يمينًا للانتقام لمقتل {s4}.   ستبحث بلا كلل عن قوى {s3} وتدمرهم.   تحمل الرياح كلماتك بعيدًا ومن يستطيع أن يقول إنها لم تُسمع عبر البحر؟
mno_leave_pyre_oath|اترك المحرقة.
menu_burial_mound_despoil|تهدم النصب التذكاري لـ {s1} بيديك وتدنس الحجارة ذاتها باللعنات والترانيم الشريرة والأفعال الشنيعة. يتراجع أتباعك خوفًا من الموتى لكن يبدو أن لديهم احترامًا متجددًا لخبثك.
menu_funeral_pyre|تقترب من البقايا المتفحمة لمحرقة جنازة {s3} من {s2}.   هُزم في المعركة على يد قوى {s28}. هنا، أُحرقت الجثة بشكل احتفالي على يد حراسه الشخصيين.   لم يبق أي شيء ذي قيمة.
mno_leave_pyre|اترك المحرقة.
menu_town_ruins|عندما تقترب، ترى أن {s1} هو {s2}
mno_ruin_menu_0|استكشف المكان.
mno_ruin_leave|ارحل...
menu_death|لقد قُتلت. على الرغم من أن الحرب لا تزال مستعرة، إلا أنك لن تكون جزءًا منها بعد الآن.
menu_animal_ambush|تجد نفسك ورفقاؤك منفصلين عن بقية مجموعتك، عندما فجأة...
menu_animal_ambush_success|يسقط {s2} {reg0?أمامك:أمامك} كالقمح أمام المنجل! سرعان ما يرقد جميع مهاجميك على الأرض، مصابين أو موتى. {s3}
menu_animal_ambush_fail|تعضك الحيوانات وتمزقك {reg0?,: أنت ورفيقك {reg2?s,:,}} لكن لحسن الحظ تمكنت من صدهم. نأمل ألا يهاجموك مرة أخرى.
menu_isengard_flooding|^^^^^@أنت محاط بأعداء قتلى وحلفاء منتصرين، بما في ذلك الإنت؛ يزمجرون ويدوون ويبوقون، حتى تتصدع الحجارة وتتساقط حول برج أورثانك. إنهم مثل عاصفة عاتية، تحطم الأعمدة، وتقذف انهيارات من الصخور أسفل الأعمدة، وتقذف ألواحًا ضخمة من الحجر في الهواء مثل الأوراق... إنه شيء لم تر مثله من قبل.^^ يأتي بريجالاد -- أو كويكبيم، كما تعرفه -- مسرعًا، ويتوقف فقط ليقول، '{playername}! احذر! ابتعد عن البرج -- سنكسر السد قريبًا ونجلب نهر إيزن إلى هذا الوادي، لفترة قصيرة. أعتقد أنك ستجد صعوبة كبيرة في البقاء واقفًا هنا!' بسرعة، تأخذ بنصيحته وتسرع بعيدًا عن أورثانك.^^ حوالي منتصف الليل، يبدأ آيزنغارد بالامتلاء بجداول وبرك سوداء زاحفة. لا يسعك إلا أن ترتعد وأنت ترى الدخان والبخار يتصاعدان في أعمدة عظيمة، ولفيفة كبيرة من البخار ترتفع وتلتف حول البرج، حتى يشبه قمة عالية من السحاب، نارية من الأسفل ومضاءة بضوء القمر من الأعلى. غضب الإنت بطيء، لكنه يمتلك قوة لا تُقاوم...
mno_isengard_continue|استمر
menu_build_your_scene|يمكنك بناء مشهد معركة خاص بك، باستخدام إحدى الفتحات المتوفرة أدناه ووضع تحرير اللعبة (تحتاج إلى تشغيل وضع التحرير في خيارات شاشة إطلاق M&B أولاً، ثم الضغط على Ctrl+E داخل مشهد للوصول إلى وضع التحرير). يمكنك بعد ذلك إرسال المشاهد التي بنيتها (أي ملفات sco من مجلد TLD/SceneObj) إلى فريق تطوير TLD، وإذا كان مشهدك جيدًا، يمكن أن يظهر في الإصدارات اللاحقة كإحدى ساحات القتال العشوائية!^^ حاول تحديد المنطقة على الخريطة التي تريد ظهور مشهدك فيها.^ بعض التلميحات: تجنب المياه العميقة والجبال شديدة الانحدار والأماكن الأخرى غير القابلة للعبور، إلا إذا كنت صانع مشاهد متمرسًا وتعرف كيفية منع قوات الذكاء الاصطناعي من السير حيث لا تريدهم، وجعل شبكة الذكاء الاصطناعي في أماكن أخرى.^ (الإدخالات #0-1 للمهاجمين، #4 للمدافعين، لا تلمس #5-8)
mno_back_3dot|رجوع...
mno_back|عد للخلف
mno_next|التالي...
mno_previous|السابق...
