itm_horse_meat|لحم حصان
itm_khand_helmet_e1|خوذة كهاند محجبة
itm_khand_helmet_e2|خوذة كهاند مع بريد للرقبة
itm_khand_helmet_e3|خوذة كهاند
itm_khand_helmet_e4|خوذة كهاند محجبة
itm_khand_helmet_f1|خوذة كهاند محجبة
itm_khand_helmet_mask1|قناع كهاند
itm_khand_helmet_mask2|قناع كهاند
itm_khand_light|نقبة كهاند
itm_khand_foot_lam_a|درع كهاند
itm_khand_foot_lam_b|درع كهاند
itm_khand_foot_lam_c|درع كهاند
itm_khand_heavy_lam|حراشف كهاند الثقيلة
itm_khand_light_lam|حراشف كهاند الخفيفة
itm_khand_med_lam_b|حراشف كهاند المتوسطة
itm_khand_med_lam_c|حراشف كهاند المتوسطة
itm_khand_med_lam_d|حراشف كهاند المتوسطة
itm_khand_noble_lam|درع كهاند النبيل
itm_variag_greaves|ساقان فارياغ
itm_khand_axe_great|فأس كهاند العظيم
itm_khand_axe_winged|فأس كهاند المجنح
itm_khand_halberd|مطرد كهاند
itm_khand_trident|رمح كهاند ثلاثي الشعب
itm_khand_voulge|فأس كهاند المزدوجة
itm_khand_mace1|صولجان كهاند
itm_khand_mace2|صولجان كهاند
itm_khand_mace_spiked|صولجان كهاند الشائك
itm_khand_rammace|صولجان كهاند الكبشي
itm_khand_pitsword|سيف مقاتل الحفرة
itm_khand_tulwar|سيف كهاند التولوار
itm_khand_2h_tulwar|سيف كهاند التولوار بيدين
itm_khand_lance|رمح كهاند
itm_easterling_round_horseman|درع شرقي دائري للفارس
itm_variag_gladiator_shield|درع مصارع فارياغ
itm_easterling_hawk_shield|درع شرقي للصقر
itm_rhun_bull1_shield|درع رون
itm_rhun_bull2_shield|درع رون
itm_rhun_bull3_shield|درع رون
itm_furry_boots|أحذية من الفرو
itm_rhun_armor_a|ملابس رون الخفيفة للمعركة
itm_rhun_armor_b|ملابس رون الخفيفة للمعركة
itm_rhun_armor_d|ملابس رون الخفيفة للمعركة
itm_rhun_armor_g|ملابس رون الثقيلة للمعركة
itm_rhun_armor_h|ملابس رون الثقيلة للمعركة
itm_rhun_armor_j|ملابس رون المتوسطة للمعركة
itm_rhun_armor_m|ملابس رون المتوسطة للمعركة
itm_rhun_armor_n|ملابس رون المتوسطة للمعركة
itm_rhun_armor_o|ملابس رون المتوسطة للمعركة
itm_rhun_armor_p|درع رون النبيل
itm_rhun_armor_k|درع رون النبيل
itm_rhun_helm_a|خوذة رون الشائكة
itm_rhun_helm_b|خوذة رون شائكة مع بريد
itm_rhun_helm_c|خوذة رون الحشدية
itm_rhun_helm_e|خوذة رون الحشدية ذات القرون
itm_rhun_helm_g|خوذة رون قرنية مستديرة
itm_rhun_helm_h|خوذة رون قرنية مستديرة
itm_rhun_helm_i|خوذة رون مستديرة
itm_rhun_helm_j|خوذة رون مستديرة مقنعة
itm_rhun_helm_k|خوذة رون الجلدية
itm_rhun_helm_l|خوذة رون الجلدية
itm_rhun_helm_m|خوذة رون الجلدية
itm_rhun_helm_n|خوذة زعيم رون
itm_rhun_helm_o|خوذة زعيم رون
itm_rhun_greataxe|فأس رون العظيم
itm_rhun_battleaxe|فأس رون المعركة
itm_rhun_falchion|سيف متوحش عريض
itm_rhun_glaive|رمح رون المعقوف
itm_rhun_greatfalchion|سيف متوحش عريض كبير
itm_rhun_greatsword|سيف متوحش كبير
itm_rhun_shortsword|سيف متوحش قصير

itm_rhun_sword|سيف متوحش
itm_rhun_shield|درع رون الطائرة الورقية
itm_dale_light_a|سترة ميليشيا ديل

itm_dale_light_b|حراشف شمالية خفيفة

itm_dale_med_a|حراشف شمالية ثقيلة

itm_dale_med_b|درع ديل الجلدي

itm_dale_med_c|جلد فوق بريد من ديل

itm_dale_med_d|درع ديل الحرشفي

itm_dale_heavy_a|حراشف فوق بريد من ديل

itm_dale_heavy_b|معطف ديل المصفح

itm_dale_heavy_c|بريد روفانيون

itm_dale_armor_l|طوق ديل النبيل العنقي

itm_dale_helmet_a|خوذة مشاة ديل الخفيفة

itm_dale_helmet_b|خوذة رامي ديل الخفيفة

itm_dale_helmet_c|خوذة مشاة ديل

itm_dale_helmet_d|خوذة رامي ديل

itm_dale_helmet_e|خوذة باردينغ

itm_dale_helmet_f|خوذة باردينغ

itm_dale_sword|سيف ديل القصير
itm_dale_sword_long|سيف ديل الطويل
itm_dale_sword_broad|سيف مشاة ديل
itm_dale_pike|رمح ديل
itm_dale_billhook|منجل ديل المعقوف
itm_dale_shield_a|درع ديل البرجي

itm_dale_shield_b|درع ديل البرجي

itm_dale_shield_c|درع ديل الدائري
itm_dale_shield_d|درع ديل
itm_umb_armor_a|درع القرصان الجلدي

itm_umb_armor_b|درع مغير القرصان

itm_umb_armor_c|درع القرصان المبطن

itm_umb_armor_d|درع مغير القرصان المبطن

itm_umb_armor_e|جوشن القرصان

itm_umb_armor_f|درع مغير القرصان الثقيل

itm_umb_helm_a|خوذة القرصان الصدفية

itm_umb_helm_b|خوذة القرصان الصدفية

itm_umb_helm_c|خوذة ميليشيا القرصان

itm_umb_helm_d|خوذة مغير القرصان

itm_umb_helm_e|خوذة القرصان الرفيعة

itm_umb_helm_f|خوذة القرصان الرفيعة

itm_umb_hood|قلنسوة سوداء

itm_corsair_boots|أحذية قرصان

itm_umb_shield_a|درع قرصان

itm_umb_shield_b|ترس قرصان

itm_umb_shield_c|ترس قرصان

itm_umb_shield_d|ترس قرصان

itm_umbar_spear|رمح أمبار القصير

itm_umbar_cutlass|سيف أمبار القصير العريض

itm_kraken|سيف الكراكن العريض

itm_umbar_rapier|سيف أمبار للصعود

itm_corsair_harpoon|حربة قرصان
itm_corsair_sword|إيكيت قرصان

itm_corsair_throwing_dagger|خناجر ملتوية للرمي
itm_umbar_pike|رمح قرصان ثلاثي الشعب
itm_woodman_tunic|سترة الحطاب

itm_woodman_scout|رداء كشاف الحطاب
itm_woodman_padded|درع الحطاب المبطن
itm_beorn_tunic|سترة بيورنينغ
itm_beorn_padded|درع بيورنينغ المبطن
itm_beorn_heavy|درع بيورنينغ الثقيل
itm_beorn_berserk|عدة برزيركر بيورنينغ
itm_beorn_chief|سترة زعيم بيورنينغ

itm_beorn_helmet|قبعة الدب الجمجمية
itm_beorn_shield|درع الشماليين
itm_beorn_axe|فأس بيورنينغ
itm_beorn_staff|عصا الحطاب
itm_beorn_battle_axe|فأس حرب بيورنينغ
itm_dwarf_shield_a|درع قزمي زاوي

itm_dwarf_shield_b|درع قزمي برجي

itm_dwarf_shield_c|درع قزمي قتالي

itm_dwarf_shield_d|درع قزمي دائري

itm_north_round_shield|درع شمالي دائري

itm_free_dwarf_shield_g|درع قزمي

itm_free_dwarf_shield_i|درع قزمي

itm_free_dwarf_shield_j|درع قزمي

itm_free_dwarf_shield_k|درع قزمي

itm_woodmen_heavy|درع ميركوود

itm_dwarf_sword_a|سيف قزم

itm_dwarf_sword_b|سيف بيورنينغ القصير
itm_dwarf_sword_c|سيف قزم
itm_dwarf_sword_d|سيف قزم

itm_dwarf_battle_axe|فأس قزمي قتالي

itm_dwarf_great_axe|فأس قزمي عظيم

itm_dwarf_great_mattock|معول قزمي عظيم

itm_dwarf_great_pick|منقار قزمي عظيم

itm_dwarf_war_pick|منقار قزمي حربي

itm_dwarf_mattock|معول قزمي

itm_dwarf_hand_axe|فأس قزمي قصير

itm_dwarf_throwing_axe|فأس قزمي للرمي

itm_dwarf_spear|رمح قزمي

itm_dwarf_spear_b|مطرد قزمي

itm_dwarf_spear_c|فأس قزمي طويلة

itm_dwarf_helm_coif|قلنسوة قزمية بريدية

itm_dwarf_nasal_b|خوذة قزمية أنفية

itm_north_skullcap|قبعة شمالية جمجمية

itm_dwarf_helm_kettle|خوذة قزمية كتل

itm_dwarf_helm_fris|خوذة قزمية فريزية

itm_north_leather_skullcap|قبعة شمالية جلدية خفيفة

itm_dwarf_hood|قلنسوة قزمية

itm_dwarf_nasal|خوذة قزمية أنفية علوية

itm_north_nasal_helm|خوذة شمالية أنفية

itm_dwarf_helm_p|خوذة ملك الأقزام

itm_dwarf_miner|خوذة قزمية خفيفة لعامل المنجم

itm_north_chieftain|خوذة زعيم شمالي

itm_dwarf_helm_round|خوذة قزمية مستديرة

itm_dwarf_helm_sallet|خوذة قزمية ساليت

itm_dwarf_armor_d|معطف حراشف تلال الحديد
itm_dwarf_armor_a|معطف إريبور فوق البريد

itm_leather_dwarf_armor|معطف قزمي مبطن

itm_dwarf_armor_b|سترة إريبور فوق البريد

itm_leather_dwarf_armor_b|سترة قزمية مبطن

itm_dwarf_armor_c|بريد إريبور الحرشفي

itm_dwarf_vest|سترة قزمية

itm_dwarf_vest_b|بريد تلال الحديد
itm_dwarf_pad_boots|أحذية قزمية مبطن
itm_dwarf_chain_boots|أحذية قزمية بريدية
itm_dwarf_scale_boots|أحذية قزمية حرشفية
itm_good_mace|صولجان
itm_far_harad_shield_paint|درع من الخوص
itm_nazgulrobe|رداء نازغول

itm_werewolf|مستذئب
itm_mordor_banner|راية موردور
itm_isengard_banner|راية آيزنغارد
itm_woodelf_banner|راية ميركوود
itm_lorien_banner|راية لوثلورين
itm_imladris_banner|راية إملادريس
itm_gondor_lance_banner|رمح غوندور مع راية
itm_amroth_lance_banner|رمح دول امروث مع راية
itm_rohan_lance_banner_sun|رمح روهان مع راية الشمس
itm_rohan_lance_banner_horse|رمح روهان مع راية الحصان

itm_ent_water|وعاء غريب من الماء
itm_map|خرائط الأرض الوسطى
itm_athelas_reward|نبات أثيلاس
itm_phial_reward|نور غالادرييل
itm_scroll_reward|في سقوط غوندولين
itm_hammer_reward|مطرقة الحداد
itm_khand_knife_reward|سكين كهاند القرباني
itm_angmar_whip_reward|سوط السيد
itm_horn_gondor_reward|بوق غوندور
itm_harad_totem_reward|طوطم هاراد
itm_elven_amulet_reward|قلادة جان
itm_torque_reward|طوق شرير
itm_orc_brew|جعة عفريت
itm_rohan_saddle|سرج ثينغل
itm_mearas_reward|فحل ميراس

itm_shield_of_tuor|درع تور
itm_riv_armor_reward|درع ريفيندل المزخرف
itm_westernesse1h_reward|سيف ويسترنيس
itm_westernesse2h_reward|سيف الأفعى العظيمة
itm_mirkwood_sword_reward|سيف غرينوود الأثري
itm_nazgul_sword|سيف نازغول
itm_cooking_cauldron|مرجل طبخ
itm_eorl_cavalry_sword|سيف إيورل
itm_garlic_reward|ثوم
itm_silmarillion_reward|سيلماريليون
itm_herbarium_reward|معشبة الأرض الوسطى
itm_book_of_moria|كتاب مازاربول
itm_ring_a_reward|تولكاريسيل
itm_ring_b_reward|فينواريسيل
itm_dale_bow_reward|قوس بارد
itm_explosive_reward|لغم آيزنغارد
itm_corsair_trident|رمح ثالوث غضب البحر
itm_crebain_reward|كريبان آيزنغارد
itm_miruvor_reward|قارورة ميروفور
itm_wheeled_cage|قفص ضخم بعجلات
itm_orc_throwing_axes_reward|فؤوس غونداباد الطائرة
itm_corsair_throwing_dagger_reward|خناجر مسمومة للرمي
itm_dwarf_shield_reward|درع خيليد-زارام
itm_dwarf_great_axe_reward|فأس قزمي حاد
itm_isen_uruk_heavy_reward|درع جنرال أوروك-هاي
itm_lorien_bow_reward|قوس نولدوري
itm_lorien_sword_reward|سيف غالادريم
itm_dale_sword_reward|سيف ديل الملكي

itm_dale_armor_reward|بريد نبلاء ديل
itm_leather_gloves_reward|قفازات صيد
itm_beorn_shield_reward|درع بيورنينغ
itm_beorn_axe_reward|هراوة الدب
itm_moria_arrow_reward|سهام موريا المسمومة
itm_khamul_helm|خوذة خامول
itm_gandstaff|عصا الساحر
itm_sarustaff|عصا الساحر
itm_rohan_armor_th|درع روهان الملكي
itm_prisoner_coll_chain|سلاسل الأسير
itm_witchking_helmet|خوذة خبيثة
itm_lorien_royal_armor|درع لورين الملكي
itm_feet_chains|سلاسل للأقدام
itm_feet_chains_dwarf|سلاسل للأقدام
itm_spider|عنكبوت
itm_bear|دب
itm_wolf|ذئب
itm_defiled_armor_gondor|معطف قائد غوندور مدنس
itm_defiled_armor_rohan|جوشن روهان مدنس
itm_defiled_armor_dale|درع ديل النبيل مدنس
itm_beorn_axe_no_attack|فأس بيورنينغ
