trp_tutorial_maceman|حامل صولجان
trp_c5_harondor_serpent_knight|فارس الأفعى الذهبية
trp_c5_harondor_serpent_knight_pl|فرسان الأفعى الذهبية
trp_ac3_harondor_skirmisher|مناوش هاروندور
trp_ac3_harondor_skirmisher_pl|مناوشو هاروندور
trp_ac4_harondor_horse_archer|رامي فرسان هاروندور
trp_ac4_harondor_horse_archer_pl|رماة فرسان هاروندور
trp_ac5_harondor_black_snake|رامي فرسان الأفعى السوداء
trp_ac5_harondor_black_snake_pl|رماة فرسان الأفعى السوداء
trp_i2_far_harad_tribesman|من قبيلة ال فار هاراد
trp_i2_far_harad_tribesman_pl|رجال قبيلة هاراد البعيدة
trp_i4_far_harad_champion|بطل هاراد البعيدة
trp_i4_far_harad_champion_pl|أبطال هاراد البعيدة
trp_i5_far_harad_panther_guard|حارس النمر
trp_i5_far_harad_panther_guard_pl|حراس النمر
trp_i1_dun_wildman|رجل دونيش متوحش
trp_i1_dun_wildman_pl|رجال دونيش متوحشون
trp_i2_dun_warrior|محارب دونيش
trp_i2_dun_warrior_pl|محاربون دونيش
trp_i3_dun_pikeman|حامل مطرد دونيش
trp_i3_dun_pikeman_pl|حاملو مطرد دونيش
trp_i4_dun_vet_pikeman|حامل مطرد دونيش مخضرم
trp_i4_dun_vet_pikeman_pl|حاملو مطرد دونيش مخضرمون
trp_ac4_dun_crebain_rider|فارس كريبان دونيش
trp_ac4_dun_crebain_rider_pl|فرسان كريبان دونيش
trp_i3_dun_vet_warrior|محارب دونيش مخضرم
trp_i3_dun_vet_warrior_pl|محاربون دونيش مخضرمون
trp_i4_dun_wolf_warrior|محارب الذئب الدونيش
trp_i4_dun_wolf_warrior_pl|محاربو الذئب الدونيش
trp_i5_dun_wolf_guard|حارس الذئب الدونيش
trp_i5_dun_wolf_guard_pl|حراس الذئب الدونيش
trp_ac5_dun_raven_rider|فارس الغراب الدونيش
trp_ac5_dun_raven_rider_pl|فرسان الغراب الدونيش
trp_i1_khand_bondsman|عبد فارياغ
trp_i1_khand_bondsman_pl|عبيد فارياغ
trp_i2_khand_pit_dog|محارب كهاند
trp_i2_khand_pit_dog_pl|محاربو كهاند
trp_i3_khand_warrior|حامل فأس فارياغ
trp_i3_khand_warrior_pl|حاملو فؤوس فارياغ
trp_i4_khand_vet_warrior|حامل فأس فارياغ مخضرم
trp_i4_khand_vet_warrior_pl|حاملو فؤوس فارياغ مخضرمون
trp_i5_khand_war_master|سيد الفأس الفارياغي
trp_i5_khand_war_master_pl|سادة الفأس الفارياغيون
trp_c2_khand_pony_rider|فارس مهر فارياغ
trp_c2_khand_pony_rider_pl|فرسان مهر فارياغ
trp_c3_khand_horseman|فارس فارياغ
trp_c3_khand_horseman_pl|فرسان فارياغ
trp_c4_khand_heavy_horseman|فارس فارياغ الثقيل
trp_c4_khand_heavy_horseman_pl|فرسان فارياغ الثقيلون
trp_c5_khand_kataphrakt|كاتافراكت فارياغ
trp_c5_khand_kataphrakt_pl|كاتافراكت فارياغ
trp_c5_khand_lance_kataphrakt|كاتافراكت رمح فارياغ
trp_c5_khand_lance_kataphrakt_pl|كاتافراكت رمح فارياغ
trp_i4_khand_halberdier|دوّار الشفرة في كهاند
trp_i4_khand_halberdier_pl|دوّارو الشفرة في كهاند
trp_i5_khand_halberd_master|سيد المطرد في كهاند
trp_i5_khand_halberd_master_pl|سادة المطرد في كهاند
; trp_i3_khand_pitfighter|Khand Pit Fighter
; trp_i3_khand_pitfighter_pl|Khand Pit Fighters
trp_i4_khand_pit_champion|مقاتل حفرة فارياغ
trp_i4_khand_pit_champion_pl|مقاتلو حفرة فارياغ
trp_i5_khand_pit_master|برزيركر فارياغ
trp_i5_khand_pit_master_pl|برزيركرو فارياغ
trp_ac3_khand_skirmisher|مناوش فارياغ
trp_ac3_khand_skirmisher_pl|مناوشو فارياغ
trp_ac4_khand_vet_skirmisher|مناوش فارياغ مخضرم
trp_ac4_khand_vet_skirmisher_pl|مناوشو فارياغ مخضرمون
trp_ac5_khand_heavy_skirmisher|مناوش فارياغ الثقيل
trp_ac5_khand_heavy_skirmisher_pl|مناوشو فارياغ الثقيلون
trp_i1_corsair_youth|بحار أمبار
trp_i1_corsair_youth_pl|بحارة أمبار
trp_i2_corsair_warrior|محارب أمبار
trp_i2_corsair_warrior_pl|محاربو أمبار
trp_i3_corsair_spearman|حامل رمح أمبار
trp_i3_corsair_spearman_pl|حاملو رمح أمبار
trp_i4_corsair_raider|مغير قرصان
trp_i4_corsair_raider_pl|مغيرون قراصنة
trp_i5_corsair_night_raider|مغير قرصان ليلي
trp_i5_corsair_night_raider_pl|مغيرون قراصنة ليليون
trp_a2_corsair_marine|مشاة بحرية أمبار
trp_a2_corsair_marine_pl|مشاة بحرية أمبار
trp_a3_corsair_marksman|رامي متميز من أمبار
trp_a3_corsair_marksman_pl|رماة متميزون من أمبار
trp_a4_corsair_veteran_marksman|رامي متميز من أمبار مخضرم
trp_a4_corsair_veteran_marksman_pl|رماة متميزون من أمبار مخضرمون
trp_a5_corsair_master_marksman|رامي قرصان رئيسي
trp_a5_corsair_master_marksman_pl|رماة قراصنة رئيسيون
trp_i3_corsair_swordsman|سياف أمبار
trp_i3_corsair_swordsman_pl|سيافو أمبار
trp_i4_corsair_veteran_swordsman|سياف أمبار مخضرم
trp_i4_corsair_veteran_swordsman_pl|سيافو أمبار مخضرمون
trp_i5_corsair_master_swordsman|سيد السيف القرصان
trp_i5_corsair_master_swordsman_pl|سادة السيف القراصنة
trp_a4_corsair_assassin|قاتل قرصان
trp_a4_corsair_assassin_pl|قتلة قراصنة
trp_a5_corsair_master_assassin|قـاتل قرصان
trp_a5_corsair_master_assassin_pl|قتلة قراصنة
trp_i4_corsair_veteran_spearman|حامل رمح أمبار مخضرم
trp_i4_corsair_veteran_spearman_pl|حاملو رمح أمبار مخضرمون
trp_i5_corsair_master_spearman|سيد الرمح في أمبار
trp_i5_corsair_master_spearman_pl|سادة الرمح في أمبار
trp_i5_corsair_master_pikeman|سيد المطرد في أمبار
trp_i5_corsair_master_pikeman_pl|سادة المطرد في أمبار
trp_i1_isen_orc_snaga|سناغا عفريت آيزنغارد
trp_i1_isen_orc_snaga_pl|سناغات عفاريت آيزنغارد
trp_i2_isen_orc|عفريت آيزنغارد
trp_i2_isen_orc_pl|عفاريت آيزنغارد
trp_i3_isen_large_orc|عفريت آيزنغارد كبير
trp_i3_isen_large_orc_pl|عفاريت آيزنغارد كبار
trp_i4_isen_fell_orc|عفريت آيزنغارد شرس
trp_i4_isen_fell_orc_pl|عفاريت آيزنغارد أشراس
trp_i3_isen_large_orc_despoiler|منهب عفريت كبير
trp_i3_isen_large_orc_despoiler_pl|منهبون عفاريت كبار
trp_i4_isen_fell_orc_despoiler|منهب عفريت شرس
trp_i4_isen_fell_orc_despoiler_pl|منهبون عفاريت أشراس
trp_ac2_isen_wolf_rider|راكب ذئب آيزنغارد
trp_ac2_isen_wolf_rider_pl|راكبو ذئاب آيزنغارد
trp_ac3_isen_warg_rider|راكب ورغ آيزنغارد
trp_ac3_isen_warg_rider_pl|راكبو ورغ آيزنغارد
trp_ac4_isen_white_hand_rider|راكب اليد البيضاء
trp_ac4_isen_white_hand_rider_pl|ركاب اليد البيضاء
trp_warg_ghost_1b|ورغ
trp_warg_ghost_1b_pl|ورغز
trp_warg_ghost_1c|ورغ
trp_warg_ghost_1c_pl|ورغز
trp_warg_ghost_1d|ورغ
trp_warg_ghost_1d_pl|ورغز
trp_warg_ghost_a1b|ورغ
trp_warg_ghost_a1b_pl|ورغز
trp_warg_ghost_a1c|ورغ مدرع
trp_warg_ghost_a1c_pl|ورغز مدرعة
trp_warg_ghost_a2b|ورغ مدرع
trp_warg_ghost_a2b_pl|ورغز مدرعة
trp_warg_ghost_a2c|ورغ مدرع
trp_warg_ghost_a2c_pl|ورغز مدرعة
trp_warg_ghost_a3a|ورغ مدرع
trp_warg_ghost_a3a_pl|ورغز مدرعة
trp_warg_ghost_h|ورغ ضخم
trp_warg_ghost_h_pl|ورغز ضخمة
trp_a2_isen_uruk_tracker|متعقب أوروك-هاي
trp_a2_isen_uruk_tracker_pl|متعقبو أوروك-هاي
trp_a3_isen_large_uruk_tracker|متعقب أوروك-هاي كبير
trp_a3_isen_large_uruk_tracker_pl|متعقبو أوروك-هاي كبار
trp_a4_isen_fighting_uruk_tracker|متعقب أوروك-هاي مقاتل
trp_a4_isen_fighting_uruk_tracker_pl|متعقبو أوروك-هاي مقاتلون
trp_i6_isen_uruk_berserker|برزيركر أوروك-هاي مقاتل
trp_i6_isen_uruk_berserker_pl|برزيركرو أوروك-هاي مقاتلون
trp_i1_isen_uruk_snaga|مولود أوروك-هاي جديد
trp_i1_isen_uruk_snaga_pl|مواليد أوروك-هاي جدد
trp_i2_isen_uruk|أوروك-هاي آيزنغارد
trp_i2_isen_uruk_pl|أوروك-هاي آيزنغارد
trp_i3_isen_large_uruk|أوروك-هاي آيزنغارد كبير
trp_i3_isen_large_uruk_pl|أوروك-هاي آيزنغارد كبار
trp_i4_isen_fighting_uruk_warrior|محارب أوروك-هاي مقاتل
trp_i4_isen_fighting_uruk_warrior_pl|محاربو أوروك-هاي مقاتلون
trp_i5_isen_fighting_uruk_champion|بطل أوروك-هاي مقاتل
trp_i5_isen_fighting_uruk_champion_pl|أبطال أوروك-هاي مقاتلون
trp_i3_isen_uruk_pikeman|حامل مطرد أوروك-هاي
trp_i3_isen_uruk_pikeman_pl|حاملو مطرد أوروك-هاي
trp_i4_isen_fighting_uruk_pikeman|حامل مطرد أوروك-هاي مقاتل
trp_i4_isen_fighting_uruk_pikeman_pl|حاملو مطرد أوروك-هاي مقاتلون
trp_i5_isen_uruk_standard_bearer|حامل راية أوروك-هاي
trp_i5_isen_uruk_standard_bearer_pl|حاملو راية أوروك-هاي
trp_i1_mordor_uruk_snaga|سناغا أوروك موردور
trp_i1_mordor_uruk_snaga_pl|سناغات أوروك موردور
trp_i2_mordor_uruk|أوروك موردور
trp_i2_mordor_uruk_pl|أوروك موردور
trp_i3_mordor_large_uruk|أوروك موردور كبير
trp_i3_mordor_large_uruk_pl|أوروك موردور كبار
trp_i4_mordor_fell_uruk|أوروك موردور شرس
trp_i4_mordor_fell_uruk_pl|أوروك موردور أشراس
trp_i3_mordor_uruk_slayer|قاتل أوروك موردور
trp_i3_mordor_uruk_slayer_pl|قتلة أوروك موردور
trp_i4_mordor_fell_uruk_slayer|قاتل أوروك موردور شرس
trp_i4_mordor_fell_uruk_slayer_pl|قتلة أوروك موردور أشراس
trp_i5_mordor_black_uruk|أوروك باراد-دور الأسود
trp_i5_mordor_black_uruk_pl|أوروك باراد-دور السود
trp_i5_mordor_uruk_standard_bearer|حامل راية موردور
trp_i5_mordor_uruk_standard_bearer_pl|حاملو راية موردور
trp_troll_of_moria|قزم كهوف
trp_troll_of_moria_pl|قزمة كهوف
trp_armoured_troll|قزم مدرع
trp_armoured_troll_pl|قزمة مدرعة
trp_olog_hai|أولوغ-هاي موردور
trp_olog_hai_pl|أولوغ-هاي موردور
trp_ent_old|إنت
trp_ent_old_pl|إنت
trp_i1_guldur_orc_snaga|سناغا عفريت غولدور
trp_i1_guldur_orc_snaga_pl|سناغات عفاريت غولدور
trp_a2_guldur_orc_tracker|متعقب عفريت غولدور
trp_a2_guldur_orc_tracker_pl|متعقبو عفاريت غولدور
trp_i1_mordor_orc_snaga|سناغا عفريت موردور
trp_i1_mordor_orc_snaga_pl|سناغات عفاريت موردور
trp_i2_mordor_orc|عفريت موردور
trp_i2_mordor_orc_pl|عفاريت موردور
trp_i3_mordor_large_orc|عفريت موردور كبير
trp_i3_mordor_large_orc_pl|عفاريت موردور كبار
trp_i4_mordor_fell_orc|عفريت موردور شرس
trp_i4_mordor_fell_orc_pl|عفاريت موردور أشراس
trp_c3_mordor_warg_rider|راكب ورغ غورغوروث
trp_c3_mordor_warg_rider_pl|راكبو ورغ غورغوروث
trp_c4_mordor_great_warg_rider|راكب ورغ أودون العظيم
trp_c4_mordor_great_warg_rider_pl|راكبو ورغ أودون العظام
trp_i2_mordor_morgul_orc|عفريت مورغول
trp_i2_mordor_morgul_orc_pl|عفاريت مورغول
trp_i4_mordor_fell_morgul_orc|عفريت مورغول شرس
trp_i4_mordor_fell_morgul_orc_pl|عفاريت مورغول أشراس
trp_a3_guldur_large_orc_tracker|متعقب عفريت غولدور كبير
trp_a3_guldur_large_orc_tracker_pl|متعقب عفريت غولدور كبير
trp_a4_guldur_fell_orc_tracker|متعقب عفريت غولدور شرس
trp_a4_guldur_fell_orc_tracker_pl|متعقبو عفاريت غولدور أشراس
trp_a2_mordor_orc_archer|رامي عفريت موردور
trp_a2_mordor_orc_archer_pl|رماة عفاريت موردور
trp_a3_mordor_large_orc_archer|رامي عفريت موردور كبير
trp_a3_mordor_large_orc_archer_pl|رماة عفاريت موردور كبار
trp_a4_mordor_fell_orc_archer|رامي عفريت موردور شرس
trp_a4_mordor_fell_orc_archer_pl|رماة عفاريت موردور أشراس
trp_c3_moria_wolf_rider|راكب ذئب موريا
trp_c3_moria_wolf_rider_pl|راكبو ذئاب موريا
trp_c4_moria_warg_rider|راكب ورغ موريا
trp_c4_moria_warg_rider_pl|راكبو ورغ موريا
trp_c5_moria_clan_rider|راكب عشيرة بولغ
trp_c5_moria_clan_rider_pl|ركاب عشيرة بولغ
trp_i1_moria_snaga|سناغا موريا
trp_i1_moria_snaga_pl|سناغات موريا
trp_i2_moria_goblin|عفريت موريا
trp_i2_moria_goblin_pl|عفاريت موريا
trp_i3_moria_large_goblin|عفريت موريا كبير
trp_i3_moria_large_goblin_pl|عفاريت موريا كبار
trp_i4_moria_fell_goblin|عفريت موريا شرس
trp_i4_moria_fell_goblin_pl|عفاريت موريا أشراس
trp_a2_moria_goblin_archer|رامي عفريت موريا
trp_a2_moria_goblin_archer_pl|رماة عفاريت موريا
trp_a3_moria_large_goblin_archer|رامي عفريت موريا كبير
trp_a3_moria_large_goblin_archer_pl|رماة عفاريت موريا كبار
; trp_a4_moria_fell_goblin_archer|Fell Goblin Archer of Moria
; trp_a4_moria_fell_goblin_archer_pl|Fell Goblin Archers of Moria
trp_i1_gunda_goblin|عفريت غونداباد
trp_i1_gunda_goblin_pl|عفاريت غونداباد
trp_i2_gunda_orc|عفريت غونداباد
trp_i2_gunda_orc_pl|عفاريت غونداباد
trp_i3_gunda_orc_fighter|مقاتل عفريت غونداباد
trp_i3_gunda_orc_fighter_pl|مقاتلو عفاريت غونداباد
trp_i4_gunda_orc_warrior|محارب عفريت غونداباد
trp_i4_gunda_orc_warrior_pl|محاربو عفاريت غونداباد
; trp_i5_gunda_orc_berserker|Gundabad Orc Berserker
; trp_i5_gunda_orc_berserker_pl|Gundabad Orc Berserkers
trp_ca4_gunda_skirmisher|مناوش غونداباد
trp_ca4_gunda_skirmisher_pl|مناوشو غونداباد
trp_ca5_gunda_clan_skirmisher|مناوش عشيرة العفاريت الشمالية
trp_ca5_gunda_clan_skirmisher_pl|مناوشو عشيرة العفاريت الشمالية
trp_c3_gunda_goblin_rider|راكب عفريت غونداباد
trp_c3_gunda_goblin_rider_pl|ركاب عفاريت غونداباد
trp_c4_gunda_warg_rider|راكب ورغ غونداباد
trp_c4_gunda_warg_rider_pl|راكبو ورغ غونداباد
trp_c5_gunda_clan_rider|راكب عشيرة العفاريت الشمالية
trp_c5_gunda_clan_rider_pl|ركاب عشيرة العفاريت الشمالية
; trp_i5_gunda_orc_champion|Gundabad Orc Champion
; trp_i5_gunda_orc_champion_pl|Gundabad Orc Champions
trp_mountain_goblin2|عفريت جبلي
trp_mountain_goblin2_pl|عفاريت جبلية
trp_tribal_orc2|عفريت قبلي
trp_tribal_orc2_pl|قبيلة العفاريت
; trp_i5_gunda_orc_champion2|Gundabad Orc Champion
; trp_i5_gunda_orc_champion2_pl|Gundabad Orc Champions
trp_i2_mordor_num_renegade|منشق نومينوري أسود
trp_i2_mordor_num_renegade_pl|منشقون نومينوريون سود
trp_i3_mordor_num_warrior|محارب نومينوري أسود
trp_i3_mordor_num_warrior_pl|محاربون نومينوريون سود
trp_i4_mordor_num_vet_warrior|محارب نومينوري أسود مخضرم
trp_i4_mordor_num_vet_warrior_pl|محاربون نومينوريون سود مخضرمون
trp_i5_mordor_num_champion|بطل نومينوري أسود
trp_i5_mordor_num_champion_pl|أبطال نومينوريون سود
trp_i5_mordor_num_assassin|قاتل نومينوري أسود
trp_i5_mordor_num_assassin_pl|قتلة نومينوريون سود
trp_c4_mordor_num_horseman|فارس نومينوري أسود
trp_c4_mordor_num_horseman_pl|فرسان نومينوريون سود
trp_c5_mordor_num_knight|سيد خيل نومينوري أسود
trp_c5_mordor_num_knight_pl|سادة خيل نومينوريون سود
; trp_greenwood_captain|Greenwood Captain
; trp_greenwood_captain_pl|Greenwood Captains
; trp_lorien_captain|Lothlorien Captain
; trp_lorien_captain_pl|Lothlorien Captains
; trp_riv_captain|Rivendell Elf Lord
; trp_riv_captain_pl|Rivendell Elf Lords
; trp_arnor_captain|Captain of Arnor
; trp_arnor_captain_pl|Captains of Arnor
; trp_arnor_ranger_captain|Ranger Captain of Arnor
; trp_arnor_ranger_captain_pl|Ranger Captains of Arnor
; trp_rohan_captain|Captain of Rohan
; trp_rohan_captain_pl|Captains of Rohan
; trp_beorning_captain|Beorning Chieftain
; trp_beorning_captain_pl|Beorning Chieftains
; trp_woodmen_captain|Woodmen Chieftain
; trp_woodmen_captain_pl|Woodmen Chieftains
; trp_isen_captain|Captain of Isengard
; trp_isen_captain_pl|Captains of Isengard
; trp_isen_tracker_captain|Isengard Tracker Captain
; trp_isen_tracker_captain_pl|Isengard Tracker Captains
trp_mordor_uruk_captain|قبطان أوروك موردور
; trp_mordor_uruk_captain_pl|Mordor Uruk Captains
; trp_mordor_captain|Captain of Mordor
; trp_mordor_captain_pl|Captains of Mordor
trp_umbar_captain|قبطان أمبار
; trp_umbar_captain_pl|Captains of Umbar
; trp_khand_captain|Variag War Chief
; trp_khand_captain_pl|Variag War Chiefs
; trp_rhun_captain|Rhun Chieftain
; trp_rhun_captain_pl|Rhun Chieftains
; trp_moria_captain|Uruk Chieftain of Moria
; trp_moria_captain_pl|Uruk Chieftains of Moria
; trp_dwarf_captain|Dwarf Captain
; trp_dwarf_captain_pl|Dwarf Captains
trp_dale_captain|قبطان ديل
; trp_dale_captain_pl|Captains of Dale
; trp_harad_captain|Haradrim Noble
; trp_harad_captain_pl|Haradrim Nobles
trp_a5_dun_night_wolf2|ذئب الليل الدونيش
trp_a5_dun_night_wolf2_pl|ذئب الليل الدونيش
; trp_dun_captain|Dunnish Hetman
; trp_dun_captain_pl|Dunnish Hetmen
; trp_gunda_captain|Gundabad Chieftain
; trp_gunda_captain_pl|Gundabad Chieftains
trp_gondor_captain|قبطان غوندور
; trp_gondor_captain_pl|Captains of Gondor
trp_pel_captain|قبطان بيلارغير
trp_pel_captain_pl|قباطنة بيلارغير
; trp_amroth_captain|Knight Captain of Dol Amroth
; trp_amroth_captain_pl|Knight Captains of Dol Amroth
trp_lam_captain|قبطان لاميدون
trp_lam_captain_pl|قباطنة لاميدون
trp_loss_captain|قبطان لوسارناخ
trp_loss_captain_pl|قباطنة لوسارناخ
trp_pinnath_captain|قبطان بينات غيلين
trp_pinnath_captain_pl|قباطنة بينات غيلين
; trp_blackroot_captain|Captain of Blackroot Vale
; trp_blackroot_captain_pl|Captains of Blackroot Vale
trp_ithilien_captain|قبطان حراس إثيليان
trp_ithilien_captain_pl|قباطنة حراس إثيليان
trp_brigand|قاطع طريق
trp_brigand_pl|قطاع الطريق
trp_mountain_bandit|قاطع طريق جبلي
trp_mountain_bandit_pl|قطاع طرق الجبال
trp_forest_bandit|قاطع طريق غابوي
trp_forest_bandit_pl|قطاع طرق الغابات
trp_sea_raider|مغير بحري
trp_sea_raider_pl|مغيرون بحريون
trp_steppe_bandit|قاطع طريق السهوب
trp_steppe_bandit_pl|قطاع طرق السهوب
trp_manhunter|صائد رجال
trp_manhunter_pl|صيادو الرجال
trp_kidnapped_girl|فتاة مختطفة
trp_kidnapped_girl_pl|فتيات مختطفات
trp_refugee|لاجئ
trp_refugee_pl|لاجئون
trp_peasant_woman|فلاحة
trp_peasant_woman_pl|فلاحات
trp_caravan_master|رئيس القافلة
trp_caravan_master_pl|رؤساء القوافل
trp_caravan_guard|حارس قافلة
trp_caravan_guard_pl|حراس قافلة
trp_messenger_man|رسول
trp_messenger_man_pl|رسل
trp_messenger_elf|رسول
trp_messenger_elf_pl|رسل
trp_messenger_dwarf|رسول
trp_messenger_dwarf_pl|رسل
trp_messenger_orc|رسول
trp_messenger_orc_pl|رسل
trp_messenger_evil_man|رسول
trp_messenger_evil_man_pl|رسل
trp_town_walker_1|ساكن بلدة
trp_town_walker_2|امرأة بلدة
trp_village_walker_1|قروي
trp_village_walker_2|قروي
trp_spy_walker_1|ساكن بلدة
trp_spy_walker_2|امرأة بلدة
trp_walker_man_gondor_black|ساكن بلدة
trp_walker_man_gondor_white|ساكن بلدة
trp_walker_man_gondor_blue|ساكن بلدة
trp_walker_man_gondor_green|ساكن بلدة
trp_walker_man_rohan_t|ساكن بلدة روهان
trp_walker_man_rohan_d|ساكن بلدة روهان
trp_walker_woman_rohan_t|فتاة روهان
trp_walker_woman_rohan_d|فتاة روهان
trp_walker_woman_gondor_b|امرأة غوندور
trp_walker_woman_gondor_bw|امرأة غوندور
trp_walker_woman_gondor_w|نبيلة غوندور
; trp_mirkwood_walker_1|Greenwood Elf
; trp_mirkwood_walker_2|Greenwood Elf
; trp_lorien_walker_1|Lothlorien Elf
; trp_lorien_walker_2|Lothlorien Elf
trp_dwarf_walker|قزم
; trp_beorn_walker|Peasant Man
trp_beorn_walker_fem|فلاحة
trp_trainer_4|مدرب
trp_trainer_gondor|مدرب
trp_trainer_rohan|مدرب
trp_trainer_dale|مدرب
trp_trainer_elf|مدرب
trp_trainer_beorn|مدرب
trp_trainer_dwarf|مدرب
trp_trainer_mordor|مدرب
trp_trainer_isengard|مدرب
trp_trainer_khand|مدرب
trp_trainer_rhun|مدرب
trp_trainer_harad|مدرب
trp_trainer_umbar|مدرب
trp_ransom_broker_1|سمسار فدية
trp_ransom_broker_2|سمسار فدية
trp_ransom_broker_3|سمسار فدية
trp_ransom_broker_4|سمسار فدية
trp_ransom_broker_5|سمسار فدية
trp_ransom_broker_6|سمسار فدية
trp_ransom_broker_7|سمسار فدية
trp_ransom_broker_8|سمسار فدية
trp_ransom_broker_9|سمسار فدية
trp_ransom_broker_10|سمسار فدية
trp_tavern_traveler_1|مسافر
trp_tavern_traveler_2|مسافر
trp_tavern_traveler_3|مسافر
trp_tavern_traveler_4|مسافر
trp_tavern_traveler_5|مسافر
trp_tavern_traveler_6|مسافر
trp_tavern_traveler_7|مسافر
trp_tavern_traveler_8|مسافر
trp_tavern_traveler_9|مسافر
trp_tavern_traveler_10|مسافر
trp_tavern_minstrel_1|منشد
trp_npc1|مابلونغ
trp_npc2|سيرديل
trp_npc3|أولفاس
trp_npc4|غالميني
trp_npc5|غلورفيندل
trp_npc6|لوفانا
trp_npc7|كيلي غولدفينغر
trp_npc8|فانيول
trp_npc9|غولم
trp_npc10|دورغاش
trp_npc11|أوفتاك
trp_npc12|غورباغ
trp_npc13|لايكيادا
trp_npc14|فولديمير
trp_npc15|بولزوغ
trp_npc16|فارفانغ
trp_npc17|ديمبورن
; trp_knight_6_2|Golasgil
trp_gondor_lord|المضيف دينيثور
trp_gondor_lord_pl|المضيف
trp_rohan_lord|الملك ثيودن
trp_rohan_lord_pl|الملك
trp_isengard_lord|سارومان
trp_isengard_lord_pl|السيد
trp_mordor_lord|فم ساورون
trp_mordor_lord_pl|ساتراب
trp_harad_lord|الزعيم أول-أولكاري
trp_harad_lord_pl|الزعيم
trp_rhun_lord|جارل هيلكاروث
trp_rhun_lord_pl|جارل
trp_khand_lord|شبح كروك ماهور
trp_khand_lord_pl|شبح
trp_umbar_lord|الأميرال تولمير
trp_umbar_lord_pl|أميرال
trp_lorien_lord|السيدة غالادرييل
trp_lorien_lord_pl|السيدة
trp_imladris_lord|اللورد إلروند
trp_imladris_lord_pl|اللورد
trp_woodelf_lord|الملك ثراندويل
trp_woodelf_lord_pl|الملك
trp_moria_lord|السيد بولغ الأصغر
trp_moria_lord_pl|السيد
trp_guldur_lord|السيد فوينور
trp_guldur_lord_pl|السيد
trp_gundabad_lord|السيد بورزا كراول
trp_gundabad_lord_pl|السيد
trp_dale_lord|الملك براند
trp_dale_lord_pl|الملك
trp_dwarf_lord|الملك داين الثاني أيونفوت
trp_dwarf_lord_pl|الملك
trp_dunland_lord|الزعيم دايلاف الأسود
trp_dunland_lord_pl|الزعيم
trp_beorn_lord|الزعيم غريمبيورن العجوز
trp_beorn_lord_pl|الزعيم
trp_lorien_marshall|سيليبورن
trp_knight_1_1|أنغبور الشجاع
trp_knight_1_2|هورين صاحب المفاتيح
trp_knight_1_3|الأمير إمراهيل
trp_knight_1_4|أورثاليون
trp_knight_1_5|دوينهير
trp_knight_1_6|هيرلوين الجميل
trp_knight_1_7|فارامير
trp_knight_1_8|فورلونغ السمين
trp_knight_1_9|غريمبولد
trp_knight_1_10|إيركنبراند
trp_knight_1_11|إلفهيلم
trp_knight_1_12|هاما
trp_knight_1_13|غاملينغ
trp_knight_1_14|إيومير
trp_knight_1_15|أوغلوك
trp_knight_1_16|ماوهور
trp_knight_1_17|موغ ذو الأصابع السبعة
trp_knight_1_18|هوشناك لونغشانكس
trp_knight_1_19|غريداش عاضّ الشجر
trp_knight_1_20|غرونك آكل البشر
trp_knight_2_1|القبطان مورثاك
trp_knight_2_2|بيروثييل
trp_knight_2_3|سكانغ
trp_knight_2_4|فاراخاد اللقيط
trp_knight_2_5|غريشناخ
trp_knight_2_51|غوثموغ
trp_knight_2_51_pl|ملازم
trp_knight_2_6|الزعيم كارنا الأسد
trp_knight_2_7|الزعيم نعمان
trp_knight_2_8|الزعيم حارث
trp_knight_2_11|كوسولاك
trp_knight_2_12|أولوورث البالشوثي
trp_knight_2_13|برودا
trp_knight_2_16|توراسك
trp_knight_2_17|لورمساكون
trp_knight_3_1|القبطان موربير
trp_knight_3_2|القبطان أنغامايتي
trp_knight_3_3|القبطان سانغاياندو
trp_knight_3_6|هالدير
trp_knight_3_7|أوروفين
trp_knight_3_11|إلادان
trp_knight_3_12|إلروهير
trp_knight_3_13|هالباراد
trp_knight_3_16|ميرييل
trp_knight_3_17|غلادفايثور
trp_knight_4_1|سوط سنوغ
trp_knight_4_2|سوط سنوتغور
trp_knight_4_6|الجنرال توسكيم
trp_knight_4_7|الجنرال موغسلاغ
trp_knight_4_11|بيرانهيلم
trp_knight_4_12|بيرانور بلاكفور
trp_knight_4_16|سوط برولوغخش
trp_knight_4_17|سوط غرومرونت
trp_knight_4_18|سوط غريمسوب
trp_knight_5_1|اللورد هالوارد
trp_knight_5_2|اللورد بارد
trp_knight_5_3|اللورد إسغاراين
trp_knight_5_6|فولغني لونغبيرد
trp_knight_5_7|ثورين ستونهيلم
trp_knight_5_11|الزعيم فودريم
trp_knight_5_12|الزعيم وولف
trp_knight_6_1|ديرفورين
trp_smith_mtirith|بيريثور الحداد
trp_smith_mtirith_pl|حدادو المضيف
trp_smith_pelargir|هالاتان سيد المعادن
trp_smith_pelargir_pl|حدادة
trp_smith_linhir|بور صانع الدروع
trp_smith_linhir_pl|حدادة
trp_smith_dolamroth|هالداد الحداد
trp_smith_dolamroth_pl|حدادو امروث
trp_smith_edhellond|رايس ثني الحديد
trp_smith_edhellond_pl|حدادة
trp_smith_lossarnach|بيرين صانع الفؤوس
trp_smith_lossarnach_pl|حدادة
trp_smith_tarnost|هارانديل مطرقة الفولاذ
trp_smith_tarnost_pl|حدادة
