qstr_Received_{reg0}_dama|{reg0} Schaden erlitten.
qstr_{s14}Dwarves_or_men_|{s14}Zwerge oder Menschen, sie werden gegen unseren Grimm nicht bestehen!
qstr_{s14}Elves_or_men_th|{s14}Elben oder Menschen, sie werden gegen unseren Grimm nicht bestehen!
qstr_{s14}Flesh_to_shatte|{s14}Fleisch zu zerreißen, Kehlen zu zerschlitzen, Blut zu vergießen!
qstr_Put_on_the_masks_of_|Tragt die Masken der Krieger, Männer! Heute befällt das Schicksal unsere Feinde aus {s18}!
qstr_They_seek_the_tempes|Sie suchen den Sturm, sie sollen ihn haben! Männer, bereitet euch zum Kampf!
qstr_Draw_your_weapons_me|Zieht eure Waffen, Männer, denn der Sturm über unsere Feinde wurde entfesselt!
qstr_Orcs_of_{s16}_get_re|Orks von {s16}, macht euch bereit! Hier gibt es einige Kehlen aufzuschlitzen!
qstr_These_friend_of_elve|Diese Elbenfreunde werden durch unsere Klingen fallen!
qstr_These_Elves_will_fal|Diese Elben werden durch unsere Klingen fallen!
qstr_Raahh!_Draw_your_wea|Raahh! Zieht eure Waffen, Abschaum von {s16}! Heute abend fressen wir {s15}-Eingeweide!
qstr_Rha!_{s14}More_{s15}|Rha! {s14}Noch mehr {s15}-Körper, die wir mit unseren tückischen Waffen verstümmeln können!
qstr_Slaughter_these_puny|Metzelt diese kümmerlichen Diebe aus {s18} nieder! Dann brennen wir ihre Häuser nieder und zerhacken ihre Sippen!
qstr_Death_to_the_trespas|Tod allen Eindringlingen in {s16}!
qstr_CHARGE!_Let_s_clear_|GREIFT AN! Lasst uns diesen aus {s18} stammenden {s19}-Abschaum hier {s17} vernichten!
qstr_{s14}Now_that_{s19}s|{s14}Nun wird dieser {s19}-Abschaum den Zorn der Bärenmenschen erfahren!
qstr_Attack!|Greift an!
qstr_You_are_attacked_by_|Du wirst von einer Gruppe Banditen angegriffen!
qstr_Holding|Stellung haltend
qstr_Following|Folgend
qstr_Charging|Angreifend
qstr_Advancing|Vorrückend
qstr_Falling_Back|Zurückfallend
qstr_Standing_Closer|Zusammenrückend
qstr_Spreading_Out|Ausfächernd
qstr_Standing|Haltend
qstr_N/A|N/A
qstr_Free|Frei
qstr_Any_Weapon|Jede Waffe
qstr_Blunt_Weapons|Stumpfe Waffen
qstr_Infantry__{reg1}_|Fußtruppen ({reg1})
qstr_Archers__{reg2}_|Schützen ({reg2})
qstr_Cavalry__{reg3}_|Reiter ({reg3})
qstr_Given_by:_{s62}|Erhalten von: {s62}
qstr_Given_on:_{s60}|Gegeben am: {s60}
qstr_You_have_{reg0}_days|Du hast {reg0} Tage, um die Aufgabe zu erfüllen.
qstr_This_quest_has_been_|Diese Aufgabe wurde erfüllt. Sprich mit {s59}, um sie abzuschließen.
qstr_This_quest_has_been_s|Diese Aufgabe wurde erfolgreich abgeschlossen. Sprich mit {s59}, um deine Belohnung einzufordern.
qstr_This_quest_has_faile|Diese Aufgabe ist gescheitert. Sprich mit {s59}, um die Umstände zu erklären.
qstr_At_the_time_quest_wa|Zum Zeitpunkt, als die Aufgabe erhalten wurde:^{s1}
qstr_{s7}_and_{s8}|{s7} und {s8}
qstr_{s7}_{s8}|{s7}, {s8}
qstr_noone|niemand
qstr_{s9}_and_{s10}|{s9} und {s10}
qstr_{s9}_{s10}|{s9}, {s10}
qstr_no_one|Niemand
qstr_{s11}_and_{s12}|{s11} und {s12}
qstr_{s11}_{s12}|{s11}, {s12}
qstr_{s5}_is_ruled_by_{s6|{s5} wird von {s6} beherrscht.^Es kontrolliert {s8}.^Seine Anführer sind {s10}.^{s5} befindet sich im Krieg mit {s12}.
qstr_{s5}_has_been_defeat|{s5} wurde besiegt!
qstr_{s5}_has_a_strength_|{s5} hat an eine Gesamtstärke von {reg1} Männern.
qstr_no_holdings|keine Besitzungen
qstr_{s57}_and_{s58}|{s57} und {s58}
qstr_{s57}_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?Sie:Er}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54} ist der Herrscher von {s56}.^:{s54} dient {s55} von {s56}.^}}{reg9?{reg3?Sie:Er} ist {reg3?die Gebieterin:der Gebieter} von {s58}.:}{s59}{reg10?^{reg3?Sie:Er} starb auf dem Schlachtfeld!:}
qstr_The_last_time_you_sa|{s1}, als du {reg1?sie:ihn} das letzte Mal sahst.
qstr_The_last_time_you_he|{s1}, als du das letzte Mal von {reg1?ihr:ihm} hörtest.
qstr_The_{s50}|{s50}
qstr_{s50}_belongs_to_{s1|{s50} gehört {s1} von {s2}.^
qstr_Current_garrison_con|Die Besatzung besteht aus {reg5} Männern.^Die Nahrungsvorräte reichen für {reg6} Tage.
qstr_Very_Poor|Sehr Arm
qstr_Poor|Arm
qstr_Average|Durchschnitt
qstr_Rich|Reich
qstr_Very_Rich|Sehr Reich
qstr_Strength|Stärke
qstr_Agility|Agilität
qstr_Intelligence|Intelligenz
qstr_Charisma|Charisma
qstr_You_ve_gained_{s6}_f| {s7} verleiht dir zusätzlich {s6}.
qstr_You_ve_lost_{s6}_fro|Durch den Verlust von  {s7} verlierst du auch  {s6}.
qstr_{s50}_Caves|{s50} Höhlen
qstr_{s50}_Mines|{s50} Minen
qstr_{s50}_Woods|{s50} Wälder
qstr_{s4}_looks_upset.|{s4} wirkt aufgebracht.
qstr_your_party|deine Truppe
qstr_{reg0?One_of_your_pr|{reg0?Einer deiner Gefangenen, :}{s1} von {s3} ist aus der Gefangenschaft geflohen!
qstr_You_brought_{reg3}_h|Du hast {reg3} Stück Vieh nach {s1} gebracht.
qstr_Log_entry_{reg3}:_ty|Logeintrag {reg3}: Typ {reg4}
qstr_Center:_{s4}|Ort: {s4}
qstr_Troop:_{s4}|Truppe: {s4}
qstr_Lord:_{s4}|Fürst: {s4}
qstr_Ally_party_is_presen|Verbündete Truppe ist anwesend
qstr_{s4}_is_present_at_e|{s4} ist beim Ereignis anwesend
qstr_Event_#{reg5}_type_{|Event #{reg5}, type {reg6}, time {reg8}: player's kingdom relation to troop object = {reg7}
qstr_Event_#{reg5}_type_{r|Event #{reg5}, type {reg6}, time {reg8}: player's kingdom relation to center object faction = {reg7}
qstr_Event_#{reg5}_type_{re|Event #{reg5}, type {reg6}, time {reg8}: player's kingdom relation to faction object = {reg7}
qstr_Event_#{reg5}_type_{reg|Event #{reg5}, type {reg6}, time {reg8}. No relevant kingdom relation
qstr_Event_#{reg5}_type_{reg6|Event #{reg5}, type {reg6}, time {reg8}. Player unaffiliated
qstr_Elapsed_hours:_{reg7|Vergangene Stunden: {reg7}
qstr_Reputation_type:_{s1|Reputation type: {s15}
qstr_Entries_up_to_#{reg5|Entries up to #{reg5} skipped
qstr_A_new_location_is_no|Eine neue Örtlichkeit ist nun auf der Karte verfügbar!
qstr_New_trait_gained:_{s|Neues Merkmal erhalten: {s5}.
qstr_Gained_permanent_+1_|+1 Stärke dauerhaft erhalten
qstr_Gained_permanent_+1_t|+1 Agilität dauerhaft erhalten
qstr_Gained_permanent_+1_to|+1 Charisma dauerhaft erhalten
qstr_Gained_permanent_+20|+20 Waffenfertigkeiten dauerhaft erhalten
qstr_Gained_permanent_+2_|+2 Stärke dauerhaft erhalten
qstr_Gained_permanent_+2_t|+2 Charisma dauerhaft erhalten
qstr_Lost_permanent__1_to|-1 Charisma dauerhaft verloren
qstr_Gained_permanent_+1_to_|+1 Eisenhaut dauerhaft erhalten
qstr_Gained_permanent_+5_|+5 Stärke dauerhaft erhalten
qstr_Lost_permanent__2_to|-2 Charisma dauerhaft verloren
qstr_Gained_permanent_+2_to|+2 Eisenhaut dauerhaft erhalten
qstr_Gained_permanent_+10|+10 Waffenfertigkeiten dauerhaft erhalten
qstr_Gained_permanent_+1_to_T|+1 Taktik dauerhaft erhalten
qstr_You_have|Du hast
qstr_{s1}_has|{s1} hat
qstr_{s11}_suffered_a_ser|{s11} erlitt eine ernste Verwundung.
qstr_The_leg_has_been_bad|Das Bein wurde im Gefecht schwer verletzt.
qstr___2_athletics__1_rid|(-2 Athletik, -1 Reiten, -2 Agilität, -15 Nahkampffertigkeit)
qstr_The_arm_has_been_bad|Der Arm wurde im Gefecht schwer verletzt.
qstr___20_weapon_skill__2|(-20 Waffenfertigkeit, -2 Stärke, -1 Schlagkraft)
qstr_The_head_has_suffere|Du hast einen schweren Schlag auf den Kopf erlitten.
qstr___1_intelligence_ski|(-1 Intelligenzfertigkeiten, -15 Geschossfertigkeit)
qstr_The_chest_has_suffer|Einige Rippen deines Brustkorbes sind gebrochen.
qstr___20_weapon_skill_|(-20 Waffenfertigkeit)
qstr_{s1}_has_been_killed|{s1} wurde getötet.
qstr_You_were_killed.|Du wurdest getötet.
qstr_{s1}_recovered_from_|{s1} hat sich von einer schweren Verwundung erholt.
qstr_The_leg_wound_has_he|Die Beinwunde ist verheilt.
qstr__+2_athletics_+1_rid|(+2 Athletik, +1 Reiten, +2 Agilität, +15 Nahkampffertigkeit)
qstr_The_arm_wound_has_he|Die Armwunde ist verheilt.
qstr__+20_weapon_skill_+2|(+20 Waffenfertigkeit, +2 Stärke, +1 Schlagkraft)
qstr_The_head_wound_has_h|Die Kopfwunde ist verheilt.
qstr__+1_intelligence_ski|(+1 Intelligenzfertigkeiten, +15 Geschossfertigkeit)
qstr_The_cracked_ribs_hav|Die gebrochenen Rippen sind verheilt.
qstr__+20_weapon_skill_|(+20 Waffenfertigkeit)
qstr_{s1}_has_had_his_hea|Die Gesundheit von {s1} wurde gesteigert
qstr_News_has_arrived_tha|Nachricht ist eingetroffen, dass {s1} von {s2} im Kampf gegen {s28} getötet wurde!
qstr_{s1}_s_Burial_Mound|{s1}s Grabhügel
qstr_{s1}_s_Funeral_Pyre|{s1}s Scheiterhaufen
qstr_{s1}_is_logged_as_de|{s1} ist als tot gemeldet
qstr_You_have_been_discov|Du wurdest entdeckt, bevor du die Mauer erklimmen konntest.
qstr_The_enemy_is_coming_|Der Feind kommt mit Stärke, du musst fliehen!
qstr_Scout_this_area_alon|Spähe dieses Gebiet alleine aus und treffe deine Männer weiter vorn!
qstr_Be_stealthy_but_elim|Gehe heimlich vor, aber schalte Bedrohungen rasch aus!
qstr_You_are_spotted_by_a|Du wurdest von einer Patrouille gesehen!
qstr_Eliminate_them_befor|Schalte sie aus, bevor sie Alarm schlagen!
qstr_You_have_reached_the|Du hast die Verliese erreicht.
qstr_Eliminate_the_guards|Schalte die Wachen aus und befreie deine Männer!
qstr_{s1}_has_been_captur|{s1} wurde vom Feind genommen.
qstr_Gondor_takes_a_capti|Gondor nimmt einen Gefangenen
qstr_Rohan_takes_a_captiv|Rohan nimmt einen Gefangenen
qstr_Mordor_takes_a_capti|Mordor nimmt einen Gefangenen
qstr_Isengard_takes_a_cap|Isengart nimmt einen Gefangenen
qstr_You_were_grievously_|Du wurdest schwer verwundet und zu den Toten geworfen. Im richtigen Moment gelingt es dir, über die Mauer zu fliehen, aber der Feind könnte dich bemerkt haben. Mach besser, dass du wegkommst!
qstr_You_were_grievously_w|Du wurdest in der Schlacht schwer verwundet. Deine Männer konnten dich fortschleifen, erlitten dabei aber furchtbare Verluste.
qstr_You_were_grievously_wo|Du wurdest in der Schlacht schwer verwundet. Deine Männer konnten dich fortschleifen, erlitten dabei aber furchtbare Verluste. Unglücklicherweise wurden einige deiner Gefährten gefangen genommen und nach {s2} gebracht.
qstr_You_were_grievously_wou|Du wurdest in der Schlacht schwer verwundet. Deine Männer konnten dich vom Kampf fortschleifen, aber leider entkam der Zauberer.
qstr_You_were_grievously_woun|Du wurdest schwer verwundet und zu den Toten geworfen. Im richtigen Moment konntest du entkommen, aber leider gelang auch dem Zauberer die Flucht.
qstr_Some_of_your_compani|Einige deiner Gefährten leiden noch an alten Wunden.
qstr_Item_you_just_equipp|Der Gegenstand, den du gerade ausrüsten wolltest, passt nicht zu dieser Rasse und wird in das Inventar abgelegt.^^Stelle sicher, dass genug Platz ist, sonst geht der Gegenstand verloren.
qstr_Inappropriate_equipm|Unpassender Gegenstand
qstr_The_mount_you_just_e|Dieses Reittier kann nicht von dieser Rasse geritten werden. Wenn du es so belässt, wird das Verhalten des Tieres auf dem Schlachtfeld zu Problemen führen.
qstr_Inappropriate_mount|Unpassendes Reittier
qstr_{s24}:_Your_infantry|{s24}: Deine Fußtruppen fühlen sich besser!
qstr_{s24}:_Your_archers_|{s24}: Deine Schützen fühlen sich besser!
qstr_{s24}:_Your_cavalry_|{s24}: Deine Reiter fühlen sich besser!
qstr_Ah_what_a_coincidenc|Ah, welch ein Zufall, Euch hier anzutreffen, {playername}! Ihr kennt mich vielleicht nicht, aber mir seid Ihr nicht unbekannt. Ich bin auf dem Weg zu {s4}, aber komme gerade von {s3} und Euer Name ist dort gefallen. {s3} zählt auf Euch in diesen gefährlichen Zeiten und falls Ihr gerade einer anderen Aufgabe nachzugehen gedachtet, solltet Ihr das vielleicht überdenken und all Eure Kraft aufwenden, um {s2} zu unterstützen.
qstr_Who_are_you?|Wer bist du?
qstr_A_friend_of_{s3}_and|Ein Freund von {s3} und dem Volk vom {s2}. Eilt nun! Mordor zieht alles Böse zu sich und die Dunkle Macht wendet all ihren Willen auf, um es um sich zu sammeln. Die Zeit läuft aus für alles Gute in dieser Welt, wenn wir nicht all unser Handeln dagegen richten!
qstr_What_should_I_do?|Was soll ich tun?
qstr_Find_{s3}_s_whereabo|Findet {s3} sobald wie möglich und sprecht mit {reg3?ihr:ihm}. Viel Glück!
qstr_Good_to_see_the_Shad|Es freut mich, dass der Schatten Euch noch nicht besiegt hat, {playername}.
qstr_You_are_the_one_they|Ihr seid der, den sie Gandalf oder Mithrandir nennen.
qstr_You_are_the_one_they_|Du bist derjenige, den sie Radagast nennen.
qstr_That_is_what_some_ca|So nennen sie mich. In meiner Zeit hier bin ich schon vieles genannt worden, aber wenn die Dunkelheit nicht aufgehalten wird, wird es bald niemanden mehr geben, der mich irgendetwas nennen könnte.
qstr_What_do_you_mean?|Was meint Ihr?
qstr_In_spite_of_their_va|Trotz tapferen Widerstands wurde {s3} von den Mächten des Bösen überrannt. {s3}s Volk ist verstreut und {s4} ist gefallen.
qstr_You_bring_dismal_new|Ihr bringt bedrückende Neuigkeiten, Zauberer.
qstr_But_I_also_bring_a_m|Aber ich bringe auch Kunde von Hoffnung. Das Volk von {s5} hält immer noch stand. Seine Krieger sind furchtlos und seine Führer entschlossen.
qstr_Help_them_fight_the_|Helft ihnen und bekämpft den Feind so gut Ihr könnt. Gebt nicht nach! Seid auf der Hut! Es gibt in der Welt noch ältere und gemeinere Geschöpfe als Orks.
qstr_Beware_{playername}_|Wisst, {playername}, dass die Macht der Dunkelheit schwindet. {s3} ist gefallen wie auch sein Herr {s4}.
qstr_What_do_you_want_of_|Was wollt Ihr von mir, alter Mann?
qstr_Just_know_that_a_Daw|Wisst einfach, dass die Dämmerung heraufzieht. Es ist unumgänglich. Und solltet Ihr noch lange genug leben, um sie zu sehen, bedenkt, was Ihr zu Euch dann sagen solltet.
qstr_Well_met_{playername|Eine freudige Begegnung, {playername}, {s24}. Mein Vertrauen in Euch war nicht umsonst. Die Macht des Schattens wurde gebrochen und Eure Bemühungen haben darin eine nicht unwichtige Rolle gespielt.
qstr_Thank_you_Mithrandir|Habt Dank, Mithrandir!
qstr_Thank_you_Radagast!|Danke, Radagast!
qstr_The_wizard_Saruman_i|Der Zauberer Saruman ist besiegt und Barad-dur wurde zu Staub zerschmettert, gemeinsam mit seinem Dunklen Herrn! Alle Völker Mittelerdes sind nun frei von der Bedrohung, die beinahe all das, was gut und rein in dieser Welt ist, verschlungen hätte. Der Feind ist vernichtet und der König zurückgekehrt!
qstr_It_was_a_long_and_bl|Es war ein langer und blutiger Krieg und viele unserer besten Freunde weilen nicht mehr unter uns.
qstr_There_is_much_to_reg|Es gibt viel zu bedauern und zu betrauern in den folgenden Tagen, und noch mehr wieder aufzubauen und zu heilen. Aber jetzt lasst uns frohlocken mit jenen unserer Freunde, die noch immer bei uns sind, und all das feiern, was wir vollbracht haben  während dieser Letzten Tage des Dritten Zeitalters!
qstr_Orcs_are_marching_ag|Orks marschieren gen Helms Klamm.
qstr_Orcs_are_marching_aga|Orks marschieren gen Edoras.
qstr_Ah_{playername}_happ|Ah, {playername}, welch glücklicher Zufall, dass wir uns auf diese Weise begegnen! Ich bringe düstere Botschaft aus West-Rohan und Eile ist dringend geboten.
qstr_What_tidings_do_you_|Welche Neuigkeiten bringst du, Mithrandir? Was kann ich tun?
qstr_Saruman_has_loosed_I|Saruman hat Isengart auf Rohan losgelassen. {s1} Für den Erfolg meiner Pläne dürfen die tapferen Rohirrim nicht fallen, {playername}! Die Gefahr für sie ist sehr groß, aber hat das Leeren von Isengart hat es auch verwundbar zurückgelassen. Saruman hat seine volle Stärke gegen Theoden König geschickt. Dies könnte die Zeit sein, um nach Nan Curunir zu ziehen. Eine Wahl liegt nun vor dir, Kommandant, eine Wahl, die du treffen musst, denn weder du noch ich können überall gleichzeitig sein!
qstr_Do_you_want_me_to_he|Möchtest du, dass ich König Theoden dabei helfe, {s3} zu verteidigen, oder soll ich nach Isengart eilen und sehen, was ich tun kann?
qstr_Either_would_be_a_gr|Beides wäre ein großer Segen für mich. Du musst deinen eigenen Weg wählen, {playername}, so wie ich es auch tun werde. Schattenfell wird mich nun auf eine schnelle Mission tragen. Du musst auch rasch handeln! Beeile dich jetzt!
qstr_Gandalf_asked_you_to|Gandalf bat dich darum, entweder Theoden bei der Verteidigung von {s3} zu helfen oder herauszufinden, was in Isengart passiert.
qstr_Ents|Ents
qstr_Hail_{playername}!_I|Heil, {playername}! Ich hoffe, du bist unverletzt. Auf jeden Fall freue ich mich, dass du meinem Freund Fangorn, oder Baumbart, wie du ihn vielleicht zu nennen gelern hast, geholfen hast.  Die Baumhirten sind sehr mächtig, aber es war wahrscheinlich, dass sie ihrem Untergang entgegen marschierten. Du hast sie vielleicht vor großer Gefahr gerettet, Kommandant!  Dafür bin ich froh. Ich möchte nicht mit ansehen, wie die ältesten aller lebenden Wesen von der Welt verschwinden, nein, noch nicht... nein, nicht bevor sie die Entfrauen wiedersehen, hoffe ich.
qstr_Missing_String|Missing String
qstr_Well_thank_you_{play|Nun, danke, {playername}, und lebwohl. Mögen wir uns wiedersehen, ehe der Mond abnimmt!
qstr_Hail_{playername}!_I_|Heil, {playername}! Ich hoffe, du bist unverletzt. Auf jeden Fall scheinst du dein Schwert gegen den richtigen Feind gerichtet zu haben. Kein Feind hat bisher die Hornburg eingenommen und wahrscheinlich wird dies auch keiner jemals tun - solange Leute wie du Helm's Tor verteidigen, das versichere ich dir!
qstr_Your_deed_has_greatl|Deine Tat hat meinen Plänen sehr geholfen, sogar mehr als ich gehofft oder geplant hätte. Leb wohl, {playername}, und danke dir. Mögen wir uns wiedersehen, bevor der Mond abnimmt!
qstr_{Playername}_I_will_|{Playername}, Ich werde dich jetzt etwas fragen. Du bist ein fähiger Hauptmann und ein pflichtbewusster; wurdest du von großen Feinden überwältigt? Hast du aus Vorsicht oder sogar aus Angst zu lange gezögert? Schau, wir sind nun in eine größere Gefahr geraten, als ich hätte voraussehen können. Die Stärke von Rohan ist gebrochen, ihr Volk ist zerstreut und schutzlos: Helms Klamm ist gefallen. Die Bäume sind vorzeitig verdorrt und die Nacht liegt über den Schmiedefeuern von Isengart: Die Ents des Fangornwaldes sind tot oder zurückgedrängt.
qstr_You_have_failed_me_{|Du hast mich enttäuscht, {playername} - oder vielleicht bin ich es, der dich enttäuscht hat. Vielleicht gab es einen Fehler in meiner Konstruktion, einen schwerwiegenden Fehler, den ich nicht erkannt habe... Der Schrecken von Mordor naht. Verlasse mich jetzt, {playername}. Vielleicht sehen wir uns wieder... oder vielleicht auch nicht.
qstr_Bagginsssss..._Ssssh|Beutliiin... Aueeeenlaaand...
qstr_I..._don_t_know!|Ich... weiß nichts davon!
qstr_It..._beckonsssssss.|Er... ruuuuft...
qstr_Treachery..._Unforgi|Verraaat... unverzzziiieeehen...
qstr_But_I...|Aber ich...
qstr_Noone..._oppossssses|Niiieemand... wiiidersetzzzt sssich... Barad-dur... und leeebt!
qstr_All..._must..._submi|Alleee... müsssen... sssich unterweeeerfen... und... diiieeenen..
qstr_I_serve_the_Eye!|Ich diene dem Auge!
qstr_I_shall_serve_the_Ey|Ich werde dem Auge dienen!
qstr_Go_to_{s1}_and_speak|Geh nach {s1} und spreche mit {s9}.
qstr_The_Remnant_Forces_o|Überlebende aus {s22} sammeln sich und schließen sich ihren Verbündeten in {s15} an!
qstr_The_strength_of_the_|Die verbündeten Fraktionen in {s15} wurden verstärkt.
qstr_{s30}_reinforced_by_|{s30} verstärkt um {reg65} Fraktionsstärke
qstr_{s1}_has_been_besieg|{s1} wird von {s2} von {s3} belagert.
qstr_The_forces_of_{s2}_m|Die Truppen von {s2} marschieren nach {s15}!
qstr_Rohan_capital_moved_|Rohan verlegte seinen Hauptsitz von Edoras in die Hornburg!
qstr_Dale_capital_moved_f|Thal verlegte seinen Hauptsitz nach Esgaroth!
qstr_Gundabad_capital_mov|Die Orks von Gundabad verlegen ihren Hauptsitz in die Orkstadt!
qstr_You_have_breached_th|Du hast mit Hilfe der Baumhirten den Ring von Isengart durchbrochen. Während der Schlacht wurde Isengart überflutet, aber der Orthanc steht immer noch unversehrt inmitten des Chaos. Du solltest die Folgen untersuchen.
qstr_The_hosts_of_{s2}_re|Die Armeen von {s2} ziehen sich in ihre Heimat zurück!
qstr____Ruins_of_{s1}___|Ruinen von {s1}
qstr_{s1}_has_joined_the_|{s1} ist der Hand beigetreten
qstr_{s1}_has_joined_the_E|{s1} ist dem Auge beigetreten
qstr_ranks|Reihen
qstr_shield_wall|Schildwall
qstr_wedge|Keil
qstr_square|Karree
qstr_up|hinauf
qstr___Infantry_forming_{|Fußtruppen bilden {s1}
qstr___Not_enough_infantr|Nicht genug Fußtruppen, um {s1} zu bilden, halten stattdessen.
qstr___Cavalry_forming_{s|Reiter bilden {s1}.
qstr___Not_enough_cavalry|Nicht genug Reiter, um {s1} zu bilden, halten stattdessen.
qstr___Archers_forming_{s|Schützen bilden {s1}.
qstr___Not_enough_archers|Nicht genug Schützen, um {s1} zu bilden, halten stattdessen.
qstr___Infantry_formation|Fußtruppenformation aufgelöst.
qstr___Cavalry_formation_|Reiterformation aufgelöst.
qstr___Archer_formation_d|Schützenformation aufgelöst.
qstr_Division_{reg1}_{s2}|Abteilung {reg1} {s2} bildet {s1}.
qstr_Not_enough_troops_in|Nicht genügend Truppen in Abteilung {reg1} {s2}, um {s1} zu bilden.
qstr_Division_{reg1}_{s2}_|Abteilung {reg1} {s2} ist eine {s3}-Abteilung und kann keine {s1}-Formation bilden.
qstr_{s1}:_infantry_forma|{s1}: Fußtruppenformation aufgelöst. 
qstr_{s1}:_archer_formati|{s1}: Schützenformation aufgelöst. 
qstr_{s1}:_skirmisher_for|{s1}: Plänklerformation aufgelöst.
qstr_{s1}:_cavalry_format|{s1}: Reiterformation aufgelöst.
qstr_{s1}:_formation_disa|{s1}: Formation aufgelöst.
qstr_Cavalry_formation_di|Reiterformation aufgelöst.
qstr_The_placement_of_{s1|Merke Aufstellung der {s1}-Abteilung {reg0}.
qstr_The_placement_of_{s1}|Aufstellung der {s1}-Abteilung{reg0} zurückgesetzt.
qstr_Your_party_s_tactica|Die Taktik-Fähigkeit deines Trupps begrenzt, wie weit entfernt du Truppen aufstellen kannst!
qstr_...and_attack_enemy_|...und greife die feindliche {s1} an!
qstr_{s2}:_returning_afte|{s2}: kehrt zurück nachdem feindliche {s1} vernichtet sind.
qstr_infantry|Fußtruppen
qstr_archer|Schützen
qstr_cavalry|Reiter
qstr_polearm|Speerträger
qstr_skirmisher|Plänkler
qstr_mounted_archer|berittene Bogenschützen
qstr_support|Unterstützungstruppen
qstr_bodyguard|Leibwächter
qstr_undetermined_type_of|unbestimmt
qstr_{s1}_has_fled_the_ba|{s1} ist geflohen!
qstr_Your_side_is_at_{reg|Verbündete: {reg1}% Zusammenhalt ({reg3}% kürzliche Ereignisse); Feinde {reg2}%!
qstr_Morale_of_your_troop|Eigene Moral wankt!
qstr_Morale_of_your_enemi|Feindliche Moral wankt!
qstr_Your_enemies_flee_in|Alle Feinde fliehen!
qstr_Many_of_your_enemies|Viele Feinde fliehen.
qstr_Some_of_your_enemies|Einige Feinde fliehen.
qstr_A_few_of_your_enemie|Wenige Feinde fliehen.
qstr_Your_troops_flee_in_|Alle eigenen Truppen fliehen!
qstr_Many_of_your_troops_|Viele eigene Truppen fliehen.
qstr_Some_of_your_troops_|Einige eigene Truppen fliehen.
qstr_A_few_of_your_troops|Wenige eigene Truppen fliehen.
qstr_Gained_permanent_+1_to_P|+1 Pfandfinder dauerhaft erhalten
qstr_Gained_permanent_+1_to_S|+1 Aufklärung dauerhaft erhalten.
qstr_{s11}_recovered_from|{s11} hat sich von einer schweren Verwundung erholt.
qstr_Volunteers|Freiwillige
qstr_Reserves|Reserven
qstr_have_taken_measure_o|konnte durch den Spähposten wertvolle Informationen gewinnen.
qstr_loses_Faction_Streng|ist geschwächt, weil die Versorgungslinien unterbrochen wurden.
qstr_loses_Faction_Strengt|ist durch die Vernichtung des Spähpostens geschwächt.
qstr_gains_Faction_Streng|wird stärker, als sich die Neuigkeitden über deinen Sieg verbreiten.
qstr_Something_wrong_not_|Nicht genügend Soldaten
qstr_Raiders|Plünderer
qstr_have_won_the_sea_bat|hat die Seeschlacht gewonnen, deine Truppen verlieren den Mut. Der Feind wird den Vorteil nutzen und ab nun noch heftiger angreifen.
qstr_loses_Faction_Strength|wird durch den Überfall geschwächt.
qstr_loses_Faction_Strength_|wird durch deinen Sieg auf See geschwächt.
qstr_You_spent_{reg67}_of|Du verwendest {reg67} Einfluss in {s1}, {reg66} verbleiben.
qstr_{s2}_{reg3?was:is_ar|{s2} {reg3?was:ist in der Nähe von {s5}.
qstr_Army_of_{s6}|Armee von {s6}
qstr_Host_of_{s6}|Heer von {s6}
qstr_The_host_of_Isengard|Die Heere von Isengart haben {s2} niedergebrannt!
qstr_{s1}_{s0}|{s1}, {s0}
qstr_{s1}_and_{s0}|{s1} und {s0}
qstr_No_Troops_Left.|Keine Truppen mehr.
qstr_avoid_melee|Vermeidet Nahkampf
qstr_stand_and_fight|Haltet Stand und kämpft
qstr_Everyone|Alle
qstr_Shield___{reg31}_|Schild (-{reg31})
qstr_Power_Draw___{reg31}|Bogenzugkraft (-{reg31})
qstr_Riding___{reg31}_|Reiten (-{reg31})
qstr_Horse_Archery___{reg|Berittenes Bogenschießen (-{reg31})
qstr_Athletics___{reg31}_|Athletik (-{reg31})
qstr_No_Skill_Penalty_Ass|No Skill Penalty Assigned
qstr_Inventory|Inventar
qstr_Show_stats|Zeige Fähigkeiten
qstr_Show_item_details__|Zeige Details
qstr_Troop_detail|Truppendetails
qstr_{s1}^|{s1}^
qstr_{s1}Level:_{reg1}^|{s1}Level: {reg1}^
qstr_{s1}Hit_Points:_{reg|{s1}Lebenspunkte: {reg1}
qstr_{s1}Atributes:_^___S|{s1}Attribute: ^   Stärke:^
qstr_{s2}^{reg1}^|{s2}^{reg1}^
qstr_{s1}___Agility:|{s1}   Agilität:
qstr_{s2}{reg1}|{s2}{reg1}
qstr_{s1}Main_skills:_^|{s1}Hauptfähigkeiten: ^
qstr_{s1}___Power_Strike:|{s1} Schlagkraft:^
qstr_{s2}{reg1}^|{s2}{reg1}^
qstr_{s1}___Athletics:^|{s1}   Athletik:^
qstr_{s1}___Riding:^|{s1}   Reiten:^
qstr_{s2}_^|{s2}-^
qstr_{s1}___Power_Throw:^|{s1}   Wurfkraft:^
qstr_{s1}___Power_Draw:^^|{s1}   Bogenzugkraft:^^
qstr_{s2}{reg1}^^|{s2}{reg1}^^
qstr_{s2}_^^|{s2}-^^
