trp_unarmed_troop|Unbewaffneter
trp_c5_elite_rider_of_rohan_pl|Angesehene Reiter aus Rohan
trp_c6_rider_guard_of_rohan|Eorlsreiter
trp_c6_rider_guard_of_rohan_pl|Eorlsreiter
trp_i6_2h_guard_of_rohan|Helmskrieger von Rohan
trp_i6_2h_guard_of_rohan_pl|Helmskrieger von Rohan
trp_ac3_dism_skirmisher_of_rohan2|Scharmützler aus Rohan
trp_ac3_dism_skirmisher_of_rohan2_pl|Scharmützler aus Rohan
trp_ac4_dism_veteran_skirmisher_of_rohan2|Erfahrener Scharmützler aus Rohan
trp_ac4_dism_veteran_skirmisher_of_rohan2_pl|Erfahrene Scharmützler aus Rohan
trp_ac5_dism_elite_skirmisher_of_rohan2|Angesehener Scharmützler aus Rohan
trp_ac5_dism_elite_skirmisher_of_rohan2_pl|Angesehene Scharmützler aus Rohan
trp_i1_harad_levy|Mann aus Harad
trp_i1_harad_levy_pl|Männer aus Harad
trp_i3_harad_infantry|Kämpfer aus Harad
trp_i3_harad_infantry_pl|Kämpfer aus Harad
trp_i4_harad_spearman|Speerträger aus Harad
trp_i4_harad_spearman_pl|Speerträger aus Harad
trp_i5_harad_tiger_guard|Tigerwache
trp_i5_harad_tiger_guard_pl|Tigerwachen
trp_i4_harad_swordsman|Schwertkämpfer aus Harad
trp_i4_harad_swordsman_pl|Schwertkämpfer aus Harad
trp_i5_harad_lion_guard|Löwenbruder
trp_i5_harad_lion_guard_pl|Löwenbrüder
trp_a3_harad_hunter|Jäger aus Harad
trp_a3_harad_hunter_pl|Jäger aus Harad
trp_a4_harad_archer|Bogenschütze aus Harad
trp_a4_harad_archer_pl|Bogenschützen aus Harad
trp_a5_harad_eagle_guard|Adlerschütze
trp_a5_harad_eagle_guard_pl|Adlerschützen
trp_c2_harondor_scout|Späher aus Harondor
trp_c2_harondor_scout_pl|Späher aus Harondor
trp_c3_harondor_rider|Reiter aus Harondor
trp_c3_harondor_rider_pl|Reiter aus Harondor
trp_c4_harondor_light_cavalry|Leichtgepanzerter Reiter aus Harondor
trp_c4_harondor_light_cavalry_pl|Leichtgepanzerte Reiter aus Harondor
trp_c5_harondor_serpent_knight|Ritter der Goldenen Schlange
trp_c5_harondor_serpent_knight_pl|Ritter der Goldenen Schlange
trp_ac3_harondor_skirmisher|Scharmützler aus Harondor
trp_ac3_harondor_skirmisher_pl|Scharmützler aus Harondor
trp_ac4_harondor_horse_archer|Berittener Bogenschütze aus Harondor
trp_ac4_harondor_horse_archer_pl|Berittene Bogenschützen aus Harondor
trp_ac5_harondor_black_snake|Reiter der Schwarzen Schlange
trp_ac5_harondor_black_snake_pl|Reiter der Schwarzen Schlange
trp_i2_far_harad_tribesman|Stammeskrieger aus Fern-Harad
trp_i2_far_harad_tribesman_pl|Stammeskrieger aus Fern-Harad
trp_i4_far_harad_champion|Held aus Fern-Harad
trp_i4_far_harad_champion_pl|Helden aus Fern-Harad
trp_i5_far_harad_panther_guard|Pantherhüne
trp_i5_far_harad_panther_guard_pl|Pantherhünen
trp_i1_dun_wildman|Wilder Mann aus Dunland
trp_i1_dun_wildman_pl|Wilde Männer aus Dunland
trp_i2_dun_warrior|Krieger aus Dunland
trp_i2_dun_warrior_pl|Krieger aus Dunland
trp_i3_dun_pikeman|Spießträger aus Dunland
trp_i3_dun_pikeman_pl|Spießträger aus Dunland
trp_i4_dun_vet_pikeman|Erfahrener Spießträger aus Dunland
trp_i4_dun_vet_pikeman_pl|Erfahrene Spießträger aus Dunland
trp_ac4_dun_crebain_rider|Crebain-Reiter aus Dunland
trp_ac4_dun_crebain_rider_pl|Crebain-Reiter aus Dunland
trp_i3_dun_vet_warrior|Erfahrener Krieger aus Dunland
trp_i3_dun_vet_warrior_pl|Erfahrene Krieger aus Dunland
trp_i4_dun_wolf_warrior|Wolfskrieger aus Dunland
trp_i4_dun_wolf_warrior_pl|Wolfskrieger aus Dunland
trp_i5_dun_wolf_guard|Wolfsrecke aus Dunland
trp_i5_dun_wolf_guard_pl|Wolfsrecken aus Dunland
trp_ac5_dun_raven_rider|Nachtrabenreiter aus Dunland
trp_ac5_dun_raven_rider_pl|Nachtrabenreiter aus Dunland
trp_i1_khand_bondsman|Kriegssklave aus Khand
trp_i1_khand_bondsman_pl|Kriegssklaven aus Khand
trp_i2_khand_pit_dog|Grubenhund aus Khand
trp_i2_khand_pit_dog_pl|Grubenhunde aus Khand
trp_i3_khand_warrior|Krieger aus Khand
trp_i3_khand_warrior_pl|Krieger aus Khand
trp_i4_khand_vet_warrior|Erfahrener Krieger aus Khand
trp_i4_khand_vet_warrior_pl|Erfahrene Krieger aus Khand
trp_i5_khand_war_master|Kriegsmeister der Variags
trp_i5_khand_war_master_pl|Kriegsmeister der Variags
trp_c2_khand_pony_rider|Ponyreiter aus Khand
trp_c2_khand_pony_rider_pl|Ponyreiter aus Khand
trp_c3_khand_horseman|Reiter aus Khand
trp_c3_khand_horseman_pl|Reiter aus Khand
trp_c4_khand_heavy_horseman|Gepanzerter Reiter aus Khand
trp_c4_khand_heavy_horseman_pl|Gepanzerte Reiter aus Khand
trp_c5_khand_kataphrakt|Panzerreiter der Variags
trp_c5_khand_kataphrakt_pl|Panzerreiter der Variags
trp_c5_khand_lance_kataphrakt|Lanzenreiter der Variags
trp_c5_khand_lance_kataphrakt_pl|Lanzenreiter der Variags
trp_i4_khand_halberdier|Glevenkrieger aus Khand
trp_i4_khand_halberdier_pl|Glevenkrieger aus Khand
trp_i5_khand_halberd_master|Hellebardenmeister der Variags
trp_i5_khand_halberd_master_pl|Hellebardenmeister der Variags
trp_i3_khand_pitfighter|Grubenkämpfer aus Khand
trp_i3_khand_pitfighter_pl|Grubenkämpfer aus Khand
trp_i4_khand_pit_champion|Kampfgrubenheld aus Khand
trp_i4_khand_pit_champion_pl|Kampfgrubenhelden aus Khand
trp_i5_khand_pit_master|Variag-Grubenmeister
trp_i5_khand_pit_master_pl|Variag-Grubenmeister
trp_ac3_khand_skirmisher|Plänkler von Khand
trp_ac3_khand_skirmisher_pl|Plänkler von Khand
trp_ac4_khand_vet_skirmisher|Erfahrener Plänkler von Khand
trp_ac4_khand_vet_skirmisher_pl|Erfahrene Plänkler von Khand
trp_ac5_khand_heavy_skirmisher|Gepanzerter Variag-Plänkler
trp_ac5_khand_heavy_skirmisher_pl|Gepanzerte Variag-Plänkler
trp_i1_corsair_youth|Seemann aus Umbar
trp_i1_corsair_youth_pl|Semänner aus Umbar
trp_i2_corsair_warrior|Krieger aus Umbar
trp_i2_corsair_warrior_pl|Krieger aus Umbar
trp_i3_corsair_spearman|Speerträger aus Umbar
trp_i3_corsair_spearman_pl|Speerträger aus Umbar
trp_i4_corsair_raider|Plünderer der Korsaren
trp_i4_corsair_raider_pl|Plünderer der Korsaren
trp_i5_corsair_night_raider|Nachtplünderer der Korsaren
trp_i5_corsair_night_raider_pl|Nachtplünderer der Korsaren
trp_a2_corsair_marine|Seesoldat aus Umbar
trp_a2_corsair_marine_pl|Seesoldaten aus Umbar
trp_a3_corsair_marksman|Bogenschütze aus Umbar
trp_a3_corsair_marksman_pl|Bogenschützen aus Umbar
trp_a4_corsair_veteran_marksman|Erfahrener Bogenschütze aus Umbar
trp_a4_corsair_veteran_marksman_pl|Erfahrene Bogenschützen aus Umbar
trp_a5_corsair_master_marksman|Meisterschütze aus Umbar
trp_a5_corsair_master_marksman_pl|Meisterschützen aus Umbar
trp_i3_corsair_swordsman|Schwertkämpfer aus Umbar
trp_i3_corsair_swordsman_pl|Schwertkämpfer aus Umbar
trp_i4_corsair_veteran_swordsman|Erfahrener Schwertkämpfer aus Umbar
trp_i4_corsair_veteran_swordsman_pl|Erfahrene Schwertkämpfer aus Umbar
trp_i5_corsair_master_swordsman|Schwertmeister der Korsaren
trp_i5_corsair_master_swordsman_pl|Schwertmeister der Korsaren
trp_a4_corsair_assassin|Meuchler der Korsaren
trp_a4_corsair_assassin_pl|Meuchler der Korsaren
trp_a5_corsair_master_assassin|Meuchler der Korsaren
trp_a5_corsair_master_assassin_pl|Meuchler der Korsaren
trp_i4_corsair_veteran_spearman|Erfahrener Speerträger aus Umbar
trp_i4_corsair_veteran_spearman_pl|Erfahrene Speerträger aus Umbar
trp_i5_corsair_master_spearman|Speermeister aus Umbar
trp_i5_corsair_master_spearman_pl|Speermeister aus Umbar
trp_i5_corsair_master_pikeman|Pikenmeister aus Umbar
trp_i5_corsair_master_pikeman_pl|Pikenmeister aus Umbar
trp_i1_isen_orc_snaga|Snaga von Isengart
trp_i1_isen_orc_snaga_pl|Snagas von Isengart
trp_i2_isen_orc|Ork von Isengart
trp_i2_isen_orc_pl|Orks von Isengart
trp_i3_isen_large_orc|Großer Ork von Isengart
trp_i3_isen_large_orc_pl|Große Orks von Isengart
trp_i4_isen_fell_orc|Grausamer Ork von Isengart
trp_i4_isen_fell_orc_pl|Grausame Orks von Isengart
trp_i3_isen_large_orc_despoiler|Großer Orkplünderer
trp_i3_isen_large_orc_despoiler_pl|Große Orkplünderer
trp_i4_isen_fell_orc_despoiler|Grausamer Orkplünderer
trp_i4_isen_fell_orc_despoiler_pl|Grausame Orkplünderer
trp_ac2_isen_wolf_rider|Wolfsreiter von Isengart
trp_ac2_isen_wolf_rider_pl|Wolfsreiter von Isengart
trp_ac3_isen_warg_rider|Wargreiter von Isengart
trp_ac3_isen_warg_rider_pl|Wargreiter von Isengart
trp_ac4_isen_white_hand_rider|Wargreiter der Weißen Hand
trp_ac4_isen_white_hand_rider_pl|Wargreiter der Weißen Hand
trp_warg_ghost_1b|Warg
trp_warg_ghost_1b_pl|Warge
trp_warg_ghost_1c|Warg
trp_warg_ghost_1c_pl|Warge
trp_warg_ghost_1d|Warg
trp_warg_ghost_1d_pl|Warge
trp_warg_ghost_a1b|Warg
trp_warg_ghost_a1b_pl|Warge
trp_warg_ghost_a1c|Gepanzerter Warg
trp_warg_ghost_a1c_pl|Gepanzerte Warge
trp_warg_ghost_a2b|Gepanzerter Warg
trp_warg_ghost_a2b_pl|Gepanzerte Warge
trp_warg_ghost_a2c|Gepanzerter Warg
trp_warg_ghost_a2c_pl|Gepanzerte Warge
trp_warg_ghost_a3a|Gepanzerter Warg
trp_warg_ghost_a3a_pl|Gepanzerte Warge
trp_warg_ghost_h|Riesiger Warg
trp_warg_ghost_h_pl|Riesige Warge
trp_a2_isen_uruk_tracker|Späher der Uruk-hai
trp_a2_isen_uruk_tracker_pl|Späher der Uruk-hai
trp_a3_isen_large_uruk_tracker|Großer Späher der Uruk-hai
trp_a3_isen_large_uruk_tracker_pl|Großer Späher der Uruk-hai
trp_a4_isen_fighting_uruk_tracker|Späher der Kämpfenden Uruk-hai
trp_a4_isen_fighting_uruk_tracker_pl|Späher der Kämpfenden Uruk-hai
trp_i6_isen_uruk_berserker|Berserker der Kämpfenden Uruk-hai
trp_i6_isen_uruk_berserker_pl|Berserker der Kämpfenden Uruk-hai
trp_i1_isen_uruk_snaga|Uruk-hai-Frischling
trp_i1_isen_uruk_snaga_pl|Uruk-hai-Frischlinge
trp_i2_isen_uruk|Kämpfer der Uruk-hai
trp_i2_isen_uruk_pl|Kämpfer der Uruk-hai
trp_i3_isen_large_uruk|Große Kämpfer der Uruk-hai
trp_i3_isen_large_uruk_pl|Große Kämpfer der Uruk-hai
trp_i4_isen_fighting_uruk_warrior|Krieger der Kämpfenden Uruk-hai
trp_i4_isen_fighting_uruk_warrior_pl|Krieger der Kämpfenden Uruk-hai
trp_i5_isen_fighting_uruk_champion|Held der Kämpfenden Uruk-hai
trp_i5_isen_fighting_uruk_champion_pl|Helden der Kämpfenden Uruk-hai
trp_i3_isen_uruk_pikeman|Pikenträger der Uruk-hai
trp_i3_isen_uruk_pikeman_pl|Pikenträger der Uruk-hai
trp_i4_isen_fighting_uruk_pikeman|Pikenträger der Kämpfenden Uruk-hai
trp_i4_isen_fighting_uruk_pikeman_pl|Pikenträger der Kämpfenden Uruk-hai
trp_i5_isen_uruk_standard_bearer|Standartenträger der Uruk-hai
trp_i5_isen_uruk_standard_bearer_pl|Standartenträger der Uruk-hai
trp_i1_mordor_uruk_snaga|Uruk-Snaga aus Mordor
trp_i1_mordor_uruk_snaga_pl|Uruk-Snagas aus Mordor
trp_i2_mordor_uruk|Uruk aus Mordor
trp_i2_mordor_uruk_pl|Uruks aus Mordor
trp_i3_mordor_large_uruk|Großer Uruk aus Mordor
trp_i3_mordor_large_uruk_pl|Große Uruks aus Mordor
trp_i4_mordor_fell_uruk|Grausamer Uruk aus Mordor
trp_i4_mordor_fell_uruk_pl|Grausame Uruks aus Mordor
trp_i3_mordor_uruk_slayer|Uruk-Schlächter aus Mordor
trp_i3_mordor_uruk_slayer_pl|Uruk-Schlächter aus Mordor
trp_i4_mordor_fell_uruk_slayer|Grausamer Uruk-Schlächter aus Mordor
trp_i4_mordor_fell_uruk_slayer_pl|Grausame Uruk-Schlächter aus Mordor
trp_i5_mordor_black_uruk|Schwarzer Uruk von Barad-dur
trp_i5_mordor_black_uruk_pl|Schwarze Uruks von Barad-dur
trp_i5_mordor_uruk_standard_bearer|Standartenträger von Mordor
trp_i5_mordor_uruk_standard_bearer_pl|Standartenträger von Mordor
trp_troll_of_moria|Höhlentroll
trp_troll_of_moria_pl|Höhlentrolle
trp_armoured_troll|Gepanzerter Troll
trp_armoured_troll_pl|Gepanzerte Trolle
trp_olog_hai|Olog aus Mordor
trp_olog_hai_pl|Olog-hai aus Mordor
trp_ent_old|Ent
trp_ent_old_pl|Ents
trp_i1_guldur_orc_snaga|Snaga von Dol Guldur
trp_i1_guldur_orc_snaga_pl|Snagas von Dol Guldur
trp_a2_guldur_orc_tracker|Spür-Ork von Dol Guldur
trp_a2_guldur_orc_tracker_pl|Spür-Orks von Dol Guldur
trp_i1_mordor_orc_snaga|Snaga aus Mordor
trp_i1_mordor_orc_snaga_pl|Snagas aus Mordor
trp_i2_mordor_orc|Ork aus Mordor
trp_i2_mordor_orc_pl|Orks aus Mordor
trp_i3_mordor_large_orc|Großer Ork aus Mordor
trp_i3_mordor_large_orc_pl|Große Orks aus Mordor
trp_i4_mordor_fell_orc|Grausamer Ork aus Mordor
trp_i4_mordor_fell_orc_pl|Grausame Orks aus Mordor
trp_c3_mordor_warg_rider|Wargreiter von Gorgoroth
trp_c3_mordor_warg_rider_pl|Wargreiter von Gorgoroth
trp_c4_mordor_great_warg_rider|Großer Wargreiter von Udun
trp_c4_mordor_great_warg_rider_pl|Große Wargreiter von Udun
trp_i2_mordor_morgul_orc|Ork von Minas Morgul
trp_i2_mordor_morgul_orc_pl|Orks von Minas Morgul
trp_i4_mordor_fell_morgul_orc|Grausamer Ork von Minas Morgul
trp_i4_mordor_fell_morgul_orc_pl|Grausamer Orks von Minas Morgul
trp_a3_guldur_large_orc_tracker|Großer Spür-Ork von Dol Guldur
trp_a3_guldur_large_orc_tracker_pl|Große Spür-Orks von Guldur
trp_a4_guldur_fell_orc_tracker|Grausamer Spür-Ork von Dol Guldur
trp_a4_guldur_fell_orc_tracker_pl|Grausame Spür-Orks von Dol Guldur
trp_a2_mordor_orc_archer|Ork-Bogenschütze aus Mordor
trp_a2_mordor_orc_archer_pl|Ork-Bogenschützen aus Mordor
trp_a3_mordor_large_orc_archer|Großer Ork-Bogenschütze aus Mordor
trp_a3_mordor_large_orc_archer_pl|Große Ork-Bogenschützen aus Mordor
trp_a4_mordor_fell_orc_archer|Grausamer Ork-Bogenschütze aus Mordor
trp_a4_mordor_fell_orc_archer_pl|Grausame Ork-Bogenschützen aus Mordor
trp_c3_moria_wolf_rider|Wolfsreiter von Moria
trp_c3_moria_wolf_rider_pl|Wolfsreiter von Moria
trp_c4_moria_warg_rider|Wargreiter von Moria
trp_c4_moria_warg_rider_pl|Wargreiter von Moria
trp_c5_moria_clan_rider|Wargreiter von Bolgs Stamm
trp_c5_moria_clan_rider_pl|Wargreiter von Bolgs Stamm
trp_i1_moria_snaga|Snaga von Moria
trp_i1_moria_snaga_pl|Snagas von Moria
trp_i2_moria_goblin|Ork von Moria
trp_i2_moria_goblin_pl|Ork von Moria
trp_i3_moria_large_goblin|Großer Ork von Moria
trp_i3_moria_large_goblin_pl|Große Orks von Moria
trp_i4_moria_fell_goblin|Grausamer Ork von Moria
trp_i4_moria_fell_goblin_pl|Grausame Orks von Moria
trp_a2_moria_goblin_archer|Ork-Bogenschütze von Moria
trp_a2_moria_goblin_archer_pl|Ork-Bogenschützen von Moria
trp_a3_moria_large_goblin_archer|Großer Ork-Bogenschütze von Moria
trp_a3_moria_large_goblin_archer_pl|Große Ork-Bogenschützen von Moria
trp_a4_moria_fell_goblin_archer|Grausamer Ork-Bogenschütze von Moria
trp_a4_moria_fell_goblin_archer_pl|Grausame Ork-Bogenschützen von Moria
trp_i1_gunda_goblin|Snaga von Gundabad
trp_i1_gunda_goblin_pl|Snagas von Gundabad
trp_i2_gunda_orc|Ork von Gundabad
trp_i2_gunda_orc_pl|Orks von Gundabad
trp_i3_gunda_orc_fighter|Ork-Kämpfer von Gundabad
trp_i3_gunda_orc_fighter_pl|Ork-Kämpfer von Gundabad
trp_i4_gunda_orc_warrior|Ork-Krieger von Gundabad
trp_i4_gunda_orc_warrior_pl|Ork-Krieger von Gundabad
trp_i4_gunda_orc_berserker|Ork-Berserker von Gundabad
trp_i4_gunda_orc_berserker_pl|Ork-Berserker von Gundabad
trp_ca4_gunda_skirmisher|Scharmützler von Gundabad
trp_ca4_gunda_skirmisher_pl|Scharmützler von Gundabad
trp_ca5_gunda_clan_skirmisher|Warg-Scharmützler des Nordens
trp_ca5_gunda_clan_skirmisher_pl|Warg-Scharmützler des Nordens
trp_c3_gunda_goblin_rider|Wolfsreiter von Gundabad
trp_c3_gunda_goblin_rider_pl|Wolfsreiter von Gundabad
trp_c4_gunda_warg_rider|Wargreiter von Gundabad
trp_c4_gunda_warg_rider_pl|Wargreiter von Gundabad
trp_c5_gunda_clan_rider|Wargreiter des Nordens
trp_c5_gunda_clan_rider_pl|Wargreiter des Nordens
trp_i5_gunda_orc_champion|Kriegsheld aus Gundabad
trp_i5_gunda_orc_champion_pl|Kriegshelden aus Gundabad
trp_mountain_goblin2|Bergork
trp_mountain_goblin2_pl|Bergorks
trp_tribal_orc2|Stammesork
trp_tribal_orc2_pl|Stammesorks
trp_i5_gunda_orc_champion2|Kriegsheld aus Gundabad
trp_i5_gunda_orc_champion2_pl|Kriegshelden aus Gundabad
trp_i2_mordor_num_renegade|Schwarzer Numenorer
trp_i2_mordor_num_renegade_pl|Schwarze Numenorer
trp_i3_mordor_num_warrior|Krieger der Schwarzen Numenorer
trp_i3_mordor_num_warrior_pl|Krieger der Schwarzen Numenorer
trp_i4_mordor_num_vet_warrior|Erfahrener Krieger der Schwarzen Numenorer
trp_i4_mordor_num_vet_warrior_pl|Erfahrene Krieger der Schwarzen Numenorer
trp_i5_mordor_num_champion|Kriegsheld der Schwarzen Numenorer
trp_i5_mordor_num_champion_pl|Kriegshelden der Schwarzen Numenorer
trp_i5_mordor_num_assassin|Meuchler der Schwarzen Numenorer
trp_i5_mordor_num_assassin_pl|Meuchler der Schwarzen Numenorer
trp_c4_mordor_num_horseman|Reiter der Schwarzen Numenorer
trp_c4_mordor_num_horseman_pl|Reiter der Schwarzen Numenorer
trp_c5_mordor_num_knight|Pferdeherr der Schwarzen Numenorer
trp_c5_mordor_num_knight_pl|Pferdeherren der Schwarzen Numenorer
trp_noldorin_commander|Fürst der Noldor
trp_noldorin_commander_pl|Fürsten der Noldor
trp_elf_captain_of_lothlorien|Heerführer von Lothlorien
trp_elf_captain_of_lothlorien_pl|Heerführer von Lothlorien
trp_lothlorien_lieutenant|Hauptmann von Lothlorien
trp_lothlorien_lieutenant_pl|Hauptmänner von Lothlorien
trp_elf_captain_of_mirkwood|Heerführer des Grünwalds
trp_elf_captain_of_mirkwood_pl|Heerführer des Grünwalds
trp_mirkwood_lieutenant|Hauptmann des Grünwalds
trp_mirkwood_lieutenant_pl|Hauptmänner des Grünwalds
trp_elf_captain_of_rivendell|Heerführer von Bruchtal
trp_elf_captain_of_rivendell_pl|Heerführer von Bruchtal
trp_rivendell_lieutenant|Hauptmann von Bruchtal
trp_rivendell_lieutenant_pl|Hauptmänner von Bruchtal
trp_lieutenant_of_rohan|Hauptmann von Rohan
trp_lieutenant_of_rohan_pl|Hauptmänner von Rohan
trp_captain_of_rohan|Heerführer von Rohan
trp_captain_of_rohan_pl|Heerführer von Rohan
trp_high_captain_of_rohan|Feldherr von Rohan
trp_high_captain_of_rohan_pl|Feldherren von Rohan
trp_lieutenant_of_isengard|Hauptmann von Isengart
trp_lieutenant_of_isengard_pl|Hauptmänner von Isengart
trp_captain_of_isengard|Heerführer von Isengart
trp_captain_of_isengard_pl|Heerführer von Isengart
trp_high_captain_of_isengard|Feldherr von Isengart
trp_high_captain_of_isengard_pl|Feldherren von Isengart
trp_lieutenant_of_mordor|Hauptmann von Mordor
trp_lieutenant_of_mordor_pl|Hauptmänner von Mordor
trp_captain_of_mordor|Heerführer von Mordor
trp_captain_of_mordor_pl|Heerführer von Mordor
trp_high_captain_of_mordor|Feldherr von Mordor
trp_high_captain_of_mordor_pl|Feldherren von Mordor
trp_easterling_chieftain|Variag-Kriegshäuptling
trp_easterling_chieftain_pl|Variag-Kriegshäuptlinge
trp_easterling_lieutenant|Variag-Kriegspriester
trp_easterling_lieutenant_pl|Variag-Kriegspriester
trp_harad_chieftain|Kriegshäuptling von Harad
trp_harad_chieftain_pl|Kriegshäuptlinge von Harad
trp_harad_lieutenant|Hauptmann von Harad
trp_harad_lieutenant_pl|Hauptmänner von Harad
trp_black_numenorean_captain|Feldherr der Schwarzen Numenorer
trp_black_numenorean_captain_pl|Feldherren der Schwarzen Numenorer
trp_black_numenorean_lieutenant|Hauptmann der Schwarzen Numenorer
trp_black_numenorean_lieutenant_pl|Hauptmänner der Schwarzen Numenorer
trp_a5_dun_night_wolf|Nachtwolf aus Dunland
trp_a5_dun_night_wolf_pl|Nachtwölfe aus Dunland
trp_dunnish_lieutenant|Hetmann der Dunländer
trp_dunnish_lieutenant_pl|Hetmänner der Dunländer
trp_goblin_chieftain|Orkhäuptling
trp_goblin_chieftain_pl|Orkhäuptlinge
trp_captain_of_gondor|Hauptmann von Gondor
trp_captain_of_gondor_pl|Hauptmänner von Gondor
trp_nobleman|Edelmann
trp_nobleman_pl|Edelmänner
trp_gondor_agent|Mann von Gondor
trp_gondor_agent_pl|Männer von Gondor
trp_rohan_agent|Mann von Rohan
trp_rohan_agent_pl|Männer von Rohan
trp_mordor_agent|Mann von Mordor
trp_mordor_agent_pl|Männer von Mordor
trp_isengard_agent|Mann von Isengart
trp_isengard_agent_pl|Männer von Isengart
trp_looter|Plünderer
trp_looter_pl|Plünderer
trp_bandit|Räuber
trp_bandit_pl|Räuber
trp_brigand|Brigant
trp_brigand_pl|Briganten
trp_mountain_bandit|Gebirgsräuber
trp_mountain_bandit_pl|Gebirgsräuber
trp_forest_bandit|Waldräuber
trp_forest_bandit_pl|Waldräuber
trp_sea_raider|Seeräuber
trp_sea_raider_pl|Seeräuber
trp_steppe_bandit|Steppenräuber
trp_steppe_bandit_pl|Steppenräuber
trp_manhunter|Kopfgeldjäger
trp_manhunter_pl|Kopfgeldjäger
trp_kidnapped_girl|Entführtes Mädchen
trp_kidnapped_girl_pl|Entführte Mädchen
trp_refugee|Flüchtling
trp_refugee_pl|Flüchtlinge
trp_peasant_woman|Einfache Frau
trp_peasant_woman_pl|Einfache Frauen
trp_caravan_master|Karawanenmeister
trp_caravan_master_pl|Karawanenmeister
trp_caravan_guard|Karawanenbegleiter
trp_caravan_guard_pl|Karawanenbegleiter
trp_messenger_man|Bote
trp_messenger_man_pl|Boten
trp_messenger_elf|Bote
trp_messenger_elf_pl|Boten
trp_messenger_dwarf|Bote
trp_messenger_dwarf_pl|Boten
trp_messenger_orc|Bote
trp_messenger_orc_pl|Boten
trp_messenger_evil_man|Bote
trp_messenger_evil_man_pl|Boten
trp_town_walker_1|Bürger
trp_town_walker_1_pl|Bürger
trp_town_walker_2|Bürgerin
trp_town_walker_2_pl|Bürgerinnen
trp_village_walker_1|Dorfbewohner
trp_village_walker_1_pl|Dorfbewohner
trp_village_walker_2|Dorfbewohner
trp_village_walker_2_pl|Dorfbewohner
trp_spy_walker_1|Bürger
trp_spy_walker_1_pl|Bürger
trp_spy_walker_2|Bürgerin
trp_spy_walker_2_pl|Bürgerinnen
trp_walker_man_gondor_black|Bürger
trp_walker_man_gondor_white|Bürger
trp_walker_man_gondor_blue|Bürger
trp_walker_man_gondor_green|Bürger
trp_walker_man_rohan_t|Stadtbewohner aus Rohan
trp_walker_man_rohan_d|Stadtbewohner aus Rohan
trp_walker_woman_rohan_t|Maid aus Rohan
trp_walker_woman_rohan_d|Maid aus Rohan
trp_walker_woman_gondor_b|Frau aus Gondor
trp_walker_woman_gondor_bw|Frau aus Gondor
trp_walker_woman_gondor_w|Edelmann aus Gondor
trp_mirkwood_walker_1|Grünwaldelb
trp_mirkwood_walker_2|Grünwaldelb
trp_lorien_walker_1|Elb aus Lothlorien
trp_lorien_walker_2|Elb aus Lothlorien
trp_dwarf_walker|Ein Zwerg
trp_beorn_walker|Einfacher Mann
trp_beorn_walker_fem|Einfache Frau
trp_trainer_4|Ausbilder
trp_trainer_gondor|Ausbilder
trp_trainer_rohan|Ausbilder
trp_trainer_dale|Ausbilder
trp_trainer_elf|Ausbilder
trp_trainer_beorn|Ausbilder
trp_trainer_dwarf|Ausbilder
trp_trainer_mordor|Ausbilder
trp_trainer_isengard|Ausbilder
trp_trainer_khand|Ausbilder
trp_trainer_rhun|Ausbilder
trp_trainer_harad|Ausbilder
trp_trainer_umbar|Ausbilder
trp_ransom_broker_1|Menschenhändler
trp_ransom_broker_2|Menschenhändler
trp_ransom_broker_3|Menschenhändler
trp_ransom_broker_4|Menschenhändler
trp_ransom_broker_5|Menschenhändler
trp_ransom_broker_6|Menschenhändler
trp_ransom_broker_7|Menschenhändler
trp_ransom_broker_8|Menschenhändler
trp_ransom_broker_9|Menschenhändler
trp_ransom_broker_10|Menschenhändler
trp_tavern_traveler_1|Reisender
trp_tavern_traveler_2|Reisender
trp_tavern_traveler_3|Reisender
trp_tavern_traveler_4|Reisender
trp_tavern_traveler_5|Reisender
trp_tavern_traveler_6|Reisender
trp_tavern_traveler_7|Reisender
trp_tavern_traveler_8|Reisender
trp_tavern_traveler_9|Reisender
trp_tavern_traveler_10|Reisender
trp_tavern_minstrel_1|Barde
trp_npc1|Mablung
trp_npc2|Cirdil
trp_npc3|Ulfas
trp_npc4|Galmyne
trp_npc5|Glorfindel
trp_npc6|Luevanna
trp_npc7|Kili Goldfinger
trp_npc8|Faniul
trp_npc9|Gulm
trp_npc10|Durgash
trp_npc11|Ufthak
trp_npc12|Gorbag
trp_npc13|Lykyada
trp_npc14|Fuldimir
trp_npc15|Bolzog
trp_npc16|Varfang
trp_npc17|Dimborn
trp_knight_6_2|Golasgil
trp_gondor_lord|Truchsess Denethor
trp_gondor_lord_pl|Truchsess
trp_rohan_lord|König Theoden
trp_rohan_lord_pl|König
trp_isengard_lord|Saruman
trp_isengard_lord_pl|Meister
trp_mordor_lord|Saurons Mund
trp_mordor_lord_pl|Satrap
trp_harad_lord|Häuptling Ul-Ulcari
trp_harad_lord_pl|Häuptling
trp_rhun_lord|Jarl Helcaroth
trp_rhun_lord_pl|Jarl
trp_khand_lord|Shibh Krukmahur
trp_khand_lord_pl|Shibh
trp_umbar_lord|Admiral Tulmir
trp_umbar_lord_pl|Admiral
trp_lorien_lord|Herrin Galadriel
trp_lorien_lord_pl|Herrin
trp_imladris_lord|Herr Elrond
trp_imladris_lord_pl|Herr
trp_woodelf_lord|König Thranduil
