itm_horse_meat|Pferdefleisch
itm_khand_foot_lam|Schwere Fußsoldatenrüstung aus Khand
itm_khand_med_lam|Mittelschwere Lamellenrüstung aus Khand
itm_khand_heavy_lam|Schwere Lamellenrüstung aus Khand
itm_khand_mail|Kettenrüstung aus Khand
itm_khand_noble_lam|Fürstliche Rüstung aus Khand
itm_khand_axe_great|Große Axt aus Khand
itm_khand_axe_winged|Flügelaxt aus Khand
itm_khand_halberd|Hellebarde aus Khand
itm_khand_trident|Dreizack aus Khand
itm_khand_voulge|Voulge aus Khand
itm_khand_mace1|Streitkolben aus Khand
itm_khand_mace2|Streitkolben aus Khand
itm_khand_throwing_axe|Wurfaxt aus Khand
itm_khand_rammace|Widderkolben aus Khand
itm_khand_pitsword|Grubenkämpferschwert
itm_khand_tulwar|Talwar aus Khand
itm_khand_2h_tulwar|Großer Talwar aus Khand
itm_khand_lance|Lanze aus Khand
itm_easterling_round_horseman|Rundschild der Ostlinge
itm_variag_gladiator_shield|Grubenschild aus Khand
itm_easterling_hawk_shield|Falkenschild der Ostlinge
itm_rhun_bull1_shield|Schild aus Rhun
itm_rhun_bull2_shield|Schild aus Rhun
itm_rhun_bull3_shield|Schild aus Rhun
itm_rhun_shield|Langschild aus Rhun
itm_rhun_armor_a|Leichte Kampfausrüstung aus Rhun
itm_rhun_armor_b| Leichte Kampfausrüstung aus Rhun
itm_rhun_armor_d| Leichte Kampfausrüstung aus Rhun
itm_rhun_armor_g|Schwere Kampfausrüstung aus Rhun
itm_rhun_armor_h|Schwere Kampfausrüstung aus Rhun
itm_rhun_armor_j|Mittelschwere Kampfausrüstung aus Rhun
itm_rhun_armor_m|Mittelschwere Kampfausrüstung aus Rhun
itm_rhun_armor_n|Mittelschwere Kampfausrüstung aus Rhun
itm_rhun_armor_o|Mittelschwere Kampfausrüstung aus Rhun
itm_rhun_armor_p|Fürstliche Rüstung aus Rhun
itm_rhun_armor_k|Fürstliche Rüstung aus Rhun
itm_rhun_helm_chieftain|Häuptlingshelm aus Rhun
itm_rhun_helm_pot|Topfhelm aus Rhun
itm_rhun_helm_barbed|Zackenhelm aus Rhun
itm_rhun_helm_round|Runder Helm aus Rhun
itm_rhun_helm_leather|Lederhelm aus Rhun
itm_rhun_warpick|Kriegshacke aus Rhun
itm_rhun_greataxe|Große Axt aus Rhun
itm_rhun_battleaxe|Schlachtaxt aus Rhun
itm_rhun_falchion|Grausames Falchion
itm_rhun_glaive|Glefe aus Rhun
itm_rhun_greatfalchion|Grausames Langfalchion
itm_rhun_greatsword|Grausames Langschwert
itm_rhun_shortsword|Grausames Kurzschwert
itm_rhun_sword|Grausames Schwert
itm_rhun_mangler|Metzler aus Rhun
itm_dale_light_a|Milizenwams aus Thal
itm_dale_light_b|Leichte Nordmann-Lamellenrüstung
itm_dale_med_a|Schwere Nordmann-Lamellenrüstung
itm_dale_med_b|Lederrüstung aus Thal
itm_dale_med_c|Leder-und-Kettenrüstung aus Thal
itm_dale_med_d|Lamellenrüstung aus Thal
itm_dale_heavy_a|Schwere Lamellenrüstung aus Thal
itm_dale_heavy_b|Plattenrock aus Thal
itm_dale_heavy_c|Rhovanion-Ringpanzer
itm_north_leather|Lederwams der Nordmenschen
itm_dale_helmet_a|Leichter Soldatenhelmd aus Thal
itm_dale_helmet_b|Leichter Schützenhelm aus Thal
itm_dale_helmet_c|Soldatenhelm aus Thal
itm_dale_helmet_d|Schützenhelm aus Thal
itm_dale_helmet_e|Bardingerhelm
itm_dale_helmet_f|Bardingerhelm
itm_dale_sword|Kurzschwert aus Thal
itm_dale_sword_long|Langschwert aus Thal
itm_dale_sword_broad|Hiebschwert aus Thal
itm_dale_pike|Speer aus Thal
itm_dale_billhook|Hippe aus Thal
itm_dale_shield_a|Turmschild aus Thal
itm_dale_shield_b|Turmschild aus Thal
itm_dale_shield_c|Rundschild aus Thal
itm_umb_armor_a|Korsaren-Lederrüstung
itm_umb_armor_b|Korsaren-Lederrüstung
itm_umb_armor_c|Leichter Schuppenpanzer der Korsaren
itm_umb_armor_d|Schuppenpanzer der Korsaren
itm_umb_armor_e|Korsarenrüstung
itm_umb_armor_f|Kapitänsrüstung der Korsaren
itm_umb_helm_a|Schalenhelm der Korsaren
itm_umb_helm_b|Hoher Helm der Korsaren
itm_umb_helm_c|Leichter Korsarenhelm
itm_umb_helm_d|Plündererhelm der Korsaren
itm_umb_helm_reward|Uralter Karma aus Numenor
itm_corsair_trident|Dreizack der zornigen See
itm_corsair_boots|Korsarenstiefel
itm_umb_shield_a|Korsarenschild
itm_umb_shield_b|Faustschild der Korsaren
itm_umb_shield_c|Faustschild der Korsaren
itm_umb_shield_d|Faustschild der Korsaren
itm_umbar_spear|Kurzspeer aus Umbar
itm_umbar_cutlass|Entermesser aus Umbar
itm_kraken|Kraken-Entermesser
itm_umbar_rapier|Enterschwert aus Umbar
itm_corsair_harpoon|Korsarenharpune
itm_corsair_sword|Eket der Korsaren
itm_corsair_throwing_dagger|Tückische Wurfdolche
itm_umbar_pike|Dreizack der Korsaren
itm_woodman_tunic|Wams der Waldmenschen
itm_woodman_scout|Spähermantel der Waldmenschen
itm_woodman_padded|Polsterwams der Waldmenschen
itm_beorn_tunic|Tunika der Beorninger
itm_beorn_padded|Gepolsterte Rüstung der Beorninger
itm_beorn_heavy|Schwere Rüstung der Beorninger
itm_beorn_berserk|Berserker-Ausrüstung der Beorninger
itm_beorn_chief|Häuptlingstunika der Beorninger
itm_beorn_helmet|Bärenhelm
itm_beorn_shield|Schild der Nordmänner
itm_beorn_axe|Axt der Beorninger
itm_beorn_staff|Kampfstab der Waldmenschen
itm_beorn_battle_axe|Kriegsaxt der Beorninger
itm_dwarf_shield_a|Eckiger Zwergenschild
itm_dwarf_shield_b|Großer Zwergenschild
itm_dwarf_shield_c|Zwergen-Kampfschild
itm_dwarf_shield_d|Runder Zwergenschild
itm_north_round_shield|Rundschild der Nordmänner
itm_woodmen_heavy|Düsterwald-Rüstung
itm_dwarf_sword_a|Zwergenschwert
itm_dwarf_sword_b|Hiebschwert der Beorninger
itm_dwarf_sword_c|Zwergenschwert
itm_dwarf_sword_d|Zwergenschwert
itm_dwarf_battle_axe|Zwergische Streitaxt
itm_dwarf_great_axe|Große Zwergenaxt
itm_dwarf_great_mattock|Große Zwergenhacke
itm_dwarf_great_pick|Große Zwergenspitzhacke
itm_dwarf_throwing_axe_reward|Wurfäxte vom Erebor
itm_dwarf_mattock|Zwergenhacke
itm_dwarf_hand_axe|Zwergische Kurzaxt
itm_dwarf_throwing_axe|Zwergische Wurfäxte
itm_dwarf_spear|Zwergenspeer
itm_dwarf_spear_b|Zwergenpike
itm_dwarf_spear_c|Zwergische Langaxt
itm_dwarf_helm_coif|Zwergische Kettenhaube
itm_dwarf_nasal_b|Zwergischer Nasalhelm
itm_north_skullcap|Eisenhaube der Nordmänner
itm_dwarf_helm_kettle|Zwergischer Eisenhut
itm_dwarf_helm_fris|Zwergischer Spitzhelm
itm_north_leather_skullcap|Leichte Eisenhaube der Nordmänner
itm_dwarf_hood|Zwergenkapuze
itm_dwarf_nasal|Zwergischer Topfhelm mit Nasal
itm_north_nasal_helm|Nasalhelm der Nordmänner
itm_dwarf_helm_p|Königlicher Zwergenhelm
itm_dwarf_miner|Leichter Zwergenhelm
itm_north_chieftain|Häuptlingshelm der Nordmänner
itm_dwarf_helm_round|Zwergische Eisenhaube
itm_dwarf_helm_sallet|Zwergischer Schaller
itm_dwarf_armor_d|Schuppenrock aus den Eisenbergen
itm_dwarf_armor_a|Waffenrock vom Erebor
itm_leather_dwarf_armor|Zwergischer Polsterrock
itm_dwarf_armor_b|Ringwams vom Erebor
itm_leather_dwarf_armor_b|Zwergisches Polsterwams
itm_dwarf_armor_c|Schuppenrock vom Erebor
itm_dwarf_vest|Zwergenwams
itm_dwarf_vest_b|Kettenrüstung aus den Eisenbergen
itm_dwarf_pad_boots|Gepolsterte Zwergenstiefel
itm_dwarf_chain_boots|Zwergische Panzerhosen
itm_dwarf_scale_boots|Zwergische Eisenstiefel
itm_good_mace|Streitkolben
itm_mordor_banner|Banner von Mordor
itm_isengard_banner|Banner von Isengart
itm_woodelf_banner|Banner des Düsterwalds
itm_lorien_banner|Banner von Lothlorien
itm_imladris_banner|Banner von Imladris
itm_gondor_lance_banner|Lanze mit Banner von Gondor
itm_amroth_lance_banner|Lanze mit Banner von Dol Amroth
itm_rohan_lance_banner_sun|Lanze mit Sonnenbanner von Rohan
itm_rohan_lance_banner_horse|Lanze mit Pferdebanner von Rohan
itm_fur_gloves_reward|Jagdhandschuhe
itm_ent_water|Fremdartige Schüssel voll Wasser
itm_map|Karten von Mittelerde
itm_athelas_reward|Getrocknete Athelas-Blätter
itm_phial_reward|Galadriels Licht
itm_scroll_reward|Über den Fall von Gondolin
itm_hammer_reward|Schmiedehammer
itm_khand_knife_reward|Opfermesser aus Khand
itm_angmar_whip_reward|Peitsche des Gebieters
itm_horn_gondor_reward|Horn von Gondor
itm_harad_totem_reward|Totem von Harad
itm_elven_amulet_reward|Elbisches Amulett
itm_torque_reward|Bösartiger Halsring
itm_orc_brew|Orkgebräu
itm_rohan_saddle|Sattel
itm_mearas_reward|Hengst der Mearas
itm_shield_of_tuor|Schild von Tuor
itm_riv_armor_reward|Dekorierte Rüstung aus Bruchtal
itm_westernesse1h_reward|Schwert von Westernis
itm_westernesse2h_reward|Schwert von Westernis
itm_mirkwood_sword_reward|Reliquienschwert des Grünwalds
itm_nazgul_sword|Bösartiges Schwert
itm_cooking_cauldron|Kessel
itm_eorl_cavalry_sword|Eorls Schwert
itm_garlic_reward|Knoblauch
itm_silmarillion_reward|Silmarillion
itm_herbarium_reward|Kräuterkunde von Mittelerde
itm_book_of_moria|Buch von Mazarbul
itm_ring_a_reward|Tulcarisil
itm_ring_b_reward|Finwarisil
itm_dale_bow_reward|Bards Bogen
itm_tome_of_knowledge|Buch mit arkanem Wissen
itm_orc_idol_reward|Götze des Ersten Orks
itm_crebain_reward|Crebain
itm_miruvor_reward|Flasche Miruvor
itm_wheeled_cage|Gewaltiger Rollkäfig
itm_orc_throwing_axes_reward|Wurfäxte vom Gundabadberg
itm_corsair_throwing_dagger_reward|Vergiftete Wurfdolche
itm_dwarf_shield_reward|Schild von Kheled-zaram
itm_dwarf_great_axe_reward|Scharfe Zwergenaxt
itm_isen_uruk_heavy_reward|Feldherrenrüstung der Urk-hai
itm_lorien_bow_reward|Bogen der Noldor
itm_elven_cloak|Elbenmantel
itm_dale_sword_reward|Königliches Schwert von Thal
itm_dale_armor_reward|Fürstliche Rüstung von Thal
itm_leather_gloves_reward|Schützenhandschuhe
itm_beorn_shield_reward|Bärenfratze
itm_beorn_axe_reward|Bärenpranke
itm_drums_of_the_deep|Trommeln aus der Tiefe
itm_khamul_helm|Helm von Khamul
itm_black_arrows_reward|Schwarze Pfeile
itm_leather_boots_reward|Jägerstiefel
itm_rohan_armor_th|Königliche Rüstung von Rohan
itm_wilderness_cowl|Jägerkapuze
itm_prisoner_coll_chain|Gefangenenketten
itm_witchking_helmet|Zauberermaske
itm_feet_chains|Fußketten
itm_feet_chains_dwarf|Fußketten
itm_spider|Spinne
itm_bear|Bär
itm_wolf|Wolf
itm_werewolf|Werwolf
itm_thrush_reward|Drossel
itm_gauntlets_reward|Eisenfaust
itm_stones_siege|Wurfsteine
itm_beorn_axe_no_attack|Axt der Beorninger
