
str_yes|Ja
str_npc15_backstory_b|Vor vielen Monden, als ich noch ein kleiner Frischling war, führte mein Ahnherr den Stamm in die Minen, wo gerade die Zwerge alle gestorben waren. Ein Feuergeist war gerade durchgewandert und es war gemütlich und warm. Wir lebten gut, aber ab und zu kam ein grausamer Abenteurer, oder ein Zwergenheld, und tötete und verletzte uns in unseren friedlichen Tunneln. Meine Hände lernten, die Wunden von Schwert und Axt zu schließen und mein Hirn lernte, Knochen und Sehnen unter jeder Haut zu erkennen. Heute kann ich genau so gut einen Zaubertrank anrühren, wie ich einen Bruch richten.
str_npc16_backstory_b|Die Balchoth waren ein wilder Stamm der Menschen aus meinem Heimatland, aber wurden von diesen Westlingen bis auf wenige abgeschlachtet. Wie Lasttiere als Futter für ihre Klingen niedergejagt. Das Blut, das durch diese Klingen vergossen wurde, ist dasselbe Blut, das durch meine Adern fließt, denn in mir lebt ihr Geschlecht fort.
str_npc17_backstory_b|Man kann viele Dinge aus Bäumen machen, weißt du. Das ist, was ich mache. Ich arbeit mit Bäumen und mache Dinge aus Bäumen. Manchmal auch Büsche. Aber mir sind Bäume lieber.
str_npc1_backstory_c|Wie dem auch sei, ich fürchte, wir sind hier in Ithilien hoffnungslos in der Unterzahl und werden ohne Verstärkungen oder kühnere Handlungen durch unseren Truchsess nicht lange durchhalten. Ich könnte genauso gut dort helfen, wo meine Handlungen etwas bewirken, sofern mir mein Hauptmann Faramir erlaubt zu gehen.
str_npc2_backstory_c|Wie wichtig mein Dienst hier auch immer ist, bin ich doch erpicht echte Schlachten zu sehen und... Elben und sprechende Bäume und Oliphanten! Ihr scheint weitgereist zu sein, Anführer, und das soll keine Herabschätzung Eures Erscheinungsbildes sein, nicht im Geringsten. Ich lerne schnell und kann kochen... nunja, das heißt, gut genug für Soldaten. Wenn ich mich nicht irre, sucht Ihr nach Freiwilligen?
str_npc3_backstory_c|Hier bin ich nun, in Ungnade gefallen und verbittert. Meine Éored muss mittlerweile Meilen fort sein, und ich hätte keine Chance sie einzuholen, nicht mit all den Orks und Wilden, die die Ebenen durchstreifen. Benötigt Ihr vielleicht einen ausgezeichneten Reiter der Rohirrim?
str_npc4_backstory_c|Ihr wisst vielleicht, dass es Frauen, wie begabt auch immer, nicht erlaubt ist, mit den Éoreds zu reiten. Ich glaube aber nicht, dass es mein Schicksal ist, am Herd auf die Rückkehr der Krieger zu warten. Ich werde nicht solange untätig herumsitzen bis alle Möglichkeiten großer Taten in diesem Krieg vorüber sind, und ich würde Eure Unterstützung begrüßen, Krieger.
str_npc5_backstory_c|Sollten die Feinde Lothlóriens aber auf der Flucht sein, könnte ich erwägen, mich Euch für eine Weile anzuschließen, {playername}. Ich spüre, dass unsere Schicksale in diesem Krieg verflochten sind.
str_npc6_backstory_c|Ihr würdet das nicht verstehen, glaube ich, da Ihr für den Krieg gerüstet erscheint. Aber Ihr müsst weit und breit gereist sein - habt Ihre andere große Wälder gesehen? Könnt Ihr mich zu ihnen bringen?
str_npc7_backstory_c|Es herrscht eine Flaute in den Kämpfen, die einem Zwergenkrieger meiner Abkunft und meines Temperaments schlecht eignet. Ich vermute Ihr seht viel mehr Gefechte auf Euren Reisen und Eure Sache dient auch den Zwergen? Ich weiß, dass ein kämpfender Zwerg Eure Überlebenschancen deutlich steigern würde.
str_npc8_backstory_c|Ich höre, dass anderswo viel mehr Kämpfe gibt und dass unsere Länder glücklicherweise für jetzt verschont werden. Die Schrammen auf Eurer Rüstung zeigen, dass ihr schon oft in Gefahr gewesen sein müsst. Vielleicht könnten meine bescheidenen Fähigkeiten in Eurer Begleitung besser genutzt werden, zum größeren Nutzen aller.
str_npc9_backstory_c|Ich bin ein kämpfender Uruk-hai, und ein Berserker! Was es über das Töten von Menschen zu wissen gibt, das weiß ich. Ich war im Dienst der Weißen Hand, aber nun würde mich die Hand wahrscheinlich in die Feuergruben werfen.^^Ich würde mit dir kommen und im Süden Menschen jagen, während die Snagas von Isengart mit den Zähnen knirschen.
str_npc10_backstory_c|Vielleicht könnt Ihr mein nächster Meister sein.
str_npc11_backstory_c|Gut, gut! Meine Nase ist nicht besonders nützlich. Ich schätze, meine Augen sind besser, als meine Nase. Ai! Aber meine Nase ist nur deshalb nutzlos, weil ich nicht weiß, wie Nichts riecht. Ich weiß noch nichtmal, wonach sie eigentlich suchen soll, sag ich dir. Arr! Ich muss einfach nur abhauen und woanders schnüffeln.
str_npc12_backstory_c|Eh, wenn ich die Möglichkeit sehe, mache ich mich davon und lasse mich irgendwo auf eigene Faust nieder, mit ein paar vertrauenswürdigen Jungs. Irgendwo, wo's gute und leichte Beute gibt, und keine großen Bonzen. Ich würd's irgendwo versuchen, wo keiner von denen ist, wie in den alten Zeiten.
str_npc13_backstory_c|Ich folgte meinen Verwandten nach Norden und nahm Seinen Dunklen Ruf an, um die Pflicht zu erfüllen, die ich meinem Volk schulde. Aber in ihnen sehe ich Seine Dunkelheit wohnen und versuche deshalb, meinen Anteil an diesem Krieg woanders zu erfüllen, bis der Sand meiner Zeit nicht mehr fällt. Selbst jetzt spüre ich, dass das, was einst ein Wasserfall war, nun zu einem Rinnsal wird.
str_npc14_backstory_c|Aber nun naht die dunkelste Flut von allen, die schwarze Flut des Schattens, der sich über diese Lande erhebt wie ihn noch kein Sterblicher gesehen hat. Dies ist die Flut, die ich meistern will, aber ich habe keine Besatzung, die hart genug ist, um auf diesem Sturm zu reiten.
str_npc15_backstory_c|Nach vielen Wintern verließ ich die Tunnel und suchte in den dunklen Wäldern nach einem guten Platz zum Leben und um meine Künste auszuüben. Mir ging's gut, bis irgendwelche hässlichen Bastarde mit weißen Tätowierungen - ägh! Weiß! Wie ein Elbengesicht! - und große Bastarde waren sie. Sie brannten mein kleines Zuhause im Wald nieder, ubd ich musste mich wieder in den Höhlen verstecken... Hier.. Sagt, habt Ihr etwas zu essen? Vielleicht ein hübsches Pferdchen?
str_npc16_backstory_c|Das war vor vielen Menschenleben, in einer anderen Zeit. Aber die Zeit für Trauer und Geschichten ist nun vorbei. Die Zeit der Vergeltung ist gekommen und ich werde die Rache meines Volkes in das Antlitz der westlichen Lande einschneiden. Durch meine Hand werden ihre Heime verfallen und verkümmern, bis ihr Stamm nicht mehr ist!
str_npc17_backstory_c|Wenn du in den Wald gehst, kann ich vielleicht mitkommen und dir über die Bäume dort erzählen? Viele sehr interessante Bäume dort, weißt du.
str_npc1_backstory_later|Ich habe Spähtrupps in den Süden geleitet, bis zu den Emyn Arnen. Dort herrscht rege Feindesaktivität und viele Orks fielen in unseren Hinterhalten. Leider sind das nunmal nur so viele Orkköpfe, die die Schluchten herunterrollen, wir sahen aber eine Myriade garstiger Kreaturen auf dem Vormasch. Ich fürchte um mein Ithilien und das Schicksal Gondors.
str_npc2_backstory_later|Wir hatten zuletzt nur einige Besucher, und weniger werden kommen. Ich meine, dass dies nichts Gutes verheißt.
str_npc3_backstory_later|Immer noch keine Neuigkeiten von meiner Éored, und ich bin erpicht darauf, einige Orks niederzureiten.
str_npc4_backstory_later|Mehr Reiter kehren mit verletzten Körpern zurück, und ich versuche Hilfe zu leisten, wo ich kann. Aber ich fühle mich immer noch wie in einen Käfig gesperrt.
str_npc5_backstory_later|Habt Ihr Euch umentschieden? Die Zeit für die Eldar wird kurz.
str_npc6_backstory_later|Ich habe ein Nest riesiger Spinnen für einige Tage beobachtet. Sie scheinen zunächst hässlich Kreaturen zu sein, aber sie halten Eindringle in Schach. Kamt Ihr zu fragen, ob ich mit Euch reise?
str_npc7_backstory_later|Verteidigungsmauern zu errichten ist eine eines Zwergen würdige Aufgabe. Aber ich muss auch meine Axt gebrauchen. Lasst mich mit Euch kommen.
str_npc8_backstory_later|Ich folgte einem weiteren Ruf unseres Königs, diesmal wegen Erbrechens. Ich hoffe seine Entschlossenheit den Feind anzugreifen, ist nicht mit seinem Zustand verbunden. Leidet Ihr auch an Verstopfug und Erbrechen?
str_npc9_backstory_later|Was glaubst, was ich tue? Gulm sitzt hier und wartet auf einen hinterhältigen Snaga, der ihn im Dunklen absticht. Nimm mich mit dir - ich werde dir gut dienen. 
str_npc10_backstory_later|Habt Ihr Euch umentschieden? Ich werde Euch gut dienen.
str_npc11_backstory_later|Ar! Du bist es! Ich habe dich gerochen, ich wusste, dass du kommst. Erzähl das den Bossen, ja? Die denken, nur weil ich bei den Fährtenlesern rausgeworfen wurde, können sie sich über mich lustig machen. Da liegen sie aber falsch, denn erst werde ich ihnen einen Pfeil in die Gedärme jagen. Und wer wäre schuld dran? Ich nicht!
str_npc12_backstory_later|Ich habe meine Befehle! Jedem Eindringling, den meine Jungs hier finden, wird alles abgenommen; Zähne, Nägel, Haare und alles. Aber ich habe meine Bewacher. Wir wissen, dass komische Dinge vor sich gehen: Die Großen Bonzen ziehen in den Krieg und so. Große Dinge gehen da im Westen vor sich. Hier Rumsitzen und Nichtstun geht mir gegen den Strich.
str_npc13_backstory_later|Ich bin der Dunklen Sache hier nützlich, und erneut fürchten die Nordländer den Süden. Ich kann große Siege voraussehen, und Ströme von Blut werden aus ihnen entspringen. Aber ich sehe auch, dass mein Volk mit jedem Sieg weiter verdorben wird, und wie die Herzen meiner Verwandten Seinem bösen Willen unterworfen werden. Dieser Anblick lässt mich verzweifeln.
str_npc14_backstory_later|Ihr seid zurück, Fremder. Vielleicht ist das ein Omen. Ich habe die Wasser gelesen und sehe sie sich verdunkeln. Die See verändert die Augen eines Mannes und lehrt ihn, sie zu verwenden, um ihre Sprache zu verstehen.
str_npc15_backstory_later|Groß ist die Zahl der Großen, die um meine Heiltränke gebettelt haben. Es gibt aber auch viele Pferdeficker und fahlgesichtige Elben und ich musste meine Hütte erneut aufgeben und ich bin... nun, großer Herr, ich bin nicht mehr so glücklich wie, als wir zusammen kämpften, und Ihr für meine Künste dankbar wart...
str_npc16_backstory_later|Seit Langem erzählen die Sagen meines Volkes von diesen Landen. Ich weiß nicht, was deren Lügengeschichten von den Tagen berichten, als mein Volk einst diese Länder betrat, aber traurig und düster werden ihre Geschichten nun sein, da mein Volk sie erneut betritt. Wie ein Sturm von Hufen und Pfeilen werden wir ihnen ihr Verhängnis bringen, wie vor uns die Balchoth.
str_npc17_backstory_later|Ich habe neulich eine sehr alte Kiefer gesehen. Kiefern können sehr alt werden. Man muss alte Bäume respektieren. Aber ich habe auch einige gesehen, die Bäume überhaupt nicht respektieren. Du respektierst Bäume, nicht?
str_npc1_backstory_response_1|Falls Ihr mitkommen dürft - ich bräuchte dringend einen erfahrenen Krieger und Fährtenleser.
str_npc2_backstory_response_1|Ihr liegt richtig, ich suche nach Freiwilligen.
str_npc3_backstory_response_1|Wenn Ihr ohne Bier auskommt, will ich einen guten Reiter willkommen heißen.
str_npc4_backstory_response_1|Ich hieße die Hilfe einer Schilmaid Rohans willkommen, wenn angeboten.
str_npc5_backstory_response_1|Es ist vielleicht anmaßend zu fragen, aber meine Truppe könnte Eure Fähigkeiten in den kommenden Schlachten gebrauchen.
str_npc6_backstory_response_1|Wir bereisen die Welt, aber um alles, was gerecht ist, zu verteidigen, bekämpfen wir den Feind.
str_npc7_backstory_response_1|Ein Zwergenkrieger wäre in meiner Truppe tatsächlich willkommen.
str_npc8_backstory_response_1|Wir können eine Heilerin und Kräuterkundige gebrauchen.
str_npc9_backstory_response_1|Ich meine, dass wir einen Berserker gut verwenden könnten.
str_npc10_backstory_response_1|Ja, das werdet Ihr.
str_npc11_backstory_response_1|Wie wär's, wenn du mit mir abhaust?
str_npc12_backstory_response_1|Wie wär's, wenn du dich mit mir davon machst?
str_npc13_backstory_response_1|Wie wär's wenn Ihr mir folgt?
str_npc14_backstory_response_1|Wie wäre es, wenn Ihr mir folgt?
str_npc15_backstory_response_1|Aha... ein Heiler, ja? Und du bist gut darin, sagst du? Ich könnte jemanden wie dich gebrauchen.
str_npc16_backstory_response_1|Was macht Ihr hier?
str_npc17_backstory_response_1|Nunja, man kann immer mehr über Bäume lernen. Wir wären froh, dich bei uns zu haben.
str_npc1_backstory_response_2|Es tut mir leid das zu hören. Möge Euer Glaube Eure Tapferkeit unterstützen.
str_npc2_backstory_response_2|Nein, entschuldigt. Ich suche nach erfahrenen Kriegern.
str_npc3_backstory_response_2|Nein, tut mir leid. Ich suche nach jemand Verlässlicheren.
str_npc4_backstory_response_2|Es tut mir leid, meine Herrin, es gibt nichts, das ich tun kann.
str_npc5_backstory_response_2|Ich kehre zurück, wenn sich Lothlórien in weniger Gefahr befindet.
str_npc6_backstory_response_2|Nein, entschuldigt. Wir können keine Mitläufer mitnehmen.
str_npc7_backstory_response_2|Nein, entschudligt. Wir kommen gut allein zurecht.
str_npc8_backstory_response_2|Nein, entschuldigt. Wir besuchen Heiler nur, wenn wir sie brauchen.
str_npc9_backstory_response_2|Bah. Ich traue keinen Verrätern.
str_npc10_backstory_response_2|Ich brauche dich nicht, Sklave.
str_npc11_backstory_response_2|Ich will von deinen Schleichereien nichts wissen.
str_npc12_backstory_response_2|Die Großen Bonzen wissen es am besten. Befehle befolgt man am besten.
str_npc13_backstory_response_2|Euer Schicksal müsst Ihr selbst ertragen.
str_npc14_backstory_response_2|Ich habe genug davon.
str_npc15_backstory_response_2|Pah! Ich brauche Kämpfer, keine Herumschleicher.
str_npc16_backstory_response_2|Ich habe genug davon.
str_npc17_backstory_response_2|Nein, entschuldige. Wir ziehen in den Krieg, nicht auf eine botanische Reise.
str_npc1_signup|Ich bin sicher Hauptmann Faramir würde verstehen, dass es andere gibt, die den Feind mit noch mehr Tapferkeit und Mut in Schach halten können.
str_npc2_signup|Oh, welch Freudentag! Ich wäre froh, mich Eurer Truppe anzuschließen.
str_npc3_signup|Vertraut mir, Anführer, alles Bier, das ich benötige, ist der süße Trank des Sieges. Wenn Ihr mich gegen die Feinde führt, werden sie bald die Spitze eines rohirrischen Speeres zu spüren bekommen.
str_npc4_signup|Sie wird gerne angeboten, und Ihr könnt mich in Eurer Truppe willkommen heißen, Anführer.
str_npc5_signup|Ich verstehe. Ich gebe zu, dass ich von Euch und Euren Heldentaten gehört habe.
str_npc6_signup|Ich verabscheue Gewalt und Kriegswaffen, aber ich weiß, wie ich mich in Bedrängnis verteidige.
str_npc7_signup|Ich bin geübt mit einer Axt, sowohl der geschwungenen wie der geworfenen Sorte. Ich kann auch die Rechnungen niedrig halten, wenn Ihr mich mit den Händlern sprechen lasst. Und ich habe ein Auge für die besten Beutestücke unserer auf dem Schlachtfeld gefallenen Feinde.
str_npc8_signup|Tatsächlich? Nun denn, dann muss ich lediglich meine Kräuer und Rezepte zusammentragen.
str_npc9_signup|Ein kämpfender Uruk ist mehr wert als all deine Snagas. Ein kämpfender Uruk rennt niemals vom Kampf davon.
str_npc10_signup|Wirklich? Ihr tut gut daran, mich anzuwerben.
str_npc11_signup|Deinem... Eurem Haufen folgen? Arr! Ich hab davon gehört, was im Westen los ist. Überfälle und so, und hunderte von unseren Jungs geh'n drauf. Ich komme mit und schaue mir das mal an, und mal sehen, was Ihr vorhabt.
str_npc12_signup|Mich deinem... Eurem Gesindel anschließen, ja? Anscheinend habe ich endlich mal Glück. Ich bin gut bei Stimme, denke ich, und meine Peitsche ist immer wachsam. Sie hat auch schon so einige Male an der Orkhaut meiner Jungs geschmeckt.
str_npc13_signup|Ich werde Euch folgen, wenn Ihr mich haben wollt. Meine Beine lenken leicht jedes Pferd und meine Hand weiß die Mondsichelklingen sicher zu führen. Meine Finger können Pfeile wie Sterne auf unsere Feinde regnen lassen, sei es zu Pferde oder zu Fuß. Doch wie ich kämpfe, sei Eurem Befehl überlassen.
str_npc14_signup|Vielleicht. Wisst, dass ich weder ein Dieb noch ein Räuber bin. Ich stehle nicht und nehme nicht das, was lebendige Menschen brauchen könnten.
str_npc15_signup|He he. Ihr habt Recht! Jaaa! Ihr seid weise, oh großer Feldherr.
str_npc16_signup|Ich warte auf Befehle und jeder Moment, der vergeht, verdunkelt mein Herz. Ich kann es nicht mehr ertragen, auf die Pläne von weit entfernten Fürsten und Feldherren zu warten, deren Dasein uns so fremd ist, dass sie uns eher als Legenden denn als aus Fleisch und Blut gelten. Herren, deren geflüsterte Befehle von niederen Menschen weitergetragen und ausgeschrien werden. Ich warte und mit mir wartet auch die Rache meines Volkes.
str_npc17_signup|Sehr gut! Ich kenne viele Bäume. Bald wirst auch du viele Bäume kennen. Wie ich. Weil ich viele Bäume kenne.
str_npc1_signup_2|Es dauert einen Moment, mit meinem Hauptmann zu sprechen und meine Sachen zusammenzutragen.
str_npc2_signup_2|Ich muss mit meinem Vorgesetzten sprechen und dann können wir aufbrechen - es gibt glorreiche Schlachten zu schlagen und alle möglichen merkwürdigen Kreaturen zu sehen!
str_npc3_signup_2|Ich habe darauf gewartet, dass mich jemand mitnimmt, deshalb muss ich nur mein Pferd satteln und wir sind bereit auszureiten.
str_npc4_signup_2|Ich habe viele Male Wild mit Bögen und Wurfspeeren gejagt. Ich werde Orks unter Eurem Befehl jagen. Und ich habe einige Fertigkeit im Heilen, die sicherlich vonnöten sein wird.
str_npc5_signup_2|Vielleicht wird durch das Beitreten in Eure Truppe und den harten Schlag dort, wo ich nicht erwartet werde, der Feind aus dem Gleichgewicht geworfen. Ich werde mitkommen.
str_npc6_signup_2|Vielleicht kann ich Euch beibringen, Euch schneller zu bewegen und weniger Lärm zu verursachen. Lasst uns gehen.
str_npc7_signup_2|Wenn Ihr das große Volk in Eurer Truppe bei der Stange halten könnt, besonders die heimtückischen Elben, werde ich mich Euch gerne anschließen.
str_npc8_signup_2|Ich muss Euch aber warnen, dass ich ziemlich unnütz im Kampf bin. Aber ich bin mir sicher, dass Ihr eine Frau meines Alters beschützen könnt.
str_npc9_signup_2|Du musst dich aber schnell entscheiden, die Wachen hier schöpfen Verdacht.
str_npc10_signup_2|Ihr werdet es nicht bereuen, mich anzunehmen.
str_npc11_signup_2|Gibt auch ne Menge da draußen, woran meine Nase riechen kann - oder mein Messer schmecken. Beide kennen gerade noch nicht besonders viel, aber sie lernen schnell genug. Was sagt Ihr?
str_npc12_signup_2|Ich zeige Euren Schnecken: Wo eine Peitsche ist, ist auch ein Wille. Und ich prügel sie so viel, wie ihre Häute ertragen. Wenn Eure Jungs es aushalten, wird es sie schon ordentlich auf Trab halten. Was sagt Ihr?
str_npc13_signup_2|Wisst jedoch, dass meine Treue allein meinem Volk gehört. Ich habe so viel gekämpft und so viel für es verloren. Ich werde meiner Sippe nicht den Rücken kehren, denn ihr Schicksal ist auch das meine.
str_npc14_signup_2|Es jedoch ein glücklicher Umstand, dass jene, die nicht länger in dieser Welt weilen, auch keine Verwendung mehr für die Reichtümer dieser Welt haben. Und ich bin glücklicherweise begabt darin, die Besitzer von ihren weltlichen Bedürfnissen nach diesen Reichtümern zu erlösen.
str_npc15_signup_2|Oh, dies ist ein großer Augenblick für Bolzog den Begabten und auch für Euch, oh großer Herr! Wir werden gemeinsam erobern, Ihr, unbezwingbar durch meine heilende Hand, und ich, der große Orkgelehrte, der Euch unterstützen wird!
str_npc16_signup_2|Ich fürchte, dass ich nicht mehr länger warten kann. Ich will mich dem nächsten Trupp anschließen, der das Lager verlässt, mit Erlaubnis meines Häuptlings oder ohne sie. Ich fürchte, der Krieg wird sonst lange vorbei sein, bevor ich dazu komme, daran teilzunehmen.
str_npc17_signup_2|Ich hole nur einige meiner Werkzeuge, und wir können aufbrechen. Die Straße runter steht eine Eiche, die ich dir zeigen muss!
str_npc1_signup_response_1|Ich könnte einen erfahrenen Waldläufer brauchen, Ihr seid willkommen uns Euch anzuschließen.
str_npc2_signup_response_1|Sehr gut. Wir können ein wenig Aufheiterung in diesen dunklen Zeiten gebrauchen.
str_npc3_signup_response_1|Sehr gut. Sattelt auf - wir werden in Kürze aufbrechen.
str_npc4_signup_response_1|Beeindruckend. Wir sind bereit aufzubrechen, wenn Ihr es seid, meine Herrin.
str_npc5_signup_response_1|Wir wären durch die Begleitung eines Elbenfürsten geehrt.
str_npc6_signup_response_1|Sehr gut. Ich hoffe Ihr flieht nicht, sobald wir den ersten Ork sehen.
str_npc7_signup_response_1|Sehr gut, Meister Zwerg, Ihr seid willkommen, Euch uns anzuschließen.
str_npc8_signup_response_1|Ihr werdet sicher sein, ich verspreche es. Wir werden in Kürze aufbrechen.
str_npc9_signup_response_1|Sehr gut. Mache was dir gesagt wird, und ich werde dich gut verpflegen.
str_npc10_signup_response_1|Sehr gut. Los geht's.
str_npc11_signup_response_1|Sehr gut. Los geht's.
str_npc12_signup_response_1|Ich schätze, wir können dich gut gebrauchen.
str_npc13_signup_response_1|Ich schätze, wir können Euch gut gebrauchen.
str_npc14_signup_response_1|Sehr gut. Los geht's.
str_npc15_signup_response_1|Hmmm. Ich bewundere dein... Selbstvertrauen. Sammel deinen Kram auf.
str_npc16_signup_response_1|Wie wär's wenn Ihr mir folgt?
str_npc17_signup_response_1|Großartig! Ich hoffe aber, dass du nicht die ganze Zeit von Bäumen sprichst.
str_npc1_signup_response_2|Ich brauche Euren Beistand derzeit nicht, viel Glück.
str_npc2_signup_response_2|Entschuldigt, ich habe meine Meinung geändert.
str_npc3_signup_response_2|Entschuldigt, ich habe meine Meinung geändert - vielleicht nächstes Mal.
str_npc4_signup_response_2|Ich entschuldige mich, meine Herrin, vielleicht ein andres Mal.
str_npc5_signup_response_2|Bei näherem Nachdenken, vielleicht müssen wir Lothlórien auf uns selbst gestellt helfen.
str_npc6_signup_response_2|Entschuldigt, ich kann mir Euch auf einem Schlachtfeld einfach nicht vorstellen,
str_npc7_signup_response_2|Entschuldigt, aber zufällig mag ich Elben.
str_npc8_signup_response_2|Es tut mir leid, jeder in meiner Truppe kämpft.
str_npc9_signup_response_2|Ich habe meine Meinung geändert. Wer auch immer nach dir sucht, könnte als nächstes hinter mir her sein.
str_npc10_signup_response_2|Ich habe mich umentschieden.
str_npc11_signup_response_2|Ich brauche dich nicht, Sklave.
str_npc12_signup_response_2|Ich habe mich umentschieden.
str_npc13_signup_response_2|Ich habe mich umentschieden.
str_npc14_signup_response_2|Ich habe mich umentschieden.
str_npc15_signup_response_2|Ich denke, ich suche mir lieber einen echten Heiler und keinen Aufschneider.
str_npc16_signup_response_2|Ich habe genug davon.
str_npc17_signup_response_2|Andererseits habe ich meine Meinung geändert. Du bist ein wenig ein Spinner, nicht?
str_npc1_payment|Ich würde mich Euch anschließen, aber mein Hauptmann Faramir würde meine Anwesenheit missen. [kostet {reg14} Einfluss auf {s14}]
str_npc2_payment|Ich fürchte, der Anführer der Wache würde mich nicht ziehen lassen. [kostet {reg14} Einfluss auf {s14}]
str_npc3_payment|Ähm, es scheint, dass ich eine ordentliche Rechnung in der feinen Taverne hier angehäuft habe, also muss ich diese zunächst begleichen, bevor ich gehen kann. [kostet {reg14} Einfluss auf {s14}]
str_npc4_payment|Ich würde mich Euch anschließen, aber wer kümmerte sich um die Verwundeten, sollte die Stadt angegriffen werden? [kostet {reg14} Einfluss auf {s14}]
str_npc5_payment|Wir sollten bald aufbrechen. Der Wert meines Kommens wird vermindert, wenn der Feind meine Präsenz wahrnimmt, bevor wir zugeschlagen haben. Auch Lothlórien braucht mich hier. [kostet {reg14} Einfluss auf {s14}]
str_npc6_payment|Ich würde mich Euch anschließen, aber meine Verpflichtungen sind hier. [kostet {reg14} Einfluss auf {s14}]
str_npc7_payment|Ich würde mich Euch anschließen, aber ich befürchte mein ehrenwerter Vater Dwalin verstünde nicht, warum ich die Stadt in einer Zeit der Not verlasse. [kostet {reg14} Einfluss auf {s14}]
str_npc8_payment|Ich kann meine Pflichten hier nicht aufgeben, mein König braucht mich immer noch. Ich bin zu sehr um seine Gesundheit besorgt. [kostet {reg14} Einfluss auf {s14}]
str_npc9_payment|Ich möchte mit dir gehen, aber die Wachen am Tor lassen mich nicht.^Vertrau mir, ich habe es versucht. [kostet {reg14} Einfluss auf {s14}]
str_npc10_payment|Ich würde mich Euch anschließen, aber meine Verpflichtungen sind hier. [kostet {reg14} Einfluss auf {s14}]
str_npc11_payment|Ich brauche aber noch jemanden, der den Boss fertig macht. Wir könnten auch warten, bis er wegguckt und dann abhauen, aber ich schätze, jemand von denen da oben könnte ihn auch dazu zwingen, wegzugucken. Ai! [kostet {reg14} Einfluss auf {s14}]
str_npc12_payment|Ha! Jarr! Ich muss meine Jungs noch erinnern, dass sie ihre räudigen Mäuler halten, oder die da oben kriegen meine Nummer mit und erwischen mich, ganz sicher. [kostet {reg14} Einfluss auf {s14}]
str_npc13_payment|Leider werden die Häuptlinge hier mir nicht erlauben, zu gehen. Könnt Ihr sie überzeugen? [kostet {reg14} Einfluss auf {s14}]
str_npc14_payment|Der Befehlshaber dieses Haufens wird einige Überredung benötigen, um mich gehen zu lassen. Überzeugt ihn und wir werden gemeinsam in diesem Sturm unser Segel setzen. [kostet {reg14} Einfluss auf {s14}]
str_npc15_payment|Oh ja, edler Kriegerfürst! Es gibt ein kleines Hindernis! Eine große Ungerechtigkeit befiel mich, denn dem Gebieter dieser Höhlen missfiel mein Angebot, ihn zu heilen, und er stahl all meine Ausrüstung! Diese Frechheit! Vom großen Bolzog zu stehlen! Gebieter, ich kann meine unbezahlbare Ausrüstung aus seinen dreckigen Klauen nicht zurückgewinnen!  [kostet {reg14} Einfluss auf {s14}]
str_npc16_payment|Ich werde Euch nicht folgen, ich werde meinen eigenen Weg gehen. Aber unsere Wege könnte für eine Weile die gleichen sein. Bevor ich aber diese Lande bereise, muss ich denen Ehre erweisen, die es vor uns taten und dabei starben. Erweist ihnen Ehre und wir können aufbrechen. Wir dürfen niemals unsere Vorfahren vergessen. Denn sie haben auch uns nicht vergessen. [kostet {reg14} Einfluss auf {s14}]
str_npc17_payment|Ich mag Bäume, aber mein alter Onkel braucht mich hier. [kostet {reg14} Einfluss auf {s14}]
str_npc1_payment_response|Keine Sorge, ich spreche mit ihm. [kostet {reg14}/{reg15} Einfluss]
str_npc2_payment_response|Sorgt Euch nicht, ich spreche mit Eurem Hauptmann. [kostet {reg14}/{reg15} Einfluss]
str_npc3_payment_response|Ich hoffe, dass ist es wert. Ich kläre es mit dem Kneipenwirt. [kostet {reg14}/{reg15} Einfluss]
str_npc4_payment_response|Das ist ein edler Grund, aber ich bin sicher, ein Ersatz kann gefunden werden. [kostet {reg14}/{reg15} Einfluss]
str_npc5_payment_response|Vertraut mir, Ihr seid nützlicher bei mir. [kostet {reg14}/{reg15} Einfluss]
str_npc6_payment_response|Von nun an liegt Eure Pflicht bei mir. [kostet {reg14}/{reg15} Einfluss]
str_npc7_payment_response|Meister Dwalin wird verstehen, dass ein gefechtstüchtiger Zwerg nicht zu lange von unseren Feinden ferngehalten werden sollte. [kostet {reg14}/{reg15} Einfluss]
str_npc8_payment_response|Das Wohlbefinden des Königs ist wichtig, aber bei mir werdet Ihr mehr Leben retten. [kostet {reg14}/{reg15} Einfluss]
str_npc9_payment_response|Oh, aber die Wache wird es nicht wagen, dich zu stoppen, wenn du mit mir kommst. [kostet {reg14}/{reg15} Einfluss]
str_npc10_payment_response|Von nun an liegt Eure Pflicht bei mir. [kostet {reg14}/{reg15} Einfluss]
str_npc11_payment_response|Kümmere dich nicht um deinen Boss, du dienst jetzt mir. [kostet {reg14}/{reg15} Einfluss]
str_npc12_payment_response|Deine Jungs werden neue Befehle kriegen. Und ich kümmere mich um die da oben. [kostet {reg14}/{reg15} Einflusspunkte]
str_npc13_payment_response|Sonst werden sie es eben sehen. Ich bin jetzt Euer Häuptling. [kostet {reg14}/{reg15} Einfluss]
str_npc14_payment_response|Ihr braucht Euch nicht um den alten Hafenmeister zu kümmern. [kostet {reg14}/{reg15} Einfluss]
str_npc15_payment_response|Unbezahlbar, also? Ich werde sie besorgen. [kostet {reg14}/{reg15} Einfluss]
str_npc16_payment_response|Ich ehre die Ahnen, Eure wie meine. [kostet {reg14}/{reg15} Einfluss]
