itm_horse_meat|Carne de caballo
itm_rhun_shield|Escudo Cometa de Rhûn
itm_rhun_armor_a|Atuendo de batalla ligero de Rhûn
itm_rhun_armor_b|Atuendo de batalla ligero de Rhûn
itm_rhun_armor_d|Atuendo de batalla ligero de Rhûn
itm_rhun_armor_g|Atuendo de batalla pesado de Rhûn
itm_rhun_armor_h|Atuendo de batalla pesado de Rhûn
itm_rhun_armor_j|Atuendo de batalla medio de Rhûn
itm_rhun_armor_m|Atuendo de batalla medio de Rhûn
itm_rhun_armor_n|Atuendo de batalla medio de Rhûn
itm_rhun_armor_o|Atuendo de batalla medio de Rhûn
itm_rhun_armor_p|Armadura de noble de Rhûn
itm_rhun_armor_k|Armadura de noble de Rhûn
itm_rhun_helm_chieftain|Yelmo de caudillo de Rhûn
itm_rhun_helm_pot|Yelmo plano de Rhûn
itm_rhun_helm_barbed|Yelmo de púas de Rhûn
itm_rhun_helm_round|Yelmo redondo de Rhûn
itm_rhun_helm_leather|Casco de cuero de Rhûn
itm_rhun_warpick|Pico de guerra de Rhûn
itm_rhun_greataxe|Gran hacha de Rhûn
itm_rhun_battleaxe|Hacha de batalla de Rhûn
itm_rhun_falchion|Alfanje salvaje
itm_rhun_glaive|Archa de Rhûn
itm_rhun_greatfalchion|Gran alfanje salvaje
itm_rhun_greatsword|Espadón salvaje
itm_rhun_shortsword|Espada corta salvaje
itm_rhun_sword|Espada salvaje
itm_rhun_mangler|Destripador de Rhûn
itm_dale_light_a|Chaqueta de la milicia de Valle
itm_dale_light_b|Armadura ligera de láminas norteña
itm_dale_med_a|Armadura pesada de láminas norteña
itm_dale_med_b|Armadura de cuero de Valle
itm_dale_med_c|Armadura de cuero sobre malla de Valle
itm_dale_med_d|Armadura de láminas de Valle
itm_dale_heavy_a|Armadura de láminas sobre malla de Valle
itm_dale_heavy_b|Cota de placas de Valle
itm_dale_heavy_c|Cota de malla de Rhovanion
itm_north_leather|Justillo de cuero norteño
itm_dale_helmet_a|Yelmo de infantería ligera de Valle
itm_dale_helmet_b|Yelmo de arquero ligero de Valle
itm_dale_helmet_c|Yelmo de infantería de Valle
itm_dale_helmet_d|Yelmo de arquero de Valle
itm_dale_helmet_e|Yelmo Bárdido
itm_dale_helmet_f|Yelmo Bárdido
itm_dale_sword|Espada corta de Valle
itm_dale_sword_long|Espada larga de Valle
itm_dale_sword_broad|Espada de infantería de Valle
itm_dale_pike|Lanza de Valle
itm_dale_billhook|Bisarma de Valle
itm_dale_shield_a|Pavés de Valle
itm_dale_shield_b|Pavés de Valle
itm_dale_shield_c|Escudo redondo de Valle
itm_umb_armor_a|Justillo de cuero corsario
itm_umb_armor_b|Armadura corsaria de cuero
itm_umb_armor_c|Armadura de escamas ligera corsaria
itm_umb_armor_d|Armadura de escamas corsaria
itm_umb_armor_e|Cota de malla corsaria
itm_umb_armor_f|Armadura de noble corsario
itm_umb_helm_a|Yelmo caracola de corsario
itm_umb_helm_b|Yelmo alto corsario
itm_umb_helm_c|Yelmo de miliciano corsario
itm_umb_helm_d|Yelmo de incursor corsario
itm_umb_helm_reward|Karma antiguo de Númenor
itm_corsair_trident|Tridente de la Furia Marina
itm_corsair_boots|Botas de corsario
itm_umb_shield_a|Escudo de corsario
itm_umb_shield_b|Broquel de corsario
itm_umb_shield_c|Broquel de corsario
itm_umb_shield_d|Broquel de corsario
itm_umbar_spear|Lanza corta de Umbar
itm_umbar_cutlass|Chafarote de Umbar
itm_kraken|Chafarote Kraken
itm_umbar_rapier|Espada de abordaje de Umbar
itm_corsair_harpoon|Arpón de corsario
itm_corsair_sword|Eket de corsario
itm_corsair_throwing_dagger| Dagas arrojadizas retorcidas
itm_umbar_pike|Tridente corsario
itm_woodman_tunic|Túnica de los Hombres del Bosque
itm_woodman_scout|Capa de explorador de los Hombres del Bosque
itm_woodman_padded|Armadura acolchada de los Hombres del Bosque
itm_beorn_tunic|Túnica Beórnida
itm_beorn_padded|Armadura acolchada Beórnida
itm_beorn_heavy|Armadura pesada Beórnida
itm_beorn_berserk|Equipo de Beórnida Berserker
itm_beorn_chief|Túnica de caudillo Beórnida
itm_beorn_helmet|Yelmo con cimera de oso
itm_beorn_shield|Escudo de los Hombres del Norte
itm_beorn_axe|Hacha Beórnida
itm_beorn_staff|Bastón de los Hombres del Bosque
itm_beorn_battle_axe|Hacha de guerra Beórnida
itm_dwarf_shield_a|Escudo angular enano
itm_dwarf_shield_b|Pavés enano
itm_dwarf_shield_c|Escudo de combate enano
itm_dwarf_shield_d|Escudo redondo enano
itm_north_round_shield|Escudo redondo norteño
itm_woodmen_heavy|Armadura del Bosque Negro
itm_dwarf_sword_a|Espada enana
itm_dwarf_sword_b|Espada corta Beórnida
itm_dwarf_sword_c|Espada enana
itm_dwarf_sword_d|Espada enana
itm_dwarf_battle_axe|Hecha de batalla enana
itm_dwarf_great_axe|Gran hacha enana
itm_dwarf_great_mattock|Gran azadón enano
itm_dwarf_great_pick|Gran pico enano
itm_dwarf_throwing_axe_reward|Hachas voladoras de Erebor
itm_dwarf_mattock|Azadón enano
itm_dwarf_hand_axe|Hacha corta enana
itm_dwarf_throwing_axe|Hachas arrojadizas enanas
itm_dwarf_spear|Lanza enana
itm_dwarf_spear_b|Pica enana
itm_dwarf_spear_c|Hacha larga enana
itm_dwarf_helm_coif|Cofia enana
itm_dwarf_nasal_b|Yelmo con nasal enano
itm_north_skullcap|Capacete norteño
itm_dwarf_helm_kettle|Capelina enana
itm_dwarf_helm_fris|Yelmo frigio enano
itm_north_leather_skullcap|Capacete ligero norteño
itm_dwarf_hood|Capucha enana
itm_dwarf_nasal|Yelmo plano con nasal enano
itm_north_nasal_helm|Yelmo con nasal norteño
itm_dwarf_helm_p|Yelmo de Rey Enano
itm_dwarf_miner|Yelmo ligero enano
itm_north_chieftain|Yelmo de caudillo norteño
itm_dwarf_helm_round|Yelmo redondo enano
itm_dwarf_helm_sallet|Celada enana
itm_dwarf_armor_d|Cota de escamas de las Colinas de Hierro
itm_dwarf_armor_a|Cota de malla con sobrevesta de Erebor
itm_leather_dwarf_armor|Gambesón sobre malla enano
itm_dwarf_armor_b|Túnica sobre malla de Erebor
itm_leather_dwarf_armor_b|Jubón acolchado enano
itm_dwarf_armor_c|Armadura de escamas sobre malla de Erebor
itm_dwarf_vest|Túnica enana
itm_dwarf_vest_b|Cota de malla de las Colinas de Hierro
itm_dwarf_pad_boots|Botas acolchadas enanas
itm_dwarf_chain_boots|Calzas de malla enanas
itm_dwarf_scale_boots|Botas de escamas enanas
itm_good_mace|Maza
itm_mordor_banner|Estandarte de Mordor
itm_isengard_banner|Estandarte de Isengard
itm_woodelf_banner|Estandarte del Bosque Negro
itm_lorien_banner|Estandarte de Lothlórien
itm_imladris_banner|Estandarte de Imladris
itm_gondor_lance_banner|Lanza con pendón de Gondor
itm_amroth_lance_banner|Lanza con pendón de Dol Amroth
itm_rohan_lance_banner_sun|Lanza con pendón del Sol de Rohan
itm_rohan_lance_banner_horse|Lanza con pendón del Corcel de Rohan
itm_fur_gloves_reward|Guantes de caza
itm_ent_water|Recipiente extraño con agua
itm_map|Mapas de la Tierra Media
itm_athelas_reward|Hojas secas de athelas
itm_phial_reward|Luz de Galadriel
itm_scroll_reward|Sobre La caída de Góndolin
itm_hammer_reward|Martillo de herrero
itm_khand_knife_reward|Cuchillo de sacrificio de Khand
itm_angmar_whip_reward|Látigo de obediencia
itm_horn_gondor_reward|Cuerno de Gondor
itm_harad_totem_reward|Tótem de Harad
itm_elven_amulet_reward|Amuleto élfico
itm_torque_reward|Torque maligno
itm_orc_brew|Brebaje orco
itm_rohan_saddle|Silla de montar
itm_mearas_reward|Semental Meara
itm_shield_of_tuor|Escudo de Tuor
itm_riv_armor_reward|Armadura decorada de Rivendel
itm_westernesse1h_reward|Espada de Oesternesse
itm_westernesse2h_reward|Espada de Oesternesse
itm_mirkwood_sword_reward|Espada reliquia del Bosque Verde
itm_nazgul_sword|Espada maldita
itm_cooking_cauldron|Caldero de cocina
itm_eorl_cavalry_sword|Espada de Eorl
itm_garlic_reward|Ajos
itm_silmarillion_reward|Silmarillion
itm_herbarium_reward|Herbario de la Tierra Media
itm_book_of_moria|Libro de Mazarbul
itm_ring_a_reward|Tulcarisil
itm_ring_b_reward|Finwarisil
itm_dale_bow_reward|Arco de Bardo
itm_tome_of_knowledge|Tomo de conocimiento arcano
itm_orc_idol_reward|Fetiche del Primer Orco
itm_crebain_reward|Craban
itm_miruvor_reward|Frasco de Miruvor
itm_wheeled_cage|Jaula gigante con ruedas
itm_orc_throwing_axes_reward|Hachas voladoras de Gundabad
itm_corsair_throwing_dagger_reward|Dagas arrojadizas envenenadas
itm_dwarf_shield_reward|Escudo del Kheled-zaram
itm_dwarf_great_axe_reward|Hacha afilada enana
itm_isen_uruk_heavy_reward|Armadura de general Uruk-hai
itm_lorien_bow_reward|Arco Noldorin
itm_elven_cloak|Capa Élfica
itm_dale_sword_reward|Espada real de Vallle
itm_dale_armor_reward|Cota de malla noble de Valle 
itm_leather_gloves_reward|Guantes de arquero
itm_beorn_shield_reward|Escudo Beórnida
itm_beorn_axe_reward|Garrote de oso
itm_drums_of_the_deep|Tambores de las Profundidades  
itm_khamul_helm|Yelmo de Khamul
itm_black_arrows_reward|Flechas negras
itm_leather_boots_reward|Botas de cazador
itm_rohan_armor_th|Armadura real de Rohan
itm_wilderness_cowl|Capucha de cazador
itm_prisoner_coll_chain|Cadenas de prisionero
itm_witchking_helmet|Máscara del Hechicero
itm_feet_chains|Grilletes
itm_feet_chains_dwarf|Grilletes
itm_spider|Araña
itm_bear|Oso
itm_wolf|Lobo
itm_werewolf|Licántropo
itm_thrush_reward|Zorzal
itm_gauntlets_reward|Puños de hierro
itm_stones_siege|Piedras de asedio
itm_beorn_axe_no_attack|Hacha Beórnida
itm_animal_spider|Araña
itm_animal_bear|Oso
itm_animal_wolf|Lobo
itm_animal_werewolf|Licántropo
