
str_yes|Sí.
str_npc16_backstory_c|Eso ocurrió hace muchas vidas de hombres, en otra época, pero el tiempo para los lamentos y para las historias ha terminado. El tiempo para que mi pueblo se tome su venganza ha llegado y yo llevaré la venganza de mi pueblo a estas tierras del oeste. ¡Por mi mano sus hogares arderán y se marchitarán hasta que su clan deje de existir!
str_npc17_backstory_c|Si vas al bosque, ¿podría ir contigo y contarte cosas sobre los árboles? Hay muchos árboles muy interesantes por ahí, ¿sabes?
str_npc1_backstory_later|He guiado partidas de exploradores hacia el sur, llegando hasta Emyn Arnen. Hay mucha actividad enemiga y muchos orcos cayeron en nuestra emboscada. Por desgracia, por muchas cabezas de orcos que rodaran ese día por los barrancos, todavía vimos muchas más de esas horribles criaturas marchando en pie de guerra. Temo por mi tierra de Ithilien y por el destino de Gondor.
str_npc2_backstory_later|Hemos tenido pocos visitantes últimamente y serán cada vez menosr. Creo que esto no es un buen presagio.
str_npc3_backstory_later|Todavía no hay noticias de mi éored, y estoy ansioso por cargar contra algunos orcos.
str_npc4_backstory_later|Más jinetes vuelven con sus cuerpos rotos y yo intento ayudar donde puedo. Pero todavía me siento atrapada en una jaula.
str_npc5_backstory_later|¿Lo has reconsiderado? El tiempo de los Eldar se acaba.
str_npc6_backstory_later|He estado observando un nido de arañas gigantes durante varios días. Parecen al principio criaturas asquerosas, pero mantienen a los intrusos a raya. ¿Has venido a pedirme que viaje contigo?
str_npc7_backstory_later|Construir muros defensivos es un trabajo digno de cualquier enano. Pero necesito usar mi hacha también. Pronto. Déjame ir contigo.
str_npc8_backstory_later|He atendido de nuevo a nuestro Rey, esta vez por vómitos. Espero que su resolución de atacar al enemigo no esté relacionada con su enfermedad. ¿Tú también sufres de estreñimiento y vómitos?
str_npc9_backstory_later|¿Qué crees que hago? Gulm está aquí sentado esperando a que un escurridizo snaga le apuñale en la oscuridad. Llévame contigo, te serviré bien.
str_npc10_backstory_later|¿Lo has reconsiderado? Te serviré bien.       
str_npc11_backstory_later|¡Arg! ¡Así que eras tú! Te olí, por eso sabía que ibas a venir. Dile a los jefes eso, ¿vale? Piensan que, como me expulsaron de los rastreadores me pueden insultar sin qye les pase nada; pues se equivocan, les clavaré una flecha en las tripas antes de que se den cuenta. ¿Y quién tendrá la culpa? ¡Yo no!
str_npc12_backstory_later|Tengo mis órdenes. Cualquier intruso que encuentren mis chicos aquí arriba será desplumado; dientes, uñas, pelo y todo lo demás. Pero tengo mis informadores. Sabemos que están ocurriendo cosas extrañas: con los grandes patrones yendo a la guerra, y todo eso. Ocurren cosas importantes allá lejos en el oeste. Estar aquí sentado sin hacer nada es más de lo que puedo soportar.
str_npc13_backstory_later|Mi papel aquí ayuda a la causa de la oscuridad, y una vez más los Norteños temen al sur. Veo grandes victorias en el futuro, y ríos de sangre a nuestro paso. Pero con cada victoria veo a mi pueblo más corrompido, con sus mentes esclavizadas por su voluntad maligna. Tener que contemplar esto me desespera. 
str_npc14_backstory_later|Has vuelto, extranjero, quizás esto sea un presagio. He estado contemplando las aguas, y las he visto oscurecerse. La mar cambia los ojos de un hombre, y le enseña a utilizarlos para comprender el lenguaje de las aguas.
str_npc15_backstory_later|Muchos han sido los personajes importantes que han suplicado ser curados por mis pociones. Pero hay demasiados amantes de los caballos y elfos de cara pálida, y he tenido que dejar mi cabaña una vez más, y ahora... bueno, Gran {Señor/Señora}, ya no tengo tanta suerte como cuando luchábamos juntos y mis habilidades eran bien apreciadas... 
str_npc16_backstory_later|En la historia de mi gente se ha hablado desde hace mucho tiempo sobre estas tierras. No sé qué infames historias se habrán contado aquí sobre la primera vez que mi pueblo entró en estas tierras, pero sus historias serán tristes y oscuras ahora que mi pueblo ha vuelto. Como una tormenta de espadas, pezuñas y flechas, los arrasaremos como los Balchoth hicieron antes que nosotros. 
str_npc17_backstory_later|El otro día vi un pino muy viejo. Los pinos pueden llegar a ser muy viejos. Hay que respetar a los árboles viejos. Pero también he visto gente que no respeta nada a los árboles. Tú respetas a los árboles, ¿verdad?
str_npc1_backstory_response_1|Si obtienes licencia, me vendría muy bien un guerrero y explorador experimentado.
str_npc2_backstory_response_1|Tienes razón, estoy buscando voluntarios.
str_npc3_backstory_response_1|Si puedes aguantar sin cerveza, me vendría bien un buen jinete.
str_npc4_backstory_response_1|Agradecería la ayuda de una doncella guerrera de Rohan, si me la ofreces.
str_npc5_backstory_response_1|Quizás pueda sonar presuntuoso pedírtelo, pero a mi compañía le vendría bien tu habilidad en las batallas futuras.
str_npc6_backstory_response_1|Viajamos por la Tierra Media, pero para defender todo aquello que es hermoso, luchamos contra el enemigo.
str_npc7_backstory_response_1|En efecto, un guerrero enano sería bienvenido en mi compañía.
str_npc8_backstory_response_1|Nos sería útil una curandera y herbolaria.
str_npc9_backstory_response_1|Me parece que nos sería útil un berserker.
str_npc10_backstory_response_1|Servirás.
str_npc11_backstory_response_1|¿Qué tal si te escapas conmigo?
str_npc12_backstory_response_1|Ya veo. ¿Y si te escabulles conmigo?
str_npc13_backstory_response_1|¿Qué tal si me sigues?
str_npc14_backstory_response_1|¿Qué tal si te unes a mí?
str_npc15_backstory_response_1|Ajá... Un curandero, ¿eh? ¿Y dices que eres bueno en ello? Alguien como tú podría serme útil.
str_npc16_backstory_response_1|¿Qué estás haciendo aquí?
str_npc17_backstory_response_1|Bueno, {uno/una} siempre puede aprender más acerca de los árboles. Nos alegrará que te unas a nosotros.
str_npc1_backstory_response_2|Siento oir eso. Que tu fe fortalezca tu valor.
str_npc2_backstory_response_2|No, lo siento. Estoy buscando guerreros con experiencia.
str_npc3_backstory_response_2|No, lo siento. Estoy buscando alguien que sea más fiable.
str_npc4_backstory_response_2|Lo siento, mi señora, no hay nada que pueda hacer.
str_npc5_backstory_response_2|Volveré cuando Lothlórien sea más seguro.
str_npc6_backstory_response_2|No, lo siento. No aceptamos parásitos.
str_npc7_backstory_response_2|No, lo siento. Nos va bien por nuestra cuenta.
str_npc8_backstory_response_2|No, lo siento. Sólo visitamos a los curanderos cuando los necesitamos.
str_npc9_backstory_response_2|Bah. No me fío de los traidores.
str_npc10_backstory_response_2|No te necesito, esclavo.
str_npc11_backstory_response_2|No quiero oírte merodear.
str_npc12_backstory_response_2|Los Grandes Patrones saben lo que hacen. Será mejor que obedezcas las órdenes.
str_npc13_backstory_response_2|El destino que sufras es cosa tuyas.
str_npc14_backstory_response_2|Ya he tenido suficiente.
str_npc15_backstory_response_2|¡Bah! Necesito guerreros, no holgazanes.
str_npc16_backstory_response_2|Ya he tenido suficiente.
str_npc17_backstory_response_2|No, lo siento. Marchamos a la guerra, no a una excursión botánica.
str_npc1_signup|Estoy seguro de que el capitán Faramir entenderá que hay otros que son capaces de mantener al Enemigo a raya con incluso más valor y coraje que yo.
str_npc2_signup|¡Oh,  este es un día feliz! Me encantaría unirme a tu compañía.
str_npc3_signup|Confía en mí, capitán, toda la bebida que necesito es el dulce néctar de la victoria. Si me mandas a la batalla contra el enemigo, ¡pronto descubrirán la temible punta de una lanza Rohirrim!
str_npc4_signup|Te la ofrezco de buen grado; me puedes dar la bienvenida a tu compañía, capitán.
str_npc5_signup|Ya veo. Admito que he oído hablar de ti y de tus hazañas.
str_npc6_signup|Me disgustan la violencia y las armas de guerra, pero sé cómo defenderme si es necesario.
str_npc7_signup|Tengo habilidad con las hachas, tanto las de blandir como las de lanzar. También puedo reducir tus facturas si me dejas hablar con los mercaderes. Y también tengo buen ojo para encontrar las mejores piezas de botín en el campo de batalla.
str_npc8_signup|¿De verdad? De acuerdo entonces, sólo necesito recoger mis hierbas y mis recetas.
str_npc9_signup|Un guerrero Uruk vale más que todos tus snagas. Un guerrero Uruk nunca huye de una batalla.
str_npc10_signup|¿De verdad? Harías bien en reclutarme.
str_npc11_signup|Seguir a tu banda, ¿eh? ¡Ar! No dejo de oír todas estas cosas que están ocurriendo al oeste, asaltos y todo eso, y con cientos de nuestros muchachos muertos. Te acompañaré a echar un vistazo de todas formas, y así veré en que estás {metido/metida}.
str_npc12_signup|¿Y seguir a tu chusma? Vaya, puede que hoy cambien las cosas a mejor. Puedo pelear tan bien como cualquier otro, y mi látigo siempre está a punto. Ha mordido sus buenos puñados de piel orca, bien arrancada de las buenas espaldas de mis muchachos.
str_npc13_signup|Te seguiré si me aceptas. Puedo dirigir a un caballo solo con las piernas, y mis manos conocen el tacto de las hojas curvas. Mis dedos pueden hacer caer flechas como una lluvia de estrellas sobre el enemigo, ya sea a pie o a caballo, aunque lucharé del modo que ordenes.
str_npc14_signup|Quizás, pero debes saber que no soy un ladrón ni un bandido. No robaré, ni tomaré aquello que otros puedan necesitar para vivir.
str_npc15_signup|Je, je. ¡Tienes razón! ¡Ssssí! {Eres sabio/sabia}, Gran Capitán.
str_npc16_signup|Aguardo órdenes, y con cada segundo que pasa se me ensombrece el corazón. Ya no puedo esperar a los planes de señores y capitanes lejanos que nunca he visto y cuya existencia es más leyenda que realidad. Señores cuyas órdenes susurradas son traídas y voceadas por hombres de poca valía. Yo espero, y conmigo aguarda la venganza de mi pueblo.
str_npc17_signup|¡Muy bien! Conozco muchos árboles. Muy pronto tú también conocerás muchos árboles. Como yo. Porque yo conozco muchos árboles.
str_npc1_signup_2|Sólo me llevará un momento hablar con mi capitán y recoger mis cosas.
str_npc2_signup_2|Tendré que hablar primero con mi sargento y después nos podremos ir, ¡tenemos grandes batallas en las que combatir y toda clase de extrañas criaturas dignas de ser vistas!
str_npc3_signup_2|He estado esperando a que alguien me llevara consigo, así que sólo necesito ensillar mi caballo y estaremos listos para partir.
str_npc4_signup_2|He cazado muchas veces con arco y jabalina. Ahora cazaré orcos bajo tu mando. Además conozco algunas habilidades curativas que estoy segura serán necesarias.
str_npc5_signup_2|Quizás pueda ayudar a debilitar al Enemigo uniéndome a tu compañía y golpeando duro allá donde no lo esperen. Iré contigo.
str_npc6_signup_2|Quizás pueda enseñarte a moverte más deprisa y a hacer menos ruido. Vayamos pues.
str_npc7_signup_2|Si puedes mantener a la gente grande de tu compañía a raya, sobre todo a esos traicioneros elfos, me uniré gustosamente a tu grupo.
str_npc8_signup_2|No obstante debo advertirte que soy bastante inútil en batalla. Pero estoy segura de que puedes mantener a una mujer de mi edad a salvo del peligro.
str_npc9_signup_2|Pero debes decidirte rápido, los guardias están empezando a sospechar. 
str_npc10_signup_2|No te arrepentirás de llevarme contigo.
str_npc11_signup_2|Hay muchas cosas ahí fuera que mi nariz puede oler, y que mi cuchillo puede cortar. No saben muchas cosas ahora mismo pero aprenden rápido. ¿Qué me dices?
str_npc12_signup_2|Enseñaré a tus gusanos a obedecer a base de latigazos, con tantos chasquidos como piel les quede. Si aguantan correrán a trote ligero. ¿Qué me dices?
str_npc13_signup_2|Debes saber, sin embargo, que siempre seré leal a mi pueblo. He luchado mucho y perdido demasiado por ellos. No les daré la espalda ya que su destino será el mío.
str_npc14_signup_2|Es una suerte que los que ya no pertenecen a este mundo no necesiten mundanos tesoros. Y yo tengo la suerte de haber aprendido a liberar a los dueños de esos mismos tesoros de sus necesidades terrenales.
str_npc15_signup_2|¡Oh, este es un gran momento para Bolzog El Prodigio, y para ti, Gran {Señor/Señora}! Conquistaremos el mundo juntos: tú, indestructible gracias a mis poderes curativos; y yo, el Gran Sabio Orco que te apoyará siempre!
str_npc16_signup_2|Me temo que ya no puedo esperar más. Me uniré al próximo grupo que abandone el campamento, ya sea con la venia de mi caudillo o sin ella. Temo que la guerra termine antes de que pueda unirme a ella.
str_npc17_signup_2|Recogeré algunas de mis herramientas y podremos irnos. ¡Hay un roble en este mismo camino que tengo que enseñarte!
str_npc1_signup_response_1|Un buen montaraz me sería útil, si quieres unirte a mi grupo.
str_npc2_signup_response_1|Muy bien. Nunca viene mal alguna alegría en estos tiempos oscuros.
str_npc3_signup_response_1|Muy bien. Ensilla tu caballo, partiremos en breve.
str_npc4_signup_response_1|Impresionante. Estamos listos para partir al momento, mi señora.
str_npc5_signup_response_1|Nos honra la compañía de un Señor de los Elfos.
str_npc6_signup_response_1|Muy bien. Espero que no huyas del primer orco que nos encontremos.
str_npc7_signup_response_1|Que así sea, maese enano. Bienvenido a nuestro grupo.
str_npc8_signup_response_1|Estarás a salvo con nosotros, lo prometo. Partiremos pronto.
str_npc9_signup_response_1|Muy bien. Haz lo que se te ordena y te alimentaré bien.
str_npc10_signup_response_1|Muy bien. Vamos.
str_npc11_signup_response_1|Muy bien. Vamos.
str_npc12_signup_response_1|Seguro que te encontramos un buen uso.
str_npc13_signup_response_1|Seguro que te encontramos un buen uso.
str_npc14_signup_response_1|Muy bien. Vamos.
str_npc15_signup_response_1|Mmmm. Admiro tu... confianza. Recoge tus cosas.
str_npc16_signup_response_1|¿Qué te parecería acompañarme en mi camino?
str_npc17_signup_response_1|¡Genial! Pero espero que no estés todo el rato hablando de árboles.
str_npc1_signup_response_2|No te necesito de momento, adiós y buena suerte.
str_npc2_signup_response_2|Lo siento, he cambiado de opinión.
str_npc3_signup_response_2|Lo siento, he cambiado de opinión, quizá la próxima vez.
str_npc4_signup_response_2|Lo siento, mi señora, quizás en otra ocasión.
str_npc5_signup_response_2|Pensándolo mejor, quizás necesitemos ayudar a Lothlórien por nuestra cuenta.
str_npc6_signup_response_2|Lo siento, pero simplemente no puedo imaginarte en un campo de batalla.
str_npc7_signup_response_2|Lo siento, resulta que me caen bien los elfos.
str_npc8_signup_response_2|Lo siento, pero en mi compañía todo el mundo lucha.
str_npc9_signup_response_2|He cambiado de opinión. Quienquiera que te esté buscando podría venir a por mí después.
str_npc10_signup_response_2|He cambiado de opinión.
str_npc11_signup_response_2|No te necesito, esclavo.
str_npc12_signup_response_2|He cambiado de opinión.
str_npc13_signup_response_2|He cambiado de opinión.
str_npc14_signup_response_2|He cambiado de opinión.
str_npc15_signup_response_2|La verdad, creo que buscaré un verdadero curandero y no un charlatán. 
str_npc16_signup_response_2|Ya he tenido suficiente.
str_npc17_signup_response_2|Pensándolo bien, mejor no. Estás algo loco, ¿a que sí?
str_npc1_payment|Me uniría a ti, pero el capitán Faramir echaría en falta mi presencia aquí. [cuesta {reg14} de Influencia con {s14}]
str_npc2_payment|El sargento de la guardia no me dejaría marchar, me temo. [cuesta {reg14} de Influencia con {s14}]
str_npc3_payment|Ejem, por lo visto tengo algunas deudas acumuladas en la taberna, así que tendré que saldarlas antes de poder irme.  [cuesta {reg14} de Influencia con {s14}]
str_npc4_payment|Me uniría a tu compañía, pero ¿quién se encargará de los heridos si asedian la ciudad?  [cuesta {reg14} de Influencia con {s14}]
str_npc5_payment|Deberíamos partir pronto. La utilidad de mi presencia se verá mermada si el Enemigo la detecta antes de que hayamos atacado. Pero Lothlórien también me necesita aquí.  [cuesta {reg14} de Influencia con {s14}]
str_npc6_payment|Me uniría a ti, pero mi deber está aquí, con los míos.  [cuesta {reg14} de Influencia con {s14}]
str_npc7_payment|Me uniría a ti, pero me temo que mi venerable padre Dwalin no entenderá que deje la ciudad en tiempos de necesidad. [cuesta {reg14} de Influencia con {s14}]
str_npc8_payment|Tengo obligaciones aquí, mi Rey todavía me necesita. Me preocupa su salud. [cuesta {reg14} de Influencia con {s14}]
str_npc9_payment|Me gustaría irme contigo, pero los guardias de la puerta no me dejarán marchar.^Créeme, lo he intentado. [cuesta {reg14} de Influencia con {s14}]
str_npc10_payment|Me uniría a ti, pero tengo obligaciones aquí. [cuesta {reg14} de Influencia con {s14}]
str_npc11_payment|Sólo necesito que alguien se encargue del jefe. Podríamos esperar a que se fuera a dormir para largarnos, pero supongo que alguien importante podría obligarle a hacer la vista gorda.  [cuesta {reg14} de Influencia con {s14}]
str_npc12_payment|¡Ja, ja! ¡Pues mu' bien! Tendré que "convencer" a los chicos para que mantengan esas sucias bocas bien cerradas... o los de arriba se enterarán y se nos echarán encima.  [cuesta {reg14} de Influencia con {s14}]
str_npc13_payment|Ay, los jefes de aquí no me dejan marchar. ¿Serías capaz de convencerlos?  [cuesta {reg14} de Influencia con {s14}]
str_npc14_payment|Necesitarás emplearte a fondo persuadiendo al capitán del fondeadero para que me deje marchar. Convéncelo y zarparemos juntos a través de esta tempestad.  [cuesta {reg14} de Influencia con {s14}]
str_npc15_payment|Ah, sí. ¡Noble {Amo Guerrero/Ama Guerrera}! ¡Hay un pequeño problema! He sufrido una grave injusticia, al dueño de esta cueva no le gustó mi propuesta de curación, y me ha robado todas mis cosas! ¡Cómo se atreve! ¡Robar al Gran Bolzog! {Amo/Ama}, ¡no puedo recuperar mi preciado instrumental de sus sucias garras!  [cuesta {reg14} de Influencia con {s14}]
str_npc16_payment|No te seguiré, me iré por mi propio camino; pero es posible que nuestros caminos discurran juntos durante un tiempo. Aunque, antes de emprender viaje por estas tierras debo rendir honores a aquellos que murieron en el intento. Preséntales tus respetos y entonces podremos partir. No debemos nunca olvidar a nuestros ancestros. Ellos no se han olvidado de nosotros.  [cuesta {reg14} de Influencia con {s14}]
str_npc17_payment|Me gustan los árboles, pero mi viejo tío me necesita aquí.  [cuesta {reg14} de Influencia con {s14}]
str_npc1_payment_response|No te preocupes, me encargaré de que te dé licencia. [cuesta {reg14}/{reg15} de Influencia]
str_npc2_payment_response|No te preocupes, hablaré con tu sargento. [cuesta {reg14}/{reg15} de Influencia]
str_npc3_payment_response|Será mejor que esto valga la pena. Saldaré tu deuda con el tabernero. [cuesta {reg14}/{reg15} de Influencia]
str_npc4_payment_response|Es una noble causa, pero estoy {seguro/segura} de que podrán encontrar un sustituto. [cuesta {reg14}/{reg15} de Influencia]
str_npc5_payment_response|Confia en mí, serás de mayor utilidad conmigo. [cuesta {reg14}/{reg15} de Influencia]
str_npc6_payment_response|De ahora en adelante, tu deber está conmigo. [cuesta {reg14}/{reg15} de Influencia]
str_npc7_payment_response|El señor Dwalin entenderá que un buen guerrero enano no puede pasar demasiado tiempo alejado de nuestros enemigos. [cuesta {reg14}/{reg15} de Influencia]
str_npc8_payment_response|El bienestar del Rey es importante, pero salvarás más vidas si vienes conmigo. [cuesta {reg14}/{reg15} de Influencia]
str_npc9_payment_response|Oh, pero los guardias no se atreverán a detenerte, si vas conmigo. [cuesta {reg14}/{reg15} de Influencia]
str_npc10_payment_response|De ahora en adelante, tu deber está conmigo. [cuesta {reg14}/{reg15} de Influencia]
str_npc11_payment_response|No te preocupes por tu jefe, de ahora en adelante me sirves a mí. [cuesta {reg14}/{reg15} de Influencia]
str_npc12_payment_response|Tus chicos van a recibir órdenes nuevas, ya me ocupo yo de los de arriba. [cuesta {reg14}/{reg15} de Influencia]
str_npc13_payment_response|Les haré cambiar de idea, porque yo soy tu jefe ahora. [cuesta {reg14}/{reg15} de Influencia]
str_npc14_payment_response|No tienes que preocuparte por el viejo capitán del puerto. [cuesta {reg14}/{reg15} de Influencia]
str_npc15_payment_response|Así que preciado, ¿eh? Conseguiré tu equipo. [cuesta {reg14}/{reg15} de Influencia]
str_npc16_payment_response|Rindo homenaje a los ancestros, tanto a los tuyos como a los míos. [cuesta {reg14}/{reg15} de Influencia]
str_npc17_payment_response|Tu tío estará bien. Ahora estáis conmigo. [cuesta {reg14}/{reg15} de Influencia]
str_npc1_morality_speech|Capitán, no entiendo cómo puedes {s21} y desamparar a nuestros hombres. El capitán Faramir nunca habría perdido de vista la compasión por sus hombres ni les habría hecho sufrir sin motivo.
str_npc2_morality_speech|Espero que no te ofenda lo que te voy a decir, pero me es un poco difícil ver a la tropa {s21}. Quizás debería intentar ser un soldado más aguerrido, pero si pudieras ser más... {cuidadoso/cuidadosa} con nuestros soldados, dormiría mejor.
str_npc3_morality_speech|Capitán, a nosotros los Eorlingas nunca se nos ocurriría {s21}. Nuestros caballos no se cansan fácilmente y, una vez que nos reagrupamos, no hay situación que no podamos superar con una carga de caballería a tiempo. Tenlo en cuenta la próxima vez que estemos en una situación complicada.
str_npc4_morality_speech|No hagas caso de lo que digan los soldados, a veces {s21} es la decisión más sabia. Yo prefiero salvar la vida para poder luchar otro día, cuando la fortuna esté de nuestro lado.
str_npc5_morality_speech|Debes reconsiderar tus acciones, capitán. Acciones como {s21} nos hacen tan poco honorables como el Enemigo y disminuyen la confianza que nuestros aliados tienen puesta en nosotros.
str_npc7_morality_speech|No me gustó que decidieras {s21}. Caer en el campo de batalla es un honor a ojos de cualquier enano con sentido común, pero luchar en una compañía liderada por {un/una} cobarde es una desgracia. ¿Qué dirán mis primos de esto si se llegan a enterar?
str_npc8_morality_speech|Capitán, debo objetar: {s21} es duro para los soldados e innecesario. Hago lo que puedo por aliviar su sufrimiento, pero, por favor, no cometas otro costoso error.
str_npc9_morality_speech|Los guerreros Uruk-hai no consienten {s21}. Si {el Jefe/la Jefa} tiene pocas agallas, quizás se encuentre sin ellas una noche de estas. Gulm ha hablado.
str_npc15_morality_speech|A lo mejor piensas que Bolzog el Grande puede curarlo todo, {playername}, ¡pero incluso yo tengo mis límites! ¡Si no dejas de {s21}, incluso mi habilidad será insuficiente! ¡Necesito algo con lo que trabajar! No puedo revivir a los muertos, ya sea porque hayan muerto de hambre o cortados en pedazos.
str_npc1_2ary_morality_speech|Capitán, he sido criado como un Dúnadan; con valor y con honor. Preferiría no {s21}. 
str_npc4_2ary_morality_speech|Con tu permiso, capitán. Las mujeres de mi linaje aceptamos la muerte pero nunca el deshonor. Una acción como {s21} trae deshonra a mi casa y a mis ancestros. 
str_npc15_2ary_morality_speech|¡Ji, ji, ji! ¡Eres {un Amo astuto/una Ama astuta}! ¡Coges el oro, y asientes, y dices «sí, Amo» pero ya lo tenías planeado desde hace tiempo! ¡Ji, ji! Sólo que, tenemos que ir con cuidado, para que el Grande no se dé cuenta de que lo estás engañando...
str_npc1_personalityclash_speech|¿Había mencionado que odio a {s11}?
str_npc2_personalityclash_speech|¿Había mencionado que odio a {s11}?
str_npc3_personalityclash_speech|Comandante, ¿cómo ha acabado {s11} formando parte de nuestra compañía? Reconozco que es un soldado ágil a pie, pero creo que habla demasiado sobre emboscadas, algo acorde con la naturaleza cautelosa de su gente.
str_npc4_personalityclash_speech|¿Había mencionado que odio a {s11}?
str_npc5_personalityclash_speech|¿Había mencionado que odio a {s11}?
str_npc6_personalityclash_speech|{playername}, acabo de ver a {s11} pisar sin ninguna vergüenza un nido de tiernos pajaritos. Su torpeza ha destrozado las vidas de unas criaturas inocentes.
str_npc7_personalityclash_speech|El señor {s11} se apaña bien en una batalla, pero me pregunto si su truco está en cegar al enemigo con el brillo de su pelo. ¿O quizás caen admirados por su fama y sus modales arrogantes?
str_npc8_personalityclash_speech|Capitán, tengo una queja contra {s11}. Me hostiga continuamente para que le prepare un brebaje llamado «el hada verde».
str_npc9_personalityclash_speech|¿Había mencionado que odio a {s11}?
str_npc10_personalityclash_speech|¿Había mencionado que odio a {s11}?
str_npc11_personalityclash_speech|¿Había mencionado que odio a {s11}?
str_npc12_personalityclash_speech|¿Había mencionado que odio a {s11}?
str_npc13_personalityclash_speech|¿Había mencionado que odio a {s11}?
str_npc14_personalityclash_speech|¿Había mencionado que odio a {s11}?
str_npc15_personalityclash_speech|¿Había mencionado que odio a {s11}?
str_npc16_personalityclash_speech|¿Había mencionado que odio a {s11}?
str_npc17_personalityclash_speech|¿Había mencionado que odio a {s11}?
str_npc1_personalityclash_speech_b|Odio a {s11}.
str_npc2_personalityclash_speech_b|Odio a {s11}.
str_npc3_personalityclash_speech_b|No tengo nada en contra del pueblo de Gondor, pero creo que nos iría mejor con más jinetes audaces y menos hombres arrastrándose a ras de suelo con pasos furtivos, si sabes a lo que me refiero.
str_npc4_personalityclash_speech_b|Odio a {s11}.
str_npc5_personalityclash_speech_b|Odio a {s11}.
str_npc6_personalityclash_speech_b|Sus modales enanos quizás le puedan servir bajo tierra, aunque es un milagro que no se haya caído por algún agujero. A lo mejor así nos libraríamos de él.
str_npc7_personalityclash_speech_b|Nos iría mejor con un héroe enano, como lo fue Durin el Inmortal en los tiempos antiguos, y que los elfos sigan retozando en sus bosques.
str_npc8_personalityclash_speech_b|Se hace con ajenjo bañado en licor y parece ser que es muy utilizado por trovadores y vagabundos para ver cosas que no están a la vista. Dudo que quieras que tus soldados persigan espejismos en el campo de batalla, por muy divertido que fuera el espectáculo.
str_npc9_personalityclash_speech_b|Odio a {s11}.
str_npc10_personalityclash_speech_b|Odio a {s11}.
str_npc11_personalityclash_speech_b|Odio a {s11}.
str_npc12_personalityclash_speech_b|Odio a {s11}.
str_npc13_personalityclash_speech_b|Odio a {s11}.
str_npc14_personalityclash_speech_b|Odio a {s11}.
str_npc15_personalityclash_speech_b|Odio a {s11}.
str_npc16_personalityclash_speech_b|Odio a {s11}.
str_npc17_personalityclash_speech_b|Odio a {s11}.
str_npc1_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc2_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc3_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc4_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc5_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc6_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc7_personalityclash2_speech|Una buena pelea, ¿eh, capitán? Aunque ligeramente ensombrecida por la conducta de esa mujer elfa, {s11}.
str_npc8_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc9_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc10_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc11_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc12_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc13_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc14_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc15_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc16_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc17_personalityclash2_speech|¿Había mencionado que odio a {s11}?
str_npc1_personalityclash2_speech_b|Odio a {s11}.
str_npc2_personalityclash2_speech_b|Odio a {s11}.
str_npc3_personalityclash2_speech_b|Odio a {s11}.
str_npc4_personalityclash2_speech_b|Odio a {s11}.
str_npc5_personalityclash2_speech_b|Odio a {s11}.
str_npc6_personalityclash2_speech_b|Odio a {s11}.
str_npc7_personalityclash2_speech_b|La vi escondida en la retaguardia, disparando apenas una o dos flechas en dirección al enemigo. Yo digo que dejemos que se vaya a ocuparse de los pájaros y las abejas, y que nos deje a nosotros la tarea de luchar contra el enemigo.
str_npc8_personalityclash2_speech_b|Odio a {s11}.
str_npc9_personalityclash2_speech_b|Odio a {s11}.
str_npc10_personalityclash2_speech_b|Odio a {s11}.
str_npc11_personalityclash2_speech_b|Odio a {s11}.
str_npc12_personalityclash2_speech_b|Odio a {s11}.
str_npc13_personalityclash2_speech_b|Odio a {s11}.
str_npc14_personalityclash2_speech_b|Odio a {s11}.
str_npc15_personalityclash2_speech_b|Odio a {s11}.
str_npc16_personalityclash2_speech_b|Odio a {s11}.
str_npc17_personalityclash2_speech_b|Odio a {s11}.
str_npc1_personalitymatch_speech|¿Has notado la gracia en los movimientos de {s11} en nuestra última batalla? ¿La forma en que se mueve alrededor del enemigo antes de dar el golpe de gracia? Es como en las historias antiguas, cuando las doncellas elfas demostraban tanta elegancia en el campo de batalla como en sus bellas cortes de los bosques.
str_npc2_personalitymatch_speech|Discúlpame, capitán. Sólo estaba ayudando a {s11} con algunas pequeñas reparaciones en las armas tras la última pelea; incluso prometió enseñarme a mejorar mis movimientos de combate.
str_npc3_personalitymatch_speech|¿No es una doncella guerrera de Rohan a la carga una visión digna de contemplarse? Desde luego, nuestras mujeres están mejor en el hogar, pero después de ver a {s11} derribar a los enemigos en la última batalla, comienzo a tener dudas.
