qstr_Received_{reg0}_dama|Recibes {reg0} de daño.
qstr_These_friend_of_elve|¡Éstos amigos de los elfos caerán bajo el filo de nuestras espadas!
qstr_These_Elves_will_fal|¡Éstos elfos caerán bajo el filo de nuestras espadas!
qstr_Raahh!_Draw_your_wea|¡Raahh! ¡Desenvainad vuestras armas, escoria de {s16}! ¡Esta noche nos daremos un festín con entrañas de {s15}!
qstr_Rha!_{s14}More_{s15}|¡Rha! {s14} ¡Más cuerpos de {s15} que desfigurar con nuestras retorcidas armas!
qstr_Slaughter_these_puny|¡Masacrad a estos débiles ladrones de {s18}, ahora mismo! Después quemaremos sus casas y acabaremos con sus familias.
qstr_Death_to_the_trespas|¡Muerte a los intrusos en las tierras de {s16}!
qstr_CHARGE!_Let_s_clear_|¡CARGAD! ¡Borremos de la faz de {s17} a esa escoría de {s19} de {s18}!
qstr_{s14}Now_that_{s19}s|{s14} ¡Ahroa la escoria de {s19} probará la furia de los Beórnidas!
qstr_Attack!|¡Al ataque!
qstr_You_are_attacked_by_|¡Te ataca un grupo de bandidos!
qstr_Holding|Manteniendo posición
qstr_Following|Siguiendo
qstr_Charging|Cargando
qstr_Advancing|Avanzando
qstr_Falling_Back|Retrocediendo
qstr_Standing_Closer|Concentrándose
qstr_Spreading_Out|Separándose
qstr_Standing|Defendiendo posición
qstr_N/A|No disp.
qstr_Free|Libre
qstr_Any_Weapon|Cualquier arma
qstr_Blunt_Weapons|Armas contundentes
qstr_Infantry__{reg1}_|Infantería ({reg1})
qstr_Archers__{reg2}_|Arqueros ({reg2})
qstr_Cavalry__{reg3}_|Caballería ({reg3})
qstr_Given_by:_{s62}|Dada por: {s62}
qstr_Given_on:_{s60}|Dada en: {s60}
qstr_You_have_{reg0}_days|Tienes {reg0} días para completar esta misión.
qstr_This_quest_has_been_|Esta misión ha concluido. Habla con {s59} para finalizarla.
qstr_This_quest_has_been_s|Esta misión ha sido completada con éxito. Habla con {s59} para reclamar tu recompensa.
qstr_This_quest_has_faile|Esta misión ha fracasado. Habla con {s59} para explicarle la situación.
qstr_At_the_time_quest_wa|Esta misión, al momento de ser asignada:^{s1}
qstr_{s7}_and_{s8}|{s7} y {s8}
qstr_{s7}_{s8}|{s7}, {s8}
qstr_noone|nadie
qstr_{s9}_and_{s10}|{s9} y {s10}
qstr_{s9}_{s10}|{s9}, {s10}
qstr_no_one|nadie
qstr_{s11}_and_{s12}|{s11} y {s12}
qstr_{s11}_{s12}|{s11}, {s12}
qstr_{s5}_is_ruled_by_{s6|{s6} es la máxima autoridad de {s5}.^Controlan {s8}.^Sus capitanes son {s10}.^Las gentes de {s5} están en guerra con {s12}.
qstr_{s5}_has_been_defeat|¡{s5} ha sufrido una derrota!
qstr_{s5}_has_a_strength_|{s5} tiene una fuerza total de {reg1} tropas.
qstr_no_holdings|ningún asentamiento
qstr_{s57}_and_{s58}|{s57} y {s58}
qstr_{s57}_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?Ella:Él}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54} es la máxima autoridad de {s56}.^:{s54} sirve a {s55} de {s56}.^}}^{reg9?{reg3?Ella:Él} es {reg3?la señora:el señor} de {s58}.:}{s59}{reg10?^¡Ha muerto en el campo de batalla!:}
qstr_The_last_time_you_sa|La última vez que {reg1?la:lo} viste, {s1}
qstr_The_last_time_you_he|La última vez que oíste hablar de {reg1?ella:él}, {s1}
qstr_The_{s50}|El {s50}
qstr_{s50}_belongs_to_{s1|{s50} pertenece a {s1} de {s2}.^
qstr_Current_garrison_con|La guarnición actual consta de {reg5} tropas.^Tiene reservas de comida para {reg6} días.
qstr_Very_Poor|Muy Pobre
qstr_Poor|Pobre
qstr_Average|Normal
qstr_Rich|Rico
qstr_Very_Rich|Muy Rico
qstr_Strength|Fuerza
qstr_Agility|Agilidad
qstr_Intelligence|Inteligencia
qstr_Charisma|Carisma
qstr_You_ve_gained_{s6}_f|Has ganado {s6} por obtener {s7}
qstr_You_ve_lost_{s6}_fro|Has perdido {s6} por perder {s7}
qstr_{s50}_Caves|Cuevas de {s50}
qstr_{s50}_Mines|Minas de {s50}
qstr_{s50}_Woods|Bosques de {s50}
qstr_{s4}_looks_upset.|{s4} parece alterado.
qstr_your_party|tu grupo
qstr_{reg0?One_of_your_pr|¡{reg0?Uno de tus prisioneros, :}{s1} de {s3}, se ha escapado!
qstr_You_brought_{reg3}_h|Has comprado {reg3} cabezas de ganado a {s1}.
qstr_Log_entry_{reg3}:_ty|Entrada del registro {reg3}: tipo {reg4}
qstr_Center:_{s4}|Centro: {s4}
qstr_Troop:_{s4}|Tropa: {s4}
qstr_Lord:_{s4}|Señor: {s4}
qstr_Ally_party_is_presen|El grupo aliado está presente
qstr_{s4}_is_present_at_e|{s4} está presente en el evento
qstr_Event_#{reg5}_type_{|Evento #{reg5}, tipo {reg6}, hora {reg8}: relación del reino del jugador a la tropa = {reg7}
qstr_Event_#{reg5}_type_{r|Evento #{reg5}, tipo {reg6}, hora {reg8}: relación del reino del jugador a la facción del centro = {reg7}
qstr_Event_#{reg5}_type_{re|Evento #{reg5}, tipo {reg6}, hora {reg8}: relación del reino del jugador a la facción = {reg7}
qstr_Event_#{reg5}_type_{reg|Evento #{reg5}, tipo {reg6}, hora {reg8}. No hay relaciones relevantes del reino
qstr_Event_#{reg5}_type_{reg6|Evento #{reg5}, tipo {reg6}, hora {reg8}. Jugador no afiliado
qstr_Elapsed_hours:_{reg7|Horas transcurridas: {reg7}
qstr_Reputation_type:_{s1|Tipo de reputación: {s15}
qstr_Entries_up_to_#{reg5|Entradas hasta #{reg5} omitidas
qstr_A_new_location_is_no|¡Hay un nuevo lugar disponible en el mapa!
qstr_New_trait_gained:_{s|Nueva virtud conseguida: {s5}.
qstr_Gained_permanent_+1_|Has conseguido +1 punto permanente de Fuerza.
qstr_Gained_permanent_+1_t|Has conseguido +1 punto permanente de Agilidad.
qstr_Gained_permanent_+1_to|Has conseguido +1 punto permanente de Carisma.
qstr_Gained_permanent_+20|Has conseguido +20 puntos permanentes de Competencias de Armas.
qstr_Gained_permanent_+2_|Has conseguido +2 puntos permanentes de Fuerza.
qstr_Gained_permanent_+2_t|Has conseguido +2 puntos permanentes de Carisma.
qstr_Lost_permanent__1_to|Ha perdido -1 punto permanente de Carisma.
qstr_Gained_permanent_+1_to_|Has conseguido +1 punto permanente de Piel curtida.
qstr_Gained_permanent_+5_|Has conseguido +5 puntos permanentes de Fuerza.
qstr_Lost_permanent__2_to|Ha perdido -2 puntos permanentes de Carisma.
qstr_Gained_permanent_+2_to|Has conseguido +2 puntos permanentes de Piel curtida.
qstr_Gained_permanent_+10|Has conseguido +10 puntos permanentes de Competencias de Armas.
qstr_Gained_permanent_+1_to_T|Has conseguido +1 punto permanente de Tácticas.
qstr_You_have|Has
qstr_{s1}_has|{s1} ha
qstr_{s11}_suffered_a_ser|{s11} sufrido una herida seria.
qstr_The_leg_has_been_bad|La pierna ha sido dañada gravemente en el transcurso de la batalla.
qstr___2_athletics__1_rid|(-2 de atletismo, -1 de cabalgar, -2 de agilidad, -15 de cuerpo a cuerpo)
qstr_The_arm_has_been_bad|El brazo ha sido dañado gravemente en el transcurso de la batalla.
qstr___20_weapon_skill__2|(-20 de habilidad con armas, -2 de fuerza, -1 de fuerza de ataque)
qstr_The_head_has_suffere|La cabeza ha sufrido un duro golpe.
qstr___1_intelligence_ski|(-1 a habilidades de inteligencia, -15 a habilidad a distancia)
qstr_The_chest_has_suffer|El torso ha sufrido algunas costillas fracturadas.
qstr___20_weapon_skill_|(-20 de habilidad de armas)
qstr_{s1}_has_been_killed|{s1} ha muerto a manos del enemigo.
qstr_You_were_killed.|Has muerto a manos del enemigo.
qstr_{s1}_recovered_from_|{s1} se ha recuperado de una herida seria.
qstr_The_leg_wound_has_he|La herida de la pierna ha sanado.
qstr__+2_athletics_+1_rid|(+2 de atletismo, +1 de cabalgar, +2 de agilidad, +15 de cuerpo a cuerpo)
qstr_The_arm_wound_has_he|La herida del brazo ha sanado.
qstr__+20_weapon_skill_+2|(+20 de habilidad con armas, +2 de fuerza, +1 de fuerza de ataque)
qstr_The_head_wound_has_h|La herida en la cabeza ha sanado.
qstr__+1_intelligence_ski|(+1 en habilidades de inteligencia, +15 en habilidad a distancia)
qstr_The_cracked_ribs_hav|Las costillas fracturadas han sanado.
qstr__+20_weapon_skill_|(+20 de habilidad de armas)
qstr_{s1}_has_had_his_hea|{s1} ha mejorado notablemente su salud.
qstr_News_has_arrived_tha|¡Llegan noticias de que {s1} de {s2} ha muerto en batalla contra las fuerzas de {s28}!
qstr_{s1}_s_Burial_Mound|Túmulo de {s1}
qstr_{s1}_s_Funeral_Pyre|Pira funeraria de {s1}
qstr_{s1}_is_logged_as_de|{s1} está registrado como muerto
qstr_You_have_been_discov|Te han descubierto antes de poder escalar el muro.
qstr_The_enemy_is_coming_|El enemigo se acerca con grandes fuerzas, ¡debéis huir!
qstr_Scout_this_area_alon|¡Explora el área en solitario, y reúnete con tus hombres más allá!
qstr_Be_stealthy_but_elim|¡Actúa con sigilo pero elimina cualquier amenaza rápidamente!
qstr_You_are_spotted_by_a|¡Una patrulla te ha avistado!
qstr_Eliminate_them_befor|¡Elimínalos antes de que den la voz de alarma!
qstr_You_have_reached_the|¡Has llegado a las mazmorras!
qstr_Eliminate_the_guards|¡Elimina a los guardias y libera a tus tropas!
qstr_{s1}_has_been_captur|{s1} ha sido capturado por el enemigo.
qstr_Gondor_takes_a_capti|Gondor toma un prisionero.
qstr_Rohan_takes_a_captiv|Rohan toma un prisionero.
qstr_Mordor_takes_a_capti|Mordor toma un prisionero.
qstr_Isengard_takes_a_cap|Isengard toma un prisionero.
qstr_You_were_grievously_|Te han herido gravemente y tu cuerpo es amontona con los muertos. Eligiendo el momento adecuado, logras escapar más allá de las defensas, pero puede que el enemigo te haya visto. Es mejor alejarse lo más rápido posible.
qstr_You_were_grievously_w|Te han herido gravemente en batalla. Tus tropas lograron arrastrarte lejos de la lucha, pero han sufrido terribles bajas en el esfuerzo.
qstr_You_were_grievously_wo|Te han herido gravemente en batalla. Tus tropas lograron arrastrarte lejos de la lucha, pero sufrieron terribles bajas en el esfuerzo. Por desgracia, han capturado a algunos de vuestros compañeros se los han llevado a {s2}.
qstr_You_were_grievously_wou|Te han herido gravemente en batalla. Tus tropas lograron arrastrarte lejos de la lucha; pero, por desgracia, el hechicero ha conseguido escapar.
qstr_You_were_grievously_woun|Te han herido gravemente y tu cuerpo es amontona con los muertos. Esperando el momento adecuado, logras escapar; por desgracia el hechicero ha huido.
qstr_Some_of_your_compani|Algunos de tus compañeros están sufriendo antiguas heridas.
qstr_Item_you_just_equipp|El objeto que has equipado no es apropiado para personajes de esta raza y será trasladado al inventario del jugador en breve^^Asegúrate de tener espacio para el objeto o se perderá.
qstr_Inappropriate_equipm|Equipamiento inapropiado
qstr_The_mount_you_just_e|La montura que has equipado no es apropiada para personajes de esta raza. Ten en cuenta que habrá problemas con el comportamiento de los animales en el campo de batalla, si lo dejas como está.
qstr_Inappropriate_mount|Montura inapropiada
qstr_{s24}:_Your_infantry|{s24}: ¡Tu infantería se siente mejor!
qstr_{s24}:_Your_archers_|{s24}: ¡Tus arqueros se sienten mejor!
qstr_{s24}:_Your_cavalry_|{s24}: ¡Tu caballería se siente mejor!
qstr_Ah_what_a_coincidenc|¡Oh, qué casualidad encontrarme contigo, {playername}! Es posible que tú no me conozcas, pero yo a ti sí. Voy de camino a {s4}, pero vengo de las tierras de {s3} y tu nombre ha salido a colación. {s3} cuenta contigo en estos peligrosos tiempos y, si acaso tenías pensado seguir otro curso de acción, es posible que quieras reconsiderarlo y centrarte en ayudar a {s2} en la medida de tus posibilidades.
qstr_Who_are_you?|¿Quién eres?
qstr_A_friend_of_{s3}_and|Un amigo de {s3} y de las gentes de {s2}. ¡Ahora, apresúrate! Mordor atrae a todos los seres perversos, y el Poder Oscuro pone toda su voluntad en reunirlos allí. ¡El tiempo se agota para el bien de este mundo, a no ser que hagamos que cada una de nuestras acciones cuente en su defensa!
qstr_What_should_I_do?|¿Qué debo hacer?
qstr_Find_{s3}_s_whereabo|Encuentra a {s3} dondequiera que esté y ponte a sus órdenes. ¡Buena suerte!
qstr_Good_to_see_the_Shad|Es bueno ver que la Sombra todavía no ha conseguido derrotarte, {playername}.
qstr_You_are_the_one_they|Tu eres aquel al que llaman Gandalf o Mithrandir.
qstr_You_are_the_one_they_|Eres ese al que llaman Radagast.
qstr_That_is_what_some_ca|Así me llaman algunos. En otros tiempos también tuve otros nombres, pero a menos que la Oscuridad sea detenida, puede que no quede nadie para llamarme de ninguna manera.
qstr_What_do_you_mean?|¿Qué quieres decir?
qstr_In_spite_of_their_va|A pesar de su valiente resistencia, {s3} ha sido arrollado por las fuerzas del mal. La gente de {s3} está dispersa y su líder {s4} ha caído.
qstr_You_bring_dismal_new|Traes noticias desalentadoras, mago.
qstr_But_I_also_bring_a_m|Pero también traigo un mensaje de esperanza. Las gentes de {s5} aún se mantienen firmes. Sus guerreros son audaces y sus líderes resueltos.
qstr_Help_them_fight_the_|Ayúdales en la lucha contra el Enemigo hasta el fin de tus fuerzas. ¡Nunca cedas! ¡Pero mantente en guardia! Hay criaturas más antiguas y horribles que los orcos en el mundo.
qstr_Beware_{playername}_|Ten cuidado, {playername}, el poder de la Oscuridad se desmorona. {s3} ha caído, al igual que su líder {s4}.
qstr_What_do_you_want_of_|¿Qué es lo que quieres de mi, anciano?
qstr_Just_know_that_a_Daw|Sólo quiero que sepas que un nuevo Amanecer se acerca. Es inevitable. Y en caso de que vivas para verlo, pregúntate qué podrás decir en tu favor cuando llegue el momento.
qstr_Well_met_{playername|{Bienhallado/Bienhallada}, {playername}, {s24}. No me equivoqué al poner mi confianza en ti. El poder de las fuerzas de la Sombra ha sido quebrado, y tus esfuerzos han sido una parte fundamental de su derrota.
qstr_Thank_you_Mithrandir|¡Gracias, Mithrandir!
qstr_Thank_you_Radagast!|¡Gracias, Radagast!
qstr_The_wizard_Saruman_i|¡El mago Saruman ha caído y Barad Dûr ha sido reducida a polvo junto con su Señor Oscuro! Los pueblos de la Tierra Media han sido liberados de la amenaza que casi consumió todo el bien y la pureza de este mundo. ¡El Enemigo ha sido vencido y el Rey ha regresado!
qstr_It_was_a_long_and_bl|Ha sido una guerra larga y sangrienta, muchos de nuestros amigos ya no están entre nosotros.
qstr_There_is_much_to_reg|Hay mucho que lamentar y llorar, y más aún que reconstruir y reparar en los días venideros. Pero por ahora, alegrémonos con aquellos de nuestros amigos que aún siguen con nosotros y celebremos todo lo conseguido en Los Últimos Días de la Tercera Edad.
qstr_Orcs_are_marching_ag|Los orcos están marchando contra el Abismo de Helm.
qstr_Orcs_are_marching_aga|Los orcos están marchando contra Edoras.
qstr_Ah_{playername}_happ|¡Ah, {playername}, es una coincidencia afortunada que nos hayamos encontrado así! Traigo noticias funestas del oeste de Rohan, y hay que darse prisa.
qstr_What_tidings_do_you_|¿Qué nuevas traes, Mithrandir? ¿Qué puedo hacer?
qstr_Saruman_has_loosed_I|Saruman ha desatado sobre Rohan la furia de Isengard. {s1} ¡Para que se cumplan mis designios, los valientes Rohirrim no deben caer, {playername}! El peligro que los acecha es grande, pero Isengard ha quedado vacío y es vulnerable, porque Saruman ha lanzado a todas sus fuerzas contra Théoden Rey. Puede que este sea el momento de atacar Nan Curunir. Tienes una decisión ante ti, Capitán, una decisión que debes tomar, ¡pues ni tú no yo podemos estar en todas partes a la vez!
qstr_Do_you_want_me_to_he|¿Quieres que ayude al Rey Théoden a defender {s3}, o que me dirija a Isengard y vea lo que puedo hacer?
qstr_Either_would_be_a_gr|Elijas lo que elijas, me harás un gran servicio. Debes decidir tu camino por tu cuenta, {playername}, igual que yo. Sombragrís me llevará ahora a una misión urgente. ¡Tú también debes darte prisa! ¡Apresúrate!
qstr_Gandalf_asked_you_to|Gandalf te ha pedido que ayudes a Théoden a defender {s3} o qué averigües qué está pasando en Isengard.
qstr_Ents|Ents
qstr_Hail_{playername}!_I|¡Salve, {playername}! Espero que estés de una pieza. En cualquier caso, me alegro de que hayas ayudado a mi amigo Fangorn, o Bárbol, como puede que tú le conozcas. Los pastores de árboles son muy poderosos, pero era bastante verosímil que estuvieran marchando a su perdición. Tal vez los hayas salvado de un gran peligro, Capitán, y eso me llena de alegría. No me gustaría ver desaparecer de este mudo a Ias más antiguas de sus criaturas, no, aún no… No, no antes de que vuelvan a ver a las Ents-mujeres, o eso espero.
qstr_Missing_String|Missing String
qstr_Well_thank_you_{play|Bueno, gracias, {playername}, y adiós. ¡Puede que volvamos a vernos, antes de la luna menguante!
qstr_Hail_{playername}!_I_|¡Salve, {playername}! Espero que estés de una pieza. En cualquier caso, parece que has aplicado tu acero donde más falta hacía. Ningún enemigo ha tomado Cuernavilla, y es posible que ninguno lo haga. ¡no mientras valientes como tú defiendan la Puerta de Helm, me atrevería a decir!
qstr_Your_deed_has_greatl|Tu hazaña ha sido de gran ayuda para mis designios, más incluso de lo que había esperado o planeado. Adiós, {playername}, y gracias. ¡Puede que volvamos a vernos, antes de la luna menguante!
qstr_{Playername}_I_will_|{Playername}, te preguntaré una cosa. Tu valía como capitán está bien acreditada, igual que tu diligencia; ¿te superaron enemigos superiores? ¿Te demoraste demasiado, por prudencia o por miedo? He aquí que hemos caído en un peligro aún mayor del que había previsto. La fuerza de Rohan está quebrada, su pueblo desperdigado y desprotegido: el Abismo de Helm ha caído. Los árboles se ha marchitado antes de tiempo, y la noche se oscurece con el humo de las fraguas de Isengard: los Ents del Bosque de Fangorn están muertos o han huido.
qstr_You_have_failed_me_{|Me has fallado, {playername}; o quizás sea yo quien te ha fallado a ti. Tal vez había algún fallo en mis designios, algún grave error que no supe reconocer… El terror de Mordor se acerca. Ahora, déjame, {playername}. Puede que volvamos a vernos... o puede que no.
qstr_Bagginsssss..._Ssssh|Bolssssón... Comarca...
qstr_I..._don_t_know!|¡No... no sé nada!
qstr_It..._beckonsssssss.|Nosss... llaamaaaaa...
qstr_Treachery..._Unforgi|Traición... Imperdonable...
qstr_But_I...|Pero yo...
qstr_Noone..._oppossssses|Nadie... ssse opone... a Barad Dûr... ¡y vive para contarrlo!
qstr_All..._must..._submi|Todosss... sse.. deben... ssssometer... y... sssservir...
qstr_I_serve_the_Eye!|¡Yo sirvo al Ojo!
qstr_I_shall_serve_the_Ey|¡Me someteré al servicio del Ojo!
qstr_Go_to_{s1}_and_speak|Ve a {s1} y habla con {s9}.
qstr_The_Remnant_Forces_o|Los restos de la fuerzas de {s22} se han reagrupado para reforzar el frente de {s15}!
qstr_The_strength_of_the_|La fuerza de las facciones aliadas que quedan en el frente de {s15} ha aumentado
qstr_{s30}_reinforced_by_|{s30} reforzado por {reg65} fue. fac.
qstr_{s1}_has_been_besieg|{s1} ha sido asediado por {s2} de {s3}.
qstr_The_forces_of_{s2}_m|¡Las fuerzas de {s2} marchan a {s15}!
qstr_Rohan_capital_moved_|¡La capital de Rohan se ha trasladado de Edoras a Cuernavilla!
qstr_Dale_capital_moved_f|¡La capital de Valle se ha trasladado de Valle a Esgaroth!
qstr_Gundabad_capital_mov|¡La capital de Gundabad se ha trasladado del Motne Gundabad a la Ciudad de los Trasgos!
qstr_You_have_breached_th|Has atravesado el círculo de Isengard con la ayuda de los Hombres Árbol. Durante la batalla, Isengard se ha inundado, pero Orthanc aún se alza sin un rasguño en mitad del caos. Deberías investigar las ruinas.
qstr_The_hosts_of_{s2}_re|¡Las huestes de {s2} se retiran de vuelta a sus hogares!
qstr____Ruins_of_{s1}___|Ruinas de {s1}
qstr_{s1}_has_joined_the_|{s1} se ha unido a la Mano
qstr_{s1}_has_joined_the_E|{s1} se ha unido al Ojo
qstr_ranks|filas
qstr_shield_wall|muro de escudos
qstr_wedge|cuña
qstr_square|cuadro
qstr_up|como es debido
qstr___Infantry_forming_{|Infantería formando {s1}.
qstr___Not_enough_infantr|No hay suficiente infantería para formar {s1}, manteniendo la posición.
qstr___Cavalry_forming_{s|Caballería formando {s1}.
qstr___Not_enough_cavalry|No hay suficiente caballería para formar {s1}, manteniendo la posición.
qstr___Archers_forming_{s|Arqueros formando {s1}.
qstr___Not_enough_archers|  No hay suficientes arqueros para formar {s1}, manteniendo la posición.
qstr___Infantry_formation|Formación de Infantería cancelada.
qstr___Cavalry_formation_|Formación de Caballería cancelada.
qstr___Archer_formation_d|Formación de Arqueros cancelada.
qstr_Division_{reg1}_{s2}|División {reg1} {s2} formando {s1}.
qstr_Not_enough_troops_in|No hay suficientes tropas en la división {reg1} {s2} para formar {s1}.
qstr_Division_{reg1}_{s2}_|La división {reg1} {s2} es una división de {s3} y no puede formar {s1}.
qstr_{s1}:_infantry_forma|{s1}: formación de infantería cancelada.
qstr_{s1}:_archer_formati|{s1}: formación de arqueros cancelada.
qstr_{s1}:_skirmisher_for|{s1}: formación de escaramuzadores cancelada.
qstr_{s1}:_cavalry_format|{s1}: formación de caballería cancelada.
qstr_{s1}:_formation_disa|{s1}: formación cancelada.
qstr_Cavalry_formation_di|Formación de Caballería cancelada.
qstr_The_placement_of_{s1|Colocación de la división de {s1} {reg0} memorizada.
qstr_The_placement_of_{s1}|Colocación por defecto de la división de {s1} {reg0}.
qstr_Your_party_s_tactica|¡La habilidad de Tácticas de tu grupo limita la distancia a la que puedes desplegar divisiones!
qstr_...and_attack_enemy_|¡...y atacad a la división enemiga de {s1}!
qstr_{s2}:_returning_afte|{s2}: regresando tras destruir la división enemiga de {s1}.
qstr_infantry|infantería
qstr_archer|arqueros
qstr_cavalry|caballería
qstr_polearm|armas enastadas
qstr_skirmisher|escaramuzadores
qstr_mounted_archer|arqueros montados
qstr_support|apoyo
qstr_bodyguard|guardaespaldas
qstr_undetermined_type_of|tipo indeterminado
qstr_{s1}_has_fled_the_ba|¡{s1} ha huido de la batalla!
qstr_Your_side_is_at_{reg|¡Tus tropas tienen un {reg1}% de cohesión ({reg3}% por hechos recientes), los enemigos tienen un {reg2}%!
qstr_Morale_of_your_troop|¡La moral de tus tropas flaquea!
qstr_Morale_of_your_enemi|¡La moral de tus enemigos flaquea!
qstr_Your_enemies_flee_in|¡Los enemigos huyen aterrorizados!
qstr_Many_of_your_enemies|Muchos de los enemigos están huyendo de la batalla.
qstr_Some_of_your_enemies|Algunos de los enemigos están huyendo de la batalla.
qstr_A_few_of_your_enemie|Unos pocos de tus enemigos están huyendo de la batalla.
qstr_Your_troops_flee_in_|¡Tus tropas huyen aterrorizadas!
qstr_Many_of_your_troops_|Muchas de tus tropas están huyendo de la batalla.
qstr_Some_of_your_troops_|Algunas de tus tropas están huyendo de la batalla.
qstr_A_few_of_your_troops|Unas pocas de tus tropas están huyendo de la batalla.
qstr_Gained_permanent_+1_to_P|Has conseguido +1 punto permanente de Busca-rutas.
qstr_Gained_permanent_+1_to_S|Has conseguido +1 punto permanente de Avistamiento.
qstr_{s11}_recovered_from|{s11} se ha recuperado de una herida seria.
qstr_Volunteers|Voluntarios
qstr_Reserves|Reservas
qstr_have_taken_measure_o|han tomado buena nota de la fuerza actual de tu facción y se han vuelto más atrevidos.
qstr_loses_Faction_Streng|pierde fuerza de facción, ya que las líneas de suministros se han visto interrumpidas.
qstr_loses_Faction_Strengt|pierde fuerza de facción debido a la destrucción de su campamento.
qstr_gains_Faction_Streng|gana fuerza de facción al extenderse las noticias de tu victoria.
qstr_Something_wrong_not_|Algo falla, no hay tropas siuficientes para retirar
qstr_Raiders|Incursores
qstr_have_won_the_sea_bat|han ganado la batalla naval, desmoralizando a tus tropas. El enemigo podría aprovechar esta derrota para atacar con más frecuencia.
qstr_loses_Faction_Strength|pierde fuerza de facción debido a un asalto destructivo.
qstr_loses_Faction_Strength_|pierde fuerza de facción debido a tus éxitos navales.
qstr_You_spent_{reg67}_of|Gastas {reg67} de tu influencia con {s1}, te quedan {reg66}.
qstr_{s2}_{reg3?was:is_ar|{s2} {reg3?estaba:está} cerca de {s5}.
qstr_Army_of_{s6}|Ejército de {s6}
qstr_Host_of_{s6}|Hueste de {s6}
qstr_The_host_of_Isengard|¡La hueste de Isengard ha arrasado {s2}!
qstr_{s1}_{s0}|{s1}, {s0}
qstr_{s1}_and_{s0}|{s1} y {s0}
qstr_No_Troops_Left.|No quedan tropas.
qstr_avoid_melee|evitar cuerpo a cuerpo
qstr_stand_and_fight|luchar sin un paso atrás
qstr_Everyone|Todos
qstr_Shield___{reg31}_|Escudo (-{reg31})
qstr_Power_Draw___{reg31}|Arquería (-{reg31})
qstr_Riding___{reg31}_|Cabalgar (-{reg31})
qstr_Horse_Archery___{reg|Arquería Montada (-{reg31})
qstr_Athletics___{reg31}_|Atletismo (-{reg31})
qstr_No_Skill_Penalty_Ass|Sin penalización de habilidad asignada
qstr_Inventory|Inventario
qstr_Show_stats|Mostrar estadísticas
qstr_Show_item_details__|Mostrar detalles de objeto 
qstr_Troop_detail|Detalle de tropas
qstr_{s1}^|{s1}^
qstr_{s1}Level:_{reg1}^|{s1}Nivel: {reg1}^
qstr_{s1}Hit_Points:_{reg|{s1}Puntos de Vida: {reg1}
qstr_{s1}Atributes:_^___S|{s1}Atributos: ^  Fuerza:^
qstr_{s2}^{reg1}^|{s2}^{reg1}^
qstr_{s1}___Agility:|{s1}   Agilidad:
qstr_{s2}{reg1}|{s2}{reg1}
qstr_{s1}Main_skills:_^|{s1}Habilidades principales: ^
qstr_{s1}___Power_Strike:|{s1}   Potencia de Golpe:^
qstr_{s2}{reg1}^|{s2}{reg1}^
qstr_{s1}___Athletics:^|{s1}   Atletismo:^
qstr_{s1}___Riding:^|{s1}   Cabalgar:^
qstr_{s2}_^|{s2}-^
qstr_{s1}___Power_Throw:^|{s1}   Lanzamiento:^
qstr_{s1}___Power_Draw:^^|{s1}   Arquería:^^
qstr_{s2}{reg1}^^|{s2}{reg1}^^
qstr_{s2}_^^|{s2}-^^
qstr_{s1}Weapons:^|{s1}Armas:^
qstr_{s1}___One_Handed:^|{s1}   Una mano:^
qstr_{s1}___Two_Handed:^|{s1}  Dos manos:^
qstr_{s1}___Polearms:^|{s1}   Enastadas:^
qstr_{s1}___Archery:^|{s1}   Arcos:^
qstr_{s1}___Crossbow:^|{s1}   Ballestas:^
qstr_{s1}___Throwing:^|{s1}   Arrojadizas:^
qstr_{s1}___Slings:|{s1}   Hondas:
qstr_{s2}_|{s2}-
qstr__Click_on_the_troop_|(Haz clic en la tropa para rotar)^^Haz clic en los objetos del equipo ^(yelmo, armadura, guantes y botas)^ para mostrarlos.
qstr_ready_bows_and_missi|preparad arcos y proyectiles
qstr_ready_side_arms|preparad armas de mano
qstr_ready_two_hander|preparad armas de dos manos
qstr_ready_polearms|preparad armas enastadas
qstr_shields_up|cubríos con escudos
qstr_doff_shields|dejad escudos
qstr_Distance___{reg70}__|Distancia - {reg70} - {s11} Grupo - {s12} Tropa
qstr_A_golden_mist_from_L|Una neblina dorada procedente de Lórien cubre el campo de batalla. Tus tropas se sienten más animadas por la presencia de la Dama.
qstr_A_golden_mist_from_Lr|Una neblina dorada procedente de Lórien cubre el campo de batalla. La bruja está cerca,  haciendo que un escalofrío recorra tu espalda y las de tus tropas.
qstr_Dark_clouds_from_Mor|Nubes oscuras procedentes de Mordor cubren el campo de batalla. Tus arqueros tienen dificultades para avistar al enemigo, y la presencia del mal aterra a tus hombres.
qstr_Dark_clouds_from_Mord|Nubes oscuras procedentes de Mordor cubren el campo de batalla. La presencia del Señor Oscuro os da fuerzas a ti y a tus tropas.
qstr_A_thunderstorm_from_|Una tormenta procedente de las Montañas Nubladas se desata sobre el campo de batalla. Tus tropas se mueven más lentamente, y los más supersticiosos de entre tus hombres se sienten asustados.
