menu_start_game_1|^^^^^^^^^^¿Por qué fin lucháis?
menu_ruins|^^^^Te acercas a las {s1}. El que una vez fuera un fuerte campamento fortificado se encuentra ahora arrasado hasta los cimientos, pasto de las llamas, aunque todavía puedes ver los restos de edificaciones y armas oxidadas a ambos lados de tu campo de visión.
menu_legendary_place|^^^^Has seguido los rumores y encontrado {s1}. A partir de ahora puedes explorar este lugar y comprobar por tu cuenta y riesgo si los rumores de los que tanto has oído hablar son ciertos.
mno_explore|Explorar el lugar.
menu_ring_hunter_lair|^^^^Has seguido el rastro de los Caza-anillos por el Bosque Negro y llegado a {s1}. Ves que se disponen a huir con un cofre.
mno_attack_lair|Empieza el ataque
mno_leave_bandit_lair|Dejarlo por el momento.
menu_gondor_reinforcement_event|^^^^^¡Las almenaras de Gondor arden, Minas Tirith pide ayuda!^^Los señores de los feudos sureños marcharán hacia el norte a defender la Ciudad Blanca de la oscuridad que se cierne sobre ella.
mno_gondor_reinforcement_event_close|Cerrar
menu_gondor_beacons|Levantas la vista hacia {s1}, una de las almenaras de Gondor, usadas para dar la alarma en el norte y el sur de Gondor.
mno_gondor_beacons_close|Irse...
menu_player_added_to_war_council|^^^^^Ha llegado un mensajero a decirte que, en cumplimiento de tus deberes como {s24}, {s2} ha solicitado que formes parte de su Concilio de Guerra. Ahora puedes sugerir estrategias que pueden influir en el curso de la guerra.
mno_player_added_to_war_council_close|Cerrar
menu_player_added_to_siege_reports|^^^^^Ha llegado un mensajero a decirte que, a partir de ahora, como {s24}, recibirás informes cada vez que {s2} ponga un centro bajo asedio o cuando alguno de los centros de {s2} sea asediado.
mno_player_added_to_siege_reports_close|Cerrar
menu_player_added_to_allow_follow|^^^^^Ha llegado un mensajero a decirte que, a partir de ahora, como {s24}, se te permitirá dar órdenes a {s2} para que te sigan, hasta un máximo de {reg55} seguidores.
mno_player_added_to_allow_follow_close|Cerrar
menu_center_besieged_event|^^^^^Ha llegado un mensajero a informarte de que {s2} of {s3} ha puesto {s1} bajo asedio.
mno_center_besieged_event_close|Cerrar
menu_guardian_party_spawned|^^^^^Los exploradores informan de que {s6} ha reunido un gran ejeército en las cercanías de {s7}, en un último y desesperado intento por defender la capital.
mno_intro_next|Continuar...
mno_start_defend_caravan|¡Defiende la caravana!
mno_start_raid_caravan|¡Asalta la caravana!
mno_start_ambush_orcs|¡Tiende una emboscada a los orcos!
mno_start_kill_scouts|¡Impide que los exploradores informen de tu llegada!
mno_go_your_way|Dejarlos en paz
mno_defend_villagers|¡Defiende el Poblado!
mno_raid_villagers|¡Saquea el Poblado!
mno_go_away|Retirarse y reagruparse por ahora.
menu_scout_camp_quest|Ves que el campamento de los exploradores está cerca. Preparas a tus tropas para atacar.
mno_attack_scout_camp|¡Ataca el campamento!
menu_sea_battle_quest|Avistas una flota enemiga. Los buques se acercan y los marineros tienden pasarelas...
mno_sb_defend_the_town|¡Al abordaje! ¡Destruye su flota!
mno_sb_attack_the_town|¡Intentan interceptarnos! ¡Defiende la flota!
menu_camp_field_ai|^^^^^Haz clic en una opción para activarla o desactivarla.^^^Desactivar una o más oipciones mejorará el rendimiento (FPS)
mno_lord_field_ai|Los señores tienen IA de batalla mejorada:  {s7}
mno_horse_archer_field_ai|Los arqueros a caballo tienen IA de batalla mejorada:  {s7}
mno_vs_orcs_field_ai|Los arqueros tienen mejor puntería contra orcos (no apuntan por encima de sus cabezas):  {s7}
mno_battlefield_animals|Compañeros animales -sin contar huargos / caballos- aparecen en batalla:  {s7}
mno_slow_when_wounded|Los agentes heridos se vuelven más lentos:  {s7}
mno_battle_encounter_effects|Efectos especiales de facción en el campo de batalla (p. ej. tormentas, nieblas):  {s7}
menu_hungry_orc|ninguno
menu_leaving_elf|ninguno
mno_defend_refugees|Mantenerte ojo avizor por si aparecen saqueadores...
mno_attack_refugees|Atacar la caravana de refugiados...
mno_leave_refugees|Dejarlos en paz por ahora...
mno_evil_war_tut_continue|Continuar...
menu_alternate_training_fight|Te enfrentarás a {reg5} oponentes. ¿Quieres empezar?
mno_training_continue|Empezar el entrenamiento...
menu_alternate_training_conclusion|{s5}
mno_alternate_training_retry|Intentarlo de nuevo...
mno_alternate_training_finish|Dejar la arena...
menu_custom_battle_choose_faction1|^^^^^^^^^^Elige en qué lado combatirás y qué ventajas activarás:
mno_good_equal|Facción del bien
mno_bad_equal|Facción del mal
mno_replay_prev|Volver a jugar con la configuración anterior
menu_custom_battle_choose_faction2|^^^^^^^^^^Elige una facción del bien
mno_cb_gondor|Gondor
mno_cb_gondor1|Rohan
mno_cb_gondor2|Lothlórien
mno_cb_gondor3|Rivendel
mno_cb_gondor4|Bosque Negro
mno_cb_gondor5|Enanos
mno_cb_gondor6|Valle
mno_cb_gondor7|Beórnidas
menu_custom_battle_choose_faction3|^^^^^^^^^^Elige una facción del mal
mno_cb_mordor|Mordor
mno_cb_mordor1|Isengard
mno_cb_mordor2|Tierras Brunas
mno_cb_mordor3|Haradrim
mno_cb_mordor4|Orientales
mno_cb_mordor5|Moria
mno_cb_mordor6|Gundabad
mno_cb_mordor7|Rhûn
mno_cb_mordor8|Corsarios
mno_rescue_mission|Deslizarse sigilosamente dentro de la guarida del hechicero bajo el abrigo de la noche.
mno_next_rescue_scene_door|¡Seguir adelante!
mno_pick_troops1|Elige compañeros para la misión, {reg0} seleccionados
menu_pick_troops|¿Quiénes te acompañarán en la misión encubierta?    ^Solo tus soldados y compañeros más ágiles podrán ir contigo.    ^Como el miembro del grupo con la mayor puntuación en la habilidad de Dominio de las tierras salvajes, {reg65?{s1} te aconseja:decides} no llevar más de {reg11} tropas contigo.    ^^Actualmente, has seleccionado {reg0} compañeros.
mno_go_forward|Terminar de elegir compañeros y continuar.
menu_burial_mound|Te aproximas al túmulo funerario de {s1} de {s2}, que cayó en batalla contra las fuerzas de {s28}.  A sus pies se apilan las melladas armas de sus enemigos caídos.
mno_pay_respects|Arrodillarte y mostrar tus respetos.
mno_swear_oath|¡Pronunciar un juramento de venganza!
mno_despoil|Profanar el lugar
mno_leave_mound|Dejar el túmulo.
menu_burial_mound_respects|Te arrodillas y le muestras a {s1} tus respetos, murmurando en silencio una plegaria por un rápido viaje de ida a la otra vida. No hay nada más que quede por hacer aquí.
menu_burial_mound_oath|Comienzas a pronunciar sonoramente un juramento de venganza por la muerte de {s4}. Buscarás y perseguirás sin descanso a las fuerzas de {s3} hasta su destrucción total y absoluta. A tus palabras se las lleva el viento, y ¿quién te dice que no se hayan oído más allá del gran mar?
menu_funeral_pyre_oath|Pronuncias en voz alta un juramento de venganza por la muerte de {s4}. Buscarás y perseguirás sin descanso a las fuerzas de {s3}, y las destruirás. Tus palabras llegan lejos, arrastradas por el vientos, ¿y quién te dice que no se hayan oído más allá del mar?
mno_leave_pyre_oath|Dejar la pira.
menu_burial_mound_despoil|Derribas el monumento a {s1} con tus propias manos y mancillas el lugar con maldiciones, insultos y todo tipo de comportamientos deplorables. Tus seguidores retroceden con miedo, temiendo la reacción de los muertos, pero parece que te has forjado un renovado respeto gracias a tu denostada malicia.
menu_funeral_pyre|Te acercas a los restos carbonizados de la pira funeraria de {s3} de {s2}, que cayó en batalla contra las fuerzas de {s28}. Aquí su cuerpo fue cremado ceremoniosamente por sus guardias personales. No queda nada de valor. 
mno_leave_pyre|Dejar la pira.
menu_town_ruins|Cuando te acercas ves que {s1} está {s2}
mno_ruin_menu_0|Explorar el lugar.
mno_ruin_leave|Irse...
menu_premutiny|ninguno
menu_death|Te han matado. Aunque la guerra sigue su sangriento curso tú ya no formarás parte de ella nunca más.
menu_animal_ambush|Tú y tus compañeros os encontráis separados del resto del grupo cuando de repente...
menu_animal_ambush_success|{reg0?El:Los} {s2} {reg0?cae:caen} ante ti como el trigo seco bajo la guadaña. Poco después todos tus atacantes yacen en el suelo, muertos o heridos. {s3}
menu_animal_ambush_fail|Los animales {reg0?te muerden y desgarran,:os muerden y desgarran a ti y a tu{reg2?s : }compañero{reg2?s,:,}} pero por suerte consigues mantenerlos a raya y ahuyentarlos. Con un poco de suerte no te atacarán de nuevo.
menu_isengard_flooding|^^^^^@Te rodean enemigos muertos y aliados triunfantes, incluyendo a los Ents; rugen y braman y aúllan de tal modo que las piedras se resquebrajan y caen en torno a la torre de Orthanc. Son como una tempestad, despedazando las columnas, arrojando avalanchas de piedras a los fosos, lanzando al aire enormes bloques de roca como si fuesen hojas... No se parece a nada que hayas visto antes.^^ Bregalad -- o Ramaviva, como tú lo conoces -- se acerca a grandes zancadas y se detiene solo para decir: '¡{playername}! ¡Cuidado! Mantente lejos de la Torre; pronto romperemos el dique y traeremos el Isen al valle durante un tiempo. ¡Creo que encontrarás muy difícil quedarte aquí!' Te apresuras a seguir su consejo y te apartas de Orthanc.^^ Cerca de medianoche, Isengard empieza a llenarse de charcos y arroyos de aguas negras. No puedes evitar un estremecimiento al ver grandes columnas de humo y vapor elevándose y enroscándose alrededor de la Torre, hasta que parece un elevado pico envuelto en nubes, incandescente por abajo y arriba iluminado por la luna. La cólera de los Ents es lenta, pero posee una fuerza irresistible...
mno_isengard_continue|Continuar
menu_build_your_scene|Puedes crear tu propio escenario de batalla, utilizando una de las ranuras disponibles abajo y activando el modo de edición (primero tienes que activar el modo de edición en las opciones del lanzador al iniciar el juego, entrar en un escenario de batalla y pulsar Ctrl+E para acceder al editor). Puedes enviarnos los escenarios que hayas creado (los archivos sco de la carpeta TLD/SceneObj) y si tu creación es lo bastante buena, podría aparecer en versiones posteriores como uno de los mapas de batalla aleatorios.^^ Intenta especificar en qué región del mapa quieres que aparezca.^ Un par de consejos: evita las aguas profundas, las montañas empinadas y otros obstáculos infranqueables, a no ser que tengas experiencia creando mapas y sepas usar las barreras y las «AI Mesh» para hacer que la IA de las tropas vaya donde tú quieras que vaya y no se meta donde no debe.^ (Los puntos de entrada del 0 al 1 son para atacantes, el 4 para los defensores, ni se te ocurra tocar los que van del 5 al 8)
mno_scene1|Llanura grande (archivo: scn custom 1.sco)
mno_scene2|Llanura mediana (archivo: scn custom 2.sco)
mno_scene3|Llanura pequeña (archivo: scn custom 3.sco)
mno_scene4|Estepa grande (archivo: scn custom 4.sco)
mno_scene5|Estepa mediana (archivo: scn custom 5.sco)
mno_scene6|Estepa pequeña (archivo: scn custom 6.sco)
mno_scene7|Bosque grande (archivo: scn custom 7.sco)
mno_scene8|Bosque mediano (archivo: scn custom 8.sco)
mno_scene9|Bosque pequeño (archivo: scn custom 9.sco)
mno_back_3dot|Atrás...
mno_back|Volver atrás.
mno_next|Siguiente...
