trp_unarmed_troop|Tropa desarmada
trp_a3_harad_hunter|Cazador de Harad
trp_a3_harad_hunter_pl|Cazadores de Harad
trp_a4_harad_archer|Arquero Haradrim
trp_a4_harad_archer_pl|Arqueros Haradrim
trp_a5_harad_eagle_guard|Guardia Águila
trp_a5_harad_eagle_guard_pl|Guardias Águila
trp_c2_harondor_scout|Explorador de Harondor
trp_c2_harondor_scout_pl|Exploradores de Harondor
trp_c3_harondor_rider|Jinete de Harondor
trp_c3_harondor_rider_pl|Jinetes de Harondor
trp_c4_harondor_light_cavalry|Jinete ligero de Harondor
trp_c4_harondor_light_cavalry_pl|Jinetes ligeros de Harondor
trp_c5_harondor_serpent_knight|Caballero de la Serpiente Dorada
trp_c5_harondor_serpent_knight_pl|Caballeros de la Serpiente Dorada
trp_ac3_harondor_skirmisher|Escaramuzador de Harondor
trp_ac3_harondor_skirmisher_pl|Escaramuzadores de Harondor
trp_ac4_harondor_horse_archer|Arquero montado de Harondor
trp_ac4_harondor_horse_archer_pl|Arqueros montados de Harondor
trp_ac5_harondor_black_snake|Arquero montado de la Serpiente Negra
trp_ac5_harondor_black_snake_pl|Arqueros montados de la Serpiente Negra
trp_i2_far_harad_tribesman|Miembro de las tribus de la Lejana Harad
trp_i2_far_harad_tribesman_pl|Miembros de las Tribus de la Lejana Harad
trp_i4_far_harad_champion|Campeón de la Lejana Harad
trp_i4_far_harad_champion_pl|Campeones de la Lejana Harad
trp_i5_far_harad_panther_guard|Guardia Pantera
trp_i5_far_harad_panther_guard_pl|Guardias Pantera
trp_i1_dun_wildman|Salvaje dunlendino
trp_i1_dun_wildman_pl|Salvajes dunlendinos
trp_i2_dun_warrior|Guerrero dunlendino
trp_i2_dun_warrior_pl|Guerreros dunlendinos
trp_i3_dun_pikeman|Piquero dunlendino
trp_i3_dun_pikeman_pl|Piqueros dunlendinos
trp_i4_dun_vet_pikeman|Piquero veterano dunlendino
trp_i4_dun_vet_pikeman_pl|Piqueros veteranos dunlendinos
trp_ac4_dun_crebain_rider|Jinete de craban dunlendino
trp_ac4_dun_crebain_rider_pl|Jinetes de crebain dunlendinos
trp_i3_dun_vet_warrior|Guerrero veterano dunlendino
trp_i3_dun_vet_warrior_pl|Guerreros veteranos dunlendinos
trp_i4_dun_wolf_warrior|Guerrero lobo dunlendino
trp_i4_dun_wolf_warrior_pl|Guerreros lobo dunlendinos
trp_i5_dun_wolf_guard|Guardia Lobo dunlendino
trp_i5_dun_wolf_guard_pl|Guardias Lobo dunlendinos
trp_ac5_dun_raven_rider|Cuervo Nocturno dunlendino
trp_ac5_dun_raven_rider_pl|Cuervos Nocturnos dunlendinos
trp_i1_khand_bondsman|Esclavo de Khand
trp_i1_khand_bondsman_pl|Esclavos de Khand
trp_i2_khand_pit_dog|Perro de pelea de Khand
trp_i2_khand_pit_dog_pl|Perros de pelea de Khand
trp_i3_khand_warrior|Guerrero de Khand
trp_i3_khand_warrior_pl|Guerreros de Khand
trp_i4_khand_vet_warrior|Guerrero veterano de Khand
trp_i4_khand_vet_warrior_pl|Guerreros veteranos de Khand
trp_i5_khand_war_master|Señor de la guerra Variag
trp_i5_khand_war_master_pl|Señores de la guerra Variag
trp_c2_khand_pony_rider|Jinete de póney de Khand
trp_c2_khand_pony_rider_pl|Jinetes de póneys de Khand
trp_c3_khand_horseman|Jinete de Khand
trp_c3_khand_horseman_pl|Jinetes de Khand
trp_c4_khand_heavy_horseman|Jinete pesado de Khand
trp_c4_khand_heavy_horseman_pl|Jinetes pesados de Khand
trp_c5_khand_kataphrakt|Catafracto Variag
trp_c5_khand_kataphrakt_pl|Catafractos Variag
trp_c5_khand_lance_kataphrakt|Lancero Variag
trp_c5_khand_lance_kataphrakt_pl|Lanceros Variag
trp_i4_khand_halberdier|Archero de Khand
trp_i4_khand_halberdier_pl|Archeros de Khand
trp_i5_khand_halberd_master|Maestro alabardero Variag
trp_i5_khand_halberd_master_pl|Maestros alabarderos Variag
trp_i3_khand_pitfighter|Luchador del reñidero de Khand
trp_i3_khand_pitfighter_pl|Luchadores del reñidero de Khand
trp_i4_khand_pit_champion|Campeón del reñidero Variag
trp_i4_khand_pit_champion_pl|Campeones del reñidero Variag
trp_i5_khand_pit_master|Amo del reñidero Variag
trp_i5_khand_pit_master_pl|Amos del reñidero Variag
trp_ac3_khand_skirmisher|Escaramuzador de Khand
trp_ac3_khand_skirmisher_pl|Escaramuzadores de Khand
trp_ac4_khand_vet_skirmisher|Escaramuzador veterano de Khand
trp_ac4_khand_vet_skirmisher_pl|Escaramuzadores veteranos de Khand
trp_ac5_khand_heavy_skirmisher|Escaramuzador pesado Variag
trp_ac5_khand_heavy_skirmisher_pl|Escaramuzadores pesados Variag
trp_i1_corsair_youth|Marinero de Umbar
trp_i1_corsair_youth_pl|Marineros de Umbar
trp_i2_corsair_warrior|Guerrero de Umbar
trp_i2_corsair_warrior_pl|Guerreros de Umbar
trp_i3_corsair_spearman|Lancero de Umbar
trp_i3_corsair_spearman_pl|Lanceros de Umbar
trp_i4_corsair_raider|Incursor corsario
trp_i4_corsair_raider_pl|Incursores corsarios
trp_i5_corsair_night_raider|Incursor nocturno corsario
trp_i5_corsair_night_raider_pl|Incursores nocturnos corsarios
trp_a2_corsair_marine|Infante de marina de Umbar
trp_a2_corsair_marine_pl|Infantes de marina de Umbar
trp_a3_corsair_marksman|Tirador de Umbar
trp_a3_corsair_marksman_pl|Tiradores de Umbar
trp_a4_corsair_veteran_marksman|Tirador veterano de Umbar
trp_a4_corsair_veteran_marksman_pl|Tiradores veteranos de Umbar
trp_a5_corsair_master_marksman|Maestro tirador corsario
trp_a5_corsair_master_marksman_pl|Maestros tiradores corsarios
trp_i3_corsair_swordsman|Espadachín de Umbar
trp_i3_corsair_swordsman_pl|Espadachines de Umbar
trp_i4_corsair_veteran_swordsman|Espadachín veterano de Umbar
trp_i4_corsair_veteran_swordsman_pl|Espadachines veteranos de Umbar
trp_i5_corsair_master_swordsman|Maestro espadachín corsario
trp_i5_corsair_master_swordsman_pl|Maestros espadachines corsarios
trp_a4_corsair_assassin|Asesino corsario
trp_a4_corsair_assassin_pl| Asesinos corsarios
trp_a5_corsair_master_assassin|Asesino corsario
trp_a5_corsair_master_assassin_pl| Asesinos corsarios
trp_i4_corsair_veteran_spearman|Lancero veterano de Umbar
trp_i4_corsair_veteran_spearman_pl|Lanceros veteranos de Umbar
trp_i5_corsair_master_spearman|Maestro lancero de Umbar
trp_i5_corsair_master_spearman_pl|Maestros lanceros de Umbar
trp_i5_corsair_master_pikeman|Maestro piquero de Umbar
trp_i5_corsair_master_pikeman_pl|Maestros piqueros de Umbar
trp_i1_isen_orc_snaga|Orco snaga de Isengard
trp_i1_isen_orc_snaga_pl|Orcos snagas de Isengard
trp_i2_isen_orc|Orco de Isengard
trp_i2_isen_orc_pl|Orcos de Isengard
trp_i3_isen_large_orc|Gran orco de Isengard
trp_i3_isen_large_orc_pl|Orcos grandes de Isengard
trp_i4_isen_fell_orc|Orco feroz de Isengard
trp_i4_isen_fell_orc_pl|Orcos feroces de Isengard
trp_i3_isen_large_orc_despoiler|Gran orco saqueador
trp_i3_isen_large_orc_despoiler_pl|Orcos grandes saqueadores
trp_i4_isen_fell_orc_despoiler|Orco feroz saqueador
trp_i4_isen_fell_orc_despoiler_pl|Orcos feroces saqueadores
trp_ac2_isen_wolf_rider|Jinete de lobo de Isengard
trp_ac2_isen_wolf_rider_pl|Jinetes de lobo de Isengard
trp_ac3_isen_warg_rider|Jinete de huargo de Isengard
trp_ac3_isen_warg_rider_pl|Jinetes de huargo de Isengard
trp_ac4_isen_white_hand_rider|Jinete de la Mano Blanca
trp_ac4_isen_white_hand_rider_pl|Jinetes de la Mano Blanca
trp_warg_ghost_1b|Huargo
trp_warg_ghost_1b_pl|Huargos
trp_warg_ghost_1c|Huargo
trp_warg_ghost_1c_pl|Huargos
trp_warg_ghost_1d|Huargo
trp_warg_ghost_1d_pl|Huargos
trp_warg_ghost_a1b|Huargo
trp_warg_ghost_a1b_pl|Huargos
trp_warg_ghost_a1c|Huargo de guerra
trp_warg_ghost_a1c_pl|Huargos de guerra
trp_warg_ghost_a2b|Huargo de guerra
trp_warg_ghost_a2b_pl|Huargos de guerra
trp_warg_ghost_a2c|Huargo de Guerra
trp_warg_ghost_a2c_pl|Huargos de Guerra
trp_warg_ghost_a3a|Huargo de Guerra
trp_warg_ghost_a3a_pl|Huargos de Guerra
trp_warg_ghost_h|Huargo Gigante
trp_warg_ghost_h_pl|Huargos Gigantes
trp_a2_isen_uruk_tracker|Rastreador Uruk-hai
trp_a2_isen_uruk_tracker_pl|Rastreadores Uruk-hai
trp_a3_isen_large_uruk_tracker|Gran rastreador Uruk-hai
trp_a3_isen_large_uruk_tracker_pl|Grandes rastreadores Uruk-hai
trp_a4_isen_fighting_uruk_tracker|Guerrero rastreador Uruk-hai
trp_a4_isen_fighting_uruk_tracker_pl|Guerreros rastreadores Uruk-hai
trp_i6_isen_uruk_berserker|Berserker Uruk-hai
trp_i6_isen_uruk_berserker_pl|Berserkers Uruk-hai
trp_i1_isen_uruk_snaga|Uruk-hai neonato
trp_i1_isen_uruk_snaga_pl|Uruk-hai neonatos
trp_i2_isen_uruk|Uruk-hai de Isengard
trp_i2_isen_uruk_pl|Uruk-hai de Isengard
trp_i3_isen_large_uruk|Gran Uruk-hai de Isengard
trp_i3_isen_large_uruk_pl|Grandes Uruk-hai de Isengard
trp_i4_isen_fighting_uruk_warrior|Guerrero Uruk-hai
trp_i4_isen_fighting_uruk_warrior_pl|Guerreros Uruk-hai
trp_i5_isen_fighting_uruk_champion|Campeón Uruk-hai
trp_i5_isen_fighting_uruk_champion_pl|Campeones Uruk-hai
trp_i3_isen_uruk_pikeman|Piquero Uruk-hai
trp_i3_isen_uruk_pikeman_pl|Piqueros Uruk-hai
trp_i4_isen_fighting_uruk_pikeman|Piquero de combate Uruk-hai
trp_i4_isen_fighting_uruk_pikeman_pl|Piqueros de combate Uruk-hai
trp_i5_isen_uruk_standard_bearer|Portaestandarte Uruk-hai
trp_i5_isen_uruk_standard_bearer_pl|Portaestandartes Uruk-hai
trp_i1_mordor_uruk_snaga|Uruk snaga de Mordor
trp_i1_mordor_uruk_snaga_pl|Uruks snagas de Mordor
trp_i2_mordor_uruk|Uruk de Mordor
trp_i2_mordor_uruk_pl|Uruks de Mordor
trp_i3_mordor_large_uruk|Gran uruk de Mordor
trp_i3_mordor_large_uruk_pl|Uruks grandes de Mordor
trp_i4_mordor_fell_uruk|Uruk feroz de Mordor
trp_i4_mordor_fell_uruk_pl|Uruks feroces de Mordor
trp_i3_mordor_uruk_slayer|Uruk asesino de Mordor
trp_i3_mordor_uruk_slayer_pl|Uruks asesinos de Mordor
trp_i4_mordor_fell_uruk_slayer|Uruk asesino feroz de Mordor
trp_i4_mordor_fell_uruk_slayer_pl|Uruks asesinos feroces de Mordor
trp_i5_mordor_black_uruk|Uruk negro de Barad Dûr
trp_i5_mordor_black_uruk_pl|Uruks negros de Barad Dûr
trp_i5_mordor_uruk_standard_bearer|Portaestandarte de Mordor
trp_i5_mordor_uruk_standard_bearer_pl|Portaestandartes de Mordor
trp_troll_of_moria|Troll de las Cavernas
trp_troll_of_moria_pl|Trolls de las Cavernas
trp_armoured_troll|Troll de Guerra
trp_armoured_troll_pl|Trolls de Guerra
trp_olog_hai|Olog-hai de Mordor
trp_olog_hai_pl|Olog-hai de Mordor
trp_ent_old|Ent
trp_ent_old_pl|Ents
trp_i1_guldur_orc_snaga|Orco snaga de Dol Guldur
trp_i1_guldur_orc_snaga_pl|Orcos snagas de Dol Guldur
trp_a2_guldur_orc_tracker|Rastreador orco de Dol Guldur
trp_a2_guldur_orc_tracker_pl|Rastreadores orcos de Dol Guldur
trp_i1_mordor_orc_snaga|Orco snaga de Mordor
trp_i1_mordor_orc_snaga_pl|Orcos snagas de Mordor
trp_i2_mordor_orc|Orco de Mordor
trp_i2_mordor_orc_pl|Orcos de Mordor
trp_i3_mordor_large_orc|Gran orco de Mordor
trp_i3_mordor_large_orc_pl|Orcos grandes de Mordor
trp_i4_mordor_fell_orc|Orco feroz de Mordor
trp_i4_mordor_fell_orc_pl|Orcos feroces de Mordor
trp_c3_mordor_warg_rider|Jinete de huargo de Gorgoroth
trp_c3_mordor_warg_rider_pl|Jinetes de huargo de Gorgoroth
trp_c4_mordor_great_warg_rider|Gran jinete de huargo de Udûn
trp_c4_mordor_great_warg_rider_pl|Grandes jinetes de huargo de Udûn
trp_i2_mordor_morgul_orc|Orco de Minas Morgul
trp_i2_mordor_morgul_orc_pl|Orcos de Minas Morgul
trp_i4_mordor_fell_morgul_orc|Orco feroz de Minas Morgul
trp_i4_mordor_fell_morgul_orc_pl|Orcos feroces de Minas Morgul
trp_a3_guldur_large_orc_tracker|Gran rastreador orco de Dol Guldur
trp_a3_guldur_large_orc_tracker_pl|Grandes rastreadores orcos de Dol Guldur
trp_a4_guldur_fell_orc_tracker|Rastreador orco feroz de Dol Guldur
trp_a4_guldur_fell_orc_tracker_pl|Rastreadores orcos feroces de Dol Guldur
trp_a2_mordor_orc_archer|Arquero orco de Mordor
trp_a2_mordor_orc_archer_pl|Arqueros orcos de Mordor
trp_a3_mordor_large_orc_archer|Gran arquero orco de Mordor
trp_a3_mordor_large_orc_archer_pl|Grandes arqueros orcos de Mordor
trp_a4_mordor_fell_orc_archer|Arquero orco feroz de Mordor
trp_a4_mordor_fell_orc_archer_pl|Arqueros orcos feroces de Mordor
trp_c3_moria_wolf_rider|Jinete de lobo de Moria
trp_c3_moria_wolf_rider_pl|Jinetes de lobo de Moria
trp_c4_moria_warg_rider|Jinete de huargo de Moria
trp_c4_moria_warg_rider_pl|Jinetes de huargo de Moria
trp_c5_moria_clan_rider|Jinete del clan Bolgo
trp_c5_moria_clan_rider_pl|Jinetes del clan Bolgo
trp_i1_moria_snaga|Trasgo snaga de Moria
trp_i1_moria_snaga_pl|Trasgos snagas de Moria
trp_i2_moria_goblin|Trasgo de Moria
trp_i2_moria_goblin_pl|Trasgos de Moria
trp_i3_moria_large_goblin|Gran trasgo de Moria
trp_i3_moria_large_goblin_pl|Trasgos grandes de Moria
trp_i4_moria_fell_goblin|Trasgo feroz de Moria
trp_i4_moria_fell_goblin_pl|Trasgo feroz de Moria
trp_a2_moria_goblin_archer|Trasgo arquero de Moria
trp_a2_moria_goblin_archer_pl|Trasgos arqueros de Moria
trp_a3_moria_large_goblin_archer|Gran trasgo arquero de Moria
trp_a3_moria_large_goblin_archer_pl|Grandes trasgos arqueros de Moria
trp_a4_moria_fell_goblin_archer|Trasgo arquero feroz de Moria
trp_a4_moria_fell_goblin_archer_pl|Trasgos arqueros feroces de Moria
trp_i1_gunda_goblin|Trasgo de Gundabad
trp_i1_gunda_goblin_pl|Trasgos de Gundabad
trp_i2_gunda_orc|Orco de Gundabad
trp_i2_gunda_orc_pl|Orcos de Gundabad
trp_i3_gunda_orc_fighter|Luchador orco de Gundabad
trp_i3_gunda_orc_fighter_pl|Luchadores orcos de Gundabad
trp_i4_gunda_orc_warrior|Guerrero orco de Gundabad
trp_i4_gunda_orc_warrior_pl|Guerreros orcos de Gundabad
trp_i4_gunda_orc_berserker|Berserker orco de Gundabad
trp_i4_gunda_orc_berserker_pl|Berserkers orcos de Gundabad
trp_ca4_gunda_skirmisher|Escaramuzador de Gundabad
trp_ca4_gunda_skirmisher_pl|Escaramuzadores de Gundabad
trp_ca5_gunda_clan_skirmisher|Escaramuzador trasgo del clan del Norte
trp_ca5_gunda_clan_skirmisher_pl|Escaramuzadores trasgos del clan del Norte
trp_c3_gunda_goblin_rider|Jinete trasgo de Gundabad
trp_c3_gunda_goblin_rider_pl|Jinetes trasgos de Gundabad
trp_c4_gunda_warg_rider|Jinete de huargo de Gundabad
trp_c4_gunda_warg_rider_pl|Jinetes de huargo de Gundabad
trp_c5_gunda_clan_rider|Jinete trasgo del clan del Norte
trp_c5_gunda_clan_rider_pl|Jinetes trasgos del clan del Norte
trp_i5_gunda_orc_champion|Campeón orco de Gundabad
trp_i5_gunda_orc_champion_pl|Campeones orcos de Gundabad
trp_mountain_goblin2|Trasgo de montaña
trp_mountain_goblin2_pl|Trasgos de montaña
trp_tribal_orc2|Orco tribal
trp_tribal_orc2_pl|Orcos tribales
trp_i5_gunda_orc_champion2|Campeón orco de Gundabad
trp_i5_gunda_orc_champion2_pl|Campeones orcos de Gundabad
trp_i2_mordor_num_renegade|Renegado Númenóreano Negro
trp_i2_mordor_num_renegade_pl|Renegadso Númenóreanos Negros
trp_i3_mordor_num_warrior|Guerrero Númenóreano Negro
trp_i3_mordor_num_warrior_pl|Guerreros Númenóreanos Negros
trp_i4_mordor_num_vet_warrior|Guerrero veterano Númenóreano Negro
trp_i4_mordor_num_vet_warrior_pl|Guerreros veteranos Númenóreanos Negros
trp_i5_mordor_num_champion|Campeón Númenóreano Negro
trp_i5_mordor_num_champion_pl|Campeones Númenóreanos Negros
trp_i5_mordor_num_assassin|Asesino Númenóreano Negro
trp_i5_mordor_num_assassin_pl|Asesinos Númenóreanos Negros
trp_c4_mordor_num_horseman|Jinete Númenóreano Negro
trp_c4_mordor_num_horseman_pl|Jinetes Númenóreanos Negros
trp_c5_mordor_num_knight|Jinete experto Númenóreano Negro
trp_c5_mordor_num_knight_pl|Jinetes expertos Númenóreanos Negros
trp_noldorin_commander|Comandante Noldorin
trp_noldorin_commander_pl|Comandantes Noldorin
trp_elf_captain_of_lothlorien|Capitán elfo de Lórien
trp_elf_captain_of_lothlorien_pl|Capitanes elfos de Lórien
trp_lothlorien_lieutenant|Teniente de Lórien
trp_lothlorien_lieutenant_pl|Tenientes de Lórien
trp_elf_captain_of_mirkwood|Capitán elfo del Bosque Verde
trp_elf_captain_of_mirkwood_pl|Capitanes elfos del Bosque Verde
trp_mirkwood_lieutenant|Teniente del Bosque Verde
trp_mirkwood_lieutenant_pl|Tenientes del Bosque Verde
trp_elf_captain_of_rivendell|Capitán elfo de Rivendel
trp_elf_captain_of_rivendell_pl|Capitanes elfos de Rivendel
trp_rivendell_lieutenant|Teniente de Rivendel
trp_rivendell_lieutenant_pl|Tenientes de Rivendel
trp_lieutenant_of_rohan|Teniente de Rohan
trp_lieutenant_of_rohan_pl|Tenientes de Rohan
trp_captain_of_rohan|Capitán de Rohan
trp_captain_of_rohan_pl|Capitanes de Rohan
trp_high_captain_of_rohan|Alto capitán de Rohan
trp_high_captain_of_rohan_pl|Altos capitanes de Rohan
trp_lieutenant_of_isengard|Teniente de Isengard
trp_lieutenant_of_isengard_pl|Tenientes de Isengard
trp_captain_of_isengard|Capitán de Isengard
trp_captain_of_isengard_pl|Capitán de Isengard
trp_high_captain_of_isengard|Gran capitán de Isengard
trp_high_captain_of_isengard_pl|Grandes capitanes de Isengard
trp_lieutenant_of_mordor|Teniente de Mordor
trp_lieutenant_of_mordor_pl|Tenientes de Mordor
trp_captain_of_mordor|Capitán de Mordor
trp_captain_of_mordor_pl|Capitanes de Mordor
trp_high_captain_of_mordor|Gran capitán de Mordor
trp_high_captain_of_mordor_pl|Grandes capitanes de Mordor
trp_easterling_chieftain|Caudillo Variag
trp_easterling_chieftain_pl|Caudillo Variag
trp_easterling_lieutenant|Sacerdote guerrero Variag
trp_easterling_lieutenant_pl|Sacerdotes guerreros Variag
trp_harad_chieftain|Cacique Haradrim
trp_harad_chieftain_pl|Caciques Haradrim
trp_harad_lieutenant|Teniente Haradrim
trp_harad_lieutenant_pl|Tenientes Haradrim
trp_black_numenorean_captain|Capitán Númenóreano Negro
trp_black_numenorean_captain_pl|Capitanes Númenóreanos Negros
trp_black_numenorean_lieutenant|Teniente Númenóreano Negro
trp_black_numenorean_lieutenant_pl|Tenientes Númenóreanos Negros
trp_a5_dun_night_wolf|Lobo Nocturno dunlendino
trp_a5_dun_night_wolf_pl|Lobos Nocturnos dunlendinos
trp_dunnish_lieutenant|Caudillo dunlendino
trp_dunnish_lieutenant_pl|Caudillo dunlendinos
trp_goblin_chieftain|Cacique trasgo
trp_goblin_chieftain_pl|Caciques trasgos
trp_captain_of_gondor|Capitán de Gondor
trp_captain_of_gondor_pl|Capitanes de Gondor
trp_nobleman|Noble
trp_nobleman_pl|Nobles
trp_gondor_agent|Agente de Gondor
trp_gondor_agent_pl|Agentes de Gondor
trp_rohan_agent|Agente de Rohan
trp_rohan_agent_pl|Agentes de Rohan
trp_mordor_agent|Agente de Mordor
trp_mordor_agent_pl|Agentes de Mordor
trp_isengard_agent|Agente de Isengard
trp_isengard_agent_pl|Agentes de Isengard
trp_looter|Saqueador
trp_looter_pl|Saqueadores
trp_bandit|Bandido
trp_bandit_pl|Bandidos
trp_brigand|Bandolero
trp_brigand_pl|Bandoleros
trp_mountain_bandit|Bandido de la montaña
trp_mountain_bandit_pl|Bandidos de la montaña
trp_forest_bandit|Bandido del bosque
trp_forest_bandit_pl|Bandidos del bosque
trp_sea_raider|Pirata
trp_sea_raider_pl|Piratas
trp_steppe_bandit|Bandido de la estepa
trp_steppe_bandit_pl|Bandidos de la Estepa
trp_manhunter|Cazarrecompensas
trp_manhunter_pl|Cazarrecompensas
trp_kidnapped_girl|Muchacha secuestrada
trp_kidnapped_girl_pl|Muchachas secuestradas
trp_refugee|Refugiado
trp_refugee_pl|Refugiados
trp_peasant_woman|Campesina
trp_peasant_woman_pl|Campesinas
trp_caravan_master|Caravanero
trp_caravan_master_pl|Caravaneros
trp_caravan_guard|Guardia de caravana
trp_caravan_guard_pl|Guardias de caravana
trp_messenger_man|Mensajero
trp_messenger_man_pl|Mensajeros
trp_messenger_elf|Mensajero
trp_messenger_elf_pl|Mensajeros
trp_messenger_dwarf|Mensajero
trp_messenger_dwarf_pl|Mensajeros
trp_messenger_orc|Mensajero
trp_messenger_orc_pl|Mensajeros
trp_messenger_evil_man|Mensajero
trp_messenger_evil_man_pl|Mensajeros
trp_town_walker_1|Ciudadano
trp_town_walker_1_pl|Ciudadanos
trp_town_walker_2|Ciudadana
trp_town_walker_2_pl|Ciudadanas
trp_village_walker_1|Pueblerino
trp_village_walker_1_pl|Pueblerinos
trp_village_walker_2|Pueblerino
trp_village_walker_2_pl|Pueblerinos
trp_spy_walker_1|Ciudadano
trp_spy_walker_1_pl|Ciudadanos
trp_spy_walker_2|Ciudadana
trp_spy_walker_2_pl|Ciudadanas
trp_walker_man_gondor_black|Ciudadano
trp_walker_man_gondor_white|Ciudadano
trp_walker_man_gondor_blue|Ciudadano
trp_walker_man_gondor_green|Ciudadano
trp_walker_man_rohan_t|Hombre de Rohan
trp_walker_man_rohan_d|Hombre de Rohan
trp_walker_woman_rohan_t|Doncella de Rohan
trp_walker_woman_rohan_d|Doncella de Rohan 
trp_walker_woman_gondor_b|Mujer de Gondor
trp_walker_woman_gondor_bw|Mujer de Gondor
trp_walker_woman_gondor_w|Noble de Gondor
trp_mirkwood_walker_1|Elfo del Bosque Verde
trp_mirkwood_walker_2|Elfo del Bosque Verde
trp_lorien_walker_1|Elfo de Lothlórien
trp_lorien_walker_2|Elfo de Lothlórien
trp_dwarf_walker|Enano
trp_beorn_walker|Campesino
trp_beorn_walker_fem|Campesina
trp_trainer_4|Entrenador
trp_trainer_gondor|Entrenador
trp_trainer_rohan|Entrenador
trp_trainer_dale|Entrenador
trp_trainer_elf|Entrenador
trp_trainer_beorn|Entrenador
trp_trainer_dwarf|Entrenador
trp_trainer_mordor|Entrenador
trp_trainer_isengard|Entrenador
trp_trainer_khand|Entrenador
trp_trainer_rhun|Entrenador
trp_trainer_harad|Entrenador
trp_trainer_umbar|Entrenador
trp_ransom_broker_1|Comisionista de rescates
trp_ransom_broker_2|Comisionista de rescates
trp_ransom_broker_3|Comisionista de rescates
trp_ransom_broker_4|Comisionista de rescates
trp_ransom_broker_5|Comisionista de rescates
trp_ransom_broker_6|Comisionista de rescates
trp_ransom_broker_7|Comisionista de rescates
trp_ransom_broker_8|Comisionista de rescates
trp_ransom_broker_9|Comisionista de rescates
trp_ransom_broker_10|Comisionista de rescates
trp_tavern_traveler_1|Viajero
trp_tavern_traveler_2|Viajero
trp_tavern_traveler_3|Viajero
trp_tavern_traveler_4|Viajero
trp_tavern_traveler_5|Viajero
trp_tavern_traveler_6|Viajero
trp_tavern_traveler_7|Viajero
trp_tavern_traveler_8|Viajero
trp_tavern_traveler_9|Viajero
trp_tavern_traveler_10|Viajero
trp_tavern_minstrel_1|Trovador
trp_npc1|Mablung
trp_npc2|Cirdil
trp_npc3|Ulfas 
trp_npc4|Galmyne
trp_npc5|Glorfindel
trp_npc6|Luevanna
trp_npc7|Kili Dedos de Oro
trp_npc8|Faniul
trp_npc9|Gulm
trp_npc10|Durgash
trp_npc11|Ufthak
trp_npc12|Gorbag
trp_npc13|Lykyada
trp_npc14|Fuldimir
trp_npc15|Bolzog
trp_npc16|Varfang
trp_npc17|Tarugo
trp_knight_6_2|Golasgil
trp_gondor_lord|Senescal Denethor
trp_gondor_lord_pl|Senescal
trp_rohan_lord|Rey Théoden
trp_rohan_lord_pl|Rey
trp_isengard_lord|Saruman
trp_isengard_lord_pl|Amo
trp_mordor_lord|Boca de Sauron
trp_mordor_lord_pl|Sátrapa
trp_harad_lord|Jefe Ul-Ulcari
trp_harad_lord_pl|Jefe
trp_rhun_lord|Jarl Helcaroth
trp_rhun_lord_pl|Jarl
trp_khand_lord|Shibh Krukmahur
trp_khand_lord_pl|Shibh
trp_umbar_lord|Almirante Tulmir
trp_umbar_lord_pl|Almirante
trp_lorien_lord|Dama Galadriel
trp_lorien_lord_pl|Dama
trp_imladris_lord|Señor Elrond
trp_imladris_lord_pl|Señor
trp_woodelf_lord|Rey Thranduil
trp_woodelf_lord_pl|Rey
trp_moria_lord|Amo Bolgo el Menor
trp_moria_lord_pl|Amo
trp_guldur_lord|Amo Fuinur
trp_guldur_lord_pl|Amo
trp_gundabad_lord|Amo Burza Krual
trp_gundabad_lord_pl|Amo
trp_dale_lord|Rey Brand
trp_dale_lord_pl|Rey
trp_dwarf_lord|Rey Dain II Pie de Hierro
trp_dwarf_lord_pl|Rey
trp_dunland_lord|Jefe Daeglaf el Negro
trp_dunland_lord_pl|Jefe
trp_beorn_lord|Jefe Grimbeorn el Viejo
trp_beorn_lord_pl|Jefe
trp_lorien_marshall|Celeborn
trp_knight_1_1|Angbor el Intrépido
trp_knight_1_2|Húrin de las Llaves
trp_knight_1_3|Príncipe Imrahil
trp_knight_1_4|Orthalion
trp_knight_1_5|Duinhir
trp_knight_1_6|Hirluin el Hermoso
trp_knight_1_7|Faramir
trp_knight_1_8|Forlong el Gordo
trp_knight_1_9|Grimbold
trp_knight_1_10|Erkenbrand
trp_knight_1_11|Elfhelm
trp_knight_1_12|Hama
trp_knight_1_13|Gamelin
trp_knight_1_14|Éomer
trp_knight_1_15|Ugluk
trp_knight_1_16|Mauhur
trp_knight_1_17|Mog el Siete-Dedos
trp_knight_1_18|Hushnak Patas Largas
trp_knight_1_19|Gridash el Muerde-Árboles
trp_knight_1_20|Gronk el Come-Hombres
trp_knight_2_1|Capitán Mortakh
trp_knight_2_2|Berúthiel
trp_knight_2_3|Skang
trp_knight_2_4|Pharakhâd el Bastardo
trp_knight_2_5|Grishnakh
trp_knight_2_51|Gothmog
trp_knight_2_51_pl|Lugarteniente
trp_knight_2_6|Cacique Karna el León
trp_knight_2_7|Cacique Na'man
trp_knight_2_8|Cacique Haarith
trp_knight_2_11|Kusulak
trp_knight_2_12|Ulwarth el Balchoth
trp_knight_2_13|Brodda
trp_knight_2_16|Torask
trp_knight_2_17|Lurmsakun
trp_knight_3_1|Capitán Morbir
trp_knight_3_2|Capitán Angamaitë
trp_knight_3_3|Capitán Sangahyando
trp_knight_3_6|Haldir
trp_knight_3_7|Orophin
