menu_start_game_1|Za co bojuješ?
mno_go_away|Odejít a přeskupit se prozatím.
menu_scout_camp_quest|Nedaleko vidíš tábor průzkumníků. Velíš k útoku na ně
mno_attack_scout_camp|Zaútočit na tábořiště zvědů!
; menu_sea_battle_quest|You meet an enemy fleet. The ships close in and sailors throw down planks...
mno_sb_defend_the_town|Naloďte se! Zničte jejich flotilu!
; mno_sb_attack_the_town|They try to intercept us! Defend the fleet!
; menu_camp_field_ai|^^^^^Click on an option to toggle.^^^Turning Off One or More Options Will Improve Performance (FPS)
mno_lord_field_ai|Lordi mají vylepšené AI na bojišti: {s7}
mno_horse_archer_field_ai|Jízdní lučištníci mají vylepšené AI na bojišti: {s7}
mno_vs_orcs_field_ai|Lučištníci mají lepší zaměřování proti skřetům (nestřílí jim nad hlavy): {s7}
mno_battlefield_animals|Nevrkové/Koňské doprovody se spawnují v boji: {s7}
mno_slow_when_wounded|Agenti jsou zpomaleni, když jsou zraněni: {s7}
mno_battle_encounter_effects|Speciální efekty frakcí na bojišti (bouře,mlhy...): {s7}
menu_hungry_orc|žádný
menu_leaving_elf|žádný
mno_defend_refugees|Dej si pozor na nájezdníky...
mno_attack_refugees|Zaútočit na družinu uprchlíků...
mno_leave_refugees|Nech je prozatím...
mno_evil_war_tut_continue|Pokračuj
; menu_guardian_party_quest|{s8} sends word that Isengard is on its heels and has prepared its last stand. He wishes you to join this final battle against Isengard's Armies.   You need to bring at least {reg13} troops to the army,   and are instructed to raise more warriors with all due haste if you do not have enough.
mno_guardian_party_reject|Poslat zprávu, že se nemůžeš připojit.
mno_guardian_party_send_word|Pošli zprávu, že se k němu brzy připojíš.
menu_alternate_training_fight|Budeš čelit {reg5}. Jsi připravený?
mno_training_continue|Začít s výcvikem...
menu_alternate_training_conclusion|{s5}
mno_alternate_training_retry|Zkusit znova...
mno_alternate_training_finish|Opustit arénu...
menu_custom_battle_choose_faction1|^^^^^^^^^^Vyber si svoji stranu a výhod:
mno_good_equal|Frakce dobra
mno_bad_equal|Frakce zla
mno_replay_prev|Přehrát předchozí nastavení
menu_custom_battle_choose_faction2|^^^^^^^^^^Vyber frakci dobra
mno_cb_gondor|Gondor
mno_cb_gondor1|Rohan
mno_cb_gondor2|Lothlorien
mno_cb_gondor3|Roklinka
mno_cb_gondor4|Temný hvozd
mno_cb_gondor5|Trpaslíci
mno_cb_gondor6|Dol
mno_cb_gondor7|Meddedovci
menu_custom_battle_choose_faction3|^^^^^^^^^^Vyber frakci zla
mno_cb_mordor|Mordor
mno_cb_mordor1|Zelezny Pas
mno_cb_mordor2|Vrchovina
mno_cb_mordor3|Harad
mno_cb_mordor4|Východňané
mno_cb_mordor5|Morie
mno_cb_mordor6|Gundabad
mno_cb_mordor7|Rhun
mno_cb_mordor8|Korzaři
mno_rescue_mission|Proplížit se do doupěte kouzelníků, pod úkrytem noci.
mno_next_rescue_scene_door|Pokračuj vpřed!
mno_pick_troops1|Vyber spolecniky pro tento ukol, {reg0} vybrano
; menu_pick_troops|Whom would you take with you into the stealth mission?    Currently you picked {reg0} companions. You can take up to 10 troops with you
mno_go_forward|Ukoncit vyber spolecniku a pokracovat.
; menu_burial_mound|You approach the burial mound of {s1} of {s2}.   Defeated in battle by the forces of {s28}.  It is heaped with the notched weapons of his fallen enemies.
mno_pay_respects|Poklekněte
mno_swear_oath|Slozit prisahu pomsty!
mno_despoil|Znesvetit toto misto
mno_leave_mound|Opustit mohylu.
; menu_burial_mound_respects|You kneel and pay your respects to {s1}, silently mouthing a prayer for a speedy journey to the afterlife.  There is nothing left to be done here.
menu_burial_mound_oath|Hlasite prisahas pomstu za smrt {s4}. Bez odpocinku budes patrat po muzich {s3}  a unicis je. Tva slova odnasi vitr a kdo vi, zda je nebylo slyset za morem?
menu_funeral_pyre_oath|Hlasite prisahas pomstu za smrt {s4}. Bez odpocinku budes patrat po muzich {s3}  a unicis je. Tva slova odnasi vitr a kdo vi, zda je nebylo slyset za morem?
mno_leave_pyre_oath|Odejít od vatry.
; menu_burial_mound_despoil|You tear down the monument to {s1} with your own hands and defile the very stones with curses, fell chants and unspeakable acts.  Your followers fall back in fear of the dead but they seem to have renewed respect for your wickedness.
; menu_funeral_pyre|You approach the charred remnants of the funeral pyre of {s3} of {s2}.   Defeated in battle by the forces of {s28}.  Here, the corpse was ceremoniously burned by his personal bodyguards.   Nothing of value remains.
mno_leave_pyre|Odejít od vatry.
menu_town_ruins|Když se přiblížíš, vidíš že {s1} je {s2}
mno_ruin_menu_0|Prozkoumat to místo.
mno_ruin_leave|Opusť...
menu_premutiny|žádný
menu_death|Byl jsi zabit. Válka pokračuje, ale bez tebe.
menu_animal_ambush|ty a tví přátelé jste se ocitli mimo vaši skupinu, když najednou...
; menu_animal_ambush_success|The {s2} {reg0?fall:falls} before you as wheat to a scythe! Soon all your attackers lie on the floor, wounded or dead. {s3}
; menu_animal_ambush_fail|The animals bite and tear at you{reg0?,: and your companion{reg2?s,:,}} but luckily you managed to fend them off. Hopefully they won't attack you again.
; menu_build_your_scene|You can build your own battlescene here, using one of the slots provided below and game Edit mode  (you need to switch edit mode ON in M&B lauching screen Options first).  You can then submit scenes you constructed (namely, sco files from TLD/SceneObj folder)  to the dev team of TLD, and if your scene is good,  it can appear in later releases as one of random battlegrounds!^^ Try to specify which region on map you want your scene to appear.^ Couple hints: avoid deep water, steep mountains and other impassable places,  unless you are experienced scene-maker and know how to bar AI troops  from walking where you don't want them, and make AI mesh in other places.^ (Entries #0-1 are for attackers, #4 for defenders, do not touch #5-8
mno_scene1|Bojiště5 (file scn battlefield5.sco)
mno_scene2|Bojiště6 (file scn battlefield6.sco)
mno_scene3|Bojiště 7 (file scn battlefield7.sco)
mno_scene4|Bojiště8 (file scn battlefield8.sco)
mno_scene5|Bojiště9 (file scn battlefield9.sco)
mno_back_3dot|Zpět...
mno_back|Jdi zpět.
mno_next|další...
