menu_start_game_1|^^^^^^^^^^Za sta se boris?
; mno_attack_scout_camp|Attack the Scout Camp!
; menu_sea_battle_quest|You meet an enemy fleet. The ships close in and sailors throw down planks...
; mno_sb_defend_the_town|Board them! Destroy their fleet!
; mno_sb_attack_the_town|They try to intercept us! Defend the fleet!
; menu_camp_field_ai|^^^^^Click on an option to toggle.^^^Turning Off One or More Options Will Improve Performance (FPS)
; mno_lord_field_ai|Lords Have Improved Battlefield AI:  {s7}
; mno_horse_archer_field_ai|Horse Archers Have Improved Battlefield AI:  {s7}
; mno_vs_orcs_field_ai|Archers have better aim against orcs (doesn't aim above orc heads):  {s7}
; mno_battlefield_animals|Non-Warg / Horse Animal Companions Spawn in Battle:  {s7}
; mno_slow_when_wounded|Agents become Slow when Wounded:  {s7}
; mno_battle_encounter_effects|Special Faction Based Effects on Battlefields (e.g storms, mists):  {s7}
; menu_hungry_orc|none
; menu_leaving_elf|none
; mno_defend_refugees|Keep your eye out for raiders...
; mno_attack_refugees|Attack the refugee train...
; mno_leave_refugees|Leave them for now...
mno_evil_war_tut_continue|Nastavi...
; menu_alternate_training_fight|You will be facing {reg5} opponents. Are you ready?
; mno_training_continue|Begin training...
; menu_alternate_training_conclusion|{s5}
; mno_alternate_training_retry|Try again...
; mno_alternate_training_finish|Leave the arena...
menu_custom_battle_choose_faction1|^^^^^^^^^^Izaberi svoju stranu i prednost:
mno_good_equal|Dobra frakcija
mno_bad_equal|Zla frakcija
mno_replay_prev|Ponovo odigraj prosla podesavanja
menu_custom_battle_choose_faction2|^^^^^^^^^^Izaberi dobru fakciju
mno_cb_gondor|Gondor
mno_cb_gondor1|Rohan
mno_cb_gondor2|Lothlorien
mno_cb_gondor3|Rivendel
mno_cb_gondor4|Mirkvud
mno_cb_gondor5|Patuljci
mno_cb_gondor6|Dale
mno_cb_gondor7|Beorningsi
menu_custom_battle_choose_faction3|^^^^^^^^^^Izaberi zlu fakciju
mno_cb_mordor|Mordor
mno_cb_mordor1|Isengard
mno_cb_mordor2|Dunland
mno_cb_mordor3|Haradi
mno_cb_mordor4|Easterlingsi
mno_cb_mordor5|Moria
mno_cb_mordor6|Gundabad
mno_cb_mordor7|Rhun
mno_cb_mordor8|Gusari
mno_rescue_mission|Provuci se nekako pored carobnjakove zastite po noci.
mno_next_rescue_scene_door|Nastavi napred!
mno_pick_troops1|Izaberi saborce za misiju, {reg0} izabranih
; menu_pick_troops|Whom would you take with you into the stealth mission?    ^Only your most nimble troops and companions will be able to join you.    ^As the party member with the highest wildcraft skill, {reg65?{s1} advises:you decide} that you can take up to {reg11} troops with you.    ^^Currently you have picked {reg0} companions.
mno_go_forward|Zavrsi sa selektovanjem saboraca i nastavi.
; menu_burial_mound|You approach the burial mound of {s1} of {s2}.   Defeated in battle by the forces of {s28}.  It is heaped with the notched weapons of his fallen enemies.
mno_pay_respects|Klekni i pomoli se.
mno_swear_oath|Obecaj osvetu!
mno_despoil|Oskrnavi mesto.
mno_leave_mound|Napusti grob.
menu_burial_mound_respects|Kleknuo si i pomolio si se za dusu {s1}, tiho pricajuci molitvu za brze putovanje u zagroban svet. Nema nista vise sto mozes da uradis ovde.
menu_burial_mound_oath|Glasno si se zakleo za osvetu, zbog smrti {s4}. Sada treba da unistis sto vise snaga {s3}. Ko zna ko je sve cuo tvoje reci, mozda cak i neko preko mora?
menu_funeral_pyre_oath|Glasno si se zakleo za osvetu, zbog smrti {s4}. Sada treba da unistis sto vise snaga {s3}. Ko zna ko je sve cuo tvoje reci, mozda cak i neko preko mora?
mno_leave_pyre_oath|Napusti lomacu.
menu_burial_mound_despoil|Unistio si spomenik podignut za {s1} sa svojim rukama i prekrio si kamenje kletvama, psovkama i neverovatnim delima. Tvoja grupa se povukla plaseci se mrtvaka, ali izgleda da imaju vise postovanje prema tebi.
; menu_funeral_pyre|You approach the charred remnants of the funeral pyre of {s3} of {s2}.   Defeated in battle by the forces of {s28}.  Here, the corpse was ceremoniously burned by his personal bodyguards.   Nothing of value remains.
mno_leave_pyre|Napusti lomacu.
menu_town_ruins|Kada si prisao, video si da je {s1} {s2}
mno_ruin_menu_0|Istrazi lokaciju...
mno_ruin_leave|Napusti...
; menu_premutiny|none
menu_death|Ubijen si. Iako rat idalje besni, ti u njemu vise neces ucestvovati.
menu_animal_ambush|Ti i tvoji saborci bivate odvojeni od ostatka grupa, kada odjednom...
menu_animal_ambush_success|{s2} {reg0?fall:falls} je pred tebe kao zito sto pada od kose! Uskoro, svi tvoji napadaci leze na zemlji, mrtvi ili ranjeni. {s3}
menu_animal_ambush_fail|Zivotinje te grizu i vuku te{reg0?,: i tvog saborca{reg2?s,:,}} ali srecom si uspeo da ih udaljis. Uz malo srece, nece te vise dirati.
; menu_isengard_flooding|^^^^^@You are surrounded by dead foes and triumphant allies, including the Ents; they roar, and boom, and trumpet, until stones crack and fall all around the Tower of Orthanc. They are like a howling gale, breaking pillars, hurling avalanches of boulders down the shafts, tossing up huge slabs of stone into the air like leaves... It is like nothing you have ever seen.^^ Bregalad -- or Quickbeam, as you know him -- comes striding by, and pauses only to say, '{playername}! Ware! Keep away from the Tower -- we shall soon break the dam and bring the Isen into this valley, for a little while. You will find it very hard to stay standing here, I think!' Quickly, you take his advice and hasten away from Orthanc.^^ At about midnight, Isengard begins to fill up with black creeping streams and pools. You cannot help but shiver as you see smoke and steam rising in great pillars, and a great coil of vapour rising and snaking around the Tower, until it resembles a tall peak of cloud, fiery underneath and moonlit above. The wrath of the Ents is slow, but possesses an irresistible force...
; mno_isengard_continue|Continue
; menu_build_your_scene|You can build your own battle scene, using one of the slots provided below and the game edit mode  (you need to switch edit mode ON in M&B lauching screen Options first, then press Ctrl+E within a scene to access the edit mode).  You can then submit scenes you constructed (namely, sco files from TLD/SceneObj folder)  to the dev team of TLD, and if your scene is good,  it can appear in later releases as one of random battlegrounds!^^ Try to specify which region on map you want your scene to appear.^ Couple hints: avoid deep water, steep mountains and other impassable places,  unless you are experienced scene-maker and know how to bar AI troops  from walking where you don't want them, and make AI mesh in other places.^ (Entries #0-1 are for attackers, #4 for defenders, do not touch #5-8
; mno_scene1|Plain Big (file scn custom 1.sco)
; mno_scene2|Plain Med (file scn custom 2.sco)
; mno_scene3|Plain Small (file scn custom 3.sco)
; mno_scene4|Steppe Big (file scn custom 4.sco)
; mno_scene5|Steppe Med (file scn custom 5.sco)
; mno_scene6|Steppe Small (file scn custom 6.sco)
; mno_scene7|Forest Big (file scn custom 7.sco)
; mno_scene8|Forest Med (file scn custom 8.sco)
; mno_scene9|Forest Small (file scn custom 9.sco)
mno_back_3dot|Nazad...
mno_back|Nazad
mno_next|Sledece....
