trp_unarmed_troop|徒 手 部 隊 
trp_skirmisher_of_rohan_pl|洛 汗 輕 裝 步 兵
trp_veteran_skirmisher_of_rohan|洛 汗 熟 練 輕 裝 步 兵 
trp_veteran_skirmisher_of_rohan_pl|洛 汗 熟 練 輕 裝 步 兵 
trp_elite_skirmisher_of_rohan|洛 汗 精 英 輕 裝 步 兵 
trp_elite_skirmisher_of_rohan_pl|洛 汗 精 英 輕 裝 步 兵 
trp_thengel_guard_of_rohan|洛 汗 塞 哲 爾 衛 隊 
trp_thengel_guard_of_rohan_pl|洛 汗 塞 哲 爾 衛 隊 
trp_lancer_of_rohan|洛 汗 槍 騎 兵 
trp_lancer_of_rohan_pl|洛 汗 槍 騎 兵 
trp_elite_lancer_of_rohan|洛 汗 精 英 槍 騎 兵 
trp_elite_lancer_of_rohan_pl|洛 汗 精 英 槍 騎 兵 
trp_brego_guard_of_rohan|洛 汗 布 理 哥 衛 隊 
trp_brego_guard_of_rohan_pl|洛 汗 布 理 哥 衛 隊 
trp_king_s_man_of_rohan|國 王 衛 隊 
trp_king_s_man_of_rohan_pl|國 王 衛 隊 
trp_squire_of_rohan|洛 汗 侍 從 
trp_squire_of_rohan_pl|洛 汗 侍 從 
trp_rider_of_rohan|洛 汗 騎 兵 
trp_rider_of_rohan_pl|洛 汗 騎 兵 
trp_veteran_rider_of_rohan|洛 汗 熟 練 騎 兵 
trp_veteran_rider_of_rohan_pl|洛 汗 熟 練 騎 兵 
trp_elite_rider_of_rohan|洛 汗 精 英 騎 兵 
trp_elite_rider_of_rohan_pl|洛 汗 精 英 騎 兵 
trp_eorl_guard_of_rohan|洛 汗 伊 歐 衛 隊 
trp_eorl_guard_of_rohan_pl|洛 汗 伊 歐 衛 隊 
trp_dismounted_skirmisher_of_rohan|洛 汗 輕 裝 步 兵
trp_dismounted_skirmisher_of_rohan_pl|洛 汗 輕 裝 步 兵
trp_dismounted_veteran_skirmisher_of_rohan|洛 汗 熟 練 輕 裝 步 兵 
trp_dismounted_veteran_skirmisher_of_rohan_pl|洛 汗 熟 練 輕 裝 步 兵
trp_dismounted_elite_skirmisher_of_rohan|洛 汗 精 英 輕 裝 步 兵
trp_dismounted_elite_skirmisher_of_rohan_pl|洛 汗 精 英 輕 裝 步 兵
trp_dismounted_thengel_guard_of_rohan|洛 汗 塞 哲 爾 衛 隊 
trp_dismounted_thengel_guard_of_rohan_pl|洛 汗 塞 哲 爾 衛 隊 
trp_harad_desert_warrior|哈 拉 德 徵 招 兵 
trp_harad_desert_warrior_pl|哈 拉 德 徵 招 兵 
trp_harad_infantry|哈 拉 德 輕 步 兵 
trp_harad_infantry_pl|哈 拉 德 輕 步 兵 
trp_harad_veteran_infantry|哈 拉 德 長 矛 兵 
trp_harad_veteran_infantry_pl|哈 拉 德 長 矛 兵 
trp_harad_tiger_guard|虎 衛 士 
trp_harad_tiger_guard_pl|虎 衛 士 
trp_harad_swordsman|哈 拉 德 劍 士 
trp_harad_swordsman_pl|哈 拉 德 劍 士 
trp_harad_lion_guard|獅 衛 士 
trp_harad_lion_guard_pl|獅 衛 士 
trp_harad_skirmisher|哈 拉 德 輕 裝 步 兵
trp_harad_skirmisher_pl|哈 拉 德 輕 裝 步 兵
trp_harad_archer|哈 拉 德 弓 箭 手 
trp_harad_archer_pl|哈 拉 德 弓 箭 手 
trp_harad_eagle_guard|鷹 衛 士 
trp_harad_eagle_guard_pl|鷹 衛 士 
trp_harondor_scout|哈 隆 鐸 斥 候 
trp_harondor_scout_pl|哈 隆 鐸 斥 候 
trp_harondor_rider|哈 隆 鐸 騎 兵 
trp_harondor_rider_pl|哈 隆 鐸 騎 兵 
trp_harondor_light_cavalry|哈 隆 鐸 輕 騎 兵 
trp_harondor_light_cavalry_pl|哈 隆 鐸 輕 騎 兵 
trp_fang_heavy_cavalry|銳 牙 重 騎 兵 
trp_fang_heavy_cavalry_pl|銳 牙 重 騎 兵 
trp_harad_horse_archer|哈 拉 德 騎 射 手 
trp_harad_horse_archer_pl|哈 拉 德 騎 射 手 
trp_black_snake_horse_archer|黑 蛇 騎 射 手 
trp_black_snake_horse_archer_pl|黑 蛇 騎 射 手 
trp_gold_serpent_horse_archer|金 蛇 騎 射 手 
trp_gold_serpent_horse_archer_pl|金 蛇 騎 射 手 
trp_far_harad_tribesman|遙 遠 哈 拉 德 部 落 民 
trp_far_harad_tribesman_pl|遙 遠 哈 拉 德 部 落 民 
trp_far_harad_champion|遙 遠 哈 拉 德 鬥 士 
trp_far_harad_champion_pl|遙 遠 哈 拉 德 鬥 士 
trp_far_harad_panther_guard|豹 衛 士 
trp_far_harad_panther_guard_pl|豹 衛 士 
trp_dunnish_wildman|丹 尼 斯 野 人 
trp_dunnish_wildman_pl|丹 尼 斯 野 人 
trp_dunnish_warrior|丹 尼 斯 勇 士 
trp_dunnish_warrior_pl|丹 尼 斯 勇 士 
trp_dunnish_pikeman|丹 尼 斯 長 槍 兵 
trp_dunnish_pikeman_pl|丹 尼 斯 長 槍 兵 
trp_dunnish_veteran_pikeman|丹 尼 斯 熟 練 長 槍 兵 
trp_dunnish_veteran_pikeman_pl|丹 尼 斯 熟 練 長 槍 兵 
trp_dunnish_raven_rider|丹 尼 斯 烏 鴉 騎 兵 
trp_dunnish_raven_rider_pl|丹 尼 斯 烏 鴉  騎 兵 
trp_dunnish_vet_warrior|丹 尼 斯 熟 練 勇 士 
trp_dunnish_vet_warrior_pl|丹 尼 斯 熟 練 勇 士 
trp_dunnish_wolf_warrior|丹 尼 斯 狼 戰 士 
trp_dunnish_wolf_warrior_pl|丹 尼 斯 狼 戰 士 
trp_dunnish_wolf_guard|丹 尼 斯 狼 衛 士 
trp_dunnish_wolf_guard_pl|丹 尼 斯 狼 衛 士 
trp_dunnish_chieftan|丹 尼 斯 首 領 
trp_dunnish_chieftan_pl|丹 尼 斯 首 領 
trp_easterling_youth|維 瑞 亞 奴 隸 
trp_easterling_youth_pl|維 瑞 亞 奴 隸 
trp_easterling_warrior|侃 德 勇 士 
trp_easterling_warrior_pl|侃 德 勇 士 
trp_easterling_axeman|維 瑞 亞 斧 手 
trp_easterling_axeman_pl|維 瑞 亞 斧 手 
trp_easterling_veteran_axeman|維 瑞 亞 熟 練 斧 手 
trp_easterling_veteran_axeman_pl|維 瑞 亞 熟 練 斧 手 
trp_easterling_axe_master|維 瑞 亞 斧 手 大 師 
trp_easterling_axe_master_pl|維 瑞 亞 斧 手 大 師 
trp_easterling_rider|維 瑞 亞 矮 騎 兵 
trp_easterling_rider_pl|維 瑞 亞 矮 騎 兵 
trp_easterling_horseman|維 瑞 亞 騎 手 
trp_easterling_horseman_pl|維 瑞 亞 騎 手 
trp_easterling_veteran_horseman|維 瑞 亞 重 騎 手 
trp_easterling_veteran_horseman_pl|維 瑞 亞 重 騎 手 
trp_easterling_horsemaster|维 瑞 亞 鐵 甲 騎 兵 
trp_easterling_horsemaster_pl|维 瑞 亞 鐵 甲 騎 兵 
trp_easterling_lance_kataphract|维 瑞 亞 鐵 甲 槍 騎 兵 
trp_easterling_lance_kataphract_pl|维 瑞 亞 鐵 甲 槍 騎 兵 
trp_khand_glaive_whirler|侃 德 刀 刃 戰 士 
trp_khand_glaive_whirler_pl|侃 德 刀 刃 戰 士 
trp_variag_veteran_glaive_whirler|侃 德 熟 練 刀 刃 戰 士 
trp_variag_veteran_glaive_whirler_pl|侃 德 熟 練 刀 刃 戰 士 
trp_khand_glaive_master|侃 德 戰 戟 大 師 
trp_khand_glaive_master_pl|侃 德 戰 戟 大 師 
trp_variag_pitfighter|維 瑞 亞 角 鬥 士 
trp_variag_pitfighter_pl|維 瑞 亞 角 鬥 士 
trp_variag_gladiator|維 瑞 亞 狂 戰 士 
trp_variag_gladiator_pl|維 瑞 亞 狂 戰 士 
trp_easterling_skirmisher|維 瑞 亞 輕 裝 步 兵 
trp_easterling_skirmisher_pl|維 瑞 亞 輕 裝 步 兵 
trp_easterling_veteran_skirmisher|維 瑞 亞 熟 練 輕 裝 步 兵 
trp_easterling_veteran_skirmisher_pl|維 瑞 亞 熟 練 輕 裝 步 兵 
trp_easterling_elite_skirmisher|維 瑞 亞 重 裝 輕 裝 步 兵 
trp_easterling_elite_skirmisher_pl|維 瑞 亞 重 裝 輕 裝 步 兵 
trp_corsair_youth|昂 巴 水 手 
trp_corsair_youth_pl|昂 巴 水 手 
trp_corsair_warrior|昂 巴 勇 士 
trp_corsair_warrior_pl|昂 巴 勇 士 
trp_corsair_pikeman|昂 巴 長 槍 兵 
trp_corsair_pikeman_pl|昂 巴 長 槍 兵 
trp_corsair_veteran_raider|海 盜 熟 練 掠 奪 者 
trp_corsair_veteran_raider_pl|海 盜 熟 練 掠 奪 者 
trp_corsair_night_raider|海 盜 夜 行 掠 奪 者 
trp_corsair_night_raider_pl|海 盜 夜 行 掠 奪 者 
trp_militia_of_umbar|昂 巴 民 兵 
trp_militia_of_umbar_pl|昂 巴 民 兵 
trp_marksman_of_umbar|昂 巴 輕 裝 步 兵
trp_marksman_of_umbar_pl|昂 巴 輕 裝 步 兵
trp_veteran_marksman_of_umbar|昂 巴 熟 練 輕 裝 步 兵
trp_veteran_marksman_of_umbar_pl|昂 巴 熟 練 輕 裝 步 兵
trp_master_marksman_of_umbar|海 盜 輕 裝 步 兵 大 師 
trp_master_marksman_of_umbar_pl|海 盜 輕 裝 步 兵 大 師 
trp_corsair_marauder|昂 巴 劍 士 
trp_corsair_marauder_pl|昂 巴 劍 士 
trp_corsair_veteran_marauder|昂 巴 熟 練 劍 士 
trp_corsair_veteran_marauder_pl|昂 巴 熟 練 劍 士 
trp_corsair_elite_marauder|海 盜 劍 士 大 師 
trp_corsair_elite_marauder_pl|海 盜 劍 士 大 師 
trp_assassin_of_umbar|昂 巴 刺 客 
trp_assassin_of_umbar_pl|昂 巴 刺 客 
trp_master_assassin_of_umbar|海 盜 刺 客 
trp_master_assassin_of_umbar_pl|海 盜 刺 客 
trp_pikeman_of_umbar|昂 巴 長 槍 兵 
trp_pikeman_of_umbar_pl|昂 巴 長 槍 兵 
trp_veteran_pikeman_of_umbar|昂 巴 熟 練 長 槍 兵 
trp_veteran_pikeman_of_umbar_pl|昂 巴 熟 練 長 槍 兵 
trp_pike_master_of_umbar|海 盜 長 槍 大 師 
trp_pike_master_of_umbar_pl|海 盜 長 槍 大 師 
trp_orc_snaga_of_isengard|艾 辛 格 獸 人 新 兵 
trp_orc_snaga_of_isengard_pl|艾 辛 格 獸 人 新 兵 
trp_orc_of_isengard|艾 辛 格 獸 人 
trp_orc_of_isengard_pl|艾 辛 格 獸 人 
trp_large_orc_of_isengard|艾 辛 格 大 型 獸 人 
trp_large_orc_of_isengard_pl|艾 辛 格 大 型 獸 人 
trp_fell_orc_of_isengard|艾 辛 格 殘 暴 獸 人 
trp_fell_orc_of_isengard_pl|艾 辛 格 殘 暴 獸 人 
trp_large_orc_despoiler|大 型 獸 人 掠 奪 者 
trp_large_orc_despoiler_pl|大 型 獸 人 掠 奪 者 
trp_fell_orc_despoiler|殘 暴 獸 人 掠 奪 者 
trp_fell_orc_despoiler_pl|殘 暴 獸 人 掠 奪 者 
trp_wolf_rider_of_isengard|艾 辛 格 狼 騎 士 
trp_wolf_rider_of_isengard_pl|艾 辛 格 狼 騎 士 
trp_warg_rider_of_isengard|艾 辛 格 座 狼 騎 士 
trp_warg_rider_of_isengard_pl|艾 辛 格 座 狼 騎 士 
trp_white_hand_rider|白 手 騎 士 
trp_white_hand_rider_pl|白 手 騎 士 
trp_warg_ghost_1b|座 狼 
trp_warg_ghost_1b_pl|座 狼 
trp_warg_ghost_1c|座 狼 
trp_warg_ghost_1c_pl|座 狼 
trp_warg_ghost_1d|座 狼 
trp_warg_ghost_1d_pl|座 狼 
trp_warg_ghost_a1b|座 狼 
trp_warg_ghost_a1b_pl|座 狼 
trp_warg_ghost_a1c|披 甲 座 狼 
trp_warg_ghost_a1c_pl|披 甲 座 狼 
trp_warg_ghost_a2b|披 甲 座 狼 
trp_warg_ghost_a2b_pl|披 甲 座 狼 
trp_warg_ghost_a2c|披 甲 座 狼 
trp_warg_ghost_a2c_pl|披 甲 座 狼 
trp_warg_ghost_a3a|披 甲 座 狼 
trp_warg_ghost_a3a_pl|披 甲 座 狼 
trp_warg_ghost_h|巨 型 座 狼 
trp_warg_ghost_h_pl|巨 型 座 狼 
trp_uruk_hai_tracker|強 獸 人 追 蹤 者 
trp_uruk_hai_tracker_pl|強 獸 人 追 蹤 者 
trp_large_uruk_hai_tracker|大 型 強 獸 人 追 蹤 者 
trp_large_uruk_hai_tracker_pl|大 型 強 獸 人 追 蹤 者 
trp_fighting_uruk_hai_tracker|戰 鬥 強 獸 人 追 蹤 者 
trp_fighting_uruk_hai_tracker_pl|戰 鬥 強 獸 人 追 蹤 者 
trp_fighting_uruk_hai_berserker|戰 鬥 強 獸 人 狂 戰 士 
trp_fighting_uruk_hai_berserker_pl|戰 鬥 強 獸 人 狂 戰 士 
trp_uruk_snaga_of_isengard|新 生 強 獸 人 
trp_uruk_snaga_of_isengard_pl|新 生 強 獸 人 
trp_uruk_hai_of_isengard|艾 辛 格 強 獸 人 
trp_uruk_hai_of_isengard_pl|艾 辛 格 強 獸 人 
trp_large_uruk_hai_of_isengard|艾 辛 格 大 型 強 獸 人 
trp_large_uruk_hai_of_isengard_pl|艾 辛 格 大 型 強 獸 人 
trp_fighting_uruk_hai_warrior|戰 鬥 強 獸 人 勇 士 
trp_fighting_uruk_hai_warrior_pl|戰 鬥 強 獸 人 勇 士 
trp_fighting_uruk_hai_champion|戰 鬥 強 獸 人 鬥 士 
trp_fighting_uruk_hai_champion_pl|戰 鬥 強 獸 人 鬥 士 
trp_uruk_hai_pikeman|強 獸 人 長 槍 兵 
trp_uruk_hai_pikeman_pl|強 獸 人 長 槍 兵 
trp_fighting_uruk_hai_pikeman|戰 鬥 強 獸 人 長 槍 兵 
trp_fighting_uruk_hai_pikeman_pl|戰 鬥 強 獸 人 長 槍 兵 
trp_urukhai_standard_bearer|強 獸 人 正 規 掌 旗 手 
trp_urukhai_standard_bearer_pl|強 獸 人 正 規 掌 旗 手 
trp_uruk_snaga_of_mordor|魔 多 強 獸 人 新 兵 
trp_uruk_snaga_of_mordor_pl|魔 多 強 獸 人 新 兵 
trp_uruk_of_mordor|魔 多 強 獸 人 
trp_uruk_of_mordor_pl|魔 多 強 獸 人 
trp_large_uruk_of_mordor|魔 多 大 型 強 獸 人 
trp_large_uruk_of_mordor_pl|魔 多 大 型 強 獸 人 
trp_fell_uruk_of_mordor|魔 多 殘 暴 強 獸 人 
trp_fell_uruk_of_mordor_pl|魔 多 殘 暴 強 獸 人 
trp_uruk_slayer_of_mordor|魔 多 強 獸 人 殺 手 
trp_uruk_slayer_of_mordor_pl|魔 多 強 獸 人 殺 手 
trp_fell_uruk_slayer_of_mordor|魔 多 殘 暴 強 獸 人 殺 手 
trp_fell_uruk_slayer_of_mordor_pl|魔 多 殘 暴 強 獸 人 殺 手 
trp_black_uruk_of_barad_dur|巴 拉 多 黑 獸 人 
trp_black_uruk_of_barad_dur_pl|巴 拉 多 黑 獸 人 
trp_uruk_mordor_standard_bearer|魔 多 正 規 掌 旗 手 
trp_uruk_mordor_standard_bearer_pl|魔 多 正 規 掌 旗 手 
trp_troll_of_moria|摩 瑞 亞 巨 魔 
trp_troll_of_moria_pl|摩 瑞 亞 巨 魔 
trp_armoured_troll|披 甲 巨 魔 
trp_armoured_troll_pl|披 甲 巨 魔 
trp_olog_hai|魔 多 披 甲 巨 魔 
trp_olog_hai_pl|魔 多 披 甲 巨 魔 
trp_ent|樹 人 
trp_ent_pl|樹 人 
trp_orc_snaga_of_guldur|多 爾 哥 多 獸 人 新 兵 
trp_orc_snaga_of_guldur_pl|多 爾 哥 多 獸 人 新 兵 
trp_orc_of_guldur|多 爾 哥 多 獸 人 
trp_orc_of_guldur_pl|多 爾 哥 多 獸 人 
trp_orc_snaga_of_mordor|魔 多  獸 人 新 兵 
trp_orc_snaga_of_mordor_pl|魔 多  獸 人 新 兵 
trp_orc_of_mordor|魔 多  獸 人 
trp_orc_of_mordor_pl|魔 多  獸 人 
trp_large_orc_of_mordor|魔 多  大 型 獸 人 
trp_large_orc_of_mordor_pl|魔 多  大 型 獸 人 
trp_fell_orc_of_mordor|魔 多 殘 暴 獸 人 
trp_fell_orc_of_mordor_pl|魔 多 殘 暴 獸 人 
trp_warg_rider_of_gorgoroth|葛 哥 洛 斯 座 狼 騎 士 
trp_warg_rider_of_gorgoroth_pl|葛 哥 洛 斯 座 狼 騎 士 
trp_great_warg_rider_of_mordor|烏 頓 大 座 狼 騎 士 
trp_great_warg_rider_of_mordor_pl|烏 頓 大 座 狼 騎 士 
trp_morgul_orc|魔 窟 獸 人 
trp_morgul_orc_pl|魔 窟 獸 人 
trp_fell_morgul_orc|魔 窟 殘 暴 獸 人 
trp_fell_morgul_orc_pl|魔 窟 殘 暴 獸 人 
trp_orc_tracker_of_mordor|魔 多 獸 人 追 蹤 者 
trp_orc_tracker_of_mordor_pl|魔 多 獸 人 追 蹤 者 
trp_fell_orc_tracker_of_mordor|魔 多 殘 暴 獸 人 追 蹤 者 
trp_fell_orc_tracker_of_mordor_pl|魔 多 殘 暴 獸 人 追 蹤 者 
trp_orc_archer_of_mordor|魔 多 獸 人 弓 箭 手 
trp_orc_archer_of_mordor_pl|魔 多 獸 人 弓 箭 手 
trp_large_orc_archer_of_mordor|魔 多 大 型 獸 人 弓 箭 手 
trp_large_orc_archer_of_mordor_pl|魔 多 大 型 獸 人 弓 箭 手 
trp_fell_orc_archer_of_mordor|魔 多 殘 暴 獸 人 弓 箭 手 
trp_fell_orc_archer_of_mordor_pl|魔 多 殘 暴 獸 人 弓 箭 手 
trp_wolf_rider_of_moria|摩 瑞 亞 狼 騎 士 
trp_wolf_rider_of_moria_pl|摩 瑞 亞 狼 騎 士 
trp_warg_rider_of_moria|摩 瑞 亞 座 狼 騎 士 
trp_warg_rider_of_moria_pl|摩 瑞 亞 座 狼 騎 士 
trp_bolg_clan_rider|博 爾 格 氏 族 騎 兵 
trp_bolg_clan_rider_pl|博 爾 格 氏 族 騎 兵 
trp_snaga_of_moria|摩 瑞 亞 新 兵 
trp_snaga_of_moria_pl|摩 瑞 亞 新 兵 
trp_goblin_of_moria|摩 瑞 亞 哥 布 林 
trp_goblin_of_moria_pl|摩 瑞 亞 哥 布 林 
trp_large_goblin_of_moria|摩 瑞 亞 大 型 哥 布 林 
trp_large_goblin_of_moria_pl|摩 瑞 亞 大 型 哥 布 林 
trp_fell_goblin_of_moria|摩 瑞 亞 殘 暴 哥 布 林 
trp_fell_goblin_of_moria_pl|摩 瑞 亞 殘 暴 哥 布 林 
trp_archer_snaga_of_moria|摩 瑞 亞 弓 箭 手 新 兵 
trp_archer_snaga_of_moria_pl|摩 瑞 亞 弓 箭 手 新 兵 
trp_large_goblin_archer_of_moria|摩 瑞 亞 大 型 哥 布 林 弓 箭 手 
trp_large_goblin_archer_of_moria_pl|摩 瑞 亞 大 型 哥 布 林 弓 箭 手 
trp_fell_goblin_archer_of_moria|摩 瑞 亞 殘 暴 哥 布 林 弓 箭 手 
trp_fell_goblin_archer_of_moria_pl|摩 瑞 亞 殘 暴 哥 布 林 弓 箭 手 
trp_goblin_gundabad|剛 達 巴 哥 布 林 
trp_goblin_gundabad_pl|剛 達 巴 哥 布 林 
trp_orc_gundabad|剛 達 巴 獸 人 
trp_orc_gundabad_pl|剛 達 巴 獸 人 
trp_orc_fighter_gundabad|剛 達 巴 獸 人 鬥 士 
trp_orc_fighter_gundabad_pl|剛 達 巴 獸 人 鬥 士 
trp_fell_orc_warrior_gundabad|剛 達 巴 殘 暴 獸 人 戰 士 
trp_fell_orc_warrior_gundabad_pl|剛 達 巴 殘 暴 獸 人 戰 士 
trp_goblin_bowmen_gundabad|北 方 哥 布 林 射 手 
trp_goblin_bowmen_gundabad_pl|北 方 哥 布 林 射 手 
trp_keen_eyed_goblin_archer_gundabad|北 方 銳 眼 哥 布 林 弓 箭 手 
trp_keen_eyed_goblin_archer_gundabad_pl|北 方 銳 眼 哥 布 林 弓 箭 手 
trp_fell_goblin_archer_gundabad|北 方 殘 暴 哥 布 林 弓 箭 手 
trp_fell_goblin_archer_gundabad_pl|北 方 殘 暴 哥 布 林 弓 箭 手 
trp_goblin_rider_gundabad|剛 達 巴 哥 布 林 騎 兵 
trp_goblin_rider_gundabad_pl|剛 達 巴 哥 布 林 騎 兵 
trp_warg_rider_gundabad|剛 達 巴 座 狼 騎 兵 
trp_warg_rider_gundabad_pl|剛 達 巴 座 狼 騎 兵 
trp_goblin_north_clan_rider|北 方 哥 布 林 氏 族 騎 兵 
trp_goblin_north_clan_rider_pl|北 方 哥 布 林 氏 族 騎 兵 
trp_mountain_goblin|山 地 哥 布 林 
trp_mountain_goblin_pl|山 地 哥 布 林 
trp_tribal_orc|部 落 獸 人
trp_tribal_orc_pl|部 落 獸 人 
trp_tribal_orc_warrior|部 落 獸 人 勇 士
trp_tribal_orc_warrior_pl|部 落 獸 人 勇 士
trp_tribal_orc_chief|部 落 獸 人 首 領 
trp_tribal_orc_chief_pl|部 落 獸 人 首 領 
trp_black_numenorean_renegade|黑 努 美 諾 爾 叛 軍 
trp_black_numenorean_renegade_pl|黑 努 美 諾 爾 叛 軍 
trp_black_numenorean_warrior|黑 努 美 諾 爾 勇 士 
trp_black_numenorean_warrior_pl|黑 努 美 諾 爾 勇 士 
trp_black_numenorean_veteran_warrior|黑 努 美 諾 爾 熟 練 勇 士 
trp_black_numenorean_veteran_warrior_pl|黑 努 美 諾 爾 熟 練 勇 士 
trp_black_numenorean_champion|黑 努 美 諾 爾 鬥 士 
trp_black_numenorean_champion_pl|黑 努 美 諾 爾 鬥 士 
trp_black_numenorean_assassin|黑 努 美 諾 爾 刺 客 
trp_black_numenorean_assassin_pl|黑 努 美 諾 爾 刺 客 
trp_black_numenorean_veteran_horseman|黑 努 美 諾 爾 騎 手 
trp_black_numenorean_veteran_horseman_pl|黑 努 美 諾 爾 騎 手 
trp_black_numenorean_horsemaster|黑 努 美 諾 爾 騎 兵 
trp_black_numenorean_horsemaster_pl|黑 努 美 諾 爾 騎 兵 
trp_noldorin_commander|諾 多 指 揮 官 
trp_noldorin_commander_pl|諾 多 指 揮 官 
trp_elf_captain_of_lothlorien|羅 斯 洛 立 安 精 靈 隊 長 
trp_elf_captain_of_lothlorien_pl|羅 斯 洛 立 安 精 靈 隊 長 
trp_lothlorien_lieutenant|羅 斯 洛 立 安 中 尉 
trp_lothlorien_lieutenant_pl|羅 斯 洛 立 安 中 尉 
trp_elf_captain_of_mirkwood|巨 綠 森 精 靈 隊 長 
trp_elf_captain_of_mirkwood_pl|巨 綠 森 精 靈 隊 長 
trp_mirkwood_lieutenant|巨 綠 森 中 尉 
trp_mirkwood_lieutenant_pl|巨 綠 森 中 尉 
trp_elf_captain_of_rivendell|瑞 文 戴 爾 精 靈 隊 長 
trp_elf_captain_of_rivendell_pl|瑞 文 戴 爾 精 靈 隊 長 
trp_rivendell_lieutenant|瑞 文 戴 爾 中 尉 
trp_rivendell_lieutenant_pl|瑞 文 戴 爾 中 尉 
trp_lieutenant_of_rohan|洛 汗 中 尉 
trp_lieutenant_of_rohan_pl|洛 汗 中 尉 
trp_captain_of_rohan|洛 汗 衛 隊 長 
trp_captain_of_rohan_pl|洛 汗 衛 隊 長 
trp_high_captain_of_rohan|洛 汗 高 等 隊 長 
trp_high_captain_of_rohan_pl|洛 汗 高 等 隊 長 
trp_lieutenant_of_isengard|艾 辛 格 中 尉 
trp_lieutenant_of_isengard_pl|艾 辛 格 中 尉 
trp_captain_of_isengard|艾 辛 格 尉 隊 長 
trp_captain_of_isengard_pl|艾 辛 格 尉 隊 長 
trp_high_captain_of_isengard|艾 辛 格 高 等 隊 長 
trp_high_captain_of_isengard_pl|艾 辛 格 高 等 隊 長 
trp_lieutenant_of_mordor|魔 多 中 尉 
trp_lieutenant_of_mordor_pl|魔 多 中 尉 
trp_captain_of_mordor|魔 多 衛 隊 長 
trp_captain_of_mordor_pl|魔 多 衛 隊 長 
trp_high_captain_of_mordor|魔 多 高 等 隊 長 
trp_high_captain_of_mordor_pl|魔 多 高 等 隊 長 
trp_easterling_chieftain|維 瑞 亞 首 領 
trp_easterling_chieftain_pl|維 瑞 亞 首 領 
trp_easterling_lieutenant|维 瑞 亞 戰 鬥 牧 師 
trp_easterling_lieutenant_pl|维 瑞 亞 戰 鬥 牧 師 
trp_harad_chieftain|哈 拉 德 首 領 
trp_harad_chieftain_pl|哈 拉 德 首 領 
trp_harad_lieutenant|哈 拉 德 中 尉 
trp_harad_lieutenant_pl|哈 拉 德 中 尉 
trp_black_numenorean_captain|黑 努 美 諾 爾 隊 長 
trp_black_numenorean_captain_pl|黑 努 美 諾 爾 隊 長 
trp_black_numenorean_lieutenant|黑 努 美 諾 爾 中 尉 
trp_black_numenorean_lieutenant_pl|黑 努 美 諾 爾 中 尉 
trp_dunnish_chieftain|丹 尼 斯 首 領 
trp_dunnish_chieftain_pl|丹 尼 斯 首 領 
trp_dunnish_lieutenant|丹 尼 斯 酋 長 
trp_dunnish_lieutenant_pl|丹 尼 斯 酋 長 
trp_goblin_chieftain|哥 布 林 首 領 
trp_goblin_chieftain_pl|哥 布 林 首 領 
trp_captain_of_gondor|剛 鐸 隊 長 
trp_captain_of_gondor_pl|剛 鐸 隊 長 
trp_nobleman|貴 族 
trp_nobleman_pl|貴 族 
trp_gondor_agent|剛 鐸 代 理 者 
trp_gondor_agent_pl|剛 鐸 代 理 者 
trp_rohan_agent|洛 汗 代 理 者 
trp_rohan_agent_pl|洛 汗 代 理 者 
trp_mordor_agent|魔 多 代 理 者 
trp_mordor_agent_pl|魔 多 代 理 者 
trp_isengard_agent|艾 辛 格 代 理 者 
trp_isengard_agent_pl|艾 辛 格 代 理 者 
trp_looter|劫 匪 
trp_looter_pl|劫 匪 
trp_bandit|強 盜 
trp_bandit_pl|強 盜 
trp_brigand|土 匪 
trp_brigand_pl|土 匪 
trp_mountain_bandit|山 賊 
trp_mountain_bandit_pl|山 賊 
trp_forest_bandit|森 林 強 盜 
trp_forest_bandit_pl|森 林 強 盜 
trp_sea_raider|海 寇 
trp_sea_raider_pl|海 寇 
trp_steppe_bandit|響 馬 
trp_steppe_bandit_pl|響 馬 
trp_manhunter|賞 金 獵 人 
trp_manhunter_pl|賞 金 獵 人 
trp_kidnapped_girl|被 綁 架 的 女 孩 
trp_kidnapped_girl_pl|被 綁 架 的 女 孩 
trp_refugee|難 民 
trp_refugee_pl|難 民 
trp_peasant_woman|農 婦 
trp_peasant_woman_pl|農 婦 
trp_caravan_master|商 隊 頭 領 
trp_caravan_master_pl|商 隊 頭 領 
trp_caravan_guard|商 隊 護 衛 
trp_caravan_guard_pl|商 隊 護 衛 
trp_messenger_man|信 使 
trp_messenger_man_pl|信 使 
trp_messenger_elf|信 使 
trp_messenger_elf_pl|信 使 
trp_messenger_dwarf|信 使 
trp_messenger_dwarf_pl|信 使 
trp_messenger_orc|信 使 
trp_messenger_orc_pl|信 使 
trp_messenger_evil_man|信 使 
trp_messenger_evil_man_pl|信 使 
trp_town_walker_1|市 民 
trp_town_walker_1_pl|市 民 
trp_town_walker_2|女 市 民 
trp_town_walker_2_pl|女 市 民 
trp_village_walker_1|村 民 
trp_village_walker_1_pl|村 民 
trp_village_walker_2|村 民 
trp_village_walker_2_pl|村 民 
trp_spy_walker_1|市 民 
trp_spy_walker_1_pl|市 民 
trp_spy_walker_2|女 市 民 
trp_spy_walker_2_pl|女 市 民 
trp_walker_man_gondor_black|市 民 
trp_walker_man_gondor_white|市 民 
trp_walker_man_gondor_blue|市 民 
