qstr_Received_{reg0}_dama|受到{reg0}傷害。
qstr_Log_entry_{reg3}:_ty|日誌項目{reg3}：類型{reg4}
qstr_Center:_{s4}|據點：{s4}
qstr_Troop:_{s4}|部隊：{s4}
qstr_Lord:_{s4}|領主：{s4}
qstr_Ally_party_is_presen|同盟隊伍在場
qstr_{s4}_is_present_at_e|{s4}有參與事件
qstr_Event_#{reg5}_type_{|事件#{reg5}，類型{reg6}，時間{reg8}：玩家所屬王國與目標部隊關係={reg7}
qstr_Event_#{reg5}_type_{r|事件#{reg5}，類型{reg6}，時間{reg8}：玩家所屬王國與目標陣營據點關係={reg7}
qstr_Event_#{reg5}_type_{re|事件#{reg5}，類型{reg6}，時間{reg8}：玩家所屬王國與目標陣營關係={reg7}
qstr_Event_#{reg5}_type_{reg|事件#{reg5}，類型{reg6}，時間{reg8}。與相關王國無關係
qstr_Event_#{reg5}_type_{reg6|事件#{reg5}，類型{reg6}，時間{reg8}。玩家未附屬
qstr_Elapsed_hours:_{reg7|經過的小時數：{reg7}
qstr_Reputation_type:_{s1|名聲類型：{s15}
qstr_Entries_up_to_#{reg5|跳過#{reg5}項
qstr_A_new_location_is_no|地圖上標出一個新地點了！
qstr_New_trait_gained:_{s|獲得新特質：{s5}。
qstr_Gained_permanent_+1_|力量永久+1。
qstr_Gained_permanent_+1_t|敏捷永久+1。
qstr_Gained_permanent_+1_to|魅力永久+1。
qstr_Gained_permanent_+20|武器熟練度永久+20。
qstr_Gained_permanent_+2_|力量永久+2。
qstr_Gained_permanent_+2_t|魅力永久+2。
qstr_Lost_permanent__1_to|魅力永久-1。
qstr_Gained_permanent_+1_to_|鐵骨永久+1。
qstr_Gained_permanent_+5_|力量永久+5。
qstr_Lost_permanent__2_to|魅力永久-2。
qstr_Gained_permanent_+2_to|鐵骨永久+2。
qstr_Gained_permanent_+10|武器熟練度永久+10。
qstr_Gained_permanent_+1_to_T|戰術永久+1。
qstr_You_have|你有
qstr_{s1}_has|{s1}有
qstr_{s11}_suffered_a_ser|{s11}受到了重傷。
qstr_The_leg_has_been_bad|腿部在戰鬥中遭到重創。
qstr___2_athletics__1_rid|(運動-2，騎術-1，敏捷-2，近戰武器熟練度-15)
qstr_The_arm_has_been_bad|手臂在戰鬥中受到重創。
qstr___20_weapon_skill__2|(武器熟練度-20，力量-2，強擊-1)
qstr_The_head_has_suffere|頭部遭到重擊。
qstr___1_intelligence_ski|(智力相關技能-1，遠程武器熟練度-15)
qstr_The_chest_has_suffer|胸部有部分肋骨骨折。
qstr___20_weapon_skill_|(武器熟練度-20)
qstr_{s1}_has_been_killed|{s1}已被殺死。
qstr_You_were_killed.|你被殺了。
qstr_{s1}_recovered_from_|{s1}從重傷中恢復了。
qstr_The_leg_wound_has_he|腿部的傷癒合了。
qstr__+2_athletics_+1_rid|(運動+2，騎術+1，敏捷+2，近戰武器熟練度+15)
qstr_The_arm_wound_has_he|手臂的傷癒合了。
qstr__+20_weapon_skill_+2|(武器熟練度+20，力量+2，強擊+1)
qstr_The_head_wound_has_h|頭部的傷癒合了。
qstr__+1_intelligence_ski|(智力相關技能+1，遠程武器熟練度+15)
qstr_The_cracked_ribs_hav|裂開的肋骨癒合了。
qstr__+20_weapon_skill_|(武器熟練度+20)
qstr_{s1}_has_had_his_hea|{s1}的生命值增加了
qstr_News_has_arrived_tha|最新消息表示{s1}的{s2}在戰鬥中被{s28}的部隊殺死了！
qstr_{s1}_s_Burial_Mound|{s1}的墓塚
qstr_{s1}_s_Funeral_Pyre|{s1}的火葬堆
qstr_{s1}_is_logged_as_de|{s1}已記錄為死亡
qstr_You_have_been_discov|你在爬上城牆前就被發現了。
qstr_The_enemy_is_coming_|大量的敵軍正在接近！你必須快逃！
qstr_Scout_this_area_alon|獨自偵查這個地方並和你的士兵在外匯合！
qstr_Be_stealthy_but_elim|保持潛行並快速地解決任何威脅！
qstr_You_are_spotted_by_a|你被巡邏隊發現了！
qstr_Eliminate_them_befor|在他們發出警報前解決他們！
qstr_You_have_reached_the|你已經抵達了地牢！
qstr_Eliminate_the_guards|解決掉衛兵並解救你的人馬！
qstr_{s1}_has_been_captur|{s1}被敵軍俘虜了！
qstr_Gondor_takes_a_capti|剛鐸抓到了一名俘虜
qstr_Rohan_takes_a_captiv|洛汗抓到了一名俘虜
qstr_Mordor_takes_a_capti|魔多抓到了一名俘虜
qstr_Isengard_takes_a_cap|艾辛格抓到了一名俘虜
qstr_You_were_grievously_|你受到了重創並被扔到屍體堆裡。慎重的決定時機後你成功翻牆逃跑但有可能被敵人發現了。最好盡快逃離。
qstr_You_were_grievously_w|你在戰鬥中受到重創。你的部下雖然成功帶著你突圍但損失慘重。
qstr_You_were_grievously_wo|你在戰鬥中受到重創。你的部下雖然成功帶著你突圍但損失慘重。更不幸的是，你有一些同伴被俘虜並押走到{s2}了。
qstr_You_were_grievously_wou|你在戰鬥中受到重創。你的部下成功帶著你脫離戰鬥，不幸的是巫師也逃走了。
qstr_You_were_grievously_woun|你受到了重創並被扔到屍體堆裡。慎重的決定時機後你成功逃跑，不幸的是巫師也逃走了。
qstr_Some_of_your_compani|你有一些同伴正因舊傷復發而在痛苦著。
qstr_Item_you_just_equipp|你剛才裝備的物品不適用於此種族的角色因此將從裝備欄移入物品欄^^請確認物品欄有足夠的空間，否則將失去此物品。
qstr_Inappropriate_equipm|不適合的裝備
qstr_The_mount_you_just_e|你剛才裝備的坐騎不適用於此種族的角色。請注意如果你放著不管，有可能導致戰場中的坐騎行為異常。
qstr_Inappropriate_mount|不適合的坐騎
qstr_{s24}:_Your_infantry|{s24}：你的步兵感覺好一點了！
qstr_{s24}:_Your_archers_|{s24}：你的弓兵感覺好一點了！
qstr_{s24}:_Your_cavalry_|{s24}：你的騎兵感覺好一點了！
qstr_Ah_what_a_coincidenc|啊，真巧，{playername}，在這裡碰到你！你大概不知道我是誰，但你對我則並非未知喔。我正在前往{s4}，不過我剛離開{s3}時有聽過你的名字。在這個烽煙四起的時代{s3}就靠你了可是假設你誤入歧途，不妨重新思考並全心全意的幫助{s2}吧。
qstr_Who_are_you?|你是誰？
qstr_A_friend_of_{s3}_and|{s3}和{s2}之民的朋友。動作快！魔多吸引了所有邪惡的東西，黑暗力量正在將他們聚集控制在那裡。除非我們趕緊行動來對抗，不然世界上的一切美好都快沒時間了！
qstr_What_should_I_do?|我該做什麼？
qstr_Find_{s3}_s_whereabo|盡快找到{s3}的下落並跟{reg3?她:他}談談吧。祝你好運！
qstr_Good_to_see_the_Shad|{playername}，很高興看到你還沒被索倫的陰影打敗。
qstr_You_are_the_one_they|看來你就是人們所說的甘道夫或米斯蘭達吧。
; qstr_You_are_the_one_they_|You are the one they call Radagast.
qstr_That_is_what_some_ca|有些人的確如此稱呼我。以前我也被用其他名字稱呼過。但除非黑暗被阻止，不然很快不會剩下任何人能用名字稱呼我了。
qstr_What_do_you_mean?|你的意思是？
qstr_In_spite_of_their_va|儘管他們英勇的抵抗過，{s3}最終還是被邪惡勢力吞沒了。{s3}的人們四散而美好的{s4}已經一去不復返了。
qstr_You_bring_dismal_new|巫師啊，你帶來的消息真令人沮喪。
qstr_But_I_also_bring_a_m|但我也但來了一絲希望。{s5}的人們仍然在堅持，他們的領導們堅定且戰士們無畏。
qstr_Help_them_fight_the_|盡你最大的努力幫助他們跟敵人戰鬥。永不放棄！但同時保持警惕！這世上還有比半獸人更古老更汙穢的東西。
qstr_Beware_{playername}_| {playername}，請注意，黑暗的力量開始崩壞了。{s3}已陷落，它的領導者{s4}也是。
qstr_What_do_you_want_of_|你想要我幹嘛，老頭？
qstr_Just_know_that_a_Daw|要記得黎明將至。這是必然。而如果你能活著看到那一天，想想該怎麼面對自己吧。
qstr_Well_met_{playername|很高興見到你，{playername}，{s24}。我當初果然沒有看錯你。陰影的強大勢力已被打碎而你幫了大忙！
qstr_Thank_you_Mithrandir|謝謝你，米斯蘭達！
; qstr_Thank_you_Radagast!|Thank you, Radagast!
qstr_The_wizard_Saruman_i|巫師薩魯曼已逝而黑邪塔連同其黑暗之主也被粉碎！中土世界的人民已從近乎吞噬世上所有美好與聖潔的威脅下得到解放。敵人被擊敗且王已回歸！
qstr_It_was_a_long_and_bl|在這個漫長而血腥的戰爭後我們有許多摯友已經不在了。
qstr_There_is_much_to_reg|我們有著許多的遺憾和悲傷，而未來還有更多的事物等著我們去重建和修繕。但現在，讓我們與仍在身邊的朋友一起慶祝我們在第三紀元的最後之日所達成的豐功偉業吧！
; qstr_Orcs_are_marching_ag|Orcs are marching against Helm's Deep.
; qstr_Orcs_are_marching_aga|Orcs are marching against Edoras.
; qstr_Ah_{playername}_happ|Ah, {playername}, happy chance that we come on each other in this fashion! Grim tidings I bring from Western Rohan, and haste is sore needed.
; qstr_What_tidings_do_you_|What tidings do you bring, Mithrandir? What can I do?
; qstr_Saruman_has_loosed_I|Saruman has loosed Isengard upon Rohan. {s1} For the success of my designs, the valiant Rohirrim must not fall, {playername}! The danger to them is very great, yet also the emptying of Isengard has left it vulnerable, for Saruman has despatched his full strength against Theoden King. This may be the time to move into Nan Curunir. A choice is now laid before you, Commander, a choice you must make, for neither you nor I may be everywhere at once!
; qstr_Do_you_want_me_to_he|Do you want me to help King Theoden defend {s3}, or hasten to Isengard and see what I can do?
; qstr_Either_would_be_a_gr|Either would be a great boon to me. You must decide your course on your own, {playername}, as shall I. Shadowfax shall bear me now on a swift errand. You must act quickly as well! Hasten now!
; qstr_Gandalf_asked_you_to|Gandalf asked you to either help Theoden defend {s3} or find out what is happening in Isengard.
qstr_Ents|樹人
; qstr_Hail_{playername}!_I|Hail, {playername}! I hope you are unhurt? At any rate, I am pleased you aided my friend Fangorn, or you may know him as Treebeard. The tree shepherds are very mighty, but it was likely that they marched to their doom. You have perhaps saved them from a great peril, Commander, and for that I am glad. I would not like to see the oldest of all living things pass from the world, no, not just yet… no, not before they see the Entwives again, I should hope.
; qstr_Missing_String|Missing String
; qstr_Well_thank_you_{play|Well, thank you, {playername}, and farewell. We may meet again, ere the waning of the moon!
; qstr_Hail_{playername}!_I_|Hail, {playername}! I hope you are unhurt? At any rate, you seem to have lain your blade to the right foe. No enemy has yet taken the Hornburg, and likely none ever shall – not while the likes of you defend Helm’s Gate, I’ll warrant!
; qstr_Your_deed_has_greatl|Your deed has greatly helped my design, better even than I could have hoped or planned. Farewell, {playername}, and thank you. We may meet again, ere the waning of the moon!
; qstr_{Playername}_I_will_|{Playername}, I will ask you a thing now. You are accounted an able captain, and a dutiful one; were you overmastered by great foes? Did you tarry overlong, for caution or even fear? Behold, we are now come into a greater peril than I could have foreseen. The strength of Rohan is broken, her people scattered and shieldless: Helm’s Deep has fallen. The trees are withered untimely, and night lies over the forge-fires of Isengard: the Ents of Fangorn Forest are dead or driven back.
; qstr_You_have_failed_me_{|You have failed me, {playername} – or perhaps it is I who have failed you. Perhaps there was some flaw in my design, some grave blunder I did not recognise… The terror of Mordor comes. Leave me now, {playername}. We may meet again… or perhaps not.
qstr_Bagginsssss..._Ssssh|巴金斯… 夏爾…
qstr_I..._don_t_know!|我...不知道！
qstr_It..._beckonsssssss.|它... 在招手...
qstr_Treachery..._Unforgi|背信棄義…不可饒恕…
qstr_But_I...|但我…
qstr_Noone..._oppossssses|無人…能阻饒…黑邪塔…並存活！
qstr_All..._must..._submi|所有人…必須… 屈從...且…臣服…
qstr_I_serve_the_Eye!|我服從索倫之眼！
qstr_I_shall_serve_the_Ey|我將服從索倫之眼！
qstr_Go_to_{s1}_and_speak|去{s1}和{s9}交談。
qstr_The_Remnant_Forces_o|{s22}殘餘的部隊聚集以增援{s15}戰區！
qstr_The_strength_of_the_|{s15}戰區剩下的盟軍力量增強了
qstr_{s30}_reinforced_by_|{s30}被增援了{reg65}陣營力量
qstr_{s1}_has_been_besieg|{s1}正遭到{s3}的{s2}圍攻。
qstr_The_forces_of_{s2}_m|{s2}的部隊正在向{s15}邁進！
qstr_Rohan_capital_moved_|洛汗的首都已從伊多拉斯遷至號角堡！
qstr_Dale_capital_moved_f|河谷鎮的首都已從河谷鎮遷至長湖鎮！
qstr_Gundabad_capital_mov|剛達巴的首都已從剛達巴遷至哥布林鎮！
; qstr_You_have_breached_th|You have breached the Ring of Isengard with the help of the Tree Men. During the battle, Isengard was flooded, but Orthanc still stands unscathed in midst of the havoc. You should investigate the aftermath.
qstr_The_hosts_of_{s2}_re|{s2}的大軍撤回他們的家園了！
qstr____Ruins_of_{s1}___|{s1}的廢墟
; qstr_{s1}_has_joined_the_|{s1} has joined the Hand
; qstr_{s1}_has_joined_the_E|{s1} has joined the Eye
qstr_ranks|列陣
qstr_shield_wall|盾牆
qstr_wedge|楔形陣
qstr_square|方陣
qstr_up|上
qstr___Infantry_forming_{|步兵組成{s1}。
qstr___Not_enough_infantr|沒有足夠的步兵組成{s1}，用堅守代替。
qstr___Cavalry_forming_{s|騎兵組成{s1}。
qstr___Not_enough_cavalry|沒有足夠的騎兵組成{s1}，用堅守代替。
qstr___Archers_forming_{s|弓兵組成{s1}。
qstr___Not_enough_archers|沒有足夠的弓兵組成{s1}，用堅守代替。
qstr___Infantry_formation|步兵陣型解散。
qstr___Cavalry_formation_|騎兵陣型解散。
qstr___Archer_formation_d|弓兵陣型解散。
qstr_Division_{reg1}_{s2}|第{reg1}分隊{s2}正在組成{s1}。
qstr_Not_enough_troops_in|第{reg1}分隊{s2}沒有足夠的部隊組成{s1}。
qstr_Division_{reg1}_{s2}_|第{reg1}分隊{s2}是{s3}分隊而不能組成{s1}。
qstr_{s1}:_infantry_forma|{s1}：步兵陣型解散。
qstr_{s1}:_archer_formati|{s1}：弓兵陣型解散。
qstr_{s1}:_skirmisher_for|{s1}：散兵陣型解散。
qstr_{s1}:_cavalry_format|{s1}：騎兵陣型解散。
qstr_{s1}:_formation_disa|{s1}：陣型解散。
qstr_Cavalry_formation_di|騎兵陣型解散。
qstr_The_placement_of_{s1|已記憶第{reg0}分隊{s1}的位置。
qstr_The_placement_of_{s1}|第{reg0}分隊{s1}的位置已還原為預設值。
qstr_Your_party_s_tactica|你隊伍的戰術技能限制了你可以部署部隊的距離！
qstr_...and_attack_enemy_|...並攻擊敵方的{s1}分隊！
qstr_{s2}:_returning_afte|{s2}：在摧毀敵人{s1}分隊後返回。
qstr_infantry|步兵
qstr_archer|弓兵
qstr_cavalry|騎兵
qstr_polearm|長柄武器
qstr_skirmisher|散兵
qstr_mounted_archer|馬騎弓兵
qstr_support|支援
qstr_bodyguard|護衛
qstr_undetermined_type_of|未確定類型的
qstr_{s1}_has_fled_the_ba|{s1}逃離了戰場！
qstr_Your_side_is_at_{reg|我方部隊凝聚力為{reg1}%(+{reg3}%加成)，敵方部隊凝聚力為{reg2}%！
qstr_Morale_of_your_troop|我方部隊的士氣正在動搖！
qstr_Morale_of_your_enemi|敵方的士氣正在動搖！
qstr_Your_enemies_flee_in|你的敵方正在潰散！
qstr_Many_of_your_enemies|大部分的敵方正在逃離戰場。
qstr_Some_of_your_enemies|有部分的敵方正在逃離戰場。
qstr_A_few_of_your_enemie|少部分的敵方正在逃離戰場。
qstr_Your_troops_flee_in_|我方部隊正在潰散！
qstr_Many_of_your_troops_|大部分的我方部隊正在逃離戰場。
qstr_Some_of_your_troops_|有部分的我方部隊正在逃離戰場。
qstr_A_few_of_your_troops|少部分的我方部隊正在逃離戰場。
qstr_Gained_permanent_+1_to_P|尋路永久+1。
qstr_Gained_permanent_+1_to_S|偵查永久+1。
qstr_{s11}_recovered_from|{s11}從重傷中恢復過來了。
qstr_Volunteers|志願者
qstr_Reserves|預備役
qstr_have_taken_measure_o|對你陣營目前的力量採取行動後變得更加大膽了。
qstr_loses_Faction_Streng|由於補給線被干擾而失去了陣營力量。
qstr_loses_Faction_Strengt|由於營地被毀而失去了陣營力量。
qstr_gains_Faction_Streng|由於你勝利的消息廣傳而獲得陣營力量。
qstr_Something_wrong_not_|有點問題，沒有足夠的部隊去排除
qstr_Raiders|掠奪者
qstr_have_won_the_sea_bat|贏了海戰，使你的部隊士氣低落。敵人可能會利用這種失敗展開更頻繁地的攻擊。
qstr_loses_Faction_Strength|由於遭到毀滅性的襲擊而失去了陣營力量。
qstr_loses_Faction_Strength_|由於你在海上的成功而失去了陣營力量。
qstr_You_spent_{reg67}_of|你使用了對{s1}的{reg67}影響力，還剩下{reg66}。
qstr_{s2}_{reg3?was:is_ar|{s2}{reg3?曾在:正在{s5}附近。
; qstr_Army_of_{s6}|Army of {s6}
; qstr_Host_of_{s6}|Host of {s6}
; qstr_The_host_of_Isengard|The host of Isengard has razed {s2}!
qstr_{s1}_{s0}|{s1}，{s0}
qstr_{s1}_and_{s0}|{s1}和{s0}
qstr_No_Troops_Left.|沒有剩下任何部隊。
qstr_avoid_melee|避免近戰
qstr_stand_and_fight|立守戰鬥
qstr_Everyone|所有人
qstr_Shield___{reg31}_|盾防技能(-{reg31})
qstr_Power_Draw___{reg31}|強弓技能(-{reg31})
qstr_Riding___{reg31}_|騎術技能(-{reg31})
qstr_Horse_Archery___{reg|騎射技能(-{reg31})
qstr_Athletics___{reg31}_|運動技能(-{reg31})
qstr_No_Skill_Penalty_Ass|沒有分配技能減益
qstr_Inventory|物品欄
qstr_Show_stats|顯示數據
qstr_Show_item_details__|顯示物品詳細資訊
qstr_Troop_detail|兵種詳細資訊
qstr_{s1}^|{s1}^
qstr_{s1}Level:_{reg1}^|{s1}等級：{reg1}^
qstr_{s1}Hit_Points:_{reg|{s1}生命值：{reg1}
qstr_{s1}Atributes:_^___S|{s1}屬性：^力量：^
qstr_{s2}^{reg1}^|{s2}^{reg1}^
qstr_{s1}___Agility:|{s1}   敏捷：
qstr_{s2}{reg1}|{s2}{reg1}
qstr_{s1}Main_skills:_^|{s1}主要技能：^
qstr_{s1}___Power_Strike:|{s1}   強擊技能：^
qstr_{s2}{reg1}^|{s2}{reg1}^
qstr_{s1}___Athletics:^|{s1}   運動技能：^
qstr_{s1}___Riding:^|{s1}   騎術技能：^
qstr_{s2}_^|{s2}-^
qstr_{s1}___Power_Throw:^|{s1}   強擲技能：^
qstr_{s1}___Power_Draw:^^|{s1}   強弓技能：^^
qstr_{s2}{reg1}^^|{s2} {reg1}^^
qstr_{s2}_^^|{s2} -^^
qstr_{s1}Weapons:^|{s1}武器：^
qstr_{s1}___One_Handed:^|{s1}   單手武器：^
qstr_{s1}___Two_Handed:^|{s1}   雙手武器：^
qstr_{s1}___Polearms:^|{s1}   長柄武器：^
qstr_{s1}___Archery:^|{s1}   弓術：^
qstr_{s1}___Crossbow:^|{s1}   十字弓：^
qstr_{s1}___Throwing:^|{s1}   投擲武器：^
qstr_{s1}___Slings:|{s1}   投石索：
qstr_{s2}_|{s2}-
qstr__Click_on_the_troop_|(點擊部隊來旋轉它)^^點擊裝備^(頭盔、鎧甲、手套和靴子)^來顯示它們。
qstr_ready_bows_and_missi|準備好弓和遠程武器
qstr_ready_side_arms|準備好副武器
qstr_ready_two_hander|準備好雙手武器
qstr_ready_polearms|準備好長柄武器
qstr_shields_up|用盾
qstr_doff_shields|棄盾
qstr_Distance___{reg70}__|距離-{reg70}-{s11}隊伍-{s12}部隊
qstr_A_golden_mist_from_L|來自羅瑞安的金色薄霧籠罩著戰場。女士的存在使你的部隊受到鼓舞。
qstr_A_golden_mist_from_Lr|來自羅瑞安的金色薄霧籠罩著戰場。女巫就在附近，你和你的部隊不禁打了寒顫。
qstr_Dark_clouds_from_Mor|來自魔多的烏雲籠罩著戰場。你的弓兵看不清敵方，而且邪惡的存在嚇壞了你的人馬。
qstr_Dark_clouds_from_Mord|來自魔多的烏雲籠罩著戰場。黑暗之主的存在使你和你的人馬感到更有力量。
qstr_A_thunderstorm_from_|來自迷霧山脈的雷雨在戰場上肆虐。你的部隊被減慢了，而且其中迷信的人感到害怕。
qstr_A_thunderstorm_from_t|來自迷霧山脈的雷雨在戰場上肆虐。弓兵在這種天氣下作戰有困難。
qstr_A_poisonous_fog_from|來自多爾哥多的毒霧在戰場上徘徊。你和你的部隊感到虛弱。人們都很害怕。
qstr_A_poisonous_fog_from_|來自多爾哥多的毒霧在戰場上徘徊。你沒有感到任何不適，但你能聽到敵方痛苦的聲音也能聞到他們的恐懼。
qstr_You_shapeshift_into_|你變形成一頭熊！
qstr_You_got_{reg1}_exper|你在熊型態下獲得{reg1}經驗值。
qstr_Your_ability_to_chan|你變身的能力已經覺醒了，現在起你可以用人或熊的型態繼續旅途。
qstr_You_change_back_to_h|你變回人形...
; qstr_Refill_Ammunition|Refill Ammunition
qstr_Your_mount_stumbles!|你的坐騎步履蹣跚！看來是瘸了。
qstr_Bitten_by_your_own_w|你被自己的座狼咬了！
qstr_You_weigh_too_much_f|你對小馬來說太重了！
qstr_Your_mount_rears_ref|你的坐騎後腿直立，拒絕服從你的命令！
qstr_Cannot_Change_Camera|第一人稱時不能改變鏡頭模式。
qstr_Switch_Back_to_3rd_P|換回第3人稱視角以切換鏡頭。
qstr_Fixed_Custom_Camera|固定自訂鏡頭
qstr_Press_Ctrl_+_Left_/_|按Ctrl+左/Ctrl+右箭頭來切換肩膀
qstr_Press_Ctrl_+_Down_to|按Ctrl+下來置中
qstr_Press_Ctrl_and_+/__t|按下Ctrl加上 +/- 號來 放大／縮小
qstr_Press_Ctrl_and_Up/Do|按下Ctrl加上 上/下 方向鍵來 前傾/後傾
qstr_Fixed_Camera___Right|固定鏡頭-右肩
qstr_Fixed_Camera___Left_|固定鏡頭-左肩
qstr_Fixed_Camera___Cente|固定鏡頭-置中
qstr_Shield_is_too_big_to|盾太大不能跟弓一起使用。
qstr_While_visiting_towns|在參觀城鎮、聚落和營地時，你可以跟周圍走動的人交談。不同陣營的成員會有不同的話能說-有些人會告訴你他們的想法，而其他則會分享謠言。兩者皆可以讓你更好地了解這個人的文化和陣營，或者他們可能會有找到秘密地點的線索，又或者是在荒野中旅行和在魔戒之戰中戰鬥的技巧和訣竅。
qstr_Cannot_leave_now.|現在不能離開。
qstr_You_have_found_the_l|你找到了當地的鍛治匠。
qstr_You_have_found_the_lo|你找到了地方官。
qstr_You_have_found_the_loc|你找到了當地的倉庫。
qstr_You_have_found_the_c|你找到駐軍地隊長了。
qstr_You_look_through_Hen|你透過日落之窗，漢那斯安南向外看。美麗的景象恢復了你對西方和世外之力的信心。
qstr__cancelled_the_{reg1|(取消殺死囚犯獲得的{reg10}經驗值)
qstr_Forming_ranks.|正在列陣。
qstr_{reg2?You:Your_mount|{reg2?你:你的坐騎}受到{reg1}額外傷害！
qstr_{reg2?You_strike:You|{reg2?你的打擊:你的馬衝撞}造成{reg1}額外傷害！
qstr_Division_Placement|分隊位置
qstr_Complex_Formations|複雜陣型
qstr_Formations_turned_OF|設定選單中關掉了陣型
qstr_Division_{reg1}_{s2}_g|第{reg1}分隊{s2}進入其記憶的位置...
qstr_Division_{reg1}_{s2}_f|第{reg1}分隊{s2}排成行(已記憶)。
qstr_Division_{reg1}_{s2}_fo|第{reg1}分隊{s2}排成{reg0}行(已記憶)。
qstr_Delivered_{reg60}_da|給予{reg60}傷害。
qstr_DEBUG__Health_Regen_|DEBUG(生命回復)：{s1}恢復{reg0}%生命值。=+{reg1}%力量
qstr_Your_bear_form_has_{|你的熊型態有{reg2}/{reg1}生命值！
qstr_Three_Nazgul_are_cir|三隻戒靈正在戰場上空盤旋！
qstr_Two_Nazgul_are_circl|兩隻戒靈正在戰場上空盤旋！
qstr_A_Nazgul_is_circling|一隻戒靈正在戰場上空盤旋！
qstr_Some_of_your_human_t|你部分的人類部隊並不畏懼黑暗。(夜間部隊不受夜間減益的影響)
qstr_You_are_filled_with_|你注視了敵人後充滿了憤怒(發動狂暴化)。
qstr_Your_mount_is_scared|你的座騎被{s5}嚇到了！
qstr_Your_mount_is_scared_|你的座騎被{s5}嚇到了，但你還能駕馭牠！
qstr_Nazgul_sweep!|戒靈掃過！
qstr_You_and_your_horse_p|戒靈的叫聲難以忍受，你和你的馬陷入恐慌！
qstr_Your_horse_panics_th|戒靈的叫聲難以忍受，你的馬陷入恐慌！
qstr_You_cower_in_terror_|戒靈的叫聲難以忍受，你陷入畏懼！
qstr_knocked_unconscious|被打昏了
qstr_Nazgul_diving_attack|戒靈正在俯衝攻擊{s11}！
qstr_{s11}_is_{s10}_in_th|{s11}在戒靈的攻擊下{s10}！
qstr_Received_{reg66}_dam|受到{reg66}傷害。
qstr_You_yell_for_your_ho|你呼喚了你的馬。
qstr_You_do_not_need_to_r|你還不需要鼓舞你的部隊。
qstr_You_rally_{reg10}_tr|你集結了{reg10}部隊！
qstr_{s5}_rallies_{reg65?|{s5}鼓舞了{reg65?她的:他的}部隊！
qstr_You_have_killed_{reg|你在這場戰鬥中殺了{reg1}名敵人！
qstr_Your_bravery_inspire|你的英勇啟發了你的部隊！
qstr_Your_mount_has_falle|你的坐騎已經倒下了！
qstr_Receive_{reg22}_dama|受到{reg22}傷害。
qstr_You_have_been_knocke|你被{s22}打昏了。
qstr_{s21}_has_been_knock|{s21}從{reg23?她的:他的}坐騎上跌落了下來。
qstr_{s21}_{reg24?killed:|{s21}被{s22}{reg24?殺死了:打昏了}。
qstr_A_bear_has_been_summ|一隻熊被召喚出戰了！
qstr_In_The_Last_Days_of_|在第三紀元的最後之日裡，你的部隊將在每次戰鬥開始時堅守陣地，而不是盲目衝鋒。^^要命令你的部隊進入陣型，按'J'列陣，'K'組成盾牆，'L'組成楔形陣，';'組成方陣。按'U'取消陣型。^^如果你的部隊正在潰散，你可以按'V'來鼓舞他們。每次戰鬥你能鼓舞的次數有限，而數量取決於你的統御和魅力。
qstr_You_can_also_order_y|你也可以命令你的部隊使用你想要他們使用的武器類型。^^按O在武器類型之間切換。按P可在盾的命令類型之間切換。
qstr_The_Last_Days_of_the|為了避免原有的視角對較矮的種族（例如半獸人和矮人）造成的不便，TLD開發了自訂視角。 ^^查閱資訊頁面可以了解如何控制不同的視角模式。
qstr_Battlefield_is_too_s|戰場對復雜的AI陣型來說太小了。
qstr_You_have_a_clear_per|你清晰地感受到一個迫切的大危機，來自四面八方！
qstr_New_ent_reached_batt|新的樹人加入了戰鬥...
qstr_You_receive_word_tha|你收到通知說比翁人的村莊被襲擊了。比翁人喪失了陣營力量。
qstr_You_receive_word_that|你收到通知說戒指獵人的首領被目擊前往魔多，拖著一個箱子。魔多獲得了陣營力量。
qstr_Enemy_reinforcements|敵方的增援已抵達
qstr_Yarrrr!!|呀啊啊啊啊！！
qstr_Get_all_of_them!|一個都別放過！
qstr_Kill_them_all!|殺光他們！
qstr_Toss_them_overboard!|把他們扔下船！
qstr_It_is_a_good_day_to_|慷慨赴義在今朝！
qstr_All_hands_on_deck!_T|全體動員！把他們丟回去！
qstr_Ally_reinforcements_|友方增援已抵達
qstr_Forward_men!|弟兄們，前進！
qstr_Leave_none_of_these_|別讓這些污穢活下來！
qstr_End_them_all!|結束他們！
qstr_Drive_them_back!|把他們趕回去！
qstr_Protect_the_City!|保護城市！
qstr_Forward!_Board_them!|前進！登上他們的船！
qstr_The_Last_Days_of_the_|在第三紀元的最後之日中有進階攻城AI，跟原版的差很多。所有的攻方和守方都會被分為左翼右翼和中鋒。攻方玩家只能指揮部分自己的部下。
qstr_on_the_left_flank|在左翼
qstr_on_the_right_flank|在右翼
qstr_through_the_center|從中間
qstr_Attackers_charge_{s2|攻方向{s2}衝鋒
qstr_Attackers_charge_{s1|攻方向{s1}衝鋒
qstr_{s1}_rallied_to_your|{s1}受你的魅力鼓舞加入了你。
qstr_Last_attacker_wave._|攻方只剩最後一波了。你要撤退嗎？
qstr_Attackers_almost_def|攻方快被擊敗了。你要撤退嗎？
qstr_The_remaining_attack|剩餘的攻方逃走了！
qstr_The_remaining_defend|剩餘的守方從圍城中逃跑了！
