dlga_start:mutiny_pretalk_1|喂，{playername}。告訴你.. ^小的們在抱怨！想多點樂子，少點行軍。
dlga_start:lord_start.1|很高興再次見到你{playername}…
dlga_start:lord_start.2|我們又見面了，{playername}…
dlga_start:lord_meet_neutral|我認識你嗎？
dlga_lord_meet_neutral:lord_intro|我是{playername}。
dlga_lord_meet_neutral:lord_intro.1|我名為{playername}，聽候差遣。
dlga_lord_meet_enemy:lord_intro|我是{playername}。
dlga_lord_meet_enemy:lord_intro.1|人們叫我{playername}。記好，你將會聽到很多關於我的事績。
dlga_start:lord_start.3|好吧，{playername}…
dlga_lord_start:lord_generic_mission_completed|你的軍醫說服了我的朋友進行手術。我們現在只能為他的康復祈禱。無論如何，感謝你將軍醫借給我，{playername}。你有一顆高尚的心，我不會忘記的。
dlga_lord_start:lord_investigate_fangorn_completed0|所以，{playername}，你從法貢森林回來了。你發現了什麼？
dlga_lord_investigate_fangorn_completed0:lord_investigate_fangorn_completed1|那些樹是活著的！它們攻擊了我們的部隊！
dlga_lord_investigate_fangorn_completed1:close_window|我早就在懷疑了。你做得很好，{playername}。
dlga_lord_start:close_window|我的耐心沒了。我一直在期待你能帶給我一些法貢森林的消息，然而你仍一無所知。
dlga_lord_active_mission_2:lord_capture_troll_completed_two_trolls|主人，我為你帶來了不只一隻，而是一對野獸！
dlga_lord_active_mission_2:lord_capture_troll_completed_one_troll|主人，我征服了你要的野獸！
dlga_lord_capture_troll_completed_two_trolls:lord_capture_troll_completed_two_trolls_thankyou|兩隻野獸！棒極了，{playername}。你證明自己是有價值的，能力和奉獻必須得到回報。有了你的兩隻食人妖，我們現在不再需要沒有被用於我們實驗中的那隻。牠是個訓練有素的奴隸，準備在命令下戰鬥。我指的是你的命令下，{playername}。
dlga_lord_capture_troll_completed_two_trolls_thankyou:lord_capture_troll_completed_two_trolls_thankyou_info|野蠻的野獸也能服從命令嗎？
dlga_lord_capture_troll_completed_two_trolls_thankyou:lord_capture_troll_completed_two_trolls_thankyou_accept|感謝你，主人。你會對這個食人妖的使用方式感到滿意的。
dlga_lord_capture_troll_completed_two_trolls_thankyou:lord_capture_troll_completed_two_trolls_thankyou_refuse|感謝你，主人。但我配不上你的這份大禮。牠對我來說太危險了。
dlga_lord_capture_troll_completed_two_trolls_thankyou:lord_capture_troll_completed_two_trolls_thankyou_refuse.1|感謝你，主人。但我配不上你的這份大禮。[隊伍裡沒有空間！]
dlga_lord_capture_troll_completed_two_trolls_thankyou_info:lord_capture_troll_completed_two_trolls_thankyou|{playername}，你是在質疑主人的能力嗎？這隻野獸被訓練在戰場上攻擊目視的敵人。這就夠了。但，你和你的手下要注意遠離牠的戰鬥，永遠不要擋在牠和牠的受害者之間。
dlga_lord_capture_troll_completed_two_trolls_thankyou_accept:lord_pretalk|現在帶著你新的禮物給敵人毀滅吧
dlga_lord_capture_troll_completed_two_trolls_thankyou_refuse:lord_pretalk|那，如你所願吧。看來我得另外找一個知道怎麼使用這個強大戰爭機器的僕人了。
dlga_lord_capture_troll_completed_one_troll:close_window|棒極了，{playername}。你是個最忠實和有用的僕人。這隻食人妖對我們的目的將很有用。把牠帶到地牢吧！
dlga_lord_start:close_window.1|很久以前，我要你帶一隻活的食人妖回來。但我早該知道。我怎麼能指望像{playername}這樣的人能夠應付挑戰。我的僕人不夠熟練或忠誠吧。
dlga_lord_start:lord_generic_mission_completed.1|你對抗野生食人妖的事蹟已經傳給我了。{s12}少了一件該擔心的事，全感謝你，{playername}。
dlga_lord_start:lord_generic_mission_completed.2|我們在{s12}附近的斥候已經報告了你的成功。這可是給他們那群間諜好好地上了一課。^^摧毀這個營地無疑會停止敵人的前進。
dlga_lord_start:destroy_scout_camp_failed|我們在{s12}附近的斥候看見了你和你的人馬撤退。這很令人失望啊，{playername}。^^你的失敗造成敵方攻擊了關鍵的補給線。我們需要一些時間才能恢復。
dlga_destroy_scout_camp_failed:close_window|我下次會做得更好的。
dlga_lord_start:lord_generic_mission_completed.3|我們聽了在{s12}附近的斥候說你英勇的保衛了村莊。這些掠奪者每天都變得更大膽…^^令人感受到戰爭的臨近。再一次感謝你，{playername}。
dlga_lord_start:defend_village_failed|我們聽了在{s12}附近的斥候說你保衛村莊失敗了。村民們遭到燒殺擄掠。這群掠奪者每天都變得更大膽…^^令人感受到戰爭的臨近。
dlga_defend_village_failed:close_window|我下次會做得更好的。
dlga_lord_start:lord_generic_mission_completed.4|我們看到{s12}附近的村莊閃著火光。也聽到了尖叫聲。然而這只是開端，{playername}。^^戰爭就要來了。
dlga_lord_start:raid_village_failed|{playername}，我們看到一些你的人馬逃離了{s12}附近的村莊。你還有臉回來？ ^^戰爭已成必然，但像這樣的慘敗，你們恐怕是這場戰爭中的第一批傷亡者。
dlga_raid_village_failed:close_window|我下次會做得更好的。
dlga_lord_start:lord_target_lord_failed|我聽說你沒做到我要你做的事。令人失望啊，{playername}。
dlga_lord_target_lord_failed:close_window|我下次會做得更好的。
dlga_lord_start:lord_generic_mission_completed.5|你的人馬見證了你在戰鬥中的英姿，{playername}。你向他們展示了我軍的強大。
dlga_lord_start:kill_quest_failed|我聽說你沒做到我要你做的事。令人失望啊，{playername}。
dlga_lord_start:lord_generic_mission_completed.6|你的人馬見證了你在戰鬥中的英姿，{playername}。讓我向你表示敬意吧。
dlga_kill_quest_failed:close_window|我下次會做得更好的。
dlga_lord_start:lord_follow_spy_completed|{s4}
dlga_lord_start:lord_follow_spy_half_completed|你這他媽該死的！{playername}，我要的是兩個囚犯，但你帶給我的卻跟沒有一樣！這個間諜知道的我都知道，我要的是接應的人。來，一半的工作一半的獎賞，拿了錢快滾。
dlga_lord_start:lord_follow_spy_half_completed.1|{playername}，我要的是兩個囚犯，不是一個，是兩個。不過，我想你抓到的是接應的人，比較重要的那個。另一個間諜肯定不敢再來而他有的情報也對他的主人沒有用處。總比沒有好吧。但，你要理解你的任務只成功一半所以我付的獎賞也只會有一半。
dlga_lord_start:lord_follow_spy_failed|說真的，{playername}，你跟無能差不多。那個間諜和他的接應竟然一個也沒抓到還真是令人驚訝的大失敗啊。忘了我說的獎賞吧。你不配得到它。
dlga_lord_follow_spy_half_completed:lord_pretalk|我盡力了，{s65}。
dlga_lord_follow_spy_completed:lord_pretalk|謝謝你，{s65}。
dlga_lord_follow_spy_failed:lord_pretalk|哼。隨你便，{s65}。
dlga_lord_start:lord_generic_mission_completed.7|我已經收到報告說所有難民都被安全護送目的地了。我們感謝{playername}你的幫助。在這場戰爭中，最受折磨的往往是無辜者。
dlga_lord_start:lord_defend_refugees_failed|{playername}，我收到難民被掠奪者屠殺的報告。這非常的令人失望...
dlga_lord_defend_refugees_failed:lord_defend_refugees_failed_1a|原諒我，{s65}，我無法保衛他們。
dlga_lord_defend_refugees_failed_1a:lord_pretalk|在戰爭中最受折磨的往往是無辜者。未來可能會有更多的難民隊伍，{playername}。我希望你下次能準備得更充分。
dlga_lord_start:lord_defend_refugees_half_completed|我收到報告說只有{reg17}支難民隊伍到達目的地。很不幸，但那是戰爭的代價。未來可能會有更多的難民隊伍，{playername}。我希望你下次能準備的更充分。
dlga_lord_defend_refugees_half_completed:lord_pretalk|大人，我下次會準備得更充分的。
dlga_lord_start:lord_generic_mission_completed.8|我收到難民都被殺掉的報告了，接下來就是俘虜押送隊了...你做得很好，{playername}。這只是開端，很快我們就會統治這片土地了。
dlga_lord_start:lord_hunt_refugees_failed|{playername}，我們的間諜告訴我們你沒有攔截到{reg1}支難民隊伍。他們又慢又弱，但你仍失敗了。你究竟有什麼鳥用？
dlga_lord_hunt_refugees_failed:lord_hunt_refugees_failed_1|他們很狡猾，主人。我跟丟他們了。
dlga_lord_hunt_refugees_failed_1:lord_pretalk|如果你無法擊敗這些弱者我想你也不夠格指揮將令這個世界臣服的軍隊！^^滾，最好祈禱我會給你第二次機會。
dlga_lord_start:lord_generic_mission_completed.9|開玩笑的吧，你真的做到了，{playername}。所有的奴隸都回來了而他們也正忙著準備收穫。你無可爭議的贏得了獎賞。來，拿好，再加上我的讚賞。
dlga_lord_start:lord_bring_back_runaway_serfs_failed|{playername}。我一直在耐心等著我的奴隸，但到現在一個都沒回來。你有什麼解釋嗎？你是被林中的小動物整了，還是說你根本無能？
dlga_lord_bring_back_runaway_serfs_failed:lord_bring_back_runaway_serfs_failed_1a|請原諒我，{s65}，那群奴隸像泥鰍一樣狡猾。
dlga_lord_bring_back_runaway_serfs_failed_1a:lord_pretalk|哼，你失敗的藉口可真夠差勁，{playername}。我要走了，我得在大家挨餓之前抓些人回來種田。
dlga_lord_start:lord_runaway_serf_half_completed|你令我失望，{playername}。我要你帶回的是3組奴隸，而不是{reg17}組。現在我只好讓回來的奴隸加倍工作以減少損失了。關於你的獎賞，{playername}，我只會支付你抓到的那部分，逃跑的部分不算數。來。拿去，我們的交易結束了。
dlga_lord_runaway_serf_half_completed:lord_pretalk|謝謝你，{s65}。你真慷慨。
dlga_lord_runaway_serf_half_completed:lord_pretalk.1|呸，這果然是浪費時間。
dlga_lord_start:lord_deliver_cattle_to_army_thank|啊，{playername}。我很高興你能把{reg13}單位的{s4}如約帶給我，讓我印象深刻。
dlga_lord_deliver_cattle_to_army_thank:lord_pretalk|沒什麼大不了的，{s65}。
dlga_lord_deliver_cattle_to_army_thank:lord_pretalk.1|很榮幸為你服務。
dlga_lord_start:lord_scout_waypoints_thank|你是一名優秀的斥候，{playername}。我的傳令剛剛把你偵察{s13}、{s14}和{s15}的報告交給我了。幹的漂亮。
dlga_lord_scout_waypoints_thank:lord_pretalk|這是個簡單的任務，{s65}。
dlga_lord_scout_waypoints_thank:lord_pretalk.1|沒有我處理不來的事。
dlga_lord_scout_waypoints_thank:lord_pretalk.2|我很榮幸，先生。
dlga_lord_start:lord_mission_told_deliver_cattle_to_army|軍隊的消耗比預期中的還快，{playername}。我需要你帶給我{reg3}單位的{s4}才能確保我們的士兵在戰時不會挨餓。我不在乎你從哪裡弄到，只要盡快帶來就好。
dlga_lord_mission_told_deliver_cattle_to_army:lord_mission_told_deliver_cattle_to_army_accepted|好的，我可以幫你找到一些{s4}的。
dlga_lord_mission_told_deliver_cattle_to_army:lord_mission_told_deliver_cattle_to_army_rejected|抱歉，先生，我還有其他的計劃。
dlga_lord_mission_told_deliver_cattle_to_army_accepted:close_window|棒極了！{playername}，既然你已經知道要做什麼了，那就出發吧。我希望能盡早拿到那批食物。
dlga_lord_mission_told_deliver_cattle_to_army_rejected:close_window|這…真是不幸，{playername}。看來我得另請高明了。請走吧，我還有要事要做。
dlga_lord_start:lord_report_to_army_asked|啊，你終於來了，{playername}。我們一直等著你呢。我希望你帶來了有足夠數量和經驗的士兵。
dlga_lord_report_to_army_asked:lord_report_to_army_completed|我帶了一群既優良、又堅強的士兵。我們已經準備好加入你了。
dlga_lord_report_to_army_asked:lord_report_to_army_continue|我現在還沒有足夠的士兵。我還需要一點時間。
dlga_lord_report_to_army_completed:close_window|棒極了。有任務時我會派人告知你的。{s3}
dlga_lord_report_to_army_continue:close_window|那你最好快點。我們馬上就要動身與敵人對抗而我們需要召集所有能用的人手。
dlga_lord_start:lord_mission_told_scout_waypoints|{playername}，我需要一個能幫我做區域偵察的志願者。我們掌握的情報很匱乏，要更好的了解當前情況才能繼續。我要你去偵查{s13}、{s14}和{s15}並報告你發現的一切。
dlga_lord_mission_told_scout_waypoints:lord_mission_told_scout_waypoints_accepted|那你找到志願者了，先生。
dlga_lord_mission_told_scout_waypoints:lord_mission_told_scout_waypoints_rejected|恐怕我得拒絕。
dlga_lord_mission_told_scout_waypoints_accepted:close_window|好！你只需要經過{s13}、{s14}和{s15}並看看那裡有些什麼。記下你發現的一切並盡快向我回報。
dlga_lord_mission_told_scout_waypoints_rejected:lord_pretalk|唉，我很失望，{playername}。非常失望。之後再說吧，我得另找人幫我們偵查。
dlga_lord_start:lord_buy_prisoner|我聽說你已經俘虜了敵軍的{s3}，而且他正被你押著。幹得漂亮！^把他交給我們吧，他的有很多我們能得出的情報...^^[你將獲得{s14}的{reg14}資源點]
dlga_lord_buy_prisoner:lord_buy_prisoner_accept|好吧，他是你的了。
dlga_lord_buy_prisoner:lord_buy_prisoner_deny|我恐怕對他還有別的計劃。 
dlga_lord_buy_prisoner_accept:lord_pretalk|棒極了！我會立即派人馬把他押入我們的監獄。這將對我們的大業有很有幫助。
dlga_lord_buy_prisoner_deny:lord_pretalk|真遺憾，{playername}，他明明對我們很有價值的。
dlga_tld_intro_1:lord_pretalk|大戰指南：^^（1）派系只會在自身勢力值夠高時攻城。 ^（2）大多數據點都是可以被攻打的，只要所屬派系夠軟弱。通常，首都會是最後被攻擊的。 ^（3）如果派系失去首都，那麼就會徹底戰敗。 ^（4）勢力會因戰鬥勝利或占有特定據點而獲得勢力值。 ^（5）反之，勢力會因戰鬥失敗或失去據點而失去勢力值。 ^（6）一些任務或事件會影響派系勢力值。 ^（7）報告選單介面瀏覽所有派系的勢力值。 ^（8）查看記錄資訊頁面以取得更多TLD遊玩指南。
dlga_lord_start:lord_pretalk|啊，歡迎，{s24}。^你應該已經知道{s12}了。{playername}，你的職責是幫助我們的鬥爭。當你證明自己值得信任[等級{reg1}]時，我也會允許你使用那邊那個箱子來存放你的個人物品。
dlga_lord_start:lord_talk|什麼事？
dlga_lord_pretalk:lord_talk|還有其他的嗎？
dlga_lord_talk:lord_lend_companion_end|{s65}，如果你不再需要{s14}的服務，我希望讓{reg3?她:他}歸隊。
dlga_lord_lend_companion_end:lord_pretalk|你們一眾已經太多人了，{playername}。你暫時不能再帶領更多人了。
dlga_lord_lend_companion_end:lord_pretalk.1|當然，{playername}。{reg3?她:他}是個聰明的{reg3?女孩:小夥子}。能有這樣的同伴你真是個幸運的指揮官。
dlga_lord_talk:lord_message_delivered|我從{s9}那帶來了一封信。
dlga_lord_talk:lord_message_delivered_enemy|我從{s9}那帶來了一封信。
dlga_lord_talk:lord_active_mission_1|關於你給我的那個任務…
dlga_lord_talk:lord_request_mission_ask|你有什麼任務能給我嗎？
dlga_lord_talk:dwarf_lord_book|{s3}，我有件事必須請你過目。
dlga_dwarf_lord_book:dwarf_lord_book_give|儘管開口吧，{playername}。
dlga_dwarf_lord_book_give:dwarf_lord_book_give_a|我深入莫瑞亞的礦坑並找到了巴林一眾的記錄。
dlga_dwarf_lord_book_give_a:dwarf_lord_book_give_b|你說起我的親屬時就像他們已經逝去了。是這樣嗎？
dlga_dwarf_lord_book_give_b:dwarf_lord_book_give_c|恐怕是的。我已經進行了更進一步的搜索但只找到哥布林，很多很多哥布林。我只能帶回這個...
dlga_dwarf_lord_book_give_c:dwarf_lord_book_give_d|'我們出不去。我們出不去...他們要來了。'
dlga_dwarf_lord_book_give_d:dwarf_lord_book_give_e|正如我擔心的。我曾勸過巴林取消這次遠征但他很堅定。讓他出發的我真是個傻子。
dlga_dwarf_lord_book_give_e:dwarf_lord_book_give_f|{playername}，你已經為孤山做了很多，你的行為不會得不到獎賞的。
dlga_dwarf_lord_book_give_f:dwarf_lord_book_give_g|謝謝你，{s3}。
dlga_dwarf_lord_book_give_g:dwarf_lord_book_give_h|你現在會怎麼做？
dlga_dwarf_lord_book_give_h:dwarf_lord_book_give_i|我們不會讓我們親屬的謀殺者置之不理。我們將給那些阻擋我們的人帶來毀滅和死亡。從剛達巴山的山頂到凱薩督姆的深淵，迷霧山脈將被哥布林血染成黑色。
dlga_dwarf_lord_book_give_i:dwarf_lord_avenge|{s3}，我希望能幫{s4}的人為巴林一眾復仇。
dlga_dwarf_lord_book_give_i:lord_pretalk|祝你好運。
dlga_dwarf_lord_avenge:close_window|非常好，{playername}。帶著都靈一族的祝福去為我們的敵人帶來死亡吧。讓他們嚐嚐與我們相同的痛苦和恐懼。
dlga_lord_talk:find_lost_spears_permission|大人，我希望能進入孤山尋找布拉多辛王失落的長槍。
dlga_find_lost_spears_permission:lord_pretalk|{playername}，我已經給你許可了。
dlga_find_lost_spears_permission:find_lost_spears_permission_yes|好吧，{playername}，你可以進入山裡。
dlga_find_lost_spears_permission:lord_pretalk.1|我很抱歉，{playername}，但我不夠了解也不夠信任你。
dlga_find_lost_spears_permission_yes:lord_pretalk|我很感謝你，大人。
dlga_lord_talk:tell_dorwinion_sack|大人，我在那裡發現了一個麻袋上面繡著已經褪色的葡萄徽章。袋子裡裝著似乎曾屬於一把長槍的一些金屬和木頭碎屑。
dlga_tell_dorwinion_sack:tell_dorwinion_sack_2|非常有趣。這個古老袋子上的標誌指的應該是只產於多溫尼安的上好葡萄酒。
dlga_tell_dorwinion_sack_2:tell_dorwinion_sack_3|我還在袋中找到了這個盧恩盔。或許這能告訴我們關於長槍下落的線索嗎？
dlga_tell_dorwinion_sack_3:lord_pretalk|商隊經常在路上被搶劫。而那是個盧恩斥候盔。沿著河流向南到盧恩內海，並搜尋往多溫尼安的貿易路線你就可能會找到你尋找的東西。注意：此任務尚未完結。未完待續。
dlga_lord_talk:lord_healer_wound_ask|我聽說你是個很好的治療師。是真的嗎，然後你能幫我嗎？
dlga_lord_healer_wound_ask:lord_pretalk|{s1}
dlga_lord_healer_wound_ask:lord_healer_wound_ask_check|{s1}
dlga_lord_healer_wound_ask_check:lord_healer_wound_heal|我的人馬和我有時間無法癒合的傷口。你能治療我們的傷口嗎？
dlga_lord_healer_wound_ask_check:lord_healer_injured_ask|我和我的人馬受傷了，而我們沒有時間等傷口癒合。你能提供援助嗎？
dlga_lord_healer_wound_ask_check:lord_pretalk|現在不行。
dlga_lord_healer_wound_heal:lord_healers_wound_check|{s1}
dlga_lord_healer_injured_ask:lord_healers_injured_check|{s1}
dlga_lord_healers_injured_check:lord_healers_injured_heal|好，幫我們處理吧。
dlga_lord_healers_wound_check:lord_healers_wound_heal|好，幫我們處理吧。
dlga_lord_healers_wound_check:lord_pretalk|現在不行。
dlga_lord_healers_injured_check:lord_pretalk|現在不行。
dlga_lord_talk:ring_hunters_start|大人，為了幫你和結束這場戰爭我已經準備好接受更艱鉅的任務了。你有需要我做什麼嗎？
dlga_ring_hunters_start:ring_hunters_check|{playername}，你的豐功偉業證明自己配得上我現在要給你的任務。我相信你會盡你所能的處理這件事，但要知道我們的敵人很危險所以流血在所難免。你們一眾是否有足夠的戰鬥力？
dlga_ring_hunters_check:ring_hunters_1|是的，大人。我有一群訓練有素，身經百戰的人馬。我們不懼任何挑戰。
dlga_ring_hunters_check:ring_hunters_check_failed|恐怕沒有，大人。
dlga_ring_hunters_check_failed:lord_pretalk|那你就還沒準備好完成這項任務，{playername}。去招集更多的部隊吧。
dlga_ring_hunters_1:ring_hunters_2|棒極了。最近北方受到一群法外之徒騷擾，他們掠奪村莊並伏擊旅行者尋找各種類型的戒指。你要追捕這些強盜並了結他們的任務。他們最後一次掠奪的倖存者報告說有兩組人馬。一組將他們的戰利品帶回在幽暗密林邊緣的營地。另一組，則大舉前往比翁之屋，我擔心如果他們不受阻礙會發生什麼事。
dlga_ring_hunters_2:ring_hunters_what|大人，他們到底在尋找什麼？
dlga_ring_hunters_2:ring_hunters_accept|大人，我會盡我所能阻止這些所謂的…'戒指獵人'
dlga_ring_hunters_2:ring_hunters_reject|我還沒準備好接受這種任務。
dlga_ring_hunters_accept:close_window|憑著心中的勇氣和手中的鋒利武器你會成功的，{playername}。我們會等著你的好消息。
dlga_ring_hunters_reject:lord_pretalk|我明白了。你準備好就告訴我，但盡快，我們可不希望他們成功。
dlga_ring_hunters_what:ring_hunters_2|敵人隱藏著對我們的計謀，但我們可以看到那些流氓一心想找到他們所尋的東西。我不能透露我們所知的一切，為了平衡保密至關重要。無論他們在尋找什麼都必是強大的武器，一個能為黑暗之主來造成更多破壞的武器。
dlga_ring_hunters_what:ring_hunters_2.1|黑暗之主曾派遣使者到不同的矮人氏族，詢問關於給予我們同胞的力量之戒。這些強盜可能正在尋找它們，或類似它們的東西...真實與否，他們都不能落入黑暗之主的手中。
dlga_lord_talk:ring_hunter_party_defeated|大人，我帶來了壞消息...雖然我擊敗了恫嚇村莊的戒指獵人，他們的首領卻不在那。他們可能已經找到了他們所尋的東西。
dlga_ring_hunter_party_defeated:ring_hunter_party_defeated2|這不是壞消息，{playername}。我們聽聞了你的大勝！與任何武器相比這些村民的生命對我們更重要。在我們說話的同時，比翁人正在積蓄力量，為你的勝利而振奮著。而且，我們不相信這些戒指獵人找到了他們所尋之物。如果它是我們擔心的武器，那麼我們應該會感受到一些...干擾。
dlga_ring_hunter_party_defeated2:ring_hunter_quest_end|那，那就好。無論他們找的是何種武器…他們大概還在搜尋它。我會保持警惕留意這些戒指獵人的。
dlga_ring_hunter_quest_end:close_window|我們都會的。再一次感謝你所做的一切，{playername}。
dlga_lord_talk:ring_hunter_lair_defeated_elf|大人，雖然我無法阻止戒指獵人恫嚇村莊，但我在他們的巢穴中擊敗他們的首領。他們擁有這個東西。
dlga_ring_hunter_lair_defeated_elf:ring_hunter_lair_defeated|我看看，一個戒指，但不是那個戒指。一個連強大都算不上的戒指，但也不僅是區區飾品。裡面編織了一些力量。
dlga_ring_hunter_lair_defeated:ring_hunter_lair_defeated2|那我們從黑暗之主的爪牙中奪走它就是對的，還好在他用它將黑暗滲透到大陸人們的心中之前。
dlga_ring_hunter_lair_defeated2:ring_hunter_lair_quest_end|你要用這個戒指來對抗敵人的軍隊。我信任你能好好地使用它。
dlga_ring_hunter_lair_quest_end:close_window|這是我的榮幸，大人，謝謝你！我的心將保持真誠而武力強大。
dlga_start:ring_hunters_party_attack|看看這裡，弟兄們。更多的待宰羔羊。
dlga_ring_hunters_party_attack:ring_hunters_party_attack_2|你的肆虐到此為止。
dlga_ring_hunters_party_attack_2:close_window|檢查他們的行囊和手指。留一個來拷打。其他人都吃掉！
dlga_start:ring_hunter_lair_defeat|那個戒指屬於黑暗之主！你無權持有！
dlga_ring_hunter_lair_defeat:ring_hunter_lair_defeat2|它現在是我的了。
dlga_ring_hunter_lair_defeat2:close_window|你認為你獲得了大勝嗎？贏了個微不足道的，還差不多。呸！我們的戰團在你到達之前早就出發了。你根本沒救到他們追殺的人！
dlga_start:beorn_message|{大人/女士}，我們收到來自{s1}的警告說有一大群法外戰團正在向著我們的方向邁進！更糟的是，我們沒有時間聚集足夠的戰士。在聽到戰場的喧囂聲後，我們只能做最壞的打算！
dlga_beorn_message:beorn_message2|那不是普通的一團法外之徒。他們是黑暗之主爪牙中最棘手的，至少在北方這裡是這樣。然而，他們的首領，不在這裡。他們的巢穴鄰近幽暗密林而我必須趕緊行動。
dlga_beorn_message2:beorn_message_end|是的，我們也被警告關於營地的事並派了斥候。我們看到他們燒掉它後迅速前往魔多。如果你選擇先趕到那裡，你可能無法幫助我們。我們真的很感激你的勝利！
dlga_beorn_message_end:beorn_message_close|我必須回報這場戰鬥給{s1}。回到你的村莊並派遣斥候。可能還有掉隊的。
dlga_beorn_message_close:close_window|是的，指揮官。我們將保持警惕並從遠處的小村調派更多人馬。你今天的勝利鼓舞了我們所有人。
dlga_lord_give_troops:lord_give_troops_check|增援我的隊伍？多點士兵總是不錯。
dlga_lord_give_troops:lord_pretalk|很遺憾你沒有任何來自{s14}的士兵能增援我。
dlga_lord_give_troops_check:lord_give_troops_check_1|讓我查查士兵名冊…
dlga_lord_give_troops_check_1:lord_pretalk|所以你改變主意了… ^我明白了。
dlga_lord_give_troops_check_1:lord_pretalk.1|我用不著這些部隊…^把他們帶回去吧。
dlga_lord_talk:lord_get_reward_item_ask|我想請求一件特殊物品。
dlga_lord_get_reward_item_ask:lord_talk|看來你的物品欄沒有多餘的位置了。先騰些空間，然後再來吧。
dlga_lord_get_reward_item_ask:lord_get_reward_item|真的嗎？記得你必須達到一定的階級並付出可觀的影響力才能獲得特殊物品。^我能給你什麼？
dlga_lord_get_reward_item:lord_get_reward_item_answer|{s24}：{s20}[花費{reg14}/{reg15}影響力]
dlga_lord_get_reward_item:lord_pretalk|那算了。
dlga_lord_get_reward_item_answer:lord_pretalk|好吧。希望這能助你征服我們的敵人。
dlga_lord_talk:marshall_ask|關於戰事我想給你一點諫言。
dlga_marshall_ask:lord_pretalk|{playername}，你只是{s25}所以我不會接受你的意見。如果你是{s24}我會更認真聽你說，但你不是。
dlga_marshall_ask:lord_pretalk.1|你是一個有成的指揮官，{playername}，但是你的影響力正在減弱。聽取你的意見可能不夠慎重。^[需要{reg15}影響力，目前只擁有{reg14}]
dlga_marshall_ask:lord_pretalk.2|我們現在很難正面對抗我們的敵人，{playername}。我們還需要先凝聚我們的勢力，目前我們僅僅是{s23}的。
dlga_marshall_ask:marshall_suggest|我在聽，{playername}。你有什麼建議？
dlga_marshall_suggest:lord_give_order_assault|只要你我同心協力，我們可以拿下{s11}。你應該馬上攻擊...[花費{reg1}/{reg2}影響力]
dlga_marshall_suggest:marshall_answer|我們現在應該前往圍攻{s1}。
dlga_marshall_suggest:lord_pretalk|算了，我相信你的判斷。
dlga_player_siege_discuss:player_siege_discuss_1|我在聽，大人。
dlga_player_siege_resource_check:lord_pretalk|不，現在時機還未成熟。
dlga_player_siege_check_passed:player_siege_accept|很好。去吧，{playername}，與{s2}的祝福同行。我們指望你帶領我們的同胞取得勝利。
dlga_player_siege_accept:close_window|謝謝你，大人。我不會讓你和{s2}失望的。
dlga_marshall_answer:close_window|{playername}，我將遵從你的判斷。我現在就派出傳令集結部隊。^跟緊吧-我們要向{s4}進軍！
dlga_lord_talk:deliver_gift_1|我從{s3}帶來了送給{s2}之民的{s1}當禮物。
dlga_send_gift_1:lord_pretalk|你已經{s4}了，{playername}，把那個先送達比較明智吧。
dlga_send_gift_1:lord_pretalk.1|很遺憾，{playername}你現在付擔不起送出這份禮物。^^[資源點不足]
dlga_send_gift_1:send_gift_2|好吧。你想要送禮物給誰？
dlga_send_gift_1:send_gift_2.1|好吧。你想要賄賂誰？
dlga_send_gift_2:lord_pretalk|算了。
dlga_send_gift_3:send_gift_4|你想要給他們什麼禮物？
dlga_send_gift_3:send_gift_4.1|你想拿什麼賄賂他們？
dlga_send_gift_4:lord_pretalk|算了。
dlga_send_gift_5:lord_pretalk|好吧{playername}。祝你好運。
dlga_lord_talk:lord_give_order_ask|我有一個新的任務要給你。
dlga_lord_give_order_ask:lord_give_order|是？
dlga_lord_give_order:lord_give_order_answer|跟隨我。[花費{reg1}/{reg2}影響力]
dlga_lord_give_order:lord_give_order_details_ask|前往…[花費{reg1}/{reg2}影響力]
dlga_lord_give_order:lord_give_order_details_ask.1|在…附近巡邏[花費{reg1}/{reg2}影響力]
dlga_lord_give_order:lord_give_order_details_ask.2|在…附近迎擊敵人[花費{reg1}/{reg2}影響力]
dlga_lord_give_order:lord_give_order_assault|只要你我同心協力，我們可以拿下{s11}。你應該馬上攻擊...[花費{reg1}/{reg2}影響力]
dlga_lord_give_order_assault:lord_pretalk|{s4}正在指揮這場圍城。我建議你跟他談談。
dlga_lord_give_order_assault:lord_pretalk.1|我們的準備還不夠充分！我們還需要{s11}
dlga_lord_give_order_assault:close_window|很好--攻擊城牆！
dlga_lord_give_order:lord_give_order_stop|我暫時不需要你。你可以自由行動。
dlga_lord_give_order:lord_pretalk|算了。
dlga_lord_give_order_details_ask:lord_give_order_details|哪裡？
dlga_lord_give_order_details:lord_pretalk|算了。
dlga_lord_give_order_stop:lord_pretalk|好吧。我這就去。
dlga_lord_give_order_answer:lord_pretalk|我很抱歉。還有別的地方正需要我。
dlga_lord_give_order_answer_2:close_window|我這就去。
dlga_lord_give_order_answer_2:lord_pretalk|我很抱歉，這件事我根本做不到。
dlga_lord_talk:lord_talk_ask_something|我想問你一些事。
dlga_lord_talk_ask_something:lord_talk_ask_something_2|蛤？什麼事？
dlga_lord_talk_ask_something_2:lord_talk_ask_location|我想知道某人現在的位置。
dlga_lord_talk_ask_something_2:lord_tell_objective|你和你的人馬正在做什麼？
