
str_yes|是。
str_npc16_backstory_b|在我的家鄉畢額丘斯是兇猛的一族，被西方人屠殺到剩沒幾個人。像野獸一樣被追趕或是作為刀刃的餌食。那些刀刃上流淌的血液和在我體內流動的是同樣的，在我心中一族尚存。
str_npc17_backstory_b|你可以從樹上取得很多有用的東西，你知道的。我就是這麼做的。我的工作圍繞著樹然後我從樹上弄出東西。有時樹叢也可以。但我更喜歡樹。
str_npc1_backstory_c|然而，在伊錫利恩這敵方有著令人絕望的數量優勢所以如果沒有攝政王派來的援軍或更果膽的行動我們恐怕不能堅持多久。假設能在某處做出更大貢獻我會很願意去的，前提是我的法拉墨隊長許可的話。
str_npc2_backstory_c|儘管我在這裡的職責很重要，我還是想見識見識什麼是真正的戰鬥...還有精靈或會說話的樹以及毛象等等！指揮官，你看起來遊歷豐富，當然我不是指你的外表，也不是猜的。我學東西很快也會煮飯...呃，至少以士兵的標準來說啦。如果我沒搞錯你正在尋找志願者對吧？
str_npc3_backstory_c|然後，我就在這了，既丟臉又悲慘。我的伊奧雷德大概早就在好幾英里之外，我也沒什麼機會追上他們了，至少在半獸人和野人四處遊蕩的情況下沒辦法。你有沒有需要一位不錯的洛汗騎手？
str_npc4_backstory_c|你可能知道，身為女性，哪怕武藝再出色，也沒法和伊歐雷達斯一同出征。但，我並不認為在爐邊等待戰士們回來是屬於我的命運。我不會讓在這場戰爭中達成偉業的機會從我身邊溜走，戰士啊，我會很歡迎你協助我的。
str_npc5_backstory_c|然而，如果羅斯洛立安的敵人逃跑的話，我倒是會考慮加入你一段時間，{playername}。我可以感覺到我們的命運在這場戰爭中是相互交織的。
str_npc6_backstory_c|但你不會懂吧，我是這麼想的，鑑於你正在為戰爭做準備。但你的旅途一定又廣又遠-你見過其他的巨大森林嗎？你能帶我去那裡嗎？
str_npc7_backstory_c|雖然有一說打鬥不適合有我這種血脈和氣質的矮人戰士。但我聽說你的旅途中有很多戰鬥而且你的大業也是對矮人有益的。我知道某個會戰鬥的矮人可以大大提高你的生存機率喔。
str_npc8_backstory_c|雖然我聽說別處有很多戰鬥但所幸我們這裡還沒被波及。從你鎧甲上的刮痕看來你似乎歷經很多危險。或許我謙卑的技能可以好好的幫助你們一眾，為了大家的福祉。
str_npc9_backstory_c|我是一名戰鬥強獸人，也是個狂戰士！凡是殺人需要的技能，我都會。我曾為白掌效忠，但現在白掌大概想把我推進火坑裡吧。^^我想跟你走，在艾辛格的奴隸們專心磨牙的時候去殺南方的人類。
str_npc10_backstory_c|也許你能當我的下一個主人。
str_npc11_backstory_c|好吧，好吧！就算我的鼻子不行。我的眼睛總比我的鼻子好吧。啊！但我的鼻子不好是因為我不知道什麼味道屬於什麼。告訴你，我都不知道我該找什麼東西。啊！我只要出去聞聞看不同的地方就好了吧。
str_npc12_backstory_c|呃，如果有機會，我一定會跟幾個信任的小夥子溜出去，到有很多戰利品，而沒有老大的地方。我想去別的沒有他們的地方，就像以前一樣。
str_npc13_backstory_c|我跟著我的親屬向北走，響應他黑暗的號召，並履行我對同胞的責任。但在他們的眼中我只能看見黑暗所以我想在別的地方為這場戰爭貢獻，直到我生命的沙漏不再流淌為止。就算是現在我也覺得距離從點滴變成奔流的日子不遠了。
str_npc14_backstory_c|然而真正的黑暗之潮已經到來，一波黑暗的陰影，凡人前所未見潮流將在這片大陸上湧起。我渴望主宰這潮流，但我卻沒有夠堅強的船員能讓我乘上去。
str_npc15_backstory_c|自從我離開隧道已經過了很多個冬天了，我一直把黑色森林當成家並練習我的技術。我過的很好。直到有天某個身有白色刺青的醜陋大混蛋出現了-呃！白的！就像精靈的臉！-他們，都是大混蛋。他們把我森林裡的小窩燒了，害我之後得躲在洞穴裡...就是這裡...話說，你有吃的嗎？一匹好馬之類的？
str_npc16_backstory_c|那是好幾個世代以前了，不同的時代，但悲傷的故事到此為止了。我同胞的復仇將至而我會將他們的復仇烙印在西方的土地上。由我親手，將他們的家園毀滅並讓他們的氏族滅絕。
str_npc17_backstory_c|如果你打算進森林裡面，我或許可以一起來並向你介紹樹？那裡有很多有趣的樹，你知道吧。
str_npc1_backstory_later|我曾領著斥候小隊前往南方，遠至艾明亞南。無數的半獸人倒在我們的伏擊下。但，那只是杯水車薪，我們有看見無數的噁心生物在邁進。我很憂心伊錫利恩和剛鐸的命運。
str_npc2_backstory_later|我們最近只有少數訪客，而且來的越來越少。我認為那可不是個好兆頭。
str_npc3_backstory_later|我的伊奧雷德依舊沒有任何消息，我有點想要騎馬撞倒一些半獸人了。
str_npc4_backstory_later|越來越多的騎手帶著破碎的身軀回來了，而我盡我所能的給予援助。但我還是有種被困在籠子裡的壓抑感。
str_npc5_backstory_later|你重新考慮過了嗎？星辰之子的時間不多了。
str_npc6_backstory_later|我已經觀察一個巨型蜘蛛的巢好幾天了。醜陋的生物，是我對牠們的第一印象，但現在看來牠們會把入侵者拒於門外。你是來要我跟你一起旅行的嗎？
str_npc7_backstory_later|建造防禦工事是任何矮人都能做的。但我也想用用我的斧頭。讓我跟著你吧。
str_npc8_backstory_later|吾王又再次召見我了，這次是因為嘔吐。我希望他的身體狀況不是被戰事所影響的。你也有便祕或嘔吐的困擾嗎？
str_npc9_backstory_later|你以為我在做什麼？葛魯姆正在等著某偷偷摸摸的奴隸把他弄死呢。把我帶走吧-我會好好服從你的。
str_npc10_backstory_later|你重新考慮過了嗎？我會好好服從你的。
str_npc11_backstory_later|啊！是你！我聞到你了，我就知道你來了！你會跟老大說這些的，對吧？他們以為我被踢出追蹤者的行列就能嘲笑我，他們錯了，我會把箭射進他們肚子裡的。那會是誰的責任？不是我的！
str_npc12_backstory_later|我得到命令。任何我的小夥子們在這裡發現的入侵者都要好好的被剝下；牙齒、指甲、頭髮等等。但我手下有看守。我們知道外面有些有趣的事發生了：老大要開戰，之類的。他們說，大傢伙們會去西方。待在這裡什麼都不做我可不服啊。
str_npc13_backstory_later|我在黑暗的大業中扮演了重要的角色，北方人再一次的懼怕著南方。我可以預見到偉大的勝利就在面前，我們會讓他們血流成河。但每次勝利我都會看到親屬更加遭到腐蝕，他們的內心被他的邪惡意志扭曲。這真令我絕望。
str_npc14_backstory_later|陌生人你又回來了，這可能是一個預兆吧。我一直在觀察海洋，他們變暗了。海洋會改變一個人的眼睛，教他如何用眼睛傾聽她的語言。
str_npc15_backstory_later|很多偉大的人都曾來請求我製藥以治療他們的疾病。甚至連戀馬者和白臉精靈都有，但我卻得放棄我的小屋，還有...好吧，偉大的大人，我戰鬥時是不太走運，但你會感激我的技能的...
str_npc16_backstory_later|我們同胞的歷史很長時間都圍繞著這塊土地。我不知道他們卑鄙的歷史在進入這塊土地前是怎麼說我們同胞的，但我們同胞回來之後他們的歷史就會充滿著黑暗與悲傷。用充滿馬蹄與刀和箭的風暴，我們會把他們像畢額丘斯那樣滅亡的。
str_npc17_backstory_later|我前幾天看到了一顆非常老的松樹。松樹可以變得很老。你要尊重老樹。但我也見過一點都不尊重樹的人。你尊重樹，對吧？
str_npc1_backstory_response_1|如果你可以走的話，我確實需要一名有經驗的戰士和追蹤者。
str_npc2_backstory_response_1|你是對的，我的確正在尋找志願者。
str_npc3_backstory_response_1|如果你能不喝酒的話，我會很歡迎優秀騎兵的。
str_npc4_backstory_response_1|我很歡迎洛汗執盾女的幫助，妳願意的話。
str_npc5_backstory_response_1|請原諒我冒昧的請求，但我們一眾在接下來的戰鬥中會很需要你的才能。
str_npc6_backstory_response_1|我們會在中土世界旅行，是為了守護一切美好的東西，並把戰鬥帶給我們的敵人。
str_npc7_backstory_response_1|的確，我們一眾很歡迎矮人戰士的加入。
str_npc8_backstory_response_1|我們的確需要一名治療師和藥師。
str_npc9_backstory_response_1|我想我們用的上一名狂戰士。
str_npc10_backstory_response_1|你會的。
str_npc11_backstory_response_1|跟我走如何？
str_npc12_backstory_response_1|跟我溜出去如何？
str_npc13_backstory_response_1|跟隨我如何？
str_npc14_backstory_response_1|加入我如何？
str_npc15_backstory_response_1|啊哈...治療師，呵？你說，技術還不錯嗎？這樣的話我應該用的上你。
str_npc16_backstory_response_1|你在這裡做什麼？
str_npc17_backstory_response_1|好吧，學到更多關於樹的事總不是問題。我們歡迎你的加入。
str_npc1_backstory_response_2|我很遺憾。願你的信心能維持你的英勇。
str_npc2_backstory_response_2|不，抱歉。我正在找經驗豐富的戰士。
str_npc3_backstory_response_2|不，抱歉。我正在找更可靠的人。
str_npc4_backstory_response_2|我很抱歉，女士，我沒辦法幫妳。
str_npc5_backstory_response_2|等羅斯洛立安脫離險境後我會再回來的。
str_npc6_backstory_response_2|不，抱歉。我們不能帶著拖油瓶。
str_npc7_backstory_response_2|不，抱歉。我們自己來就夠了。
str_npc8_backstory_response_2|不，抱歉。我們只有在需要時才會拜訪治療師。
str_npc9_backstory_response_2|呸！我不會相信叛徒的。
str_npc10_backstory_response_2|我不需要你，奴隸。
str_npc11_backstory_response_2|我對你的偷雞摸狗一點興趣也沒有。
str_npc12_backstory_response_2|老大知道什麼才是最好的。你最好遵守命令。
str_npc13_backstory_response_2|那就是屬於你的苦命。
str_npc14_backstory_response_2|我受夠了。
str_npc15_backstory_response_2|呸！我需要鬥士，而不是偷雞摸狗的人。
str_npc16_backstory_response_2|我受夠了。
str_npc17_backstory_response_2|不，我很抱歉。我們要去的是戰場，不是植物考察。
str_npc1_signup|法拉墨隊長肯定會理解中土世界還有其他人能夠用英勇和勇氣把敵人拒於門外的。
str_npc2_signup|哦，真是個好日子！我很樂意加入你們一眾。
str_npc3_signup|相信我，指揮官，比起麥酒我更渴望勝利的滋味。你要是能帶我好好跟敵人較量，他們很快就會嚐到洛汗長槍的厲害了。
str_npc4_signup|我很願意，希望你們一眾已經準備好迎接我了，指揮官。
str_npc5_signup|我明白了。我得承認我有聽過你的名聲與功績。
str_npc6_signup|我不喜歡戰爭中的暴力和武器，但我至少還知道該怎麼保護好自己。
str_npc7_signup|我專精使用斧頭，用來揮砍或投擲的都可以。如果你讓我和商人交涉的話我也懂如何殺價。我還有一雙知道該怎麼在敵人身上發現戰利品的慧眼。
str_npc8_signup|真的嗎？那，我只需要一點時間來打包我的藥草和配方就好了。
str_npc9_signup|我比你所有的奴隸加起來都有價值。戰鬥強獸人永不撤退。
str_npc10_signup|真的嗎？我的加入會助益良多的。
str_npc11_signup|跟你結伴同行啊？啊！我聽說了西方的不少事情，掠奪什麼的，好幾百個我們的小夥子都在那。我一樣會跟著你的，看看你要去幹啥。
str_npc12_signup|跟你們這群一起走，是嗎？我可能終於有點走運了。我認為，我還蠻能打的，而且我的鞭子也很機靈。它嚐過我手下半獸人的不少皮肉了。
str_npc13_signup|如果你接受的話我會跟隨你的。我的腿可以讓馬匹聽話而我的手習慣揮舞半月彎刀。我的手指可以讓箭像流星般飛向敵人，不管是騎馬還是走路，我都會聽從你的指揮戰鬥。
str_npc14_signup|或許吧，要知道我不是竊賊或是土匪。我既不會偷東西，也不會奪人所需。
str_npc15_signup|呵-呵。你是對的！沒錯！你真明智，偉大的隊長。
str_npc16_signup|我在等命令，隨著每秒過去我的心都越來越黯淡。我沒辦法繼續等著距離遙遠就連存在都像傳說一樣的隊長和領主們的命令了。他們輕聲說著的命令都是由下人帶到前線的。我等著，而與我，我同胞的復仇也等著。
str_npc17_signup|太好了！我知道很多樹。很快你也會知道很多樹的。就像我一樣。因為我知道很多樹。
str_npc1_signup_2|我需要幾分鐘跟我的隊長道別並收拾行囊。
str_npc2_signup_2|我要先跟我的軍士道別然後我們就能出發了-真期待見證輝煌的戰鬥和形形色色的奇怪生物！
str_npc3_signup_2|我一直在這裡等著某人帶我走，所以我只要備好馬就能出發了。
str_npc4_signup_2|我已經用弓箭和擲槍狩獵過了很多次了，這次我將在你的指揮下狩獵半獸人。另外我也能治療所以肯定會很有用的。
str_npc5_signup_2|或許加入你們一眾並在料想不到之處給予打擊，可以破壞敵人的平衡。我會跟著你的。
str_npc6_signup_2|也許我可以教你怎麼移動的更快速並發出更少噪音。我們走吧。
str_npc7_signup_2|如果你能管好隊伍中的高個子們，尤其是那些鬼鬼祟祟的精靈，我會很高興加入你的。
str_npc8_signup_2|不過我必須先警告你，我在戰場上沒什麼用處。不過我相信你能保護好我這種年紀的女人對吧。
str_npc9_signup_2|你最好快點決定，這裡的守衛起疑了。
str_npc10_signup_2|你不會後悔帶上我的。
str_npc11_signup_2|外面有很多東西可以讓我的鼻子去聞，讓我的刀刃去品嚐。我的鼻子現在不懂但它學東西的很快的。你怎麼說？
str_npc12_signup_2|我會讓你手下那群渣渣搞懂多一條鞭子多一條法子的。如果他們能成受住的話，他們會變得更強的。你說呢？
str_npc13_signup_2|但，請知道，我只忠於我的親屬。我戰了很久也失去了很多。我會跟他們的命運同甘共苦。
str_npc14_signup_2|幸運的是死人不需要財寶而我也很幸運的有著能協助收回死人財寶的技能。
str_npc15_signup_2|哦，真是博扎格天賜者偉大的時刻，這也是偉大的領袖你的！我們將一起征服！你，有了我這雙治愈巧手將無人能擋！我，則作為偉大的半獸人智者支持你！
str_npc16_signup_2|我恐怕沒辦法再等下去了。我想加入下一個出發的隊伍，不管我的酋長同不同意都會。我怕戰爭在我加入之前就會結束了。
str_npc17_signup_2|我只需要去拿些我的工具，然後就能出發了。順著這條路有顆橡樹我一定要帶你去看看！
str_npc1_signup_response_1|我確實需要一名技藝精湛的遊俠，歡迎你加入。
str_npc2_signup_response_1|太好了。在這個黑暗的時代我們總是需要開心果的。
str_npc3_signup_response_1|很好。備馬吧-我們很快就會出發了。
str_npc4_signup_response_1|令人印象深刻。女士，只要妳準備好，我們隨時都可以出發。
str_npc5_signup_response_1|能讓精靈領主加入是我們的榮幸。
str_npc6_signup_response_1|好吧。我希望妳不會一見到半獸人就逃跑。
str_npc7_signup_response_1|好吧，矮人先生，歡迎你加入我們。
str_npc8_signup_response_1|我保證，妳跟我們在一起會很安全的。我們很快就會出發了。
str_npc9_signup_response_1|好吧。遵守命令，你就能吃香喝辣。
str_npc10_signup_response_1|好吧。我們走。
str_npc11_signup_response_1|好吧。我們走。
str_npc12_signup_response_1|我想我們能夠讓你一展所長的。
str_npc13_signup_response_1|我想我們能夠讓你一展所長的。
str_npc14_signup_response_1|好吧。我們走。
str_npc15_signup_response_1|哼。我欣賞你的...自信。打包你的裝備吧。
str_npc16_signup_response_1|跟隨我如何？
str_npc17_signup_response_1|好極了！我只希望你不要無時無刻都說著關於樹的事。
str_npc1_signup_response_2|我目前不需要你的協助，祝你好運。
str_npc2_signup_response_2|抱歉，我改變主意了。
str_npc3_signup_response_2|抱歉，我改變主意了-也許下次吧。
str_npc4_signup_response_2|向妳致歉，女士，也許下次吧。
str_npc5_signup_response_2|仔細想想，或許我們自己就夠幫助羅斯洛立安了。
str_npc6_signup_response_2|抱歉，我根本無法想像妳在戰場上的樣子。
str_npc7_signup_response_2|抱歉，我還蠻喜歡精靈的。
str_npc8_signup_response_2|我很抱歉，我們一眾裡的每個人都得上戰場。
str_npc9_signup_response_2|我改變主意了。正在找你的人可能會來找我。
str_npc10_signup_response_2|我改變主意了。
str_npc11_signup_response_2|我不需要你，奴隸。
str_npc12_signup_response_2|我改變主意了。
str_npc13_signup_response_2|我改變主意了。
str_npc14_signup_response_2|我改變主意了。
str_npc15_signup_response_2|事實上，我想我要找的是真正的治療師而不是個只會吹牛的。
str_npc16_signup_response_2|我受夠了。
str_npc17_signup_response_2|話說回來，我想我改變主意了。你有點瘋了，對吧？
str_npc1_payment|我很想加入你，但我的法拉墨隊長更需要我在這裡。[花費{s14}的{reg14}影響力]
str_npc2_payment|恐怕，守衛軍士不會讓我離開這裡的。[花費{s14}的{reg14}影響力]
str_npc3_payment|呃，看來我在這裡的酒館可是欠了不少賬，在付清之前我是走不了的。[花費{s14}的{reg14}影響力]
str_npc4_payment|我很想加入你，但要是我走了之後城市被攻擊要由誰來照顧傷員呢？[花費{s14}的{reg14}影響力]
str_npc5_payment|我們會很快就一同踏上旅途的。雖然在出擊前被敵人得知我的存在意外程度就會降低。但羅斯洛立安也還需要我。[花費{s14}的{reg14}影響力]
str_npc6_payment|我很想加入你，但我的職位在此。[花費{s14}的{reg14}影響力]
str_npc7_payment|我很想加入你，但在需要人手的時刻離開這裡是不會被我尊貴的父親德瓦林理解的。[花費{s14}的{reg14}影響力]
str_npc8_payment|我還是不能放棄我的職責，吾王仍需要我。而且我也很擔心他的健康。[花費{s14}的{reg14}影響力]
str_npc9_payment|我很想跟你走，但大門的守衛是不會放行的。^相信我，我試過了。[花費{s14}的{reg14}影響力]
str_npc10_payment|我很想加入你，但我的職位在此。[花費{s14}的{reg14}影響力]
str_npc11_payment|我只需要某個人去搞定老大。我們當然能等他睡著再溜走，但如果有高層的人就能逼他閉一隻眼啦。是吧！[花費{s14}的{reg14}影響力]
str_npc12_payment|嘿！喲！我需要提醒小子們把他們的臭嘴閉緊點否則要是老大知道他們肯定會來找我的，他們一定會的。[花費{s14}的{reg14}影響力]
str_npc13_payment|可是酋長們不會放我離開的。你有辦法說服他們嗎？ [花費{s14}的{reg14}影響力]
str_npc14_payment|要說服避風港的船長讓我離開得費些功夫。你只要搞定他我們就能一起出海面對這場風暴了。[花費{s14}的{reg14}影響力]
str_npc15_payment|啊，是的。偉大的戰士大人！只不過還有點小問題！對我不公不義，這個洞穴的主人不喜歡我提議治療，偷了我所有的裝備！大膽！竟敢偷偉大的博扎格的東西！主人，我沒法從他的骯髒的爪子下收回我無價的裝備！[花費{s14}的{reg14}影響力]
str_npc16_payment|我不會追隨你，我有自己的路要走；但你的路會跟我的重疊一陣子。但，在我們出​​發之前我必須先向那些先逝之人表達敬意。表達你的敬意然後我們就可以離開了。我們都不能忘記自己的祖先。他們也不會忘記我們的。[花費{s14}的{reg14}影響力]
str_npc17_payment|我喜歡樹，但我的老叔叔需要我在這裡。[花費{s14}的{reg14}影響力]
str_npc1_payment_response|不用擔心，我會和他解決好你離開所帶來的問題的。 [花費{reg14}/{reg15}影響力]
str_npc2_payment_response|別擔心，我會和你的軍士詳談的。[花費{reg14}/{reg15}影響力]
str_npc3_payment_response|我會幫你結清所有賬單的。這最好值得我的付出。[花費{reg14}/{reg15}影響力]
str_npc4_payment_response|這的確是個高尚的大業，但我相信還是能找到替代人選的。[花費{reg14}/{reg15}影響力]
str_npc5_payment_response|相信我，你加入我會比較好。[花費{reg14}/{reg15}影響力]
str_npc6_payment_response|從今以後，妳的職責就是跟著我。[花費{reg14}/{reg15}影響力]
str_npc7_payment_response|德瓦林先生會理解一個適合戰鬥的矮人不該和敵人分開太久的。[花費{reg14}/{reg15}影響力]
str_npc8_payment_response|國王的健康是很重要，但跟著我妳能拯救更多的生命。[花費{reg14}/{reg15}影響力]
str_npc9_payment_response|哦，但跟我在一起的話，守衛是不會敢阻攔你的。[花費{reg14}/{reg15}影響力]
str_npc10_payment_response|從今以後，你的職責就是跟著我。[花費{reg14}/{reg15}影響力]
str_npc11_payment_response|別管你的老大了，你現在服從於我。[花費{reg14}/{reg15}影響力]
str_npc12_payment_response|你的小子們很快就會得到新的命令了，我會處理高層的。[花費{reg14}/{reg15}影響力]
str_npc13_payment_response|他們很快就會改變觀點了，因為現在我才是你的酋長。[花費{reg14}/{reg15}影響力]
str_npc14_payment_response|你不用再擔心你的舊港務長了。[花費{reg14}/{reg15}影響力]
str_npc15_payment_response|無價的，是吧？那我會幫你拿回裝備的。[花費{reg14}/{reg15}影響力]
str_npc16_payment_response|向祖先獻上敬意吧，你我的都是。[花費{reg14}/{reg15}影響力]
str_npc17_payment_response|你叔叔沒問題的。你跟我走吧。[花費{reg14}/{reg15}影響力]
str_npc1_morality_speech|隊長，我不明白你為何{s21}並且放棄我們的人馬。法拉墨隊長從來都沒有失去對於麾下游俠的同情心也不會導致他們無端受苦。
str_npc2_morality_speech|希望你不介意我說這些，但看著我們{s21}卻一言不發對我來說還是有點難。也許我該試著變成更堅強的士兵，但如果你可以多…在乎一點我們的士兵，我會睡的比較好。
str_npc3_morality_speech|指揮官，我們埃奧爾族永不會{s21}。我們的馬不會輕易疲勞，一旦我們重組陣型，沒有什麼是算好時機的衝鋒解決不了的事情。下次我們處於劣勢時候請你留心吧。
str_npc4_morality_speech|不要在意士兵們的言論，有時{s21}是最明智的行為。我相信留得青山在，不怕沒柴燒，命運會眷顧讓我們能再戰的。
str_npc5_morality_speech|你必須重新考慮你的行為，指揮官。 {s21}會使我們跟敵人沒兩樣還會失去我們友方的信心。
str_npc7_morality_speech|我對你作出{s21}的決定感到不高興。戰死是任何腦袋正常的矮人心中的榮耀，而被懦夫帶領則是恥辱。要是我的表親們知道這件事他們會怎麼說我呢？
str_npc8_morality_speech|指揮官，我必須提出反對，{s21}對任何人來說都是嚴酷且不必要的。我會盡我所能減少他們的痛苦，但請別再犯這麼嚴重的錯誤了。
str_npc9_morality_speech|戰鬥強獸人永不{s21}。如果主人只剩一點膽子…或許某天早上就一點也不剩了喔。葛魯姆說過了喔。
str_npc15_morality_speech|你可能覺得偉大的博扎格可以治愈一切，{playername}，但哪怕是我也有極限！如果你繼續{s21}哪怕連我的才能也是不夠的！你必須給我一些支持！我沒辦法復活死者，不管是他們是餓死或被切成好幾塊都一樣！
str_npc1_2ary_morality_speech|隊長，我作為登丹人長大，無論英勇或榮譽都是。我比較希望我們不會{s21}。
str_npc4_2ary_morality_speech|請你原諒，指揮官。像我這樣的女人寧願接受死亡也不想受辱。{s21}是對我的馬和祖先的侮辱。
str_npc15_2ary_morality_speech|嗨-嗨-嗨！你真狡猾，噢大人！你收下了黃金，點了頭，說'是的，主人'但原來你都在計劃這個！嗨-嗨！只是，我們必須小心點，確保大傢伙看不見你欺騙他…
str_npc1_personalityclash_speech|我提過我討厭{s11}嗎？
str_npc2_personalityclash_speech|我提過我討厭{s11}嗎？
str_npc3_personalityclash_speech|指揮官，我們一眾裡為何會有{s11}的存在啊？我知道他的腿上功夫很靈活，但我不喜歡他一直講關於埋伏的話題-跟他同胞的謹慎性格差不多。
str_npc4_personalityclash_speech|我提過我討厭{s11}嗎？
str_npc5_personalityclash_speech|我提過我討厭{s11}嗎？
str_npc6_personalityclash_speech|{playername}，我剛剛看到{s11}踩過了一個滿是雛鳥的鳥巢。他的笨拙摧毀了那些無辜的生命。
str_npc7_personalityclash_speech|{s11}大人在戰鬥中表現得很好，但我不知道他是不是用頭髮閃瞎他的敵人？或是讓他們為他的名聲和高貴舉止折服？
str_npc8_personalityclash_speech|指揮官，我必須投訴{s11}。他不停地糾纏要我釀造某種名為'綠色妖精'的酒給他。
str_npc9_personalityclash_speech|我提過我討厭{s11}嗎？
str_npc10_personalityclash_speech|我提過我討厭{s11}嗎？
str_npc11_personalityclash_speech|我提過我討厭{s11}嗎？
str_npc12_personalityclash_speech|我提過我討厭{s11}嗎？
str_npc13_personalityclash_speech|我提過我討厭{s11}嗎？
str_npc14_personalityclash_speech|我提過我討厭{s11}嗎？
str_npc15_personalityclash_speech|我提過我討厭{s11}嗎？
str_npc16_personalityclash_speech|我提過我討厭{s11}嗎？
str_npc17_personalityclash_speech|我提過我討厭{s11}嗎？
str_npc1_personalityclash_speech_b|我討厭{s11}。
str_npc2_personalityclash_speech_b|我討厭{s11}。
str_npc3_personalityclash_speech_b|我對剛鐸人沒什麼成見，但我們更需要果敢的騎兵而不是頑固的抱地者，你明白我在說什麼吧。
str_npc4_personalityclash_speech_b|我討厭{s11}。
str_npc5_personalityclash_speech_b|我討厭{s11}。
str_npc6_personalityclash_speech_b|他的矮人之道可能會讓他在地底下活得更好，不過他至今還沒掉進任何醜陋的豎井中顯然是個奇蹟。也許他該試試。
str_npc7_personalityclash_speech_b|我覺得隊伍中要是有一位矮人英雄就好了，就像不死之都靈那樣的人，讓精靈在他們自己的樹林裡走來走去就夠了。
str_npc8_personalityclash_speech_b|它是由浸在酒中的苦艾製成並受到吟遊詩人和流浪漢的青睞因為他們可以用這個看見幻覺。我不覺得你會讓士兵在戰場上追逐空氣，就算看起來會很有趣。
str_npc9_personalityclash_speech_b|我討厭{s11}。
str_npc10_personalityclash_speech_b|我討厭{s11}。
str_npc11_personalityclash_speech_b|我討厭{s11}。
str_npc12_personalityclash_speech_b|我討厭{s11}。
str_npc13_personalityclash_speech_b|我討厭{s11}。
str_npc14_personalityclash_speech_b|我討厭{s11}。
str_npc15_personalityclash_speech_b|我討厭{s11}。
str_npc16_personalityclash_speech_b|我討厭{s11}。
str_npc17_personalityclash_speech_b|我討厭{s11}。
str_npc1_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc2_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc3_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc4_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc5_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc6_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc7_personalityclash2_speech|打的不錯，是吧隊長？要是沒有那個精靈女人{s11}的那些行為就更好了。
str_npc8_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc9_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc10_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc11_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc12_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc13_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc14_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc15_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc16_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc17_personalityclash2_speech|我提過我討厭{s11}嗎？
str_npc1_personalityclash2_speech_b|我討厭{s11}。
str_npc2_personalityclash2_speech_b|我討厭{s11}。
str_npc3_personalityclash2_speech_b|我討厭{s11}。
str_npc4_personalityclash2_speech_b|我討厭{s11}。
str_npc5_personalityclash2_speech_b|我討厭{s11}。
str_npc6_personalityclash2_speech_b|我討厭{s11}。
str_npc7_personalityclash2_speech_b|我看到她躲在後方，只往敵人大概的方向上了放一兩箭。我說我們應該讓她去照顧鳥兒和蜜蜂，這樣我們就可以繼續斬殺敵人的血腥工作了。
str_npc8_personalityclash2_speech_b|我討厭{s11}。
str_npc9_personalityclash2_speech_b|我討厭{s11}。
str_npc10_personalityclash2_speech_b|我討厭{s11}。
str_npc11_personalityclash2_speech_b|我討厭{s11}。
str_npc12_personalityclash2_speech_b|我討厭{s11}。
str_npc13_personalityclash2_speech_b|我討厭{s11}。
str_npc14_personalityclash2_speech_b|我討厭{s11}。
str_npc15_personalityclash2_speech_b|我討厭{s11}。
str_npc16_personalityclash2_speech_b|我討厭{s11}。
str_npc17_personalityclash2_speech_b|我討厭{s11}。
str_npc1_personalitymatch_speech|你有注意到{s11}在戰場上的優雅了嗎？她對敵人發出致命一擊時的身姿。就像老故事裡說的那樣，精靈少女在戰場上與在森林庭院中一樣美。
str_npc2_personalitymatch_speech|不好意思，指揮官。我剛剛打完後在幫{s11}修理武器時，他竟然答應教我如何提升我的打擊技巧。
str_npc3_personalitymatch_speech|不覺得洛汗執盾女的衝鋒很令人驚豔嗎？通常，我們的女人都被說待在家中爐邊比較好，但在看到{s11}上一場戰鬥擊倒敵人的時候，我開始產生懷疑了。
str_npc4_personalitymatch_speech|一場偉大的戰鬥，指揮官，讓我在此祝賀你的勝利吧。我注意到{s11}是多麼默默認真的治療了傷員，甚至連敵人都獲得了應得的結局。
str_npc5_personalitymatch_speech|我提過我喜歡{s11}嗎？
str_npc6_personalitymatch_speech|{playername}，我再怎麼討厭戰鬥，也沒辦法不注意到{s11}大人像光一樣衝出去然後像雄鷹一樣降臨在醜陋生物身上的樣子。
str_npc7_personalitymatch_speech|血腥的勝利，正如我所喜歡的！然而，我確實受了點小傷，不過{s11}已經好好幫我包紮過了。
