menu_start_game_1|^^^^^^^^^^你為何而戰？
mno_swear_oath|宣讀復仇之誓！
mno_despoil|褻瀆這個地點
mno_leave_mound|離開墓塚。
menu_burial_mound_respects|你滿懷敬意的在{s1}前跪下，默念禱言祈求其往生極樂。這裡已經沒什麼其他事要做了。 
menu_burial_mound_oath|你為{S4}的死亡高聲宣讀復仇之誓。你會不懈地尋覓{s3}的部隊並摧毀他們。 你的誓言隨風而去，四海皆知。
menu_funeral_pyre_oath|你為{S4}的死亡高聲宣讀復仇之誓。你會不懈地尋覓{s3}的部隊並摧毀他們。 你的誓言隨風而去，四海皆知。
mno_leave_pyre_oath|離開火葬堆。
menu_burial_mound_despoil|你親手推倒並用謾罵、惡毒詛咒和無法言喻的暴行褻瀆了{s1}的墓碑。你的追隨者因恐懼而後退但也再次對你的邪惡感到敬畏。
menu_funeral_pyre|你接近了{s2}的{s3}的火葬餘燼。他戰敗於{s28}的部隊之下。在這裡，他的屍體被他的貼身護衛隆重的火葬掉。沒有剩下任何有價值的東西了。
mno_leave_pyre|離開火葬堆。
menu_town_ruins|當你靠近，你看到{s1}已是{s2}。
mno_ruin_menu_0|探索這個地方。
mno_ruin_leave|離開...
menu_premutiny|無
menu_death|你已經被殺害了。雖然戰爭仍舊如火如荼，但你將不再是它的一部分了。
menu_animal_ambush|你和你的同伴發現跟隊伍的其他人走散了，忽然間...
menu_animal_ambush_success|{s2}在你面前如同收割麥子一般地{reg0?倒下:倒下}！很快地所有攻擊者都躺在地上，受傷或已死亡。{s3}
menu_animal_ambush_fail|動物撕咬你{reg0?,:和你的同伴{reg2?,:,}}但幸運的是你設法打退了牠們。希望牠們不會再次攻擊你。
; menu_isengard_flooding|^^^^^@You are surrounded by dead foes and triumphant allies, including the Ents; they roar, and boom, and trumpet, until stones crack and fall all around the Tower of Orthanc. They are like a howling gale, breaking pillars, hurling avalanches of boulders down the shafts, tossing up huge slabs of stone into the air like leaves... It is like nothing you have ever seen.^^ Bregalad -- or Quickbeam, as you know him -- comes striding by, and pauses only to say, '{playername}! Ware! Keep away from the Tower -- we shall soon break the dam and bring the Isen into this valley, for a little while. You will find it very hard to stay standing here, I think!' Quickly, you take his advice and hasten away from Orthanc.^^ At about midnight, Isengard begins to fill up with black creeping streams and pools. You cannot help but shiver as you see smoke and steam rising in great pillars, and a great coil of vapour rising and snaking around the Tower, until it resembles a tall peak of cloud, fiery underneath and moonlit above. The wrath of the Ents is slow, but possesses an irresistible force...
; mno_isengard_continue|Continue
menu_build_your_scene|你可以打造自己的戰場場景。首先在遊戲設定中打開編輯模式，然後選擇底下任意一個存位(你需要先在M&B啟動螢幕設定中將編輯模式切換為ON，然後進入場景中按Ctrl+E打開編輯模式)。  你可以將你創造的場景提交給TLD製作組(TLD/SceneObj資料夾中的sco檔)，做得好的話，它將會作為隨機戰場之一出現在以後的版本中！^^ 記得說明你想要自己作的場景出現在地圖上的哪個地方。^ 附加提示：避免製作深水、陡峭或其他難以通行的地形，除非你是經驗豐富的場景製作者並且知道如何利用AI網格讓AI部隊避開指定區域。^ (#0-1 用於攻擊方，#4用於防守方，別碰#5-8
mno_scene1|大型平原(file scn custom 1.sco)
mno_scene2|中型平原(file scn custom 2.sco)
mno_scene3|小型平原(file scn custom 3.sco)
mno_scene4|大型草原(file scn custom 4.sco)
mno_scene5|中型草原(file scn custom 5.sco)
mno_scene6|小型草原(file scn custom 6.sco)
mno_scene7|大型森林(file scn custom 7.sco)
mno_scene8|中型森林(file scn custom 8.sco)
mno_scene9|小型森林(file scn custom 9.sco)
mno_back_3dot|返回...
mno_back|返回。
mno_next|下一個...
