itm_horse_meat|馬肉
itm_umb_armor_d|海盜鱗甲
itm_umb_armor_e|海盜胸甲
itm_umb_armor_f|海盜貴族盔甲
itm_umb_helm_a|海盜硬殼盔
itm_umb_helm_b|海盜高盔
itm_umb_helm_c|海盜民兵盔
itm_umb_helm_d|海盜掠奪者盔
itm_umb_helm_reward|古努曼諾爾盔
itm_corsair_trident|海怒三叉戟
itm_corsair_boots|海盜靴
itm_umb_shield_a|海盜盾
itm_umb_shield_b|海盜小圓盾
itm_umb_shield_c|海盜小圓盾
itm_umb_shield_d|海盜小圓盾
itm_umbar_spear|昂巴短槍
itm_umbar_cutlass|昂巴短劍
itm_kraken|海怪彎刀
itm_umbar_rapier|昂巴登船劍
itm_corsair_harpoon|海盜魚叉
itm_corsair_sword|海盜短劍
itm_corsair_throwing_dagger|歪曲投擲匕首
itm_umbar_pike|海盜三叉戟
itm_woodman_tunic|山林人束腰外衣
itm_woodman_scout|山林人斥候披風
itm_woodman_padded|山林人加厚布甲
itm_beorn_tunic|比翁束腰外衣
itm_beorn_padded|比翁加厚布甲
itm_beorn_heavy|比翁重型鎧甲
itm_beorn_berserk|比翁狂戰士裝備
itm_beorn_chief|比翁酋長束腰外衣
itm_beorn_helmet|熊頭盔
itm_beorn_shield|北方人盾
itm_beorn_axe|比翁斧
itm_beorn_staff|山林人杖
itm_beorn_battle_axe|比翁戰斧
itm_dwarf_shield_a|矮人角盾
itm_dwarf_shield_b|矮人塔盾
itm_dwarf_shield_c|矮人戰鬥盾
itm_dwarf_shield_d|矮人圓盾
itm_north_round_shield|北方人圓盾
itm_woodmen_heavy|幽暗密林鎧甲
itm_dwarf_sword_a|矮人劍
itm_dwarf_sword_b|比翁短劍
itm_dwarf_sword_c|矮人劍
itm_dwarf_sword_d|矮人劍
itm_dwarf_battle_axe|矮人戰斧
itm_dwarf_great_axe|矮人大斧
itm_dwarf_great_mattock|矮人巨型鶴嘴鋤
itm_dwarf_great_pick|矮人巨型十字鎬
itm_dwarf_throwing_axe_reward|孤山飛斧
itm_dwarf_mattock|矮人鶴嘴鋤
itm_dwarf_hand_axe|矮人短斧
itm_dwarf_throwing_axe|矮人擲斧
itm_dwarf_spear|矮人長槍
itm_dwarf_spear_b|矮人長矛
itm_dwarf_spear_c|矮人長斧
itm_dwarf_helm_coif|矮人頭巾
itm_dwarf_nasal_b|矮人覆鼻盔
itm_north_skullcap|北方頭盔
itm_dwarf_helm_kettle|矮人壺盔
itm_dwarf_helm_fris|矮人弗里斯蘭盔
itm_north_leather_skullcap|北方輕型頭盔
itm_dwarf_hood|矮人兜帽
itm_dwarf_nasal|矮人覆鼻高盔
itm_north_nasal_helm|北方覆鼻盔
itm_dwarf_helm_p|矮人王盔
itm_dwarf_miner|矮人輕型盔
itm_north_chieftain|北方酋長盔
itm_dwarf_helm_round|矮人圓盔
itm_dwarf_helm_sallet|矮人覆頭盔
itm_dwarf_armor_d|鐵丘陵鱗外套
itm_dwarf_armor_a|孤山罩衫覆鎖子甲
itm_leather_dwarf_armor|矮人加厚布外套
itm_dwarf_armor_b|孤山束腰外衣覆鎖子甲
itm_leather_dwarf_armor_b|矮人加厚短上衣
itm_dwarf_armor_c|孤山鱗甲
itm_dwarf_vest|矮人束腰外衣
itm_dwarf_vest_b|鐵丘陵鎖子甲
itm_dwarf_pad_boots|矮人加厚靴
itm_dwarf_chain_boots|矮人鎖子腿鎧
itm_dwarf_scale_boots|矮人鱗靴
itm_good_mace|戰錘
itm_mordor_banner|魔多旗幟
itm_isengard_banner|艾辛格旗幟
itm_woodelf_banner|幽暗密林旗幟
itm_lorien_banner|羅斯洛立安旗幟
itm_imladris_banner|伊姆拉崔旗幟
itm_gondor_lance_banner|剛鐸騎槍加旗幟
itm_amroth_lance_banner|多爾安姆羅斯騎槍加旗幟
itm_rohan_lance_banner_sun|洛汗騎槍加太陽旗
itm_rohan_lance_banner_horse|洛汗騎槍加馬旗
itm_fur_gloves_reward|獵人手套
itm_ent_water|一碗奇怪的水
itm_map|中土世界地圖
itm_athelas_reward|乾燥阿系拉斯葉
itm_phial_reward|凱蘭崔爾之光
itm_scroll_reward|貢多林的陷落
itm_hammer_reward|鐵匠錘
itm_khand_knife_reward|侃德獻祭刃
itm_angmar_whip_reward|主人之鞭
itm_horn_gondor_reward|剛鐸號角
itm_harad_totem_reward|哈拉德圖騰
itm_elven_amulet_reward|精靈護身符
itm_torque_reward|邪惡頸環
itm_orc_brew|半獸人酒
itm_rohan_saddle|鞍
itm_mearas_reward|米亞拉神駒
itm_shield_of_tuor|圖爾之盾
itm_riv_armor_reward|瑞文戴爾飾紋鎧甲
itm_westernesse1h_reward|西方人之劍
itm_westernesse2h_reward|西方人之劍
itm_mirkwood_sword_reward|綠森遺跡劍
itm_nazgul_sword|邪劍
itm_cooking_cauldron|烹飪釜
itm_eorl_cavalry_sword|伊歐之劍
itm_garlic_reward|大蒜
itm_silmarillion_reward|精靈寶鑽錄
itm_herbarium_reward|中土植物學
itm_book_of_moria|馬薩布爾之書
itm_ring_a_reward|突卡利西
itm_ring_b_reward|芬瓦利西
itm_dale_bow_reward|巴德之弓
itm_tome_of_knowledge|奧術知識鉅著
itm_orc_idol_reward|原初半獸人像
itm_crebain_reward|大烏鴉
itm_miruvor_reward|米盧沃酒壺
itm_wheeled_cage|巨型有輪籠子
itm_orc_throwing_axes_reward|剛達巴飛斧
itm_corsair_throwing_dagger_reward|有毒投擲匕首
itm_dwarf_shield_reward|鏡影湖之盾
itm_dwarf_great_axe_reward|矮人銳斧
itm_isen_uruk_heavy_reward|強獸人將軍鎧甲
itm_lorien_bow_reward|諾多弓
itm_elven_cloak|精靈斗篷
itm_dale_sword_reward|河谷鎮王家劍
itm_dale_armor_reward|河谷鎮貴族鎖子甲
itm_leather_gloves_reward|弓兵手套
itm_beorn_shield_reward|比翁盾
itm_beorn_axe_reward|熊棍
itm_drums_of_the_deep|深淵之鼓
itm_khamul_helm|克哈穆爾之盔
itm_black_arrows_reward|黑色箭
itm_leather_boots_reward|獵人靴
itm_rohan_armor_th|洛汗王家鎧甲
itm_wilderness_cowl|獵人兜帽
itm_prisoner_coll_chain|囚鏈
itm_witchking_helmet|巫師面具
itm_feet_chains|腳鏈
itm_feet_chains_dwarf|腳鏈
itm_spider|蜘蛛
itm_bear|熊
itm_wolf|狼
itm_werewolf|狼人
itm_thrush_reward|畫眉鳥
itm_gauntlets_reward|鐵拳
itm_stones_siege|攻城石
itm_beorn_axe_no_attack|比翁斧
