itm_horse_meat|馬肉
itm_dale_med_d|谷間の国の薄金鎧
itm_dale_heavy_a|谷間の国の鎖かたびらと薄金鎧
itm_dale_heavy_b|谷間の国の補強されたマント
itm_dale_heavy_c|ロヴァニオンの鎖かたびら
itm_north_leather|北国人の皮のベスト
itm_dale_helmet_a|谷間の国歩兵の軽装兜
itm_dale_helmet_b|谷間の国弓兵の軽装兜
itm_dale_helmet_c|谷間の国歩兵の兜
itm_dale_helmet_d|谷間の国弓兵の兜
itm_dale_helmet_e|バルド一党の兜
itm_dale_helmet_f|バルド一党の兜
itm_dale_sword|谷間の国の短剣
itm_dale_sword_long|谷間の国の長剣
itm_dale_sword_broad|谷間の国歩兵の剣
itm_dale_pike|谷間の国の槍
itm_dale_billhook|谷間の国のビル
itm_dale_shield_a|谷間の国の大盾
itm_dale_shield_b|谷間の国の大盾
itm_dale_shield_c|谷間の国の丸盾
itm_umb_armor_a|海賊の皮のベスト
itm_umb_armor_b|海賊の革鎧
itm_umb_armor_c|海賊の軽装スケイル鎧
itm_umb_armor_d|海賊のスケイル鎧
itm_umb_armor_e|海賊のホバーク
itm_umb_armor_f|海賊の上級鎧
itm_umb_helm_a|海賊の貝殻兜
itm_umb_helm_b|海賊の山高兜
itm_umb_helm_c|海賊民兵の兜
itm_umb_helm_d|海賊襲撃兵の兜
; itm_umb_helm_reward|Ancient Numenorean Karma
itm_corsair_trident|海の怒りの三つ又
itm_corsair_boots|海賊のブーツ
itm_umb_shield_a|海賊の盾
itm_umb_shield_b|海賊のバックラー
itm_umb_shield_c|海賊のバックラー
itm_umb_shield_d|海賊のバックラー
itm_umbar_spear|ウンバールの短槍
itm_umbar_cutlass|ウンバールのカトラス
itm_kraken|クラーケンカトラス
itm_umbar_rapier|ウンバールの突撃剣
itm_corsair_harpoon|海賊のもり
itm_corsair_sword|海賊のエケット
itm_corsair_throwing_dagger|投げ鉤ダガー
itm_umbar_pike|海賊の三つ又
itm_woodman_tunic|森人のチュニック
itm_woodman_scout|森人斥候のケープ
itm_woodman_padded|森人の当て物の入った鎧
itm_beorn_tunic|ビヨルン一党のチュニック
itm_beorn_padded|ビヨルン一党の当て物の入った鎧
itm_beorn_heavy|ビヨルン一党の重装鎧
itm_beorn_berserk|ビヨルン一党狂戦士の装備
itm_beorn_chief|ビヨルン一党族長のチュニック
itm_beorn_helmet|熊帽子
itm_beorn_shield|北方人の盾
itm_beorn_axe|ビヨルン一党の斧
itm_beorn_staff|森人の杖
itm_beorn_battle_axe|ビヨルン一党の戦斧
itm_dwarf_shield_a|ドワーフの角盾
itm_dwarf_shield_b|ドワーフの大盾
itm_dwarf_shield_c|ドワーフの戦闘盾
itm_dwarf_shield_d|ドワーフの丸盾
itm_north_round_shield|北国人の丸盾
itm_woodmen_heavy|闇の森の鎧
itm_dwarf_sword_a|ドワーフの剣
itm_dwarf_sword_b|ビヨルン一党の短剣
itm_dwarf_sword_c|ドワーフの剣
itm_dwarf_sword_d|ドワーフの剣
itm_dwarf_battle_axe|ドワーフの戦斧
itm_dwarf_great_axe|ドワーフの大斧
itm_dwarf_great_mattock|ドワーフの大マトック
itm_dwarf_great_pick|ドワーフの大つるはし
itm_dwarf_throwing_axe_reward|エレボールの飛び斧
itm_dwarf_mattock|ドワーフのマトック
itm_dwarf_hand_axe|ドワーフの短斧
itm_dwarf_throwing_axe|ドワーフの投げ斧
itm_dwarf_spear|ドワーフの槍
itm_dwarf_spear_b|ドワーフのパイク
itm_dwarf_spear_c|ドワーフの長柄斧
itm_dwarf_helm_coif|ドワーフのコイフ
itm_dwarf_nasal_b|ドワーフの鼻当て付き兜
itm_north_skullcap|北方の帽子
itm_dwarf_helm_kettle|ドワーフのケトル兜
itm_dwarf_helm_fris|ドワーフのフリジアン兜
itm_north_leather_skullcap|北方の軽装帽子
itm_dwarf_hood|ドワーフの頭巾
itm_dwarf_nasal|ドワーフの鼻当て付き兜
itm_north_nasal_helm|北方の鼻当て付き兜
itm_dwarf_helm_p|ドワーフの王冠付き兜
itm_dwarf_miner|ドワーフの軽装兜
itm_north_chieftain|北方の族長の兜
itm_dwarf_helm_round|ドワーフの丸兜
itm_dwarf_helm_sallet|ドワーフのサレット
itm_dwarf_armor_d|くろがね連山のスケイルマント
itm_dwarf_armor_a|エレボールの鎖かたびらとシュールコー
itm_leather_dwarf_armor|ドワーフの当て物の入ったマント
itm_dwarf_armor_b|エレボールのチュニックと鎖かたびら
itm_leather_dwarf_armor_b|ドワーフの当て物の入った胴着
itm_dwarf_armor_c|エレボールのスケイルメイル
itm_dwarf_vest|ドワーフのチュニック
itm_dwarf_vest_b|くろがね連山の鎖かたびら
itm_dwarf_pad_boots|ドワーフの当て物の入ったブーツ
itm_dwarf_chain_boots|ドワーフの鎖かたびらのすね当て
itm_dwarf_scale_boots|ドワーフのスケイルブーツ
itm_good_mace|メイス
itm_mordor_banner|モルドールの戦旗
itm_isengard_banner|アイゼンガルドの戦旗
itm_woodelf_banner|闇の森の戦旗
itm_lorien_banner|ロスローリエンの戦旗
itm_imladris_banner|イムラドリスの戦旗
itm_gondor_lance_banner|ゴンドールの戦旗つきランス
itm_amroth_lance_banner|ドル・アムロスの戦旗つきランス
itm_rohan_lance_banner_sun|ローハンの太陽の戦旗つきランス
itm_rohan_lance_banner_horse|ローハンの馬の戦旗つきランス
; itm_fur_gloves_reward|Hunter Gloves
itm_ent_water|おわんに入った奇妙な水
itm_map|中つ国の地図
itm_athelas_reward|乾燥させたアセラスの葉
itm_phial_reward|玻璃瓶
itm_scroll_reward|ゴンドリンの滅亡
itm_hammer_reward|鍛冶屋の槌
itm_khand_knife_reward|ハンドのいけにえのナイフ
itm_angmar_whip_reward|支配者のムチ
itm_horn_gondor_reward|ゴンドールの角笛
itm_harad_totem_reward|ハラドのトーテム
itm_elven_amulet_reward|エルフのお守り
itm_torque_reward|闇の首飾り
itm_orc_brew|オークビール
itm_rohan_saddle|ローハンの鞍
itm_mearas_reward|メアルスタリオン
itm_shield_of_tuor|トゥオルの盾
itm_riv_armor_reward|裂け谷の細工入り鎧
itm_westernesse1h_reward|西方国の剣
itm_westernesse2h_reward|西方国の剣
itm_mirkwood_sword_reward|緑森の遺剣
itm_nazgul_sword|邪の剣
itm_cooking_cauldron|料理用の大なべ
itm_eorl_cavalry_sword|エオルの剣
itm_garlic_reward|にんにく
itm_silmarillion_reward|シルマリルの物語
itm_herbarium_reward|中つ国植物標本
itm_book_of_moria|マザルブルの書
itm_ring_a_reward|テュルカリシル
itm_ring_b_reward|フィンワリシル
itm_dale_bow_reward|バルドの弓
itm_tome_of_knowledge|秘術の書
itm_orc_idol_reward|オークの始祖の偶像
itm_crebain_reward|クリバイン
itm_miruvor_reward|ミルヴォールの水筒
itm_wheeled_cage|車輪のついた巨大な檻
itm_orc_throwing_axes_reward|グンダバドの投げ斧
itm_corsair_throwing_dagger_reward|毒を仕込んだ投げダガー
itm_dwarf_shield_reward|ケレド＝ザラムの盾
itm_dwarf_great_axe_reward|磨き抜かれたドワーフの斧
itm_isen_uruk_heavy_reward|ウルク＝ハイの将軍の鎧
itm_lorien_bow_reward|ノルドールの弓
itm_elven_cloak|エルフのマント
itm_dale_sword_reward|谷間の国の上級剣
itm_dale_armor_reward|谷間の国の貴族の鎖かたびら
itm_leather_gloves_reward|弓使いの手袋
itm_beorn_shield_reward|ビヨルン一党の盾
itm_beorn_axe_reward|熊棍棒
itm_drums_of_the_deep|地底の太鼓
itm_khamul_helm|ハムールの兜
itm_black_arrows_reward|黒い矢
itm_leather_boots_reward|狩人のブーツ
itm_rohan_armor_th|ローハンの上級鎧
itm_wilderness_cowl|狩人の頭巾
itm_prisoner_coll_chain|捕虜の鎖
itm_witchking_helmet|妖術師の仮面
itm_feet_chains|足の鎖
itm_feet_chains_dwarf|足の鎖
itm_spider|大蜘蛛
itm_bear|熊
itm_wolf|狼
itm_werewolf|巨狼
itm_thrush_reward|ツグミ
itm_gauntlets_reward|鉄拳
itm_stones_siege|攻城石
itm_beorn_axe_no_attack|ビヨルン一党の斧
itm_animal_spider|大蜘蛛
itm_animal_bear|熊
itm_animal_wolf|狼
itm_animal_werewolf|巨狼
