menu_start_game_1|^^^^^^^^^^何のために戦いますか？
menu_player_added_to_allow_follow|^^^^^ただいまの伝令によると、 {s24}となったあなたに、 {s2}に対して、 あなたに同行するように命令を出す権限が与えられました。 最大で{reg55}部隊の同行が許されています。
mno_player_added_to_allow_follow_close|閉じる
menu_center_besieged_event|^^^^^ただいま伝令があり、{s3}の{s2}によって  {s1}が包囲されたとの報告がありました。
mno_center_besieged_event_close|閉じる
menu_guardian_party_spawned|^^^^^偵察隊の報告によると、{s6}は首都防衛のための最後の企てとして、 {s7}周辺に大規模な軍を集結させている模様です。
mno_intro_next|続ける・・・
mno_start_defend_caravan|隊商を守れ！
mno_start_raid_caravan|隊商を襲え！
mno_start_ambush_orcs|オークの伏兵だ！
mno_start_kill_scouts|斥候に自分達の居場所を報告させるな！
mno_go_your_way|放っておく
mno_defend_villagers|村人達を守れ！
mno_raid_villagers|村を襲え！
mno_go_away|一旦撤退して態勢を整えよう。
menu_scout_camp_quest|偵察野営がすぐ近くに見えます。 あなたは部下たちに戦闘準備を指示しました。
mno_attack_scout_camp|偵察野営に攻撃開始！
menu_sea_battle_quest|敵艦に出会いました。船はおたがいに接近し、 乗組員たちは厚板を渡しています・・・
mno_sb_defend_the_town|敵艦へ切り込め！やつらの船を破壊するのだ！
mno_sb_attack_the_town|やつらは我々を捕らえるつもりだぞ！船を守れ！
menu_camp_field_ai|^^^^^項目をクリックするとトグルします。^^^ひとつ、ふたつのオプションをオフにする事でパフォーマンス(FPS)が向上します。
mno_lord_field_ai|指揮官用の戦場における高度なAI:  {s7}
mno_horse_archer_field_ai|弓騎兵用の戦場における高度なAI:  {s7}
mno_vs_orcs_field_ai|弓兵のオークに対する照準精度の向上(オークの頭の上を狙わなくなります):  {s7}
mno_battlefield_animals|馬、ワーグ以外の動物コンパニオンを戦場に登場させる:  {s7}
mno_slow_when_wounded|負傷した連絡係の動作速度を遅くする:  {s7}
mno_battle_encounter_effects|勢力に応じた特殊効果(嵐、霧など):  {s7}
menu_hungry_orc|none
menu_leaving_elf|none
mno_defend_refugees|襲ってくる者がいないか、注意を怠るな・・・
mno_attack_refugees|難民の群れを襲う・・・
mno_leave_refugees|一旦やり過ごす・・・
mno_evil_war_tut_continue|続ける・・・
menu_alternate_training_fight|{reg5}名を相手にします。準備はよろしいですか？
mno_training_continue|訓練をはじめる・・・
menu_alternate_training_conclusion|{s5}
mno_alternate_training_retry|もう一度やる・・・
mno_alternate_training_finish|この場を去る・・・
menu_custom_battle_choose_faction1|^^^^^^^^^^陣営とアドバンテージを選んでください
mno_good_equal|光の勢力
mno_bad_equal|闇の勢力
mno_replay_prev|前回の設定でもう一度プレイする
menu_custom_battle_choose_faction2|^^^^^^^^^^光の勢力を選択してください
mno_cb_gondor|ゴンドール
mno_cb_gondor1|ローハン
mno_cb_gondor2|ロスローリエン
mno_cb_gondor3|裂け谷のエルフ
mno_cb_gondor4|闇の森のエルフ
mno_cb_gondor5|ドワーフ
mno_cb_gondor6|谷間の国
mno_cb_gondor7|ビヨルン一党
menu_custom_battle_choose_faction3|^^^^^^^^^^闇の勢力を選択してください
mno_cb_mordor|モルドール
mno_cb_mordor1|アイゼンガルド
mno_cb_mordor2|褐色人
mno_cb_mordor3|ハラドリム
mno_cb_mordor4|東夷
mno_cb_mordor5|モリア
mno_cb_mordor6|グンダバド
mno_cb_mordor7|リューン
mno_cb_mordor8|海賊
mno_rescue_mission|夜の闇にまぎれて妖術師の根城へ潜入する。
mno_next_rescue_scene_door|さらに進むぞ！
mno_pick_troops1|この任務に同行させる部下を選んでください。 {reg0}名が選択されています
; menu_pick_troops|Whom would you take with you into the stealth mission?    ^Only your most nimble troops and companions will be able to join you.    ^As the party member with the highest wildcraft skill, {reg65?{s1} advises:you decide} that you can take up to {reg11} troops with you.    ^^Currently you have picked {reg0} companions.
mno_go_forward|同行者の選択を完了し、任務を遂行する。
menu_burial_mound|あなたは{s2}の{s1}が埋葬されている塚に近づいた。 {s28}との戦いで命を落としたのだ。 塚は死んだ敵の刃のかけた武器が積み上げられている。
mno_pay_respects|ひざまずいて敬意を払う。
mno_swear_oath|復讐の誓いを立てる！
mno_despoil|この場所を穢す
mno_leave_mound|この場を去る。
menu_burial_mound_respects|あなたはひざまずいて{s1}に敬意を払い、 死者がまっすぐに死後の世界へ旅できるよう、 静かな祈りをささげた。 この場所でやるべき事はもうない。
menu_burial_mound_oath|あなたは声を張り上げ、 {s4}の復讐の誓いを立てた。 あなたは{s3}の軍勢に対し、 容赦なく見つけ出してこれを破壊するだろう。 あなたの力強い言葉は風に乗り、 どこまでも遠く運ばれていった。 海の向こう側には届かないと、 誰に断言できるだろう？
menu_funeral_pyre_oath|あなたは声を張り上げ、 {s4}の復讐の誓いを立てた。 あなたは{s3}の軍勢に対し、 容赦なく見つけ出してこれを破壊するだろう。 あなたの力強い言葉は風に乗り、 どこまでも遠く運ばれていった。 海の向こう側には届かないと、 誰に断言できるだろう？
mno_leave_pyre_oath|この場を去る。
menu_burial_mound_despoil|あなたは{s1}の墓碑をみずからの手で取り壊すと、 墓碑に対して呪いの言葉を浴びせ、 残忍の歌を歌い、 言語に絶する行為を行った。 あなたの部下たちは死者の怒りを恐れて後ずさりをしたが、 あなたの底知れぬ邪悪さに対して敬意を新たにしたようだ。
menu_funeral_pyre|あなたは{s2}の{s3}の、 火葬壇の炭となった残がいに近づいた。 {s28}との戦いで命を落としたのだ。 ここで彼の亡骸は彼の親衛兵たちの手によって火葬された。 何もめぼしいものは見当たらない。
mno_leave_pyre|この場を去る。
menu_town_ruins|この{s1}は{s2}
mno_ruin_menu_0|この場所を探索する。
mno_ruin_leave|立ち去る・・・
menu_premutiny|none
menu_death|あなたは殺されました。 戦争の猛威はいまだ弱まる気配すらありませんが、 あなたの役目はここで終わりました。
menu_animal_ambush|あなたとコンパニオンは、他の兵とはぐれてしまいました。すると突然・・・
menu_animal_ambush_success|{s2}{reg0?の一群は:は}、 あなたの前に、 鎌に刈られる小麦のようになぎ倒されました！ 地面に横たわり、 ぴくりとも動きません。 {s3}
menu_animal_ambush_fail|獣どもはあなた{reg0?:とコンパニオン{reg2?たち:}}に噛み付き、 突進してきましたが、 あなたはなんとか彼らを追い払うことができました。 これであきらめてくれることを願いましょう。
; menu_isengard_flooding|^^^^^@You are surrounded by dead foes and triumphant allies, including the Ents; they roar, and boom, and trumpet, until stones crack and fall all around the Tower of Orthanc. They are like a howling gale, breaking pillars, hurling avalanches of boulders down the shafts, tossing up huge slabs of stone into the air like leaves... It is like nothing you have ever seen.^^ Bregalad -- or Quickbeam, as you know him -- comes striding by, and pauses only to say, '{playername}! Ware! Keep away from the Tower -- we shall soon break the dam and bring the Isen into this valley, for a little while. You will find it very hard to stay standing here, I think!' Quickly, you take his advice and hasten away from Orthanc.^^ At about midnight, Isengard begins to fill up with black creeping streams and pools. You cannot help but shiver as you see smoke and steam rising in great pillars, and a great coil of vapour rising and snaking around the Tower, until it resembles a tall peak of cloud, fiery underneath and moonlit above. The wrath of the Ents is slow, but possesses an irresistible force...
; mno_isengard_continue|Continue
menu_build_your_scene|下に用意されたスロットのうちのひとつをエディットモードで編集して、 あなたの手で戦場シーンをつくる事ができます。 (M&Bのランチャーの設定でエディットモードをONにしたうえで、 任意のシーンを開いた状態でCtrl+Eを押すとエディットモードになります)。 あなたの作った戦場シーン (TLD/SceneObjフォルダにあるscoファイルです) をTLDの開発チームに送ってくれれば (出来が良ければの話ですが)、 戦場のうちのひとつとしてゲームに登場するかも知れません！^^どの地域で使われる事を想定したシーンなのかを明確にするようにしてください。^ちょっとしたヒントです:深い水場や、険しい山といった侵入不可な地形を登場させるのは、 AIが地形上をどのように移動するのかをしっかりと理解してからにしましょう。^(#0-1は攻撃側、#4は守備側のマップです。#5-8は編集しないでください)
mno_scene1|Plain Big (file scn custom 1.sco)
mno_scene2|Plain Med (file scn custom 2.sco)
mno_scene3|Plain Small (file scn custom 3.sco)
mno_scene4|Steppe Big (file scn custom 4.sco)
mno_scene5|Steppe Med (file scn custom 5.sco)
mno_scene6|Steppe Small (file scn custom 6.sco)
mno_scene7|Forest Big (file scn custom 7.sco)
mno_scene8|Forest Med (file scn custom 8.sco)
mno_scene9|Forest Small (file scn custom 9.sco)
mno_back_3dot|戻る・・・
mno_back|戻る。
mno_next|次へ・・・
