qstr_Received_{reg0}_dama|{reg0}のダメージを受けました。
qstr_I_shall_serve_the_Ey|御目にお仕えいたします！
qstr_Go_to_{s1}_and_speak|{s1}へ行き、 {s9}の話を聞こう。
qstr_The_Remnant_Forces_o|{s22}の残存兵力は、援軍となるべく{s15}区域に集結しました！
qstr_The_strength_of_the_|残った{s15}区域の同盟国は強化されました
qstr_{s30}_reinforced_by_|{s30}の勢力ポイントが{reg65}上がりました
qstr_{s1}_has_been_besieg|{s1}が{s3}の{s2}によって包囲されました。
qstr_The_forces_of_{s2}_m|{s2}の軍勢が、{s15}を目指して進軍しています！
qstr_Rohan_capital_moved_|ローハンがエドラスから角笛城へ、遷都をしました！
qstr_Dale_capital_moved_f|谷間の国はエスガロスへ遷都を行いました！
qstr_Gundabad_capital_mov|グンダバドはゴブリン町へ遷都を行いました！
; qstr_You_have_breached_th|You have breached the Ring of Isengard with the help of the Tree Men. During the battle, Isengard was flooded, but Orthanc still stands unscathed in midst of the havoc. You should investigate the aftermath.
qstr_The_hosts_of_{s2}_re|{s2}の軍勢は本拠地へ退却しました！
qstr____Ruins_of_{s1}___|{s1}の廃墟
; qstr_{s1}_has_joined_the_|{s1} has joined the Hand
; qstr_{s1}_has_joined_the_E|{s1} has joined the Eye
qstr_ranks|横陣
qstr_shield_wall|シールドウォール
qstr_wedge|くさび形
qstr_square|方陣
qstr_up|スタッガードライン
qstr___Infantry_forming_{|歩兵は{s1}を組みます。
qstr___Not_enough_infantr|{s1}には歩兵の数が足りません。待機します。
qstr___Cavalry_forming_{s|騎兵は{s1}を組みます。
qstr___Not_enough_cavalry|{s1}には騎兵の数が足りません。待機します。
qstr___Archers_forming_{s|弓兵は{s1}を組みます。
qstr___Not_enough_archers|{s1}には弓兵の数が足りません。待機します。
qstr___Infantry_formation|歩兵は陣を解除しました。
qstr___Cavalry_formation_|騎兵は陣を解除しました。
qstr___Archer_formation_d|弓兵は陣を解除しました。
qstr_Division_{reg1}_{s2}|第{reg1}分隊の{s2}は{s1}を組みます。
qstr_Not_enough_troops_in|第{reg1}分隊の{s2}は兵数が足りないため、{s1}を組めません。
qstr_Division_{reg1}_{s2}_|第{reg1}分隊の{s2}は{s3}であるため、{s1}は組めません。
qstr_{s1}:_infantry_forma|{s1}:歩兵の陣形は解除されました。
qstr_{s1}:_archer_formati|{s1}:弓兵の陣形は解除されました。
qstr_{s1}:_skirmisher_for|{s1}:散兵の陣形は解除されました。
qstr_{s1}:_cavalry_format|{s1}:騎兵の陣形は解除されました。
qstr_{s1}:_formation_disa|{s1}:陣形は解除されました。
qstr_Cavalry_formation_di|騎兵の陣形は解除されました。
qstr_The_placement_of_{s1|{s1}第{reg0}分隊の位置は保存されました。
qstr_The_placement_of_{s1}|{s1}第{reg0}分隊の位置はデフォルトに設定されました。
qstr_Your_party_s_tactica|あなたのパーティの戦略スキルでは、兵を展開できる距離は制限されます！
qstr_...and_attack_enemy_|・・・そして敵の第{s1}分隊を攻撃せよ！
qstr_{s2}:_returning_afte|{s2}: 敵の第{s1}分隊を撃破し、帰還しています。
qstr_infantry|歩兵
qstr_archer|弓兵
qstr_cavalry|騎兵
qstr_polearm|長柄兵
qstr_skirmisher|散兵
qstr_mounted_archer|弓騎兵
qstr_support|補助兵
qstr_bodyguard|護衛兵
qstr_undetermined_type_of|未分類の
qstr_{s1}_has_fled_the_ba|{s1}は戦場から逃げました！
; qstr_Your_side_is_at_{reg|Your side is at {reg1}% cohesion ({reg3}% recent events), the enemy at {reg2}%!
qstr_Morale_of_your_troop|味方の兵が浮き足立っています！
qstr_Morale_of_your_enemi|敵兵が浮き足立っています！
qstr_Your_enemies_flee_in|敵兵が恐怖で逃げています！
qstr_Many_of_your_enemies|多くの敵兵が逃げています。
qstr_Some_of_your_enemies|一部の敵兵が逃げています。
qstr_A_few_of_your_enemie|数名の敵兵が逃げています。
qstr_Your_troops_flee_in_|味方の兵が恐怖で逃げています！
qstr_Many_of_your_troops_|多くの味方の兵が逃げています。
qstr_Some_of_your_troops_|一部の味方の兵が逃げています。
qstr_A_few_of_your_troops|数名の味方の兵が逃げています。
qstr_Gained_permanent_+1_to_P|恒久的に経路探索+1を獲得しました。
qstr_Gained_permanent_+1_to_S|恒久的に観測術+1を獲得しました。
qstr_{s11}_recovered_from|{s11}は重傷から回復しました。
qstr_Volunteers|予備兵
qstr_Reserves|予備兵
qstr_have_taken_measure_o|はあなたの所属勢力の現在の力を把握したため、 より大胆になりました。
qstr_loses_Faction_Streng|は補給線を乱されたため、 勢力ポイントが下がりました。
qstr_loses_Faction_Strengt|は野営を破壊されたため、 勢力ポイントが下がりました。
qstr_gains_Faction_Streng|はあなたの勝利の報に勇気づけられ、 勢力ポイントが上がりました。
qstr_Something_wrong_not_|なにかがおかしい、兵の数が足りない
qstr_Raiders|襲撃隊
qstr_have_won_the_sea_bat|はこの海戦に勝利し、あなたの兵は殲滅されました。 これで勢いを得た敵は、攻勢を強めるでしょう。
qstr_loses_Faction_Strength|は破壊的な襲撃を受けたため、 勢力ポイントが下がりました。
qstr_loses_Faction_Strength_|はあなたの海における活躍により、 勢力ポイントが下がりました。
qstr_You_spent_{reg67}_of|あなたは{s1}での影響力ポイントを{reg67}消費しました。 残りは{reg66}です。
qstr_{s2}_{reg3?was:is_ar|{s2}は{s5}周辺にい{reg3?た:る。
; qstr_Army_of_{s6}|Army of {s6}
; qstr_Host_of_{s6}|Host of {s6}
; qstr_The_host_of_Isengard|The host of Isengard has razed {s2}!
qstr_{s1}_{s0}|{s1},{s0}
qstr_{s1}_and_{s0}|{s1}および{s0}
qstr_No_Troops_Left.|兵はもういません。
qstr_avoid_melee|近接武器をさける
qstr_stand_and_fight|立ち上がって戦う
qstr_Everyone|全員
qstr_Shield___{reg31}_|盾防御(-{reg31})
qstr_Power_Draw___{reg31}|弓術(-{reg31})
qstr_Riding___{reg31}_|乗馬(-{reg31})
qstr_Horse_Archery___{reg|馬上弓術(-{reg31})
qstr_Athletics___{reg31}_|アスレチック(-{reg31})
qstr_No_Skill_Penalty_Ass|スキルへのペナルティなし
qstr_Inventory|インベントリ
qstr_Show_stats|能力値を表示
qstr_Show_item_details__|アイテムの詳細を表示
qstr_Troop_detail|兵の詳細
qstr_{s1}^|{s1}^
qstr_{s1}Level:_{reg1}^|{s1}レベル: {reg1}^
qstr_{s1}Hit_Points:_{reg|{s1}ヒットポイント: {reg1}
qstr_{s1}Atributes:_^___S|{s1}属性: ^   体力:^
qstr_{s2}^{reg1}^|{s2}^{reg1}^
qstr_{s1}___Agility:|{s1}   敏捷性:
qstr_{s2}{reg1}|{s2}{reg1}
qstr_{s1}Main_skills:_^|{s1}主なスキル: ^
qstr_{s1}___Power_Strike:|{s1}   強打:^
qstr_{s2}{reg1}^|{s2}{reg1}^
qstr_{s1}___Athletics:^|{s1}   アスレチック:^
qstr_{s1}___Riding:^|{s1}   乗馬:^
qstr_{s2}_^|{s2}-^
qstr_{s1}___Power_Throw:^|{s1}   豪投:^
qstr_{s1}___Power_Draw:^^|{s1}   弓術:^^
qstr_{s2}{reg1}^^|{s2}{reg1}^^
qstr_{s2}_^^|{s2}-^^
qstr_{s1}Weapons:^|{s1}武器:^
qstr_{s1}___One_Handed:^|{s1}   片手武器:^
qstr_{s1}___Two_Handed:^|{s1}   両手武器:^
qstr_{s1}___Polearms:^|{s1}   長柄武器:^
qstr_{s1}___Archery:^|{s1}   弓:^
qstr_{s1}___Crossbow:^|{s1}   クロスボウ:^
qstr_{s1}___Throwing:^|{s1}   投てき:^
qstr_{s1}___Slings:|{s1}   スリング:
qstr_{s2}_|{s2}-
qstr__Click_on_the_troop_|(兵をクリックすると回転します)^^装備(兜、鎧、手袋、ブーツ)を^^クリックすると詳細が表示されます。
qstr_ready_bows_and_missi|打ち方構え
qstr_ready_side_arms|補助武器構え
qstr_ready_two_hander|両手武器構え
qstr_ready_polearms|長柄武器構え
qstr_shields_up|盾を構え
qstr_doff_shields|盾を捨てろ
qstr_Distance___{reg70}__|距離 - {reg70} - {s11}部隊 - {s12}兵
qstr_A_golden_mist_from_L|ローリエンから流れてくる金色のもやが戦場を覆っています。 お方さまの存在を感じとり、あなたの部下たちは勇気づけられています。
qstr_A_golden_mist_from_Lr|ローリエンから流れてくる金色のもやが戦場を覆っています。 あの魔女が近くにいるのだという思いから、あなたとあなたの部下たちは背筋に寒気を感じています。
qstr_Dark_clouds_from_Mor|モルドールから黒い雲が流れ込み、戦場を覆っています。 あなたの弓兵たちの視界はさえぎられ、邪悪の存在を感じたあなたの部下たちは恐怖しています。
qstr_Dark_clouds_from_Mord|モルドールから黒い雲が流れ込み、戦場を覆っています。 冥王の存在は、あなたとあなたの部下たちに力を与えています。
qstr_A_thunderstorm_from_|霧ふり山から降り注ぐ激しい雷雨が戦場を覆っています。 あなたの兵たちは移動速度が落ち、なかでも迷信深い者たちは恐怖しています。
qstr_A_thunderstorm_from_t|霧ふり山から降り注ぐ激しい雷雨が戦場を覆っています。 弓兵は思うように働く事ができません。
qstr_A_poisonous_fog_from|ドル・グルドゥアから流れてきた不快な濃霧が戦場に漂っています。 あなたとあなたの兵たちは体調が悪くなりました。兵たちは恐怖を感じています。
qstr_A_poisonous_fog_from_|ドル・グルドゥアから流れてきた不快な濃霧が戦場に漂っています。 あなたはこれといった影響は感じませんが、敵勢の苦しむ声が聞こえてきます。敵は恐怖しているようです。
; qstr_{s2}_attacked|{s2} attacked
qstr_You_shapeshift_into_|あなたは熊に姿を変えました！
qstr_You_got_{reg1}_exper|あなたは熊の姿で{reg1}の経験値を獲得しました。
qstr_Your_ability_to_chan|あなたが姿を変える能力を持つ事は明らかになりました。 これよりあなたは自然において、 人間であると同時に熊としても認識されます。
qstr_You_change_back_to_h|あなたは人間の姿に戻った・・・
; qstr_Refill_Ammunition|Refill Ammunition
qstr_Your_mount_stumbles!|あなたの馬がよろめいています！どうやら足をくじいているようです。
qstr_Bitten_by_your_own_w|あなたのワーグが噛み付いてきました！
qstr_You_weigh_too_much_f|ポニーに乗るには、あなたは重すぎます！
qstr_Your_mount_rears_ref|あなたの馬は座り込んでしまい、命令を拒絶しています！
qstr_Cannot_Change_Camera|一人称視点ではカメラモードの変更はできません。
qstr_Switch_Back_to_3rd_P|三人称視点に切り替えてカメラモードを変更する。
qstr_Fixed_Custom_Camera|固定カスタムカメラ
qstr_Press_Ctrl_+_Left_/_|Ctrl+左矢印/Ctrl+右矢印キーで肩口の切り替え
qstr_Press_Ctrl_+_Down_to|Ctrl+下矢印キーで中央
; qstr_Press_Ctrl_and_+/__t|Press Ctrl and +/- to zoom in/out
; qstr_Press_Ctrl_and_Up/Do|Press Ctrl and Up/Down arrow keys to tilt up/down
qstr_Fixed_Camera___Right|固定カメラ - 右肩
qstr_Fixed_Camera___Left_|固定カメラ - 左肩
qstr_Fixed_Camera___Cente|固定カメラ - 中央
qstr_Shield_is_too_big_to|盾は大きすぎて弓と同時には扱えません。
; qstr_{s7}_waves_at_you.|{s7} waves at you.
; qstr_You_happen_upon_an_O|You happen upon an Old Guesthouse. As you inspect the weathered stone building, you notice a group of boys playing among the pillars, the only children you have seen in Minas Tirith.  One of them greets you and you wave back. Your heart is gladdened and you forget, for a brief moment, the sorrow of war.
qstr_You_look_through_Hen|あなたは夕陽の窓とも呼ばれるヘンネス・アンヌーンを見て回った。 その美しさに、あなたは西方とその底力に対する認識をあらためた。
; qstr_As_you_follow_the_st|As you follow the straight stairs, cut into the rock of the mountain, and then a second set of stairs, winding as it clings to the cliff-face, you realize that you should not pursue this path any further if you value your own life.
; qstr_You_are_unable_to_en|You are unable to endure the horrors of the Dead City.
; qstr_You_endure_the_horro|You endure the horrors of the Dead City and explore its innermost circles. The Silent Watchers recognise your boldness and don't oppose you. (You gained 1 Charisma.)
; qstr_You_are_unable_to_end|You are unable to endure the horrors of the temple.
; qstr_You_endure_the_horror|You endure the horrors of the unspeakable rituals in this sacred place. The cruel people of Rhun recognise the strength you have shown and some of their mightiest decide to join your party.
; qstr_You_find_yourself_in|You find yourself in a deep cavern. Your hackles rise as you look around you, and you begin to feel a strange sense of danger. This is no place for one such as you. Snarling, you make your retreat. When the Shadow has covered the world above, perhaps then, you may return here without fear...
; qstr_You_find_yourself_in_|You find yourself in a deep cavern. Your hackles rise as you look around you, and you begin to feel a strange sense of danger. Raising your weapon high, you snarl your defiance at the unseen foe in this place. This may have been a place of wonder once... but now, with the true power you have gained, you realize you have nothing to fear from the forgotten past of a broken world.
; qstr_With_trepidation_you|With trepidation, you look within the silver basin. The water shows you visions of horror; blood and terror and grief. You recoil... but then, the visions vanish and you see instead a clear night sky, with what seems to be a silver boat floating across the expanse. A sense of calm washes over you. Hope is not wholly gone.
; qstr_The_Lady_s_garden_li|The Lady's garden lies peacefully in the bright daylight. You sense nothing out of the ordinary...
; qstr_You_kneel_to_pay_you|You kneel to pay your respects to the fallen rulers of this fair realm. Beside you, a shield-maiden of Rohan raises her voice in song. Ne sceal hearpan sweg wigend weccean; ne winfaet gylden guma sceal healdan! Your heart aches to hear her words.
; qstr_You_wonder_about_the|You wonder about the two rows of burial mounds in front of the gates, yet as a mere {s24}, you do not understand their significance.
; qstr_Halt!_You_are_not_al|Halt! You are not allowed to enter here!
; qstr_Halt!_You_are_not_all|Halt! You are not allowed to enter here without the Lady's leave!
qstr_While_visiting_towns|町や拠点、野営のなかでは、歩き回っている人々と話をすることができます。 話の内容は各勢力によって違い、 自分たちの考えだったり、 うわさ話だったりします。 どちらもその人物の文化と所属勢力についての理解を深めるだけのものですが、 秘密の場所のヒントや、 旅をする上や指輪戦争を戦う上でのヒントやコツを話してくれる事もあります。
qstr_Cannot_leave_now.|今は離脱できません。
qstr_You_have_found_the_l|拠点の鍛冶屋を見つけました。
qstr_You_have_found_the_lo|拠点の管理責任者を見つけました。
qstr_You_have_found_the_loc|拠点の貯蔵所を見つけました。
; qstr_You_have_found_the_c|You have found the captain of the garrison.
qstr__cancelled_the_{reg1|(捕虜を殺害して得た経験値{reg10}をキャンセルしました)
qstr_Forming_ranks.|横陣を組みます。
qstr_{reg2?You:Your_mount|{reg2?あなた:あなたの馬}は追加ダメージを{reg1}受けました！
qstr_{reg2?You_strike:You|{reg2?あなたの攻撃:あなたの馬の突撃}でボーナスダメージを{reg1}与えました！
qstr_Division_Placement|分隊の配置
qstr_Complex_Formations|高度な陣形
qstr_Formations_turned_OF|陣形はオプションメニューで無効にされています
qstr_Division_{reg1}_{s2}_g|{s2}第{reg1}分隊は、保存された位置へ移動します・・・
qstr_Division_{reg1}_{s2}_f|{s2}第{reg1}分隊は、横隊を組みます(保存済み)。
qstr_Division_{reg1}_{s2}_fo|{s2}第{reg1}分隊は、横隊を{reg0}列組みます(保存済み)。
qstr_Delivered_{reg60}_da|{reg60}のダメージを与えました。
qstr_DEBUG__Health_Regen_|DEBUG (Health Regen): {s1} regains {reg0}% health.  = +{reg1}% STR
qstr_Your_bear_form_has_{|熊の姿でのHPは{reg2}/{reg1}です！
qstr_Three_Nazgul_are_cir|戦場の上空で3体のナズグールが旋回しています！
qstr_Two_Nazgul_are_circl|戦場の上空で2体のナズグールが旋回しています！
qstr_A_Nazgul_is_circling|戦場の上空でナズグールが旋回しています！
qstr_Some_of_your_human_t|あなたの兵のうち、いくらかは人間にもかかわらず闇の力にひるんでいません(ナイト系の兵は夜間のペナルティを受けません)。
qstr_You_are_filled_with_|敵の姿を目にしたあなたは、怒りで満たされました(狂戦士が発動しました)。
qstr_Your_mount_is_scared|あなたの馬は{s5}に怯えています！
; qstr_Your_mount_is_scared_|Your mount is scared by the {s5}, but you can master it!
qstr_Nazgul_sweep!|ナズグールの攻撃！
qstr_You_and_your_horse_p|ナズグールの耐え難い叫び声に、あなたと馬は動揺しています！
qstr_Your_horse_panics_th|ナズグールの耐え難い叫び声に、あなたの馬が動揺しています！
qstr_You_cower_in_terror_|ナズグールの耐え難い叫び声に、あなたは恐怖ですくみあがりました！
qstr_knocked_unconscious|気を失いました
qstr_Nazgul_diving_attack|ナズグールが{s11}を攻撃しました!
qstr_{s11}_is_{s10}_in_th|ナズグールの攻撃により、{s11}が{s10}！
qstr_Received_{reg66}_dam|{reg66}のダメージを受けました。
qstr_You_yell_for_your_ho|あなたは自分の馬を呼びました。
qstr_You_do_not_need_to_r|まだ檄を飛ばす必要はありません。
; qstr_You_rally_{reg10}_tr|You rally {reg10} troops!
qstr_{s5}_rallies_{reg65?|{s5}は部下の兵に檄を飛ばしました！
qstr_You_have_killed_{reg|あなたは敵兵を{reg1}名倒しました！
qstr_Your_bravery_inspire|あなたの勇猛さに兵士たちが勇気づけられています！
qstr_Your_mount_has_falle|あなたの馬が倒れました！
qstr_Receive_{reg22}_dama|{reg22}のダメージを受けました。
qstr_You_have_been_knocke|あなたは{s22}の手によって意識を失いました。
qstr_{s21}_has_been_knock|{s21}は乗馬が倒れた際に叩き落されました。
qstr_{s21}_{reg24?killed:|{s21} {s22}によって{reg24?殺され:意識を失い}ました。
qstr_A_bear_has_been_summ|戦場に熊が召喚されました！
qstr_In_The_Last_Days_of_|戦闘開始時、あなたの部下たちはやみくもに突撃する代わりに、陣を整えて待機します。 陣形命令は、'J'で横陣、 'K'でシールドウォール、'L'でくさび形、';'で方陣です。陣形を解除するには'U'を押してください。^あなたの兵が逃亡を始めたら、 'V'で檄を飛ばせます。 一回の戦闘で檄を飛ばせる回数は限られており、統率力スキルと魅力に依存します。
qstr_You_can_also_order_y|また、兵の使用する武器の種類も指示できます。^^Oで武器の種類、Pで盾に関する指示を出します。
; qstr_The_Last_Days_of_the|The Last Days of the Third Age has implemented a Custom Camera in order to bypass the current camera limitation with regards to shorter races (e.g Orcs and Dwarves).^^See Info Pages for how to control the different camera modes.
qstr_Battlefield_is_too_s|戦場が狭すぎるため、高度な陣形AIは使用できません。
qstr_You_have_a_clear_per|ただならぬ危険がまわりから迫って来るのを、はっきりと感じる！
qstr_New_ent_reached_batt|新手のエントが戦闘に加わりました・・・
qstr_You_receive_word_tha|ビヨルン一党の村が襲撃されたとの報を受け取りました。ビヨルン一党の勢力ポイントが下がりました。
qstr_You_receive_word_that|箱を持った指輪狩り一味の指揮官たちがモルドールへ向かって移動しているとの報を受け取りました。 モルドールの勢力ポイントが上がりました。
qstr_Enemy_reinforcements|敵の増援が到着しました。
qstr_Yarrrr!!|ヤアアアアア！！
qstr_Get_all_of_them!|ひとりも逃すな！
qstr_Kill_them_all!|皆殺しだ！
qstr_Toss_them_overboard!|甲板の外へ放り出せ！
qstr_It_is_a_good_day_to_|死ぬには悪くない日じゃないか！
qstr_All_hands_on_deck!_T|野郎ども！やつらを放り投げろ！
qstr_Ally_reinforcements_|味方の増援が到着しました
qstr_Forward_men!|全員、進め！
qstr_Leave_none_of_these_|あの汚物どもを一匹残らず倒せ！
qstr_End_them_all!|皆殺しだ！
qstr_Drive_them_back!|やつらを追い払え！
qstr_Protect_the_City!|町を守れ！
qstr_Forward!_Board_them!|進め！敵艦へ切り込め！
qstr_The_Last_Days_of_the_|The Last Days of the Third AgeはNativeとは大きく異なる、高度な攻城戦AIを採用しています。 すべてのユニットは左翼、右翼、中央に振り分けられます。 攻撃側のプレーヤーはいくらかの自分の兵に指示を出す事ができます。
qstr_on_the_left_flank|左翼
qstr_on_the_right_flank|右翼
qstr_through_the_center|中央
qstr_Attackers_charge_{s2|攻撃側の軍勢は{s2}より攻撃します
qstr_Attackers_charge_{s1|攻撃側の軍勢は{s1}より攻撃します
qstr_{s1}_rallied_to_your|あなたの魅力の力によって{s1}が味方の軍勢に檄を飛ばしました。
qstr_Last_attacker_wave._|攻撃側の最後の攻撃です。退却しますか？
qstr_Attackers_almost_def|攻撃側は敗北寸前です。退却しますか？
qstr_The_remaining_attack|攻撃側の残存兵は散り散りになっています！
qstr_The_remaining_defend|守備側の残存兵は持ち場を放棄して逃げています！
qstr_Reached_Gauntlet_wav|ガントレット第{reg1}波が来ました！
qstr_Ballista:_out_of_amm|投石器:弾切れです！
qstr_Ballista:_turn_CURSO|投石器:カーソルキーで旋回、 左SHIFTで照準、 スペースで発射、 Tで着火、 Fで離脱
qstr_Ballista:_out_of_ammo|投石器:弾切れです
qstr_The_ladders_on_Deepi|奥の防壁にはしごがかけられました！気をつけてください！
qstr_THREE.._TWO..._ONE..|3・・・ 2・・・ 1・・・ はじめ！
qstr_You_have_come_upon_t|頂きに視る椅子のおかれたゴンドールの見張りの塔であり、視る山と呼ばれるアモン・ヘンの廃墟にやってきました。^^過去の栄光をしのぶ事はできますが、長いあいだ忘れ去られた場所です。
qstr_You_have_come_upon_th|最後の同盟においてダゴルラドの戦いが行われた、死者の沼地にやってきました。^^かつて緑豊かだったここ一帯は湿地に飲み込まれ、 いまや緑といえば油光りのする陰気な水面上に鉛色の雑草のくずが見られるだけです。^^霧の中には枯れた草とくさったアシが、訪れなくなって久しい夏のみすぼらしい影のように浮かび、 濁った深みには人間、エルフ、そしてオークの死体が浮いています。^^空気は冷たく、じとじとしており、水面を漂うエルフの死体の目にろうそくの火が躍るのを見たあなたは、 体が震えるのを抑えられません。
qstr_You_have_entered_the|かつて緑森大森林と呼ばれた闇の森南部へやってきました。^^ドル・グルドゥアの要塞がすぐ近くにあり、森に暗い影を落としています。 この一帯の木々は弱々しく、そこらじゅうが腐っています。 古代のオークの木々は腐って菌類におおわれ、 大量の蜘蛛の巣が幹から幹へとからみあっています。^^あたりの暗い空気はまったく動きがなくて息が詰まり、 まるでゆっくりと窒息させられているように感じます。
qstr_You_have_found_the_D|伝説の槍が眠っていると思われる、ドワーフの倉庫を発見しました。 この事を{s3}に報告しましょう。
qstr_Leave_the_Warehouse?|倉庫を去りますか？
qstr_Leave_the_place_in_s|黙ってこの場を去りますか？
qstr_Leave_scene?|この場を去りますか？
qstr_Trace_back_your_step|今まで来た道を戻り、元の広場へ戻りますか？
qstr_There_is_no_way_out!|退路を絶たれています！オークに降伏しますか？
qstr_Stealth_mini_game_tu|ステルスのミニゲームの説明:二段階の警戒レベルがあります。 警戒レベル1は、 衛兵が死体を発見するか、 あなたを目視した場合に発動します。 警戒レベル2は、 警戒レベル1のときに、 衛兵があなたを目視した場合に発動します。 警戒レベル2の状態では、 衛兵が次から次へと駆けつけて来るので、 非常に危険です。 隠密状態でいれば、 発見されるのを防ぐ事ができます。 さまざまな物陰に身を隠す事で、 隠密状態を維持できます。
qstr_You_are_now_hidden.|隠密状態です。
qstr_You_move_out_of_hidi|隠密状態を解除しました。
qstr_The_guards_have_spot|衛兵が死体を発見しました！
qstr_Alarm_Level_is_now_a|警戒レベルが1になりました！
; qstr_You_have_been_too_sl|You have been too slow: The alarm has spread, and the sorcerer made his escape before you could get close.
qstr_Alarm_Level_is_now_at|警戒レベルは0です！
qstr_The_guards_have_spott|衛兵に発見されました！
qstr_Alarm_Level_is_now_at_|警戒レベルが2になりました！
; qstr_Enemy_reinforcements_|Enemy reinforcements arrived.
; qstr_Venture_deeper_into_|Venture deeper into the forest and find a way onward.
qstr_The_sorcerer_has_fle|妖術師は逃げてしまいました！
qstr_Report_this_ill_news|この残念な結果を、すぐにお方さまに報告しなければなりません。
qstr_The_sorcerer_is_flee|妖術師が逃げています！はやく倒してください！
qstr_The_sorcerer_has_joi|妖術師が戦闘に加わりました！倒してください！
qstr_The_sorcerer_is_dead|妖術師は死亡しました！
qstr_The_battle_is_won!|戦闘に勝利しました！
qstr_A_band_of_tribal_orc|部族オークの一団が現れました！
qstr_Gaaaar!!_We_wants_th|ガアアアア！肉だ、人間の肉だぞ！
qstr_{s31}_scouts_have_ap|{s31}の偵察隊が現れました！
qstr_Those_are_ours!_We_h|それは我々の獲物だ！ やつらが旅立って以来、 ずっと追跡してきたのだ！ 邪魔をさせるものか！
qstr_Trolls_appeared!|トロルが現れました！
qstr_Gaaaar!!|ガアアアアア！
qstr_{s31}_scouts_have_app|難民を助けるため、{s31}の偵察隊が現れました！
qstr_Hurry_men!_Help_the_|皆、急げ！難民を助けるのだ！あのクズどもは皆殺しだ、逃がすなよ！
qstr_Cannot_leave|離脱できません
qstr_Longbeard_Kinsman|長鬚族の一族
qstr_Ori_Longbeard|長鬚族のオーリ
qstr_We_shall_make_our_st|ここからは一歩も退かんぞ！バーリン万歳！
qstr_Noooo!_You_orcs_will|おのれ！このオークどもめ、ただで済むと思うなよ！
qstr_Arghhh!!_Nooo!!|ぐわっ！おのれ！！
qstr_I_will_take_down_as_|めいっぱい道連れに死んでやるわい！
qstr_Raaa!!|ラアアア！
qstr_Kill_the_dwarves!|ドワーフを殺せ！
qstr_Finish_them!|息の根を止めろ！
qstr_We_will_feast_on_you|おまえたちの肉で宴だ！
qstr_Dwarf_meat!|ドワーフの肉！
qstr_Eru_Iluvatar_has_dec|エル・イルーヴァタールはすでにバーリンの仲間の運命を定めた。 それはもう変える事はできない。
qstr_They_are_coming....!|来るぞ・・・！
qstr_Who...dares...enter.|ここへ来る・・・おろか者は・・・誰だ・・・
qstr_You_are_not_welcome_|ここはおまえの来る場所ではない！
qstr_Finally_I_found_you!|やっと見つけたぞ！さあ、ここから逃げよう！
qstr_You...are....ours...|おまえは・・・我々の・・・ものだ・・・
qstr_Look_at_my_over_the_|わしのショルダーショットを見てみい、{playername}！遠目からだとわしも超キレイじゃ！
qstr_You_wish_old_man_my_|お言葉ですが、ご老体、私のショルダーショットのほうがずっとキレイですよ！
qstr_You_should_really_se|おぬしは執政デネソールのフェースブックにある写真を見たか？ありゃ凄いぞ！
qstr_Press_Space_to_conti|スペースキーを押してください・・・
qstr_{s24}__{reg13}____{r|{s24} ({reg13}) - 次の昇格まであと{reg20}^
qstr_Influence:^_{reg11}_|影響力ポイント:^ {reg11} ({s16})^
qstr_Resource_Points:^_{r|リソースポイント:^ {reg12} ({s16})^
qstr_{s11}_{s24}__{reg13}|{s11} {s24} ({reg13}) - 次の昇格まであと{reg21}^
qstr_{s13}_{reg11}__with_|{s13} {reg11} ({s16})^
qstr_{s15}_{reg12}__in_{s|{s15} {reg12} ({s16})^
qstr_Four_years_after_bri|かつてドワーフの都市であったカザド＝ドゥームに移住するために ドワーフの一団を率いてエレボールを発ってから4年後、 バーリンは鏡の湖をのぞき込んでいる間に オークの放った矢に当たって命を落とし、 その直後に彼の部下たちは銀筋川から寄せてくるオークの大群に襲われた。 東門から第一広間、 カザド＝ドゥームの橋から第二広間へと退却につぐ退却を繰り返し、 生き残った長鬚族はついに第二十一広間にたどり着いた。 ドゥリンの扉からの脱出を試みるも失敗に終わってオインが命を落とし、 第二十一広間も敵に奪われると、 マザルブルの間がこの居留地の最後の砦となった。 扉にかんぬきをすると、 オーリと生き残りの数名は、最後の抵抗の準備を整えた。
qstr_You_chase_an_orc_sco|あなたはオークの偵察隊を追って森の中へ足を踏み入れた・・・
qstr_^No_food:___{reg7}|^食料切れ:-{reg7}
qstr_Current_party_morale|現在のパーティの士気は{reg5}です。^士気の修正値は次の通りです:^^基本値:+50^パーティの規模:{s2}{reg1}^統率力:{s3}{reg2}^食事のバラエティ:{s4}{reg3}{s5}^宝物:{s6}{reg6}^直近のイベント:{s7}{reg4}^合計:{reg5}
qstr_Defending|防衛中
qstr_Gathering_army|徴兵中
qstr_Besieging_{s11}|{s11}を包囲攻撃中
qstr_Raiding_{s11}|{s11}を襲撃中
qstr_Attacking_enemies_ar|{s11}周辺の敵を攻撃中
qstr_No_one|なし
qstr_{s9}{s10}^Current_st|{s9}{s10}^現在の状況:{s11}^元帥:{s12}^前回の攻勢:{reg1} 時間^攻勢時の同行者最大数:{reg2}^^
qstr_Selected_faction_is:|所属勢力:{s10}^^{s9}
qstr_You_are_in_perfect_h|あなたの健康状態は良好です。
qstr_You_are_suffering_fr|あなたは{s1}に悩まされています。
