qstr_Received_{reg0}_dama|Received {reg0} damage.
qstr_noone|noone
qstr_{s9}_and_{s10}|{s9} and {s10}
qstr_{s9}_{s10}|{s9}, {s10}
qstr_no_one|no one
qstr_{s11}_and_{s12}|{s11} and {s12}
qstr_{s11}_{s12}|{s11}, {s12}
qstr_{s5}_is_ruled_by_{s6|{s5} is ruled by {s6}.^It controls {s8}.^Its commanders are {s10}.^{s5} is at war with {s12}.
qstr_{s5}_has_been_defeat|{s5} has been defeated!
qstr_{s5}_has_a_strength_|{s5} has a strength of {reg1} men in total.
qstr_no_holdings|no holdings
qstr_{s57}_and_{s58}|{s57} and {s58}
qstr_{s57}_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?She:He}
qstr_^{s59}|^{s59}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54} is the ruler of {s56}.^:{s54} serves {s55} of {s56}.^}}{reg9?{reg3?She:He} is the {reg3?lady:lord} of {s58}.:}{s59}{reg10?^{reg3?She:He} died on the battlefield!:}
qstr_The_last_time_you_sa|The last time you saw {reg1?her:him}, {s1}
qstr_The_last_time_you_he|The last time you heard about {reg1?her:him}, {s1}
qstr_The_{s50}|The {s50}
qstr_{s50}|{s50}
qstr_{s50}_belongs_to_{s1|{s50} belongs to {s1} of {s2}.^
qstr_Current_garrison_con|Current garrison consists of {reg5} men.^Has food stock for {reg6} days.
qstr_Very_Poor|Very Poor
qstr_Poor|Poor
qstr_Average|Average
qstr_Rich|Rich
qstr_Very_Rich|Very Rich
qstr_Strength|Strength
qstr_Agility|Agility
qstr_Intelligence|Intelligence
qstr_Charisma|Charisma
qstr_You_ve_gained_{s6}_f|You've gained {s6} from gaining {s7}
qstr_You_ve_lost_{s6}_fro|You've lost {s6} from losing {s7}
qstr_{s50}_Caves|{s50} Caves
qstr_{s50}_Mines|{s50} Mines
qstr_{s50}_Woods|{s50} Woods
qstr_ERROR:_Companion_str|ERROR: Companion strings actual/needed: {reg1}/{reg2}
qstr_ERROR:_Companion_stri|ERROR: Companion strings actual/needed: {reg11}/{reg22}
qstr_{s4}_looks_upset.|{s4} looks upset.
qstr_your_party|your party
qstr_{reg0?One_of_your_pr|{reg0?One of your prisoners, :}{s1} of {s3} has escaped from captivity!
qstr_You_brought_{reg3}_h|You brought {reg3} heads of cattle to {s1}.
qstr_Log_entry_{reg3}:_ty|Log entry {reg3}: type {reg4}
qstr_Center:_{s4}|Center: {s4}
qstr_Troop:_{s4}|Troop: {s4}
qstr_Lord:_{s4}|Lord: {s4}
qstr_Ally_party_is_presen|Ally party is present
qstr_{s4}_is_present_at_e|{s4} is present at event
qstr_Event_#{reg5}_type_{|Event #{reg5}, type {reg6}, time {reg8}: player's kingdom relation to troop object = {reg7}
qstr_Event_#{reg5}_type_{r|Event #{reg5}, type {reg6}, time {reg8}: player's kingdom relation to center object faction = {reg7}
qstr_Event_#{reg5}_type_{re|Event #{reg5}, type {reg6}, time {reg8}: player's kingdom relation to faction object = {reg7}
qstr_Event_#{reg5}_type_{reg|Event #{reg5}, type {reg6}, time {reg8}. No relevant kingdom relation
qstr_Event_#{reg5}_type_{reg6|Event #{reg5}, type {reg6}, time {reg8}. Player unaffiliated
qstr_Elapsed_hours:_{reg7|Elapsed hours: {reg7}
qstr_Reputation_type:_{s1|Reputation type: {s15}
qstr_Entries_up_to_#{reg5|Entries up to #{reg5} skipped
qstr_A_new_location_is_no|A new location is now available on the map!
qstr_New_trait_gained:_{s|New trait gained: {s5}.
qstr_Gained_permanent_+1_|Gained permanent +1 to Strength.
qstr_Gained_permanent_+1_t|Gained permanent +1 to Agility.
qstr_Gained_permanent_+1_to|Gained permanent +1 to Charisma.
qstr_Gained_permanent_+20|Gained permanent +20 to weapon proficiencies.
qstr_Gained_permanent_+2_|Gained permanent +2 to Strength.
qstr_Gained_permanent_+2_t|Gained permanent +2 to Charisma.
qstr_Lost_permanent__1_to|Lost permanent -1 to Charisma.
qstr_Gained_permanent_+1_to_|Gained permanent +1 to Ironflesh.
qstr_Gained_permanent_+5_|Gained permanent +5 to Strength.
qstr_Lost_permanent__2_to|Lost permanent -2 to Charisma.
qstr_Gained_permanent_+2_to|Gained permanent +2 to Ironflesh.
qstr_Gained_permanent_+10|Gained permanent +10 to weapon proficiencies.
qstr_Gained_permanent_+1_to_T|Gained permanent +1 to Tactics.
qstr_You_have|You have
qstr_{s1}_has|{s1} has
qstr_{s11}_suffered_a_ser|{s11} suffered a serious wound.
qstr_The_leg_has_been_bad|The leg has been badly maimed in battle.
qstr___2_athletics__1_rid|(-2 athletics, -1 riding, -2 agility, -15 melee skill)
qstr_The_arm_has_been_bad|The arm has been badly maimed in battle.
qstr___20_weapon_skill__2|(-20 weapon skill, -2 strength, -1 power attacks)
qstr_The_head_has_suffere|The head has suffered a heavy blow.
qstr___1_intelligence_ski|(-1 intelligence skills, -15 missile skill)
qstr_The_chest_has_suffer|The chest has suffered some cracked ribs.
qstr___20_weapon_skill_|(-20 weapon skill)
qstr_{s1}_has_been_killed|{s1} has been killed.
qstr_You_were_killed.|You were killed.
qstr_{s1}_recovered_from_|{s1} recovered from a serious wound.
qstr_The_leg_wound_has_he|The leg wound has healed.
qstr__+2_athletics_+1_rid|(+2 athletics, +1 riding, +2 agility, +15 melee skill)
qstr_The_arm_wound_has_he|The arm wound has healed.
qstr__+20_weapon_skill_+2|(+20 weapon skill, +2 strength, +1 power attacks)
qstr_The_head_wound_has_h|The head wound has healed.
qstr__+1_intelligence_ski|(+1 intelligence skills, +15 missile skill)
qstr_The_cracked_ribs_hav|The cracked ribs have healed.
qstr__+20_weapon_skill_|(+20 weapon skill)
qstr_{s1}_has_had_his_hea|{s1} has had his health boosted
qstr_News_has_arrived_tha|News has arrived that {s1} of {s2} was killed in battle by the forces of {s28}!
qstr_{s1}_s_Burial_Mound|{s1}'s Burial Mound
qstr_{s1}_s_Funeral_Pyre|{s1}'s Funeral Pyre
qstr_{s1}_is_logged_as_de|{s1} is logged as dead
qstr_You_have_been_discov|You have been discovered before scaling the wall.
qstr_The_enemy_is_coming_|The enemy is coming in force, you must flee!
qstr_Scout_this_area_alon|Scout this area alone and meet your men beyond!
qstr_Be_stealthy_but_elim|Be stealthy but eliminate any threats quickly!
qstr_You_are_spotted_by_a|You are spotted by a patrol!
qstr_Eliminate_them_befor|Eliminate them before the alarm spreads!
qstr_You_have_reached_the|You have reached the dungeons!
qstr_Eliminate_the_guards|Eliminate the guards and free your men!
qstr_{s1}_has_been_captur|{s1} has been captured by the enemy.
qstr_Gondor_takes_a_capti|Gondor takes a captive
qstr_Rohan_takes_a_captiv|Rohan takes a captive
qstr_Mordor_takes_a_capti|Mordor takes a captive
qstr_Isengard_takes_a_cap|Isengard takes a captive
qstr_You_were_grievously_|You were grievously wounded and your body piled with the dead. Picking your moment you managed to escape over the wall but the enemy may have seen your movements. Best to be quickly away.
qstr_You_were_grievously_w|You were grievously wounded in battle. Your men managed to drag you away but took horrific casualties in the effort.
qstr_You_were_grievously_wo|You were grievously wounded in battle. Your men managed to drag you away but took horrific casualties in the effort. Unfortunately, some of your companions have been captured and dragged to {s2}.
qstr_You_were_grievously_wou|You were grievously wounded in battle. Your men managed to drag you away from the fighting, but unfortunately the sorcerer has managed to escape.
qstr_You_were_grievously_woun|You were grievously wounded and your body piled with the dead. Picking the right moment you managed to escape, but unfortunately the sorcerer has managed to escape.
qstr_Some_of_your_compani|Some of your companions are suffering from old wounds.
qstr_Item_you_just_equipp|Item you just equipped does not fit characters of this race and will be removed into player inventory shortly^^Make sure your equipment has space for the item, or it will be lost
qstr_Inappropriate_equipm|Inappropriate equipment
qstr_The_mount_you_just_e|The mount you just equipped does not fit characters of this race. Be warned that there will be problems with the animal behaviour on the battlefield, if you leave it as this
qstr_Inappropriate_mount|Inappropriate mount
qstr_{s24}:_Your_infantry|{s24}: Your infantry feels better!
qstr_{s24}:_Your_archers_|{s24}: Your archers feel better!
qstr_{s24}:_Your_cavalry_|{s24}: Your cavalry feels better!
qstr_Ah_what_a_coincidenc|Ah, what a coincidence, running into you, {playername}! You might not know me, but are not unknown to me. I am on my way to {s4}, but I have just come from {s3} and your name has come up. {s3} is counting on you in these perilous times and if you had thought to pursue some distracting course of action, you might wish to reconsider it and focus on aiding {s2} to your utmost capabilities.
qstr_Who_are_you?|Who are you?
qstr_A_friend_of_{s3}_and|A friend of {s3} and the people of {s2}. Now hurry! Mordor draws all wicked things, and the Dark Power is bending all its will to gather them there. Time is running out for all that is good in this world, unless we make count our every action to oppose it!
qstr_What_should_I_do?|What should I do?
qstr_Find_{s3}_s_whereabo|Find {s3}'s whereabouts immediately and speak with {reg3?her:him}. Good luck!
qstr_Good_to_see_the_Shad|Good to see the Shadow has not yet managed to defeat you, {playername}.
qstr_You_are_the_one_they|You are the one they call Gandalf or Mithrandir.
qstr_You_are_the_one_they_|You are the one they call Radagast.
qstr_That_is_what_some_ca|That is what some call me. In my times I have also been called other things, but unless the Darkness is stopped, soon there may not be anyone left to call me anything at all.
qstr_What_do_you_mean?|What do you mean?
qstr_In_spite_of_their_va|In spite of their valiant resistance, {s3} has been overwhelmed by the forces of evil. {s3}'s people are scattered and the good {s4} is no more.
qstr_You_bring_dismal_new|You bring dismal news, wizard.
qstr_But_I_also_bring_a_m|But I also bring a message of hope. The people of {s5} are still holding firm. Their warriors are fearless and their leaders resolute.
qstr_Help_them_fight_the_|Help them fight the enemy as best as you can. Never relent! But be on your guard! There are older and fouler things than Orcs in the world.
qstr_Beware_{playername}_|Beware, {playername}, the might of Darkness crumbles. {s3} has fallen, as has its leader {s4}.
qstr_What_do_you_want_of_|What do you want of me, old man?
qstr_Just_know_that_a_Daw|Just know that a Dawn is coming. It is inevitable. And should you still be alive to see it, consider what you shall have to say for yourself then.
qstr_Well_met_{playername|Well met, {playername}, {s24}. My trust in you has not been misplaced. The might of the forces of the Shadow has been broken and your efforts played no small part in it!
qstr_Thank_you_Mithrandir|Thank you, Mithrandir!
qstr_Thank_you_Radagast!|Thank you, Radagast!
qstr_The_wizard_Saruman_i|The wizard Saruman is gone and Barad Dur has been shattered to dust along with its Dark Lord! All the peoples of Middle Earth are relieved of the threat that nearly consumed all that was good and pure in this world. The Enemy is vanquished and The King has returned!
qstr_It_was_a_long_and_bl|It was a long and bloody war and many of our close friends are also no longer with us.
qstr_There_is_much_to_reg|There is much to regret and mourn, and even more to rebuild and mend in the coming days. But for now, let us be jubilant with those of our friends that are with us still and celebrate all we have achieved in The Last Days Of The Third Age.
qstr_Orcs_are_marching_ag|Orcs are marching against Helm's Deep.
qstr_Orcs_are_marching_aga|Orcs are marching against Edoras.
qstr_Ah_{playername}_happ|Ah, {playername}, happy chance that we come on each other in this fashion! Grim tidings I bring from Western Rohan, and haste is sore needed.
qstr_What_tidings_do_you_|What tidings do you bring, Mithrandir? What can I do?
qstr_Saruman_has_loosed_I|Saruman has loosed Isengard upon Rohan. {s1} For the success of my designs, the valiant Rohirrim must not fall, {playername}! The danger to them is very great, yet also the emptying of Isengard has left it vulnerable, for Saruman has despatched his full strength against Theoden King. This may be the time to move into Nan Curunir. A choice is now laid before you, Commander, a choice you must make, for neither you nor I may be everywhere at once!
qstr_Do_you_want_me_to_he|Do you want me to help King Theoden defend {s3}, or hasten to Isengard and see what I can do?
qstr_Either_would_be_a_gr|Either would be a great boon to me. You must decide your course on your own, {playername}, as shall I. Shadowfax shall bear me now on a swift errand. You must act quickly as well! Hasten now!
qstr_Gandalf_asked_you_to|Gandalf asked you to either help Theoden defend {s3} or find out what is happening in Isengard.
qstr_Ents|Ents
qstr_Hail_{playername}!_I|Hail, {playername}! I hope you are unhurt? At any rate, I am pleased you aided my friend Fangorn, or you may know him as Treebeard. The tree shepherds are very mighty, but it was likely that they marched to their doom. You have perhaps saved them from a great peril, Commander, and for that I am glad. I would not like to see the oldest of all living things pass from the world, no, not just yet… no, not before they see the Entwives again, I should hope.
qstr_Missing_String|Missing String
qstr_Well_thank_you_{play|Well, thank you, {playername}, and farewell. We may meet again, ere the waning of the moon!
qstr_Hail_{playername}!_I_|Hail, {playername}! I hope you are unhurt? At any rate, you seem to have lain your blade to the right foe. No enemy has yet taken the Hornburg, and likely none ever shall – not while the likes of you defend Helm’s Gate, I’ll warrant!
qstr_Your_deed_has_greatl|Your deed has greatly helped my design, better even than I could have hoped or planned. Farewell, {playername}, and thank you. We may meet again, ere the waning of the moon!
qstr_{Playername}_I_will_|{Playername}, I will ask you a thing now. You are accounted an able captain, and a dutiful one; were you overmastered by great foes? Did you tarry overlong, for caution or even fear? Behold, we are now come into a greater peril than I could have foreseen. The strength of Rohan is broken, her people scattered and shieldless: Helm’s Deep has fallen. The trees are withered untimely, and night lies over the forge-fires of Isengard: the Ents of Fangorn Forest are dead or driven back.
qstr_You_have_failed_me_{|You have failed me, {playername} – or perhaps it is I who have failed you. Perhaps there was some flaw in my design, some grave blunder I did not recognise… The terror of Mordor comes. Leave me now, {playername}. We may meet again… or perhaps not.
qstr_Bagginsssss..._Ssssh|Bagginsssss... Sssshhhire...
qstr_I..._don_t_know!|I... don't know!
qstr_It..._beckonsssssss.|It... beckonsssssss...
qstr_Treachery..._Unforgi|Treachery... Unforgiven...
qstr_But_I...|But I...
qstr_Noone..._oppossssses|Noone... oppossssses... Barad Dur... and livessss!
qstr_All..._must..._submi|All... must... submit... and... serve...
qstr_I_serve_the_Eye!|I serve the Eye!
qstr_I_shall_serve_the_Ey|I shall serve the Eye!
qstr_Go_to_{s1}_and_speak|Go to {s1} and speak with {s9}.
qstr_The_Remnant_Forces_o|The Remnant Forces of {s22} have gathered to reinforce the {s15} theater!
qstr_The_strength_of_the_|The strength of the remaining allied factions of the {s15} theater has increased
qstr_{s30}_reinforced_by_|{s30} reinforced by {reg65} fac str
qstr_{s1}_has_been_besieg|{s1} has been besieged by {s2} of {s3}.
qstr_The_forces_of_{s2}_m|The forces of {s2} march to {s15}!
qstr_ERROR|ERROR
qstr_Rohan_capital_moved_|Rohan capital moved from Edoras to Hornburg!
qstr_Dale_capital_moved_f|Dale capital moved from Dale to Esgaroth!
qstr_Gundabad_capital_mov|Gundabad capital moved from Gundabad to Goblin Town!
qstr_You_have_breached_th|You have breached the Ring of Isengard with the help of the Tree Men. During the battle, Isengard was flooded, but Orthanc still stands unscathed in midst of the havoc. You should investigate the aftermath.
qstr_The_hosts_of_{s2}_re|The hosts of {s2} retreat back to their homes!
qstr____Ruins_of_{s1}___|   Ruins of {s1}   
qstr_{s1}_siege_attack!|{s1} siege attack!
qstr_{s1}_has_joined_the_|{s1} has joined the Hand
qstr_{s1}_has_joined_the_E|{s1} has joined the Eye
qstr_ranks|ranks
qstr_shield_wall|shield wall
qstr_wedge|wedge
qstr_square|square
qstr_up|up
qstr___Infantry_forming_{|  Infantry forming {s1}.
qstr___Not_enough_infantr|  Not enough infantry to form {s1}, holding instead.
qstr___Cavalry_forming_{s|  Cavalry forming {s1}.
qstr___Not_enough_cavalry|  Not enough cavalry to form {s1}, holding instead.
qstr___Archers_forming_{s|  Archers forming {s1}.
qstr___Not_enough_archers|  Not enough archers to form {s1}, holding instead.
qstr___Infantry_formation|  Infantry formation disassembled.
qstr___Cavalry_formation_|  Cavalry formation disassembled.
qstr___Archer_formation_d|  Archer formation disassembled.
qstr_Division_{reg1}_{s2}|Division {reg1} {s2} forming {s1}.
qstr_Not_enough_troops_in|Not enough troops in division {reg1} {s2} to form {s1}.
qstr_Division_{reg1}_{s2}_|Division {reg1} {s2} is an {s3} division and cannot form {s1}.
qstr_{s1}:_infantry_forma|{s1}: infantry formation disassembled.
qstr_{s1}:_archer_formati|{s1}: archer formation disassembled.
qstr_{s1}:_skirmisher_for|{s1}: skirmisher formation disassembled.
qstr_{s1}:_cavalry_format|{s1}: cavalry formation disassembled.
qstr_{s1}:_formation_disa|{s1}: formation disassembled.
qstr_Cavalry_formation_di|Cavalry formation disassembled.
qstr_The_placement_of_{s1|The placement of {s1} division {reg0} memorized.
qstr_The_placement_of_{s1}|The placement of {s1} division {reg0} set to default.
qstr_Your_party_s_tactica|Your party's tactical skill limits how far away you can deploy your troops!
qstr_...and_attack_enemy_|...and attack enemy {s1} division!
qstr_{s2}:_returning_afte|{s2}: returning after destroying enemy {s1} division.
qstr_infantry|infantry
qstr_archer|archer
qstr_cavalry|cavalry
qstr_polearm|polearm
qstr_skirmisher|skirmisher
qstr_mounted_archer|mounted archer
qstr_support|support
qstr_bodyguard|bodyguard
qstr_undetermined_type_of|undetermined type of
qstr_{s1}_has_fled_the_ba|{s1} has fled the battle!
qstr_Your_side_is_at_{reg|Your side is at {reg1}% cohesion ({reg3}% recent events), the enemy at {reg2}%!
qstr_Morale_of_your_troop|Morale of your troops wavers!
qstr_Morale_of_your_enemi|Morale of your enemies wavers!
qstr_Your_enemies_flee_in|Your enemies flee in terror!
qstr_Many_of_your_enemies|Many of your enemies are fleeing from battle.
qstr_Some_of_your_enemies|Some of your enemies are fleeing from battle.
qstr_A_few_of_your_enemie|A few of your enemies are fleeing from battle.
qstr_Your_troops_flee_in_|Your troops flee in terror!
qstr_Many_of_your_troops_|Many of your troops are fleeing from battle.
qstr_Some_of_your_troops_|Some of your troops are fleeing from battle.
qstr_A_few_of_your_troops|A few of your troops are fleeing from battle.
qstr_lord_{reg1}:_{s1}_is|lord {reg1}: {s1} is defending {s2}
qstr_lord_{reg1}:_{s1}_NO|lord {reg1}: {s1} NOT defending {s2}
qstr_lord_{reg1}:_{s1}_is_|lord {reg1}: {s1} is patrolling around {s2}
qstr_lord_{reg1}:_{s1}_NOT|lord {reg1}: {s1} NOT patrolling around {s2}
qstr_lord_{reg1}:_{s1}_is_a|lord {reg1}: {s1} is accompanying {s2}
qstr_lord_{reg1}:_{s1}_NOT_|lord {reg1}: {s1} NOT accompanying {s2}
qstr_Gained_permanent_+1_to_P|Gained permanent +1 to Pathfinding.
qstr_Gained_permanent_+1_to_S|Gained permanent +1 to Spotting.
qstr_INVALID_PARTY_BEING_|INVALID PARTY BEING REMOVED ({s1})! DISABLED INSTEAD. PLEASE LET THE DEVS KNOW. THIS IS A TEST AGAINST SAVE GAME CORRUPTION.
qstr_DEBUG:_{s1}_made_dor|DEBUG: {s1} made dormant.
qstr_DEBUG:_Dormant_{s1}_|DEBUG: Dormant {s1} spawned around {s2}
qstr_DEBUG:_No_Dormant_{s|DEBUG: No Dormant {s1} found. Creating one near {s2}
qstr_{s11}_recovered_from|{s11} recovered from a serious wound.
qstr_Volunteers|Volunteers
qstr_Reserves|Reserves
qstr_{s4}|{s4}
qstr_have_taken_measure_o|have taken measure of your faction's current strength and has grown bolder.
qstr_loses_Faction_Streng|loses Faction Strength as supply lines were disrupted.
qstr_loses_Faction_Strengt|loses Faction Strength due to the destruction of their camp.
qstr_gains_Faction_Streng|gains Faction Strength as news of your victory spreads.
qstr_{s11}_{s10}|{s11} {s10}
qstr_{s13}_{s14}|{s13} {s14}
qstr_Notice:_Isengard_Las|Notice: Isengard Last Stand quest cancelled for savegame compatibility reasons. Isengard can now be sieged like a regular city.
qstr_Hobbit_quest_aborted|Hobbit quest aborted for compatibility reasons. Hobbits will now only appear after certain conditions are met.
qstr_Something_wrong_not_|Something wrong, not enough troops to remove
qstr_Troop:_{s6}___Level:|Troop: {s6} - Level: {reg1}
qstr_{reg6}_Centers_Left_|{reg6} Centers Left for {s2}
qstr_DEBUG:_{reg0}_troop_|DEBUG: {reg0} troop stacks of {s1} found
qstr_DEBUG:_8_Hours_to_hi|DEBUG: 8 Hours to hide
qstr_DEBUG:_7_Hours_to_hi|DEBUG: 7 Hours to hide
qstr_DEBUG:_6_Hours_to_hi|DEBUG: 6 Hours to hide
qstr_DEBUG:_5_Hours_to_hi|DEBUG: 5 Hours to hide
qstr_Raiders|Raiders
qstr_have_won_the_sea_bat|have won the sea battle, demoralizing your troops. The enemy may take advantage of this defeat and attack more frequently.
qstr_loses_Faction_Strength|loses Faction Strength due to the destructive raid.
qstr_loses_Faction_Strength_|loses Faction Strength due to the your success at the sea.
qstr_You_spent_{reg67}_of|You spent {reg67} of your influence with {s1}, with {reg66} remaining.
qstr_{s15}_VS_{s16}|{s15} VS {s16}
qstr_Pre_div:_{reg71}___A|Pre-div: {reg71} - A: {reg67}
qstr_Pre_Division:_A:{reg|Pre-Division: A:{reg71} -- B:{reg68} -- C:{reg70} --  D:{reg61} -- E:{reg63}
qstr_Formula:_[_A:{reg67}|Formula: [(A:{reg67} + B:{reg69} - C:{reg64})
qstr_Formula:_[_A:{reg67}_|Formula: [(A:{reg67} + B:{reg69} - C:{reg64}) * D: {reg61}]/20000
qstr_Formula:_[_A:{reg67}_+|Formula: [(A:{reg67} + B:{reg69} - C:{reg64}) * D: {reg61}]/100 + E: {reg63}
qstr_Total:_{reg62}|Total: {reg62}
qstr_lord_{reg1}:_{s1}_is_at|lord {reg1}: {s1} is attacking {s2}
qstr_lord_{reg1}:_{s1}_NOT_a|lord {reg1}: {s1} NOT attacking {s2}
qstr_{s2}_{reg3?was:is_ar|{s2} {reg3?was:is around {s5}.
qstr_Army_of_{s6}|Army of {s6}
qstr_Host_of_{s6}|Host of {s6}
qstr_The_host_of_Isengard|The host of Isengard has razed {s2}!
qstr_warp_array_created_a|warp array created at {reg1}
qstr_warp_temp_array_crea|warp temp array created at {reg1}
qstr_{s0}|{s0}
qstr_{s3}{s1}{s0}|{s3}{s1}{s0}
qstr_{s3}{s2}{s0}|{s3}{s2}{s0}
qstr_{s1}_{s0}|{s1}, {s0}
qstr_{s1}_and_{s0}|{s1} and {s0}
qstr_{reg0}|{reg0}
qstr_No_Troops_Left.|No Troops Left.
qstr_avoid_melee|avoid melee
qstr_stand_and_fight|stand and fight
qstr_Everyone|Everyone
qstr_Shield___{reg31}_|Shield (-{reg31})
qstr_Power_Draw___{reg31}|Power Draw (-{reg31})
qstr_Riding___{reg31}_|Riding (-{reg31})
qstr_Horse_Archery___{reg|Horse Archery (-{reg31})
qstr_Athletics___{reg31}_|Athletics (-{reg31})
qstr_No_Skill_Penalty_Ass|No Skill Penalty Assigned
qstr_Inventory|Inventory
qstr_Show_stats|Show stats
qstr_Show_item_details__|Show item details  
qstr_Troop_detail|Troop detail
qstr_{s1}^|{s1}^
qstr_{s1}Level:_{reg1}^|{s1}Level: {reg1}^
qstr_{s1}Hit_Points:_{reg|{s1}Hit Points: {reg1}
qstr_{s1}Atributes:_^___S|{s1}Atributes: ^   Strength:^
qstr_{s2}^{reg1}^|{s2}^{reg1}^
qstr_{s1}___Agility:|{s1}   Agility:
qstr_{s2}{reg1}|{s2}{reg1}
qstr_{s1}Main_skills:_^|{s1}Main skills: ^
qstr_{s1}___Power_Strike:|{s1}   Power Strike:^
qstr_{s2}{reg1}^|{s2}{reg1}^
qstr_{s1}___Athletics:^|{s1}   Athletics:^
qstr_{s1}___Riding:^|{s1}   Riding:^
qstr_{s2}_^|{s2}-^
qstr_{s1}___Power_Throw:^|{s1}   Power Throw:^
qstr_{s1}___Power_Draw:^^|{s1}   Power Draw:^^
qstr_{s2}{reg1}^^|{s2}{reg1}^^
qstr_{s2}_^^|{s2}-^^
qstr_{s1}Weapons:^|{s1}Weapons:^
qstr_{s1}___One_Handed:^|{s1}   One Handed:^
qstr_{s1}___Two_Handed:^|{s1}   Two Handed:^
qstr_{s1}___Polearms:^|{s1}   Polearms:^
qstr_{s1}___Archery:^|{s1}   Archery:^
qstr_{s1}___Crossbow:^|{s1}   Crossbow:^
qstr_{s1}___Throwing:^|{s1}   Throwing:^
qstr_{s1}___Slings:|{s1}   Slings:
qstr_{s2}_|{s2}-
qstr__Click_on_the_troop_|(Click on the troop to rotate it)^^Click on pieces of gear ^(helmet, armor, gloves and boots)^ to display them.
qstr_ready_bows_and_missi|ready bows and missiles
qstr_ready_side_arms|ready side arms
qstr_ready_two_hander|ready two-hander
qstr_ready_polearms|ready polearms
qstr_shields_up|shields up
qstr_doff_shields|doff shields
qstr_Distance___{reg70}__|Distance - {reg70} - {s11} Party - {s12} Troop
qstr_{s70}_target_found|{s70} target found
qstr_Mordor_Cloud_Spawned|Mordor Cloud Spawned
qstr_A_golden_mist_from_L|A golden mist from Lórien covers the battlefield. Your troops feel encouraged by the presence of the Lady.
qstr_A_golden_mist_from_Lr|A golden mist from Lórien covers the battlefield. The witch is near, sending shivers down you and your troops' spine.
qstr_Dark_clouds_from_Mor|Dark clouds from Mordor cover the battlefield. Your archers have trouble seeing the enemy, and the presence of evil terrifies your men.
qstr_Dark_clouds_from_Mord|Dark clouds from Mordor cover the battlefield. The Dark Lord's presence strengthens you and your men.
qstr_A_thunderstorm_from_|A thunderstorm from the Misty Mountains rages over the battlefield. Your troops are slowed down, and the superstitious amongst the men feel scared.
qstr_A_thunderstorm_from_t|A thunderstorm from the Misty Mountains rages over the battlefield. Archers have difficulty in this weather.
qstr_A_poisonous_fog_from|A poisonous fog from Dol Guldur lingers on the battlefield. You and your troops feel weakened. There is fear amongst the men.
qstr_A_poisonous_fog_from_|A poisonous fog from Dol Guldur lingers on the battlefield. You do not feel any different, but you hear your enemies suffer and you can smell their fear.
qstr_swy_ui_evil|swy ui evil
qstr_swy_river_tinting_co|swy river tinting color
qstr_{s2}_attacked|{s2} attacked
qstr_You_shapeshift_into_|You shapeshift into a bear!
qstr_You_got_{reg1}_exper|You got {reg1} experience in bear form.
qstr_Your_ability_to_chan|Your ability to change skin has manifested, from now on you can walk wild paths both as man and a bear.
qstr_You_change_back_to_h|You change back to human form...
qstr_Refill_Ammunition|Refill Ammunition
qstr_Your_mount_stumbles!|Your mount stumbles! It seems to be lame.
qstr_Bitten_by_your_own_w|Bitten by your own warg mount!
qstr_You_weigh_too_much_f|You weigh too much for a pony!
qstr_Your_mount_rears_ref|Your mount rears, refusing to obey your commands!
qstr_Cannot_Change_Camera|Cannot Change Camera Mode while in First Person.
qstr_Switch_Back_to_3rd_P|Switch Back to 3rd Person View to Cycle Camera.
qstr_Fixed_Custom_Camera|Fixed Custom Camera
qstr_Press_Ctrl_+_Left_/_|Press Ctrl + Left / Ctrl + Right Arrow Keys to Switch Shoulders
qstr_Press_Ctrl_+_Down_to|Press Ctrl + Down to Center
qstr_Press_Ctrl_and_+/__t|Press Ctrl and +/- to zoom in/out
qstr_Press_Ctrl_and_Up/Do|Press Ctrl and Up/Down arrow keys to tilt up/down
qstr_Fixed_Camera___Right|Fixed Camera - Right Shoulder
qstr_Fixed_Camera___Left_|Fixed Camera - Left Shoulder
qstr_Fixed_Camera___Cente|Fixed Camera - Center
qstr_key_clicked|key clicked
qstr_Shield_is_too_big_to|Shield is too big to be used with a bow.
qstr_{s7}_waves_at_you.|{s7} waves at you.
qstr_You_happen_upon_an_O|You happen upon an Old Guesthouse. As you inspect the weathered stone building, you notice a group of boys playing among the pillars, the only children you have seen in Minas Tirith.  One of them greets you and you wave back. Your heart is gladdened and you forget, for a brief moment, the sorrow of war.
qstr_You_look_through_Hen|You look through Henneth Annun, the Window of the Sunset. The beautiful sight restores your faith in the West and the Powers beyond.
qstr_As_you_follow_the_st|As you follow the straight stairs, cut into the rock of the mountain, and then a second set of stairs, winding as it clings to the cliff-face, you realize that you should not pursue this path any further if you value your own life.
qstr_You_are_unable_to_en|You are unable to endure the horrors of the Dead City.
qstr_You_endure_the_horro|You endure the horrors of the Dead City and explore its innermost circles. The Silent Watchers recognise your boldness and don't oppose you. (You gained 1 Charisma.)
qstr_You_are_unable_to_end|You are unable to endure the horrors of the temple.
qstr_You_endure_the_horror|You endure the horrors of the unspeakable rituals in this sacred place. The cruel people of Rhun recognise the strength you have shown and some of their mightiest decide to join your party.
