qstr_Gate_is_breached!|Portão está quebrado!
; qstr_Report_this_ill_news|Report this ill news to the Lady at once.
qstr_The_sorcerer_is_flee|O feiticeiro está fugindo! Mate-o!
; qstr_The_sorcerer_has_joi|The sorcerer has joined the fight! Kill him!
qstr_The_sorcerer_is_dead|O mago está morto!
qstr_The_battle_is_won!|A batalha foi vencida!
; qstr_A_band_of_tribal_orc|A band of tribal orcs have appeared!
; qstr_Gaaaar!!_We_wants_th|Gaaaar!! We wants those human meat!
; qstr_{s31}_scouts_have_ap|{s31} scouts have appeared!
; qstr_Those_are_ours!_We_h|Those are ours! We have been tracking them since they left! No one stands in our way!
; qstr_Trolls_appeared!|Trolls appeared!
; qstr_Gaaaar!!|Gaaaar!!
; qstr_{s31}_scouts_have_app|{s31} scouts have appeared to aid the refugees!
; qstr_Hurry_men!_Help_the_|Hurry, men! Help the refugees! Kill all the scum and do not let them escape!
; qstr_Cannot_leave|Cannot leave

; qstr_Look_at_my_over_the_|Look at my over-the-shoulder shot, {playername}! I'm so beautiful from a distance!
; qstr_You_wish_old_man_my_|You wish, old man, my over-the-shoulder view is much prettier!
; qstr_You_should_really_se|You should really see Steward Denetor's Facebook photos, he's amazing!
qstr_Press_Space_to_conti|Pressione Espaço para continuar...
; qstr_{s24}__{reg13}_|{s24} ({reg13})
qstr_Influence:^_{reg11}_|Influência:^ {reg11} (with {s16})
; qstr_Resource_Points:^_{r|Resource Points:^ {reg12} (in {s16})
; qstr_{s11}_{s24}__{reg13}|{s11}, {s24} ({reg13})
; qstr_{s13}_{reg11}__with_|{s13}, {reg11} (with {s16})
; qstr_{s15}_{reg12}__in_{s|{s15}, {reg12} (in {s16})
; qstr_^No_food:___{reg7}|^No food:  -{reg7}
qstr_Current_party_morale|A moral da festa atual é {reg5}.^ Os modificadores de moral da party atual são:^^ Base moral: +50^ Tamanho da festa: {s2} {reg1}^ Liderança: {s3} {reg2} ^ Variedade alimentar: {s4} {reg3 } {s5}^ Itens especiais: {s6} {reg6}^ Eventos recentes: {s7} {reg4}^ TOTAL: {reg5}
qstr_Defending|Defendendo
; qstr_Gathering_army|Gathering army
qstr_Besieging_{s11}|Sitiando {s11}
qstr_Raiding_{s11}|Invadindo {s11}
qstr_Attacking_enemies_ar|Atacando inimigos ao redor {s11}
qstr_No_one|Ninguém
; qstr_{s9}{s10}^Current_st|{s9}{s10}^Current state: {s11}^Marshall: {s12}^Since the last offensive: {reg1} hours^Offensive maximum followers: {reg2}^^
; qstr_Selected_faction_is:|Selected faction is: {s10}^^{s9}
qstr_You_are_in_perfect_h|Sua saúde está perfeita.
qstr_You_are_suffering_fr|Vocês está sofrendo de {s1}
qstr_You_are_suffering_fro|Vocês está sofrendo de {s1} e {s2}
qstr_You_are_suffering_from|Vocês está sofrendo de {s1}, {s2} e {s3}
qstr_You_are_suffering_from_|Vocês está sofrendo de {s1}, {s2}, {s3} e {s4}
; qstr_Weekly_upkeep_for_tr|Weekly upkeep for troops:^{reg5} Resource Points^
; qstr_{s12}^__{s4}:_{reg4}|{s12}^  {s4}: {reg4} Resource points ({reg5})
qstr_No_upkeep_costs|Sem custos de manutenção
; qstr_Orc_hiring_bonus:_+2|Orc hiring bonus: +2/3 for each orc^
; qstr_Current_party_size_l|Current party size limit is {reg5}.^Current party size modifiers are:^^Base size:  +10^Leadership: {s2}{reg1}^Charisma: {s3}{reg2}^Ranks: {s4}{reg3}^{s5}TOTAL:  {reg5}
; qstr_{s2}^_________{s4}:_|{s2}^         {s4}: {reg1} ({s23})
; qstr__________Faction_str|         Faction strengths report:^{s2}
; qstr_{s1}^^Factions_are_n|{s1}^^Factions are normally sieged when below {reg1} strength.
; qstr_Savagery|Savagery
; qstr_{s2}^^{s5}^{s6}|{s2}^^{s5}^{s6}
; qstr_Traits_gained:^{s2}|Traits gained:^{s2}
; qstr_^^You_are_{s17}.|^^You are {s17}.
qstr_Assassins_in_the_cam|Assassinos no acampamento, defenda-se!
qstr_Ally_party_size:_{re|Tamanho do grupo aliado: {reg1}
qstr_Enemy_party_size:_{r|Tamanho do grupo inimigo: {reg1}
; qstr_Party_count:_{reg0}|Party count: {reg0}
; qstr_Party_position__{reg|Party position ({reg2},{reg3}).
; qstr_Party_size_increased|Party size increased from {reg0} to {reg1}!
; qstr_Faction_strengths_re|Faction strengths report:^{s2}
qstr_Attacking_enemy_part|Atacando grupo inimigo {s11}
qstr_Unknown_{reg3}_|Desconhecido({reg3})
qstr_ON|Ativado
qstr_OFF__cheat_|Desativado (trapaça)
qstr_OFF|Desativado
; qstr_{reg0}__will_most_li|{reg0} (will most likely cause save crashes)
; qstr_{reg0}__could_possib|{reg0} (could possibly cause save crashes)
qstr_Normal|Normal
qstr_Defender_only|Somente defensores
qstr_Halved|Reduzido
qstr_Battles_only|Somente batalha
qstr_Doubled|Duplicado
qstr_Tripled|Triplicado
qstr_Quadrupled|Quadruplicado
qstr_You_drank_the_Ent_Wa|Você bebeu a água Ent...
qstr_Fangorn_search:_fail|Busca Fangorn: falhou.
qstr_Troll_caged_in_wheel|Troll preso em gaiola de rodas
qstr_A_second_troll_is_ca|Um segundo troll está preso em uma gaiola de rodas
qstr_Here_you_are.|Aqui está você.
qstr_Player_was_moved_to_|Jogador movido para {s10}.
; qstr_neutral_whereabouts|neutral whereabouts
qstr_any|qualquer
qstr_woman|mulher
qstr_gondor|gondor
qstr_rohan|rohan
qstr_dunlander|dunlander
qstr_urukhai|urukhai
; qstr_haradrim|haradrim
qstr_dwarf|anão
qstr_troll|troll
qstr_dunedain|dunedáin
qstr_lothlorien|lothlorien
qstr_rivendell|valfenda
qstr_mirkwood|floresta das trevas
qstr_evil_man|homem mau
qstr_{reg11}0___{reg11}9|{reg11}0 - {reg11}9
qstr_Regular_troops_only|Somente tropas regulares
qstr_Heroes_only|Somente heróis
qstr_Regulars_and_Heroes|Regulares e Heróis
qstr_HP_lost_from_poisoni|HP perdido por envenenamento
qstr__{s17}.|, {s17}.
qstr_A_group_of_{s1}_is_{|Um grupo de {s1} está {s10} em direção a você.
qstr_You_are_attacking_a_|Você está atacando um grupo de {s1}.
qstr_The_battle_against_t|A batalha contra o grupo de {s1} continua.
; qstr_Having_a_small_party|Having a small party has its benefits...You and your troops hide from the enemy for a few hours to be sure that you are not seen.
; qstr_Your_ability_to_surv|Your ability to survive in harsh environments allowed you to find a safe place to hide. (Your skill in Wildcraft allows you to hide with {reg1} troops)
; qstr_{reg4}_will_be_lost.|{reg4} will be lost.
qstr_{s13}_asked_you_to_r|{s13} pediu-lhe para entregar no minimo {reg13} tropas.
qstr_{s13}_ordered_you_to|{s13} ordenou que você se junte ao assalto contra {s14}.
qstr_You_were_victorious!|Você foi vitorioso! 
; qstr_The_battle_was_lost.|The battle was lost. Your forces were utterly crushed.
qstr_Your_companions_carr|Seus companheiros te carregaram para longe da luta
qstr_You_have_defeated_th|Você foi derrotado pelo inimigo.
qstr_You_have_retreated_f|Você fugiu da luta.
qstr_^^Ally_Casualties:{s|^^Perdas aliadas:{s0}
; qstr_You_and_{s3}_celebra|You and {s3} celebrate your victory against {s4}.
qstr_News_of_your_victory|Novidades da sua vitória contra {s4} alcançou {s3}.
; qstr_{s3}_witnesses_your_|{s3} witnesses your victory against {s4}.
; qstr_Even_though_there_we|Even though there were no allies to witness your victory, your troops nevertheless celebrate your triumph.
qstr_{s1}_of_{s3}_managed|{s1} de {s3} conseguiu escapar.
; qstr_Prisoners_rescued_so|Prisoners rescued so far: {reg1}
; qstr_Victory_comment._Pla|Victory comment. Player was alone
qstr_Ordinary_victory_com|Comentário de vitória comum. O jogador forneceu pelo menos 40 por cento de forças
qstr_Player_participation|Comentário de participação do jogador. O inimigo tinha pelo menos 1k de força inicial.
qstr_No_victory_comment._|Nenhum comentário de vitória. A batalha foi pequena e o jogador forneceu menos de 40 por cento da força aliada
; qstr_{reg1}_kills_of_{s1}|{reg1} kills of {s1} faction troops counted towards Oath. TOTAL Kills: {reg0}
qstr_Some_of_your_tendons|Alguns dos deus tendões foram danificados durante a batalha. Você perdeu 1 força.
qstr_You_took_a_nasty_wou|Você tomou uma ferida desagradável que fará com que você coxe levemente, mesmo depois de curado. Você perde 1 agilidade.
qstr_You_have_trouble_thi|Você tem dificuldade para pensar logo após a batalha, talvez de um golpe particularmente forte em sua cabeça, e as dores de cabeça frequentes agora atormentam sua existência. Sua inteligência é reduzida em 1.
; qstr_Perhaps_I_m_getting_|Perhaps I'm getting unlucky...
; qstr_Retirement_is_starti|Retirement is starting to sound better and better.
; qstr_No_matter!_I_will_pe|No matter! I will persevere!
qstr_What_did_I_do_to_des|O que fiz para merecer isto?
; qstr_I_suppose_it_ll_make|I suppose it'll make for a good story, at least...
qstr__{s17}|, {s17}
qstr_You_retreated_from_b|Você recuou da batalha.
qstr_{s9}_wants_you_to_fo|{s9} quer que você siga seu exercíto até segunda ordem.
qstr_{s8}_of_{s9}|{s8} de {s9}
qstr__Your_own_banner_fli|Sua própria bandeira balança sobre os portões do castelo
qstr__You_see_the_banner_|Você vê a bandeira de{s7} sobre os portões do castelo.
qstr__This_castle_seems_t|Esse castelo parece não pertencer a ninguém.
qstr__Your_own_banner_flie|Sua própria bandeira balança sobre os portões da cidade.
qstr__You_see_the_banner_o|Você avista a bandeira de {s7} acima dos portões da cidade.
qstr__The_townsfolk_here_|O povo daqui parece ter declarado sua independência.
qstr_Go_to_the_secret_ent|Vá até a entrada secreta para Moria
qstr_Search_for_a_secret_|Procure pela entrada secreta para Moria
qstr_Get_book.|Pegar livro.
; qstr_The_{reg6?town_s:cas|The {reg6?town's:castle's} food stores should last for {reg3} more days.
; qstr_The_{reg6?town_s:cast|The {reg6?town's:castle's} food stores have run out and the defenders are starving.
; qstr_You_re_preparing_to_|You're preparing to attack the walls, the work should finish in {reg9} hours.
; qstr_Your_forces_are_buil|Your forces are building a siege tower. They estimate another {reg9} hours to complete the build.
qstr_You_are_ready_to_att|Você está pronto para atacar as paredes a qualquer momento.
; qstr_The_siege_tower_is_b|The siege tower is built and ready to make an assault.
qstr_As_a_last_defensive_|Como último esforço defensivo, você recua para o salão principal da fortaleza. Você e seus soldados restantes vão colocar uma luta desesperada aqui. Se você for derrotado, não há outro lugar para voltar.
qstr_You_ve_been_driven_a|Você foi expulso das muralhas. Agora os atacantes estão indo para as ruas. Se você pode derrotá-los, talvez você possa virar a maré e salvar o dia.
qstr_You_ve_breached_the_|Você violou as muralhas da cidade, mas os defensores teimosos continuam resistindo a você nas ruas! Você terá que lidar com eles antes que você possa atacar a fortaleza no coração da cidade.
qstr_The_town_centre_is_y|O centro da cidade é seu, mas os defensores restantes se retiraram para o castelo. Deve cair antes que você possa completar sua vitória.
qstr_The_remaining_defend|Os demais defensores se retiraram para o castelo como última defesa. Você deve entrar e esmagar qualquer resistência restante.
qstr_However_since_you_ar|Entretanto, como você não é um {man/follower} juramentado  {s9}  não há chance de ele reconhecer você como o {lord/lady} desta {reg8?town:castle}.
qstr_The_enemy_has_been_f|O inimigo foi forçado a recuar. O ataque acabou, mas o cerco continua
qstr_The_assasins_beat_yo|Os assassinos te derrotam e te deixam morto. .
qstr_You_have_fallen._The|Você caiu. Os bandidos rapidamente vasculham seu corpo por valores que podem encontrar e depois desaparecem na noite. Eles te deixaram vivo, mesmo que apenas mal.
qstr_Luckily_some_of_your|Por sorte, alguns de seus companheiros vieram procurá-lo quando você não retornou e o encontraram deitado no fosso. Eles levaram você para a segurança e vestiram suas feridas
qstr_Luckily_some_passing|Felizmente, alguns moradores locais encontraram você deitada na vala e o reconheceram como alguém que não era um simples mendigo. Eles levaram você para a segurança e vestiram suas feridas.
; qstr_{s13}^^You_have_succ|{s13}^^You have successfully sneaked in.
; qstr_the_place|the place
qstr_the_castle|O castelo
; qstr_Stay_indoors_for_som|Stay indoors for some time ({reg1} Resource points per night)
; qstr_Camp_outside_for_som|Camp outside for some time (free)
; qstr_{s4}_s_scouts_have_s|{s4}'s scouts have seen and reported your failure. You have brought shame to {s4} and the responsibility of this failure is yours alone.
; qstr_{s1}_s_Ship|{s1}'s Ship
; qstr_Time_passes...|Time passes...
qstr_Forces_of_Good|Forças do Bem
qstr_Forces_of_Mordor|Forças de Mordor
qstr_Forces_of_Isengard|Forças de Isengard
; qstr_their_enemies|their enemies
qstr_{s11}_and_{s13}|{s11} e {s13}
qstr_{s11}_{s13}|{s11}, {s13}
; qstr_a_scout_party_from_{|a scout party from {s3}
; qstr_two_scout_parties_an|two scout parties and a forager party from {s3}
; qstr_two_scout_parties_and|two scout parties and a raider party from {s3}
; qstr_three_scouts_two_for|three scouts, two foragers, and a patrol from {s3}
; qstr_three_scouts_two_rai|three scouts, two raiders, and a war party from {s3}
; qstr_You_see_the_village_|You see the village being raided by bandits. You ask most of your troops to watch out for other raiders while you take a small group and prepare to defend villagers.
; qstr_You_see_the_village_y|You see the village you were tasked to raid. You and a small group of your raiders prepare to attack the village so as not to be seen.
qstr_The_raiders_are_defe|Os atacantes são derrotados! Aqueles poucos que permanecem vivos e conscientes correm para a escuridão de onde vieram, apavorados com os aldeões e seu novo campeão
qstr_Try_as_you_might_you|Por mais que você tente, você não pode derrotar os invasores. Eles arrasam a aldeia até o chão e escravizam os camponeses remanescentes.
qstr_The_village_has_been|A aldeia foi arrasada, aldeões mortos ou levados como escravos. O Lorde das Trevas ficará satisfeito.
qstr_You_failed_to_raid_t|Você não conseguiu invadir a aldeia e você foi enviado correndo com seus homens. Você ouve os vitoriosos aplaudindo quando você sente o olhar de desaprovação do Olho.
; qstr_The_Scout_Camp_has_b|The Scout Camp has been razed, This will slow the advance of the enemy.
; qstr_You_failed_to_destro|You failed to destroy the Scout Camp. The enemy has taken measure of your faction and has decidedly stuck.
; qstr_You_have_defeated_the|You have defeated the raiding fleet! This is a heavy blow to the enemy's plans!
; qstr_You_defeated_the_int|You defeated the intercepting fleet! Even though you do not have enough strength left to raid the city, this is a great victory!
; qstr_You_drove_back_the_e|You drove back the enemy fleet, but lost most of your ships!
; qstr_You_were_defeated_by|You were defeated by the intercepting fleet and failed to raid the city!
; qstr_Lorien|Lorien
qstr_Imladris|Imladris
; qstr_Woodelf|Woodelf
; qstr_^^^^^^^You_come_upon|^^^^^^^You come upon the refugees leaving {s2} and on their way to {s3}. ^^They are mostly the old and the infirmed, accompanied by women and children.^^ There are guards, but not enough to protect everyone from a raid.
; qstr_^^^^^^^You_come_upon_|^^^^^^^You come upon the refugees you have been tracking since {s2}. They seem to be on their way to {s3}, and are mostly the old and the infirmed. ^^ There are few guards, but not enough to stop you and your men from killing all of them.
; qstr_^^At_last_the_Master|^^At last, the Master is making His move! The torches burn bright. The sharp weapons gleam. You and your stout lads will receive marching orders soon. Ai, there'll be fighting, lots of it, and glory enough to go around!^^You have the honour of being summoned to audience with the Master in His tower. Likely enough your first orders will be snaga's work - raid a village here, waylay a caravan there. But you'll prove yourself soon enough. Who's to say you won't play as large a role as any commander of {s2} in {s3}?^^The War has begun; the fall of Man and their allies begins!
; qstr_^^Your_head_suddenly|^^Your head suddenly fills with a vision - the flaming Eye. All around you, your warriors stop in their tracks. Somehow, you know at that moment that all of you are hearing the same summons, seeing the same vision. Great is the art of the Lidless Eye - great is the power of Barad-dûr!.^^The knowledge, unspoken, seeps into your very bones. The time has come. The Dark Lord commands - you shall all march upon your enemies in open war. Orders from {s2} in {s3} will come. Your part at first will not be great, but you'll prove yourself soon enough.^^ The War has begun; the fall of the West begins!
; qstr_{s13}_asked_you_to_j|{s13} asked you to join him with at least {reg13} troops and meet Isengard's Last Stand.
; qstr_You_defeated_{reg5}_|You defeated {reg5} enemies and have impressed your commander.
; qstr_You_defeated_{reg5}_e|You defeated {reg5} enemies.
; qstr_You_failed_to_defeat|You failed to defeat any enemy.
; qstr_The_sorcerer_slain_y|The sorcerer slain, you and your companions hastily bandage up wounds and slip out into the night. Foul voices shriek at your backs and you can feel many burning eyes looking for you in the shadows. Soon the anger turns to disappointment and the sounds of pursuit are muffled, replaced by the usual heavy silence of Mirkwood. You have escaped
; qstr_The_sorcerer_slipped|The sorcerer slipped from your grasp and slithered into the darkness of his domain. With hearts weighted by failure, you and your companions hastily bandage up wounds and withdraw into the night. Mocking voices shriek at your backs and you can feel many burning eyes trying to pierce the shadows. Laughter and insults are soon mercifully muffled, replaced by the usual heavy silence of Mirkwood. You have escaped.
qstr_You_approach_a_heavi|Você se aproxima de uma região fortemente protegida da floresta ...
qstr_You_wait_for_darknes|Você espera a noite cair...
qstr_You_are_quickly_disc|Você é rapidamente descoberto pelo inimigo.
qstr_You_advance_stealthi|Você avança furtivamente até a floresta.
qstr_You_have_evaded_the_|Você evitou as patrulhas e aproximou-se das ruínas!
qstr_You_have_found_the_s|Você achou o feiticeiro!
qstr_You_cannot_leave_unt|Você não pode sair até que os guardas o percam!
qstr_Kill_him_quickly_bef|Mate-o rápido, antes que ele escape!
; qstr_Enraged_by_the_death|Enraged by the death of {s4}, you have sworn an oath of vengeance upon the forces of {s3}. You must now destroy as many of the troops of {s3} as possible in the coming days. You are keenly aware that your followers have witnessed this oath and you do not wish to become known as an oathbreaker. An orgy of bloodletting must now begin!
qstr_flooded._Somebody_or|inundada. Alguém ou algo deve ter arruinado as represas do Isen
qstr_destroyed._Only_smol|destruído. Só restam ruínas em brasas.
qstr_^^^You_lost_your_fig|^^^Você perdeu sua luta contra o motim! ^Parece que seus orcs têm um novo comandante agora.
; qstr_^^^You_have_slain_th|^^^You have slain the offender, and other orcs quickly fall back in line. ^ For some time the maggots will be quiet for sure.
; qstr_You_cover_up_your_tr|You cover up your tracks and move onward.
; qstr_Breaking_camp...|Breaking camp...
; qstr_You_have_left_{s1}.|You have left {s1}.
; qstr_You_are_entering_{s1|You are entering {s1} ({s2}).
; qstr_You_are_entering_{s1}|You are entering {s1}.
; qstr_The_war_expands_comm|The war expands, commanders are getting bolder! (siege requirements reduced)
; qstr_Your_party_is_spotte|Your party is spotted by {s1}.
; qstr_Party_has_nothing_to|Party has nothing to eat!
qstr_You_pay_for_accommod|Você paga por um quarto.
; qstr_Your_scouts_have_rep|Your scouts have reported that there is a {s2} near {s3}.
qstr_The_troll_outside_{s|O troll fora de {s2} foi morto. Missão cancelada.
qstr_{s1}_was_killed_on_t|{s1} foi morto no campo de batalha. Missão cancelada.
qstr_{s1}_has_been_defeat|{s1} foi derrotado. Missão cancelada.
qstr_You_must_follow_{s1}|Você precisa seguir {s1}!
qstr_You_must_follow_{s1}!|Você tem que seguir {s1}! Esse é seu ultimo aviso!
; qstr_{s1}_parties_defeate|{s1} parties defeated: {reg1} out of {reg2}
; qstr_{reg65}_Moria_and/or|{reg65} Moria and/or Gundabad troops killed. (Counter refreshes every hour)
; qstr_{reg65}_{s3}_troops_|{reg65} {s3} troops killed. (Counter refreshes every hour)
; qstr_{reg66}_{s5}_troops_|{reg66} {s5} troops killed. (Counter refreshes every hour)
; qstr_{reg67}_{s7}_{s8}_tr|{reg67} {s7} {s8} troops killed. (Counter refreshes every hour)
; qstr_{reg68}_{s10}_killed|{reg68} {s10} killed. (Counter refreshes every hour)
; qstr_{s1}_is_scouted.|{s1} is scouted.
; qstr_The_Age_of_Men_has_f|The Age of Men has finally passed. Now the Two Towers gather their remaining hosts and allies to decide who will be the sole ruler of Middle Earth!
qstr_The_War_of_the_Two_T|A Guerra das Duas Torres foi iniciada
qstr_{s2}_was_defeated!|{s2} foi derrotado!
; qstr_The_forces_of_{s22}_|The forces of {s22} have rallied! {s22} is now {s23}.
; qstr_The_might_of_{s22}_h|The might of {s22} has diminished! {s22} is now {s23}.
; qstr_In_a_desperate_attem|In a desperate attempt to defend against his enemies, Sauron sends out his legions of Mordor!
; qstr_Guardians_of_{s6}|Guardians of {s6}
; qstr_Guard_Legion_of_{s6}|Guard Legion of {s6}
; qstr_Scouts_report_that_{|Scouts report that {s6} gathered a large army in the vicinity of {s7}, in a last ditch attempt to defend the capital.
; qstr_The_forces_of_{s2}_e|The forces of {s2} established an advanced camp in {s15}!
; qstr_The_hosts_of_{s2}_ma|The hosts of {s2} march back to defend their homes!
; qstr_Gondor_has_called_fo|Gondor has called for aide!
; qstr_Gondor_is_accompanyi|Gondor is accompanying the marshall!
; qstr_{s5}_has_stopped_fol|{s5} has stopped following you.
; qstr_You_have_{reg69}_all|You have {reg69} ally party following you
; qstr_You_have_{reg69}_ally|You have {reg69} ally parties following you
; qstr_The_forces_of_{s2}_h|The forces of {s2} have regrouped and march on to {s15}!
qstr_{s1}_from_{s2}|{s1} de {s2}
qstr_When_dealing_with_lo|Ao lidar com os habitantes locais em {s11}, lembre-se de que eles não o conhecem e eles não necessariamente reconhecem os méritos que você conquistou em {s10}.^^(os Pontos de Recursos que você pode eliminar entre as pessoas de {s11 } não são os que você ganhou em {s10}, mas os que você ganhará em {s11} -- veja também a tela de relatório)
qstr_Info|Informação
qstr_You_came_into_a_poss|Você entrou em uma tigela estranha e grande de água fresca. Cheira um pouco como almíscar.
; qstr_Obtained:_Ent_water.|Obtained: Ent water.
qstr_A_little_after_you_f|Um pouco depois de se recuperar totalmente de beber a água envenenada que você recebeu das árvores que andam, você começa a perceber um efeito colateral estranho. Os vermes do seu grupo parecem ... respeitar e temer mais você, como se você se tornasse ... maior. E você juraria que é, de fato, um pouco mais alto. Isso é realmente possível?
; qstr_Ent_water_effect.|Ent water effect.
qstr_The_water_you_drank_|A água que você bebeu dos Ents teve um efeito estranho em seu corpo. Inicialmente, você não acreditou, mas agora, diante das evidências, você deve admitir: de alguma forma, você cresceu mais alto! Ainda assim, o veneno quase te matou. Você nunca vai correr esse risco novamente
; qstr_Ent_water_effect:_in|Ent water effect: increase stature!
qstr__+1_to_Strength__per|+1 de Força (permanente)
qstr__+1_to_Charisma__per|+1 em Carisma (permanente)
qstr_The_dark_shadow_fina|A sombra escura finalmente se transformou em uma tempestade, e hordas malignas começaram sua marcha sobre as pessoas livres da Terra Média. Mordor contra Gondor no sul, Isengard contra Rohan no oeste, Dol Guldur contra os elfos ... Mesmo no extremo norte há uma guerra própria.
qstr_The_War_has_started!|A guerra se inicia!
qstr_The_forest_seems_pea|A floresta parece pacífica.
qstr_There_is_a_sense_of_|Há uma sensação de perigo no ar.
qstr_You_have_a_feeling_y|Você sente que já perturbou a floresta o suficiente.
qstr_Get_out_now!|Saia, agora!
; qstr_You_are_inside_Fango|You are inside Fangorn. {s11}
; qstr_Your_party_witnessed|Your party witnessed orcs eating prisoners.
; qstr_Your_party_s_morale_|Your party's morale has risen from hatred.
; qstr_Your_party_s_morale_h|Your party's morale has fallen from fear.
; qstr_{s27}:_Influence_wit|{s27}: Influence with {s1} increases from {reg2} to {reg1}.
; qstr_{s27}:_Influence_with|{s27}: Influence with {s1} decreases from {reg2} to {reg1}.
; qstr_{s27}:_Party_morale_|{s27}: Party morale increased.
; qstr_{s27}:_Party_morale_d|{s27}: Party morale decreased.
; qstr_You_have_failed_to_f|You have failed to fulfill your oath to avenge Balin and his company!
; qstr_You_have_failed_to_fu|You have failed to fulfill your oath of vengeance for {s1}'s heroic death!
; qstr_Your_troops_value_yo|Your troops value your effort to fullfill your oath, but acknowledge that events unfolded too quick. As a result, 
; qstr_{s22}You_have_fulfil|{s22}You have fulfilled your oath to avenge Balin and his company!
; qstr_{s22}You_have_fulfill|{s22}You have fulfilled your oath of vengeance for {s1}'s heroic death!
; qstr_Reinforcements|Reinforcements
; qstr_Refugees_Escaped:_{r|Refugees Escaped: {reg10} --- Refugees Killed: {reg11}
; qstr_Raider_Parties_Kille|Raider Parties Killed: {reg12}
; qstr_One_of_the_target_ce|One of the target centers by the refugee trains have been destroyed. The refugees have scattered, and are nowhere to be found.
qstr_As_an_Orc_or_a_Dwarf|Como um Orc ou um Anão, você pode aproveitar a Câmera Personalizada que implementamos para melhorar sua experiência com as corridas mais curtas do TLD. Veja Conceitos de Jogo para mais informações sobre como usar isto.
qstr_Custom_Camera|Câmera personalizada
; qstr_{reg65?my_Lady:my_Lo|{reg65?my Lady:my Lord}
; qstr_{reg65?My_Lady:My_Lo|{reg65?My Lady:My Lord}
; qstr_{reg65?mistress:mast|{reg65?mistress:master}
; qstr_{reg65?Mistress:Mast|{reg65?Mistress:Master}
qstr_{reg65?madame:sir}|{reg65? madame:sir}
; qstr_{reg65?Madame:Sir}|{reg65?Madame:Sir}
; qstr_How_do_magnets_work?|How do magnets work?
; qstr_Um..._by_enchanting_|Um... by enchanting iron?
qstr_Magnets_are_made_of_|Os ímãs são feitos de metal, que é extraído do solo. Eles são magnéticos porque o metal ainda contém pedaços de gravidade dentro dele.
; qstr_i_wont_a_bonerlrord_|i wont a bonerlrord port nao!!11!
qstr_I_m_sure_the_TLD_tea|Tenho certeza de que a equipe de TLDs conseguirá isso quando puder.
; qstr_Install_TLD_in_your_|Install TLD in your Bannerlord Modules folder, add the line 'compatible_with_wfas = 1' to module.ini, and you can play it both on Warband AND Warrider 0.202!
qstr_dis_mod_takes_2_long|dis mod leva 2 releaze tempo 2! sux!!!! 11.
qstr_Well_there_s_a_lot_o|Então, tem melhorias gráficas e tal, acho que isso leva tempo.
qstr_It_has_been_recently|Foi lançado recentemente, se você perdeu o link, você pode baixá-lo em lemonparty.org.
; qstr_i_wont_decapitated_e|i wont decapitated elephants in multi, nao!!11!
qstr_I_don_t_think_there_|Acho que não há multiplayer no TLD, mas os elefantes seria bom.
; qstr_There_is_a_hidden_el|There is a hidden elephant deathmatch mode in TLD, but you need to remove all your savegames first, play for a 100 game days without saving then go to the character screen and press Alt+F4. Totally worth it!
; qstr_Did_you_bring_your_z|Did you bring your zupdog?
; qstr_What_s_zupdog?|What's zupdog?
; qstr_My_zupdog_is_ill_but|My zupdog is ill, but I brought my zupmaiass.
; qstr_Wai_no_plate_armour_|Wai no plate armour in mod???
; qstr_What_is_plate_armour|What is plate armour? Never heard of it.
; qstr_Wai_no_female_trolls|Wai no female trolls? Eh? Eh? You ma biatch!
; qstr_WHEN_U_REALSE_MOD?!!|WHEN U REALSE MOD?!!?
; qstr_But_we_did_release._|But we did release. You're in it. And why are you shouting?
; qstr_YES!_ALSO_SOMETIMES_|YES! ALSO SOMETIMES IS!
; qstr_Wai_u_no_work_wiht_o|Wai u no work wiht otehr mods to make a super LOTR mod?
qstr_Every_mod_team_works|Cada mod mod trabalha de acordo com seus padrões, você não pode fazer mods cooperarem se sua visão for diferente.
qstr_Because_we_don_t_hav|Porque não temos senso de humor e a maioria deles é engraçada demais para nós.
qstr_In_movies_trolls_are|Nos filmes os trolls são grandes e gordos, você me deixa magro?
; qstr_We_interpreted_Tolki|We interpreted Tolkien like this.
qstr_But_we_did_make_you_|Mas nós fizemos você como estúpido como no cinema. Isso tem que servir para alguma coisa.
; qstr_What_is_news?_Got_an|What is news? Got any screenshots?
; qstr_Well_just_look_aroun|Well just look around you, what do you need screenshots for?
; qstr_Say_cheese!|Say cheese!
; qstr_Why_did_you_make_mod|Why did you make mod installation so complex?
; qstr_Well_if_you_are_here|Well, if you are here and talking to me, you must've RTFM successfully after all
; qstr_You_just_got_windyfl|You just got windyflorated!
qstr_Merry|Merry
qstr_Pippin|Pippin
qstr_the_Citadel|A Cidadela
qstr_Minas_Tirith|Minas Tirith
qstr_Steward_Denethor|Regente Denethor
; qstr_the_Golden_Hall|the Golden Hall
qstr_Edoras|Edoras
qstr_King_Theoden|Rei Theoden
; qstr_Merry_asked_you_to_d|Merry asked you to deliver a message to his cousin, Pippin, in Minas Tirith.
; qstr_Pippin_asked_you_to_|Pippin asked you to deliver a message to his cousin, Merry, in Edoras.
; qstr_Tell_him_I_ve_grown_|Tell him I've grown another inch!
; qstr_Tell_Pip_he_smokes_t|Tell Pip he smokes too much!
; qstr_Tell_him_I_can_ride_|Tell him I can ride a grown horse now!
