trp_unarmed_troop|Nenaoružani vojnik
; trp_c3_harondor_rider|Harondor Rider
; trp_c3_harondor_rider_pl|Harondor Riders
; trp_c4_harondor_light_cavalry|Harondor Light Cavalry
; trp_c4_harondor_light_cavalry_pl|Harondor Light Cavalry
; trp_c5_harondor_serpent_knight|Gold Serpent Knight
; trp_c5_harondor_serpent_knight_pl|Gold Serpent Knights
; trp_ac3_harondor_skirmisher|Harondor Skirmisher
; trp_ac3_harondor_skirmisher_pl|Harondor Skirmishers
; trp_ac4_harondor_horse_archer|Harondor Horse Archer
; trp_ac4_harondor_horse_archer_pl|Harondor Horse Archers
; trp_ac5_harondor_black_snake|Black Snake Horse Archer
; trp_ac5_harondor_black_snake_pl|Black Snake Horse Archers
; trp_i2_far_harad_tribesman|Far Harad Tribesman
; trp_i2_far_harad_tribesman_pl|Far Harad Tribesmen
; trp_i4_far_harad_champion|Far Harad Champion
; trp_i4_far_harad_champion_pl|Far Harad Champions
; trp_i5_far_harad_panther_guard|Panther Guard
; trp_i5_far_harad_panther_guard_pl|Panther Guards
; trp_i1_dun_wildman|Dunnish Wildman
; trp_i1_dun_wildman_pl|Dunnish Wildmen
; trp_i2_dun_warrior|Dunnish Warrior
; trp_i2_dun_warrior_pl|Dunnish Warriors
; trp_i3_dun_pikeman|Dunnish Pikeman
; trp_i3_dun_pikeman_pl|Dunnish Pikemen
; trp_i4_dun_vet_pikeman|Dunnish Veteran Pikeman
; trp_i4_dun_vet_pikeman_pl|Dunnish Veteran Pikemen
; trp_ac2_dun_crebain_rider|Dunnish Crebain Rider
; trp_ac2_dun_crebain_rider_pl|Dunnish Crebain Riders
; trp_i3_dun_vet_warrior|Dunnish Veteran Warrior
; trp_i3_dun_vet_warrior_pl|Dunnish Veteran Warriors
; trp_i4_dun_wolf_warrior|Dunnish Wolf Warrior
; trp_i4_dun_wolf_warrior_pl|Dunnish Wolf Warriors
; trp_i5_dun_wolf_guard|Dunnish Wolf Guard
; trp_i5_dun_wolf_guard_pl|Dunnish Wolf Guards
; trp_ac4_dun_raven_rider|Dunnish Raven Rider
; trp_ac4_dun_raven_rider_pl|Dunnish Raven Riders
; trp_i1_khand_bondsman|Khand Bondsman
; trp_i1_khand_bondsman_pl|Khand Bondsmen
; trp_i2_khand_pit_dog|Khand Pit Dog
; trp_i2_khand_pit_dog_pl|Khand Pit Dogs
; trp_i3_khand_warrior|Khand Warrior
; trp_i3_khand_warrior_pl|Khand Warriors
; trp_i4_khand_vet_warrior|Variag Veteran Warrior
; trp_i4_khand_vet_warrior_pl|Variag Veteran Warriors
; trp_i5_khand_war_master|Variag Master of War
; trp_i5_khand_war_master_pl|Variag Masters of War
; trp_c2_khand_pony_rider|Khand Pony Rider
; trp_c2_khand_pony_rider_pl|Khand Pony Riders
; trp_c3_khand_horseman|Khand Horseman
; trp_c3_khand_horseman_pl|Khand Horsemen
; trp_c4_khand_heavy_horseman|Khand Heavy Horseman
; trp_c4_khand_heavy_horseman_pl|Khand Heavy Horsemen
; trp_c5_khand_kataphrakt|Variag Kataphrakt
; trp_c5_khand_kataphrakt_pl|Variag Kataphrakts
; trp_c5_khand_lance_kataphrakt|Variag Lance Kataphrakt
; trp_c5_khand_lance_kataphrakt_pl|Variag Lance Kataphrakts
; trp_i4_khand_halberdier|Khand Glaiveman
; trp_i4_khand_halberdier_pl|Khand Glaivemen
; trp_i5_khand_halberd_master|Khand Halberd Master
; trp_i5_khand_halberd_master_pl|Khand Halberd Masters
; trp_i3_khand_pitfighter|Khand Pit Fighter
; trp_i3_khand_pitfighter_pl|Khand Pit Fighters
; trp_i4_khand_pit_champion|Variag Pit Champion
; trp_i4_khand_pit_champion_pl|Variag Pit Champions
; trp_i5_khand_pit_master|Variag Master of the Pits
; trp_i5_khand_pit_master_pl|Variag Masters of the Pits
; trp_ac3_khand_skirmisher|Khand Skirmisher
; trp_ac3_khand_skirmisher_pl|Khand Skirmishers
; trp_ac4_khand_vet_skirmisher|Khand Veteran Skirmisher
; trp_ac4_khand_vet_skirmisher_pl|Khand Veteran Skirmishers
; trp_ac5_khand_heavy_skirmisher|Variag Heavy Skirmisher
; trp_ac5_khand_heavy_skirmisher_pl|Variag Heavy Skirmishers
; trp_i1_corsair_youth|Umbar Sailor
; trp_i1_corsair_youth_pl|Umbar Sailors
; trp_i2_corsair_warrior|Umbar Warrior
; trp_i2_corsair_warrior_pl|Umbar Warriors
; trp_i3_corsair_spearman|Spearman of Umbar
; trp_i3_corsair_spearman_pl|Spearmen of Umbar
; trp_i4_corsair_raider|Corsair Raider
; trp_i4_corsair_raider_pl|Corsair Raiders
; trp_i5_corsair_night_raider|Corsair Night Raider
; trp_i5_corsair_night_raider_pl|Corsair Night Raiders
; trp_a2_corsair_marine|Umbar Marine
; trp_a2_corsair_marine_pl|Umbar Marines
; trp_a3_corsair_marksman|Marksman of Umbar
; trp_a3_corsair_marksman_pl|Marksmen of Umbar
; trp_a4_corsair_veteran_marksman|Veteran Marksman of Umbar
; trp_a4_corsair_veteran_marksman_pl|Veteran Marksmen of Umbar
; trp_a5_corsair_master_marksman|Corsair Master Marksman
; trp_a5_corsair_master_marksman_pl|Corsair Master Marksmen
; trp_i3_corsair_swordsman|Swordsman of Umbar
; trp_i3_corsair_swordsman_pl|Swordsmen of Umbar
; trp_i4_corsair_veteran_swordsman|Veteran Swordsman of Umbar
; trp_i4_corsair_veteran_swordsman_pl|Veteran Swordsmen of Umbar
; trp_i5_corsair_master_swordsman|Corsair Swordmaster
; trp_i5_corsair_master_swordsman_pl|Corsair Swordmasters
; trp_a4_corsair_assassin|Corsair Assassin
; trp_a4_corsair_assassin_pl|Corsair Assassins
; trp_a5_corsair_master_assassin|Corsair Assassin
; trp_a5_corsair_master_assassin_pl|Corsair Assassins
; trp_i4_corsair_veteran_spearman|Veteran Spearman of Umbar
; trp_i4_corsair_veteran_spearman_pl|Veteran Spearmen of Umbar
; trp_i5_corsair_master_spearman|Spearmaster of Umbar
; trp_i5_corsair_master_spearman_pl|Spearmasters of Umbar
; trp_i5_corsair_master_pikeman|Pikemaster of Umbar
; trp_i5_corsair_master_pikeman_pl|Pikemasters of Umbar
; trp_orc_snaga_of_isengard|Orc Snaga of Isengard
; trp_orc_snaga_of_isengard_pl|Orc Snagas of Isengard
; trp_orc_of_isengard|Orc of Isengard
; trp_orc_of_isengard_pl|Orcs of Isengard
; trp_large_orc_of_isengard|Large Orc of Isengard
; trp_large_orc_of_isengard_pl|Large Orcs of Isengard
; trp_fell_orc_of_isengard|Fell Orc of Isengard
; trp_fell_orc_of_isengard_pl|Fell Orcs of Isengard
; trp_large_orc_despoiler|Large Orc Despoiler
; trp_large_orc_despoiler_pl|Large Orc Despoilers
; trp_fell_orc_despoiler|Fell Orc Despoiler
; trp_fell_orc_despoiler_pl|Fell Orc Despoilers
; trp_wolf_rider_of_isengard|Wolf Rider of Isengard
; trp_wolf_rider_of_isengard_pl|Wolf Riders of Isengard
; trp_warg_rider_of_isengard|Warg Rider of Isengard
; trp_warg_rider_of_isengard_pl|Warg Riders of Isengard
trp_white_hand_rider|Jahač Bijele ruke
trp_white_hand_rider_pl|Jahači Bijele ruke
trp_warg_ghost_1b|Worg
trp_warg_ghost_1b_pl|Worgovi
trp_warg_ghost_1c|Worg
trp_warg_ghost_1c_pl|Worgovi
trp_warg_ghost_1d|Worg
trp_warg_ghost_1d_pl|Worgovi
trp_warg_ghost_a1b|Worg
trp_warg_ghost_a1b_pl|Worgovi
trp_warg_ghost_a1c|Oklopljeni Worg
trp_warg_ghost_a1c_pl|Oklopljeni Worgovi
trp_warg_ghost_a2b|Oklopljeni Worg
trp_warg_ghost_a2b_pl|Oklopljeni Worgovi
trp_warg_ghost_a2c|Oklopljeni Worg
trp_warg_ghost_a2c_pl|Oklopljeni Worgovi
trp_warg_ghost_a3a|Oklopljeni Worg
trp_warg_ghost_a3a_pl|Oklopljeni Worgovi
trp_warg_ghost_h|Golemi Worg
trp_warg_ghost_h_pl|Golemi Worgovi
trp_uruk_hai_tracker|Uruk Hai Tragač
trp_uruk_hai_tracker_pl|Uruk Hai Tragači
trp_large_uruk_hai_tracker| Veliki Uruk Hai Tragač
trp_large_uruk_hai_tracker_pl|Veliki Uruk Hai Tragači
trp_fighting_uruk_hai_tracker| Borbeni Uruk Hai Tragač
trp_fighting_uruk_hai_tracker_pl| Borbeni Uruk Hai Tragači
trp_fighting_uruk_hai_berserker| Borbeni Uruk Hai Berserker
trp_fighting_uruk_hai_berserker_pl|Borbeni Uruk Hai Berserkeri
trp_uruk_snaga_of_isengard|Uruk Hai  Novorođenče
trp_uruk_snaga_of_isengard_pl|Uruk Hai  Novorođenčad
trp_uruk_hai_of_isengard|Uruk Hai iz Isengarda
trp_uruk_hai_of_isengard_pl|Uruk Hai iz Isengarda
trp_large_uruk_hai_of_isengard|Veliki Uruk Hai iz Isengarda
trp_large_uruk_hai_of_isengard_pl|Veliki Uruk Hai iz Isengarda
trp_fighting_uruk_hai_warrior|Borbeni Uruk Hai ratnik
trp_fighting_uruk_hai_warrior_pl|Borbeni Uruk Hai ratnici
trp_fighting_uruk_hai_champion| Borbeni Uruk Hai Prvak
trp_fighting_uruk_hai_champion_pl|Borbeni Uruk Hai Prvaci
trp_uruk_hai_pikeman|Uruk Hai Kopljaš
trp_uruk_hai_pikeman_pl|Uruk Hai Kopljaši
trp_fighting_uruk_hai_pikeman|Borbeni Uruk Hai kopljaš
trp_fighting_uruk_hai_pikeman_pl|Borbeni Uruk Hai Kopljaši
trp_urukhai_standard_bearer|Uruk Hai nositelj Stijega
trp_urukhai_standard_bearer_pl|Uruk Hai nositelji Stijega
trp_uruk_snaga_of_mordor|Uruk Snaga iz Mordora
trp_uruk_snaga_of_mordor_pl|Uruk Snage iz Mordora
trp_uruk_of_mordor|Uruk iz Mordora
trp_uruk_of_mordor_pl|Uruci iz Mordora
; trp_large_uruk_of_mordor|Large Uruk of Mordor
; trp_large_uruk_of_mordor_pl|Large Uruks of Mordor
trp_fell_uruk_of_mordor|Divlji Uruk iz Mordora
trp_fell_uruk_of_mordor_pl|Divlji Uruci iz Mordora
; trp_uruk_slayer_of_mordor|Uruk Slayer of Mordor
; trp_uruk_slayer_of_mordor_pl|Uruk Slayers of Mordor
; trp_fell_uruk_slayer_of_mordor|Fell Uruk Slayer of Mordor
; trp_fell_uruk_slayer_of_mordor_pl|Fell Uruk Slayers of Mordor
trp_black_uruk_of_barad_dur|Crni Uruck iz Barad Dura
trp_black_uruk_of_barad_dur_pl|Crni Uruci iz Barad Dura
trp_uruk_mordor_standard_bearer|Barjaktar Mordora
trp_uruk_mordor_standard_bearer_pl|Barjaktari Mordora
trp_troll_of_moria|Špiljski Trol
trp_troll_of_moria_pl|Špiljski Trolovi
trp_armoured_troll|Oklopljeni Trol
trp_armoured_troll_pl|Oklopljeni Trolovi
trp_olog_hai|Olog Hai iz Mordora
trp_olog_hai_pl|Olog Hai iz Mordora
trp_ent|Ent
trp_ent_pl|Entovi
; trp_orc_snaga_of_guldur|Orc Snaga of Dol Guldur
; trp_orc_snaga_of_guldur_pl|Orc Snagas of Dol Guldur
; trp_orc_of_guldur|Orc Tracker of Dol Guldur
; trp_orc_of_guldur_pl|Orc Trackers of Dol Guldur
; trp_orc_snaga_of_mordor|Orc Snaga of Mordor
; trp_orc_snaga_of_mordor_pl|Orc Snagas of Mordor
; trp_orc_of_mordor|Orc of Mordor
; trp_orc_of_mordor_pl|Orcs of Mordor
; trp_large_orc_of_mordor|Large Orc of Mordor
; trp_large_orc_of_mordor_pl|Large Orcs of Mordor
; trp_fell_orc_of_mordor|Fell Orc of Mordor
; trp_fell_orc_of_mordor_pl|Fell Orcs of Mordor
; trp_warg_rider_of_gorgoroth|Warg Rider of Gorgoroth
; trp_warg_rider_of_gorgoroth_pl|Warg Riders of Gorgoroth
; trp_great_warg_rider_of_mordor|Great Warg Rider of Udun
; trp_great_warg_rider_of_mordor_pl|Great Warg Riders of Udun
; trp_morgul_orc|Orc of Minas Morgul
; trp_morgul_orc_pl|Orcs of Minas Morgul
; trp_fell_morgul_orc|Fell Orc of Minas Morgul
; trp_fell_morgul_orc_pl|Fell Orcs of Minas Morgul
; trp_orc_tracker_of_mordor|Large Orc Tracker of Dol Guldur
; trp_orc_tracker_of_mordor_pl|Large Orc Trackers of Dol Guldur
; trp_fell_orc_tracker_of_mordor|Fell Orc Tracker of Dol Guldur
; trp_fell_orc_tracker_of_mordor_pl|Fell Orc Trackers of Dol Guldur
; trp_orc_archer_of_mordor|Orc Archer of Mordor
; trp_orc_archer_of_mordor_pl|Orc Archers of Mordor
; trp_large_orc_archer_of_mordor|Large Orc Archer of Mordor
; trp_large_orc_archer_of_mordor_pl|Large Orc Archers of Mordor
; trp_fell_orc_archer_of_mordor|Fell Orc Archer of Mordor
; trp_fell_orc_archer_of_mordor_pl|Fell Orc Archers of Mordor
; trp_c3_wolf_rider_of_moria|Wolf Rider of Moria
; trp_c3_wolf_rider_of_moria_pl|Wolf Riders of Moria
; trp_c4_warg_rider_of_moria|Warg Rider of Moria
; trp_c4_warg_rider_of_moria_pl|Warg Riders of Moria
; trp_c5_bolg_clan_rider|Bolg Clan Rider
; trp_c5_bolg_clan_rider_pl|Bolg Clan Riders
; trp_i1_snaga_of_moria|Snaga of Moria
; trp_i1_snaga_of_moria_pl|Snagas of Moria
; trp_i2_goblin_of_moria|Goblin of Moria
; trp_i2_goblin_of_moria_pl|Goblins of Moria
; trp_i3_large_goblin_of_moria|Large Goblin of Moria
; trp_i3_large_goblin_of_moria_pl|Large Goblins of Moria
; trp_i4_fell_goblin_of_moria|Fell Goblin of Moria
; trp_i4_fell_goblin_of_moria_pl|Fell Goblins of Moria
; trp_a2_archer_snaga_of_moria|Goblin Archer of Moria
; trp_a2_archer_snaga_of_moria_pl|Goblin Archers of Moria
; trp_a3_large_goblin_archer_of_moria|Large Goblin Archer of Moria
; trp_a3_large_goblin_archer_of_moria_pl|Large Goblin Archers of Moria
; trp_a4_fell_goblin_archer_of_moria|Fell Goblin Archer of Moria
; trp_a4_fell_goblin_archer_of_moria_pl|Fell Goblin Archers of Moria

; trp_i1_goblin_gundabad|Gundabad Goblin
; trp_i1_goblin_gundabad_pl|Gundabad Goblins
; trp_i2_orc_gundabad|Gundabad Orc
; trp_i2_orc_gundabad_pl|Gundabad Orcs
; trp_i3_orc_fighter_gundabad|Gundabad Orc Fighter
; trp_i3_orc_fighter_gundabad_pl|Gundabad Orc Fighters
; trp_i4_fell_orc_warrior_gundabad|Gundabad Orc Warrior
; trp_i4_fell_orc_warrior_gundabad_pl|Gundabad Orc Warriors
; trp_i4_orc_beserker_gundabad|Gundabad Orc Berserker
; trp_i4_orc_beserker_gundabad_pl|Gundabad Orc Berserkers
; trp_ca4_warg_skirmisher_gundabad|Gundabad Skirmisher
; trp_ca4_warg_skirmisher_gundabad_pl|Gundabad Skirmishers
; trp_ca5_goblin_north_clan_skirmisher|Goblin North Clan Skirmisher
; trp_ca5_goblin_north_clan_skirmisher_pl|Goblin North Clan Skirmishers
; trp_c3_goblin_rider_gundabad|Gundabad Goblin Rider
; trp_c3_goblin_rider_gundabad_pl|Gundabad Goblin Riders
; trp_c4_warg_rider_gundabad|Gundabad Warg Rider
; trp_c4_warg_rider_gundabad_pl|Gundabad Warg Riders
; trp_c5_goblin_north_clan_rider|Goblin North Clan Rider
; trp_c5_goblin_north_clan_rider_pl|Goblin North Clan Riders
trp_mountain_goblin|Planinski Goblin
trp_mountain_goblin_pl|Planinski Goblini
trp_tribal_orc|Plemenski Ork
trp_tribal_orc_pl|Plemenske Orke 
trp_tribal_orc_warrior|Plemenski ork ratnik
trp_tribal_orc_warrior_pl|Plemenski ork ratnici
; trp_i5_orc_champion_gundabad|Gundabad Orc Champion
; trp_i5_orc_champion_gundabad_pl|Gundabad Orc Champions
; trp_black_numenorean_renegade|Black Numenorean Renegade
; trp_black_numenorean_renegade_pl|Black Numenorean Renegades
; trp_black_numenorean_warrior|Black Numenorean Warrior
; trp_black_numenorean_warrior_pl|Black Numenorean Warriors
; trp_black_numenorean_veteran_warrior|Black Numenorean Veteran Warrior
; trp_black_numenorean_veteran_warrior_pl|Black Numenorean Veteran Warriors
; trp_black_numenorean_champion|Black Numenorean Champion
; trp_black_numenorean_champion_pl|Black Numenorean Champions
; trp_black_numenorean_assassin|Black Numenorean Assassin
; trp_black_numenorean_assassin_pl|Black Numenorean Assassins
; trp_black_numenorean_veteran_horseman|Black Numenorean Horseman
; trp_black_numenorean_veteran_horseman_pl|Black Numenorean Horsemen
; trp_black_numenorean_horsemaster|Black Numenorean Horsemaster
; trp_black_numenorean_horsemaster_pl|Black Numenorean Horsemasters
; trp_noldorin_commander|Noldorin Commander
; trp_noldorin_commander_pl|Noldorin Commanders
; trp_elf_captain_of_lothlorien|Elf Captain of Lothlorien
; trp_elf_captain_of_lothlorien_pl|Elf Captains of Lothlorien
; trp_lothlorien_lieutenant|Lothlorien Lieutenant
; trp_lothlorien_lieutenant_pl|Lothlorien Lieutenants
; trp_elf_captain_of_mirkwood|Elf Captain of Greenwood
; trp_elf_captain_of_mirkwood_pl|Elf Captains of Greenwood
; trp_mirkwood_lieutenant|Greenwood Lieutenant
; trp_mirkwood_lieutenant_pl|Greenwood Lieutenants
; trp_elf_captain_of_rivendell|Elf Captain of Rivendell
; trp_elf_captain_of_rivendell_pl|Elf Captains of Rivendell
; trp_rivendell_lieutenant|Rivendell Lieutenant
; trp_rivendell_lieutenant_pl|Rivendell Lieutenants
; trp_lieutenant_of_rohan|Lieutenant of Rohan
; trp_lieutenant_of_rohan_pl|Lieutenants of Rohan
; trp_captain_of_rohan|Captain of Rohan
; trp_captain_of_rohan_pl|Captains of Rohan
; trp_high_captain_of_rohan|High Captain of Rohan
; trp_high_captain_of_rohan_pl|High Captains of Rohan
; trp_lieutenant_of_isengard|Lieutenant of Isengard
; trp_lieutenant_of_isengard_pl|Lieutenants of Isengard
; trp_captain_of_isengard|Captain of Isengard
; trp_captain_of_isengard_pl|Captains of Isengard
; trp_high_captain_of_isengard|High Captain of Isengard
; trp_high_captain_of_isengard_pl|High Captains of Isengard
; trp_lieutenant_of_mordor|Lieutenant of Mordor
; trp_lieutenant_of_mordor_pl|Lieutenants of Mordor
; trp_captain_of_mordor|Captain of Mordor
; trp_captain_of_mordor_pl|Captains of Mordor
; trp_high_captain_of_mordor|High Captain of Mordor
; trp_high_captain_of_mordor_pl|High Captains of Mordor
; trp_easterling_chieftain|Variag Chieftain
; trp_easterling_chieftain_pl|Variag Chieftains
; trp_easterling_lieutenant|Variag War Priest
; trp_easterling_lieutenant_pl|Variag War Priests
; trp_harad_chieftain|Harad Chieftain
; trp_harad_chieftain_pl|Harad Chieftains
; trp_harad_lieutenant|Harad Lieutenant
; trp_harad_lieutenant_pl|Harad Lieutenants
; trp_black_numenorean_captain|Black Numenorean Captain
; trp_black_numenorean_captain_pl|Black Numenorean Captains
; trp_black_numenorean_lieutenant|Black Numenorean Lieutenant
; trp_black_numenorean_lieutenant_pl|Black Numenorean Lieutenants
; trp_a5_dun_night_wolf|Dunnish Night Wolf
; trp_a5_dun_night_wolf_pl|Dunnish Night Wolfs
; trp_dunnish_lieutenant|Dunnish Hetman
; trp_dunnish_lieutenant_pl|Dunnish Hetmen
; trp_goblin_chieftain|Goblin Chieftain
; trp_goblin_chieftain_pl|Goblin Chieftains
; trp_captain_of_gondor|Captain of Gondor
; trp_captain_of_gondor_pl|Captains of Gondor
; trp_nobleman|Nobleman
; trp_nobleman_pl|Noblemen
; trp_gondor_agent|Gondor Agent
; trp_gondor_agent_pl|Gondor Agents
; trp_rohan_agent|Rohan Agent
; trp_rohan_agent_pl|Rohan Agents
; trp_mordor_agent|Mordor Agent
; trp_mordor_agent_pl|Mordor Agents
; trp_isengard_agent|Isengard Agent
; trp_isengard_agent_pl|Isengard Agents
; trp_looter|Looter
; trp_looter_pl|Looters
; trp_bandit|Bandit
; trp_bandit_pl|Bandits
; trp_brigand|Brigand
trp_brigand_pl|Razbojnici
; trp_mountain_bandit|Mountain Bandit
trp_mountain_bandit_pl|Planinski razbojnici
; trp_forest_bandit|Forest Bandit
trp_forest_bandit_pl|Šumski razbojnici
; trp_sea_raider|Sea Raider
; trp_sea_raider_pl|Sea Raiders
; trp_steppe_bandit|Steppe Bandit
; trp_steppe_bandit_pl|Steppe Bandits
; trp_manhunter|Manhunter
trp_manhunter_pl|Lovci na ljude
; trp_kidnapped_girl|Kidnapped Girl
; trp_kidnapped_girl_pl|Kidnapped Girls
; trp_refugee|Refugee
; trp_refugee_pl|Refugees
; trp_peasant_woman|Peasant Woman
; trp_peasant_woman_pl|Peasant Women
; trp_caravan_master|Caravan Master
; trp_caravan_master_pl|Caravan Masters
; trp_caravan_guard|Caravan Guard
; trp_caravan_guard_pl|Caravan Guards
; trp_messenger_man|Messenger
; trp_messenger_man_pl|Messengers
; trp_messenger_elf|Messenger
; trp_messenger_elf_pl|Messengers
; trp_messenger_dwarf|Messenger
; trp_messenger_dwarf_pl|Messengers
; trp_messenger_orc|Messenger
; trp_messenger_orc_pl|Messengers
; trp_messenger_evil_man|Messenger
; trp_messenger_evil_man_pl|Messengers
trp_town_walker_1|Građanin
trp_town_walker_1_pl|Građani
; trp_town_walker_2|Townswoman
; trp_town_walker_2_pl|Townswomen
; trp_village_walker_1|Villager
; trp_village_walker_1_pl|Villagers
; trp_village_walker_2|Villager
; trp_village_walker_2_pl|Villagers
trp_spy_walker_1|Građanin
trp_spy_walker_1_pl|Građani
; trp_spy_walker_2|Townswoman
; trp_spy_walker_2_pl|Townswomen
trp_walker_man_gondor_black|Građanin
trp_walker_man_gondor_white|Građanin
trp_walker_man_gondor_blue|Građanin
trp_walker_man_gondor_green|Građanin
; trp_walker_man_rohan_t|Rohan Townsman
; trp_walker_man_rohan_d|Rohan Townsman
; trp_walker_woman_rohan_t|Rohan Maiden
; trp_walker_woman_rohan_d|Rohan Maiden
; trp_walker_woman_gondor_b|Gondor Woman
; trp_walker_woman_gondor_bw|Gondor Woman
; trp_walker_woman_gondor_w|Gondor Noble
; trp_ramun_the_slave_trader|Ramun the slave trader
; trp_guide|Quick Jimmy
; trp_galeas|Galeas
trp_farmer_from_bandit_village|Zemljoradnik
trp_farmer_from_bandit_village_pl|Zemljoradnici
trp_trainer_1|Trener
trp_trainer_2|Trener
trp_trainer_3|Trener
trp_trainer_4|Trener
trp_trainer_gondor|Trener
trp_trainer_rohan|Trener
trp_trainer_dale|Trener
trp_trainer_elf|Trener
trp_trainer_beorn|Trener
trp_trainer_dwarf|Trener
trp_trainer_mordor|Trener
trp_trainer_isengard|Trener
trp_trainer_khand|Trener
trp_trainer_rhun|Trener
trp_trainer_harad|Trener
trp_trainer_umbar|Trener
; trp_ransom_broker_1|Ransom Broker
; trp_ransom_broker_2|Ransom Broker
; trp_ransom_broker_3|Ransom Broker
; trp_ransom_broker_4|Ransom Broker
; trp_ransom_broker_5|Ransom Broker
; trp_ransom_broker_6|Ransom Broker
; trp_ransom_broker_7|Ransom Broker
; trp_ransom_broker_8|Ransom Broker
; trp_ransom_broker_9|Ransom Broker
; trp_ransom_broker_10|Ransom Broker
; trp_tavern_traveler_1|Traveller
; trp_tavern_traveler_2|Traveller
; trp_tavern_traveler_3|Traveller
; trp_tavern_traveler_4|Traveller
; trp_tavern_traveler_5|Traveller
; trp_tavern_traveler_6|Traveller
; trp_tavern_traveler_7|Traveller
; trp_tavern_traveler_8|Traveller
; trp_tavern_traveler_9|Traveller
; trp_tavern_traveler_10|Traveller
; trp_tavern_minstrel_1|Minstrel
; trp_npc1|Mablung
; trp_npc2|Cirdil
; trp_npc3|Ulfas
; trp_npc4|Galmyne
; trp_npc5|Glorfindel
; trp_npc6|Luevanna
; trp_npc7|Kili Goldfinger
; trp_npc8|Faniul
; trp_npc9|Gulm
; trp_npc10|Durgash
; trp_npc11|Ufthak
; trp_npc12|Gorbag
; trp_npc13|Lykyada
; trp_npc14|Fuldimir
; trp_npc15|Bolzog
; trp_npc16|Varfang
; trp_npc17|Dimborn
; trp_gondor_lord|Steward Denethor
; trp_gondor_lord_pl|Steward
; trp_rohan_lord|King Theoden
; trp_rohan_lord_pl|King
; trp_isengard_lord|Saruman
; trp_isengard_lord_pl|Master
; trp_mordor_lord|Mouth of Sauron
; trp_mordor_lord_pl|Satrap
; trp_harad_lord|Chief Ul-Ulcari
; trp_harad_lord_pl|Chief
; trp_rhun_lord|Jarl Helcaroth
; trp_rhun_lord_pl|Jarl
; trp_khand_lord|Shibh Krukmahur
; trp_khand_lord_pl|Shibh
; trp_umbar_lord|Admiral Tulmir
; trp_umbar_lord_pl|Admiral
; trp_lorien_lord|Lady Galadriel
; trp_lorien_lord_pl|Lady
; trp_imladris_lord|Lord Elrond
; trp_imladris_lord_pl|Lord
; trp_woodelf_lord|King Thranduil
; trp_woodelf_lord_pl|King
; trp_moria_lord|Master Bolg the Lesser
; trp_moria_lord_pl|Master
; trp_guldur_lord|Master Fuinur
; trp_guldur_lord_pl|Master
; trp_gundabad_lord|Master Burza Krual
; trp_gundabad_lord_pl|Master
; trp_dale_lord|King Brand
; trp_dale_lord_pl|King
; trp_dwarf_lord|King Dain II Ironfoot
; trp_dwarf_lord_pl|King
; trp_dunland_lord|Chief Daeglaf the Black
; trp_dunland_lord_pl|Chief
; trp_beorn_lord|Chief Grimbeorn the Old
; trp_beorn_lord_pl|Chief
; trp_lorien_marshall|Celeborn
; trp_pippin_notmet|halfling
; trp_merry_notmet|halfling
; trp_pippin|Pippin
; trp_merry|Merry
; trp_knight_1_1|Angbor the Fearless
; trp_knight_1_2|Húrin of the Keys
; trp_knight_1_3|Prince Imrahil
; trp_knight_1_4|Orthalion
; trp_knight_1_5|Duinhir
; trp_knight_1_6|Hirluin the Fair
; trp_knight_1_7|Faramir
; trp_knight_1_8|Forlong the Fat
; trp_knight_1_9|Grimbold
; trp_knight_1_10|Erkenbrand
; trp_knight_1_11|Elfhelm
; trp_knight_1_12|Hama
; trp_knight_1_13|Gamling
; trp_knight_1_14|Éomer
; trp_knight_1_15|Ugluk
; trp_knight_1_16|Mauhur
; trp_knight_1_17|Mog the Seven-fingered
; trp_knight_1_18|Hushnak Longshanks
; trp_knight_1_19|Gridash the Tree-biter
; trp_knight_1_20|Gronk the Man-eater
; trp_knight_2_1|Captain Mortakh
; trp_knight_2_2|Berúthiel
; trp_knight_2_3|Skang
; trp_knight_2_4|Pharakhâd The Bastard
; trp_knight_2_5|Grishnakh
; trp_knight_2_51|Gothmog
; trp_knight_2_51_pl|Lieutenant
; trp_knight_2_6|Chieftain Karna the Lion
; trp_knight_2_7|Chieftain Na’man
; trp_knight_2_8|Chieftain Haarith
; trp_knight_2_11|Kusulak
; trp_knight_2_12|Ulwarth the Balchoth
; trp_knight_2_13|Brodda
; trp_knight_2_16|Torask
; trp_knight_2_17|Lurmsakun
; trp_knight_3_1|Captain Morbir
; trp_knight_3_2|Captain Angamaitë
; trp_knight_3_3|Captain Sangahyando
; trp_knight_3_6|Haldir
; trp_knight_3_7|Orophin
; trp_knight_3_11|Elladan
; trp_knight_3_12|Elrohir
; trp_knight_3_13|Halbarad
; trp_knight_3_16|Miriel
; trp_knight_3_17|Gladvaethor
; trp_knight_4_1|Whip Snog
; trp_knight_4_2|Whip Snotgor
; trp_knight_4_6|General Tuskim
; trp_knight_4_7|General Mugslag
; trp_knight_4_11|Beranhelm
; trp_knight_4_12|Beranor Blackfur
; trp_knight_4_16|Whip Brolgukhsh
; trp_knight_4_17|Whip Grumrunt
; trp_knight_4_18|Whip Grimsob
; trp_knight_5_1|Lord Halward
; trp_knight_5_2|Lord Bard
; trp_knight_5_3|Lord Esgarain
