menu_start_game_1|^^^^^^^^^^Za što se boriš?
mno_cb_gondor7|Beornings
menu_custom_battle_choose_faction3|^^^^^^^^^^Izaberi zlu frakciju
mno_cb_mordor|Mordor
mno_cb_mordor1|Isengard
mno_cb_mordor2|Dunland
mno_cb_mordor3|Haradrim
mno_cb_mordor4|Istočnjaci
mno_cb_mordor5|Moria
mno_cb_mordor6|Gundabad
mno_cb_mordor7|Rhun
mno_cb_mordor8|Gusari
; mno_rescue_mission|Sneak into the sorcerer's lair under the night's cover.
mno_next_rescue_scene_door|Nastavi naprijed!
; mno_pick_troops1|Pick companions for the mission, {reg0} selected
; menu_pick_troops|Whom would you take with you into the stealth mission?    ^Only your most nimble troops and companions will be able to join you.    ^As the party member with the highest wildcraft skill, {reg65?{s1} advises:you decide} that you can take up to {reg11} troops with you.    ^^Currently you have picked {reg0} companions.
mno_go_forward|Završi odabir družine i nastavi.
; menu_burial_mound|You approach the burial mound of {s1} of {s2}.   Defeated in battle by the forces of {s28}.  It is heaped with the notched weapons of his fallen enemies.
; mno_pay_respects|Kneel and pay your respects.
; mno_swear_oath|Swear an oath of vengeance!
; mno_despoil|Desecrate the site
; mno_leave_mound|Leave the mound.
; menu_burial_mound_respects|You kneel and pay your respects to {s1}, silently mouthing a prayer for a speedy journey to the afterlife.  There is nothing left to be done here.
; menu_burial_mound_oath|You loudly swear an oath of vengeance for the death of {s4}.   You would relentlessly seek out the forces of {s3} and destroy them.   Your words carry far on the wind and who can say that they were not heard beyond the sea?
; menu_funeral_pyre_oath|You loudly swear an oath of vengeance for the death of {s4}.   You would relentlessly seek out the forces of {s3} and destroy them.   Your words carry far on the wind and who can say that they were not heard beyond the sea?
; mno_leave_pyre_oath|Leave the pyre.
; menu_burial_mound_despoil|You tear down the monument to {s1} with your own hands and defile the very stones with curses, fell chants and unspeakable acts.  Your followers fall back in fear of the dead but they seem to have renewed respect for your wickedness.
; menu_funeral_pyre|You approach the charred remnants of the funeral pyre of {s3} of {s2}.   Defeated in battle by the forces of {s28}.  Here, the corpse was ceremoniously burned by his personal bodyguards.   Nothing of value remains.
; mno_leave_pyre|Leave the pyre.
; menu_town_ruins|When you approach, you see that {s1} is {s2}
mno_ruin_menu_0|Istraži  mjesto.
mno_ruin_leave|Napusti...
; menu_premutiny|none
menu_death|Ubijen si. I dok je rat i dalje žestok, ti više nećeš sudjelovati u njemu.
; menu_animal_ambush|You and your companions find yourselves separated from the rest of your party, when suddenly...
; menu_animal_ambush_success|The {s2} {reg0?fall:falls} before you as wheat to a scythe! Soon all your attackers lie on the floor, wounded or dead. {s3}
; menu_animal_ambush_fail|The animals bite and tear at you{reg0?,: and your companion{reg2?s,:,}} but luckily you managed to fend them off. Hopefully they won't attack you again.
; menu_isengard_flooding|^^^^^@You are surrounded by dead foes and triumphant allies, including the Ents; they roar, and boom, and trumpet, until stones crack and fall all around the Tower of Orthanc. They are like a howling gale, breaking pillars, hurling avalanches of boulders down the shafts, tossing up huge slabs of stone into the air like leaves... It is like nothing you have ever seen.^^ Bregalad -- or Quickbeam, as you know him -- comes striding by, and pauses only to say, '{playername}! Ware! Keep away from the Tower -- we shall soon break the dam and bring the Isen into this valley, for a little while. You will find it very hard to stay standing here, I think!' Quickly, you take his advice and hasten away from Orthanc.^^ At about midnight, Isengard begins to fill up with black creeping streams and pools. You cannot help but shiver as you see smoke and steam rising in great pillars, and a great coil of vapour rising and snaking around the Tower, until it resembles a tall peak of cloud, fiery underneath and moonlit above. The wrath of the Ents is slow, but possesses an irresistible force...
; mno_isengard_continue|Continue
; menu_build_your_scene|You can build your own battle scene, using one of the slots provided below and the game edit mode  (you need to switch edit mode ON in M&B lauching screen Options first, then press Ctrl+E within a scene to access the edit mode).  You can then submit scenes you constructed (namely, sco files from TLD/SceneObj folder)  to the dev team of TLD, and if your scene is good,  it can appear in later releases as one of random battlegrounds!^^ Try to specify which region on map you want your scene to appear.^ Couple hints: avoid deep water, steep mountains and other impassable places,  unless you are experienced scene-maker and know how to bar AI troops  from walking where you don't want them, and make AI mesh in other places.^ (Entries #0-1 are for attackers, #4 for defenders, do not touch #5-8
; mno_scene1|Plain Big (file scn custom 1.sco)
; mno_scene2|Plain Med (file scn custom 2.sco)
; mno_scene3|Plain Small (file scn custom 3.sco)
; mno_scene4|Steppe Big (file scn custom 4.sco)
; mno_scene5|Steppe Med (file scn custom 5.sco)
; mno_scene6|Steppe Small (file scn custom 6.sco)
; mno_scene7|Forest Big (file scn custom 7.sco)
; mno_scene8|Forest Med (file scn custom 8.sco)
; mno_scene9|Forest Small (file scn custom 9.sco)
mno_back_3dot|Natrag...
mno_back|Vrati se natrag
; mno_next|Next...
