qstr_Gate_is_breached!|大门被攻破！
qstr_Defender_only|仅防守
qstr_Halved|减半
qstr_Battles_only|只看进攻者
qstr_Doubled|雙倍的
qstr_Tripled|三倍的
qstr_Quadrupled|四倍的
qstr_You_drank_the_Ent_Wa|你喝了树人之水...
qstr_Fangorn_search:_fail|搜索法贡森林:失败.
qstr_Troll_caged_in_wheel|把食人妖关在带轮子的笼子里.
qstr_A_second_troll_is_ca|把第二个食人妖关在带轮子的笼子里.
qstr_Here_you_are.|給你
qstr_Player_was_moved_to_|玩家被移动到{s10}.
qstr_neutral_whereabouts|中立的所在住处
qstr_any|任何
qstr_woman|女人
qstr_gondor|剛鐸
qstr_rohan|洛汗人
qstr_dunlander|登蘭德人
qstr_urukhai|強獸人
qstr_haradrim|哈拉德人
qstr_dwarf|矮人
qstr_troll|巨魔
qstr_dunedain|登丹人
qstr_lothlorien|羅斯洛立安人
qstr_rivendell|瑞文戴爾人
qstr_mirkwood|幽暗密林人
qstr_evil_man|邪恶人类
qstr_{reg11}0___{reg11}9|{reg11}0 - {reg11}9
qstr_Regular_troops_only|仅正规军
qstr_Heroes_only|仅英雄
qstr_Regulars_and_Heroes|正规军和英雄
qstr_HP_lost_from_poisoni|HP因为中毒正在减少。
qstr__{s17}.|, {s17}.
qstr_A_group_of_{s1}_is_{|一群{s1}从{s10}方向向你靠近.
qstr_You_are_attacking_a_|你正在攻擊{s1}的部隊
qstr_The_battle_against_t|對抗{s1}的戰鬥繼續
; qstr_Having_a_small_party|Having a small party has its benefits...You and your troops hide from the enemy for a few hours to be sure that you are not seen.
; qstr_Your_ability_to_surv|Your ability to survive in harsh environments allowed you to find a safe place to hide. (Your skill in Wildcraft allows you to hide with {reg1} troops)
; qstr_{reg4}_will_be_lost.|{reg4} will be lost.
qstr_{s13}_asked_you_to_r|{s13}要你带着至少{reg13}人去向他报告。
qstr_{s13}_ordered_you_to|{s13}命令你参加对{s14}的攻击。
qstr_You_were_victorious!|你获胜了！
qstr_The_battle_was_lost.|戰鬥失敗了，你的部隊完全的潰散了
qstr_Your_companions_carr|你的同伴把你从战场上运了出来。
qstr_You_have_defeated_th|你擊敗了敵人
qstr_You_have_retreated_f|你從戰鬥中撤離
qstr_^^Ally_Casualties:{s|^^友军伤亡：{s0}
; qstr_You_and_{s3}_celebra|You and {s3} celebrate your victory against {s4}.
qstr_News_of_your_victory|你战胜{s4}的消息传到了{s3}。
qstr_{s3}_witnesses_your_|{s3}看到了你战胜了{s4}。
; qstr_Even_though_there_we|Even though there were no allies to witness your victory, your troops nevertheless celebrate your triumph.
qstr_{s1}_of_{s3}_managed|{s3}的{s1}设法逃离。
qstr_Prisoners_rescued_so|到目前为止解救的囚犯:{reg1}
qstr_Victory_comment._Pla|胜利的评价。玩家单独赢了。
qstr_Ordinary_victory_com|普通胜利的评价。玩家尽了至少40%的力了。
qstr_Player_participation|玩家参与的评价。敌人至少有1000的初始强度。
qstr_No_victory_comment._|无胜利的评价。这场战斗很小，玩家尽的力还不到友军的40%。
; qstr_{reg1}_kills_of_{s1}|{reg1} kills of {s1} faction troops counted towards Oath. TOTAL Kills: {reg0}
qstr_Some_of_your_tendons|你的一些肌腱在战斗中受伤了，你失去1点力量。
qstr_You_took_a_nasty_wou|你遭受了一次很讨厌的创伤导致你即使痊愈了还是有些跛足。你失去了一点敏捷值。
qstr_You_have_trouble_thi|这场战斗结束以后，你发现你思考问题的时候有些困难，也许是因为战斗中你的头部挨了特别重的一击。而且现在你频繁地感到头痛。你的智力下降1点。
qstr_Perhaps_I_m_getting_|也许我的运气在变差……
qstr_Retirement_is_starti|撤退听起来变得越来越动听。
qstr_No_matter!_I_will_pe|没关系！我将继续坚持！
qstr_What_did_I_do_to_des|我该怎么做才能得到这些？
qstr_I_suppose_it_ll_make|我猜这些至少可以构造出一个很好的故事……
qstr__{s17}|,{s17}
qstr_You_retreated_from_b|你从战场撤离了.
qstr_{s9}_wants_you_to_fo|{s9}希望你能够在接到进一步的指令以前跟着他的部队前进。
qstr_{s8}_of_{s9}| {s9}的{s8} 
qstr__Your_own_banner_fli|你自己的旗帜飘扬在城堡大门上。
qstr__You_see_the_banner_|看到{s7}的旗帜挂在城堡大门上。
qstr__This_castle_seems_t|这个城堡似乎不属于任何人。
qstr__Your_own_banner_flie|你自己的旗帜飘扬在城镇大门上。
qstr__You_see_the_banner_o|你看到{s7}的旗帜挂在城镇大门上。
qstr__The_townsfolk_here_|这些镇民公开宣布这是他们的独立镇。
qstr_Go_to_the_secret_ent|魔瑞亚的秘密入口
qstr_Search_for_a_secret_|寻找一个进入魔瑞亚的秘密入口
qstr_Get_book.|拿書
qstr_The_{reg6?town_s:cas|好像{reg6?城镇里:城堡里}食品仓库中的存粮能够支持{reg3}天
qstr_The_{reg6?town_s:cast|{reg6?城镇里:城堡里}食品仓库中已经没有存粮了，守城人员快要饿死了。
qstr_You_re_preparing_to_|你正准备攻击围墙，需要{reg9}小时的时间准备。
qstr_Your_forces_are_buil|你的部队正在制造攻城塔，需要{reg9}小时完成。
qstr_You_are_ready_to_att|你已經準備好攻擊城墻了
qstr_The_siege_tower_is_b|攻城塔已經建好并且準備好突襲了
qstr_As_a_last_defensive_|你撤退到城堡的大厅里进行最后的防御。你和你手下残余的士兵将准备在这里接受一场恶战。如果你战败了，你就无路可退了。
qstr_You_ve_been_driven_a|你被敌人从城墙上面赶下去了，现在敌人大量涌入街道内。如果你能击败他们，你也许能扭转局势，反败为胜。
qstr_You_ve_breached_the_|你已经突破了城墙，但是那些顽固的守卫者继续在街道上抵抗你的攻击！你得消灭他们才能攻击城镇中心的城堡。
qstr_The_town_centre_is_y|这个城镇的镇广场是你的了，但是剩下的守卫者撤退到城堡里了。你要完全消灭他们才能取得完全的胜利。
qstr_The_remaining_defend|剩下的守卫撤退到城堡这个最后的防线。你必须冲进去清除剩余的抵抗力量。
qstr_However_since_you_ar|然而，自从你放弃向{s9}发的誓言。他是绝对不会承认你是这个{reg8?城镇:城堡}的{领主/领主}。
qstr_The_enemy_has_been_f|敌人被迫撤退了。进攻停止了，但是围城还在继续。
qstr_The_assasins_beat_yo|刺客把你放倒，然后让你躺在地上等死……
qstr_You_have_fallen._The|你倒下了。强盗们迅速从你的身上搜刮钱财，然后消失在夜幕中。他们仅仅是没有杀了你。
qstr_Luckily_some_of_your|很幸运的是，你的一些同伴发现你没有回来就出来寻找你，并且发现你躺在路边。他们急忙把你抬带安全的地方并为你包扎伤口。
qstr_Luckily_some_passing|很幸运的是，一些路过的镇民发现你躺在路边上，他们差点就把你当成乞丐了。他们把你抬到最近的旅馆里并为你包扎伤口。
qstr_{s13}^^You_have_succ|{s13}^^你成功的潜入了.
qstr_the_place|宫殿
qstr_the_castle|城堡
qstr_Stay_indoors_for_som|在里面驻扎({reg1}资源点每晚)
qstr_Camp_outside_for_som|露營一段時間(free)
; qstr_{s4}_s_scouts_have_s|{s4}'s scouts have seen and reported your failure. You have brought shame to {s4} and the responsibility of this failure is yours alone.
qstr_{s1}_s_Ship|{s1}的船
qstr_Time_passes...|時間流逝......
; qstr_Forces_of_Good|Forces of Good
qstr_Forces_of_Mordor|魔多的軍隊
qstr_Forces_of_Isengard|艾辛格的軍隊
qstr_their_enemies|他們的敵人
qstr_{s11}_and_{s13}|{s11} 和 {s13}
qstr_{s11}_{s13}|{s11}, {s13}
; qstr_a_scout_party_from_{|a scout party from {s3}
; qstr_two_scout_parties_an|two scout parties and a forager party from {s3}
; qstr_two_scout_parties_and|two scout parties and a raider party from {s3}
; qstr_three_scouts_two_for|three scouts, two foragers, and a patrol from {s3}
; qstr_three_scouts_two_rai|three scouts, two raiders, and a war party from {s3}
; qstr_You_see_the_village_|You see the village being raided by bandits. You ask most of your troops to watch out for other raiders while you take a small group and prepare to defend villagers.
; qstr_You_see_the_village_y|You see the village you were tasked to raid. You and a small group of your raiders prepare to attack the village so as not to be seen.
; qstr_The_raiders_are_defe|The raiders are defeated! Those few who remain alive and conscious scurry off to the darkness from whence they came, terrified of the villagers and their new champion.
; qstr_Try_as_you_might_you|Try as you might, you could not defeat the raiders. They raze the village to the ground and enslave the remaining peasants.
; qstr_The_village_has_been|The village has been razed, villagers killed or taken as slaves. The Dark Lord will be pleased.
; qstr_You_failed_to_raid_t|You failed to raid the village and you were sent scurrying with your men. You hear the victors cheering as you feel the disapproving gaze of the Eye.
; qstr_The_Scout_Camp_has_b|The Scout Camp has been razed, This will slow the advance of the enemy.
; qstr_You_failed_to_destro|You failed to destroy the Scout Camp. The enemy has taken measure of your faction and has decidedly stuck.
; qstr_You_have_defeated_the|You have defeated the raiding fleet! This is a heavy blow to the enemy's plans!
; qstr_You_defeated_the_int|You defeated the intercepting fleet! Even though you do not have enough strength left to raid the city, this is a great victory!
; qstr_You_drove_back_the_e|You drove back the enemy fleet, but lost most of your ships!
; qstr_You_were_defeated_by|You were defeated by the intercepting fleet and failed to raid the city!
qstr_Lorien|罗瑞安
qstr_Imladris|瑞文戴爾
; qstr_Woodelf|Woodelf
; qstr_^^^^^^^You_come_upon|^^^^^^^You come upon the refugees leaving {s2} and on their way to {s3}. ^^They are mostly the old and the infirmed, accompanied by women and children.^^ There are guards, but not enough to protect everyone from a raid.
; qstr_^^^^^^^You_come_upon_|^^^^^^^You come upon the refugees you have been tracking since {s2}. They seem to be on their way to {s3}, and are mostly the old and the infirmed. ^^ There are few guards, but not enough to stop you and your men from killing all of them.
; qstr_^^At_last_the_Master|^^At last, the Master is making His move! The torches burn bright. The sharp weapons gleam. You and your stout lads will receive marching orders soon. Ai, there'll be fighting, lots of it, and glory enough to go around!^^You have the honour of being summoned to audience with the Master in His tower. Likely enough your first orders will be snaga's work - raid a village here, waylay a caravan there. But you'll prove yourself soon enough. Who's to say you won't play as large a role as any commander of {s2} in {s3}?^^The War has begun; the fall of Man and their allies begins!
; qstr_^^Your_head_suddenly|^^Your head suddenly fills with a vision - the flaming Eye. All around you, your warriors stop in their tracks. Somehow, you know at that moment that all of you are hearing the same summons, seeing the same vision. Great is the art of the Lidless Eye - great is the power of Barad-dûr!.^^The knowledge, unspoken, seeps into your very bones. The time has come. The Dark Lord commands - you shall all march upon your enemies in open war. Orders from {s2} in {s3} will come. Your part at first will not be great, but you'll prove yourself soon enough.^^ The War has begun; the fall of the West begins!
; qstr_{s13}_asked_you_to_j|{s13} asked you to join him with at least {reg13} troops and meet Isengard's Last Stand.
; qstr_You_defeated_{reg5}_|You defeated {reg5} enemies and have impressed your commander.
; qstr_You_defeated_{reg5}_e|You defeated {reg5} enemies.
; qstr_You_failed_to_defeat|You failed to defeat any enemy.
; qstr_The_sorcerer_slain_y|The sorcerer slain, you and your companions hastily bandage up wounds and slip out into the night. Foul voices shriek at your backs and you can feel many burning eyes looking for you in the shadows. Soon the anger turns to disappointment and the sounds of pursuit are muffled, replaced by the usual heavy silence of Mirkwood. You have escaped
; qstr_The_sorcerer_slipped|The sorcerer slipped from your grasp and slithered into the darkness of his domain. With hearts weighted by failure, you and your companions hastily bandage up wounds and withdraw into the night. Mocking voices shriek at your backs and you can feel many burning eyes trying to pierce the shadows. Laughter and insults are soon mercifully muffled, replaced by the usual heavy silence of Mirkwood. You have escaped.
qstr_You_approach_a_heavi|你进入了森林里一个戒备森严的地方...
qstr_You_wait_for_darknes|你等待黑暗的降临……
qstr_You_are_quickly_disc|你很快就会被敌人发现了。
qstr_You_advance_stealthi|你提前悄悄地进入森林.
qstr_You_have_evaded_the_|你躲过了巡逻队,并且悄悄地接近废墟!
qstr_You_have_found_the_s|你已经找到了巫师!
qstr_You_cannot_leave_unt|你不能离开直到守卫失去你的踪迹!
qstr_Kill_him_quickly_bef|在他跑了之前迅速杀了他!
; qstr_Enraged_by_the_death|Enraged by the death of {s4}, you have sworn an oath of vengeance upon the forces of {s3}. You must now destroy as many of the troops of {s3} as possible in the coming days. You are keenly aware that your followers have witnessed this oath and you do not wish to become known as an oathbreaker. An orgy of bloodletting must now begin!
qstr_flooded._Somebody_or|洪水泛滥.有人一定毁坏了艾辛河水坝.
qstr_destroyed._Only_smol|毁灭.只有废墟仍在冒着浓烟.
qstr_^^^You_lost_your_fig|^^^你在这次叛乱中又失去了你的手下!^看起来像你的半兽人们现在有了一个新的头儿.
qstr_^^^You_have_slain_th|^^^你杀了越界者,其他半兽人迅速的逃往他们的地盘.^相信这段时间它们肯定会安分不少.
qstr_You_cover_up_your_tr|你掩盖你的行迹并继续前进。
qstr_Breaking_camp...|停止露營
qstr_You_have_left_{s1}.|你离开了{s1}.
qstr_You_are_entering_{s1|你进入了{s1}({s2}).
qstr_You_are_entering_{s1}|你进入了{s1}。
qstr_The_war_expands_comm|战事越来越频繁，指挥官们更加激进了。（围城需求减少）
qstr_Your_party_is_spotte|你的部队被{s1}发现了。
qstr_Party_has_nothing_to|部队没有东西吃了！
qstr_You_pay_for_accommod|你支付了宿金。
; qstr_Your_scouts_have_rep|Your scouts have reported that there is a {s2} near {s3}.
qstr_The_troll_outside_{s|{s2}外的食人妖被杀了.任务取消.
qstr_{s1}_was_killed_on_t|{s1}已经被杀死在战场上。任务取消。
qstr_{s1}_has_been_defeat|{s1}已经被击败。任务取消。
qstr_You_must_follow_{s1}|你必须跟随{s1} ！
qstr_You_must_follow_{s1}!|你必须跟随{s1}！最后警告你一次！
; qstr_{s1}_parties_defeate|{s1} parties defeated: {reg1} out of {reg2}
; qstr_{reg65}_Moria_and/or|{reg65} Moria and/or Gundabad troops killed. (Counter refreshes every hour)
; qstr_{reg65}_{s3}_troops_|{reg65} {s3} troops killed. (Counter refreshes every hour)
; qstr_{reg66}_{s5}_troops_|{reg66} {s5} troops killed. (Counter refreshes every hour)
; qstr_{reg67}_{s7}_{s8}_tr|{reg67} {s7} {s8} troops killed. (Counter refreshes every hour)
; qstr_{reg68}_{s10}_killed|{reg68} {s10} killed. (Counter refreshes every hour)
qstr_{s1}_is_scouted.|{s1} 被偵察了
qstr_The_Age_of_Men_has_f|人类的时代终于结束了.现在双塔集结他的军队和盟友决定谁才是中土唯一的统治者!
qstr_The_War_of_the_Two_T|双塔之间的战争已经开始了!
qstr_{s2}_was_defeated!|{s2} 被擊敗了！
qstr_The_forces_of_{s22}_|{s22}的力量已经恢复了!{s22}现在是{s23}.
qstr_The_might_of_{s22}_h|{s22}的力量被削弱了!{s22}现在是{s23}.
qstr_In_a_desperate_attem|在绝望中为了击败他的敌人，索隆派出了他的魔多军团！
qstr_Guardians_of_{s6}|{s6}的受賄人
qstr_Guard_Legion_of_{s6}|{s6}的卫队军团
qstr_Scouts_report_that_{|根据报告显示：{s6}在{s7}周围聚集了庞大的军队，他们在做最后的挣扎，企图保卫他们的首都。
qstr_The_forces_of_{s2}_e|{s2}的力量在{s15}已经建立了一个前进营地!
qstr_The_hosts_of_{s2}_ma|{s2}的部队前来保卫自己的家园!
; qstr_Gondor_has_called_fo|Gondor has called for aide!
; qstr_Gondor_is_accompanyi|Gondor is accompanying the marshall!
; qstr_{s5}_has_stopped_fol|{s5} has stopped following you.
; qstr_You_have_{reg69}_all|You have {reg69} ally party following you
; qstr_You_have_{reg69}_ally|You have {reg69} ally parties following you
; qstr_The_forces_of_{s2}_h|The forces of {s2} have regrouped and march on to {s15}!
qstr_{s1}_from_{s2}|{s1} 來自 {s2}
qstr_When_dealing_with_lo|在{s11}与当地人交易的时候,记住,他们不认识你也不一定承认你在{s10}取得的功绩.(资源点.可以用来与{s11}的人们交易但是你不能用你在{s10}弄到的资源点--看看报告菜单你就可以知道你有哪些资源点)
qstr_Info|信息（info）
qstr_You_came_into_a_poss|你发现了一个盛满了看似清洁的水的碗。水闻起来有点像麝香。
qstr_Obtained:_Ent_water.|获得：树人之水
qstr_A_little_after_you_f|当你稍稍从毒水的侵害中恢复时，你发现了一些奇怪的现象。你队伍里的小人物似乎。。。对你更加尊重畏惧了，因为你变得更大。你仔细看了看自己，你发誓自己真的变大了。不会吧。。。
qstr_Ent_water_effect.|树人之水神效
qstr_The_water_you_drank_|你喝的树人之水水对你的身体造成了奇怪的影响，你不相信但是事实告诉你——你长高了一些。但是那水差点杀了你，你不会再冒险了。
qstr_Ent_water_effect:_in|树人之水神效:身高增长。
qstr__+1_to_Strength__per|+1 力量(永久的)
qstr__+1_to_Charisma__per|+1 魅力 (永久的)
qstr_The_dark_shadow_fina|黑暗终于变成了大风暴，邪恶部落席卷中土。魔多在南方和刚铎开战。艾辛格在西方与洛汗开战，多尔戈多（索伦）与精灵开战。。即使是在遥远的北方，战争也降临了。
qstr_The_War_has_started!|戰爭已經開始！！
qstr_The_forest_seems_pea|森林看起来很平静.
qstr_There_is_a_sense_of_|空氣中彌漫著危險的氣息
qstr_You_have_a_feeling_y|你感觉你已经打扰这森林太久了，该离开了。
qstr_Get_out_now!|滚出去!
qstr_You_are_inside_Fango|你在法贡森林里.{s11}
qstr_Your_party_witnessed|你的部队目睹半兽人吃了囚犯.
qstr_Your_party_s_morale_|你的部队的士气降低了。
qstr_Your_party_s_morale_h|你的部队感到恐惧，士气进一步降低了。
qstr_{s27}:_Influence_wit|{s27}：受到{s1}影响从{reg2}提高到{reg1}.
qstr_{s27}:_Influence_with|{s27}：受到{s1}影响从{reg2}降低到{reg1}.
qstr_{s27}:_Party_morale_|{s27}:部队士气上升.
qstr_{s27}:_Party_morale_d|{s27}:部队士气降低。
; qstr_You_have_failed_to_f|You have failed to fulfill your oath to avenge Balin and his company!
qstr_You_have_failed_to_fu|你未能履行为{s1}复仇的誓言！
; qstr_Your_troops_value_yo|Your troops value your effort to fullfill your oath, but acknowledge that events unfolded too quick. As a result, 
; qstr_{s22}You_have_fulfil|{s22}You have fulfilled your oath to avenge Balin and his company!
; qstr_{s22}You_have_fulfill|{s22}You have fulfilled your oath of vengeance for {s1}'s heroic death!
; qstr_Reinforcements|Reinforcements
; qstr_Refugees_Escaped:_{r|Refugees Escaped: {reg10} --- Refugees Killed: {reg11}
; qstr_Raider_Parties_Kille|Raider Parties Killed: {reg12}
; qstr_One_of_the_target_ce|One of the target centers by the refugee trains have been destroyed. The refugees have scattered, and are nowhere to be found.
; qstr_As_an_Orc_or_a_Dwarf|As an Orc or a Dwarf, you can take advantage of the Custom Camera we have implemented in order to improve your experience with TLD's shorter races. See Game Concepts for more information about how to use this.
qstr_Custom_Camera|自定义视角
qstr_{reg65?my_Lady:my_Lo|{reg65?尊敬的女士:我的大人}
qstr_{reg65?My_Lady:My_Lo|{reg65?尊敬的女士:我的大人}
qstr_{reg65?mistress:mast|{reg65?女士:主人}
qstr_{reg65?Mistress:Mast|{reg65?女士:主人}
qstr_{reg65?madame:sir}|{reg65?夫人:先生}
qstr_{reg65?Madame:Sir}|{reg65?夫人:先生}
qstr_How_do_magnets_work?|磁铁有什么用？
qstr_Um..._by_enchanting_|恩...用来吸铁?
qstr_Magnets_are_made_of_|磁铁是金属做的,它被开采自地面.它们有磁力，是因为它们含有含有引力的成分。
qstr_i_wont_a_bonerlrord_|我现在就要战团版的啊！
qstr_I_m_sure_the_TLD_tea|我肯定TLD团队会去完成这一要求，当他们可以时。
; qstr_Install_TLD_in_your_|Install TLD in your Bannerlord Modules folder, add the line 'compatible_with_wfas = 1' to module.ini, and you can play it both on Warband AND Warrider 0.202!
qstr_dis_mod_takes_2_long|啊，这个mod花了好长时间才发布，好烂啊！！！
qstr_Well_there_s_a_lot_o|嗯，这里有很多新的材质和纹理和其它东西要做，这很费时的吧……
qstr_It_has_been_recently|这个mod正式版已经发布了，如果你忘了网址，你可以上lemonparty.org去下载。
qstr_i_wont_decapitated_e|我不会在联机里面杀死大象，不会！！！
qstr_I_don_t_think_there_|我不认为tld有联机，但是大象倒是不错。。。真的不错.
qstr_There_is_a_hidden_el|告诉你们个秘密，有一个隐藏的大象战斗在TLD里。但是你要先删掉所有存档，然后开新档不保存玩一百天。接着在角色菜单处按alt+f4。相信我，我的玩家朋友。。。这完全值得。。。
qstr_Did_you_bring_your_z|你带了你的祖普多格吗？
qstr_What_s_zupdog?|什么是祖普多格？
qstr_My_zupdog_is_ill_but|我的祖普多格生病了，但是我带了我的祖普麦斯。（原文zupdogzupmaiass）
qstr_Wai_no_plate_armour_|等等，mod里没有板甲？
qstr_What_is_plate_armour|什么是板甲，从没听说过。。。
qstr_Wai_no_female_trolls|等等，没有女的食人妖！？啊？啊！你个嘟嘟~（屏蔽音）
qstr_WHEN_U_REALSE_MOD?!!|你们什么时候发布mod？！！？
qstr_But_we_did_release._|我们已经出了呀，我们没出你是怎么站在这里的。你不正在mod里吗？而且还在对我们大吼！
qstr_YES!_ALSO_SOMETIMES_|是的，有时是的。
qstr_Wai_u_no_work_wiht_o|你们能跟其它mod团队一起做一个超级魔戒mod吗？
qstr_Every_mod_team_works|每个mod团队都有着不同的标准，我们不能和其它与我们不同的mod团队合作。
qstr_Because_we_don_t_hav|因为我们没啥幽默感但他们都太搞笑了。
qstr_In_movies_trolls_are|电影里食人妖的又大又胖，你怎么把我搞得这么瘦小？
qstr_We_interpreted_Tolki|我们认为托尔金想的应该是这样的。\n
qstr_But_we_did_make_you_|但是我们的确把你弄得和电影里一样蠢，这难道不算什么吗？
qstr_What_is_news?_Got_an|有什么新闻?有截图吗？
qstr_Well_just_look_aroun|看看你周围，有没有你要截图的？
qstr_Say_cheese!|说：茄子!
qstr_Why_did_you_make_mod|你为什么让MOD的安装如此复杂呢？
; qstr_Well_if_you_are_here|Well, if you are here and talking to me, you must've RTFM successfully after all
; qstr_You_just_got_windyfl|You just got windyflorated!
qstr_Merry|梅裡
qstr_Pippin|皮聘
qstr_the_Citadel|城堡
qstr_Minas_Tirith|米那斯提力斯
qstr_Steward_Denethor|攝政王迪耐瑟
; qstr_the_Golden_Hall|the Golden Hall
qstr_Edoras|伊多拉斯
qstr_King_Theoden|希尤頓國王
; qstr_Merry_asked_you_to_d|Merry asked you to deliver a message to his cousin, Pippin, in Minas Tirith.
; qstr_Pippin_asked_you_to_|Pippin asked you to deliver a message to his cousin, Merry, in Edoras.
; qstr_Tell_him_I_ve_grown_|Tell him I've grown another inch!
; qstr_Tell_Pip_he_smokes_t|Tell Pip he smokes too much!
; qstr_Tell_him_I_can_ride_|Tell him I can ride a grown horse now!
; qstr_Ask_him_if_he_has_an|Ask him if he has any pipe-weed left!
; qstr_Tell_him_I_ll_be_the|Tell him I'll be the tall one when we see each other again!
; qstr_Ask_if_he_s_seen_Gan|Ask if he's seen Gandalf!
; qstr_You_gained_250_exper|You gained 250 experience.
qstr_Treebeard_wants_you_|樹人希望你找到并打敗在法貢森林伐樹的獸人。
; qstr_Something_wrong_not_e|Something wrong, not enough troops for scout party
qstr_my_home_town|我的家鄉
qstr_I_am_in_perfect_heal|我的健康状况很好。
qstr_I_am_suffering_from_|我遭遇了{s1}.
qstr_I_am_suffering_from_{|我遭遇了{s1}和{s2}.
qstr_I_am_suffering_from_{s|我遭遇了{s1}{s2}和{s3}.
qstr_I_am_suffering_from_{s1|我遭遇了{s1}{s2}{s3}和{s4}.
qstr_I_don_t_have_any_ser|我没有受什么重伤，谢谢你。
qstr_Good_day_to_you.|你好。
qstr_Ah_it_s_you_again._G|啊，又是你，再见。
qstr_My_apologies_if_I_wa|如果我刚才很鲁莽，我向你道歉，能再告诉我一下，你的故事么？
qstr_I_was_reconsidering_|我重新斟酌了我们上次对话。你能再说一遍你的故事吗？
qstr_Greetings_{s23}_{s24|向您致意。{s23},{s24}。
qstr_Greetings_{s23}.|向您问好，{s23}.
qstr_So_you_are_{s23}._I_|那么，你是{s23}。我听说你你为我们的{s25}战斗,所以我认为i我该把你当成盟友。
qstr_I_need_volunteers_wi|我需要一些志愿者去和我完成危险的任务。
qstr_I_need_some_soldiers|我需要一些士兵去制造死亡.
qstr_{playername}_s_Reser|{playername}'s 预备队
qstr_Excellent_job_{s23}!|干得漂亮，{s23}!我希望我方所有指挥管都想你这样尽责。^
qstr_Nicely_done_{s23}.|幹得好，{s23}.
qstr_Good_work_{s23}.|做得好，{s23}.
qstr_The_more_you_capture|抓到越多越好,{s23}。
qstr_Caught_a_few_straggl|抓到了几个游荡者,{s23}?
qstr_I_am_sorry_no_one_el|抱歉，这里没人可以出发。^他们会在这里坚守并为{s22}效忠、服务。
qstr_Tough_luck_but_we_do|你不走运啊，我们没有（士兵）了。晚一些再来找我吧。
qstr_There_are_brave_sold|我有一些英勇的士兵愿意献出他们的性命，但是在这黑暗时期我不能再让他们守着这里。^让我们好好谈谈。。。或许你可以让敌人损失很多，你可以给我们做点资源贡献。
qstr_We_have_some_spare_t|我有些闲着的士兵，但是我们不能把他们给你。^^^[没有足够资源点]
qstr_There_are_brave_soldi|这里有些勇敢的士兵志愿要完成他们上战场的义务。^^我认为我能让他们中的几个跟着你。
qstr_There_are_spare_troo|这里有些闲着的战士不介意上战场。^^我可以让他们其中的几个跟着你。
qstr_Strenghten_defences_|{s21}处的防守力量很强?这非常好，记住我们只接受我们的人。
qstr_Strenghten_defences_i|{s21}处的防守力量很强?唔。在他们的力量变弱之前。。。他们会变弱的。你只要保证给我的部队们让路，我们才能支援前线。
qstr_Please_return_them_i|请把它们活着地送回来。我自己知道他们每个都是英勇的，而且我们要珍惜每个灵魂。
qstr_Don_t_let_them_all_d|别让他们挤在一起死，让那些英勇的战士站在前排（让那些懦夫和新人站在后面）。你知道战术排练了。
qstr_Thank_you_commander.|感謝你，指揮官.^
qstr_^{s22}_is_grateful_t|^{s22}对你感到感激,{s23},{s29}^
qstr_{s31}{reg28?Those:Th|{s31}{reg28?Those:That}勇敢的{reg28?soldiers:soldier}一定会帮助我们保卫{s21}。{s32}^^[获得{reg14}{s14}资源点]{***}
qstr_{s31}{reg28?Those:Tha|{s31}{reg28?Those:That}有用的{reg28?troops:troop}一定会帮助我们保卫{s21}。{s32}^^[获得{reg14}{s14}资源点]
qstr_{s4}_^Oh_and_take_ba|{s4}^噢,带回那些你的士兵吧，他们和我们不是同类。
; qstr_You_have_reinforced_|You have reinforced {s8} with {reg55} troops.
qstr_I_don_t_need_them_an|我不需要他們無論如何，所以保存下來
qstr_It_is_my_duty_to_pro|我的職責就是保護我的人民
qstr_It_is_my_duty_to_prot|我的職責就是保護我們的盟友
qstr_I_am_{s4}_{s15}_of_{|我是{s4}，{s6}的{s15} 
qstr_I_am_{s4}_a_commande|我是{s4}，{s6}的指揮官
qstr_{s9}{reg5?_and_the_r|{s9}{reg5?和{s8}的统治者。:.
qstr_Very_well_done_{play|太棒了！{playername}!你抓住了间谍和他的接头人。就像我所希望的他们现在呆在我的地牢里等待审讯。他们有的好解释了。无论如何，我非常高兴你能完成这个任务，{playername}。这袋钱你拿去，你应得的奖赏。
qstr_Beautiful_work_{play|干的漂亮，{playername}！你既抓到了间谍又抓到了接头人。就和你说的一样，他们现在就关在我的地牢，等待审讯。我的拷问官今天有的好忙了。无论如何，我非常高兴你能完成这个任务，{playername}。这袋钱你拿去，你应得的奖赏。
; qstr_Foiling_the_enemy_s_|Foiling the enemy's attempts at attacking the refugee trains have weakened their resolve ({s1} has lost {reg19} faction strength due to your victory against {reg18} raiders).
; qstr_The_slaughter_and_lo|The slaughter and looting of the refugee train has strengthened the enemy ({s1} has gained 50 faction strength).
; qstr_You_did_however_defe|You did, however, defeat {reg18} raiders, weakening the enemy's resolve ({s1} has lost {reg19} faction strength).
; qstr_The_slaughter_and_loo|The slaughter and looting of the refugee train has strengthened the enemy ({s1} has gained {reg20} faction strength).
; qstr_Killing_the_refugees|Killing the refugees from {s1} and enslaving the survivors have demoralized their people ({s1} has lost {reg19} faction strength).
; qstr_{reg20}_refugee_trai|{reg20} refugee trains escaped and improved the enemy's morale ({s1} has gained {reg22} faction strength).
; qstr_You_did_however_defea|You did, however, defeat {reg18} refugee trains, weakening the enemy's resolve ({s1} has lost {reg19} faction strength).
