menu_start_game_1|^^^^^^^^^^Ne için savaşıyorsun?
menu_pick_troops|Gizlilik görevi için kimi beraberinde götürürdün? Şu anda {reg0}  yoldaş seçtin. Yanında 10'a kadar kişi götürebilirsin.
mno_go_forward|Yoldaş seçimini bitir ve devam et.
menu_burial_mound|{s2}'li {s1}'in gömülü olduğu toprağa yaklaşıyorsun. Ölmüş düşmanlarının silahlarıyla kaplanmış.
mno_pay_respects|Diz çök ve saygılarını sun.
mno_swear_oath|İntikam yemini et!
mno_despoil|Mekân'ı kirlet.
mno_leave_mound|Höyüğü terket.
menu_burial_mound_respects|Diz çöküp {s1}'e saygını sunuyorsun, öteki hayata hızlı geçişi için sessizce dua ediyorsun. Burada yapacak bir şey kalmadı.
menu_burial_mound_oath|{s4}'ün ölümü üzerine bağırarak intikam yemini ediyorsun. Hiç durmadan {s3} kuvvetlerini arayacak ve onları yok edeceksin. Sözlerin rüzgarla uzaklara taşınıyor, denizin ötesinden duyulmadıklarını kim söyleyebilir?
menu_burial_mound_despoil| {s1}'ın mezarını ellerinle yıkıyorsun ve taşlarını lanetlerle, merhametsiz şarkılarla ve ağza alınmayacak hareketlerle lekeliyorsun. Yoldaşların ölünün korkusundan geri çekiliyorlar fakat senin kötülüğüne duydukları saygı yenilenmiş gibi görünüyor.
menu_funeral_pyre|{s2}'li {s3}'ün yakıldığı ağaç yığınının kavrulmuş kalıntılarına yaklaşıyorsun. Cesedi burada, seramonik bir şekilde kişisel korumaları tarafından yakılmış. Değerli bir şey kalmamış.
mno_leave_pyre|Kremasyon alanını terket.
menu_town_ruins|{s1} 'in {s2} oldupunu görmek için yaklaştığında..
mno_ruin_menu_0|Etrafı keşfet.
mno_ruin_leave|Ayrıl...
menu_death|Öldürüldün. Savaş devam etse bile artık onun bir parçası değilsin.
menu_animal_ambush|Yoldaşlarınla birlikte kendinizi grubunuzdan izole edilmiş olarak buluyorsunuz ve aniden...
menu_animal_ambush_success|Tıpkı ekinlerin orağa boyun eğdiği gibi, {s2}'de sana {reg0?eğiliyor:eğiliyor}! Çok geçmeden tüm saldırganlar yerde yatıyor, yaralı ya da ölü. {s3}
menu_animal_ambush_fail|Hayvanlar sana {reg0?,: ve yoldaşına{reg2?s,:,}} doğru havlayıp hırlıyorlar, ama şans eseri onları geri püskürtüyorsun. Umarım tekrar saldırmazlar.
menu_build_your_scene|Burada aşağıda gösterilen slotlardan birini veya oyun düzenleme/edit modunu kullanarak, kendi savaş sahneni yaratabilirsin (düzenleme modunu M&B başlatma ayarlar ekranından açman gerekir). Ardından yarattığın sahneleri (TLD/SceneObj klasöründeki sco dosyaları) TLD modunun yapımcılarına ulaştırabilirsin. Eğer sahnen iyiyse, gelecek versiyonlarda rastgele savaşalanı olarak oynanabilir!^^ Sahnenin hangi bölgede çıkmasını istediğini belirtmeye çalış.^Bir kaç ipucu: derin sular, dik dağlar gibi geçilemez alanlar yapmamaya çalışın, tabii tecrübeli bir sahne yapımcısı değilseniz ve yapay zekayı o bölgelerden uzak tutabilecekseniz. (Girdiler 0-1 saldırganlar için, 4 savunmacılar için, 5-8'e dokunmayın.
mno_scene1|Savaşalanı5 (file scn battlefield5.sco)
mno_scene2|Savaşalanı6 (file scn battlefield6.sco)
mno_scene3|Savaşalanı7 (file scn battlefield7.sco)
mno_scene4|Savaşalanı8 (file scn battlefield8.sco)
mno_scene5|Savaşalanı9 (file scn battlefield9.sco)
mno_back_3dot|Geri...
mno_back|Geri dön
mno_next|Sonraki...
