
str_yes|Evet.
str_npc3_signup_response_1|Çok iyi. Hazırlan - kısa sürede ayrılmalıyız.
str_npc4_signup_response_1|Etkileyici. Ne zaman isterseniz gidebiliriz, Leydim.
str_npc5_signup_response_1|Bir Elf Lordu bölügünde olmaktan onur duyacagız.
str_npc6_signup_response_1|Tamam öyleyse. Umarım ilk gördügün ork sürüsünde tabanları yaglayıp kaçmazsın.
str_npc7_signup_response_1|Çok iyi öyleyse!, usta cüce, aramıza hoş geldin. 
str_npc8_signup_response_1|Bizimle güvende olacaksın,söz veriyorum. kısa süre sonra ayrılıyoruz.
str_npc9_signup_response_1|Çok iyi. Söylendiklerini yaparsan, ben de seni iyi beslerim.
str_npc10_signup_response_1|Peki. Hadi Gidelim.
str_npc11_signup_response_1|Peki. Hadi Gidelim.
str_npc12_signup_response_1|Sanırım seni iyi kullanabiliriz.
str_npc13_signup_response_1|Sanırım seni iyi kullanabiliriz.
str_npc14_signup_response_1|Peki. Hadi Gidelim.
str_npc15_signup_response_1|Hmmm Senin özgüvenine... hayranım.Eşyalarını topla.
str_npc16_signup_response_1|Beni takip etmeye ne dersin ?
str_npc17_signup_response_1|Harika! Umarım sürekli agaçlardan bahsetmeyeceksin.
str_npc1_signup_response_2|Şu anda grubunuza ihtiyacım yok, size sana bol şanslar.
str_npc2_signup_response_2|Üzgünüm, fikrimi degiştirdim.
str_npc3_signup_response_2|Üzgünüm, fikrimi degiştirdim - belki başka zaman.
str_npc4_signup_response_2|Özür dilerim leydim, belki daha sonra.
str_npc5_signup_response_2|Yeniden düşündüm de, belki Lothlórien'e kendi başımıza yardım etmeliyiz.
str_npc6_signup_response_2|Üzgünüm, sadece seni savaş meydanında hayal edemedim.
str_npc7_signup_response_2|Üzgünüm,Elfleri sevmeye başladım
str_npc8_signup_response_2|Özür dilerim, herkes benim grupta savaşır.
str_npc9_signup_response_2|Fikrimi degiştirdim. Peşinde olanlar benim peşimden de gelebilir.
str_npc10_signup_response_2|Fikrimi degiştirdim.
str_npc11_signup_response_2|Sana ihtiyacım yok, köle.
str_npc12_signup_response_2|Fikrimi degiştirdim.
str_npc13_signup_response_2|Fikrimi degiştirdim.
str_npc14_signup_response_2|Fikrimi degiştirdim.
str_npc15_signup_response_2|Aslında, sanırım gerçek bir şifacı bulacagım, bir üç kagıtcı degil.
str_npc16_signup_response_2|Ben bunlardan yeterince aldım.
str_npc17_signup_response_2|Öte yandan , sanırım fikrimi degiştirecegim. Sen biraz delisin sanırım. Degil mi ?
str_npc1_payment|Sana katılırdım, ama Yüzbaşı Faramir eksikligimi fark edecektir. [{s14} ile {reg14} nüfuza mal olur]
str_npc2_payment|Korkarım Korucu çavuş gitmeme izin vermeyecektir. [{s14} ile {reg14} nüfuza mal olur]
str_npc3_payment|Öhöm, görünüşe göre bu güzel mekanda yeni bir mevzu açtım, bu yüzden ayrılmadan önce hesabımı kapatmam gerekecek. [{s14} ile {reg14} nüfuza mal olur]
str_npc4_payment|Sana katılırdım ama şehir saldırıya ugradıgında yaralılarla kim ilgilenecek?   [{s14} ile {reg14} nüfuza mal olur]
str_npc5_payment|Yakında yola çıkmalıyız. Düşmana saldırmadan önce varlıgımı algılarlarsa, gelişimin bir anlamı kalmayacak. Ama Lothlórien'in de burada bana ihtiyacı var. [{s14} ile {reg14} nüfuza mal olur]
str_npc6_payment|Sana katılırdım, ama benim görevim burada. [{s14} ile {reg14} nüfuza mal olur]
str_npc7_payment|Sana katılırdım, ama onurlu babam Dwalin'in ihtiyaç duyulgum bir zamanda şehri neden terk ettigimi anlamayacagından korkuyorum.  [{s14} ile {reg14} nüfuza mal olur]
str_npc8_payment|Görevimi bırakamam, Kralımın hâlâ bana ihtiyacı var.Onun saglıgı için çok endişeliyim. [{s14} ile {reg14} nüfuza mal olur]
str_npc9_payment|Seninle gelmek isterim, ama kapıdaki gardiyanlar bana izin vermez.^İnan denedim daha önce. [{s14} ile {reg14} nüfuza mal olur]
str_npc10_payment|Sana katılırdım, ama görevim burada. [{s14} ile {reg14} nüfuza mal olur]
str_npc11_payment|Patronla ilgilenecek birine ihtiyacım var. Gözlerini kapayana kadar bekleyebiliriz, ama gerçekten onun gibi birinin gözlerini kapatabilecegini düşünüyorum. Of! [{s14} ile {reg14} nüfuza mal olur]
str_npc12_payment|Hai! Yoi! Çocuklara çenelerini kapalı tutmaları gerektigini hatırlatmam lazım yoksa yüksek pırpırlı birisi benim numaramı alacak ve benim yerime yapacak. [{s14} ile {reg14} nüfuza mal olur]
str_npc13_payment|Ne yazık ki buradaki Şefler benim gitmeme izin vermez. Onları ikna edebilir misin ? [{s14} ile {reg14} nüfuza mal olur]
str_npc14_payment|Haven kaptanı bana izin vermek için çok fazla nazlanacaktır. Onu ikna et ve fırtınaya beraber yelken açalım. [{s14} ile {reg14} nüfuza mal olur]
str_npc15_payment|Ah evet. Soylu Savaşçı-Lord! Bir küçük engel var! Başıma büyük bir talihsizlik geldi, bu magaranın efendisi iyileşme teklifimi begenmedi ve bütün eşyalarımı çalmış! Yüzsüzlük! Büyük Bolzog'dan çalmak! Usta, paha biçilmez ekipmanlarımı onun pis pençelerinden kurtaramıyorum! [{s14} ile {reg14} nüfuza mal olur]
str_npc16_payment|Seni takip etmeyecegim, kendi yoluma gidecegim; Ama yolun bir süre benimkiyle birlikte kesişebilir. Ancak yola çıkmadan önce ölen atalarım için bir miktar haraç vermelisin. Onlara haracını ver ve biz de yola koyulalım. Atalarımızı asla unutmamalıyız. Onlar bizi unutmadılar. [{s14} ile {reg14} nüfuza mal olur]
str_npc17_payment|Agaçlardan hoşlanırım, ancak yaşlı amcamın bana ihtiyacı var. [{s14} ile {reg14} nüfuza mal olur]
str_npc1_payment_response|Merak etme, onla beraber ayrılmanızı ayarlıyacagım. [{reg14}/{reg15} nüfuza mal olur]
str_npc2_payment_response|Endişelenme, Çavuşla konuşacagım. [{reg14}/{reg15} nüfuza mal olur]
str_npc3_payment_response|Buna degse iyi olur. Barmen'i ben hallederim. [{reg14}/{reg15} nüfuza mal olur]
str_npc4_payment_response|Asil bir sebep, ancak eminim yedek bulunabilir. [{reg14}/{reg15} nüfuza mal olur]
str_npc5_payment_response|Güven bana , benimle birlikte daha işe yarar olacaksın. [{reg14}/{reg15} nüfuza mal olur]
str_npc6_payment_response|Şu andan itibaren seninle birlikte görev yapıyorum. [{reg14}/{reg15} nüfuza mal olur]
str_npc7_payment_response|Üstat Dwalin, iyi savaşan bir cücenin düşmanlarımızdan çok uzun süre ayrı tutulmaması gerektigini anlayacaktır.  [{reg14}/{reg15} nüfuza mal olur]
str_npc8_payment_response|Kral'ın refahı önemlidir, ancak benimle daha çok hayat kurtaracaksın.[{reg14}/{reg15} nüfuza mal olur]
str_npc9_payment_response|Oh, Fakat eger benimle olursan bekçiler beni durdurmaya cesaret edemez, [{reg14}/{reg15} nüfuza mal olur]
str_npc10_payment_response|Şu andan itibaren seninle birlikte görev yapıyorum. [{reg14}/{reg15} nüfuza mal olur]
str_npc11_payment_response|Patronunu boşver, şimdi bana hizmet ediyorsun.  [{reg14}/{reg15} nüfuza mal olur]
str_npc12_payment_response|Sizin çocuklar yeni emirler alacak, Üst rütbeler için ben endişelenirim.[{reg14}/{reg15} nüfuza mal olur]
str_npc13_payment_response|Aksini görecekler, çünkü ben şimdi senin Şefinim [{reg14}/{reg15} nüfuza mal olur]
str_npc14_payment_response|Eski Liman ustası hakkında endişelenmenize gerek yok. [{reg14}/{reg15} nüfuza mal olur]
str_npc15_payment_response|Paha biçilemez öyle mi ? Aletlerini sana getirecegim. [{reg14}/{reg15} nüfuza mal olur] 
str_npc16_payment_response|Atalarımızı onurlandırıyorum.Senin ve benim atalarımı [{reg14}/{reg15} nüfuza mal olur]
str_npc17_payment_response|Amcan iyi olacak. Şu an benimlesin.  [{reg14}/{reg15} nüfuza mal olur]
str_npc1_morality_speech|Yüzbaşı, adamlarımızdan nasıl {s21} yaptıgınızı ve onlardan vazgeçebildiginizi anlayamıyorum. Yüzbaşı Faramir, Rangerlarına olan merhametini asla kaybetmezdi ve gerekmedikçe onlara acı çektirmezdi.
str_npc2_morality_speech|Umarım bunu söylememin bir  sakıncası yoktur, ama {s21}'e dayanmam biraz zor. Belki daha sert bir asker olma konusunda sana borçluyum fakat sen de askerlerle daha çok ilgilenmelisin bence.Böyle yaparsan daha rahat uyuyabilirim.
str_npc3_morality_speech|Komutan, biz Eorlingalar asla {s21}. Bizim atlarımız kolayca yorulmazlar ve bir kez yeniden organize olduk mu iyi bir zamanlamayla saldırmak bizim lehimize olur.Her zaman savaş olasılıgı için uyanık olun.
str_npc4_morality_speech|Askerlerin söylediklerine dikkat etmeyin, bazen {s21} en akıllıca hareket biçimidir. Ben hayatlar kaybolmadıgı ve kemikler kırılmadıgı için şükrediyorum.Başka bir savaşta kader bize gülecek.
str_npc5_morality_speech|Hareketlerinizi yeniden düşünmelisiniz, komutan. {s21} bizi Düşman'dan daha şerefli yapmaz ve arkadaşlarımızın güveni azaltır.
str_npc7_morality_speech|{s21} 'e karar verdiginizden dolayı memnun kalmadım. Savaşa katılmak dogru düşünen bir cüce için onurdur, ancak bir korkak tarafından yönetilen bir grupta savaşmak utanç verici. Kuzenlerim bunu ögrenirlerse ne derler?
str_npc8_morality_speech|Komutan, itiraz etmek zorundayım. {s21}, adamlara karşı sert ve gereksiz birisi. Onların acısını hafifletmek için elimden gelen şeyi yaparım, ancak lütfen başka büyük bir hata yapmayın.
str_npc9_morality_speech|Uruh-hai {s21}'yi yapmaz. Efendimizin cesareti az ise, bir gece kendilerini onlar olmadan bulabilir. Gulm konuştu.
str_npc15_morality_speech|Büyük Bolzog'un herkesi iyileştirdigini düşünebilirsiniz {playername} ancak benim bile sınırlarım var! {S21} 'e devam edersen, yeteneklerim bile bununla başa çıkamaz hale gelecek! Bana biraz destek vermelisin! Açlıktan ölenleri ve parçalanan cesetleri canlandıramam!
str_npc1_2ary_morality_speech|Kaptan, ben bir dunedain olarak yetiştirildim onur ve şan. Eger yapmazsak {s21}
str_npc4_2ary_morality_speech|Afedersiniz, komutanım. Üsdeki kadınlar onurlu bir ölümü kabul edecekler. {S21} eve ve atalarımıza utanç getiriyor.
str_npc15_2ary_morality_speech|Hi-hi-hi! Seni kurnaz, Aman Allahım! Altını aldın ve kafanı sallayarak "evet efendim" dedin ama bu kadar zamandır bunu planlıyordun! Hi-Hi! Sadece, dikkatli olmalıyız, şu büyük olan onu aldattıgının farkında degil.
str_npc1_personalityclash_speech|senden nefret ettigimi söylemiş miydim ?
str_npc2_personalityclash_speech|senden nefret ettigimi söylemiş miydim ?
str_npc3_personalityclash_speech|Komutan, {s11}'i nereden buldun? Düşünüyorum da, o fazla uyanık, Şunu fark ettim ki o halkının temkinli dogasından farklı, sık sık pusu kurmaktan çok hoşlandıgından bahsediyor.
str_npc4_personalityclash_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc5_personalityclash_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc6_personalityclash_speech|{playername}, Geçen {s11}'in  yavru kuşların yuvasına yürüdügünü gördüm. Onun sakarlıgı masum yaratıkların genç hayatlarını yok etti.
str_npc7_personalityclash_speech|Lord {s11} iyi savaşıyor, fakat düşmanlarını saçlarının parlaklıgıyla mı kör etmeye çalışıyor merak ediyorum. Yoksa bayagılıgından ve kibirli tavırlarından mı yerlere düşüyorlar?
str_npc8_personalityclash_speech|Komutan, {s11} 'i size şikayet etmeliyim. Bana sürekli 'yeşil peri' denilen bir mayalama yöntemini anlatıp duruyor.İllallah ettim.
str_npc9_personalityclash_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc10_personalityclash_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc11_personalityclash_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc12_personalityclash_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc13_personalityclash_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc14_personalityclash_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc15_personalityclash_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc16_personalityclash_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc17_personalityclash_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc1_personalityclash_speech_b|{s11} den nefret ediyorum.
str_npc2_personalityclash_speech_b|{s11} den nefret ediyorum.
str_npc3_personalityclash_speech_b|Gondor halkıyla bir anlaşmazlıgım yok, Fakat daha çok atlı ve daha az piyadeyle daha iyi olabiliriz. Eger beni dinlersen.
str_npc4_personalityclash_speech_b|{s11} den nefret ediyorum.
str_npc5_personalityclash_speech_b|{s11} den nefret ediyorum.
str_npc6_personalityclash_speech_b|Onun Cüceligi yer altında işe yarayabilir. Gerçi hala nasıl şimdiye kadar o çirkin kuyulardan birine düşmedigini merak ediyorum. Belki de çoktan düşmeliydi.
str_npc7_personalityclash_speech_b|Cüce kahraman, eski Ölümsüz Durin gibi biriyle daha iyi oluruz. Bırak elfler ormanlarında dolansınlar.
str_npc8_personalityclash_speech_b|Liköre batırılmış solucanlardan yapılmış ve görünüşe göre içinde ne olduguna aldırmayan aşıklar ve serserilerin favori içecegi. Savaş alanında havayı kovalayan askerlerimizi izlemesinin eglenceli olacagını onaylayacagınızdan şüpheliyim.
str_npc9_personalityclash_speech_b|{s11} den nefret ediyorum.
str_npc10_personalityclash_speech_b|{s11} den nefret ediyorum.
str_npc11_personalityclash_speech_b|{s11} den nefret ediyorum.
str_npc12_personalityclash_speech_b|{s11} den nefret ediyorum.
str_npc13_personalityclash_speech_b|{s11} den nefret ediyorum.
str_npc14_personalityclash_speech_b|{s11} den nefret ediyorum.
str_npc15_personalityclash_speech_b|{s11} den nefret ediyorum.
str_npc16_personalityclash_speech_b|{s11} den nefret ediyorum.
str_npc17_personalityclash_speech_b|{s11} den nefret ediyorum.
str_npc1_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc2_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc3_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc4_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc5_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc6_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc7_personalityclash2_speech|Güzel hurdaydi degil mi kaptan? Keşke Elf-Kadın {s11} onu mahvetmeseydi ?
str_npc8_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc9_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc10_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc11_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc12_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc13_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc14_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc15_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc16_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc17_personalityclash2_speech|{s11} den nefret ettigimi söylemiş miydim ?
str_npc1_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc2_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc3_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc4_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc5_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc6_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc7_personalityclash2_speech_b|Onu arkada çömelirken gördüm. Düşman yönüne bir ya da iki tane ok anca attı. Bence onu kuşlar ve arılarla ilgilenmesi için baş başa bırakalım ki düşmanı katletmeye devam edebilelim.
str_npc8_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc9_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc10_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc11_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc12_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc13_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc14_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc15_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc16_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc17_personalityclash2_speech_b|{s11} den nefret ediyorum.
str_npc1_personalitymatch_speech|Son savaşta {s11}'ın zerafetini fark ettin mi? Son darbeyi vurmadan önce düşmanın etrafında dolaşması? Tıpkı eski hikayelerdeki gibi, Elf kızları savaş alanlarında bile saraylardaki kadar zarif olabiliyorlar.
str_npc2_personalitymatch_speech|Afedersiniz, komutan. Son akından sonra {s11} 'e küçük silah onarımları yapıyordum.O bana saldırılarımı nasıl geliştirecegimi ögretecegine  söz bile verdi.
str_npc3_personalitymatch_speech|Rohan Kalkanlıları niye hiç tam saldırı sırasında ortada gözükmezler? Kabul edelim ki, bizim kadınlarımız bile onlardan daha yüreklidir.Fakat açıkcası {s11}'ı son saldırıda görünce eski düşüncelerim hakkında şüphelenmeye başladım.
str_npc4_personalitymatch_speech|Büyük kahramanlıkların gösterildigi bir savaş oldu komutan, zafere yaptıgım katkı için teşekkürler.Bununla birlikte {s11} 'in yaralılarla ve hastalarla hatta bakımı hak etmeyen düşmanla bile şevkatle ilgilenmesi dikkatimi çekti.
str_npc5_personalitymatch_speech|{s11} hoşuma gitmeye başladı, hiç söylemiş miydim ?
str_npc6_personalitymatch_speech|{playername}, savaştan edebildigim kadar nefret ediyorum. Sana yardım edemem fakat Lord {s11} tüm ihtişamıyla sürdügü atıyla çirkin yaratıkları bir şahin gibi avlayabilir.
str_npc7_personalitymatch_speech|Şef. Az önce {s11} ile konuşuyordum. Biraz vahşi oldugu dogru, ama aynı zamanda iyi bir de dost.
str_npc8_personalitymatch_speech|Sizin için bir başka zafer komutanım ve adamlarımızın hayatlarını korumak için yaptıgınız hamlelere hayranım. {S11} gibi savaşçılar savaş planlarınız için çok faydalı görünüyor.
str_npc9_personalitymatch_speech|{s11} hoşuma gitmeye başladı, hiç söylemiş miydim ?
str_npc10_personalitymatch_speech|{s11} hoşuma gitmeye başladı, hiç söylemiş miydim ?
str_npc11_personalitymatch_speech|{s11} hoşuma gitmeye başladı, hiç söylemiş miydim ?
str_npc12_personalitymatch_speech|{s11} hoşuma gitmeye başladı, hiç söylemiş miydim ?
str_npc13_personalitymatch_speech|{s11} hoşuma gitmeye başladı, hiç söylemiş miydim ?
str_npc14_personalitymatch_speech|{s11} hoşuma gitmeye başladı, hiç söylemiş miydim ?
str_npc15_personalitymatch_speech|{s11} hoşuma gitmeye başladı, hiç söylemiş miydim ?
str_npc16_personalitymatch_speech|{s11} hoşuma gitmeye başladı, hiç söylemiş miydim ?
str_npc17_personalitymatch_speech|Şef. Bence {s11} ormanda iyi yapabilir. Sögütten bir küle söyleyebilirim.
str_npc1_personalitymatch_speech_b|{s11}'in yoldaşlıgı beni mest ediyor ve yerel oymacılıgı dünyada Sindarin sanatından kalan nadir bir görüntü. Biliyor musun, babam beni Doriath'lı Kral Thingol'a hizmet eden efsanevi Sindarin Elf kaptanıyla aynı ismi vermiş ve her zaman Elf ırkıyla aramda bir bag oldugunu hissediyorum.
str_npc2_personalitymatch_speech_b|Evdekiler bana her zaman Ithilien Rangers'la ilgili hikayeler anlatıyordu ve şimdi kendi gözlerimle bunların hepsinin dogru olduklarını görebiliyorum. Eger hepsi {s11} gibiyse, Gondor'un kendim için daha güvenli oldugunu hissediyorum.
str_npc3_personalitymatch_speech_b|Komutanım, şahsi bir iyilik olarak, bir sonraki savaşta {s11} 'e daha geride kalması için emir verebilir misin? Onun zarar gördügünü görmeye dayanamam,ve bu sadece bir sarhoş konuşması degil.
str_npc4_personalitymatch_speech_b|Hayatları korumak en asil eylemdir ve dünyalarım çok uzak olsa bile, o tür ruhla akrabalık hissediyorum.
str_npc5_personalitymatch_speech_b|{s11}'in hareketlerini begeniyorum.
str_npc6_personalitymatch_speech_b|Kaç yaşında merak ediyorum. Belki benden yüzlerce yıl büyüktür? Boş ver, asla bilemeyeceksin.
str_npc7_personalitymatch_speech_b|{S11} ve Dale-adamı, cüce savaşçı standartlarına uymasalar bile, bu savaşta müttefik olduklarını kanıtladılar. Diger insanlara göre iyi bir arkadaş ve yoldaş olduklarını söyleyebilirim.Yani şu ana kadar.
str_npc8_personalitymatch_speech_b|Dale insanları Yalnız Dagdaki dayanıklı Cüce halkına derin saygı duyarlar. Arkadaş ve koruyucular olarak farklılıklarımızı görmezlikden geliriz.
str_npc9_personalitymatch_speech_b|{s11} hareketlerini begeniyorum.
str_npc10_personalitymatch_speech_b|{s11} hareketlerini begeniyorum.
str_npc11_personalitymatch_speech_b|{s11} hareketlerini begeniyorum.
str_npc12_personalitymatch_speech_b|{s11} hareketlerini begeniyorum.
str_npc13_personalitymatch_speech_b|{s11} hareketlerini begeniyorum.
str_npc14_personalitymatch_speech_b|{s11} hareketlerini begeniyorum.
str_npc15_personalitymatch_speech_b|{s11} hareketlerini begeniyorum.
str_npc16_personalitymatch_speech_b|{s11} hareketlerini begeniyorum.
str_npc17_personalitymatch_speech_b|Halkım orman elfleri ile iyi geçiniyor. Onlar da agaçlar gibi. Ben de agaçları severim. Biz hepimiz Agaçlar gibiyizdir.
str_npc1_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc2_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc3_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc4_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc5_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc6_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc7_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc8_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc9_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc10_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc11_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc12_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc13_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc14_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc15_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc16_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc17_retirement_speech|Savaşçı hayatından yorulmaya başladım, emekli olacagım.
str_npc1_rehire_speech|Seni gördügüme sevindim,Kaptan. Bir kez daha sana katılabilir miyim?
str_npc2_rehire_speech|Mutlu günler! Kumandanım, size tekrar katılabilir miyim ?
str_npc3_rehire_speech|Hey! Tekrar binelim mi?
str_npc4_rehire_speech|Tekrar hoşgeldin. Kaldıgımız yerden devam edelim mi ?
str_npc5_rehire_speech|Seni görmek güzel, {playername}. Haydi birlikte yolları tekrar aşalım.
str_npc6_rehire_speech|Seni gördügüme sevindim, {playername} Hadi tekrar aynı yoldan yürüyelim.
str_npc7_rehire_speech|Baltam hazır,{playername}. Sana geri katılabilir miyim?
str_npc8_rehire_speech|Sen hoş bir manzara görüyorsun. Bir kez daha mı katılacagım?
str_npc9_rehire_speech|Gulm tekrar sizin için öldürmeye hazır. Gidiyor muyuz?
str_npc10_rehire_speech|Size tekrar hizmet edebilir miym ?
str_npc11_rehire_speech|Size tekrar hizmet edebilir miym ?
str_npc12_rehire_speech|Size tekrar hizmet edebilir miym ?
str_npc13_rehire_speech|Size tekrar hizmet edebilir miym ?
str_npc14_rehire_speech|Size tekrar hizmet edebilir miym ?
str_npc15_rehire_speech|Aah, Büyük Lord! Orta Dünya'da görkemli işlerinizin sözlerinin yayıldıgı gibi sizi her yerde aradım durdum! Tabi ki yeteneklerimi özledin ve beni büyük ordunu tamamlamak için bir kez daha yanına alacaksın degil mi?
str_npc16_rehire_speech|Size tekrar hizmet edebilir miym ?
str_npc17_rehire_speech|Hey. Yine mi hareket etme zamanı? Agaçlar fazla hareket etmez. Ama ben hareket etmeyi severim ayrıca agaçları da.
str_npc1_home_intro|Kaptan, şimdi Osgiliath'a yaklaşıyoruz, bu yüzden dost ve düşmanımız için gözlerimizi dört açalım.
str_npc2_home_intro|Dikkatli olun, komutan, bu Minas Morgul olmalı. Bir şeylerin bizi izledigini sen de hissediyor musun?
str_npc3_home_intro|Sadece küçük bir tavsiye, komutan. Şu anda Entwood'a çok yakınlaşıyoruz ve atlar huzursuz oluyor. Fangorn'da bir şeyler bize sesleniyor sanki.
str_npc4_home_intro|Bir dakika burada duralım komutan. Önümüzde, Anduin ile Limlight arasında, Eorl the Young'un Gondorlu müttefiklerimize yardım ettigi yer var.
str_npc5_home_intro|Daro! Bu Isengard ve Orthanc'ın meşhur siyah kulesi. Onları son gördügümden beri çok şey degişti ve degişen şeylerin hiçbiri iyiye gitmedi.
str_npc6_home_intro|Affedersin, {playername}. Bu bölümdeki yollar daha da egri bügrü ve bazıları çıkmaza götürüyor. Dol Guldur'a yaklaşmalıyız.
str_npc7_home_intro|Oh Kaptan! Bu Khazad-dûm'un Dogu Kapıları olmalı ya da Moria hangisini tercih edersen. Bu mesafeden Kheled-zâram'ın parlak gölünü ve bulutlar arasından, Sisli Dagların bir bölümü olan Üç Tepeyi görebilirsin.
str_npc8_home_intro|Ah, ne merak uyandırıcı bir manzara! Yetenekli ahşap işçileri olan, hayvanlarla ve bitkilerle uyum içinde yaşanan bir yer hakkında anlatılan hikayeler duymuştum. Bildigim kadarıyla onlara Boerningler deniyor.
str_npc9_home_intro|Lanet olsun! Orada Hornburg olmalı efendim.
str_npc10_home_intro|Hey, şuraya bak !
str_npc11_home_intro|Hey, şuraya bak !
str_npc12_home_intro|Hey, şuraya bak !
str_npc13_home_intro|Hey, şuraya bak !
str_npc14_home_intro|Hey, şuraya bak !
str_npc15_home_intro|Hey, şuraya bak !
str_npc16_home_intro|Hey, şuraya bak !
str_npc17_home_intro|Ooooo, mallornlar burada büyür! Biri bir mallorn'u asla kesmemeli, çok güzeller!
str_npc1_home_description|Bir zamanlar adaletli bir şehirdi, eski Gondor'un başkenti, insanlarla ve kahkahalarla doluydu. Artık tenha ve harap durumda, yaşlı Anduin artık bir hayalet kasaba boyunca akıyor.
str_npc2_home_description|Burası uzun yıllar önceden Minas Ithil olarak adlandırılırdı. Hikayeler ay ışıgının nasıl avlusunu ve duvarlarını gümüşe ve beyaza boyadıgını anlatır. Gondorlu gözcüler surlarında doguyu ve Ephel Dúath'ın ötesini gözlerler.
str_npc3_home_description|Buradaki dallar çalılar ve agaçlara karşı kalın zırhlarımız var fakat ben o ormandaki yaratıklarla yüzleşmek istemem, onların hepsinin zararsız oldugunu söyleyemeyiz.
