trp_unarmed_troop|Silahsız Birlik
trp_c6_rider_guard_of_rohan|Rohan Eorl Muhafızı
trp_c6_rider_guard_of_rohan_pl|Rohan Eorl Muhafızları
trp_i6_2h_guard_of_rohan|Rohan Migfer Muhafızı
trp_i6_2h_guard_of_rohan_pl|Rohan Migfer Muhafızları
trp_ac3_dism_skirmisher_of_rohan2|Rohan Çatışmacısı
trp_ac3_dism_skirmisher_of_rohan2_pl|Rohan Çatışmacıları 
trp_ac4_dism_veteran_skirmisher_of_rohan2|Kıdemli Rohan Çatışmacısı 
trp_ac4_dism_veteran_skirmisher_of_rohan2_pl|Kıdemli Rohan Çatışmacıları 
trp_ac5_dism_elite_skirmisher_of_rohan2|Seçkin Rohan Çatışmacısı 
trp_ac5_dism_elite_skirmisher_of_rohan2_pl|Seçkin Rohan Çatışmacısı 
trp_i1_harad_levy|Harad Askeri
trp_i1_harad_levy_pl|Harad Askerleri
trp_i3_harad_infantry|Harad Hafif Piyadesi
trp_i3_harad_infantry_pl|Harad Hafif Piyadeleri
trp_i4_harad_spearman|Harad Mızrakçısı
trp_i4_harad_spearman_pl|Harad Mızrakçıları
trp_i5_harad_tiger_guard|Kaplan Muhafız
trp_i5_harad_tiger_guard_pl|Kaplan Muhafızları
trp_i4_harad_swordsman|Harad Kılıç Ustası
trp_i4_harad_swordsman_pl|Harad Kılıç Ustaları
trp_i5_harad_lion_guard|Aslan Muhafız
trp_i5_harad_lion_guard_pl|Aslan Muhafızları
trp_a3_harad_hunter|Harad Avcısı
trp_a3_harad_hunter_pl|Harad Avcıları
trp_a4_harad_archer|Harad Okçusu
trp_a4_harad_archer_pl|Harad Okçuları
trp_a5_harad_eagle_guard|Kartal Muhafı
trp_a5_harad_eagle_guard_pl|Kartal Muhafızlar
trp_c2_harondor_scout|Harandor İzcisi
trp_c2_harondor_scout_pl|Harondor İzcileri
trp_c3_harondor_rider|Harondor Atlısı
trp_c3_harondor_rider_pl|Harondor Atlıları
trp_c4_harondor_light_cavalry|Harondor Hafif Atlısı
trp_c4_harondor_light_cavalry_pl|Harondor Hafif Atlıları
trp_c5_harondor_serpent_knight|Altın Engerek Şovalyesi
trp_c5_harondor_serpent_knight_pl|Altın Engerek Şovalyeleri
trp_ac3_harondor_skirmisher|Harondor Avcısı
trp_ac3_harondor_skirmisher_pl|Harondor Avcıları
trp_ac4_harondor_horse_archer|Harondor Atlı Okçusu
trp_ac4_harondor_horse_archer_pl|Harondor Atlı Okçuları
trp_ac5_harondor_black_snake|Kara Yılan Atlı Okçusu
trp_ac5_harondor_black_snake_pl|Kara Yılan Atlı Okçuları
trp_i2_far_harad_tribesman|Far Harad Kabile Üyesi
trp_i2_far_harad_tribesman_pl|Uzak Harad Kabilelileri
trp_i4_far_harad_champion|Uzak Harad Şampiyonu
trp_i4_far_harad_champion_pl|Uzak Harad Şampiyonları
trp_i5_far_harad_panther_guard|Panter Muhafızı
trp_i5_far_harad_panther_guard_pl|Panter Muhafızları
trp_i1_dun_wildman|Dunnish Yabanisi
trp_i1_dun_wildman_pl|Dunnish Yabanileri
trp_i2_dun_warrior|Dunnish Savaşçısı
trp_i2_dun_warrior_pl|Dunnish Savaşçıları
trp_i3_dun_pikeman|Dunnish Mızrakçısı
trp_i3_dun_pikeman_pl|Dunnish Mızrakçıları
trp_i4_dun_vet_pikeman|Dunnish Kıdemli Mızrakçısı
trp_i4_dun_vet_pikeman_pl|Dunnish Kıdemli Mızrakçıları
trp_ac4_dun_crebain_rider|Dunland Crebain Binicisi
trp_ac4_dun_crebain_rider_pl|Dunland Crebain Binicileri
trp_i3_dun_vet_warrior|Dunnish Kıdemli Savaşçısı
trp_i3_dun_vet_warrior_pl|Dunnish Kıdemli Savaşçıları
trp_i4_dun_wolf_warrior|Dunnish Kurt Savaşçısı
trp_i4_dun_wolf_warrior_pl|Dunnish Kurt Savaşçıları
trp_i5_dun_wolf_guard|Dunnish Kurt Muhafızı
trp_i5_dun_wolf_guard_pl|Dunnish Kurt Muhafızları
trp_ac5_dun_raven_rider|Dunnish Gece Kuzgunu
trp_ac5_dun_raven_rider_pl|Dunnish Gece Kuzgunları
trp_i1_khand_bondsman|Khand Kölesi
trp_i1_khand_bondsman_pl|Khand Köleleri
trp_i2_khand_pit_dog|Khand Çukur Köpegi
trp_i2_khand_pit_dog_pl|Khand Çukur Köpekleri
trp_i3_khand_warrior|Khand Savaşçısı
trp_i3_khand_warrior_pl|Khand Savaşçıları
trp_i4_khand_vet_warrior|Khand Kıdemli Savaşçısı
trp_i4_khand_vet_warrior_pl|Khand Kıdemli Savaşçıları
trp_i5_khand_war_master|Variag Savaş Üstadı
trp_i5_khand_war_master_pl|Variag Savaş Üstatları
trp_c2_khand_pony_rider|Khand Midilli Binicisi
trp_c2_khand_pony_rider_pl|Khand Midilli Binicileri
trp_c3_khand_horseman|Khand Atlısı
trp_c3_khand_horseman_pl|Khand Atlıları
trp_c4_khand_heavy_horseman|Khand Agır Atlısı
trp_c4_khand_heavy_horseman_pl|Khand Agır Atlıları
trp_c5_khand_kataphrakt|Variag Zırhlısı
trp_c5_khand_kataphrakt_pl|Variag Zırhlıları
trp_c5_khand_lance_kataphrakt|Variag Mızraklısı
trp_c5_khand_lance_kataphrakt_pl|Variag Mızraklıları
trp_i4_khand_halberdier|Khand Tebercisi
trp_i4_khand_halberdier_pl|Khand Tebercileri
trp_i5_khand_halberd_master|Variag Teber Ustası
trp_i5_khand_halberd_master_pl|Variag Teber Ustaları
trp_i3_khand_pitfighter|Khand Çukur Dövüşçüsü
trp_i3_khand_pitfighter_pl|Khand Çukur Dövüşçüleri
trp_i4_khand_pit_champion|Khand Çukur Şampiyonu
trp_i4_khand_pit_champion_pl|Khand Çukur Şampiyonları
trp_i5_khand_pit_master|Kuyu Ustası Variag
trp_i5_khand_pit_master_pl|Variag Çukurların Ustaları
trp_ac3_khand_skirmisher|Khand Çatışmacısı
trp_ac3_khand_skirmisher_pl|Khand Çatışmacıları
trp_ac4_khand_vet_skirmisher|Khand Kıdemli Çatışmacısı
trp_ac4_khand_vet_skirmisher_pl|Khand Kıdemli Çatışmacıları
trp_ac5_khand_heavy_skirmisher|Variag Agır Çatışmacısı
trp_ac5_khand_heavy_skirmisher_pl|Variag Agır Çatışmacısı
trp_i1_corsair_youth|Umbar Denizcisi
trp_i1_corsair_youth_pl|Umbar Denizcileri
trp_i2_corsair_warrior|Umbar Savaşçısı
trp_i2_corsair_warrior_pl|Umbar Savaşçısı
trp_i3_corsair_spearman|Umbar Mızraklısı
trp_i3_corsair_spearman_pl|Umbar Mızraklıları
trp_i4_corsair_raider|Korsan Yagmacı
trp_i4_corsair_raider_pl|Korsan Yagmacılar
trp_i5_corsair_night_raider|Korsan Gece Akıncısı
trp_i5_corsair_night_raider_pl|Korsan Gece Akıncısı
trp_a2_corsair_marine|Umbar Denizcisi
trp_a2_corsair_marine_pl|Umbar Denizcileri
trp_a3_corsair_marksman|Umbar Nişancısı
trp_a3_corsair_marksman_pl|Umbar Nişancıları
trp_a4_corsair_veteran_marksman|Umbar Elit Nişancısı
trp_a4_corsair_veteran_marksman_pl|Umbar Elit Nişancıları
trp_a5_corsair_master_marksman|Korsan Ustası Nişancı
trp_a5_corsair_master_marksman_pl|Korsan Ustası Nişancıları
trp_i3_corsair_swordsman|Umbar Kılıç Ustası
trp_i3_corsair_swordsman_pl|Umbar Kılıç Ustaları
trp_i4_corsair_veteran_swordsman|Kıdemli Umbar Kılıç Ustası
trp_i4_corsair_veteran_swordsman_pl|Kıdemli Umbar Kılıç Ustaları
trp_i5_corsair_master_swordsman|Korsan Kılıç Ustası
trp_i5_corsair_master_swordsman_pl|Korsan Kılıç Ustaları
trp_a4_corsair_assassin|Korsan Suikastçisi
trp_a4_corsair_assassin_pl|Korsan Suikastçileri
trp_a5_corsair_master_assassin|Korsan Suikastçisi
trp_a5_corsair_master_assassin_pl|Korsan Suikastçileri
trp_i4_corsair_veteran_spearman|Umbar Kıdemli Mızraklısı
trp_i4_corsair_veteran_spearman_pl|Umbar Kıdemli Mızraklıları
trp_i5_corsair_master_spearman|Umbar Mızrak Ustası
trp_i5_corsair_master_spearman_pl|Umbar Mızrak Ustaları
trp_i5_corsair_master_pikeman|Umbar Kargı Ustası
trp_i5_corsair_master_pikeman_pl|Umbar Kargı Ustaları
trp_i1_isen_orc_snaga|Isengardlı Ork Snaga
trp_i1_isen_orc_snaga_pl|Isengardlı Ork Snagalar
trp_i2_isen_orc|Isengard Orku
trp_i2_isen_orc_pl|Isengard Orkları
trp_i3_isen_large_orc|Büyük Isengard Orku
trp_i3_isen_large_orc_pl|Büyük Isengard Orkları
trp_i4_isen_fell_orc|Zalim Isengard Orku
trp_i4_isen_fell_orc_pl|Zalim Isengard Orkları
trp_i3_isen_large_orc_despoiler|Büyük Ork Katil
trp_i3_isen_large_orc_despoiler_pl|Büyük Ork Katilleri
trp_i4_isen_fell_orc_despoiler|Zalim Ork Katili
trp_i4_isen_fell_orc_despoiler_pl|Zalim Ork Katilleri
trp_ac2_isen_wolf_rider|Isengard Kurt Binicisi
trp_ac2_isen_wolf_rider_pl|Isengard Kurt Binicileri
trp_ac3_isen_warg_rider|Isengard Warg Binicisi
trp_ac3_isen_warg_rider_pl|Isengard Warg Binicileri
trp_ac4_isen_white_hand_rider|Ak El Binicisi
trp_ac4_isen_white_hand_rider_pl|Ak El Binicileri
trp_warg_ghost_1b|Binek Kurt
trp_warg_ghost_1b_pl|Warglar
trp_warg_ghost_1c|Binek Kurt
trp_warg_ghost_1c_pl|Warglar
trp_warg_ghost_1d|Binek Kurt
trp_warg_ghost_1d_pl|Warglar 
trp_warg_ghost_a1b|Binek Kurt
trp_warg_ghost_a1b_pl|Warglar 
trp_warg_ghost_a1c|Zırhlı Binek Kurt
trp_warg_ghost_a1c_pl|Zırhlı Warglar
trp_warg_ghost_a2b|Zırhlı Binek Kurt
trp_warg_ghost_a2b_pl|Zırhlı Warglar 
trp_warg_ghost_a2c|Zırhlı Binek Kurt
trp_warg_ghost_a2c_pl|Zırhlı Warglar 
trp_warg_ghost_a3a|Zırhlı Binek Kurt
trp_warg_ghost_a3a_pl|Zırhlı Warglar 
trp_warg_ghost_h|Dev Kurt
trp_warg_ghost_h_pl|Dev Warglar
trp_a2_isen_uruk_tracker|Uruk Hai İz Sürücüsü
trp_a2_isen_uruk_tracker_pl|Uruk Hai İz Sürücüleri
trp_a3_isen_large_uruk_tracker|Büyük Uruk Hai İz Sürücüsü
trp_a3_isen_large_uruk_tracker_pl|Büyük Uruk Hai İz Sürücüleri
trp_a4_isen_fighting_uruk_tracker|Savaşçı Uruk Hai İz Sürücüsü
trp_a4_isen_fighting_uruk_tracker_pl|Savaşçı Uruk Hai İz Sürücüleri
trp_i6_isen_uruk_berserker|Vahşi Uruk Hai Savaşçısı
trp_i6_isen_uruk_berserker_pl|Vahşi Uruk Hai Savaşçıları
trp_i1_isen_uruk_snaga|Uruk Hai Yeni dogmuş
trp_i1_isen_uruk_snaga_pl|Uruk Hai Yeni doganlar
trp_i2_isen_uruk|Isengard Uruk Haileri
trp_i2_isen_uruk_pl|Isengard Uruk Haileri
trp_i3_isen_large_uruk|Büyük Isengard Uruk Haisi
trp_i3_isen_large_uruk_pl|Büyük Isengard Uruk Haisi
trp_i4_isen_fighting_uruk_warrior|Kavgacı Uruk Hai Savaşçısı
trp_i4_isen_fighting_uruk_warrior_pl|Kavgacı Uruk Hai Savaşçıları
trp_i5_isen_fighting_uruk_champion|Kavgacı Uruk Hai Şampiyonu
trp_i5_isen_fighting_uruk_champion_pl|Kavgacı Uruk Hai Şampiyonları
trp_i3_isen_uruk_pikeman|Uruk Hai Kargıcısı
trp_i3_isen_uruk_pikeman_pl|Uruk Hai Kargıcıları
trp_i4_isen_fighting_uruk_pikeman|Kavgacı Uruk Hai Kargıcısı
trp_i4_isen_fighting_uruk_pikeman_pl|Kavgacı Uruk Hai Kargıcıları
trp_i5_isen_uruk_standard_bearer|Uruk Hai Bayrak Taşıyıcısı
trp_i5_isen_uruk_standard_bearer_pl|Uruk Hai Bayrak Taşıyıcıları
trp_i1_mordor_uruk_snaga|Mordor'lu Uruk Snaga
trp_i1_mordor_uruk_snaga_pl|Mordor'lu Uruk Snagalar
trp_i2_mordor_uruk|Mordor'lu Uruk
trp_i2_mordor_uruk_pl|Mordor'lu Uruklar
trp_i3_mordor_large_uruk|Büyük Mordor'lu Uruk
trp_i3_mordor_large_uruk_pl|Büyük Mordor'lu Uruklar
trp_i4_mordor_fell_uruk|Mordor'lu Zalim Uruk
trp_i4_mordor_fell_uruk_pl|Mordor'lu Zalim Uruklar
trp_i3_mordor_uruk_slayer|Mordor'lu Uruk Katili
trp_i3_mordor_uruk_slayer_pl|Mordor'lu Uruk Katilleri
trp_i4_mordor_fell_uruk_slayer|Mordor'lu Zalim Uruk Katili
trp_i4_mordor_fell_uruk_slayer_pl|Mordor'lu Zalim Uruk Katilleri
trp_i5_mordor_black_uruk|Barad Dur Kara Uruk
trp_i5_mordor_black_uruk_pl|Barad Dur Kara Uruklar
trp_i5_mordor_uruk_standard_bearer|Mordor Bayrak Taşıyıcısı
trp_i5_mordor_uruk_standard_bearer_pl|Mordor Bayrak Taşıyıcıları
trp_troll_of_moria|Magara Trolü
trp_troll_of_moria_pl|Magara Trolleri
trp_armoured_troll|Zırhlı Troll
trp_armoured_troll_pl|Zırhlı Trolller
trp_olog_hai|Mordor Olog Hai
trp_olog_hai_pl|Mordor Olog Hai 
trp_ent_old|Agaç Adam
trp_ent_old_pl|Agaç Adamlar
trp_i1_guldur_orc_snaga|Dol Guldur Ork Snaga
trp_i1_guldur_orc_snaga_pl|Dol Guldur'lu Ork Snagalar
trp_a2_guldur_orc_tracker|Dol Guldur Ork İzcisi
trp_a2_guldur_orc_tracker_pl|Dol Guldur Ork İzcileri
trp_i1_mordor_orc_snaga|Mordor'lu Ork Snaga
trp_i1_mordor_orc_snaga_pl|Mordor'lu Ork Snagalar
trp_i2_mordor_orc|Mordor Orku
trp_i2_mordor_orc_pl|Mordor Orkları
trp_i3_mordor_large_orc|Büyük Mordor Orku
trp_i3_mordor_large_orc_pl|Büyük Mordor Orkları
trp_i4_mordor_fell_orc|Zalim Mordor Orku
trp_i4_mordor_fell_orc_pl|Zalim Mordor Orkları
trp_c3_mordor_warg_rider|Gorgoroth Warg Binicisi
trp_c3_mordor_warg_rider_pl|Gorgoroth Warg Binicileri
trp_c4_mordor_great_warg_rider|Udun'un Yüce Warg Binicisi
trp_c4_mordor_great_warg_rider_pl|Udun'un Yüce Warg Binicileri
trp_i2_mordor_morgul_orc|Minas Morgul Orku
trp_i2_mordor_morgul_orc_pl|Minas Morgul Orkları
trp_i4_mordor_fell_morgul_orc|Zalim Minas Morgul Orku
trp_i4_mordor_fell_morgul_orc_pl|Zalim Minas Morgul Orkları
trp_a3_guldur_large_orc_tracker|Dol Guldur İri Ork izcileri
trp_a3_guldur_large_orc_tracker_pl|Dol Guldur'ün Büyük Orc izcileri
trp_a4_guldur_fell_orc_tracker|Dol Guldur Zalim Ork İzcisi
trp_a4_guldur_fell_orc_tracker_pl|Dol Guldur Zalim Ork İzcileri
trp_a2_mordor_orc_archer|Mordor'lu Ork Okçusu
trp_a2_mordor_orc_archer_pl|Mordor'lu Ork Okçuları
trp_a3_mordor_large_orc_archer|Mordor'lu Büyük Ork Okçusu
trp_a3_mordor_large_orc_archer_pl|Mordor'lu Büyük Ork Okçuları
trp_a4_mordor_fell_orc_archer|Mordor'lu Zalim Ork Okçusu
trp_a4_mordor_fell_orc_archer_pl|Mordor'lu Zalim Ork Okçuları
trp_c3_moria_wolf_rider|Moria Kurt Binicisi
trp_c3_moria_wolf_rider_pl|Moria Kurt Binicileri
trp_c4_moria_warg_rider|Moria Warg Binicisi
trp_c4_moria_warg_rider_pl|Moria Warg Binicileri
trp_c5_moria_clan_rider|Bolg Klan Binicisi
trp_c5_moria_clan_rider_pl|Bolg Klan Binicileri
trp_i1_moria_snaga|Moria'lı Snaga
trp_i1_moria_snaga_pl|Moria'lı Snagalar
trp_i2_moria_goblin|Moria Goblini
trp_i2_moria_goblin_pl|Moria Goblinleri
trp_i3_moria_large_goblin|Büyük Moria Goblini
trp_i3_moria_large_goblin_pl|Büyük Moria Goblinleri
trp_i4_moria_fell_goblin|Zalim Moria Goblini
trp_i4_moria_fell_goblin_pl|Zalim Moria Goblinleri
trp_a2_moria_goblin_archer|Moria Goblin Okçusu
trp_a2_moria_goblin_archer_pl|Moria Goblin Okçuları
trp_a3_moria_large_goblin_archer|Büyük Moria Goblin Okçusu
trp_a3_moria_large_goblin_archer_pl|Büyük Moria Goblin Okçuları
trp_a4_moria_fell_goblin_archer|Zalim Moria Goblin Okçusu
trp_a4_moria_fell_goblin_archer_pl|Zalim Moria Goblin Okçuları
trp_i1_gunda_goblin|Gundabad Goblini
trp_i1_gunda_goblin_pl|Gundabad Goblinleri
trp_i2_gunda_orc|Gundabad Orku
trp_i2_gunda_orc_pl|Gundabad Orkları
trp_i3_gunda_orc_fighter|Gundabad Ork Dövüşçüsü
trp_i3_gunda_orc_fighter_pl|Gundabad Ork Dövüşçüleri
trp_i4_gunda_orc_warrior|Gundabad Ork Savaşçısı
trp_i4_gunda_orc_warrior_pl|Gundabad Ork Savaşçıları
trp_i4_gunda_orc_berserker|Gundabad Ork Vahşi Savaşçı
trp_i4_gunda_orc_berserker_pl|Gundabad Ork Vahşi Savaşçılar
trp_ca4_gunda_skirmisher|Gundabad Avcısı
trp_ca4_gunda_skirmisher_pl|Gundabad Avcıları
trp_ca5_gunda_clan_skirmisher|Kuzeyli Goblin Klanı Avcısı
trp_ca5_gunda_clan_skirmisher_pl|Kuzeyli Goblin Klanı Avcıları
trp_c3_gunda_goblin_rider|Gundabad Goblin Binicisi
trp_c3_gunda_goblin_rider_pl|Gundabad Goblin Binicileri
trp_c4_gunda_warg_rider|Gundabad Warg Binicisi
trp_c4_gunda_warg_rider_pl|Gundabad Warg Binicileri
trp_c5_gunda_clan_rider|Kuzeyli Goblin Klan Binicisi
trp_c5_gunda_clan_rider_pl|Kuzeyli Goblin Klan Binicileri
trp_i5_gunda_orc_champion|Gundabad Ork Şampiyonu
trp_i5_gunda_orc_champion_pl|Gundabad Ork Şampiyonları
trp_mountain_goblin2|Dag Goblini
trp_mountain_goblin2_pl|Dag Goblinleri
trp_tribal_orc2|Kabile Orku
trp_tribal_orc2_pl|Kabile Orkları
trp_i5_gunda_orc_champion2|Gundabad Ork Şampiyonu
trp_i5_gunda_orc_champion2_pl|Gundabad Ork Şampiyonları
trp_i2_mordor_num_renegade|Kara Numenor Haini
trp_i2_mordor_num_renegade_pl|Kara Numenor Hainleri
trp_i3_mordor_num_warrior|Kara Numenor Savaşçısı
trp_i3_mordor_num_warrior_pl|Kara Numenor Savaşçıları
trp_i4_mordor_num_vet_warrior|Kıdemli Kara Numenor Savaşçısı
trp_i4_mordor_num_vet_warrior_pl|Kıdemli Kara Numenor Savaşçıları
trp_i5_mordor_num_champion|Kara Numenor Şampiyonu
trp_i5_mordor_num_champion_pl|Kara Numenor Şampiyonları
trp_i5_mordor_num_assassin|Kara Numenor Suikastçisi
trp_i5_mordor_num_assassin_pl|Kara Numenor Suikastçileri
trp_c4_mordor_num_horseman|Kara Numenor Atlısı
trp_c4_mordor_num_horseman_pl|Kara Numenor Atlıları
trp_c5_mordor_num_knight|Kara Numenor At Ustası
trp_c5_mordor_num_knight_pl|Kara Numenor At Ustaları
trp_noldorin_commander|Noldorin Kumandanı
trp_noldorin_commander_pl|Noldorin Kumandanları
trp_elf_captain_of_lothlorien|Lothlorien Elf Kaptanı
trp_elf_captain_of_lothlorien_pl|Lothlorien Elf Kaptanları
trp_lothlorien_lieutenant|Lorhlorien Tegmeni
trp_lothlorien_lieutenant_pl|Lorhlorien Tegmenleri
trp_elf_captain_of_mirkwood|Greenwood Elf Kaptanı
trp_elf_captain_of_mirkwood_pl|Greenwood Elf Kaptanları
trp_mirkwood_lieutenant|Greenwood Tegmeni
trp_mirkwood_lieutenant_pl|Greenwood Tegmenleri
trp_elf_captain_of_rivendell|Ayrıkvadi Elf Kaptanı
trp_elf_captain_of_rivendell_pl| Ayrıkvadi Elf Kaptanları
trp_rivendell_lieutenant|Ayrıkvadi Tegmeni
trp_rivendell_lieutenant_pl|Ayrıkvadi Tegmenleri
trp_lieutenant_of_rohan|Rohan Tegmeni
trp_lieutenant_of_rohan_pl|Rohan Tegmenleri
trp_captain_of_rohan|Rohan Kaptanı
trp_captain_of_rohan_pl|Rohan Kaptanları
trp_high_captain_of_rohan|Üstün Rohan Kaptanı
trp_high_captain_of_rohan_pl|Üstün Rohan Kaptanları
trp_lieutenant_of_isengard|Isengard Tegmeni
trp_lieutenant_of_isengard_pl|Isengard Tegmenleri
trp_captain_of_isengard|Isengard Kaptanı
trp_captain_of_isengard_pl|Isengard Kaptanları
trp_high_captain_of_isengard|Üstün Isengard Kaptanı
trp_high_captain_of_isengard_pl|Üstün Isengard Kaptanları
trp_lieutenant_of_mordor|Mordor Tegmeni
trp_lieutenant_of_mordor_pl|Mordor Tegmenleri
trp_captain_of_mordor|Mordor Kaptanı
trp_captain_of_mordor_pl|Mordor Kaptanları
trp_high_captain_of_mordor|Üstün Mordor Kaptanı
trp_high_captain_of_mordor_pl|Üstün Mordor Kaptanları
trp_easterling_chieftain|Variag Kabile Reisi
trp_easterling_chieftain_pl|Variag Kabile Reisleri
trp_easterling_lieutenant|Wariag Savaş Keşişi
trp_easterling_lieutenant_pl|Wariag Savaş Keşişleri
trp_harad_chieftain|Harad Kabile Reisi
trp_harad_chieftain_pl|Harad Kabile Reisleri
trp_harad_lieutenant|Harad Tegmeni
trp_harad_lieutenant_pl|Harad Tegmenleri
trp_black_numenorean_captain|Kara Numenor Kaptanı
trp_black_numenorean_captain_pl|Kara Numenor Kaptanları
trp_black_numenorean_lieutenant|Kara Numenor Tegmeni
trp_black_numenorean_lieutenant_pl|Kara Numenor Tegmenleri
trp_a5_dun_night_wolf|Dunnish Gece Kurdu
trp_a5_dun_night_wolf_pl|Dunnish Gece Kurtları
trp_dunnish_lieutenant|Dunnish Beyi
trp_dunnish_lieutenant_pl|Dunnish Beyleri
trp_goblin_chieftain|Goblin Savaş Reisi
trp_goblin_chieftain_pl|Goblin Savaş Reisleri
trp_captain_of_gondor|Gondor Kaptanı
trp_captain_of_gondor_pl|Gondor Kaptanları
trp_nobleman|Soylu
trp_nobleman_pl|Soylular
trp_gondor_agent|Gondor Casusu
trp_gondor_agent_pl|Gondor Casusları
trp_rohan_agent|Rohan Casusu
trp_rohan_agent_pl|Rohan Casusları
trp_mordor_agent|Mordor Casusu
trp_mordor_agent_pl|Mordor Casusları
trp_isengard_agent|Isengard Casusu
trp_isengard_agent_pl|Isengard Casusları
trp_looter|Yagmacı
trp_looter_pl|Yagmacılar
trp_bandit|Haydut
trp_bandit_pl|Haydutlar
trp_brigand|Eşkiya
trp_brigand_pl|Eşkiyalar
trp_mountain_bandit|Dag Haydutu
trp_mountain_bandit_pl|Dag Haydutları
trp_forest_bandit|Orman Haydutu
trp_forest_bandit_pl|Orman Haydutları
trp_sea_raider|Deniz Akıncısı
trp_sea_raider_pl|Deniz Akıncıları
trp_steppe_bandit|Bozkır Haydutu
trp_steppe_bandit_pl|Bozkır Haydutları
trp_manhunter|Kelle Avcısı
trp_manhunter_pl|Kelle Avcıları
trp_kidnapped_girl|Kaçırılmış Kız
trp_kidnapped_girl_pl|Kaçırılmış Kızlar
trp_refugee|Mülteci
trp_refugee_pl|Mülteciler
trp_peasant_woman|Köylü Kadın
trp_peasant_woman_pl|Köylü Kadınlar
trp_caravan_master|Karavan Lideri
trp_caravan_master_pl|Karavan Liderleri
trp_caravan_guard|Karavan Muhafızı
trp_caravan_guard_pl|Karavan Muhafızları
trp_messenger_man|Elçi
trp_messenger_man_pl|Elçiler
trp_messenger_elf|Elçi 
trp_messenger_elf_pl|Elçiler 
trp_messenger_dwarf|Elçi 
trp_messenger_dwarf_pl|Elçiler 
trp_messenger_orc|Elçi 
trp_messenger_orc_pl|Elçiler 
trp_messenger_evil_man|Elçi 
trp_messenger_evil_man_pl|Elçiler 
trp_town_walker_1|Kasabalı
trp_town_walker_1_pl|Kasabalılar
trp_town_walker_2|Kasabalı Kadın
trp_town_walker_2_pl|Kasabalı Kadınlar
trp_village_walker_1|Köylü
trp_village_walker_1_pl|Köylüler
trp_village_walker_2|Köylü
trp_village_walker_2_pl|Köylüler 
trp_spy_walker_1|Kasabalı
trp_spy_walker_1_pl|Kasabalılar
trp_spy_walker_2|Kasabalı Kadın 
trp_spy_walker_2_pl|Kasabalı Kadınlar 
trp_walker_man_gondor_black|Kasabalı
trp_walker_man_gondor_white|Kasabalı
trp_walker_man_gondor_blue|Kasabalı
trp_walker_man_gondor_green|Kasabalı
trp_walker_man_rohan_t|Rohan Kasabalısı
trp_walker_man_rohan_d|Rohan Kasabalıları
trp_walker_woman_rohan_t|Rohan Hanımı
trp_walker_woman_rohan_d|Rohan Hanımları
trp_walker_woman_gondor_b|Gondor Kadını
trp_walker_woman_gondor_bw|Gondor Kadınları
trp_walker_woman_gondor_w|Gondor Soylusu
; trp_mirkwood_walker_1|Greenwood Elf
; trp_mirkwood_walker_2|Greenwood Elf
; trp_lorien_walker_1|Lothlorien Elf
; trp_lorien_walker_2|Lothlorien Elf
trp_dwarf_walker|Cüce
; trp_beorn_walker|Peasant Man
trp_beorn_walker_fem|Köylü Kadın
trp_trainer_4|Talimci
trp_trainer_gondor|Talimci
trp_trainer_rohan|Talimci
trp_trainer_dale|Talimci
trp_trainer_elf|Talimci
trp_trainer_beorn|Talimci
trp_trainer_dwarf|Talimci
trp_trainer_mordor|Talimci
trp_trainer_isengard|Talimci
trp_trainer_khand|Talimci
trp_trainer_rhun|Talimci
trp_trainer_harad|Talimci
trp_trainer_umbar|Talimci
trp_ransom_broker_1|Fidye Taciri
trp_ransom_broker_2|Fidye Taciri 
trp_ransom_broker_3|Fidye Taciri 
trp_ransom_broker_4|Fidye Taciri 
trp_ransom_broker_5|Fidye Taciri 
trp_ransom_broker_6|Fidye Taciri 
trp_ransom_broker_7|Fidye Taciri 
trp_ransom_broker_8|Fidye Taciri 
trp_ransom_broker_9|Fidye Taciri 
trp_ransom_broker_10|Fidye Taciri 
trp_tavern_traveler_1|Gezgin
trp_tavern_traveler_2|Gezgin 
trp_tavern_traveler_3|Gezgin 
trp_tavern_traveler_4|Gezgin 
trp_tavern_traveler_5|Gezgin 
trp_tavern_traveler_6|Gezgin 
trp_tavern_traveler_7|Gezgin 
trp_tavern_traveler_8|Gezgin 
trp_tavern_traveler_9|Gezgin 
trp_tavern_traveler_10|Gezgin 
trp_tavern_minstrel_1|Ozan
trp_npc1|Mablung
trp_npc2|Cirdil
trp_npc3|Ulfas
trp_npc4|Galmyne
trp_npc5|Glorfindel
trp_npc6|Luevanna
trp_npc7|Kili Goldfinger
trp_npc8|Fainul
trp_npc9|Gulm
trp_npc10|Durgash
trp_npc11|Ufthak
trp_npc12|Gorbak
trp_npc13|Lykyada
trp_npc14|Fuldimir
trp_npc15|Bolzog
trp_npc16|Varfang
trp_npc17|Dimborn
trp_knight_6_2|Golasgil
trp_gondor_lord|Vekilharç Denethor
trp_gondor_lord_pl|Kahya
trp_rohan_lord|Kral Theoden
trp_rohan_lord_pl|Kral
trp_isengard_lord|Saruman
trp_isengard_lord_pl|Usta
trp_mordor_lord|Sauron'un Agzı
trp_mordor_lord_pl|Satrap
trp_harad_lord|Şef Ul-Ulcari
trp_harad_lord_pl|Şef
trp_rhun_lord|Kont Helcaroth
trp_rhun_lord_pl|Kont
trp_khand_lord|Şeyh Krukmahur
