qstr_Received_{reg0}_dama|{reg0} hasar alındı.
qstr_{s14}Flesh_to_shatte|{s14}Bedenler parçalayacagız,bogazlar kesecegiz,kan dökecegiz!
qstr_Put_on_the_masks_of_|Savaş maskelerinizi takın yigit savaşçılar! Bugün lanet, {s18}'lı düşmanlarınızın üzerine yagıyor !
qstr_They_seek_the_tempes|Fırtınayı arıyorlar, ve görünen o ki alacaklar! Askerler, savaşa hazırlanın!
qstr_Draw_your_weapons_me|Kılıçlarınızı çekin bügün fırtına düşmanlarımız için çakacak!
qstr_Orcs_of_{s16}_get_re| {s16} Orkları Hazır olun! İşte size kesmeniz gereken bir kaç bogaz!
qstr_These_friend_of_elve|Elflerin dostları kılıçlarımızın altında can verecek!
qstr_These_Elves_will_fal|Elfler kılıçlarımızın altında can verecek!
qstr_Raahh!_Draw_your_wea|Raahh! Silahlarınızı çekin {s16}lı pislikler! Bu gece  {s15} bagırsakları üstünde ziyafet çekecegiz!
qstr_Rha!_{s14}More_{s15}|Rha! {s14}Bilenmiş silahlarımızla can verecek bir kaç {s15} cesedi daha!
qstr_Slaughter_these_puny|Şu lanet  {s18}  hırsızlarını hemen öldürün ! Sonra evlerini ateşe verip ailelerini kılıçtan geçirin !
qstr_Death_to_the_trespas|{s16} diyarına izinsiz girenlere ölüm!
qstr_CHARGE!_Let_s_clear_|HÜCUUUM! Şu  {s17}'dan gelen lanet {s18} {s19} pisliklerini yeryüzünden silelim!
qstr_{s14}Now_that_{s19}s|{s14}Şimdi {s19} pisligi ayı adamların öfkesini tadacak!
qstr_Attack!|Saldırın!
; qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_Holding|Tutuluyor
qstr_Following|Takip ediliyor
qstr_Charging|Saldırıyor
qstr_Advancing|İlerliyor
qstr_Falling_Back|Geri çekiliyor.
qstr_Standing_Closer|Yakın duruyor.
qstr_Spreading_Out|Dagılıyor.
qstr_Standing|Duruyor.
qstr_N/A|N/A
qstr_Free|Serbest
qstr_Any_Weapon|Silah Serbest
qstr_Blunt_Weapons|Sadece bayıltıcı silahlar
qstr_Infantry__{reg1}_|Piyade ({reg1})
qstr_Archers__{reg2}_|Okçular ({reg2})
qstr_Cavalry__{reg3}_|Süvari ({reg3})
qstr_Given_by:_{s62}|{s62} tarafından verildi
qstr_Given_on:_{s60}|Verilir: {s60}
qstr_You_have_{reg0}_days|Bu görevi bitirmek için {reg0} günün kaldı.
qstr_This_quest_has_been_|Bu görev sonuçlandı.Bitirmek için {s59} ile konuş.
qstr_This_quest_has_been_s|Bu görev başarıyla bitirildi.Ödülünü almak için {s59} ile konuş.
qstr_This_quest_has_faile|Bu görev başarısız oldu.Olayı açıklamak için {s59} ile konuş.
qstr_At_the_time_quest_wa|Görevin verildigi zaman:^{s1}
qstr_{s7}_and_{s8}|{s7} ve {s8}
qstr_{s7}_{s8}|{s7}, {s8}
qstr_noone|hiç kimse
qstr_{s9}_and_{s10}|{s9} ve {s10}
qstr_{s9}_{s10}|{s9}, {s10}
qstr_no_one|hiç kimse
qstr_{s11}_and_{s12}|{s11} ve {s12}
qstr_{s11}_{s12}|{s11}, {s12}
qstr_{s5}_is_ruled_by_{s6|{s5}, {s6} tarafından yönetiliyor.^ {s8} kontrolünde^Komutanları {s10}.^{s5}, {s12} ile savaş halinde.
qstr_{s5}_has_been_defeat|{s5} yenilgiye ugratıldı!
qstr_{s5}_has_a_strength_|{s5}'in toplamda {reg1} kişilik gücü var.
qstr_no_holdings|mülk yok
qstr_{s57}_and_{s58}|{s57} ve {s58}
qstr_{s57}_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?o:o}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54}, {s56}nın hakimi.^:{s54}, {s56}'dan {s55}'e hizmet ediyor.^}}{reg9?{reg3?o:o} {s58} {reg3?hanımıdır:lordudur}.:} {s59}{reg10?^{reg3?o:o} savaş alanında öldü!:}
qstr_The_last_time_you_sa|En son {s1} de gördüm {reg1?onu:onu} 
qstr_The_last_time_you_he|En son {s1} de {reg1?onun:onun} hakkında bir şeyler duydum.
qstr_The_{s50}|{s50}
qstr_{s50}_belongs_to_{s1|{s50} {s2} lu {s1} a ait.^
qstr_Current_garrison_con|Şu anki garnizon {reg5} kişden oluşuyor.^{reg6} gün yetecek kadar yiyecek stokun kaldı.
qstr_Very_Poor|Çok fakir
qstr_Poor|Fakir
qstr_Average|Ortalama
qstr_Rich|Zengin
qstr_Very_Rich|Çok Zengin
qstr_Strength|Güç
qstr_Agility|Çeviklik
qstr_Intelligence|Zeka
qstr_Charisma|Karizma
qstr_You_ve_gained_{s6}_f|{S7} kazanmadan {s6} kazandınız
qstr_You_ve_lost_{s6}_fro|{S6} 'yı kaybetmekten {s7} kaybettin
qstr_{s50}_Caves|{s50} Magaraları
qstr_{s50}_Mines|{s50} Madenleri
qstr_{s50}_Woods|{s50} Odunları
qstr_{s4}_looks_upset.|{s4} üzgün görünüyor.
qstr_your_party|senin birligin
qstr_{reg0?One_of_your_pr|{reg0?Esirlerinizden biri, :} {s3}den {s1} esaretten kurtuldu!
qstr_You_brought_{reg3}_h|{s1}'e {reg3} baş sıgır getirdin.
qstr_Log_entry_{reg3}:_ty|Günlüge giriliyor {reg3}: model  {reg4}
qstr_Center:_{s4}|Merkez: {s4}
qstr_Troop:_{s4}|Birlik: {s4}
qstr_Lord:_{s4}|Lord: {s4}
qstr_Ally_party_is_presen|Müttefik grup hazır
qstr_{s4}_is_present_at_e|{s4} olaya katıldı
qstr_Event_#{reg5}_type_{|Durum #{reg5}, Tip {reg6}, Zaman {reg8}: Oyuncunun krallıgının askeri hedefleri ile uygunlugu = {reg7}
qstr_Event_#{reg5}_type_{r|Olay #{reg5}, Tip {reg6}, zaman  {reg8}: oyuncun krallıgının diger krallıklarla ilişkisi = {reg7}
qstr_Event_#{reg5}_type_{re|Olay #{reg5}, Tip {reg6}, zaman  {reg8}:  oyuncun krallıgının bulundugu taraf ile görev ilişkisi = {reg7}
qstr_Event_#{reg5}_type_{reg|Olay #{reg5}, Tip {reg6}, zaman {reg8}. Herhangi bir krallıkla ilişkisi yok.
qstr_Event_#{reg5}_type_{reg6|Olay #{reg5}, Tip {reg6}, Zaman {reg8}. Bagımsız Oyuncu
qstr_Elapsed_hours:_{reg7|Geçen saatler: {reg7}
qstr_Reputation_type:_{s1|İtibar türü: {s15}
qstr_Entries_up_to_#{reg5|#{reg5} kadar kayıt atlandı.
qstr_A_new_location_is_no|Şimdi haritada yeni bir konum mevcut!
qstr_New_trait_gained:_{s|Kişisel özellik kazanıldı: {s5}.
qstr_Gained_permanent_+1_|+1 Güç Kalıcı olarak kazanıldı.
qstr_Gained_permanent_+1_t|+1 Çeviklik Kalıcı olarak kazanıldı.
qstr_Gained_permanent_+1_to|+1 Karizma Kalıcı olarak kazanıldı.
qstr_Gained_permanent_+20|+20 Silah hüneri kalıcı olarak kazanıldı.
qstr_Gained_permanent_+2_|+2 Güç Kalıcı olarak kazanıldı.
qstr_Gained_permanent_+2_t|+2 Karizma Kalıcı olarak kazanıldı.
qstr_Lost_permanent__1_to|-1 Charisma Kalıcı olarak kaybedildi.
qstr_Gained_permanent_+1_to_|+1 Demirvücud kalıcı olarak kazanıldı.
qstr_Gained_permanent_+5_|+5 Güç Kalıcı olarak kazanıldı.
qstr_Lost_permanent__2_to|-2 Karizma Kalıcı olarak kaybedildi.
qstr_Gained_permanent_+2_to|+2 Demirvücud kalıcı olarak kazanıldı.
qstr_Gained_permanent_+10|Silah becerilerine kalıcı +10 kazandı.
qstr_Gained_permanent_+1_to_T|+1 Taktik Kalıcı olarak kazanıldı.
qstr_You_have|Sahipsin
qstr_{s1}_has|{s1} sahip
qstr_{s11}_suffered_a_ser|{s11} ciddi bir yara aldı.
qstr_The_leg_has_been_bad|Bacak muharebede kötü bir şekilde sakatlandı.
qstr___2_athletics__1_rid|(-2 atletik, -1 binicilik, -2 çeviklik, -15 Yakın dövüş)
qstr_The_arm_has_been_bad|Kol muharebede kötü bir şekilde sakatlandı.
qstr___20_weapon_skill__2|(-20 silah yetenegi, -2 güç, -1 güçlü saldırı)
qstr_The_head_has_suffere|Kafa agır bir darbe aldı.
qstr___1_intelligence_ski|(-1 zeka yetenegi, -15 uzak dövüş silahı yetenegi)
qstr_The_chest_has_suffer|Gögüs kafesindeki bazı kaburgalar kırıldı.
qstr___20_weapon_skill_|(-20 silah hüneri)
qstr_{s1}_has_been_killed|{s1} öldürüldü.
qstr_You_were_killed.|Öldürüldün.
qstr_{s1}_recovered_from_|{s1} agır bir yaradan kurtuldu.
qstr_The_leg_wound_has_he|Bacak yarası iyileşti.
qstr__+2_athletics_+1_rid|(+2 Atletizm, +1 Binicilik, +2 Çeviklik, +15 silah yetenegi)
qstr_The_arm_wound_has_he|Kol yarası iyileşti.
qstr__+20_weapon_skill_+2|(+20 silah yetenegi, +2 dayanıklılık, +1 güç saldırısı)
qstr_The_head_wound_has_h|Kafadaki darbe yarası iyileşti.
qstr__+1_intelligence_ski|(+1 zeka yetenegi, +15 füze becerisi)
qstr_The_cracked_ribs_hav|Kırık kaburgalar iyileşti.
qstr__+20_weapon_skill_|(+20 silah hüneri)
qstr_{s1}_has_had_his_hea|{s1} saglıgını geliştirdi
qstr_News_has_arrived_tha|{s2} nin {s1} savaşında {s28} kuvvetleri tarafından öldürüldügü haberleri geldi!
qstr_{s1}_s_Burial_Mound|{s1}'in Höyügü
qstr_{s1}_s_Funeral_Pyre|{s1}'nın yakılmış külleri.
qstr_{s1}_is_logged_as_de|{s1} ölü olarak kaydedildi
qstr_You_have_been_discov|Duvar genişletmeden önce keşfedildi.
qstr_The_enemy_is_coming_|Düşman büyük bir güçle geliyor,kaçmalısınız!
qstr_Scout_this_area_alon|Bu alanı tek başına gözetle ve ötesinde adamlarınla buluş!
qstr_Be_stealthy_but_elim|Gizli ol ki tüm tehlikeleri de hızlıca hallet!
qstr_You_are_spotted_by_a|Bir devriye seni fark etti!
qstr_Eliminate_them_befor|Alarm herkese yayılmadan onları hallet!
qstr_You_have_reached_the|Zindanlara ulaştın
qstr_Eliminate_the_guards|Gardiyanları öldür ve adamlarını kurtar
qstr_{s1}_has_been_captur|{s1} düşman tarafından ele geçirildi.
qstr_Gondor_takes_a_capti|Gondor bir esir alıyor
qstr_Rohan_takes_a_captiv|Rohan bir esir alıyor
qstr_Mordor_takes_a_capti|Mordor bir esir alıyor
qstr_Isengard_takes_a_cap|Isengard bir esir alıyor
qstr_You_were_grievously_|Agır yaraların vardı ve vücudun ölülere yıgılmıştı. Bir anı kolladın ve duvardan kaçmayı başardın ama düşman hareketlerini görmüş olabilir. Bir an önce oradan uzaklaşmalısın.
qstr_You_were_grievously_w|Savaşta acımasızca yaralandın. Adamların seni sürüklemeyi başardı. Ama bu kadar çabalamana ragmen yine de dehşet verici kayıplar verdin.
qstr_You_were_grievously_wo|Savaşta acımazsızca yaralandın. Adamların seni sürüklemeyi başardı. Ama bu kadar çabalamana ragmen yine de dehşet verici kayıplar verdin. Ne yazık ki, arkadaşlarından bazıları ele geçirildi ve {s2} konumuna dogru götürüldüler.
qstr_You_were_grievously_wou|Savaşta acımazsızca yaralandın. Adamların seni dövüşmekten alıkoymayı başardı, ne yazık ki büyücü kaçmayı başardı.
qstr_You_were_grievously_woun|Agır yaraların vardı ve vücudun ölülerle birlikte yere yıgılmıştı. Kaçmayı başardın, fakat büyücü de kaçmayı başardı.
qstr_Some_of_your_compani|Yoldaşlarınızdan bazıları eski yaraları yüzünden kıvranıyorlar.
qstr_Item_you_just_equipp|Yeni teçhizatınız bu ırkın özelliklerine uymuyor ve kısa bir süre sonra oyuncu envanterinden atılacak. ^^ Ekipmanlarınızda yer açıldıgından emin olun, yoksa eşyalar kaybolacak.
qstr_Inappropriate_equipm|Uygunsuz ekipman
qstr_The_mount_you_just_e|Yeni teçhizatınız bu ırkın karakterine uymuyor. Bunu bu şekilde bırakırsan savaş alanında hayvan davranışlarıyla ilgili sorunlar olacagı konusunda uyarıldın.
qstr_Inappropriate_mount|Uygunsuz binek
qstr_{s24}:_Your_infantry|{s24}: Piyaden daha iyi hissediyor!
qstr_{s24}:_Your_archers_|{s24}: Okçuların daha iyi hissediyor!
qstr_{s24}:_Your_cavalry_|{s24}: Süvarilerin daha iyi hissediyor!
qstr_Ah_what_a_coincidenc|Ah, seninle karşılaşmak, ne tesadüf, {playername}! Beni tanımayabilirsin ama bana yabancı degilsin. {s4} taraflarına gidiyorum, lakin ben {s3} civarından yeni geldim ve orada adın geçti. {s3} bu tehlikeli zamanlarda size güveniyor ve eger dikkatinizi dagıtan bir hareket tarzı izlemeyi düşündüyseniz, üstün yeteneklerinizle {s2} tarafına yardıma odaklanmayı bir gözden geçiriniz.
qstr_Who_are_you?|Sen kimsin?
qstr_A_friend_of_{s3}_and|{s3} dostu ve {s2} halkı. Şimdi acele edin! Mordor tüm kötülüklerini ortaya çıkarıyor ve onları karanlıgın altında tek bir hedef için topluyor. Bu dünyada iyi olan her şey için zaman azalıyor! buna karşı durmak için yapabilecegimiz her şeyi yapmalıyız!
qstr_What_should_I_do?|Ne yapmalıyım?
qstr_Find_{s3}_s_whereabo|Hemen {s3} adlı kişinin nerede oldugunu bulun ve {reg3?onla:onla} konuşun. İyi şanslar!
qstr_Good_to_see_the_Shad|Karanlıgın henüz sizi yenmeyi başaramadıgını görmek güzel, {playername}.
qstr_You_are_the_one_they|Sen Gandalf ya da Mithrandir olmalısın.
; qstr_You_are_the_one_they_|You are the one they call Radagast.
qstr_That_is_what_some_ca|Bazıları bana böyle seslenir.Başka zamanlarda başka şekilde çagrıldıgım da oldu.Fakat eger karanlık durmazsa bana her hangi bir şekilde seslenecek kimse kalmayacak.
qstr_What_do_you_mean?|Ne demek istiyorsun?
qstr_In_spite_of_their_va|Onların cesur savaşmalarına ragmen yine de {s3}, kötülük kuvvetleri tarafından bogulmuştu. {s3} 'nin insanları artık perişan durumda ve iyi {s4} artık yok.
qstr_You_bring_dismal_new|Üzücü haberler getirdin, büyücü.
qstr_But_I_also_bring_a_m|Aynı zamanda umudun da mesajını getirdim. {s5} insanları hala sıkı bir şekilde direniyor. Savaşçıları korkusuz, liderleri ise kararlı.
qstr_Help_them_fight_the_|Elinden gelen en iyi şekilde savaşmalarına yardım et. Asla acıma! Teyakkuzda kal! Dünyada Orklardan daha eski ve hilekar şeyler de var.
qstr_Beware_{playername}_|Sakın ey {playername}! Karanlıgın gücü çöküyor. {s3} düştü, liderleri {s4}'le beraber.
qstr_What_do_you_want_of_|Benden ne istiyorsun, yaşlı adam?
qstr_Just_know_that_a_Daw|Sadece Şafagın geliyor oldugunu bil. Bu kaçınılmaz. Ve bunu görmek için hayatta kalmaya çalışmalısın, o zaman bunun için kendine ne söylemen gerektigini düşün.
qstr_Well_met_{playername|Hoş bulduk, {playername}, {s24}. Sana olan güvenim haksız yere degil. Gölgenin Kuvvetlerinin gücü kırıldı ve çabalarınız da bunun olmasında hiç de küçük bir rol oynamadı! 
qstr_Thank_you_Mithrandir|Teşekkürler, Mithrandir!
; qstr_Thank_you_Radagast!|Thank you, Radagast!
qstr_The_wizard_Saruman_i|Saruman gitti ve Barad Dur karanlık Lord'la birlikte toz haline geldi! Orta Dünya'daki tüm insanlar, onların bu dünyadaki iyi ve saf olan her şeyi neredeyse yok edecek olan ölümcül tehdidinden kurtuldular. Düşman yenildi ve Kral geri döndü!
qstr_It_was_a_long_and_bl|Bu uzun ve kanlı bir savaştı ve yakın arkadaşlarımızın çogu artık bizlerle degil.
qstr_There_is_much_to_reg|Çok fazla pişmanlık ve yas var, önümüzdeki günlerde, yeniden inşa etmek ve onarmak için çok fazla şey var. Ancak şu an için, hala sahip oldugumuz arkadaşlarımızın degerini bilelim ve Üçüncü Çagın Son Günlerinde elde ettigimiz başarılarımızı kutlayalım.
; qstr_Orcs_are_marching_ag|Orcs are marching against Helm's Deep.
; qstr_Orcs_are_marching_aga|Orcs are marching against Edoras.
; qstr_Ah_{playername}_happ|Ah, {playername}, happy chance that we come on each other in this fashion! Grim tidings I bring from Western Rohan, and haste is sore needed.
; qstr_What_tidings_do_you_|What tidings do you bring, Mithrandir? What can I do?
; qstr_Saruman_has_loosed_I|Saruman has loosed Isengard upon Rohan. {s1} For the success of my designs, the valiant Rohirrim must not fall, {playername}! The danger to them is very great, yet also the emptying of Isengard has left it vulnerable, for Saruman has despatched his full strength against Theoden King. This may be the time to move into Nan Curunir. A choice is now laid before you, Commander, a choice you must make, for neither you nor I may be everywhere at once!
; qstr_Do_you_want_me_to_he|Do you want me to help King Theoden defend {s3}, or hasten to Isengard and see what I can do?
; qstr_Either_would_be_a_gr|Either would be a great boon to me. You must decide your course on your own, {playername}, as shall I. Shadowfax shall bear me now on a swift errand. You must act quickly as well! Hasten now!
; qstr_Gandalf_asked_you_to|Gandalf asked you to either help Theoden defend {s3} or find out what is happening in Isengard.
qstr_Ents|Agaç Adamlar
; qstr_Hail_{playername}!_I|Hail, {playername}! I hope you are unhurt? At any rate, I am pleased you aided my friend Fangorn, or you may know him as Treebeard. The tree shepherds are very mighty, but it was likely that they marched to their doom. You have perhaps saved them from a great peril, Commander, and for that I am glad. I would not like to see the oldest of all living things pass from the world, no, not just yet… no, not before they see the Entwives again, I should hope.
; qstr_Missing_String|Missing String
; qstr_Well_thank_you_{play|Well, thank you, {playername}, and farewell. We may meet again, ere the waning of the moon!
; qstr_Hail_{playername}!_I_|Hail, {playername}! I hope you are unhurt? At any rate, you seem to have lain your blade to the right foe. No enemy has yet taken the Hornburg, and likely none ever shall – not while the likes of you defend Helm’s Gate, I’ll warrant!
; qstr_Your_deed_has_greatl|Your deed has greatly helped my design, better even than I could have hoped or planned. Farewell, {playername}, and thank you. We may meet again, ere the waning of the moon!
; qstr_{Playername}_I_will_|{Playername}, I will ask you a thing now. You are accounted an able captain, and a dutiful one; were you overmastered by great foes? Did you tarry overlong, for caution or even fear? Behold, we are now come into a greater peril than I could have foreseen. The strength of Rohan is broken, her people scattered and shieldless: Helm’s Deep has fallen. The trees are withered untimely, and night lies over the forge-fires of Isengard: the Ents of Fangorn Forest are dead or driven back.
; qstr_You_have_failed_me_{|You have failed me, {playername} – or perhaps it is I who have failed you. Perhaps there was some flaw in my design, some grave blunder I did not recognise… The terror of Mordor comes. Leave me now, {playername}. We may meet again… or perhaps not.
qstr_Bagginsssss..._Ssssh|Bagginsssss... Sssshhhire...
qstr_I..._don_t_know!|Ben... bilmiyorum!
qstr_It..._beckonsssssss.|O... çagırıyoooor...
qstr_Treachery..._Unforgi|İhaneeet... Affedilmez....
qstr_But_I...|Ama ben...
qstr_Noone..._oppossssses|Kimssse... Barad Dur'a... karşıı gelippp... canlı kalamasssss!
qstr_All..._must..._submi|Hepsi... boyun... egip... hizmet... etmeli...
qstr_I_serve_the_Eye!|Göze hizmet ediyorum!
qstr_I_shall_serve_the_Ey|Göze hizmet edecegim!
qstr_Go_to_{s1}_and_speak|{S1}'e git ve {s9} ile konuş.
qstr_The_Remnant_Forces_o|{S22} Kalan Kuvvetlerini {s15} noktasını güçlendirmek için toplandı!
qstr_The_strength_of_the_|{S15} meydanda kalan müttefik gruplarının gücü arttı
qstr_{s30}_reinforced_by_|{s30} oluşum gücü {reg65} tarafından tekrar kuvvetlendirildi
qstr_{s1}_has_been_besieg|{s1}, {s3}'ten {s2} tarafından kuşatıldı.
qstr_The_forces_of_{s2}_m|{s2} kuvvetleri {s15}'a ileri marş!
qstr_Rohan_capital_moved_|Rohan'ın Başkenti Edoras'tan Migferdibi'ne taşındı!
qstr_Dale_capital_moved_f|Dale başkenti Dale'den Esgaroth'a taşındı!
qstr_Gundabad_capital_mov|Gundabad'ın Başkenti Gundabad'dan Goblin Kasabası'na taşındı!
; qstr_You_have_breached_th|You have breached the Ring of Isengard with the help of the Tree Men. During the battle, Isengard was flooded, but Orthanc still stands unscathed in midst of the havoc. You should investigate the aftermath.
qstr_The_hosts_of_{s2}_re|{S2} 'nin ev sahipleri evlerine geri çekiliyorlar!
qstr____Ruins_of_{s1}___|{s1} Harabeleri
; qstr_{s1}_has_joined_the_|{s1} has joined the Hand
; qstr_{s1}_has_joined_the_E|{s1} has joined the Eye
qstr_ranks|rütbeler
qstr_shield_wall|kalkan duvarı
qstr_wedge|takoz
qstr_square|kare
qstr_up|yukarı
qstr___Infantry_forming_{|Piyade dizilimi {s1}.
qstr___Not_enough_infantr|{s1} 'yi oluşturmak için yeterli piyade yok, birimler yerinde kalıcak.
qstr___Cavalry_forming_{s|Süvari dizilimi {s1}.
qstr___Not_enough_cavalry|{s1} 'yi oluşturmak için yeterli Süvari yok. Birimler yerinde kalıcak.
qstr___Archers_forming_{s|Okçu dizilimi {s1}.
qstr___Not_enough_archers|{s1} 'yi oluşturmak için yeterli Okçular yok. Birimler yerinde kalıcak.
qstr___Infantry_formation|Piyadelerin dizilimini bozun
qstr___Cavalry_formation_|Süvarilerin dizilimini bozun
qstr___Archer_formation_d|Okçuların dizilimini bozun
qstr_Division_{reg1}_{s2}|{reg1} {s2}'bölügü {s1} oluşturuyor.
qstr_Not_enough_troops_in|{Reg1} {s2} 'nin {s1} bölügün içinde yeterli sayıda birim yok.
qstr_Division_{reg1}_{s2}_|{Reg1} {s2} Birligi {s3} Birligidir ve {s1} oluşturamaz.
qstr_{s1}:_infantry_forma|{s1}: piyade formasyonu Dagıldı.
qstr_{s1}:_archer_formati|{s1}: Okçu Formasyonu Dagıldı.
qstr_{s1}:_skirmisher_for|{s1}: skirmisher formasyonu ayrıldı.
qstr_{s1}:_cavalry_format|{s1}: Süvari Formasyonu dagıldı.
qstr_{s1}:_formation_disa|{s1}: Formasyon dagıtıldı.
qstr_Cavalry_formation_di|Süvarilerin dizilimini bozun
qstr_The_placement_of_{s1|{S1} bölümünün {reg0} yerleşimi hafızaya alındı.
qstr_The_placement_of_{s1}|{S1} bölümü {reg0} yerleşimi varsayılan olarak ayarlandı.
qstr_Your_party_s_tactica|Partinizin taktik becerisi, birliklerinizi ne kadar uzakta konumlandırabileceginizi sınırlar!
qstr_...and_attack_enemy_|... ve düşman {s1} birligine saldırın!
qstr_{s2}:_returning_afte|{s2}: düşman {s1} bölügünü yok ettikten sonra geri dönüyor.
qstr_infantry|piyade
qstr_archer|okçu
qstr_cavalry|süvari
qstr_polearm|Sırık
qstr_skirmisher|Avcı
qstr_mounted_archer|Atlı okçu
qstr_support|destek
qstr_bodyguard|muhafız
qstr_undetermined_type_of|belirsiz tür
qstr_{s1}_has_fled_the_ba|{s1} savaştan kaçtı!
qstr_Your_side_is_at_{reg|Tarafınızın uyumu {reg1}% ({reg3}% recent events), düşmanın ise {reg2}%!
qstr_Morale_of_your_troop|Birliklerinizin morali kırıldı
qstr_Morale_of_your_enemi|Düşmanın morali kırıldı.
qstr_Your_enemies_flee_in|Düşmanların korkuyla kaçıyor
qstr_Many_of_your_enemies|Düşmanlarınızın çogu muharebeden kaçıyor.
qstr_Some_of_your_enemies|Düşmanlarınızın bazıları muharebeden kaçıyor.
qstr_A_few_of_your_enemie|Düşmanlarınızdan birazı muharebeden kaçıyor.
qstr_Your_troops_flee_in_|Birliklerin korku ile kaçıyor
qstr_Many_of_your_troops_|Birliklerinizin çogu muharebeden kaçıyor.
qstr_Some_of_your_troops_|Birliklerinizin bazıları muharebeden kaçıyor.
qstr_A_few_of_your_troops|Birliklerinizin birazı muharebeden kaçıyor.
qstr_Gained_permanent_+1_to_P|+1 Taktik Kalıcı olarak kazanıldı.
qstr_Gained_permanent_+1_to_S|+1 Güç Kalıcı olarak kazanıldı.
qstr_{s11}_recovered_from|{s11} agır bir yaradan kurtuldu.
qstr_Volunteers|Gönüllüler
qstr_Reserves|Rezervler
qstr_have_taken_measure_o|Klanınızın güncel gücünü ölçtü ve büyüdü.
qstr_loses_Faction_Streng|Erzak hatları kesintiye ugradıgında Taraf Kuvveti deger kaybeder.
qstr_loses_Faction_Strengt|Bir Tarafın Kampı yok edildiginde Taraf Kuvveti düşer.
qstr_gains_Faction_Streng|Zaferinizin haberleri yayıldıgında Taraf Kuvveti artar.
qstr_Something_wrong_not_|Birşeyler yanlış, Bunu kaldırmak için yeterli asker yok
qstr_Raiders|Akıncılar
qstr_have_won_the_sea_bat|Deniz savaşını kazanmak birliklerinizin moralini düşürebilir. Düşman kendi yenilgisinden faydalanabilir ve daha sık saldırı yapabilir.
qstr_loses_Faction_Strength|Yıkıcı baskın nedeniyle Taraf Kuvveti kaybedilir.
qstr_loses_Faction_Strength_|denizdeki başarılarından dolayı Taraf Kuvveti kaybetti.
qstr_You_spent_{reg67}_of|{s1} 'e olan etkinizin {reg67} kadarını kullandın, {reg66} kaldı.
qstr_{s2}_{reg3?was:is_ar|{S2} {reg3?oldu: {S5} civarındadır.
; qstr_Army_of_{s6}|Army of {s6}
; qstr_Host_of_{s6}|Host of {s6}
; qstr_The_host_of_Isengard|The host of Isengard has razed {s2}!
qstr_{s1}_{s0}|{S1}, {s0}
qstr_{s1}_and_{s0}|{s1} ve {S0}
qstr_No_Troops_Left.|hiç birlik kalmadı.
qstr_avoid_melee|Yakın dövüşü önlemek
qstr_stand_and_fight|Durun ve dövüşün
qstr_Everyone|Herkes
qstr_Shield___{reg31}_|Kalkan (-{reg31})
qstr_Power_Draw___{reg31}|Güçlü Germe (-{reg31})
qstr_Riding___{reg31}_|Binicilik (-{reg31})
qstr_Horse_Archery___{reg|Atlı Okçuluk (-{reg31})
qstr_Athletics___{reg31}_|Atletizm (-{reg31})
qstr_No_Skill_Penalty_Ass|Yetenek cezası atanmadı.
qstr_Inventory|Envanter
qstr_Show_stats|İstatistikleri göster
qstr_Show_item_details__|Eşya ayrıntılarını göster
qstr_Troop_detail|Birim Detayları
qstr_{s1}^|{s1}^
qstr_{s1}Level:_{reg1}^|{s1}Level: {reg1}^
qstr_{s1}Hit_Points:_{reg|{s1}Hasar puanı: {reg1}
qstr_{s1}Atributes:_^___S|{s1}Özellikler: ^   Güç:^
qstr_{s2}^{reg1}^|{s2}^{reg1}^
qstr_{s1}___Agility:|{s1} Çeviklik:
qstr_{s2}{reg1}|{s2}{reg1}
qstr_{s1}Main_skills:_^|{s1}Ana yetenekler:^
qstr_{s1}___Power_Strike:|{s1} Güç Vuruş:^
qstr_{s2}{reg1}^|{s2}{reg1}^
qstr_{s1}___Athletics:^|{s1} Atletizm:^
qstr_{s1}___Riding:^|{s1} Binicilik:^
qstr_{s2}_^|{s2}-^
qstr_{s1}___Power_Throw:^|{s1} Güçlü Fırlatma:^
qstr_{s1}___Power_Draw:^^|{s1} Güçlü Germe:^^
qstr_{s2}{reg1}^^|{s2}{reg1}^^
qstr_{s2}_^^|{s2}-^^
qstr_{s1}Weapons:^|{s1}Silahlar:^
qstr_{s1}___One_Handed:^|{s1} Tek Elli:^
qstr_{s1}___Two_Handed:^|{s1} Çift Elli:^
qstr_{s1}___Polearms:^|{s1} Gönderli Silah:^
qstr_{s1}___Archery:^|{s1} Okçuluk:^
qstr_{s1}___Crossbow:^|{s1} Arbalet:^
qstr_{s1}___Throwing:^|{s1} Fırlatma:^
qstr_{s1}___Slings:|{s1} Sapanlar :
qstr_{s2}_|{s2}-
qstr__Click_on_the_troop_|(Üniteyi döndürmek için üzerine tıkla)^^Teçhizatları ^(migfer, zırh, eldiven ve botlar)^ görüntülemek için tıklayın.
qstr_ready_bows_and_missi|Yayları ve okları Hazırlayın
qstr_ready_side_arms|yan kollar hazırlanın
qstr_ready_two_hander|Çift Elli Silah hazırlayın
qstr_ready_polearms|Gönderli silahları hazır!
qstr_shields_up|Kalkanlar Yukarı
qstr_doff_shields|Kalkanları indirin
qstr_Distance___{reg70}__|Mesafe - {reg70} - {s11} Grup - {s12} Asker
